,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-01,-173.40M,,,34.70M,34.70M,0.80M,,59.30M,,-2.10M,-192.30M,-0.80M,38.00M,,251.40M,96.30M,15.60M,,-10.90M,,,,0.00,-3.90M,1.00M,-13.80M,,0.00,,0.00,17.40M,-224.10M,-206.70M,,-17.30M,-224.00M,,1.436B,-222.20M,-1.20M,1.213B,,17.40M,0.00,0.00,-224.10M,,AOR,Restated
2016-10,-142.80M,,,34.10M,34.10M,-30.40M,,56.60M,,12.80M,46.90M,10.60M,2.90M,,17.00M,77.40M,7.70M,,-22.50M,,,,0.00,115.80M,-8.10M,85.20M,,0.00,,0.00,48.00M,-127.60M,-79.60M,,-39.00M,-118.60M,,1.467B,-25.70M,-5.10M,1.436B,,48.00M,0.00,0.00,-127.60M,,AOR,Restated
2016-07,-98.20M,,,33.00M,33.00M,-15.40M,,54.30M,,1.50M,-50.50M,-8.40M,71.20M,,-5.50M,6.80M,-18.00M,,-20.30M,,,,-25.60M,482.40M,-5.70M,430.80M,,0.00,,0.00,3.00M,-169.90M,-166.90M,,-1.60M,-168.50M,,1.223B,244.30M,-0.40M,1.467B,,3.00M,0.00,0.00,-169.90M,,AOR,Restated
2016-04,-167.70M,,,37.40M,37.40M,6.20M,,51.60M,,60.60M,397.40M,-14.90M,-210.30M,,4.10M,176.30M,164.40M,,-22.30M,,,,-59.60M,-147.30M,-1.00M,-230.20M,,,,,51.20M,-100.10M,-48.90M,,-18.30M,-67.20M,,1.353B,-133.00M,3.40M,1.223B,,51.20M,,,-100.10M,,AOR,Restated
2016-01,-37.20M,,,36.10M,36.10M,14.00M,,56.10M,,-14.40M,-292.90M,2.70M,99.50M,,306.00M,115.30M,169.90M,,-30.60M,,,,-43.90M,50.10M,-29.00M,-53.40M,,0.00,,0.00,11.50M,-100.30M,-88.80M,,-9.30M,-98.10M,,1.338B,18.40M,-2.90M,1.353B,,11.50M,0.00,,-100.30M,,AOR,Restated
2015-10,-43.80M,,,35.70M,35.70M,-1.10M,,50.20M,,4.70M,33.00M,13.90M,12.50M,,-24.70M,34.70M,80.40M,,-12.00M,,,,-67.10M,-8.00M,-2.40M,-89.50M,,0.00,,0.00,37.40M,-150.00M,-112.60M,,-13.60M,-126.20M,,1.473B,-135.30M,-0.30M,1.338B,,37.40M,0.00,,-150.00M,,AOR,Restated
2015-07,-268.60M,,,36.20M,36.20M,228.30M,,40.70M,,-11.80M,-78.70M,3.00M,45.50M,,82.60M,52.40M,77.20M,,-17.30M,,,,-3.00M,-390.90M,-2.50M,-413.70M,,748.30M,,748.30M,4.70M,-112.30M,-107.60M,,-11.90M,628.80M,,1.183B,292.30M,-1.90M,1.473B,,4.70M,748.30M,,-112.30M,,AOR,Restated
2015-04,19.10M,,,37.80M,37.80M,-5.30M,,50.20M,,-3.50M,143.10M,-22.40M,-129.10M,,-3.40M,-11.80M,86.50M,,-12.50M,,,,-34.50M,-195.30M,-10.60M,-252.90M,,,,,57.20M,-95.40M,-38.20M,,-23.10M,-61.30M,,1.411B,-227.70M,-0.20M,1.183B,,57.20M,,,-95.40M,,AOR,Restated
2015-01,11.50M,,,36.00M,36.00M,-5.10M,,49.10M,,6.70M,-83.20M,-0.90M,92.70M,,150.90M,159.50M,257.70M,,-15.50M,,,,-26.20M,-81.00M,-5.20M,-127.90M,,0.00,,0.00,45.80M,-64.80M,-19.00M,,-41.70M,-60.70M,,1.345B,69.10M,-3.50M,1.411B,,45.80M,0.00,,-64.80M,,AOR,Restated
2014-10,10.70M,,,36.60M,36.60M,-14.80M,,43.10M,,4.00M,-10.40M,15.50M,25.90M,,25.40M,56.40M,136.00M,,-28.40M,,,,-55.50M,34.70M,1.90M,-47.30M,,0.00,,0.00,38.30M,-103.30M,-65.00M,,0.00,-65.00M,,1.323B,23.70M,-1.80M,1.345B,,38.30M,0.00,,-103.30M,,AOR,Restated
2014-07,31.30M,,,37.20M,37.20M,-20.00M,,39.80M,,-2.00M,-40.90M,-6.20M,40.60M,,16.40M,9.90M,96.20M,,-17.10M,,,,-226.00M,-65.70M,0.10M,-308.70M,,0.00,,0.00,29.10M,-101.80M,-72.70M,,-1.70M,-74.40M,,1.610B,-286.90M,0.40M,1.323B,,29.10M,0.00,,-101.80M,,AOR,Restated
2014-04,28.30M,,,36.10M,36.10M,21.10M,,33.60M,,10.60M,117.20M,-1.60M,-79.10M,,52.50M,89.00M,218.70M,,-14.50M,,,,-322.30M,-84.10M,-0.80M,-421.70M,,,,,62.20M,-102.50M,-40.30M,,,-40.30M,,1.853B,-243.30M,-0.10M,1.610B,,62.20M,,,-102.50M,,AOR,Restated
2014-01,53.90M,,,33.20M,33.20M,,,36.10M,-9.90M,-6.70M,,,,,,126.30M,183.50M,,-9.20M,,,,-108.10M,309.70M,-2.90M,189.50M,,,,,129.40M,-105.10M,24.30M,,-14.70M,9.60M,,1.473B,382.60M,-3.00M,1.853B,,129.40M,,,-105.10M,,AOR,Restated
2013-10,57.60M,,,30.60M,30.60M,,,31.50M,4.00M,-0.70M,,,,,,-32.40M,90.60M,,-12.40M,,,,-20.80M,5.50M,-10.30M,-38.00M,,,,,103.60M,-78.90M,24.70M,,-4.00M,20.70M,,1.401B,73.30M,-0.90M,1.473B,,103.60M,,,-78.90M,,AOR,Restated
2013-07,61.70M,,,32.00M,32.00M,,,31.10M,5.80M,-3.00M,,,,,,-62.30M,65.30M,,-16.80M,,,,-12.50M,-182.70M,-1.80M,-213.80M,,,,,9.80M,-110.60M,-100.80M,,-5.80M,-106.60M,,1.656B,-255.10M,0.30M,1.401B,,9.80M,,,-110.60M,,AOR,Restated
2013-04,55.60M,,,33.10M,33.10M,,,33.50M,-9.00M,7.10M,,,,,,103.80M,224.10M,,-25.80M,,,,-34.70M,-67.60M,-3.60M,-131.70M,,,,,70.00M,-129.20M,-59.20M,,9.00M,-50.20M,,1.612B,42.20M,1.40M,1.656B,,70.00M,,,-129.20M,,AOR,Restated
2013-01,74.50M,,,34.70M,34.70M,,,37.50M,14.50M,9.50M,,,,,,13.20M,155.60M,,-11.70M,,,,-59.50M,159.50M,-5.00M,83.30M,,635.60M,,635.60M,20.60M,-90.70M,-70.10M,,-20.60M,544.90M,,827.00M,783.80M,1.40M,1.612B,,20.60M,745.60M,,-90.70M,,AOR,Restated
2012-10,29.40M,,,35.00M,35.00M,,,51.90M,0.70M,37.20M,,,,,,2.90M,157.10M,,-16.50M,,,,-135.00M,-123.60M,-4.10M,-279.20M,,110.00M,,110.00M,40.80M,-130.20M,-89.40M,,-0.70M,19.90M,,930.20M,-102.20M,-1.00M,827.00M,,40.80M,110.00M,,-130.20M,,AOR,Restated
2012-07,64.60M,,,28.90M,28.90M,,,33.50M,-18.20M,5.00M,,,,,,-6.70M,107.10M,,-16.70M,,,,-69.20M,-65.40M,-13.00M,-164.30M,,,,,5.80M,-111.10M,-105.30M,,18.20M,-87.10M,,1.074B,-144.30M,0.00,930.20M,,5.80M,,,-111.10M,,AOR,Restated
2012-04,78.90M,,,29.20M,29.20M,,,33.40M,-9.90M,-1.10M,,,,,,8.80M,139.30M,,-11.50M,,,,0.00,-270.50M,-5.00M,-287.00M,,,,,153.00M,-99.20M,53.80M,,9.90M,63.70M,,1.157B,-84.00M,1.60M,1.074B,,153.00M,,,-99.20M,,AOR,Restated
2012-01,72.00M,,,30.30M,30.30M,,,30.00M,1.50M,-0.30M,,,,,,75.50M,175.20M,,-14.30M,,,,-39.00M,290.10M,-314.00M,-77.20M,,,,0.00,19.80M,-63.70M,-43.90M,,-1.50M,-45.40M,,1.103B,52.60M,1.00M,1.157B,,19.80M,0.00,,-63.70M,,AOR,Restated
2011-10,72.80M,,1.30M,31.00M,31.00M,,,25.60M,-19.50M,-41.00M,,,,,,27.80M,137.70M,,-8.90M,,,,-88.30M,-99.00M,77.90M,-118.30M,,,0.00,0.00,26.70M,-94.30M,-67.60M,,19.50M,-48.10M,,1.132B,-28.70M,0.50M,1.103B,,26.70M,0.00,,-94.30M,,AOR,Restated
2011-07,71.20M,,-1.30M,29.70M,29.70M,,,27.30M,-13.50M,13.80M,,,,,,18.80M,132.20M,,-16.60M,,,,-18.00M,-207.60M,220.10M,-22.10M,,,,,18.30M,-100.80M,-82.50M,,13.50M,-69.00M,,1.091B,41.10M,-1.00M,1.132B,,18.30M,,,-100.80M,,AOR,Restated
2011-04,69.30M,,,24.50M,24.50M,,,25.90M,0.00,25.90M,,,,,,8.70M,128.40M,,-23.20M,,,,-76.40M,-38.60M,-14.50M,-152.70M,,,,,111.30M,-68.60M,42.70M,,,42.70M,,1.075B,18.40M,-2.10M,1.091B,,111.30M,,,-68.60M,,AOR,Restated
2011-01,212.00M,,,25.80M,25.80M,,,18.40M,0.00,-150.60M,,,,,,72.40M,175.90M,,-10.20M,,,,-5.00M,42.10M,0.00,26.90M,,,,,44.50M,-76.20M,-31.70M,,,-31.70M,,904.30M,171.10M,-0.30M,1.075B,,44.50M,,,-76.20M,,AOR,Restated
2010-10,-96.80M,,,26.60M,26.60M,,,17.00M,0.00,150.40M,,,,,,17.10M,114.30M,,-7.00M,,,,0.00,-8.50M,-3.50M,-19.00M,,,,,36.30M,-74.90M,-38.60M,,,-38.60M,,850.00M,56.70M,-2.40M,904.30M,,36.30M,,,-74.90M,,AOR,Restated
2010-07,59.90M,,,26.30M,26.30M,,,21.00M,0.00,1.90M,,,,,,2.40M,111.50M,,-5.30M,,,,-8.50M,-119.40M,-0.50M,-133.70M,,,,,3.90M,-70.40M,-66.50M,,,-66.50M,,938.10M,-88.70M,0.60M,850.00M,,3.90M,,,-70.40M,,AOR,Restated
2010-04,36.90M,,,26.70M,26.70M,,,24.30M,,7.10M,,,,,,44.10M,139.10M,,-5.80M,,,,0.00,-10.70M,,-16.50M,,,,,36.20M,-58.80M,-22.60M,,,-22.60M,,838.70M,100.00M,-0.60M,938.10M,,36.20M,,,-58.80M,,AOR,Restated
2010-01,50.10M,,2.70M,27.10M,27.10M,,0.00,18.90M,,18.90M,,,,,,26.80M,125.60M,,-8.80M,,,,-15.20M,60.10M,,36.10M,,,0.00,0.00,2.50M,-23.80M,-21.30M,,,-21.30M,,698.50M,140.40M,-0.20M,838.70M,,2.50M,0.00,0.00,-23.80M,,AOR,Restated
2009-10,29.60M,,4.90M,28.90M,28.90M,,0.00,30.30M,,30.30M,,,,,,-47.00M,46.70M,,-5.90M,,,,-3.60M,7.20M,,-2.30M,,,0.00,0.00,23.40M,-39.40M,-16.00M,,,-16.00M,,668.50M,28.40M,1.60M,698.50M,,23.40M,0.00,0.00,-39.40M,,AOR,Restated
2009-07,10.40M,-1.10M,39.50M,28.50M,28.50M,,0.00,21.40M,,48.90M,,,,,,-36.00M,47.30M,,-10.70M,,,,0.00,-267.60M,,-278.30M,,52.20M,-54.30M,-2.10M,18.70M,0.00,18.70M,,,16.60M,,880.50M,-214.40M,2.40M,668.50M,,18.70M,0.00,-2.10M,0.00,,AOR,Restated
2009-04,-32.10M,1.10M,1.10M,27.00M,27.00M,,21.00M,23.00M,,16.50M,,,,,,-29.30M,27.20M,,-13.60M,,,,,-24.90M,,-38.50M,,-52.20M,2.20M,-50.00M,25.40M,0.00,25.40M,,,-24.60M,,917.60M,-35.90M,-1.20M,880.50M,,25.40M,2.20M,-52.20M,0.00,,AOR,Restated
2009-01,-105.40M,,8.90M,27.30M,27.30M,,128.90M,18.60M,,-32.00M,,,,,,-30.80M,86.40M,,-19.30M,,,,-67.20M,70.80M,,-15.70M,,-64.30M,112.40M,48.10M,1.00M,0.00,1.00M,,,49.10M,,796.40M,119.80M,1.40M,917.60M,,1.00M,112.40M,-64.30M,0.00,,,Restated
2008-10,104.60M,,1.20M,25.40M,25.40M,,0.00,22.50M,,22.50M,,,,,,-46.50M,107.20M,,-19.20M,,,,-33.40M,-105.10M,,-157.70M,,-226.00M,110.00M,-116.00M,39.00M,0.00,39.00M,,,-77.00M,,929.60M,-127.50M,-5.70M,796.40M,,39.00M,110.00M,-226.00M,0.00,,,Restated
2008-07,89.80M,,16.80M,22.20M,22.20M,,0.00,23.20M,,23.20M,,,,,,63.00M,215.00M,,-25.50M,,,1.00M,-264.10M,0.40M,,-289.20M,,-570.00M,650.00M,80.00M,14.80M,0.00,14.80M,,,94.80M,,909.10M,20.60M,-0.10M,929.60M,,14.80M,650.00M,-570.00M,0.00,,,Restated
2008-04,94.60M,0.00,0.00,16.90M,16.90M,,0.00,25.20M,,25.20M,,,,,,48.60M,185.30M,,-14.40M,,,-1.00M,0.20M,-1.30M,,-15.50M,,0.00,40.00M,40.00M,35.30M,-256.60M,-221.30M,,,-181.30M,,917.90M,-11.50M,2.70M,909.10M,,35.30M,40.00M,0.00,-256.60M,,,Restated
2008-01,96.50M,,1.90M,17.20M,17.20M,,,,,26.20M,,,,,16.60M,20.70M,219.00M,,-14.20M,,-14.20M,,-48.50M,4.50M,,-58.20M,,,,,26.60M,-99.50M,-72.90M,,,-72.90M,,828.30M,87.90M,1.70M,917.90M,,26.60M,,,-99.50M,,,
2007-10,84.80M,,3.60M,15.50M,15.50M,,,,,36.20M,,,,,21.20M,21.20M,161.30M,,-10.90M,,-10.90M,,-44.70M,7.60M,,-48.00M,,,,,76.90M,-138.40M,-61.50M,,,-61.50M,,774.90M,51.80M,1.60M,828.30M,,76.90M,,,-138.40M,,,
2007-07,91.60M,,,14.40M,14.40M,,,,,22.10M,,,,,8.50M,8.50M,136.60M,,-11.40M,,-11.40M,,-21.30M,149.70M,,117.00M,,,,,83.80M,-325.10M,-241.30M,,,-241.30M,,762.30M,12.30M,0.30M,774.90M,,83.80M,,,-325.10M,,,
2007-04,83.30M,,,14.20M,14.20M,,,,,14.80M,,,,,79.30M,79.30M,191.60M,,-6.80M,,-6.80M,,,-89.70M,,-96.50M,,,,,,,,,,0.00,,665.90M,95.10M,1.30M,762.30M,,,,,,,,
2007-01,96.40M,,0.00,14.30M,14.30M,,,,,18.90M,,,,,35.40M,21.10M,190.80M,,-9.90M,,-9.90M,,0.00,-29.50M,0.00,-39.40M,,,,,0.10M,0.00,0.10M,,,0.10M,,514.90M,151.50M,-0.50M,665.90M,,0.10M,,,0.00,,,
2006-10,58.00M,,0.00,13.20M,13.20M,,,,,38.80M,,,,,22.90M,22.90M,132.90M,,-7.00M,,-7.00M,,-9.00M,-53.40M,2.60M,-66.80M,,,,,9.90M,0.00,9.90M,,,9.90M,,439.10M,76.00M,-0.20M,514.90M,,9.90M,,,0.00,,,
2006-07,86.80M,,1.10M,13.50M,13.50M,,,,,20.00M,,,,,41.30M,41.30M,162.70M,,-7.00M,,-7.00M,,12.50M,87.00M,-0.30M,92.20M,,,,,15.00M,-154.40M,-139.40M,65.80M,,-73.60M,,257.30M,181.30M,0.50M,439.10M,,15.00M,,,-154.40M,,,
2006-04,48.50M,,,12.50M,12.50M,,,,,21.70M,,,,,7.50M,7.50M,90.20M,,-11.40M,,-11.40M,,-56.00M,-36.40M,,-103.80M,,,,,49.20M,,49.20M,-65.80M,,-16.60M,,287.20M,-30.20M,0.30M,257.30M,,49.20M,,,,,,
2006-01,83.40M,,7.90M,9.90M,9.90M,,,,,20.40M,,,,,164.40M,76.20M,113.80M,,-5.20M,,-5.20M,,52.70M,74.70M,-250.20M,-128.00M,,,,,17.60M,-107.00M,-89.40M,0.00,,-89.40M,,390.90M,-103.60M,-0.10M,287.20M,,17.60M,,,-107.00M,,,
2005-10,95.70M,,0.00,9.50M,9.50M,,,,,55.70M,,,,,-36.00M,-36.00M,124.90M,,-5.40M,,-5.40M,,-9.40M,-114.20M,,-129.00M,,,,,54.20M,-137.70M,-83.50M,0.00,,-83.50M,,478.70M,-87.60M,-0.20M,390.90M,,54.20M,,,-137.70M,,,
2005-07,78.42M,,-22.85M,11.72M,11.72M,,,,,53.20M,,,,,-7.307M,-7.307M,113.18M,,-4.366M,,-4.366M,,-28.70M,-23.14M,-0.007M,-56.22M,,,,,32.67M,-128.44M,-95.77M,0.006M,,-95.77M,,518.08M,-38.80M,-0.624M,478.70M,,32.67M,,,-128.44M,,,
2005-04,76.08M,,24.05M,12.58M,12.58M,,,,,,,,,,-49.39M,-49.39M,63.32M,,-5.534M,,-5.534M,,-14.60M,-4.66M,0.007M,-24.78M,,,,,40.13M,-73.66M,-33.53M,-3.406M,,-36.93M,,517.65M,1.60M,-1.176M,518.08M,,40.13M,,,-73.66M,,,
2005-01,65.36M,,-99.42M,13.32M,13.32M,,,,,,,,,,126.22M,131.22M,143.87M,,-13.11M,,-13.11M,,-0.05M,125.46M,0.587M,112.89M,,,,,30.74M,-146.23M,-115.49M,-3.354M,,-119.04M,,377.15M,137.72M,2.881M,517.70M,,30.74M,,,-146.23M,,,
2004-10,74.07M,,68.70M,13.21M,13.21M,,,,,,,,,,-65.20M,-65.20M,90.78M,,-13.52M,,-13.52M,,0.00,85.07M,0.003M,71.56M,,,,,50.58M,-183.66M,-133.08M,-3.405M,,-136.48M,,345.97M,25.86M,5.322M,377.15M,,50.58M,,,-183.66M,,,
2004-07,39.16M,,1.572M,12.87M,12.87M,,,,,,,,,,29.88M,29.88M,83.48M,,-9.911M,,-9.911M,,-5.25M,-10.59M,-0.647M,-26.40M,,,,,55.94M,-67.38M,-11.43M,-3.439M,,-14.87M,,304.15M,42.21M,-0.389M,345.97M,,55.94M,,,-67.38M,,,
2004-04,42.50M,,29.15M,12.50M,12.50M,,,,,,,,,,-28.99M,-28.99M,55.16M,,-5.864M,,-5.864M,,-6.50M,30.76M,-0.843M,17.55M,,,,,104.93M,-149.03M,-44.10M,-3.302M,,-47.40M,,282.25M,25.31M,-3.414M,304.15M,,104.93M,,,-149.03M,,,
2004-01,57.60M,,3.996M,14.33M,14.33M,,,,,,,,,,-0.709M,33.53M,119.13M,,-12.29M,,-12.29M,,5.15M,-28.97M,-3.90M,-40.00M,,,,,64.95M,-97.40M,-32.45M,-3.332M,,-35.79M,,234.71M,43.34M,4.194M,282.25M,,64.95M,,,-97.40M,,,
2003-10,22.61M,,1.532M,11.84M,11.84M,,,,,,,,,,17.41M,17.41M,53.39M,,-4.851M,,-4.851M,,0.00,-25.91M,-1.499M,-32.26M,,,,,28.98M,-35.39M,-6.415M,-3.396M,,-9.811M,,219.42M,11.32M,3.969M,234.71M,,28.98M,,,-35.39M,,,
2003-07,32.60M,,0.00,11.82M,11.82M,,,,,,,,,,-14.15M,-14.15M,30.27M,,-9.782M,,-9.782M,,0.00,28.96M,1.396M,20.58M,,,,,6.239M,-15.79M,-9.551M,-3.333M,,-12.88M,,179.44M,37.96M,2.018M,219.42M,,6.239M,,,-15.79M,,,
2003-04,7.508M,,0.026M,12.31M,12.31M,,,,,,,,,,-2.551M,-2.551M,17.29M,,-4.083M,,-4.083M,,-5.15M,1.876M,0.052M,-7.305M,,,,,15.24M,-29.88M,-14.64M,-3.347M,,-17.99M,,186.38M,-8.004M,1.07M,179.44M,,15.24M,,,-29.88M,,,
2003-01,6.413M,,21.71M,12.15M,12.15M,,,,,,,,,,27.56M,-36.21M,43.05M,,-7.297M,,-7.297M,,-1.70M,7.714M,-4.616M,-5.899M,,,,0.00,2.805M,-19.42M,-16.61M,-3.343M,,-19.96M,,164.44M,17.19M,4.744M,186.38M,,2.805M,,,-19.42M,,,
2002-10,-3.91M,,0.20M,11.98M,11.98M,,,,,,,,,,-2.297M,-2.297M,5.972M,,-6.452M,,-6.452M,,-10.00M,16.95M,0.972M,1.468M,,,,0.00,11.57M,-8.606M,2.963M,-3.417M,,-0.454M,,136.76M,6.986M,-0.212M,164.44M,,11.57M,,,-8.606M,,,
2002-07,11.76M,,0.256M,12.08M,12.08M,,,,,,,,,,-2.088M,-2.088M,22.01M,,-12.45M,,-12.45M,,0.00,31.53M,-2.41M,16.67M,,,,-0.21M,1.606M,-26.80M,-25.19M,-3.383M,,-28.78M,,122.17M,9.895M,4.698M,136.76M,,1.606M,,,-26.80M,,,
