,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-09,6.736B,6.736B,379.00M,1.818B,2.197B,61.00M,-89.00M,2.169B,103.00M,5.70B,1.585B,448.00M,1.137B,-30.00M,,52.00M,1.107B,1.201B,588.00M,2.305B,,2.22,-0.06,,2.352,2.16,,2.20,-0.06,,2.330,2.14,,484.90M,489.00M,0.40,,AOR,Restated
2017-06,6.47B,6.47B,435.00M,1.672B,2.107B,61.00M,-78.00M,2.09B,32.00M,5.473B,1.49B,443.00M,1.047B,-11.00M,,80.00M,1.036B,1.102B,565.00M,2.145B,,1.98,-0.02,,2.093,1.96,,1.96,-0.02,,2.072,1.94,,484.00M,488.10M,0.40,,AOR,Restated
2017-03,6.314B,6.314B,396.00M,1.759B,2.155B,62.00M,-78.00M,2.139B,0.00,5.474B,1.109B,314.00M,795.00M,15.00M,,53.00M,810.00M,850.93M,566.00M,1.705B,,1.53,0.03,,1.646,1.56,,1.51,0.03,,1.625,1.54,,482.30M,487.90M,0.40,,AOR,Restated
2016-12,6.346B,6.346B,575.00M,1.632B,2.207B,101.00M,-75.00M,2.233B,-12.00M,5.447B,1.135B,342.00M,793.00M,-2.00M,,75.00M,791.00M,845.40M,609.00M,1.697B,,1.47,0.00,,1.578,1.47,,1.45,0.00,,1.557,1.45,,483.60M,488.80M,0.40,,AOR,Restated
2016-09,6.222B,6.222B,393.00M,1.608B,2.001B,89.00M,-77.00M,2.013B,40.00M,5.277B,1.512B,496.00M,1.016B,-11.00M,,37.00M,1.005B,1.068B,612.00M,2.029B,,1.94,-0.02,,2.043,1.92,,1.92,-0.02,,2.022,1.90,,501.10M,505.90M,0.40,,AOR,Restated
2016-06,6.048B,6.048B,415.00M,1.581B,1.996B,95.00M,-89.00M,2.002B,22.00M,5.093B,1.367B,424.00M,943.00M,-1.00M,,65.00M,942.00M,1.004B,616.00M,1.845B,,1.70,0.00,,1.820,1.70,,1.69,0.00,,1.809,1.69,,511.70M,516.50M,0.40,,AOR,Restated
2016-03,6.032B,6.032B,428.00M,1.55B,1.978B,101.00M,-90.00M,1.989B,22.00M,5.056B,1.47B,452.00M,1.018B,-5.00M,,37.00M,1.013B,1.080B,591.00M,1.931B,,1.86,-0.01,,1.979,1.85,,1.85,-0.01,,1.968,1.84,,523.50M,528.00M,0.40,,AOR,Restated
2015-12,6.007B,6.007B,564.00M,1.634B,2.198B,103.00M,-99.00M,2.202B,51.00M,4.961B,1.334B,426.00M,908.00M,12.00M,,68.00M,920.00M,975.39M,542.00M,1.757B,,1.58,0.02,,1.707,1.60,,1.56,0.02,,1.686,1.58,,530.70M,536.30M,0.40,,AOR,Restated
2015-09,5.708B,5.708B,418.00M,1.415B,1.833B,106.00M,-76.00M,1.863B,23.00M,4.76B,1.648B,530.00M,1.118B,-4.00M,,29.00M,1.114B,1.170B,546.00M,2.052B,,2.01,-0.01,,2.105,2.00,,1.99,-0.01,,2.084,1.98,,540.60M,546.30M,0.40,,AOR,Restated
2015-06,5.478B,5.478B,387.00M,1.568B,1.955B,111.00M,-74.00M,1.992B,4.00M,4.537B,1.236B,384.00M,852.00M,11.00M,,29.00M,863.00M,902.99M,529.00M,1.636B,,1.50,0.02,,1.593,1.52,,1.48,0.02,,1.572,1.50,,545.60M,552.00M,0.40,,AOR,Restated
2015-03,5.454B,5.454B,375.00M,1.413B,1.788B,110.00M,-67.00M,1.831B,-3.00M,4.576B,1.663B,529.00M,1.134B,19.00M,,32.00M,1.153B,1.180B,483.00M,2.061B,,2.00,0.03,,2.083,2.03,,1.97,0.03,,2.052,2.00,,550.20M,557.20M,0.30,,AOR,Restated
2014-12,5.608B,5.608B,509.00M,1.545B,2.054B,123.00M,-78.00M,2.099B,9.00M,4.656B,1.42B,450.00M,970.00M,29.00M,,21.00M,999.00M,1.023B,470.00M,1.809B,,1.71,0.05,,1.806,1.76,,1.68,0.05,,1.775,1.73,,554.10M,562.00M,0.30,,AOR,Restated
2014-09,5.431B,5.431B,392.00M,1.324B,1.716B,130.00M,-67.00M,1.779B,8.00M,4.497B,1.661B,536.00M,1.125B,-44.00M,,20.00M,1.081B,1.170B,515.00M,2.051B,,1.97,-0.08,,2.051,1.89,,1.94,-0.08,,2.020,1.86,,559.90M,567.90M,0.30,,AOR,Restated
2014-06,5.256B,5.256B,335.00M,1.328B,1.663B,136.00M,-57.00M,1.742B,11.00M,4.315B,1.785B,581.00M,1.204B,-10.00M,,13.00M,1.194B,1.242B,503.00M,2.182B,,2.09,-0.02,,2.158,2.07,,2.06,-0.02,,2.127,2.04,,567.50M,577.60M,0.30,,AOR,Restated
2014-03,5.158B,5.158B,325.00M,1.357B,1.682B,143.00M,-73.00M,1.752B,21.00M,4.35B,1.703B,579.00M,1.124B,30.00M,,13.00M,1.154B,1.172B,514.00M,2.106B,,1.94,0.05,,2.024,1.99,,1.91,0.05,,1.993,1.96,,571.00M,580.30M,0.30,,AOR,Restated
2013-12,5.305B,5.305B,427.00M,1.335B,1.762B,166.00M,-57.00M,1.871B,17.00M,4.423B,1.352B,477.00M,875.00M,-23.00M,,14.00M,852.00M,911.89M,418.00M,1.768B,,1.51,-0.04,,1.574,1.47,,1.48,-0.04,,1.543,1.45,,574.60M,583.40M,0.30,,AOR,Restated
2013-09,5.386B,5.386B,299.00M,1.377B,1.676B,161.00M,-56.00M,1.781B,-19.00M,4.56B,1.693B,575.00M,1.118B,-13.00M,,13.00M,1.105B,1.155B,495.00M,2.131B,,1.89,-0.02,,1.953,1.87,,1.86,-0.02,,1.923,1.84,,582.30M,591.10M,0.30,,AOR,Restated
2013-06,5.377B,5.377B,330.00M,1.354B,1.684B,167.00M,-53.00M,1.798B,-1.00M,4.553B,1.858B,631.00M,1.227B,-119.00M,,13.00M,1.108B,1.262B,811.00M,2.315B,,2.08,-0.20,,2.140,1.88,,2.05,-0.20,,2.109,1.85,,581.50M,588.80M,0.30,,AOR,Restated
2013-03,5.284B,5.284B,317.00M,1.311B,1.628B,177.00M,-52.00M,1.753B,-28.00M,4.57B,1.675B,541.00M,1.134B,-78.00M,,13.00M,1.056B,1.169B,341.00M,2.156B,,1.92,-0.13,,1.981,1.79,,1.90,-0.13,,1.960,1.77,,580.50M,586.30M,0.05,,AOR,Restated
2012-12,5.368B,5.368B,395.00M,1.388B,1.783B,191.00M,206.00M,2.18B,0.00,4.528B,1.367B,544.00M,823.00M,-5.00M,,,818.00M,698.98M,605.00M,1.954B,,1.43,-0.01,,1.216,1.42,,1.42,-0.01,,1.208,1.41,,579.40M,585.70M,0.05,,AOR,Restated
2012-09,5.494B,5.494B,316.00M,1.20B,1.516B,199.00M,-100.00M,1.615B,-9.00M,4.646B,1.723B,535.00M,1.188B,-10.00M,,,1.178B,1.257B,586.00M,2.331B,,2.05,-0.02,,2.169,2.03,,2.03,-0.02,,2.148,2.01,,578.30M,584.10M,0.05,,AOR,Restated
2012-06,4.777B,4.777B,334.00M,1.174B,1.508B,157.00M,-170.00M,1.495B,55.00M,4.001B,236.00M,43.00M,193.00M,-100.00M,,,93.00M,332.06M,451.00M,851.00M,,0.33,-0.17,,0.5706,0.16,,0.33,-0.17,,0.5685,0.16,,578.00M,583.00M,0.05,,AOR,Restated
2012-03,4.094B,4.094B,321.00M,1.036B,1.357B,62.00M,468.00M,1.887B,-89.00M,3.414B,1.858B,353.00M,1.505B,-102.00M,,,1.403B,1.126B,220.00M,2.423B,,2.94,-0.20,,2.195,2.74,,2.92,-0.20,,2.181,2.72,,509.00M,513.00M,0.05,,AOR,Restated
2011-12,3.078B,3.078B,420.00M,994.00M,1.414B,,-134.00M,1.28B,,3.182B,571.00M,160.00M,411.00M,-4.00M,,,407.00M,507.45M,170.00M,1.09B,,0.84,-0.01,,1.051,0.83,,0.84,-0.01,,1.051,0.83,,457.00M,457.00M,0.05,,AOR,Restated
2011-09,4.16B,4.16B,312.00M,928.00M,1.24B,,-24.00M,1.216B,,3.283B,1.235B,370.00M,865.00M,-52.00M,,,813.00M,881.81M,110.00M,1.787B,,1.89,-0.11,,1.927,1.78,,1.88,-0.11,,1.917,1.77,,456.00M,459.32M,0.05,,AOR,Restated
2011-06,3.993B,3.993B,329.00M,877.00M,1.206B,,-807.00M,399.00M,-6.00M,3.136B,1.395B,450.00M,945.00M,-34.00M,,,911.00M,1.492B,132.00M,1.958B,,2.07,-0.07,,3.269,2.00,,2.04,-0.07,,3.223,1.97,,456.00M,462.00M,0.05,,AOR,Restated
2011-03,4.082B,4.082B,276.00M,905.00M,1.181B,,-727.00M,454.00M,-3.00M,3.14B,1.386B,354.00M,1.032B,-16.00M,,,1.016B,1.573B,167.00M,1.998B,,2.27,-0.03,,3.462,2.24,,2.24,-0.03,,3.417,2.21,,454.00M,460.00M,0.05,,AOR,Restated
2010-12,2.922B,2.922B,308.00M,838.00M,1.146B,,-99.00M,1.047B,,3.023B,1.033B,332.00M,701.00M,-4.00M,,,697.00M,768.18M,95.00M,1.684B,,1.55,-0.01,,1.699,1.54,,1.53,-0.01,,1.677,1.52,,452.00M,456.00M,0.05,,AOR,Restated
2010-09,4.021B,4.021B,250.00M,819.00M,1.069B,,-5.00M,1.064B,,3.109B,1.153B,335.00M,818.00M,-15.00M,,,803.00M,821.55M,106.00M,1.859B,,1.81,-0.03,,1.818,1.78,,1.79,-0.03,,1.798,1.76,,453.00M,457.00M,0.05,,AOR,Restated
2010-06,3.93B,3.93B,219.00M,814.00M,1.033B,,-26.00M,1.007B,,3.097B,1.181B,369.00M,812.00M,-204.00M,,,608.00M,829.88M,169.00M,1.919B,,1.79,-0.45,,1.830,1.34,,1.78,-0.45,,1.819,1.33,,452.00M,456.00M,0.05,,AOR,Restated
2010-03,4.32B,4.32B,180.00M,815.00M,995.00M,,-31.00M,964.00M,,3.228B,964.00M,244.00M,720.00M,-84.00M,,,636.00M,743.15M,147.00M,1.766B,,1.59,-0.18,,1.641,1.41,,1.58,-0.18,,1.631,1.40,,451.00M,455.00M,0.05,,AOR,Restated
2009-12,3.376B,3.376B,188.00M,812.00M,1.00B,,-42.00M,958.00M,,1.954B,574.00M,170.00M,404.00M,-28.00M,,0.00,376.00M,433.56M,98.00M,1.215B,,0.95,-0.06,,1.016,0.88,,0.94,-0.06,,1.005,0.87,,449.00M,452.00M,0.05,,AOR,Restated
2009-09,3.569B,3.569B,104.00M,824.00M,928.00M,,-37.00M,891.00M,,2.005B,583.00M,146.00M,437.00M,-43.00M,,,394.00M,464.73M,204.00M,1.28B,,0.97,-0.09,,1.032,0.88,,0.96,-0.09,,1.021,0.87,,449.00M,453.00M,0.05,,AOR,Restated
2009-06,3.187B,3.187B,134.00M,829.00M,963.00M,,-53.00M,910.00M,,1.945B,321.00M,92.00M,229.00M,-6.00M,,,223.00M,266.81M,229.72M,1.093B,,-0.64,-0.01,,-0.5504,-0.66,,-0.64,-0.01,,-0.5504,-0.66,,422.00M,422.00M,0.05,,AOR,Restated
2009-03,2.883B,2.883B,162.71M,753.54M,916.25M,,-17.99M,898.26M,0.00,1.793B,-141.59M,-58.49M,-83.10M,-24.96M,,,-108.06M,-71.41M,151.28M,715.43M,,-0.38,-0.06,,-0.3501,-0.44,,-0.38,-0.06,,-0.3501,-0.44,,390.46M,390.46M,0.375,,AOR,Restated
2008-12,3.182B,3.182B,264.94M,771.12M,1.036B,,-874.63M,161.44M,0.00,1.802B,-1.686B,-289.86M,-1.396B,-25.22M,,,-1.422B,-672.04M,154.99M,-719.76M,,-3.84,-0.07,,-1.958,-3.91,,-3.84,-0.07,,-1.985,-3.91,,384.90M,390.44M,0.375,,,Restated
2008-09,3.504B,3.504B,267.37M,748.41M,1.016B,,-15.31M,1.000B,0.00,1.807B,599.41M,213.62M,385.79M,-11.65M,,,374.14M,395.64M,175.30M,1.565B,,1.03,-0.03,,1.056,1.00,,1.03,-0.03,,1.056,1.00,,374.29M,374.29M,0.375,,,Restated
2008-06,3.350B,3.350B,288.10M,773.67M,1.062B,,-13.56M,1.048B,0.00,1.728B,701.34M,238.84M,462.50M,-9.593M,,,452.90M,471.44M,175.63M,1.665B,,1.24,-0.03,,1.264,1.21,,1.24,-0.03,,1.264,1.21,,372.35M,373.65M,0.375,,,Restated
2008-03,3.868B,3.868B,297.79M,611.28M,909.07M,,,909.07M,,1.812B,967.05M,334.49M,632.56M,-84.05M,,,548.50M,632.56M,185.51M,2.035B,,1.71,-0.23,,1.71,1.48,,1.70,-0.23,,1.70,1.47,,370.61M,373.13M,0.375,,,
2007-12,3.921B,3.921B,358.18M,622.10M,980.28M,,-27.81M,952.47M,,1.762B,491.17M,169.56M,321.61M,-95.04M,,,226.57M,339.82M,196.16M,1.689B,,0.90,-0.28,,0.9483,0.62,,0.89,-0.28,,0.9381,0.62,,376.85M,378.83M,0.0267,,,
2007-09,3.774B,3.774B,332.69M,627.36M,960.05M,,-19.35M,940.70M,,1.624B,1.244B,428.01M,816.37M,-898.03M,,,-81.66M,829.07M,152.74M,2.387B,,2.11,-2.32,,2.143,-0.21,,2.09,-2.32,,2.123,-0.21,,388.85M,388.85M,0.0267,,,
2007-06,3.566B,3.566B,326.72M,713.24M,1.040B,,-101.14M,938.82M,,1.560B,1.052B,302.00M,750.37M,,,,750.37M,822.49M,162.17M,2.205B,,1.92,0.00,,2.105,1.92,,1.89,0.00,,2.072,1.89,,390.82M,397.02M,0.0267,,,
2007-03,3.433B,3.433B,331.55M,724.26M,1.056B,,,1.056B,,1.623B,1.038B,362.88M,675.05M,,,,675.05M,675.05M,167.68M,2.203B,,1.65,0.00,,1.65,1.65,,1.62,0.00,,1.62,1.62,,409.12M,416.70M,0.0267,,,
2006-12,3.064B,3.064B,395.36M,617.56M,1.013B,,,1.013B,,1.393B,588.60M,185.99M,402.61M,,,,390.73M,402.61M,159.12M,1.520B,,1.11,-0.04,,1.11,1.07,,1.11,-0.04,,1.11,1.07,,336.08M,337.70M,0.0267,,,
2006-09,3.056B,3.056B,368.50M,554.50M,923.00M,,,923.00M,,1.295B,898.70M,310.87M,587.84M,,,,587.84M,587.84M,128.75M,1.669B,,1.95,0.00,,1.95,1.95,,1.89,0.00,,1.89,1.89,,301.46M,311.03M,0.0267,,,
2006-06,2.907B,2.907B,356.70M,536.46M,893.16M,,,893.16M,,1.197B,863.65M,311.07M,552.59M,,,,552.59M,552.59M,129.23M,1.564B,,1.84,0.00,,1.84,1.84,,1.78,0.00,,1.78,1.78,,300.32M,310.44M,0.0267,,,
2006-03,3.065B,3.065B,323.77M,516.14M,839.92M,,,839.92M,,1.207B,1.321B,438.04M,883.34M,,,,883.34M,883.34M,124.99M,1.993B,,2.95,0.00,,2.95,2.95,,2.86,0.00,,2.86,2.86,,299.44M,308.86M,0.0267,,,
2005-12,2.703B,2.703B,447.44M,459.79M,907.22M,,,907.22M,,1.037B,447.65M,167.34M,280.32M,,,,280.32M,280.32M,119.10M,1.045B,,0.93,0.00,,0.93,0.93,,0.91,0.00,,0.91,0.91,,278.66M,287.22M,0.0267,,,
2005-09,2.505B,2.505B,343.71M,414.35M,758.06M,,,758.06M,,910.22M,765.03M,273.88M,491.15M,,,,491.15M,491.15M,110.02M,1.259B,,1.88,0.00,,1.88,1.88,,1.81,0.00,,1.81,1.81,,261.25M,271.35M,0.0267,,,
2005-06,2.454B,2.454B,277.03M,442.10M,719.14M,,,719.14M,,872.50M,827.28M,296.16M,531.12M,,,,531.12M,531.12M,106.66M,1.307B,,2.10,0.00,,2.10,2.10,,2.03,0.00,,2.03,2.03,,252.91M,261.63M,0.0267,,,
2005-03,2.376B,2.376B,311.76M,433.50M,745.26M,,,745.26M,,860.52M,789.04M,282.48M,506.56M,,,,506.56M,506.56M,89.86M,1.265B,,2.08,0.00,,2.08,2.08,,1.99,0.00,,1.99,1.99,,243.54M,254.55M,0.0267,,,
2004-12,2.306B,2.306B,511.14M,382.65M,893.79M,,,893.79M,,784.56M,282.48M,87.35M,195.13M,,,,195.13M,195.13M,91.47M,747.24M,,0.80,0.00,,0.80,0.80,,0.76,0.00,,0.76,0.76,,239.10M,251.98M,0.0267,,,
2004-09,2.315B,2.315B,317.65M,415.99M,733.64M,,,733.64M,,775.38M,734.98M,244.82M,490.16M,,,,490.16M,490.16M,92.98M,1.188B,,2.07,0.00,,2.07,2.07,,1.97,0.00,,1.97,1.97,,236.79M,248.81M,0.0267,,,
2004-06,2.107B,2.107B,253.84M,419.70M,673.53M,,,673.53M,,711.02M,636.01M,228.63M,407.39M,,,,407.39M,407.39M,101.12M,1.077B,,1.74,0.00,,1.74,1.74,,1.65,0.00,,1.65,1.65,,234.13M,246.90M,0.0267,,,
2004-03,2.175B,2.175B,255.15M,424.39M,679.54M,,,679.54M,,732.02M,706.59M,255.79M,450.81M,,,,450.81M,450.81M,96.28M,1.139B,,1.94,0.00,,1.94,1.94,,1.84,0.00,,1.84,1.84,,232.37M,245.00M,0.0267,,,
2003-12,2.102B,2.102B,290.14M,412.06M,702.20M,,,702.20M,,664.10M,418.54M,154.86M,263.68M,,0.00,,263.68M,263.68M,100.89M,842.22M,,1.15,0.00,0.00,1.15,1.15,,1.10,0.00,0.0004,1.10,1.10,,228.78M,239.05M,0.0267,,,
2003-09,2.067B,2.067B,316.03M,387.65M,703.68M,,,703.68M,,703.92M,462.39M,171.08M,291.30M,,-15.04M,,276.27M,291.30M,96.96M,861.49M,,1.30,-0.07,0.00,1.30,1.23,,1.23,-0.07,-0.0669,1.23,1.17,,224.61M,236.13M,0.0267,,,
2003-06,1.993B,1.993B,270.56M,374.24M,644.80M,,,644.80M,,682.26M,454.23M,168.07M,286.17M,,,,286.17M,286.17M,93.25M,842.25M,,1.28,0.00,,1.28,1.28,,1.23,0.00,,1.23,1.23,,223.57M,232.66M,0.0267,,,
2003-03,2.039B,2.039B,241.70M,398.47M,640.16M,,,640.16M,,734.80M,489.62M,181.16M,308.46M,,,,308.46M,308.46M,92.92M,861.39M,,1.38,0.00,,1.38,1.38,,1.35,0.00,,1.35,1.35,,223.52M,228.49M,0.0267,,,
2002-12,2.051B,2.051B,210.85M,380.60M,591.45M,,,591.45M,,731.03M,386.58M,146.90M,239.68M,,,,239.68M,239.68M,219.55M,769.21M,,1.09,0.00,,1.09,1.09,,1.05,0.00,,1.05,1.05,,219.88M,228.20M,0.0267,,,
2002-09,2.243B,2.243B,185.80M,417.19M,602.98M,,,602.98M,,722.43M,417.48M,158.64M,258.84M,,,,258.84M,258.84M,53.67M,803.13M,,1.17,0.00,,1.17,1.17,,1.13,0.00,,1.13,1.13,,221.23M,229.06M,0.0267,,,
2002-06,2.039B,2.039B,320.45M,379.36M,699.81M,,,699.81M,,654.41M,343.74M,130.62M,213.12M,,,,213.12M,213.12M,16.87M,713.99M,,0.97,0.00,,0.97,0.97,,0.92,0.00,,0.92,0.92,,219.96M,231.68M,0.0267,,,
2002-03,1.810B,1.810B,353.54M,380.74M,734.27M,,,734.27M,,584.11M,303.25M,115.24M,188.02M,,,,188.02M,188.02M,93.44M,626.37M,,0.86,0.00,,0.86,0.86,,0.83,0.00,,0.83,0.83,,218.62M,226.52M,0.0267,,,
2001-12,1.701B,1.701B,301.16M,374.79M,675.95M,,,675.95M,,511.77M,286.58M,108.89M,177.68M,,,,177.68M,177.68M,95.95M,601.41M,,0.83,0.00,,0.83,0.83,,0.80,0.00,,0.80,0.80,,218.33M,223.98M,0.0267,,,
2001-09,1.604B,1.604B,281.91M,349.49M,631.40M,,,631.40M,,449.06M,266.68M,101.34M,165.34M,,,,165.34M,165.34M,160.15M,561.55M,,0.78,0.00,,0.78,0.78,,0.75,0.00,,0.75,0.75,,209.08M,221.18M,0.0267,,,
2001-06,1.444B,1.444B,268.71M,342.08M,610.78M,,,610.78M,,370.07M,250.53M,95.20M,155.33M,,,,155.33M,155.33M,5.347M,537.68M,,0.74,0.00,,0.74,0.74,,0.70,0.00,,0.70,0.70,,209.90M,221.90M,0.0267,,,
2001-03,1.400B,1.400B,231.20M,325.72M,556.92M,,,556.92M,,375.72M,231.63M,88.02M,143.61M,,,,143.61M,143.61M,76.12M,505.79M,,0.70,0.00,,0.70,0.70,,0.66,0.00,,0.66,0.66,,205.16M,217.60M,0.0267,,,
2000-12,1.425B,1.425B,259.46M,287.74M,547.20M,,,547.20M,,522.56M,206.90M,78.62M,128.28M,,,,128.28M,128.28M,70.25M,454.57M,,0.66,0.00,,0.66,0.66,,0.61,0.00,,0.61,0.61,,194.05M,210.37M,0.0267,,,
2000-09,1.209B,1.209B,233.19M,264.17M,497.36M,,,497.36M,,412.87M,196.97M,74.85M,122.12M,,,,122.12M,122.12M,118.73M,415.82M,,0.62,0.00,,0.62,0.62,,0.58,0.00,,0.58,0.58,,196.97M,210.56M,0.0267,,,
2000-06,1.075B,1.075B,211.56M,236.62M,448.18M,,,448.18M,,363.96M,181.49M,68.97M,112.52M,,,,112.52M,112.52M,2.409M,354.04M,,0.57,0.00,,0.57,0.57,,0.54,0.00,,0.54,0.54,,197.41M,208.38M,0.0266,,,
2000-03,1.009B,1.009B,201.94M,234.84M,436.77M,,,436.77M,,353.50M,172.11M,65.40M,106.71M,,,,106.71M,106.71M,53.43M,334.06M,,0.54,0.00,,0.54,0.54,,0.51,0.00,,0.51,0.51,,197.61M,209.23M,0.0267,,,
1999-12,950.43M,950.43M,202.41M,207.50M,409.90M,,,409.90M,,295.80M,149.23M,51.35M,97.88M,,,,97.88M,97.88M,50.10M,304.04M,,0.50,0.00,,0.50,0.50,,0.46,0.00,,0.46,0.46,,195.57M,212.94M,0.0266,,,
1999-09,897.29M,897.29M,175.16M,199.05M,374.21M,,,374.21M,,276.23M,153.81M,58.45M,95.36M,,,,95.36M,95.36M,46.20M,289.62M,,0.48,0.00,,0.48,0.48,,0.45,0.00,,0.45,0.45,,198.67M,211.92M,0.0266,,,
