,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-06,281.42M,281.42M,311.88M,,311.88M,89.52M,38.89M,249.88M,348.61M,60.89M,45.97M,,1.057B,,,,,,,,311.46M,1.241B,1.053B,2.293B,1.89M,0.086M,60.55M,2.667B,3.724B,,76.49M,17.92M,,94.41M,148.22M,242.64M,,,4.70M,4.70M,,,15.90M,263.24M,970.82M,,970.82M,413.55M,413.55M,156.42M,2.095M,118.58M,1.659B,1.923B,,43.20M,1.643B,401.38M,125.39M,,,-162.76M,1.799B,,AOR,Restated
2013-03,306.55M,306.55M,307.02M,,307.02M,83.70M,51.40M,228.90M,332.82M,57.65M,45.62M,,1.058B,,,,,,,,300.83M,1.237B,1.035B,2.271B,1.947M,0.204M,61.78M,2.636B,3.694B,,67.38M,17.22M,,84.60M,144.20M,228.81M,,,4.70M,4.70M,,,27.96M,261.47M,968.04M,,968.04M,409.29M,409.29M,159.15M,2.829M,120.71M,1.657B,1.919B,,43.18M,1.615B,397.55M,125.49M,,,-157.52M,1.772B,,AOR,Restated
2012-12,337.04M,337.04M,297.98M,,297.98M,84.64M,47.44M,222.97M,323.35M,55.87M,51.02M,,1.073B,201.16M,,383.94M,,41.42M,626.52M,-328.58M,297.94M,1.238B,1.059B,2.297B,2.066M,1.347M,61.86M,2.660B,3.734B,,75.16M,16.90M,,92.06M,149.07M,241.13M,4.70M,,4.70M,4.70M,,,29.47M,275.30M,965.28M,,965.28M,418.87M,418.87M,170.95M,2.587M,121.75M,1.677B,1.952B,,43.10M,1.601B,394.38M,127.95M,,,-132.05M,1.779B,,AOR,Restated
2012-09,634.83M,634.83M,266.95M,,266.95M,84.29M,47.23M,194.29M,295.61M,58.11M,29.70M,,1.293B,,,,,,,,267.39M,1.114B,930.92M,2.045B,1.771M,0.293M,63.42M,2.378B,3.671B,,63.70M,16.18M,21.59M,101.48M,72.89M,174.36M,,,4.70M,4.70M,2.008M,1.051M,,248.68M,962.60M,,962.60M,393.19M,393.19M,178.76M,2.443M,68.67M,1.667B,1.915B,,,,,,,,,1.753B,,AOR,Restated
2012-06,544.99M,544.99M,275.17M,,275.17M,82.53M,45.34M,186.69M,284.56M,54.50M,36.53M,,1.250B,,,,,,,,253.68M,1.096B,938.13M,2.034B,1.669M,0.275M,67.84M,2.357B,3.607B,,65.47M,16.82M,,82.29M,92.33M,174.62M,,,4.70M,4.70M,2.68M,1.011M,1.749M,242.67M,959.94M,,959.94M,397.45M,397.45M,182.46M,2.544M,72.05M,1.672B,1.915B,,,,,,,,,1.689B,,AOR,Restated
2012-03,590.92M,590.92M,310.93M,,310.93M,88.77M,47.94M,194.93M,298.97M,74.62M,39.31M,,1.323B,,,,,,,,263.42M,1.120B,871.71M,1.991B,1.847M,0.292M,70.15M,2.327B,3.650B,,62.33M,51.24M,,113.58M,96.13M,209.70M,,,4.70M,4.70M,2.577M,1.081M,,275.35M,957.36M,,957.36M,412.66M,412.66M,187.06M,2.50M,32.58M,1.653B,1.928B,,,,,,,,,1.719B,,AOR,Restated
2011-12,584.09M,584.09M,286.23M,,286.23M,87.62M,45.49M,198.59M,298.78M,62.25M,41.01M,,1.280B,189.82M,,349.85M,,26.39M,566.05M,-314.14M,251.91M,1.439B,879.79M,2.318B,2.008M,0.278M,71.32M,2.644B,3.924B,,67.09M,21.08M,,88.18M,149.55M,237.73M,4.986M,,4.986M,4.986M,1.05M,1.05M,27.24M,271.01M,954.81M,,954.81M,420.83M,420.83M,194.98M,2.195M,99.69M,1.670B,1.941B,,42.92M,1.847B,380.96M,131.05M,,,-159.35M,1.981B,,AOR,Restated
2011-09,371.70M,371.70M,277.34M,,277.34M,92.18M,49.94M,201.46M,311.42M,74.60M,33.08M,,1.186B,,,,,,,,250.58M,1.457B,897.85M,2.355B,2.161M,0.34M,74.64M,2.682B,3.869B,,76.24M,10.70M,,86.94M,126.20M,213.14M,,29.70M,29.70M,29.70M,5.725M,5.725M,68.86M,383.97M,952.32M,,952.32M,383.56M,383.56M,110.50M,4.846M,101.36M,1.548B,1.932B,,,,,,,,,1.932B,,AOR,Restated
2011-06,365.81M,365.81M,283.18M,,308.26M,89.24M,50.04M,188.21M,293.82M,30.58M,35.00M,,1.149B,,,,,,,,255.25M,1.475B,917.55M,2.393B,2.284M,0.376M,78.40M,2.729B,3.878B,,67.56M,3.786M,,71.34M,128.11M,199.45M,,,29.70M,29.70M,20.64M,5.147M,45.83M,364.28M,949.87M,,949.87M,392.56M,392.56M,114.91M,4.712M,106.28M,1.564B,1.928B,,,,,,,,,1.946B,,AOR,Restated
2011-03,202.30M,202.30M,289.79M,,300.18M,113.20M,61.26M,177.91M,319.90M,29.02M,34.35M,,925.92M,,,,,,,,274.33M,1.469B,927.64M,2.397B,4.723M,0.37M,76.84M,2.753B,3.679B,,82.68M,4.63M,,87.30M,125.53M,212.83M,,,29.70M,29.70M,20.12M,4.802M,11.63M,341.91M,822.47M,,822.47M,387.00M,387.00M,117.59M,4.278M,120.84M,1.448B,1.790B,,,,,,,,,1.885B,,AOR,Restated
2010-12,208.45M,208.45M,294.20M,,294.20M,128.75M,54.10M,194.03M,338.60M,32.72M,39.31M,,921.23M,0.00,217.34M,431.89M,,16.49M,665.72M,-378.02M,287.70M,1.442B,918.52M,2.361B,4.899M,0.358M,68.03M,2.722B,3.643B,,84.85M,33.40M,,118.24M,107.32M,225.57M,31.21M,72.50M,103.71M,103.71M,4.433M,4.433M,15.63M,420.76M,813.41M,,813.41M,370.82M,370.82M,141.77M,3.902M,46.52M,1.435B,1.856B,,42.24M,1.579B,349.16M,135.06M,,,-51.88M,1.783B,,AOR,Restated
2010-09,247.76M,247.76M,294.28M,,343.83M,139.72M,64.54M,192.16M,359.97M,21.17M,58.73M,11.26M,1.043B,,,,,,,,292.29M,1.439B,928.91M,2.368B,13.29M,0.00,81.66M,2.755B,3.798B,,91.59M,1.901M,,93.49M,168.44M,261.93M,,,181.19M,181.19M,6.648M,6.648M,15.36M,465.13M,904.41M,,904.41M,416.94M,416.94M,134.43M,4.046M,159.68M,1.615B,2.081B,,,,,,,,,1.713B,,AOR,Restated
2010-06,287.13M,287.13M,291.39M,,325.80M,136.63M,57.79M,176.36M,337.36M,21.28M,55.77M,8.037M,1.035B,,,,,,,,290.76M,1.409B,925.99M,2.335B,14.01M,0.00,68.40M,2.708B,3.744B,,82.12M,11.22M,,93.34M,164.48M,257.81M,,,41.46M,41.46M,6.926M,6.926M,15.11M,321.31M,1.128B,,1.128B,400.33M,400.33M,162.79M,4.51M,149.37M,1.841B,2.162B,,,,,,,,,1.577B,,AOR,Restated
2010-03,210.72M,210.72M,297.44M,,332.09M,145.74M,60.70M,181.61M,353.78M,25.86M,58.31M,8.521M,989.27M,,,,,,,,305.52M,1.440B,1.026B,2.466B,13.90M,0.00,,2.785B,3.774B,,86.35M,12.94M,,99.29M,100.63M,199.93M,,,104.19M,104.19M,3.355M,3.355M,15.90M,323.36M,1.141B,,1.141B,401.34M,401.34M,164.22M,4.801M,156.44M,1.863B,2.187B,,42.11M,1.456B,282.02M,135.96M,,,-61.61M,1.583B,,AOR,Restated
2009-12,188.30M,188.30M,265.30M,,366.04M,150.51M,53.85M,191.75M,360.84M,21.87M,58.01M,8.866M,1.004B,0.00,226.30M,447.30M,,14.96M,688.56M,-371.06M,317.50M,1.459B,971.58M,2.431B,12.09M,0.336M,74.13M,2.835B,3.839B,,94.98M,30.70M,,125.68M,190.71M,316.39M,3.997M,0.011M,4.008M,4.008M,16.71M,0.00,,337.11M,1.192B,,1.192B,398.92M,398.92M,164.73M,4.833M,160.68M,1.917B,2.254B,,42.03M,1.432B,277.05M,136.60M,,,-34.12M,1.580B,,AOR,Restated
2009-09,158.79M,158.79M,266.92M,,304.55M,164.98M,61.28M,205.39M,395.23M,20.10M,58.61M,9.01M,946.29M,,,,,,,,327.01M,1.467B,1.055B,2.522B,12.21M,0.00,,2.861B,3.808B,,85.83M,13.34M,,99.18M,121.67M,220.84M,,,5.956M,5.956M,8.254M,8.254M,90.78M,325.84M,1.249B,,1.249B,344.20M,344.20M,169.87M,4.471M,165.63M,1.928B,2.254B,,42.02M,1.403B,274.52M,137.20M,,,-32.92M,1.549B,,AOR,Restated
2009-06,114.27M,114.27M,275.32M,,312.94M,185.14M,59.11M,203.98M,411.23M,21.00M,60.11M,8.689M,928.24M,,,,,,,,329.47M,1.444B,1.060B,2.505B,15.95M,0.265M,,2.851B,3.779B,,104.30M,3.439M,,107.73M,130.46M,238.20M,,,5.736M,5.736M,5.735M,5.735M,91.34M,341.01M,1.300B,,1.300B,335.18M,335.18M,172.65M,4.508M,163.68M,1.971B,2.312B,,42.00M,1.378B,271.54M,137.20M,,,-92.16M,1.462B,,AOR,Restated
2009-03,143.05M,143.05M,288.97M,,299.98M,180.50M,60.71M,199.71M,406.83M,19.66M,64.41M,7.773M,941.69M,,,,,,,,332.41M,1.447B,1.062B,2.509B,15.89M,6.864M,,2.865B,3.806B,,109.71M,89.27M,,198.98M,197.93M,396.91M,,,5.973M,5.973M,4.786M,4.786M,22.97M,430.64M,1.300B,,1.300B,324.94M,324.94M,170.02M,4.111M,175.57M,1.970B,2.401B,,,,,,,,,1.401B,,AOR,Restated
2008-12,107.28M,107.28M,311.91M,,329.87M,185.27M,55.62M,221.28M,424.65M,21.37M,66.01M,8.21M,957.39M,0.00,246.96M,494.67M,,18.40M,760.03M,-385.74M,374.29M,1.474B,1.091B,2.565B,28.10M,1.986M,,2.969B,3.927B,,139.68M,12.61M,,152.29M,235.20M,387.49M,5.195M,103.66M,108.85M,108.85M,2.227M,2.227M,27.37M,525.94M,1.438B,,1.438B,324.68M,324.68M,169.84M,39.43M,182.86M,2.115B,2.641B,,42.00M,1.183B,268.26M,138.51M,,,-108.20M,1.246B,,AOR,Restated
2008-09,91.40M,91.40M,342.61M,64.84M,407.46M,202.42M,66.64M,200.79M,430.18M,21.27M,52.62M,3.312M,1.006B,,,,,,766.79M,-353.36M,413.43M,1.498B,1.151B,2.648B,,2.168M,26.99M,3.091B,4.097B,,144.28M,,,144.28M,158.08M,302.36M,,,89.92M,89.92M,21.52M,21.52M,113.03M,526.83M,1.488B,,1.488B,399.14M,399.14M,,35.41M,260.85M,2.148B,2.675B,,41.98M,,,,,,1.345B,1.387B,,,
