,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-03,5.130B,5.130B,4.761B,369.65M,186.77M,,50.83M,,,,186.77M,182.88M,,,,55.88M,,138.00M,44.85M,93.15M,,93.15M,58.84M,335.31M,152.43M,182.88M,0.1429,0.0,,0.0913,0.1429,0.1429,0.0,,0.0913,0.1429,665.54M,665.54M,0.0476
2000-12,4.941B,4.941B,4.525B,416.31M,187.44M,,44.95M,,,,187.44M,228.86M,,,,55.21M,,184.60M,60.00M,124.61M,,124.61M,94.27M,386.65M,157.78M,228.86M,0.1905,0.0,,0.1449,0.1905,0.1905,0.0,,0.1449,0.1905,665.07M,665.07M,0.0476
2000-09,4.635B,4.635B,4.351B,283.91M,169.32M,,17.65M,,,,169.32M,114.58M,,,,102.80M,,116.19M,6.76M,109.43M,,109.43M,92.81M,273.73M,159.15M,114.58M,0.1619,0.0,,0.1369,0.1619,0.1619,0.0,,0.1369,0.1619,664.21M,664.21M,0.0453
2000-06,-823.63M,-823.63M,-1.677B,853.64M,174.30M,,123.69M,,,,821.94M,31.71M,,,,56.67M,,-9.643M,-69.23M,59.59M,,59.59M,-14.63M,192.26M,160.56M,31.71M,0.08,0.0,,-0.0215,0.08,0.08,0.0,,-0.0215,0.08,731.11M,731.11M,0.0453
2000-03,4.474B,4.474B,4.139B,334.98M,184.85M,,37.68M,,,,184.85M,150.13M,,,,99.23M,,154.93M,51.90M,103.03M,,103.03M,77.97M,313.55M,163.43M,150.13M,0.1382,0.0,,0.1042,0.1382,0.1382,0.0,,0.1042,0.1382,736.90M,736.90M,0.0453
1999-12,4.615B,4.615B,4.209B,406.27M,199.48M,,40.35M,,,,199.48M,206.80M,,,,45.98M,,153.26M,51.34M,101.92M,,101.92M,75.09M,371.61M,164.82M,206.80M,0.1382,0.0,,0.1019,0.1382,0.1382,0.0,,0.1019,0.1382,740.26M,740.26M,0.0453
1999-09,4.611B,4.611B,4.339B,272.32M,170.74M,,38.70M,,,,170.74M,101.58M,,,,38.54M,,54.69M,18.32M,36.37M,,36.37M,10.63M,260.43M,158.84M,101.58M,0.0518,0.0,,0.0172,0.0518,0.0518,0.0,,0.0172,0.0518,743.22M,743.22M,0.0431
1999-06,3.192B,3.192B,2.754B,438.30M,178.30M,,-297.00M,,,,338.50M,99.80M,,,,-297.00M,,53.60M,11.30M,42.30M,,42.30M,276.69M,260.00M,160.20M,99.80M,0.0329,0.0082,0.0007,0.2884,0.0411,0.0164,0.0082,0.0007,0.272,0.0247,917.32M,917.32M,0.0431
1999-03,3.378B,3.378B,2.980B,397.90M,173.80M,,39.00M,,,,332.80M,65.10M,,,,39.00M,,17.90M,6.20M,11.70M,,11.70M,-13.79M,224.10M,159.00M,65.10M,0.0164,0.0,,-0.0194,0.0164,0.0164,0.0,,-0.0194,0.0164,711.36M,711.36M,0.0431
1998-12,3.912B,3.912B,3.336B,575.90M,182.20M,,15.40M,,,,336.80M,239.10M,,,,15.40M,,169.90M,59.50M,110.40M,,95.10M,100.39M,393.70M,154.60M,239.10M,0.1398,-0.0247,-0.0185,0.1277,0.1151,0.1398,-0.0247,-0.0185,0.1277,0.1151,826.01M,826.01M,0.0431
1998-09,3.801B,3.801B,3.359B,442.00M,166.80M,,131.60M,,,,315.20M,126.80M,,,,131.60M,,178.40M,61.50M,116.90M,,116.90M,30.67M,275.20M,148.40M,126.80M,0.148,0.0,,0.0388,0.148,0.148,0.0,,0.0388,0.148,789.72M,789.72M,0.041
1998-06,4.047B,4.047B,3.576B,470.70M,160.80M,,32.20M,,,,322.60M,148.10M,,,,32.20M,,95.00M,32.30M,62.70M,,62.70M,41.45M,309.90M,161.80M,148.10M,0.1473,0.0,,0.1149,0.1473,0.1473,0.0,,0.1217,0.1473,657.09M,832.07M,0.041
1998-03,4.280B,4.280B,3.755B,525.20M,228.10M,,30.40M,,,,368.80M,156.40M,,,,30.40M,,106.50M,36.20M,70.30M,,70.30M,50.23M,297.10M,140.70M,156.40M,0.0811,0.0,,0.0574,0.0811,0.0811,0.0,,0.0574,0.0811,845.83M,845.83M,0.041
