,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2013-09,481.00M,15.00M,-26.00M,-5.00M,-43.00M,,,227.00M,227.00M,69.00M,23.00M,11.00M,-29.00M,189.00M,1.161B,,1.034B,-381.00M,-221.00M,1.782B,2.521B,-217.00M,10.00M,-207.00M,-19.00M,-28.00M,8.00M,-232.00M,-2.00M,-702.00M,-704.00M,,-84.00M,-84.00M,-126.00M,-126.00M,29.00M,-885.00M,1.848B,1.404B,3.252B,,3.00M,-5.00M,-84.00M
2013-06,226.00M,-9.00M,-47.00M,4.00M,-52.00M,,,227.00M,227.00M,-59.00M,,4.00M,-1.00M,49.00M,2.241B,,-1.663B,915.00M,104.00M,1.646B,1.991B,-194.00M,16.00M,-178.00M,0.00,-67.00M,29.00M,-111.00M,-7.00M,-1.346B,-1.353B,,-11.00M,-11.00M,-125.00M,-125.00M,9.00M,-1.48B,1.448B,400.00M,1.848B,,3.00M,-10.00M,-11.00M
2013-03,270.00M,12.00M,-79.00M,8.00M,-59.00M,,,227.00M,227.00M,-6.00M,,15.00M,-85.00M,-146.00M,1.386B,,-1.083B,81.00M,-243.00M,-5.00M,357.00M,-248.00M,10.00M,-238.00M,-16.00M,391.00M,1.00M,169.00M,-233.00M,-441.00M,-674.00M,,0.00,0.00,-125.00M,-125.00M,7.00M,-792.00M,1.714B,-266.00M,1.448B,,17.00M,-250.00M,0.00
2012-09,184.00M,,-84.00M,,-84.00M,,,217.00M,217.00M,102.00M,146.00M,22.00M,71.00M,472.00M,-1.415B,,2.519B,-1.751B,,-175.00M,483.00M,-252.00M,,-252.00M,-21.00M,-319.00M,30.00M,-562.00M,-1.409B,1.547B,138.00M,,0.00,0.00,,-115.00M,,23.00M,1.291B,-56.00M,1.235B,,3.00M,-1.412B,0.00
2012-06,293.00M,,-35.00M,-88.00M,-123.00M,,,220.00M,220.00M,-3.00M,1.00M,7.00M,231.00M,-455.00M,837.00M,,-86.00M,-285.00M,,11.00M,637.00M,-284.00M,9.00M,-275.00M,-132.00M,221.00M,161.00M,-25.00M,-144.00M,161.00M,17.00M,,-44.00M,-44.00M,,-116.00M,4.00M,-139.00M,818.00M,473.00M,1.291B,,2.00M,-146.00M,-44.00M
2012-03,405.00M,,-102.00M,66.00M,-36.00M,,,214.00M,214.00M,20.00M,16.00M,7.00M,-107.00M,2.17B,-629.00M,,-1.405B,-1.438B,,-1.302B,-783.00M,-341.00M,15.00M,-326.00M,-33.00M,201.00M,-5.00M,-163.00M,-79.00M,1.112B,1.033B,,-56.00M,-56.00M,,-115.00M,38.00M,900.00M,864.00M,-46.00M,818.00M,,4.00M,-83.00M,-56.00M
2011-12,83.00M,,-49.00M,26.00M,-23.00M,,,207.00M,207.00M,7.00M,350.00M,7.00M,-3.00M,133.00M,-1.289B,,831.00M,884.00M,-233.00M,326.00M,954.00M,-409.00M,21.00M,-388.00M,-194.00M,-105.00M,2.00M,-685.00M,1.00M,-413.00M,-412.00M,,-187.00M,-187.00M,,-117.00M,-9.00M,-725.00M,1.32B,-456.00M,864.00M,,89.00M,-88.00M,-187.00M
2011-09,461.00M,,-57.00M,,-57.00M,,,207.00M,207.00M,21.00M,0.00,27.00M,123.00M,-623.00M,809.00M,,1.124B,-5.00M,,1.305B,2.087B,-443.00M,,-443.00M,-12.00M,300.00M,-94.00M,-249.00M,-115.00M,-663.00M,-778.00M,,-240.00M,-240.00M,,-107.00M,-8.00M,-1.133B,615.00M,705.00M,1.32B,,2.00M,-117.00M,-240.00M
2011-06,379.00M,,-175.00M,-65.00M,-169.00M,,,212.00M,212.00M,336.00M,2.00M,6.00M,-95.00M,189.00M,1.709B,,-278.00M,1.153B,-1.035B,1.738B,2.409B,-334.00M,-52.00M,-386.00M,-12.00M,219.00M,91.00M,-88.00M,-110.00M,-3.878B,-3.988B,,-207.00M,1.543B,,-102.00M,-17.00M,-2.564B,858.00M,-243.00M,615.00M,,1.00M,-111.00M,-207.00M
2011-03,568.00M,,-41.00M,22.00M,-19.00M,,,202.00M,202.00M,59.00M,0.00,5.00M,-104.00M,-166.00M,-501.00M,,-1.419B,709.00M,,-1.377B,-666.00M,-268.00M,7.00M,-261.00M,-43.00M,-146.00M,4.00M,-446.00M,1.459B,80.00M,1.539B,,-8.00M,-8.00M,,-101.00M,14.00M,1.444B,526.00M,332.00M,858.00M,,1.528B,-69.00M,-8.00M
2010-12,729.00M,,-95.00M,22.00M,-144.00M,,,211.00M,211.00M,199.00M,0.00,11.00M,-6.00M,975.00M,-3.463B,,2.06B,-3.732B,-52.00M,-4.212B,-3.212B,-310.00M,4.00M,-306.00M,-163.00M,-144.00M,-26.00M,-639.00M,-190.00M,3.855B,3.665B,,-55.00M,-55.00M,,-96.00M,1.00M,3.515B,862.00M,-336.00M,526.00M,,13.00M,-203.00M,-55.00M
2010-09,342.00M,,-86.00M,25.00M,-61.00M,,,252.00M,252.00M,-73.00M,,25.00M,25.00M,-1.685B,-1.157B,,1.991B,-582.00M,52.00M,-1.381B,-871.00M,-335.00M,41.00M,-294.00M,0.00,-214.00M,6.00M,-502.00M,-12.00M,1.324B,1.312B,,-31.00M,-31.00M,,-96.00M,4.00M,1.189B,1.046B,-184.00M,862.00M,,22.00M,-34.00M,-31.00M
2010-06,1.919B,,-94.00M,23.00M,-97.00M,,,239.00M,239.00M,-60.00M,,4.00M,-1.354B,-1.768B,147.00M,,-551.00M,1.069B,352.00M,-751.00M,-91.00M,-377.00M,-25.00M,-402.00M,-149.00M,-7.00M,106.00M,-452.00M,78.00M,118.00M,196.00M,,-100.00M,-100.00M,,-96.00M,-70.00M,-70.00M,1.659B,-613.00M,1.046B,,13.00M,65.00M,-100.00M
2010-03,-1.058B,,-25.00M,-178.00M,-128.00M,,,242.00M,242.00M,-112.00M,,10.00M,1.404B,1.014B,723.00M,,-218.00M,-239.00M,-243.00M,1.037B,1.395B,-291.00M,3.00M,-288.00M,-2.00M,-124.00M,-19.00M,-433.00M,-577.00M,51.00M,-526.00M,,0.00,0.00,,-96.00M,2.00M,-620.00M,1.317B,342.00M,1.659B,,4.00M,-581.00M,0.00
2009-12,561.00M,,-115.00M,21.00M,-94.00M,,,222.00M,222.00M,205.00M,,11.00M,25.00M,-499.00M,-2.009B,,899.00M,118.00M,-51.00M,-1.542B,-612.00M,-442.00M,15.00M,-427.00M,-57.00M,141.00M,-8.00M,-351.00M,8.00M,-33.00M,-25.00M,,0.00,0.00,,-90.00M,5.00M,-110.00M,2.39B,-1.073B,1.317B,,10.00M,-2.00M,0.00
2009-09,497.00M,,-92.00M,24.00M,-68.00M,,,209.00M,209.00M,-3.00M,,20.00M,75.00M,713.00M,735.00M,,-323.00M,121.00M,16.00M,1.262B,1.992B,-497.00M,7.00M,-490.00M,,57.00M,4.00M,-429.00M,-34.00M,-107.00M,-141.00M,,,,,-90.00M,3.00M,-228.00M,1.055B,1.335B,2.39B,,0.00,-34.00M,
2009-06,60.00M,,-20.00M,,-177.00M,,,204.00M,204.00M,-136.00M,,,210.00M,212.00M,324.00M,,-1.048B,-202.00M,-35.00M,-749.00M,-510.00M,-436.00M,7.00M,-429.00M,-178.00M,-84.00M,42.00M,-649.00M,17.00M,99.00M,116.00M,,0.00,0.00,,-90.00M,0.00,26.00M,2.188B,-1.133B,1.055B,,23.00M,2.983B,0.00
2009-03,3.00M,,202.00M,,202.00M,,,195.00M,195.00M,-4.00M,,,52.00M,1.325B,-280.00M,,-1.26B,-342.00M,95.00M,-462.00M,-14.00M,-393.00M,4.00M,-389.00M,1.00M,716.00M,7.00M,335.00M,-2.00M,-291.00M,-293.00M,,0.00,0.00,,-90.00M,2.00M,-381.00M,2.248B,-60.00M,2.188B,,0.00,-293.00M,0.00
2008-12,575.00M,,-128.00M,,4.00M,,,204.00M,204.00M,95.00M,,,-459.00M,1.491B,130.00M,,-1.286B,399.00M,32.00M,766.00M,1.185B,-586.00M,22.00M,-564.00M,1.00M,-670.00M,-25.00M,-1.258B,86.00M,-2.698B,-129.00M,,0.00,0.00,,-83.00M,1.00M,-211.00M,2.532B,-284.00M,2.248B,,102.00M,-2.714B,0.00
2008-09,1.05B,,,,-132.00M,,,177.00M,177.00M,65.00M,,,-7.00M,652.00M,1.725B,,1.371B,-281.00M,60.00M,3.527B,4.68B,-483.00M,32.00M,-451.00M,212.00M,-67.00M,7.00M,-299.00M,,,-2.483B,,-100.00M,-100.00M,,-84.00M,8.00M,-2.659B,810.00M,1.722B,2.532B,,,,-100.00M
2008-06,-1.43B,,,,-148.00M,,,181.00M,181.00M,-333.00M,,,2.027B,-2.55B,770.00M,,1.446B,60.00M,-119.00M,-393.00M,-37.00M,-467.00M,52.00M,-415.00M,8.00M,157.00M,-17.00M,-267.00M,,,-2.585B,,0.00,0.00,,-84.00M,2.577B,-92.00M,1.206B,-396.00M,810.00M,,,,0.00
2008-03,517.00M,,,,-167.00M,,,180.00M,180.00M,112.00M,,,203.00M,-537.00M,-522.00M,,693.00M,-772.00M,52.00M,-1.086B,-241.00M,-416.00M,,-416.00M,0.00,-283.00M,17.00M,-682.00M,,,1.103B,,0.00,0.00,,-84.00M,5.00M,1.024B,1.105B,101.00M,1.206B,,,,0.00
2007-12,472.00M,,,,-43.00M,,,175.00M,175.00M,111.00M,,,7.00M,-880.00M,-2.126B,,752.00M,-148.00M,-36.00M,-2.438B,-1.716B,-537.00M,-9.00M,-546.00M,-5.00M,-177.00M,6.00M,-722.00M,,,2.489B,,-1.00M,-1.00M,,-74.00M,8.00M,2.422B,1.121B,-16.00M,1.105B,,,,-1.00M
2007-09,441.00M,,,,21.00M,,,185.00M,185.00M,-18.00M,,,14.00M,-814.00M,-1.858B,,644.00M,246.00M,-71.00M,-1.853B,-1.21B,-359.00M,9.00M,-350.00M,-5.00M,120.00M,11.00M,-224.00M,,,2.019B,,-60.00M,-60.00M,,-74.00M,7.00M,1.892B,663.00M,458.00M,1.121B,,,,-60.00M
2007-06,955.00M,,,,-1.00B,,,181.00M,181.00M,100.00M,,,-23.00M,-409.00M,703.00M,,-155.00M,-18.00M,3.00M,124.00M,337.00M,-354.00M,45.00M,-309.00M,374.00M,554.00M,-24.00M,595.00M,,,-1.098B,0.00,299.00M,299.00M,,-74.00M,-293.00M,-1.166B,897.00M,-234.00M,663.00M,0.00,,,299.00M
2007-03,363.00M,,,,-130.00M,,,175.00M,175.00M,-17.00M,,,90.00M,268.00M,-292.00M,,-218.00M,-60.00M,83.00M,-219.00M,262.00M,-284.00M,-20.00M,-304.00M,-37.00M,170.00M,40.00M,-131.00M,,,539.00M,170.00M,-696.00M,-526.00M,,-76.00M,6.00M,-57.00M,823.00M,74.00M,897.00M,170.00M,,,-696.00M
2006-12,441.26M,,,,51.40M,,,173.88M,173.88M,35.75M,,,-32.04M,-686.02M,-1.205B,,1.084B,-121.34M,-114.94M,-1.044B,-373.48M,-308.48M,8.602M,-299.88M,-34.80M,-207.92M,39.74M,-502.87M,,,930.50M,,-135.95M,-135.95M,,-65.29M,11.44M,740.70M,958.49M,-135.64M,823.00M,,,,-135.95M
2006-09,402.74M,,,,-57.40M,,,171.12M,171.12M,-9.749M,,,74.04M,-125.98M,-420.60M,,72.01M,8.34M,-37.06M,-503.29M,77.48M,-251.52M,11.40M,-240.12M,-20.20M,-94.08M,38.26M,-316.13M,,,135.50M,,-0.054M,-0.054M,,-65.71M,14.56M,84.30M,1.113B,-154.36M,958.49M,,,,-0.054M
2006-06,410.26M,,,,-34.13M,,,165.93M,165.93M,-11.70M,,,,88.71M,-80.73M,,-168.72M,-3.215M,13.61M,-150.36M,476.36M,-228.52M,11.68M,-216.84M,-13.69M,27.54M,18.75M,-184.23M,,,-56.71M,-18.13M,-1.511M,-19.64M,,-65.56M,,-97.50M,918.23M,194.62M,1.113B,-18.13M,,,-1.511M
2006-03,347.80M,,,,-60.75M,,,163.52M,163.52M,24.12M,,,,-273.75M,-26.72M,,56.72M,-33.60M,-41.85M,-319.20M,155.48M,-215.04M,29.88M,-185.16M,-76.61M,65.00M,103.65M,-93.12M,,,89.48M,7.982M,-0.045M,7.937M,,-65.41M,,32.00M,823.87M,94.36M,918.23M,7.982M,,,-0.045M
2005-12,367.68M,,,,47.34M,,,163.09M,163.09M,-90.52M,,,,-7.94M,-376.03M,,417.67M,-182.13M,,-148.42M,339.17M,-161.03M,8.736M,-152.29M,-34.79M,-266.01M,-60.65M,-513.74M,,,-103.18M,2.321M,-0.011M,2.31M,,-55.53M,,-156.40M,1.155B,-330.97M,823.87M,2.321M,,,-0.011M
2005-09,186.34M,,,,-134.32M,,,164.17M,164.17M,-27.56M,,,,15.55M,-117.11M,,338.86M,-20.90M,,216.40M,405.03M,-157.42M,3.404M,-154.02M,-57.12M,-55.61M,-10.70M,-277.45M,,,552.52M,7.825M,-0.018M,7.807M,,-55.49M,,504.84M,522.42M,632.42M,1.155B,7.825M,,,-0.018M
2005-06,195.10M,,,,44.21M,,,157.40M,157.40M,68.16M,,,,-166.93M,62.02M,,-422.13M,49.52M,95.89M,-381.61M,82.25M,-172.78M,14.93M,-157.85M,-19.33M,62.77M,-82.92M,-197.33M,,,162.13M,4.793M,-135.49M,-130.69M,,-55.03M,,-24.59M,661.88M,-139.68M,522.00M,4.793M,,,-135.49M
