,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2009-03,2.188B,419.00M,2.607B,,,,7.236B,7.84B,,2.201B,430.00M,20.31B,0.0,229.00M,3.104B,12.58B,2.184B,18.09B,-10.51B,7.583B,493.00M,,493.00M,2.989B,596.00M,11.66B,31.98B,6.45B,,,6.45B,2.663B,9.113B,,298.00M,,298.00M,,,,9.411B,7.751B,7.751B,644.00M,644.00M,,,742.00M,9.137B,18.55B,0.00,8.866B,5.016B,,,,-455.00M,13.43B
2008-12,2.248B,1.104B,3.352B,8.673B,,,8.673B,7.681B,,1.86B,538.00M,22.10B,0.0,229.00M,3.085B,12.37B,2.175B,17.86B,-10.45B,7.412B,501.00M,,501.00M,,3.884B,11.80B,33.90B,6.762B,,,6.762B,3.727B,10.49B,,612.00M,,612.00M,,,,11.10B,7.751B,7.751B,620.00M,620.00M,,,735.00M,9.106B,20.21B,0.00,8.947B,4.999B,,,,-252.00M,13.69B
2008-09,2.532B,453.00M,2.985B,8.884B,,,8.884B,8.333B,,2.285B,587.00M,23.07B,0.0,229.00M,3.072B,12.20B,2.168B,17.67B,-10.51B,7.155B,501.00M,,501.00M,,3.977B,11.63B,34.71B,7.189B,,,7.189B,4.161B,11.35B,,751.00M,,751.00M,,,,12.10B,7.754B,7.754B,548.00M,548.00M,,,771.00M,9.073B,21.17B,0.00,8.446B,5.001B,,,,86.00M,13.53B
2008-06,810.00M,2.49B,3.30B,,,,11.48B,10.16B,,,512.00M,25.46B,0.0,238.00M,3.207B,12.41B,1.924B,17.78B,-10.65B,7.125B,506.00M,,506.00M,2.773B,1.197B,11.60B,37.06B,6.544B,,,6.544B,4.722B,11.27B,,3.355B,,3.355B,,,,14.62B,7.69B,7.69B,473.00M,473.00M,,,782.00M,8.945B,23.57B,0.00,7.494B,5.039B,,,,957.00M,13.49B
2008-03,1.206B,526.00M,1.732B,10.45B,,,10.45B,10.57B,,2.094B,387.00M,25.23B,0.0,232.00M,3.167B,12.33B,1.661B,17.39B,-10.53B,6.86B,329.00M,,329.00M,,4.095B,11.28B,36.51B,6.936B,,,6.936B,3.979B,10.92B,,4.97B,,4.97B,,,,15.88B,6.026B,6.026B,597.00M,597.00M,,,843.00M,7.466B,23.35B,0.00,7.206B,5.121B,,,,835.00M,13.16B
2007-12,1.105B,,1.105B,10.03B,,,10.03B,9.517B,,1.322B,690.00M,22.66B,0.0,230.00M,3.108B,12.14B,1.393B,16.87B,-10.30B,6.574B,323.00M,,323.00M,,3.933B,10.83B,33.49B,6.156B,,,6.156B,3.81B,9.966B,,4.595B,,4.595B,,,,14.56B,5.233B,5.233B,599.00M,599.00M,,,773.00M,6.605B,21.17B,0.00,6.773B,5.083B,,,,468.00M,12.32B
2007-09,1.121B,,1.121B,8.428B,,,8.428B,7.747B,,1.182B,540.00M,19.02B,0.0,225.00M,3.056B,12.02B,1.073B,16.37B,-10.14B,6.228B,319.00M,,319.00M,,3.827B,10.37B,29.39B,5.512B,,,5.512B,3.424B,8.936B,,2.59B,,2.59B,,,,11.53B,4.733B,4.733B,552.00M,552.00M,,,761.00M,6.046B,17.57B,0.00,6.375B,5.056B,,,,389.00M,11.82B
2007-06,663.00M,212.00M,875.00M,6.404B,,,6.404B,6.06B,,1.424B,359.00M,15.12B,0.0,227.00M,3.002B,11.82B,884.00M,15.94B,-9.925B,6.01B,317.00M,,317.00M,,3.669B,9.996B,25.12B,4.919B,,,4.919B,2.416B,7.335B,,533.00M,,533.00M,,,,7.868B,4.752B,4.752B,532.00M,532.00M,,,713.00M,5.997B,13.86B,0.00,5.982B,5.09B,,,,181.00M,11.25B
2007-03,896.53M,,896.53M,5.805B,,,5.805B,6.603B,,1.402B,535.91M,15.24B,0.0,221.29M,2.902B,11.73B,744.79M,15.60B,-9.774B,5.823B,320.32M,,320.32M,,3.965B,10.11B,25.35B,4.872B,,,4.872B,2.215B,7.087B,,1.215B,,1.215B,,,,8.302B,5.157B,5.157B,676.65M,676.65M,,,536.59M,6.371B,14.67B,0.00,5.088B,5.068B,,,,523.23M,10.68B
2006-12,822.78M,,822.78M,5.979B,,,5.979B,6.287B,,1.342B,762.98M,15.19B,0.0,219.99M,2.871B,11.60B,619.79M,15.31B,-9.616B,5.698B,319.80M,,319.80M,,3.835B,9.853B,25.05B,5.175B,,,5.175B,1.995B,7.170B,,1.813B,,1.813B,,,,8.983B,4.011B,4.011B,743.13M,743.13M,,,536.03M,5.290B,14.27B,0.00,4.794B,5.458B,,,,521.15M,10.77B
2006-09,958.49M,,958.49M,4.775B,,,4.775B,5.004B,,1.214B,428.79M,12.38B,0.0,209.92M,2.794B,11.20B,541.12M,14.75B,-9.371B,5.379B,321.65M,,321.65M,,3.892B,9.593B,21.97B,4.115B,,,4.115B,1.499B,5.614B,,802.25M,,802.25M,,,,6.417B,4.013B,4.013B,745.65M,745.65M,,,507.26M,5.266B,11.68B,0.00,4.418B,5.572B,,,,299.46M,10.29B
2006-06,1.113B,,1.113B,4.471B,,,4.471B,4.678B,,1.221B,344.05M,11.83B,0.0,214.09M,2.774B,11.13B,431.00M,14.55B,-9.258B,5.293B,322.29M,,322.29M,,3.827B,9.443B,21.27B,4.014B,,,4.014B,1.521B,5.536B,,629.19M,,629.19M,,,,6.165B,4.050B,4.050B,756.60M,756.60M,,,490.46M,5.297B,11.46B,0.00,4.081B,5.511B,,,,214.37M,9.807B
2006-03,918.23M,,918.23M,4.487B,,,4.487B,4.456B,,1.140B,331.56M,11.33B,0.0,210.70M,2.717B,10.99B,403.77M,14.32B,-9.087B,5.236B,318.98M,,318.98M,,3.660B,9.214B,20.55B,3.916B,,,3.916B,1.557B,5.474B,,685.49M,,685.49M,,,,6.159B,4.028B,4.028B,681.67M,681.67M,,,502.54M,5.212B,11.37B,5.471B,3.736B,,,,,-31.55M,9.175B
