,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.865B,1.865B,1.348B,517.00M,23.00M,78.00M,101.00M,2.00M,,-5.00M,93.00M,12.00M,-81.00M,3.00M,106.00M,411.00M,12.00M,93.00M,-81.00M,-31.00M,-81.00M,299.00M,30.00M,269.00M,,,,,269.00M,275.30M,512.00M,120.00M,392.00M,0.35,,,,0.3583,0.35,0.35,,,,0.3583,0.35,756.82M,759.46M,0.32
2017-12,1.823B,1.823B,1.316B,507.00M,21.00M,72.00M,93.00M,2.00M,,71.00M,96.00M,10.00M,-86.00M,8.00M,103.00M,404.00M,10.00M,96.00M,-86.00M,56.00M,-86.00M,374.00M,103.00M,271.00M,,,,,271.00M,219.55M,597.00M,127.00M,470.00M,0.36,0.0,,,0.2919,0.36,0.36,0.0,,,0.2922,0.36,755.44M,758.49M,0.32
2017-09,1.872B,1.872B,1.374B,498.00M,22.00M,75.00M,97.00M,4.00M,,-207.00M,98.00M,12.00M,-86.00M,-12.00M,89.00M,409.00M,12.00M,98.00M,-86.00M,-220.00M,-86.00M,103.00M,-27.00M,130.00M,,,,,130.00M,252.40M,333.00M,132.00M,201.00M,0.17,,,,0.3324,0.17,0.17,,,,0.3317,0.17,753.54M,756.90M,0.31
2017-06,1.808B,1.808B,1.336B,472.00M,22.00M,76.00M,98.00M,4.00M,,-202.00M,100.00M,9.00M,-91.00M,11.00M,113.00M,359.00M,9.00M,100.00M,-91.00M,-210.00M,-91.00M,58.00M,34.00M,24.00M,,,,,24.00M,145.20M,287.00M,129.00M,158.00M,0.03,,,,0.191,0.03,0.03,,,,0.1902,0.03,752.63M,756.45M,0.31
2017-03,1.693B,1.693B,1.272B,421.00M,22.00M,87.00M,109.00M,4.00M,,-9.00M,99.00M,9.00M,-90.00M,3.00M,116.00M,305.00M,9.00M,99.00M,-90.00M,-34.00M,-90.00M,181.00M,24.00M,157.00M,,,,,157.00M,167.41M,413.00M,133.00M,280.00M,0.21,,,,0.2239,0.21,0.21,,,,0.2238,0.21,750.66M,754.75M,0.31
2016-12,1.596B,1.596B,1.278B,318.00M,22.00M,85.00M,107.00M,5.00M,,-24.00M,108.00M,31.00M,-77.00M,3.00M,115.00M,203.00M,31.00M,108.00M,-77.00M,-39.00M,-77.00M,87.00M,25.00M,62.00M,489.00M,,,0.00,551.00M,82.67M,332.00M,137.00M,195.00M,0.09,0.65,,,0.1176,0.74,0.08,0.65,,,0.1074,0.73,749.06M,752.99M,0.31
2016-09,1.709B,1.709B,1.328B,381.00M,22.00M,80.00M,102.00M,5.00M,,-10.00M,114.00M,15.00M,-99.00M,2.00M,109.00M,272.00M,15.00M,114.00M,-99.00M,11.00M,-99.00M,184.00M,22.00M,162.00M,65.00M,,,,227.00M,171.68M,437.00M,139.00M,298.00M,0.22,0.08,,,0.2329,0.3,0.21,0.08,,,0.2228,0.3,749.59M,754.04M,0.31
2016-06,1.655B,1.655B,1.271B,384.00M,22.00M,94.00M,116.00M,4.00M,,-22.00M,114.00M,10.00M,-104.00M,-7.00M,113.00M,271.00M,10.00M,114.00M,-104.00M,-6.00M,-104.00M,161.00M,31.00M,130.00M,38.00M,,,11.00M,168.00M,148.57M,422.00M,147.00M,275.00M,0.16,0.05,,,0.185,0.21,0.16,0.05,,,0.1848,0.21,743.14M,747.70M,0.31
2016-03,1.405B,1.405B,1.103B,302.00M,23.00M,79.00M,102.00M,5.00M,,-78.00M,95.00M,9.00M,-86.00M,-9.00M,98.00M,204.00M,9.00M,95.00M,-86.00M,-46.00M,-86.00M,72.00M,11.00M,61.00M,20.00M,,,11.00M,81.00M,116.07M,309.00M,142.00M,167.00M,0.08,0.03,,,0.1671,0.11,0.08,0.03,,,0.1667,0.11,632.00M,634.87M,0.31
2015-12,1.266B,1.266B,1.03B,236.00M,26.00M,68.00M,94.00M,6.00M,,-24.00M,87.00M,9.00M,-78.00M,-22.00M,78.00M,158.00M,9.00M,87.00M,-78.00M,-16.00M,-78.00M,64.00M,-22.00M,86.00M,-16.00M,,,11.00M,70.00M,104.00M,271.00M,120.00M,151.00M,0.11,0.0,,,0.1452,0.11,0.11,0.0,,,0.145,0.11,511.12M,514.11M,0.31
2015-09,1.355B,1.355B,1.073B,282.00M,24.00M,55.00M,79.00M,4.00M,,-7.00M,87.00M,9.00M,-78.00M,6.00M,89.00M,193.00M,9.00M,87.00M,-78.00M,-27.00M,-78.00M,88.00M,-44.00M,132.00M,59.00M,,,11.00M,191.00M,148.20M,293.00M,118.00M,175.00M,0.24,0.11,,,0.2715,0.35,0.23,0.11,,,0.2613,0.35,514.30M,517.09M,0.31
2015-06,1.345B,1.345B,1.057B,288.00M,24.00M,63.00M,87.00M,5.00M,,-2.00M,85.00M,9.00M,-76.00M,2.00M,94.00M,194.00M,9.00M,85.00M,-76.00M,6.00M,-76.00M,124.00M,-1.00M,125.00M,19.00M,,,11.00M,144.00M,121.40M,327.00M,118.00M,209.00M,0.22,0.04,,,0.213,0.26,0.22,0.04,,,0.2131,0.26,516.63M,519.80M,0.29
2015-03,1.727B,1.727B,1.385B,342.00M,28.00M,74.00M,102.00M,5.00M,,-17.00M,83.00M,9.00M,-74.00M,-11.00M,96.00M,246.00M,9.00M,83.00M,-74.00M,-52.00M,-74.00M,120.00M,19.00M,101.00M,,,,11.00M,101.00M,139.72M,326.00M,123.00M,203.00M,0.17,,,,0.244,0.17,0.17,,,,0.2434,0.17,523.43M,527.42M,0.29
2014-12,-126.00M,-126.00M,-181.00M,55.00M,14.00M,57.00M,71.00M,1.00M,,24.00M,84.00M,11.00M,-73.00M,33.00M,105.00M,-50.00M,11.00M,84.00M,-73.00M,11.00M,-73.00M,-112.00M,-77.00M,-35.00M,212.00M,,,11.00M,177.00M,-42.15M,97.00M,125.00M,-28.00M,0.32,0.0,,,0.3064,0.32,0.31,0.0,,,0.2965,0.31,524.51M,529.09M,0.29
2014-09,1.915B,1.915B,1.504B,411.00M,28.00M,73.00M,101.00M,5.00M,,14.00M,88.00M,7.00M,-81.00M,-12.00M,94.00M,317.00M,7.00M,88.00M,-81.00M,1.00M,-81.00M,237.00M,39.00M,198.00M,966.00M,,,11.00M,1.164B,197.16M,448.00M,123.00M,325.00M,0.35,1.82,,,0.3484,2.17,0.35,1.8,,,0.3484,2.15,531.91M,536.01M,0.29
2014-06,1.964B,1.964B,1.499B,465.00M,27.00M,88.00M,115.00M,7.00M,,38.00M,83.00M,11.00M,-72.00M,-7.00M,115.00M,350.00M,11.00M,83.00M,-72.00M,50.00M,-72.00M,328.00M,59.00M,269.00M,22.00M,,,11.00M,291.00M,227.99M,537.00M,126.00M,411.00M,0.44,0.04,,,0.37,0.48,0.43,0.04,,,0.3605,0.47,586.06M,589.77M,0.22
2014-03,1.736B,1.736B,1.361B,375.00M,28.00M,88.00M,116.00M,7.00M,,49.00M,83.00M,9.00M,-74.00M,-21.00M,102.00M,273.00M,9.00M,83.00M,-74.00M,35.00M,-74.00M,234.00M,50.00M,184.00M,10.00M,,,11.00M,194.00M,156.48M,443.00M,126.00M,317.00M,0.29,0.02,,,0.2429,0.31,0.29,0.02,,,0.2433,0.31,584.92M,589.31M,0.22
2013-12,1.768B,1.768B,1.412B,356.00M,29.00M,105.00M,134.00M,10.00M,,-381.00M,113.00M,15.00M,-98.00M,-15.00M,129.00M,227.00M,15.00M,113.00M,-98.00M,-381.00M,-98.00M,-252.00M,-270.00M,18.00M,36.00M,,,11.00M,54.00M,266.30M,-10.00M,129.00M,-139.00M,0.07,0.07,,,0.4953,0.07,0.07,0.07,,,0.4917,0.07,583.80M,588.81M,0.22
2013-09,1.857B,1.857B,1.479B,378.00M,32.00M,98.00M,130.00M,8.00M,,0.00,94.00M,21.00M,-73.00M,-1.00M,137.00M,241.00M,21.00M,94.00M,-73.00M,2.00M,-73.00M,170.00M,24.00M,146.00M,21.00M,,,10.00M,167.00M,144.28M,384.00M,120.00M,264.00M,0.23,0.04,,,0.2271,0.27,0.23,0.04,,,0.2271,0.27,582.83M,587.18M,0.22
2013-06,1.874B,1.874B,1.453B,421.00M,31.00M,96.00M,127.00M,8.00M,,4.00M,80.00M,8.00M,-72.00M,-7.00M,128.00M,293.00M,8.00M,80.00M,-72.00M,3.00M,-72.00M,221.00M,36.00M,185.00M,13.00M,,,2.00M,198.00M,185.00M,412.00M,111.00M,301.00M,0.33,0.02,,,0.33,0.35,0.33,0.02,,,0.33,0.35,552.86M,557.59M,0.2
2013-03,1.951B,1.951B,1.533B,418.00M,51.00M,118.00M,169.00M,7.00M,,2.00M,82.00M,11.00M,-71.00M,-16.00M,160.00M,258.00M,11.00M,82.00M,-71.00M,-2.00M,-71.00M,185.00M,41.00M,144.00M,,,,,144.00M,145.56M,379.00M,112.00M,267.00M,0.26,,,,0.2629,0.26,0.26,,,,0.2628,0.26,545.23M,550.78M,0.17
2012-12,930.00M,930.00M,763.00M,167.00M,-22.00M,72.00M,50.00M,9.00M,,5.00M,84.00M,10.00M,-74.00M,-28.00M,31.00M,136.00M,10.00M,84.00M,-74.00M,3.00M,-74.00M,65.00M,-5.00M,70.00M,,,,,143.00M,69.05M,267.00M,118.00M,149.00M,0.26,0.0,,,0.2564,0.26,0.26,0.0,,,0.2564,0.26,542.12M,547.16M,0.17
2012-09,1.772B,1.772B,1.424B,348.00M,49.00M,107.00M,156.00M,8.00M,,-7.00M,87.00M,15.00M,-72.00M,-15.00M,149.00M,199.00M,15.00M,87.00M,-72.00M,3.00M,-72.00M,130.00M,13.00M,117.00M,,,,,117.00M,114.30M,329.00M,112.00M,217.00M,0.22,,,,0.215,0.22,0.22,,,,0.215,0.22,539.09M,542.31M,0.15
2012-06,1.793B,1.793B,1.516B,277.00M,47.00M,95.00M,142.00M,8.00M,,54.00M,86.00M,11.00M,-75.00M,-4.00M,146.00M,131.00M,11.00M,86.00M,-75.00M,45.00M,-75.00M,101.00M,17.00M,84.00M,,,,,84.00M,46.57M,300.00M,113.00M,187.00M,0.16,,,,0.0904,0.16,0.16,,,,0.0907,0.16,537.97M,540.03M,0.15
2012-03,1.494B,1.494B,1.29B,204.00M,42.00M,108.00M,150.00M,7.00M,,41.00M,87.00M,12.00M,-75.00M,-6.00M,151.00M,53.00M,12.00M,87.00M,-75.00M,48.00M,-75.00M,26.00M,-15.00M,41.00M,,,,,41.00M,9.80M,226.00M,113.00M,113.00M,0.08,,,,0.0219,0.08,0.08,,,,0.0222,0.08,537.37M,539.73M,0.15
2011-12,1.615B,1.615B,1.317B,298.00M,,,149.00M,9.00M,,133.00M,88.00M,12.00M,-76.00M,137.00M,295.00M,3.00M,12.00M,88.00M,-76.00M,128.00M,-76.00M,55.00M,-10.00M,65.00M,0.00,,,,65.00M,-21.45M,260.00M,117.00M,143.00M,0.12,0.0,,,-0.0412,0.12,0.12,0.0,,,-0.0407,0.12,536.42M,538.11M,0.15
2011-09,1.569B,1.569B,1.283B,286.00M,,,135.00M,7.00M,,-41.00M,86.00M,15.00M,-71.00M,3.00M,145.00M,141.00M,15.00M,86.00M,-71.00M,-41.00M,-71.00M,29.00M,-104.00M,133.00M,24.00M,,,,157.00M,159.65M,235.00M,120.00M,115.00M,0.25,0.04,,,0.2995,0.29,0.2464,0.04,,,0.2957,0.29,537.97M,539.83M,0.15
2011-06,1.61B,1.61B,1.343B,267.00M,,,145.00M,7.00M,,12.00M,117.00M,9.00M,-108.00M,,152.00M,115.00M,9.00M,117.00M,-108.00M,12.00M,-108.00M,19.00M,-4.00M,23.00M,-13.00M,,,,10.00M,15.20M,256.00M,120.00M,136.00M,0.04,-0.02,,,0.0255,0.02,0.04,-0.024,,,0.0256,0.0185,538.60M,541.10M,0.15
2011-03,1.422B,1.422B,1.177B,245.00M,,,172.00M,7.00M,,7.00M,93.00M,11.00M,-82.00M,-163.00M,16.00M,229.00M,11.00M,93.00M,-82.00M,7.00M,-82.00M,154.00M,56.00M,98.00M,1.00M,,,,99.00M,93.55M,370.00M,123.00M,247.00M,0.18,0.0,,,0.1717,0.18,0.18,0.0,,,0.1718,0.18,537.14M,540.48M,0.15
2010-12,1.516B,1.516B,1.222B,294.00M,,,171.00M,10.00M,,-89.00M,96.00M,7.00M,-89.00M,-20.00M,161.00M,133.00M,7.00M,96.00M,-89.00M,-79.00M,-89.00M,-35.00M,-206.00M,171.00M,0.00,,0.00,,171.00M,228.85M,188.00M,127.00M,61.00M,0.319,0.0,,,0.427,0.319,0.319,0.0,,,0.427,0.319,535.98M,535.98M,0.05
2010-09,1.514B,1.514B,1.193B,321.00M,,,161.00M,8.00M,,-6.00M,95.00M,19.00M,-76.00M,-14.00M,155.00M,166.00M,19.00M,95.00M,-76.00M,-6.00M,-76.00M,84.00M,-1.028B,1.112B,4.00M,,0.00,,1.116B,1.116B,303.00M,124.00M,179.00M,3.51,0.01,,,3.522,3.52,3.49,0.01,,,3.502,3.5,317.37M,318.36M,0.05
2010-06,1.641B,1.641B,1.314B,327.00M,,,162.00M,8.00M,,-2.00M,155.00M,12.00M,-143.00M,,170.00M,157.00M,12.00M,155.00M,-143.00M,-2.00M,-143.00M,12.00M,4.00M,8.00M,6.00M,,0.00,,14.00M,9.333M,293.00M,126.00M,167.00M,0.0148,0.0111,,,0.0171,0.0259,0.014,0.0105,,,0.0163,0.0244,571.93M,573.29M,0.02
2010-03,1.419B,1.419B,1.232B,187.00M,,,163.00M,8.00M,,68.00M,106.00M,42.00M,-64.00M,,171.00M,16.00M,42.00M,106.00M,-64.00M,68.00M,-64.00M,20.00M,38.00M,-18.00M,,,-2.00M,,-20.00M,-64.20M,252.00M,126.00M,126.00M,-0.037000000000000005,0.0,,,-0.1143,-0.037000000000000005,-0.037000000000000005,0.0,,,-0.1143,-0.037000000000000005,571.50M,571.50M,0.02
2009-12,1.455B,1.455B,1.662B,-207.00M,,,220.00M,13.00M,,-492.00M,118.00M,2.00M,-116.00M,-375.00M,-546.00M,339.00M,2.00M,118.00M,-116.00M,-505.00M,-116.00M,-282.00M,-101.00M,-181.00M,,,6.00M,,-175.00M,140.79M,-30.00M,134.00M,-164.00M,-0.307,0.0,,,0.2458,-0.307,-0.307,0.0,,,0.2458,-0.307,571.28M,571.28M,0.02
2009-09,1.407B,1.407B,1.137B,270.00M,52.00M,95.00M,147.00M,10.00M,0.0,-27.00M,115.00M,25.00M,-90.00M,-171.00M,120.00M,150.00M,25.00M,115.00M,-90.00M,-30.00M,-90.00M,30.00M,35.00M,-5.00M,,,5.00M,,0.00,17.55M,294.00M,149.00M,145.00M,0.0,0.0,,,0.0307,0.0,0.0,0.0,,,0.0307,0.0,571.28M,571.28M,0.02
2009-06,1.391B,1.391B,1.214B,177.00M,53.00M,100.00M,153.00M,15.00M,0.0,-146.00M,114.00M,23.00M,-91.00M,-177.00M,120.00M,57.00M,23.00M,114.00M,-91.00M,-135.00M,-91.00M,-148.00M,-32.00M,-116.00M,,,10.00M,,-106.00M,8.432M,95.00M,129.00M,-34.00M,-0.2,0.0,,,0.0166,-0.2,-0.2,0.0,,,0.0166,-0.2,528.39M,528.39M,0.1
2009-03,1.275B,1.275B,1.129B,146.00M,65.00M,124.00M,189.00M,13.00M,,-168.00M,115.00M,15.00M,-100.00M,6.00M,334.00M,-188.00M,15.00M,115.00M,-100.00M,-165.00M,-100.00M,-442.00M,-176.00M,-266.00M,,,2.00M,,-264.00M,-162.90M,-201.00M,126.00M,-327.00M,-0.5,0.0,,,-0.3086,-0.5,-0.5,0.0,,,-0.3086,-0.5,528.24M,528.24M,0.1
2008-12,1.777B,1.777B,1.658B,119.00M,88.00M,101.00M,189.00M,15.00M,,-1.189B,26.00M,-72.00M,-98.00M,25.00M,373.00M,-254.00M,-72.00M,26.00M,-98.00M,-1.177B,-98.00M,-1.529B,-326.00M,-1.203B,-11.00M,,2.00M,,-1.212B,-265.51M,-1.359B,143.00M,-1.503B,-2.272,-0.024,,,-0.501,-2.296,-2.272,-0.024,,,-0.501,-2.296,528.23M,528.23M,0.24
2008-09,2.107B,2.107B,1.778B,329.00M,89.00M,135.00M,224.00M,14.00M,,-315.00M,136.00M,51.00M,-85.00M,-10.00M,380.00M,-51.00M,51.00M,136.00M,-85.00M,-290.00M,-85.00M,-426.00M,-221.00M,-205.00M,480.00M,,5.00M,,280.00M,4.75M,-138.00M,152.00M,-290.00M,-0.376,0.9079999999999999,,,0.0116,0.532,-0.376,0.9079999999999999,,,0.0116,0.532,528.21M,528.21M,0.24
2008-06,2.174B,2.174B,1.831B,343.00M,94.00M,152.00M,246.00M,18.00M,,-358.00M,140.00M,51.00M,-89.00M,-41.00M,374.00M,-31.00M,51.00M,140.00M,-89.00M,-354.00M,-89.00M,-474.00M,-214.00M,-260.00M,111.00M,,53.00M,,-96.00M,25.70M,-181.00M,153.00M,-334.00M,-0.392,0.212,,,0.0486,-0.18,-0.392,0.212,,,0.0486,-0.18,528.16M,528.16M,0.24
2008-03,2.042B,2.042B,1.722B,320.00M,95.00M,177.00M,272.00M,17.00M,,-124.00M,108.00M,14.00M,-94.00M,39.00M,477.00M,-157.00M,14.00M,108.00M,-94.00M,-129.00M,-94.00M,-380.00M,-139.00M,-241.00M,87.00M,,6.00M,,-148.00M,-156.36M,-61.00M,211.00M,-272.00M,-0.444,0.16399999999999998,,,-0.2951,-0.28,-0.444,0.16399999999999998,,,-0.2951,-0.28,527.99M,527.99M,0.24
2007-12,7.929B,7.929B,6.371B,1.558B,,,595.00M,19.00M,,-135.00M,,,,-11.00M,1.052B,506.00M,,,,-154.00M,,259.00M,88.00M,171.00M,-233.00M,,,,-62.00M,260.13M,955.00M,221.00M,506.00M,-0.244,0.14800000000000002,,,-0.0751,-0.096,-0.244,0.14800000000000002,,,-0.0751,-0.096,527.84M,527.84M,0.24
2007-09,2.797B,2.797B,2.227B,570.00M,,,275.00M,18.00M,,-65.00M,,,,47.00M,501.00M,69.00M,,,,-51.00M,,-16.00M,-11.00M,-5.00M,106.00M,,,,101.00M,37.25M,305.00M,236.00M,69.00M,-0.008,0.196,,,0.0705,0.188,-0.008,0.196,,,0.0705,0.188,537.88M,537.88M,0.24
2007-06,4.334B,4.334B,3.50B,834.00M,,,380.00M,18.00M,,-42.00M,,,,40.00M,666.00M,168.00M,,,,-29.00M,,55.00M,18.00M,37.00M,-5.00M,,,,32.00M,65.25M,396.00M,228.00M,168.00M,0.068,-0.008,,,0.121,0.06,0.068,-0.008,,,0.121,0.06,533.33M,533.33M,0.24
2007-03,2.665B,2.665B,2.172B,493.00M,,,306.00M,16.00M,,-48.00M,,,,45.00M,529.00M,-36.00M,,,,-31.00M,,-100.00M,-37.00M,-63.00M,783.00M,,,,720.00M,-32.76M,253.00M,289.00M,-36.00M,-0.027999999999999997,1.324,,,0.0239,1.296,-0.027999999999999997,1.324,,,0.0239,1.296,583.10M,583.10M,0.24
2006-12,4.799B,4.799B,3.771B,1.028B,,,449.00M,15.00M,,381.00M,,,,-431.00M,293.00M,735.00M,,,,387.00M,,611.00M,202.00M,409.00M,98.00M,,,,507.00M,153.96M,1.076B,341.00M,735.00M,0.68,0.14800000000000002,,,0.2603,0.828,0.6759999999999999,0.14800000000000002,,,0.2653,0.8240000000000001,607.74M,621.05M,0.24
2006-09,4.554B,4.554B,3.577B,977.00M,,,399.00M,23.00M,,3.00M,,,,-24.00M,639.00M,338.00M,,,,17.00M,,252.00M,86.00M,166.00M,58.00M,,,,224.00M,164.02M,652.00M,314.00M,338.00M,0.268,0.096,,,0.2648,0.364,0.268,0.096,,,0.2648,0.364,615.38M,615.38M,0.24
2006-06,4.867B,4.867B,3.743B,1.124B,,,400.00M,15.00M,,-3.00M,,,,-15.00M,635.00M,489.00M,,,,18.00M,,401.00M,92.00M,309.00M,-11.00M,,,,298.00M,311.31M,802.00M,313.00M,489.00M,0.496,-0.016,,,0.4997,0.48,0.49200000000000005,-0.016,,,0.4957,0.47600000000000003,620.83M,626.05M,0.2
2006-03,4.452B,4.452B,3.43B,1.022B,,,402.00M,16.00M,,-29.00M,,,,28.00M,682.00M,340.00M,,,,-5.00M,,280.00M,100.00M,180.00M,-756.00M,,,,-576.00M,198.64M,655.00M,315.00M,340.00M,0.292,-1.228,,,0.3223,-0.9359999999999999,0.292,-1.228,,,0.3222,-0.9359999999999999,614.48M,617.42M,0.2
2005-12,2.516B,2.516B,2.902B,-386.00M,,,278.00M,17.00M,,726.00M,,,,-605.00M,-316.00M,-70.00M,,,,734.00M,,202.00M,61.00M,141.00M,-352.00M,,,,-211.00M,-365.76M,268.00M,338.00M,-70.00M,0.228,-0.5720000000000001,,,-0.6039,-0.344,0.22399999999999998,-0.5720000000000001,,,-0.5923,-0.348,609.14M,620.77M,0.2
2005-09,5.432B,5.432B,4.201B,1.231B,,,413.00M,18.00M,,4.00M,,,,41.00M,796.00M,435.00M,,,,20.00M,,406.00M,119.00M,287.00M,-2.00M,,,,285.00M,284.17M,768.00M,333.00M,435.00M,0.46799999999999997,-0.004,,,0.4634,0.46399999999999997,0.46799999999999997,-0.004,,,0.4634,0.46399999999999997,614.22M,614.22M,0.2
