,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-10,11.38B,11.38B,8.265B,3.117B,,2.399B,,,-92.00M,,,91.00M,2.744B,373.00M,,,-92.00M,,223.00M,90.00M,133.00M,,,,133.00M,188.20M,627.00M,254.00M,373.00M,0.085,0.0,,,0.1195,0.085,0.08,0.0,,,0.1136,0.08,1.602B,1.642B,0.0
2001-07,11.48B,11.48B,8.331B,3.154B,,2.335B,,,-2.00M,,,,2.581B,573.00M,,,-2.00M,,419.00M,163.00M,256.00M,,,,256.00M,257.22M,820.00M,247.00M,573.00M,0.16,0.0,,,0.1608,0.16,0.155,0.0,,,0.1557,0.155,1.61B,1.654B,0.0
2001-04,15.10B,15.10B,11.04B,4.067B,,3.042B,,,-2.00M,,,,3.361B,706.00M,,,-2.00M,,498.00M,194.00M,304.00M,,,,304.00M,305.22M,1.025B,319.00M,706.00M,0.185,0.0,,,0.1858,0.185,0.18,0.0,,,0.1807,0.18,1.624B,1.666B,0.0
2001-01,12.69B,12.69B,9.201B,3.491B,,2.477B,,,-2.00M,,,,2.71B,781.00M,,,-2.00M,,612.00M,255.00M,357.00M,,,,357.00M,358.20M,1.014B,233.00M,781.00M,0.215,0.0,,-0.0,0.2157,0.215,0.21,0.0,,-0.0,0.2107,0.21,1.634B,1.68B,0.0
2000-10,10.96B,10.96B,8.05B,2.912B,,2.181B,,,-2.00M,,,,2.415B,497.00M,,,-2.00M,,349.00M,146.00M,203.00M,,,,201.00M,204.20M,731.00M,234.00M,497.00M,0.125,0.0,,-0.0012,0.1257,0.125,0.12,0.0,,-0.0012,0.1207,0.12,1.642B,1.69B,0.0
2000-07,11.02B,11.02B,8.053B,2.964B,,2.198B,,,-2.00M,,,,2.432B,532.00M,,,-2.00M,,375.00M,157.00M,218.00M,,,,216.00M,219.20M,766.00M,234.00M,532.00M,0.13,0.0,,-0.0012,0.1307,0.13,0.13,0.0,,-0.0012,0.1307,0.13,1.648B,1.694B,0.0
2000-04,14.33B,14.33B,10.50B,3.827B,,2.938B,,,-200.00M,,,,3.245B,582.00M,,,-200.00M,,176.00M,70.00M,106.00M,,,,106.00M,226.45M,889.00M,307.00M,582.00M,0.065,0.0,,,0.1375,0.065,0.06,0.0,,,0.1309,0.06,1.662B,1.70B,0.0
2000-01,11.24B,11.24B,8.158B,3.083B,,2.23B,,,-79.00M,,,,2.453B,630.00M,,,-79.00M,,409.00M,178.00M,231.00M,,,,231.00M,278.40M,853.00M,223.00M,630.00M,0.14,0.0,,-0.0,0.1687,0.14,0.135,0.0,,-0.0,0.1618,0.135,1.649B,1.771B,0.0
1999-10,10.33B,10.33B,7.762B,2.567B,,1.889B,,,-69.00M,,,,2.11B,457.00M,,,-69.00M,,240.00M,111.00M,129.00M,,,,129.00M,170.40M,683.00M,226.00M,457.00M,0.075,0.0,,,0.0991,0.075,0.075,0.0,,,0.0991,0.075,1.72B,1.72B,0.0
1999-07,10.29B,10.29B,7.59B,2.699B,,2.034B,,,-200.00M,,,,2.25B,449.00M,,,-200.00M,,106.00M,50.00M,56.00M,,,,46.00M,176.00M,665.00M,216.00M,449.00M,0.035,-0.005,,-0.006,0.1074,0.03,0.03,-0.005,,-0.006,0.0998,0.025,1.658B,1.72B,0.0
1999-04,13.49B,13.49B,9.962B,3.531B,,2.669B,,,-35.00M,,,,2.95B,581.00M,,,-35.00M,,347.00M,140.00M,207.00M,,,,207.00M,228.00M,862.00M,281.00M,581.00M,0.125,0.0,,,0.1377,0.125,0.12,0.0,,,0.1322,0.12,1.654B,1.726B,0.0
1998-12,11.20B,11.20B,8.278B,2.927B,,2.094B,,,-31.00M,,,,2.284B,643.00M,,,-31.00M,,456.00M,183.00M,273.00M,,,,244.00M,291.60M,833.00M,190.00M,643.00M,0.2656,,,-0.0282,0.2837,0.2374,0.2656,,,-0.0282,0.2837,0.2374,1.028B,1.028B,0.0
1998-09,11.50B,11.50B,8.552B,2.949B,,2.301B,,,,,,,2.524B,425.00M,,,,,255.00M,104.00M,151.00M,,,,144.00M,151.00M,648.00M,223.00M,425.00M,0.09,-0.005,,-0.0068,0.09,0.085,0.09,-0.005,,-0.0068,0.09,0.085,1.012B,1.050B,0.0
1998-06,9.947B,9.947B,7.394B,2.553B,,1.962B,,,-48.00M,,,,2.165B,388.00M,,,-48.00M,,185.00M,85.00M,100.00M,,,,99.00M,128.80M,715.00M,327.00M,388.00M,0.06,0.0,,-0.001,0.088,0.06,0.06,0.0,,-0.001,0.088,0.06,1.03B,1.03B,0.0
