,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2004-03,55.65M,55.65M,35.06M,20.59M,,,13.63M,4.117M,,,,,,,17.74M,2.846M,,,,,,2.695M,0.106M,2.589M,,2.589M,2.589M,4.691M,1.845M,2.846M,,0.0325,0.00,0.0325,0.0325,,0.03,0.00,0.03,0.03,,80.84M,85.17M,,,
2003-12,49.88M,49.88M,30.46M,19.42M,,,14.32M,4.036M,,,,,,,18.36M,1.061M,,,,,,1.078M,0.038M,1.04M,,1.04M,1.04M,3.021M,1.96M,1.061M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,79.92M,83.59M,,,
2003-09,52.40M,52.40M,33.41M,18.99M,,,11.92M,4.363M,,,,,,,16.28M,2.71M,,,,,,2.67M,0.07M,2.60M,,2.60M,2.60M,4.571M,1.861M,2.71M,,0.035,0.00,0.035,0.035,,0.0325,0.00,0.0325,0.0325,,79.21M,83.10M,,,
2003-06,52.33M,52.33M,33.85M,18.48M,,,13.08M,4.366M,,,,,,-0.057M,17.39M,1.091M,,,,,,1.071M,0.052M,1.019M,,1.019M,1.019M,2.938M,1.847M,1.091M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,78.62M,80.94M,,,
2003-03,50.34M,50.34M,31.99M,18.35M,,,13.12M,4.891M,,,,,,,18.01M,0.343M,,,,,,0.435M,0.052M,0.383M,,0.383M,0.383M,2.371M,2.028M,0.343M,,0.005,0.00,0.005,0.005,,0.005,0.00,0.005,0.005,,78.32M,80.14M,,,
2002-12,49.00M,49.00M,31.21M,17.80M,,,14.06M,4.761M,,-0.207M,,,,,18.82M,-1.023M,,,,-0.207M,,-0.872M,0.002M,-1.081M,,-1.081M,-0.9568M,0.646M,1.669M,-1.023M,,-0.0125,-0.0025,-0.0109,-0.015,,-0.0125,-0.0025,-0.0109,-0.015,,77.90M,77.90M,,,
2002-09,49.34M,49.34M,31.37M,17.97M,,,11.26M,5.453M,,2.296M,,,,,16.71M,1.259M,,,,2.296M,,0.748M,3.913M,-3.165M,,-3.165M,-4.543M,2.893M,1.634M,1.259M,,-0.0425,0.00,-0.0602,-0.0425,,-0.0425,0.00,-0.0597,-0.0425,,77.61M,80.25M,,,
2002-06,47.64M,47.64M,29.49M,18.15M,,,12.25M,4.859M,,-0.687M,,,,,17.11M,1.037M,,,,-0.687M,,0.492M,,0.492M,,0.492M,0.9042M,3.026M,1.989M,1.037M,,0.0075,0.00,0.0129,0.0075,,0.005,0.00,0.0100,0.005,,77.03M,81.82M,,,
2002-03,46.40M,46.40M,28.37M,18.03M,,,12.12M,4.77M,,-0.495M,,,,,16.89M,1.138M,,,,-0.495M,,0.003M,-4.423M,4.426M,,4.426M,4.723M,3.033M,1.895M,1.138M,,0.0575,0.00,0.0614,0.0575,,0.055,0.00,0.0587,0.055,,75.79M,80.73M,,,
2001-12,47.58M,47.58M,29.92M,17.67M,,,11.60M,5.279M,,-1.575M,,,,,16.88M,0.794M,,,,-1.575M,,-1.492M,0.081M,-1.573M,,-1.573M,-0.628M,2.752M,1.958M,0.794M,,-0.025,0.00,-0.0103,-0.025,,-0.025,0.00,-0.0103,-0.025,,64.28M,64.28M,,,
2001-09,46.97M,46.97M,32.60M,14.36M,,,12.46M,5.342M,,1.265M,,,,,17.81M,-3.445M,,,,1.265M,,-4.909M,0.018M,-4.927M,,-4.927M,-5.686M,-1.193M,2.252M,-3.445M,,-0.0775,0.00,-0.0897,-0.0775,,-0.0788,,-0.0910,-0.0788,,62.28M,62.50M,,,
2001-06,44.94M,44.94M,26.29M,18.65M,,,12.87M,5.536M,,-1.618M,,,,,18.40M,0.244M,,,,-1.618M,,-1.116M,0.097M,-1.213M,,-1.213M,-0.2422M,1.973M,1.729M,0.244M,,-0.02,0.00,-0.0043,-0.02,,-0.02,0.00,-0.0043,-0.02,,61.90M,61.90M,,,
2001-03,43.74M,43.74M,26.81M,16.93M,9.303M,5.827M,15.13M,6.466M,,-1.041M,,,,-2.459M,21.60M,-4.668M,,,,-1.041M,,-7.891M,0.054M,-7.945M,,-7.945M,-7.320M,-2.209M,2.459M,-4.668M,,-0.1275,0.00,-0.1174,-0.1275,,-0.1275,0.00,-0.1174,-0.1275,,61.87M,61.87M,,,
2000-12,44.55M,44.55M,31.28M,13.27M,,,14.25M,5.983M,,,,,,,20.23M,-6.959M,,,,,,-6.765M,,-6.765M,,-6.765M,-6.765M,-4.664M,2.295M,-6.959M,,-0.11,0.00,-0.11,-0.11,,-0.11,0.00,-0.11,-0.11,,61.55M,61.55M,,,
2000-09,27.71M,27.71M,28.03M,-0.326M,,,10.91M,4.552M,,-4.918M,,,,,12.35M,-12.68M,,,,-4.918M,,-17.02M,-6.10M,-10.92M,,-10.92M,-7.766M,-11.37M,1.309M,-12.68M,,-0.18,0.00,-0.1287,-0.18,,-0.18,0.00,-0.1288,-0.18,,61.50M,61.64M,,,
2000-06,22.08M,22.08M,12.80M,9.284M,,,9.259M,3.872M,,-0.008M,,,,,14.31M,-5.023M,,,,-0.008M,,-4.143M,-1.50M,-2.643M,,-2.643M,-2.638M,-3.847M,1.176M,-5.023M,,-0.0425,0.00,-0.0424,-0.0425,,-0.0425,0.00,-0.0424,-0.0425,,61.31M,61.31M,,,
2000-03,23.25M,23.25M,12.72M,10.53M,,,10.05M,4.042M,,-0.044M,,,,,14.89M,-4.366M,,,,-0.044M,,-3.384M,-1.20M,-2.184M,,-2.184M,-2.156M,-3.231M,1.135M,-4.366M,,-0.035,0.00,-0.0345,-0.035,,-0.035,0.00,-0.0345,-0.035,,61.27M,61.27M,,,
1999-12,21.10M,21.10M,12.20M,8.90M,,,8.80M,4.70M,,,,,,,14.30M,-5.40M,,,,,,-4.50M,-1.60M,-2.90M,,-2.90M,-2.90M,-4.60M,0.80M,-5.40M,,-0.0475,0.00,-0.0475,-0.0475,,-0.0475,0.00,-0.0475,-0.0475,,61.05M,61.05M,,,
1999-09,20.10M,20.10M,12.50M,7.599M,,,7.90M,4.40M,,0.10M,,,,,13.70M,-6.101M,,,,0.10M,,-4.90M,-1.80M,-3.10M,,-3.10M,-3.163M,-4.701M,1.40M,-6.101M,,-0.055,0.00,-0.0563,-0.055,,-0.055,0.00,-0.0563,-0.055,,47.69M,47.69M,,,
1999-06,20.01M,20.01M,11.20M,8.808M,,,7.80M,3.20M,,-0.20M,,,,,11.90M,-3.092M,,,,-0.20M,,-2.40M,-0.90M,-1.50M,,-1.50M,-1.375M,-2.192M,0.90M,-3.092M,,-0.0275,0.00,-0.0252,-0.0275,,-0.0275,0.00,-0.0252,-0.0275,,54.55M,54.55M,,,
1999-03,19.40M,19.40M,10.70M,8.70M,,,7.60M,2.60M,,-0.30M,,,,,11.00M,-2.30M,,,,-0.30M,,-1.70M,-0.60M,-1.10M,,-1.10M,-0.9059M,-1.50M,0.80M,-2.30M,,-0.02,0.00,-0.0165,-0.02,,-0.02,0.00,-0.0165,-0.02,,55.00M,55.00M,,,
1998-12,24.60M,24.60M,12.40M,12.20M,,,7.40M,2.50M,,-0.10M,,,,,10.30M,1.90M,,,,-0.10M,,3.10M,1.10M,2.00M,,2.00M,2.065M,2.30M,0.40M,1.90M,,0.0375,0.00,0.0387,0.0375,,0.0375,0.00,0.0387,0.0375,,53.33M,53.33M,,,
1998-09,24.90M,24.90M,11.90M,13.00M,,,9.00M,2.60M,,5.60M,,,,,12.30M,0.70M,,,,5.60M,,1.90M,0.60M,1.30M,,1.30M,-2.532M,1.40M,0.70M,0.70M,,0.0225,0.00,-0.0471,0.0225,,0.0225,0.00,-0.0454,0.0225,,55.07M,56.41M,,,
1998-06,34.40M,34.40M,14.70M,19.70M,,,10.90M,2.30M,,-0.10M,,,,,14.40M,5.30M,,,,-0.10M,,6.80M,2.50M,4.30M,,4.30M,4.363M,6.50M,0.40M,5.30M,,0.08,0.00,0.0812,0.08,,0.0775,0.00,0.0786,0.0775,,53.75M,55.48M,,,
1998-03,30.20M,30.20M,14.30M,15.90M,,,10.10M,2.50M,,1.40M,,,,,13.00M,2.90M,,,,1.40M,,4.30M,1.60M,2.70M,,2.70M,1.821M,3.30M,0.40M,2.90M,,0.0525,0.00,0.0354,0.0525,,0.05,0.00,0.0337,0.05,,51.43M,54.00M,,,
1997-12,25.10M,25.10M,12.40M,12.70M,,,9.00M,2.30M,,2.20M,,,,,11.70M,1.00M,,,,2.20M,,3.30M,1.20M,2.10M,,2.10M,0.70M,1.40M,0.40M,1.00M,,0.04,0.00,0.0133,0.04,,0.0375,0.00,0.0125,0.0375,,52.50M,56.00M,,,
1997-09,24.60M,24.60M,10.80M,13.80M,,,6.80M,2.30M,,1.50M,,,,,9.50M,4.30M,,,,1.50M,,5.90M,2.00M,3.90M,,3.90M,2.908M,4.70M,0.40M,4.30M,,0.09,0.00,0.0668,0.09,,0.0725,0.00,0.0541,0.0725,,42.75M,53.89M,,,
1997-06,26.90M,26.90M,11.60M,15.30M,,,6.70M,2.20M,,1.40M,,,,,9.20M,6.10M,,,,1.40M,,7.40M,2.70M,4.70M,,4.70M,3.811M,6.40M,0.30M,6.10M,,0.0875,0.00,0.0709,0.0875,,0.0875,0.00,0.0709,0.0875,,53.71M,53.71M,,,
1997-03,28.00M,28.00M,12.10M,15.90M,,,7.20M,2.30M,,1.40M,,,,,9.80M,6.10M,,,,1.40M,,7.40M,2.70M,4.70M,,4.70M,3.811M,6.40M,0.30M,6.10M,,0.085,0.00,0.0689,0.085,,0.085,0.00,0.0689,0.085,,55.29M,55.29M,,,
1996-12,27.10M,27.10M,11.70M,15.40M,,,7.50M,1.70M,,1.00M,,,,,9.50M,5.90M,,,,1.00M,,6.90M,2.50M,4.40M,,4.40M,3.762M,6.20M,0.30M,5.90M,,0.08,0.00,0.0684,0.08,,0.08,0.00,0.0684,0.08,,55.00M,55.00M,,,
1996-09,35.30M,35.30M,15.80M,19.50M,,,11.20M,2.40M,,-0.80M,,,,,13.90M,5.60M,,,,-0.80M,,4.80M,1.70M,3.10M,,3.10M,3.617M,5.90M,0.30M,5.60M,,0.0525,0.00,0.0616,0.0525,,0.0375,0.00,0.0449,0.0375,,56.99M,69.39M,,,
1996-06,22.80M,22.80M,9.70M,13.10M,,,5.40M,1.80M,,0.60M,,,,,7.50M,5.60M,,,,0.60M,,6.20M,2.30M,3.90M,,3.90M,3.523M,5.90M,0.30M,5.60M,,0.08,0.00,0.0723,0.08,,0.08,0.00,0.0723,0.08,,48.75M,48.75M,,,
1996-03,18.80M,18.80M,8.30M,10.50M,,,4.80M,1.80M,,0.50M,,,,,6.70M,3.80M,,,,0.50M,,4.20M,1.20M,3.00M,,3.00M,2.643M,3.90M,0.10M,3.80M,,0.0675,0.00,0.0595,0.0675,,0.0675,0.00,0.0595,0.0675,,44.44M,44.44M,,,
1995-12,14.80M,14.80M,6.60M,8.20M,,,4.10M,1.30M,,-0.90M,,,,,5.60M,2.60M,,,,-0.90M,,1.80M,0.50M,1.30M,,1.30M,1.95M,2.80M,0.20M,2.60M,,0.035,0.00,0.0525,0.035,,0.035,0.00,0.0525,0.035,,37.14M,37.14M,,,
1995-09,12.90M,12.90M,6.00M,6.90M,,,3.50M,1.20M,,-1.40M,,,,,4.90M,2.00M,,,,-1.40M,,0.80M,0.20M,0.60M,,0.60M,1.65M,2.20M,0.20M,2.00M,,0.0162,0.00,0.0454,0.0162,,0.0138,0.00,0.0385,0.0138,,36.03M,42.41M,,,
1995-06,11.30M,11.30M,5.60M,5.70M,,,3.30M,1.00M,,-0.70M,,,,,4.40M,1.30M,,,,-0.70M,,0.60M,0.10M,0.50M,,0.50M,1.083M,1.40M,0.10M,1.30M,,0.015,0.00,0.0325,0.015,,0.015,0.00,0.0325,0.015,,33.33M,33.33M,,,
1995-03,9.00M,9.00M,4.70M,4.30M,,,2.90M,1.10M,,0.20M,,,,,4.20M,0.10M,,,,0.20M,,0.30M,0.10M,0.20M,,0.20M,0.0667M,0.30M,0.20M,0.10M,,0.005,0.00,0.0017,0.005,,0.005,0.00,0.0017,0.005,,40.00M,40.00M,,,
1994-12,10.20M,10.20M,5.20M,5.00M,,,2.90M,1.00M,,,,,,,4.00M,1.00M,,,,,,0.90M,0.30M,0.60M,,0.60M,0.60M,1.10M,0.10M,1.00M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,30.00M,30.00M,,,
1994-09,10.00M,10.00M,5.40M,4.60M,,,2.90M,0.80M,,0.00,,,,,3.90M,0.70M,,,,0.00,,0.70M,0.20M,0.50M,,0.50M,0.50M,0.90M,0.20M,0.70M,,0.0155,,0.0155,0.0155,,0.0155,,0.0155,0.0155,,32.20M,32.20M,,,
1994-06,10.90M,10.90M,5.80M,5.10M,,,2.60M,0.90M,,0.10M,,,,,3.60M,1.50M,,,,0.10M,,1.70M,0.50M,1.20M,,1.20M,1.129M,1.70M,0.20M,1.50M,,0.035,0.00,0.0329,0.035,,0.035,0.00,0.0329,0.035,,34.29M,34.29M,,,
1994-03,9.90M,9.90M,5.20M,4.70M,,,2.40M,0.80M,,0.10M,,,,,3.30M,1.40M,,,,0.10M,,1.30M,0.40M,0.90M,,0.90M,0.8308M,1.50M,0.10M,1.40M,,0.0275,0.00,0.0254,0.0275,,0.0275,0.00,0.0254,0.0275,,32.73M,32.73M,,,
1993-12,7.60M,7.60M,4.00M,3.60M,,,3.00M,,,0.10M,,,,,3.10M,0.50M,,,,0.10M,,0.60M,0.20M,0.40M,,0.40M,0.3333M,0.60M,0.10M,0.50M,,0.0125,0.00,0.0104,0.0125,,0.0125,0.00,0.0104,0.0125,,32.00M,32.00M,,,
1993-09,6.30M,6.30M,3.50M,2.80M,,,3.80M,,,0.50M,,,,,3.90M,-1.10M,,,,0.50M,,-1.10M,-0.10M,-1.00M,,-1.00M,-1.455M,-1.00M,0.10M,-1.10M,,-0.03,0.00,-0.0420,-0.03,,-0.03,0.00,-0.0420,-0.03,,37.94M,37.94M,,,
1993-06,6.60M,6.60M,3.50M,3.10M,,,3.20M,,,,,,,,3.30M,-0.20M,,,,,,,,-0.20M,,-0.20M,-0.20M,-0.10M,0.10M,-0.20M,,-0.005,0.00,-0.005,-0.005,,-0.005,0.00,-0.005,-0.005,,40.00M,40.00M,,,
1993-03,6.30M,6.30M,3.50M,2.80M,,,3.00M,,,0.10M,,,,,3.10M,-0.30M,,,,0.10M,,,,-0.20M,,-0.20M,-0.26M,-0.20M,0.10M,-0.30M,,-0.005,0.00,-0.0065,-0.005,,-0.005,0.00,-0.0065,-0.005,,40.00M,40.00M,,,
1992-12,5.40M,5.40M,,,,,,,,,,,,,,5.40M,,,,,,,,-0.50M,,-0.50M,-0.50M,5.40M,,5.40M,,-0.015,0.00,-0.015,-0.015,,-0.015,0.00,-0.015,-0.015,,33.33M,33.33M,,,
1992-09,7.10M,7.10M,3.70M,3.40M,,,3.50M,,,0.20M,,,,,3.60M,-0.20M,,,,0.20M,,0.00,0.00,0.00,,0.00,-0.20M,-0.10M,0.10M,-0.20M,,0.0025,0.00,-0.0051,0.0025,,0.0025,0.00,-0.0051,0.0025,,26.32M,26.32M,,,
1992-06,7.40M,7.40M,3.80M,3.60M,,,2.90M,,,0.30M,,,,,3.00M,0.60M,,,,0.30M,,1.00M,0.30M,0.70M,,0.70M,0.49M,0.70M,0.10M,0.60M,,0.02,0.00,0.014,0.02,,0.02,0.00,0.014,0.02,,35.00M,35.00M,,,
1992-03,6.40M,6.40M,3.20M,3.20M,,,2.60M,,,0.10M,,,,,2.70M,0.50M,,,,0.10M,,0.70M,0.20M,0.50M,,0.50M,0.4286M,0.60M,0.00,0.50M,,0.015,0.00,0.0129,0.015,,0.015,0.00,0.0129,0.015,,33.33M,33.33M,,,
1991-12,5.30M,5.30M,2.60M,2.70M,,,2.40M,,,0.20M,,,,,2.50M,0.20M,,,,0.20M,,0.40M,0.10M,0.30M,,0.30M,0.15M,0.30M,0.10M,0.20M,,0.01,0.00,0.005,0.01,,0.01,0.00,0.005,0.01,,30.00M,30.00M,,,
1991-09,4.50M,4.50M,,,,,,,,,,,,,,-12.40M,,,,,,,,0.40M,,0.40M,,-12.40M,,-12.40M,,,,,,,,,,,,30.93M,30.93M,,,
1991-06,4.50M,4.50M,,,,,,,,,,,,,,4.50M,,,,,,,,0.30M,,0.30M,,4.50M,,4.50M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,30.87M,30.87M,,,
1991-03,4.20M,4.20M,,,,,,,,,,,,,,4.20M,,,,,,,,0.10M,,0.10M,,4.20M,,4.20M,,0.0025,0.00,0.0025,0.0025,,0.0025,0.00,0.0025,0.0025,,30.73M,30.73M,,,
1990-12,3.90M,3.90M,,,,,,,,,,,,,,3.90M,,,,,,,,-0.10M,,-0.10M,,3.90M,,3.90M,,-0.0025,0.00,-0.0025,-0.0025,,-0.0025,0.00,-0.0025,-0.0025,,30.66M,30.66M,,,
1990-09,4.80M,4.80M,,,,,,,,,,,,,,-11.80M,,,,,,,,0.80M,,0.80M,,-11.80M,,-11.80M,,0.025,0.00,0.025,0.025,,0.025,0.00,0.025,0.025,,41.84M,41.84M,,,
1990-06,6.00M,6.00M,,,,,,,,,,,,,,6.00M,,,,,,,,0.80M,,0.80M,,6.00M,,6.00M,,0.025,0.00,0.025,0.025,,0.025,0.00,0.025,0.025,,23.53M,25.00M,,,
1990-03,4.90M,4.90M,2.60M,2.30M,,,1.50M,,,0.10M,,,,,1.50M,0.80M,,,,0.10M,,0.70M,0.20M,0.50M,,0.50M,0.4286M,0.80M,,0.80M,,0.0225,0.00,0.0193,0.0225,,0.02,0.00,0.0171,0.02,,22.22M,25.00M,,,
1989-12,3.90M,3.90M,,,,,,,,,,,,,,3.90M,,,,,,,,0.50M,,0.50M,,3.90M,,3.90M,,0.0225,0.00,0.0225,0.0225,,0.02,0.00,0.02,0.02,,30.26M,30.26M,,,
1989-09,3.40M,3.40M,,,,,,,,,,,,,,-6.30M,,,,,,,,0.40M,,0.40M,,-6.30M,,-6.30M,,,,,,,,,,,,8.712M,8.712M,,,
1989-06,3.20M,3.20M,,,,,,,,,,,,,,3.20M,,,,,,,,0.40M,,0.40M,,3.20M,,3.20M,,0.0175,0.00,0.0175,0.0175,,0.0175,0.00,0.0175,0.0175,,8.712M,8.712M,,,
1989-03,2.60M,2.60M,,,,,,,,,,,,,,2.60M,,,,,,,,0.40M,,0.40M,,2.60M,,2.60M,,0.0175,0.00,0.0175,0.0175,,0.0175,0.00,0.0175,0.0175,,8.712M,8.712M,,,
1988-12,2.20M,2.20M,,,,,,,,,,,,,,2.20M,,,,,,,,0.20M,,0.20M,,2.20M,,2.20M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,8.712M,8.712M,,,
