,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.057B,1.057B,2.464B,2.464B,634.00M,,2.524B,3.032B,946.00M,,,8.383B,0.00,117.00M,1.655B,7.75B,,9.522B,-6.095B,3.427B,2.499B,2.354B,4.853B,2.072B,335.00M,10.69B,19.07B,,4.051B,4.051B,1.382B,5.433B,1.796B,,,262.00M,2.058B,2.058B,,,1.34B,9.145B,4.781B,,4.781B,,,1.267B,946.00M,533.00M,6.581B,15.73B,,112.00M,6.701B,2.766B,4.675B,,,-2.506B,2.398B,,AOR,Restated
2018-03,1.041B,1.041B,2.657B,2.657B,745.00M,,2.716B,3.346B,1.047B,,,8.091B,0.00,125.00M,1.81B,9.017B,,10.95B,-6.982B,3.97B,3.157B,2.604B,5.761B,2.17B,347.00M,12.25B,20.34B,,4.643B,4.643B,1.269B,5.912B,1.06B,,,632.00M,1.692B,1.692B,,,957.00M,8.943B,4.19B,,4.19B,,,1.344B,931.00M,642.00M,6.176B,15.12B,,112.00M,7.44B,2.754B,3.673B,,,-2.344B,4.289B,,AOR,Restated
2017-12,1.196B,1.196B,2.665B,2.665B,725.00M,,2.374B,2.988B,1.081B,,,7.93B,0.00,123.00M,1.789B,8.946B,,10.86B,-6.825B,4.033B,3.118B,2.591B,5.709B,2.013B,353.00M,12.11B,20.04B,,4.797B,4.797B,1.527B,6.324B,450.00M,,,376.00M,826.00M,826.00M,,,941.00M,8.505B,4.392B,,4.392B,,,1.381B,930.00M,632.00M,6.405B,14.91B,,112.00M,7.352B,2.739B,3.674B,,,-2.331B,4.198B,,AOR,Restated
2017-09,1.087B,1.087B,3.102B,3.102B,715.00M,,2.729B,3.345B,1.115B,,,8.649B,0.00,126.00M,1.683B,8.797B,,10.61B,-6.741B,3.865B,3.093B,2.604B,5.697B,2.322B,305.00M,12.19B,20.84B,,4.728B,4.728B,1.469B,6.197B,1.442B,,,671.00M,2.113B,2.113B,,,898.00M,9.636B,3.669B,,3.669B,,,1.361B,935.00M,485.00M,5.515B,15.15B,,112.00M,7.697B,2.733B,3.474B,,,-2.316B,4.752B,,AOR,Restated
2017-06,1.041B,1.041B,2.974B,2.974B,689.00M,,2.636B,3.23B,984.00M,,,8.229B,0.00,123.00M,1.666B,8.564B,,10.35B,-6.542B,3.811B,3.053B,2.602B,5.655B,2.214B,297.00M,11.98B,20.21B,,4.733B,4.733B,1.35B,6.083B,1.111B,,,659.00M,1.77B,1.77B,,,822.00M,9.056B,3.631B,,3.631B,,,1.376B,949.00M,463.00M,5.47B,14.53B,,111.00M,7.501B,2.721B,3.274B,,,-2.328B,4.731B,,AOR,Restated
2017-03,951.00M,951.00M,2.735B,2.735B,684.00M,,2.489B,3.076B,942.00M,,,7.704B,0.00,128.00M,1.632B,8.213B,,9.973B,-6.181B,3.792B,2.971B,2.547B,5.518B,2.132B,334.00M,11.78B,19.48B,,4.334B,4.334B,1.21B,5.544B,834.00M,,,309.00M,1.143B,1.143B,,,834.00M,7.972B,3.89B,,3.89B,,,1.388B,959.00M,455.00M,5.733B,13.70B,,111.00M,7.394B,2.704B,3.074B,,,-2.319B,4.816B,,AOR,Restated
2016-12,1.085B,1.085B,2.711B,2.711B,651.00M,,2.07B,2.623B,920.00M,,,7.339B,0.00,128.00M,1.652B,8.085B,,9.865B,-6.055B,3.81B,2.956B,2.552B,5.508B,2.154B,342.00M,11.81B,19.15B,,4.416B,4.416B,1.391B,5.807B,34.00M,,,560.00M,594.00M,594.00M,,,871.00M,7.662B,3.876B,,3.876B,,,1.408B,955.00M,479.00M,5.763B,13.42B,,111.00M,7.314B,2.672B,2.924B,,,-2.40B,4.773B,,AOR,Restated
2016-09,1.025B,1.025B,2.982B,2.982B,685.00M,,2.629B,3.208B,974.00M,398.00M,,8.587B,0.00,134.00M,1.676B,8.225B,,10.04B,-6.267B,3.768B,3.027B,2.622B,5.649B,1.853B,333.00M,11.60B,20.19B,,4.312B,4.312B,1.386B,5.698B,1.408B,,,263.00M,1.671B,1.671B,,,917.00M,8.701B,3.718B,,3.718B,,,1.298B,963.00M,506.00M,5.522B,14.22B,,111.00M,7.209B,2.684B,2.824B,,,-2.176B,5.004B,,AOR,Restated
2016-06,959.00M,959.00M,2.797B,2.797B,652.00M,,2.665B,3.204B,992.00M,421.00M,,8.373B,0.00,133.00M,1.65B,8.22B,,10.00B,-6.261B,3.742B,3.017B,2.636B,5.653B,1.843B,357.00M,11.60B,19.97B,,4.391B,4.391B,1.299B,5.69B,997.00M,,,510.00M,1.507B,1.507B,,,923.00M,8.526B,3.712B,,3.712B,,,1.326B,961.00M,571.00M,5.609B,14.14B,,111.00M,7.047B,2.659B,2.724B,,,-2.221B,4.872B,,AOR,Restated
2016-03,699.00M,699.00M,2.695B,2.695B,663.00M,,2.557B,3.096B,952.00M,452.00M,,7.894B,0.00,135.00M,1.66B,8.187B,,9.982B,-6.182B,3.80B,3.054B,2.697B,5.751B,1.847B,380.00M,11.78B,19.67B,,4.286B,4.286B,1.219B,5.505B,998.00M,,,760.00M,1.758B,1.758B,,,950.00M,8.687B,3.251B,,3.251B,,,1.357B,938.00M,681.00M,5.289B,13.98B,,111.00M,6.803B,2.645B,2.624B,,,-2.177B,4.758B,,AOR,Restated
2015-12,772.00M,772.00M,2.53B,2.53B,655.00M,,2.093B,2.619B,953.00M,,,6.874B,0.00,131.00M,1.614B,7.982B,,9.727B,-5.953B,3.774B,3.006B,2.678B,5.684B,2.301B,377.00M,12.14B,19.01B,,4.403B,4.403B,1.381B,5.784B,20.00M,,,508.00M,528.00M,528.00M,,,980.00M,7.744B,3.47B,,3.47B,,,1.415B,931.00M,707.00M,5.592B,13.34B,,111.00M,6.722B,2.641B,2.399B,,,-2.332B,4.743B,,AOR,Restated
2015-09,698.00M,698.00M,2.914B,2.914B,687.00M,,2.403B,2.943B,983.00M,341.00M,,7.879B,0.00,133.00M,1.592B,7.923B,,9.648B,-5.964B,3.684B,3.039B,2.705B,5.744B,1.917B,399.00M,11.74B,19.62B,,4.162B,4.162B,1.307B,5.469B,803.00M,,,507.00M,1.31B,1.31B,,,1.006B,8.211B,3.502B,,3.502B,,,1.381B,926.00M,740.00M,5.623B,13.83B,,110.00M,6.611B,2.597B,2.244B,,,-2.211B,4.863B,,AOR,Restated
2015-06,691.00M,691.00M,2.702B,2.702B,724.00M,,2.516B,3.086B,1.044B,350.00M,,7.873B,0.00,134.00M,1.597B,8.111B,,9.842B,-6.029B,3.813B,2.792B,2.707B,5.499B,1.884B,444.00M,11.64B,19.51B,,4.179B,4.179B,1.323B,5.502B,740.00M,,,267.00M,1.007B,1.007B,,,879.00M,7.796B,3.75B,,3.75B,,,1.492B,917.00M,627.00M,5.869B,13.66B,,110.00M,6.446B,2.586B,2.199B,,,-2.012B,4.931B,,AOR,Restated
2015-03,704.00M,704.00M,2.518B,2.518B,888.00M,,2.275B,3.002B,1.149B,341.00M,,7.714B,0.00,131.00M,1.558B,7.891B,,9.58B,-5.801B,3.779B,2.736B,2.698B,5.434B,1.891B,390.00M,11.49B,19.21B,,4.173B,4.173B,1.246B,5.419B,441.00M,,,213.00M,654.00M,654.00M,,,879.00M,7.39B,3.977B,,3.977B,,,1.501B,915.00M,596.00M,6.074B,13.46B,,110.00M,6.34B,2.576B,2.149B,,,-2.048B,4.829B,,AOR,Restated
2014-12,1.026B,1.026B,2.768B,2.768B,724.00M,,2.189B,2.74B,1.147B,417.00M,,8.098B,0.00,142.00M,1.616B,8.182B,,9.94B,-5.959B,3.981B,2.807B,2.803B,5.61B,1.90B,413.00M,11.90B,20.00B,,4.73B,4.73B,1.525B,6.255B,569.00M,,,234.00M,803.00M,803.00M,,,846.00M,8.403B,3.544B,,3.544B,,,1.569B,911.00M,690.00M,5.803B,14.21B,,110.00M,6.209B,2.555B,2.149B,,,-1.84B,4.885B,,AOR,Restated
2014-09,987.00M,987.00M,2.213B,2.213B,672.00M,,2.206B,2.72B,725.00M,314.00M,,6.959B,0.00,73.00M,1.282B,7.793B,,9.148B,-6.162B,2.986B,1.721B,1.682B,3.403B,1.758B,602.00M,8.749B,15.71B,,3.789B,3.789B,1.027B,4.816B,486.00M,,,213.00M,699.00M,699.00M,,,521.00M,6.402B,2.45B,,2.45B,,,1.218B,113.00M,327.00M,3.995B,10.40B,,110.00M,6.186B,2.502B,2.149B,,,-1.451B,5.198B,,AOR,Restated
2014-06,945.00M,945.00M,2.222B,2.222B,656.00M,,2.313B,2.812B,731.00M,335.00M,,7.045B,,,,,,9.494B,-6.425B,3.069B,1.723B,1.692B,3.415B,1.758B,321.00M,8.563B,15.61B,,3.876B,3.876B,1.02B,4.896B,3.00M,,,312.00M,315.00M,315.00M,,,550.00M,6.118B,2.461B,,2.461B,,,1.336B,111.00M,342.00M,4.139B,10.26B,,110.00M,6.015B,2.497B,2.124B,,,-1.258B,5.24B,,AOR,Restated
2014-03,1.672B,1.672B,2.08B,2.08B,631.00M,,2.195B,2.666B,744.00M,421.00M,,7.583B,,,,,,9.423B,-6.369B,3.054B,1.722B,1.697B,3.419B,1.689B,295.00M,8.457B,16.04B,,3.721B,3.721B,1.04B,4.761B,2.00M,,,610.00M,612.00M,612.00M,,,594.00M,6.454B,2.662B,,2.662B,,,1.358B,114.00M,353.00M,4.373B,10.83B,,109.00M,5.896B,2.474B,2.124B,,,-1.256B,5.099B,,AOR,Restated
2013-12,1.38B,1.38B,2.005B,2.005B,622.00M,,1.95B,2.408B,680.00M,549.00M,,7.022B,0.00,76.00M,1.303B,7.94B,,9.319B,-6.278B,3.041B,1.724B,1.702B,3.426B,1.764B,291.00M,8.522B,15.54B,,3.865B,3.865B,1.151B,5.016B,10.00M,,,607.00M,617.00M,617.00M,,,705.00M,6.794B,1.846B,,1.846B,,,1.388B,110.00M,482.00M,3.716B,10.51B,,109.00M,5.784B,2.453B,2.124B,,,-1.298B,4.924B,,AOR,Restated
2013-09,826.00M,826.00M,2.226B,2.226B,639.00M,,2.197B,2.667B,787.00M,497.00M,,7.003B,,,,,,3.198B,-262.00M,2.936B,1.725B,1.706B,3.431B,1.974B,316.00M,8.657B,15.66B,,3.782B,3.782B,1.12B,4.902B,2.00M,,,609.00M,611.00M,611.00M,,,744.00M,6.679B,1.834B,,1.834B,,,1.889B,117.00M,472.00M,4.195B,10.87B,,109.00M,5.653B,2.409B,1.922B,,,-1.58B,4.669B,,AOR,Restated
2013-06,670.00M,670.00M,2.216B,2.216B,596.00M,,2.082B,2.505B,756.00M,461.00M,,6.608B,,,,,,9.013B,-6.106B,2.907B,1.724B,1.708B,3.432B,2.007B,320.00M,8.666B,15.27B,,3.62B,3.62B,1.023B,4.643B,6.00M,,,509.00M,515.00M,515.00M,,,683.00M,6.231B,1.936B,,1.936B,,,1.958B,112.00M,491.00M,4.385B,10.62B,,109.00M,5.507B,2.385B,1.805B,,,-1.65B,4.546B,,AOR,Restated
2013-03,750.00M,750.00M,2.08B,2.08B,606.00M,,2.144B,2.569B,768.00M,548.00M,,6.715B,,,,,,9.046B,-6.085B,2.961B,1.726B,1.713B,3.439B,1.937B,279.00M,8.616B,15.33B,,3.556B,3.556B,1.004B,4.56B,1.00M,,,10.00M,11.00M,11.00M,,,683.00M,5.801B,2.441B,,2.441B,,,2.011B,111.00M,492.00M,4.944B,10.74B,,108.00M,5.36B,2.346B,1.776B,,,-1.563B,4.475B,,AOR,Restated
2012-12,1.168B,1.168B,2.038B,2.038B,596.00M,,1.948B,2.354B,709.00M,558.00M,,6.827B,0.00,74.00M,1.252B,7.778B,,9.104B,-6.07B,3.034B,1.727B,1.722B,3.449B,1.832B,254.00M,8.569B,15.40B,,3.698B,3.698B,1.111B,4.809B,7.00M,,,510.00M,517.00M,517.00M,,,664.00M,6.51B,1.944B,,1.944B,,,2.058B,107.00M,517.00M,4.519B,11.03B,,108.00M,5.147B,2.313B,1.777B,,,-1.531B,4.26B,,AOR,Restated
2012-09,518.00M,518.00M,2.266B,2.266B,613.00M,,2.18B,2.598B,714.00M,508.00M,,6.604B,0.00,74.00M,1.22B,7.745B,,9.039B,-6.092B,2.947B,1.728B,1.732B,3.46B,1.716B,245.00M,8.368B,14.97B,,3.588B,3.588B,1.097B,4.685B,20.00M,,,510.00M,530.00M,530.00M,,,695.00M,6.36B,1.92B,,1.92B,,,1.717B,108.00M,534.00M,4.171B,10.53B,,107.00M,5.083B,2.242B,1.781B,,,-1.318B,4.333B,,AOR,Restated
2012-06,426.00M,426.00M,2.125B,2.125B,581.00M,,2.196B,2.583B,676.00M,467.00M,,6.277B,9.056B,,,,,9.056B,-6.101B,2.955B,1.727B,1.738B,3.465B,1.678B,232.00M,8.33B,14.61B,,3.517B,3.517B,1.001B,4.518B,3.00M,,,510.00M,513.00M,513.00M,,,623.00M,6.06B,1.922B,,1.922B,,,1.787B,105.00M,520.00M,4.229B,10.29B,,107.00M,5.049B,2.227B,1.794B,,,-1.376B,4.213B,,AOR,Restated
2012-03,583.00M,583.00M,2.143B,2.143B,572.00M,,2.232B,2.608B,660.00M,283.00M,,6.277B,,,,,,9.371B,-6.274B,3.097B,1.728B,1.751B,3.479B,1.877B,285.00M,8.738B,15.02B,,3.581B,3.581B,1.035B,4.616B,0.00,,,861.00M,861.00M,861.00M,,,618.00M,6.509B,1.628B,,1.628B,,,1.859B,103.00M,561.00M,4.048B,10.56B,,107.00M,4.975B,2.216B,1.812B,,,-1.131B,4.355B,,AOR,Restated
2011-12,1.109B,1.109B,2.105B,2.105B,541.00M,,2.016B,2.354B,606.00M,248.00M,,6.422B,0.00,76.00M,1.208B,7.964B,,9.248B,-6.146B,3.102B,1.727B,1.757B,3.484B,1.893B,280.00M,8.759B,15.18B,,3.512B,3.512B,1.38B,4.892B,1.00M,,,361.00M,362.00M,362.00M,,,678.00M,6.297B,2.129B,,2.129B,,,1.917B,99.00M,558.00M,4.604B,10.90B,,106.00M,4.922B,2.201B,1.822B,,,-1.226B,4.181B,,AOR,Restated
2011-09,511.00M,511.00M,2.261B,2.261B,578.00M,,2.459B,2.864B,599.00M,225.00M,,6.46B,0.00,77.00M,1.17B,8.148B,,9.395B,-6.314B,3.081B,1.724B,1.767B,3.491B,1.703B,268.00M,8.543B,15.00B,,3.536B,3.536B,1.31B,4.846B,17.00M,,,361.00M,378.00M,378.00M,,,664.00M,6.243B,2.133B,,2.133B,,,1.69B,98.00M,600.00M,4.423B,10.67B,,106.00M,4.755B,2.189B,1.821B,,,-990.00M,4.239B,,AOR,Restated
2011-06,845.00M,845.00M,2.455B,2.455B,631.00M,,2.599B,3.071B,662.00M,182.00M,,7.215B,10.20B,,,,,10.20B,-6.989B,3.213B,1.729B,1.78B,3.509B,1.633B,344.00M,8.699B,15.91B,,3.827B,3.827B,1.574B,5.401B,15.00M,,,363.00M,378.00M,378.00M,,,704.00M,6.869B,2.143B,,2.143B,,,1.777B,101.00M,626.00M,4.546B,11.42B,,106.00M,4.617B,2.184B,1.822B,,,-687.00M,4.398B,,AOR,Restated
2011-03,1.026B,1.026B,2.347B,2.347B,661.00M,,2.425B,2.938B,671.00M,219.00M,,7.201B,,,,,,10.06B,-6.882B,3.174B,1.732B,1.786B,3.518B,1.393B,323.00M,8.408B,15.61B,,3.572B,3.572B,917.00M,4.489B,2.00M,,,313.00M,315.00M,315.00M,,,621.00M,5.937B,2.193B,,2.193B,,,2.117B,105.00M,790.00M,5.10B,11.04B,,106.00M,4.816B,2.171B,1.823B,,,-803.00M,4.467B,,AOR,Restated
2010-12,1.368B,1.368B,2.278B,2.278B,590.00M,37.00M,2.314B,2.792B,673.00M,204.00M,,7.315B,0.00,74.00M,1.218B,8.502B,,9.794B,-6.66B,3.134B,1.731B,1.789B,3.52B,1.305B,310.00M,8.269B,15.58B,,3.66B,3.66B,1.097B,4.757B,2.00M,,,312.00M,314.00M,314.00M,,,611.00M,6.149B,2.195B,,2.195B,,,2.129B,94.00M,791.00M,5.115B,11.26B,,106.00M,4.68B,2.156B,1.823B,,,-893.00M,4.226B,,AOR,Restated
2010-09,901.00M,901.00M,2.552B,2.552B,583.00M,,2.641B,3.084B,,224.00M,697.00M,7.458B,0.00,75.00M,1.218B,8.393B,,9.686B,-6.609B,3.077B,1.73B,1.803B,3.533B,,1.531B,8.141B,15.60B,,3.70B,3.70B,1.118B,4.818B,14.00M,,,311.00M,325.00M,325.00M,,,691.00M,6.321B,2.197B,,2.197B,,,2.208B,101.00M,744.00M,5.149B,11.47B,,106.00M,4.542B,2.147B,1.823B,,,-944.00M,4.028B,,AOR,Restated
2010-06,850.00M,850.00M,2.382B,2.382B,521.00M,,2.293B,2.676B,,253.00M,700.00M,6.861B,0.00,71.00M,1.168B,7.978B,,9.217B,-6.247B,2.97B,1.729B,1.777B,3.506B,,1.395B,7.871B,14.73B,,3.499B,3.499B,977.00M,4.476B,22.00M,,,310.00M,332.00M,332.00M,,,687.00M,5.905B,2.195B,,2.195B,,,2.216B,92.00M,625.00M,5.036B,10.94B,,106.00M,4.496B,2.144B,1.823B,,,-1.224B,3.699B,,AOR,Restated
2010-03,1.191B,1.191B,2.44B,2.44B,532.00M,,2.045B,2.437B,,331.00M,641.00M,7.04B,0.00,75.00M,1.197B,8.129B,,9.401B,-6.322B,3.079B,1.731B,1.786B,3.517B,,1.442B,8.038B,15.08B,,3.323B,3.323B,1.513B,4.836B,17.00M,,,334.00M,351.00M,351.00M,,,699.00M,5.886B,2.498B,,2.498B,,,2.255B,96.00M,648.00M,5.401B,11.29B,,105.00M,4.324B,2.074B,1.828B,,,-980.00M,3.695B,,AOR,Restated
2009-12,1.38B,1.38B,2.50B,2.50B,439.00M,50.00M,1.853B,2.197B,653.00M,295.00M,,7.025B,0.00,77.00M,1.207B,8.193B,,9.477B,-6.36B,3.117B,1.729B,1.796B,3.525B,1.104B,323.00M,8.069B,15.09B,,3.308B,3.308B,1.608B,4.916B,23.00M,,,378.00M,401.00M,401.00M,,,624.00M,5.941B,2.502B,,2.502B,,,2.25B,96.00M,641.00M,5.393B,11.33B,,105.00M,4.193B,2.067B,1.833B,,,-868.00M,3.664B,,AOR,Restated
2009-09,725.00M,725.00M,2.742B,2.742B,590.00M,,1.991B,2.418B,,388.00M,649.00M,6.922B,0.00,74.00M,1.221B,8.107B,,9.402B,-6.336B,3.066B,1.728B,1.802B,3.53B,,1.339B,7.935B,14.86B,,3.067B,3.067B,1.625B,4.692B,45.00M,,,371.00M,416.00M,416.00M,,,649.00M,5.757B,2.503B,,2.503B,,,2.269B,102.00M,636.00M,5.408B,11.16B,,104.00M,4.13B,2.04B,1.839B,,,-845.00M,3.59B,,AOR,Restated
2009-06,247.00M,247.00M,2.326B,2.326B,631.00M,,2.017B,2.472B,,432.00M,562.00M,6.039B,0.00,72.00M,1.209B,7.857B,,9.138B,-6.117B,3.021B,1.73B,1.807B,3.537B,,1.142B,7.70B,13.74B,,2.649B,2.649B,1.274B,3.923B,91.00M,,,372.00M,463.00M,463.00M,,,646.00M,5.032B,2.487B,,2.487B,,,2.186B,90.00M,569.00M,5.242B,10.27B,,104.00M,4.076B,2.036B,1.846B,,,-995.00M,3.375B,,AOR,Restated
2009-03,193.00M,193.00M,1.936B,1.936B,688.00M,,2.071B,2.573B,,563.00M,555.00M,5.82B,0.00,70.00M,1.17B,7.492B,,8.732B,-5.819B,2.913B,1.726B,1.81B,3.536B,,933.00M,7.382B,13.20B,,2.392B,2.392B,1.149B,3.541B,829.00M,,,248.00M,1.077B,1.077B,,,783.00M,5.401B,1.956B,,1.956B,,,2.234B,74.00M,550.00M,4.74B,10.14B,,104.00M,4.029B,2.036B,1.859B,,,-1.323B,2.987B,,AOR,Restated
