,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2008-03,839.50M,839.50M,303.00M,536.50M,34.50M,248.30M,282.80M,,0.20M,16.90M,10.30M,-6.60M,57.20M,389.30M,147.20M,10.30M,16.90M,-6.60M,0.20M,-6.60M,-58.40M,-21.10M,-37.30M,,,-37.30M,-37.43M,7.80M,49.30M,-41.50M,-0.2525,0.0,,-0.2534,-0.2525,-0.2525,0.0,,-0.2534,-0.2525,148.10M,148.10M,0.0
2007-12,853.40M,853.40M,406.10M,447.30M,37.70M,246.80M,284.50M,,-2.90M,14.80M,11.90M,-2.90M,62.80M,392.40M,54.90M,11.90M,14.80M,-2.90M,-2.90M,-2.90M,9.60M,2.20M,7.40M,,,7.40M,9.635M,69.50M,45.10M,24.40M,0.0525,0.0,,0.0668,0.0525,0.0525,0.0,,0.0668,0.0525,156.80M,156.80M,0.0
2007-09,988.80M,988.80M,256.20M,732.60M,42.70M,244.00M,286.70M,,-0.30M,15.70M,13.80M,-1.90M,55.70M,389.00M,343.60M,13.80M,15.70M,-1.90M,-0.30M,-1.90M,134.80M,53.00M,81.80M,,,81.80M,81.98M,197.10M,46.60M,150.50M,0.505,0.0,,0.5061,0.505,0.5025,0.0,,0.5036,0.5025,161.93M,163.10M,0.0
2007-06,904.40M,904.40M,225.40M,679.00M,41.10M,240.40M,281.50M,,-4.40M,22.50M,20.50M,-2.00M,69.90M,395.20M,283.80M,20.50M,22.50M,-2.00M,-4.40M,-2.00M,75.00M,28.90M,46.10M,,,46.10M,48.80M,141.30M,43.80M,97.50M,0.285,0.0,,0.3017,0.285,0.2825,0.0,,0.2991,0.2825,161.80M,163.13M,0.0
2007-03,717.00M,759.40M,198.20M,561.20M,39.00M,247.50M,286.50M,,-0.20M,13.90M,14.40M,0.50M,54.90M,383.30M,177.90M,14.40M,13.90M,0.50M,-0.20M,0.50M,-17.80M,-7.50M,-10.30M,,,-10.30M,-10.17M,38.00M,41.90M,-3.90M,-0.065,0.0,,-0.0642,-0.065,-0.065,0.0,,-0.0642,-0.065,161.46M,161.46M,0.0
2006-12,790.30M,790.30M,,,36.70M,859.50M,896.20M,,7.00M,,,,-1.987B,-1.047B,775.00M,,,,7.00M,,-16.60M,-5.00M,-11.60M,,,-11.60M,-16.49M,127.40M,43.40M,84.00M,-0.0725,0.0,,-0.1029,-0.0725,-0.0725,0.0,,-0.1029,-0.0725,160.96M,160.96M,0.0
2006-09,935.70M,935.70M,,,44.70M,37.60M,82.30M,,7.30M,,,,836.90M,959.70M,-24.00M,,,,7.30M,,-22.90M,-5.50M,-17.40M,,,-17.40M,-22.95M,16.50M,40.50M,-24.00M,-0.11,0.0,,-0.1447,-0.11,-0.11,0.0,,-0.1447,-0.11,159.82M,159.82M,0.0
2006-06,873.00M,873.00M,,,46.40M,39.60M,86.00M,36.70M,5.00M,,,,670.20M,792.90M,80.10M,,,,5.00M,,81.10M,25.60M,55.50M,,,55.50M,52.08M,116.80M,36.70M,80.10M,0.365,0.0,,0.3425,0.365,0.345,0.0,,0.3237,0.345,152.11M,160.30M,0.0
2006-03,735.40M,735.40M,,,41.60M,-4.90M,36.70M,,3.80M,,,,787.00M,860.60M,-125.20M,,,,3.80M,,-129.40M,-50.30M,-79.10M,,,-79.10M,-81.42M,-88.30M,36.90M,-125.20M,-0.59,0.0,,-0.6074,-0.59,-0.59,0.0,,-0.6074,-0.59,133.86M,133.86M,0.0
2005-12,730.60M,730.60M,,,39.60M,1.597B,-229.30M,37.60M,23.10M,,,,697.00M,505.30M,1.809B,,,,23.10M,,-56.30M,-23.30M,-33.00M,0.00,,-33.00M,-46.86M,1.880B,37.60M,1.842B,-1.13,0.83,0.0,-1.2429999999999999,-0.3,-1.13,0.83,0.0242,-1.2329999999999999,-0.3,122.24M,134.09M,0.0
