,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-03,1.674B,2.589B,4.263B,1.521B,1.521B,260.00M,101.00M,1.221B,1.582B,467.00M,894.00M,,8.727B,667.00M,,1.861B,2.528B,-1.459B,1.069B,4.099B,1.96B,6.059B,,,725.00M,7.853B,16.58B,,333.00M,131.00M,288.00M,752.00M,2.372B,3.124B,,225.00M,225.00M,,,,3.695B,3.257B,3.257B,,,,1.307B,4.564B,8.259B,,38.00M,7.527B,1.277B,,,-521.00M,8.321B,,AOR,Restated
2014-12,1.795B,3.205B,5.00B,1.572B,1.572B,248.00M,88.00M,1.252B,1.588B,524.00M,,,8.684B,678.00M,,1.919B,2.597B,-1.499B,1.098B,4.186B,2.018B,6.204B,,,1.293B,8.595B,17.28B,,329.00M,131.00M,333.00M,793.00M,2.344B,3.137B,,727.00M,727.00M,,,,4.461B,3.246B,3.246B,,,,977.00M,4.223B,8.684B,,38.00M,7.559B,1.252B,,,-254.00M,8.595B,,AOR,Restated
2014-09,1.356B,3.321B,4.677B,1.529B,1.529B,257.00M,106.00M,1.303B,1.666B,467.00M,987.00M,,9.326B,676.00M,,1.926B,2.602B,-1.498B,1.104B,4.257B,2.108B,6.365B,,,720.00M,8.189B,17.52B,,335.00M,115.00M,374.00M,824.00M,2.171B,2.995B,,731.00M,731.00M,,,,4.211B,3.231B,3.231B,,,,1.449B,4.68B,8.891B,,38.00M,7.43B,1.23B,,,-74.00M,8.624B,,AOR,Restated
2014-06,1.319B,3.426B,4.745B,1.503B,1.503B,254.00M,104.00M,1.229B,1.587B,605.00M,941.00M,,9.381B,693.00M,,1.933B,2.626B,-1.499B,1.127B,4.101B,2.09B,6.191B,,,530.00M,7.848B,17.23B,,337.00M,116.00M,97.00M,550.00M,2.134B,2.684B,,630.00M,630.00M,,,,3.713B,3.237B,3.237B,,,,1.277B,4.514B,8.227B,,38.00M,7.525B,1.208B,,,231.00M,9.002B,,AOR,Restated
2014-03,1.381B,2.666B,4.047B,1.43B,1.43B,231.00M,96.00M,1.171B,1.498B,553.00M,918.00M,,8.446B,692.00M,,1.892B,2.584B,-1.467B,1.117B,3.997B,2.085B,6.082B,,,514.00M,7.713B,16.16B,,350.00M,116.00M,118.00M,584.00M,1.821B,2.405B,,820.00M,820.00M,,,,3.558B,2.244B,2.244B,,,,1.294B,3.538B,7.096B,,38.00M,7.571B,1.186B,,,268.00M,9.063B,,AOR,Restated
2013-12,1.339B,2.641B,3.98B,1.518B,1.518B,227.00M,85.00M,1.11B,1.422B,535.00M,880.00M,,8.335B,686.00M,,1.811B,2.497B,-1.416B,1.081B,3.844B,1.989B,5.833B,,,494.00M,7.408B,15.74B,,314.00M,115.00M,131.00M,560.00M,1.537B,2.097B,,25.00M,25.00M,,,,2.657B,2.739B,2.739B,,,,1.30B,4.039B,6.696B,,38.00M,7.617B,1.16B,,,232.00M,9.047B,,AOR,Restated
2013-09,1.11B,4.028B,5.138B,1.37B,1.37B,210.00M,92.00M,1.102B,1.404B,518.00M,757.00M,,9.187B,669.00M,,1.74B,2.409B,-1.373B,1.036B,2.603B,1.539B,4.142B,,,518.00M,5.696B,14.88B,,278.00M,100.00M,25.00M,403.00M,1.456B,1.859B,,31.00M,31.00M,,,,2.324B,2.743B,2.743B,,,,1.079B,3.822B,6.146B,,38.00M,7.411B,1.142B,,,146.00M,8.737B,,AOR,Restated
2013-06,971.00M,3.681B,4.652B,1.413B,1.413B,205.00M,85.00M,1.055B,1.345B,498.00M,781.00M,,8.689B,663.00M,,1.682B,2.345B,-1.324B,1.021B,2.573B,1.545B,4.118B,,,554.00M,5.693B,14.38B,,277.00M,100.00M,53.00M,430.00M,1.156B,1.586B,,29.00M,29.00M,,,,1.971B,2.742B,2.742B,,,,1.066B,3.808B,5.779B,,38.00M,7.41B,1.124B,,,31.00M,8.603B,,AOR,Restated
2013-03,1.913B,2.574B,4.487B,1.408B,1.408B,203.00M,78.00M,1.042B,1.323B,412.00M,791.00M,,8.421B,652.00M,,1.646B,2.298B,-1.296B,1.002B,2.592B,1.52B,4.112B,,,554.00M,5.668B,14.09B,,297.00M,101.00M,105.00M,503.00M,982.00M,1.485B,,34.00M,34.00M,,,,1.808B,2.738B,2.738B,,,,1.087B,3.825B,5.633B,,38.00M,7.296B,1.105B,,,17.00M,8.456B,,AOR,Restated
2012-12,1.395B,2.89B,4.285B,1.43B,1.43B,202.00M,71.00M,992.00M,1.265B,357.00M,811.00M,,8.148B,625.00M,,1.607B,2.232B,-1.284B,948.00M,2.142B,1.424B,3.566B,,,544.00M,5.058B,13.21B,,288.00M,101.00M,70.00M,459.00M,934.00M,1.393B,,16.00M,16.00M,,,,1.876B,1.746B,1.746B,,,,987.00M,2.733B,4.609B,,38.00M,7.332B,1.098B,,,129.00M,8.597B,,AOR,Restated
2012-09,1.423B,2.44B,3.863B,1.356B,1.356B,211.00M,76.00M,1.028B,1.315B,246.00M,860.00M,,7.64B,0.00,613.00M,1.556B,2.169B,-1.24B,929.00M,2.06B,1.342B,3.402B,327.00M,310.00M,169.00M,5.137B,12.78B,,270.00M,81.00M,59.00M,410.00M,748.00M,1.158B,,18.00M,18.00M,,,,1.576B,1.751B,1.751B,,,,1.089B,2.84B,4.416B,,38.00M,7.162B,1.083B,,,78.00M,8.361B,,AOR,Restated
2012-06,1.393B,2.067B,3.46B,1.368B,1.368B,203.00M,69.00M,1.017B,1.289B,290.00M,791.00M,,7.198B,0.00,605.00M,1.495B,2.10B,-1.202B,898.00M,2.028B,1.349B,3.377B,319.00M,312.00M,158.00M,5.064B,12.26B,,295.00M,81.00M,0.00,376.00M,767.00M,1.143B,,16.00M,16.00M,,,,1.489B,1.75B,1.75B,,,,1.071B,2.821B,4.31B,,38.00M,6.908B,1.066B,,,-60.00M,7.952B,,AOR,Restated
2012-03,690.00M,2.607B,3.297B,1.472B,1.472B,200.00M,71.00M,1.047B,1.318B,336.00M,806.00M,,7.229B,0.00,612.00M,1.509B,2.121B,-1.212B,909.00M,2.082B,1.425B,3.507B,320.00M,333.00M,161.00M,5.23B,12.46B,,311.00M,81.00M,85.00M,477.00M,759.00M,1.236B,,23.00M,23.00M,,,,1.549B,1.751B,1.751B,,,,1.137B,2.888B,4.437B,,38.00M,6.701B,1.048B,,,235.00M,8.022B,,AOR,Restated
2011-12,905.00M,2.513B,3.418B,1.417B,1.417B,185.00M,46.00M,1.052B,1.283B,312.00M,777.00M,,7.207B,600.00M,,1.455B,2.055B,-1.167B,888.00M,2.072B,1.442B,3.514B,,,537.00M,4.939B,12.15B,,345.00M,81.00M,155.00M,581.00M,798.00M,1.379B,,17.00M,17.00M,,,,1.84B,1.751B,1.751B,,,,872.00M,2.623B,4.463B,,38.00M,6.479B,1.022B,,,144.00M,7.683B,,AOR,Restated
2011-09,810.00M,2.403B,3.213B,1.319B,1.319B,198.00M,49.00M,1.062B,1.297B,327.00M,775.00M,,6.931B,,,,2.074B,-1.186B,888.00M,2.042B,1.454B,3.496B,320.00M,287.00M,161.00M,5.152B,12.08B,,282.00M,69.00M,59.00M,410.00M,743.00M,1.153B,,25.00M,25.00M,,,,1.562B,1.755B,1.755B,,,,1.209B,2.964B,4.526B,,38.00M,6.24B,1.007B,,,272.00M,7.557B,,AOR,Restated
2011-06,497.10M,2.178B,2.675B,1.348B,1.348B,197.20M,49.10M,1.050B,1.284B,416.50M,778.60M,,6.503B,,,,2.069B,-1.183B,886.00M,2.028B,1.398B,3.426B,319.70M,300.40M,161.90M,5.094B,11.60B,,307.00M,69.90M,28.40M,405.30M,836.50M,1.242B,,24.40M,24.40M,,,,1.604B,996.70M,996.70M,,,,1.218B,2.215B,3.818B,,38.80M,6.254B,1.001B,,,484.30M,7.778B,,AOR,Restated
2011-03,735.10M,2.151B,2.886B,1.310B,1.310B,177.80M,45.30M,1.010B,1.220B,343.50M,741.00M,,6.501B,,,,1.959B,-1.114B,845.00M,1.854B,1.312B,3.166B,308.00M,251.30M,160.00M,4.730B,11.23B,,292.00M,69.90M,139.50M,501.40M,772.30M,1.274B,,28.20M,28.20M,,,,1.587B,996.60M,996.60M,,,,1.195B,2.192B,3.779B,,38.80M,6.015B,982.50M,,,416.30M,7.452B,,AOR,Restated
2010-12,1.758B,2.622B,4.38B,1.252B,1.252B,158.00M,65.00M,834.00M,1.057B,290.00M,653.00M,,7.632B,0.00,554.00M,1.296B,1.85B,-1.052B,798.00M,1.072B,703.00M,1.775B,291.00M,248.00M,151.00M,3.263B,10.90B,,292.00M,70.00M,47.00M,409.00M,753.00M,1.162B,,25.00M,25.00M,,,,1.605B,996.00M,996.00M,,,,1.12B,2.116B,3.721B,,39.00M,6.017B,964.00M,,,154.00M,7.174B,,AOR,Restated
2010-09,925.60M,3.589B,4.515B,1.159B,1.159B,156.30M,85.00M,805.50M,1.035B,218.00M,617.20M,,7.544B,,,,2.009B,-1.077B,931.60M,951.00M,653.50M,1.604B,297.00M,250.70M,144.40M,3.228B,10.77B,,247.80M,59.60M,60.20M,367.60M,1.019B,1.387B,,19.10M,19.10M,,,,1.406B,996.40M,996.40M,,,,1.064B,2.060B,3.466B,,39.70M,6.091B,965.30M,,,209.80M,7.306B,,AOR,Restated
2010-06,785.20M,3.243B,4.028B,1.108B,1.108B,148.80M,87.50M,743.40M,968.20M,195.40M,599.50M,,6.900B,,,,1.938B,-1.039B,898.70M,932.30M,654.60M,1.587B,291.10M,247.20M,136.40M,3.160B,10.06B,,212.80M,59.60M,46.30M,318.70M,957.50M,1.276B,,18.90M,18.90M,,,,1.295B,996.30M,996.30M,,,,1.023B,2.020B,3.315B,,39.70M,5.813B,944.50M,,,-51.80M,6.746B,,AOR,Restated
2010-03,1.202B,2.735B,3.938B,1.121B,1.121B,148.20M,89.30M,735.00M,961.00M,239.40M,616.80M,,6.875B,,,,1.968B,-1.043B,925.00M,951.20M,666.30M,1.618B,290.00M,254.70M,135.80M,3.223B,10.10B,,230.70M,59.50M,166.00M,456.20M,921.00M,1.377B,,27.60M,27.60M,,,,1.405B,996.20M,996.20M,,,,1.027B,2.023B,3.428B,,39.70M,5.554B,925.40M,,,152.00M,6.671B,,AOR,Restated
2009-12,658.70M,2.296B,2.955B,1.147B,1.147B,140.10M,84.00M,730.40M,943.00M,204.10M,602.20M,,5.851B,0.00,693.40M,1.270B,1.964B,-1.016B,947.60M,956.80M,634.70M,1.592B,285.40M,258.90M,136.70M,3.220B,9.071B,,200.20M,59.70M,134.70M,394.60M,1.028B,1.423B,,18.00M,18.00M,,,,1.441B,,,,,,1.035B,1.035B,2.476B,,39.80M,5.397B,899.90M,,,258.00M,6.595B,,AOR,Restated
2009-09,960.30M,1.969B,2.929B,1.114B,1.114B,144.50M,89.90M,748.50M,977.30M,146.30M,595.30M,,5.762B,,,,1.949B,-995.20M,954.10M,594.60M,360.30M,954.90M,286.90M,205.10M,296.40M,2.697B,8.459B,,204.50M,0.00,2.10M,206.60M,973.30M,1.180B,,18.10M,18.10M,,,,1.198B,,,,,,,820.30M,2.018B,,39.80M,5.191B,883.60M,,,326.60M,6.441B,,AOR,Restated
2009-06,666.30M,1.762B,2.428B,1.097B,1.097B,151.90M,90.90M,754.50M,991.70M,152.80M,570.60M,,5.240B,,,,1.900B,-950.10M,950.30M,578.00M,364.00M,942.00M,282.10M,209.30M,299.50M,2.683B,7.924B,,211.70M,0.00,14.40M,226.10M,829.60M,1.056B,,19.40M,19.40M,,,,1.075B,,,,,,,790.90M,1.866B,,39.70M,4.962B,866.90M,,,189.00M,6.058B,,AOR,Restated
2009-03,685.80M,1.559B,2.245B,1.055B,1.055B,150.30M,90.50M,755.00M,990.20M,157.10M,552.70M,,5.000B,,,,1.849B,-904.50M,944.30M,554.40M,355.10M,909.50M,270.60M,223.90M,237.00M,2.585B,7.585B,,273.70M,0.00,143.40M,417.10M,744.20M,1.161B,,20.50M,20.50M,,,,1.182B,,,,,,,778.30M,1.960B,,39.70M,4.671B,845.50M,,,69.30M,5.625B,,AOR,Restated
2008-12,701.10M,1.494B,2.196B,1.130B,1.130B,138.20M,92.70M,727.40M,952.70M,179.60M,521.90M,,4.979B,0.00,686.70M,1.184B,1.871B,-907.20M,963.80M,567.50M,368.00M,935.50M,275.20M,212.20M,237.30M,2.624B,7.603B,,274.30M,158.60M,30.00M,462.90M,978.70M,1.442B,,20.50M,20.50M,,,,1.462B,,,,,,,734.50M,2.197B,,39.60M,4.390B,812.80M,,,164.80M,5.407B,,AOR,Restated
2008-09,668.00M,1.540B,2.208B,1.105B,1.105B,134.30M,95.50M,755.10M,981.20M,136.20M,561.20M,,4.991B,,,,1.892B,-899.50M,992.80M,531.20M,378.00M,909.20M,,175.00M,506.40M,2.583B,7.575B,,262.50M,,,262.50M,843.60M,1.106B,,21.20M,21.20M,,,16.10M,1.143B,,,,,,,686.10M,1.830B,,40.40M,4.657B,788.40M,,,259.10M,5.745B,,,
2008-06,421.60M,2.141B,2.563B,1.132B,1.132B,123.90M,96.80M,736.20M,953.20M,146.90M,560.10M,,5.355B,,,,1.913B,-895.20M,1.018B,544.30M,398.30M,942.60M,,173.80M,536.20M,2.670B,8.025B,,268.20M,,,268.20M,798.20M,1.066B,,23.80M,23.80M,,,33.80M,1.124B,,,,,,,682.20M,1.806B,,41.20M,4.961B,784.90M,,,432.00M,6.219B,,,Restated
2008-03,423.50M,1.939B,2.363B,1.095B,1.095B,120.00M,87.00M,691.30M,894.60M,,562.00M,149.90M,5.064B,,,,1.892B,-868.70M,1.023B,548.80M,408.80M,957.60M,,175.70M,533.50M,2.690B,7.754B,,277.70M,,,277.70M,716.40M,994.10M,,17.70M,17.70M,,,137.40M,1.149B,,,,,,,672.10M,1.821B,,41.20M,4.655B,756.20M,,,480.20M,5.933B,,,
2007-12,290.50M,2.120B,2.411B,1.031B,1.031B,110.00M,75.90M,614.00M,796.20M,132.80M,534.40M,,4.905B,0.00,677.10M,1.109B,1.786B,-794.30M,991.60M,527.40M,398.10M,925.50M,293.10M,171.80M,67.10M,2.449B,7.354B,,265.50M,135.60M,58.70M,459.80M,856.40M,1.316B,,16.80M,16.80M,,,,1.333B,,,,,,,642.50M,1.976B,,41.10M,4.365B,711.90M,,,260.80M,5.378B,,,Restated
