,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2011-12,,,,41.00M,-118.00M,-77.00M,-77.00M,,,17.00M,,-996.00M,-118.00M,8.00M,331.00M,,,138.00M,359.00M,,627.00M,,-64.00M,0.00,-64.00M,-144.00M,-172.00M,,-380.00M,,-10.00M,,-10.00M,,-83.00M,-83.00M,,-69.00M,,23.00M,-139.00M,,810.00M,108.00M,-13.00M,905.00M,,,105.00M,-115.00M,-83.00M,,AOR,Restated
2011-09,,,,40.00M,84.00M,124.00M,124.00M,,,19.00M,,345.00M,8.00M,-33.00M,-16.00M,,,-1.00M,-42.00M,,446.00M,,-57.00M,1.00M,-56.00M,-144.00M,-297.00M,,-497.00M,,765.00M,,765.00M,,-289.00M,-289.00M,,-70.00M,,-18.00M,388.00M,,905.00M,337.00M,-24.00M,810.00M,,,788.00M,-23.00M,-289.00M,,AOR,Restated
2011-06,,,,39.00M,81.00M,120.00M,120.00M,,,19.00M,,365.00M,-14.00M,-72.00M,-101.00M,,,-160.00M,-347.00M,,157.00M,,-50.00M,6.00M,-44.00M,-323.00M,-13.00M,,-380.00M,,-20.00M,,-20.00M,,0.00,0.00,,-69.00M,,68.00M,-21.00M,,734.60M,-244.00M,6.00M,905.00M,,,1.00M,-21.00M,0.00,,AOR,Restated
2011-03,,,,40.00M,75.00M,115.00M,115.00M,,,20.00M,,362.00M,-28.00M,-69.00M,-107.00M,,,-89.00M,-293.00M,,204.00M,,-55.00M,60.00M,5.00M,-1.455B,572.00M,,-878.00M,,2.00M,,2.00M,,-250.00M,-250.00M,,-71.00M,,-70.00M,-389.00M,,1.758B,-1.063B,40.00M,734.60M,,,33.00M,-31.00M,-250.00M,,AOR,Restated
2010-12,1.273B,23.00M,38.00M,45.00M,-121.00M,-76.00M,-76.00M,-124.00M,,16.00M,11.00M,-792.00M,-102.00M,-13.00M,177.00M,,,178.00M,240.00M,,517.00M,,-55.00M,7.00M,-48.00M,-203.00M,954.00M,,703.00M,,17.00M,,17.00M,,-315.00M,-315.00M,,-59.00M,-3.00M,11.00M,-349.00M,,926.00M,871.00M,-39.00M,1.758B,,,45.00M,-28.00M,-315.00M,,AOR,Restated
2010-09,,-23.00M,-31.00M,40.10M,61.10M,101.20M,101.20M,20.00M,,16.90M,-0.10M,319.70M,-13.30M,-57.20M,119.20M,,,-46.90M,1.80M,,428.50M,,-58.50M,53.80M,-4.70M,-0.60M,-190.70M,,-196.00M,,-1.00M,,-1.00M,,0.10M,0.10M,,-59.80M,0.60M,-63.80M,-123.90M,,785.20M,108.60M,31.90M,926.00M,,,19.20M,-20.20M,0.10M,,AOR,Restated
2010-06,-321.70M,,,39.10M,59.50M,98.60M,98.60M,,,17.30M,-1.90M,647.90M,-14.90M,-30.70M,-71.10M,,,3.20M,-113.50M,,326.70M,,-37.40M,0.20M,-37.20M,-4.00M,-655.40M,,-696.60M,,-7.30M,,-7.30M,,0.00,0.00,,-59.50M,1.10M,50.60M,-15.10M,,1.202B,-385.00M,-32.30M,785.20M,,,18.40M,-25.70M,0.00,,AOR,Restated
2010-03,321.70M,,,40.80M,58.40M,99.20M,99.20M,,,18.80M,-9.00M,17.40M,9.20M,-30.10M,-62.10M,,,-90.30M,-173.30M,,274.80M,,-31.10M,0.00,-31.10M,-57.40M,-516.90M,,-605.40M,,1.006B,,1.006B,,-111.10M,-111.10M,,-59.70M,1.30M,61.20M,898.00M,,658.70M,567.40M,-23.60M,1.202B,,,1.013B,-7.10M,-111.10M,,AOR,Restated
2009-12,306.00M,1.70M,-31.60M,47.30M,57.50M,104.80M,104.80M,,,15.30M,-1.90M,30.40M,-60.20M,38.60M,290.80M,,,-79.40M,189.80M,,540.10M,,-41.70M,0.00,-41.70M,-552.50M,-230.60M,,-824.80M,,0.10M,,0.10M,,0.00,0.00,,-39.80M,0.30M,25.40M,-14.00M,,960.30M,-298.70M,-2.90M,658.70M,,,2.30M,-2.20M,0.00,,AOR,Restated
2009-09,229.00M,1.20M,54.10M,41.10M,55.50M,96.60M,96.60M,,,15.30M,-0.80M,4.10M,9.40M,26.00M,61.90M,,,-29.80M,67.50M,,465.80M,,-28.60M,0.60M,-28.00M,-6.00M,-146.30M,,-180.30M,,-1.90M,,-1.90M,,0.00,0.00,,0.00,1.00M,-18.10M,-19.00M,,666.30M,266.50M,27.50M,960.30M,,,3.20M,-5.10M,0.00,,AOR,Restated
2009-06,291.30M,,,38.90M,53.30M,92.20M,92.20M,,,15.00M,-5.70M,10.60M,-12.50M,20.90M,-123.50M,,,-105.90M,-221.00M,,182.40M,,-30.40M,0.20M,-30.20M,-9.10M,-153.30M,,-192.60M,,-1.80M,,-1.80M,,,,,0.00,3.70M,-28.50M,-26.60M,,685.80M,-36.80M,17.30M,666.30M,,,0.90M,-2.70M,,,AOR,Restated
2009-03,281.10M,,,37.90M,53.80M,91.70M,91.70M,,,16.70M,1.50M,2.60M,53.50M,-51.80M,-51.60M,,,-71.30M,-121.20M,,272.40M,,-30.60M,0.70M,-29.90M,-2.60M,-98.20M,,-130.70M,,0.90M,,0.90M,,0.00,0.00,,-158.60M,1.30M,22.70M,-133.70M,,701.10M,8.00M,-23.30M,685.80M,,,10.50M,-9.60M,0.00,,AOR,Restated
2008-12,277.70M,,32.70M,37.40M,55.70M,93.10M,93.10M,,,65.50M,10.90M,-47.30M,-60.30M,5.20M,41.10M,,84.50M,-66.20M,4.30M,,419.30M,,-46.10M,8.20M,-37.90M,-3.40M,36.30M,,-5.00M,,6.70M,,0.80M,-31.90M,-404.00M,-435.90M,,0.00,50.10M,19.90M,-365.10M,,668.00M,49.20M,-16.10M,701.10M,,-31.90M,26.00M,-19.30M,-404.00M,,AOR,Restated
2008-09,273.80M,,1.70M,39.50M,58.10M,97.60M,97.60M,,,-34.10M,-3.70M,57.20M,-9.00M,-55.10M,104.40M,,-84.50M,-22.80M,-67.00M,,325.50M,,-37.00M,0.20M,-36.80M,-2.20M,545.10M,,506.10M,,-7.10M,,-1.20M,31.90M,-596.00M,-564.10M,,0.00,-25.20M,33.00M,-557.50M,,421.60M,274.10M,-27.70M,668.00M,,31.90M,-10.40M,3.30M,-596.00M,,,
2008-06,305.80M,,-0.30M,39.80M,58.90M,98.70M,98.70M,,,34.10M,3.70M,-18.70M,-45.70M,-63.30M,-112.90M,,-67.10M,106.00M,-183.00M,,240.30M,,-41.20M,0.10M,-41.10M,-2.40M,-202.10M,,-245.60M,,7.10M,,6.30M,-14.50M,,-14.50M,,0.00,25.20M,-10.20M,6.80M,,423.50M,1.50M,-3.40M,421.60M,,-14.50M,10.40M,-3.30M,,,,Restated
2008-03,290.50M,,0.30M,38.70M,59.50M,98.20M,98.20M,,,,,19.40M,-16.20M,-67.00M,3.50M,,67.10M,-205.00M,-217.60M,,190.80M,,-30.90M,0.10M,-30.80M,-6.20M,91.60M,,54.60M,,,,0.80M,14.50M,,14.50M,,-135.60M,,-10.00M,-130.30M,,290.50M,115.10M,17.90M,423.50M,,14.50M,,,,,,
2007-12,245.40M,,-5.30M,36.40M,59.10M,95.50M,95.50M,,,,,45.70M,-76.70M,-5.90M,44.30M,,80.30M,-30.30M,11.70M,30.70M,367.50M,,-65.00M,0.30M,-64.70M,-8.50M,-207.20M,,-280.40M,,,,-0.90M,-52.70M,,-52.70M,,0.00,,14.50M,30.40M,,170.90M,117.50M,2.10M,290.50M,,-52.70M,,,,,,Restated
2007-09,259.40M,,2.40M,36.00M,37.90M,73.90M,73.90M,,,,,36.30M,10.20M,-34.60M,5.00M,,28.20M,-52.90M,-44.10M,-30.70M,297.20M,,-42.80M,0.10M,-42.70M,-8.70M,-263.20M,,-314.60M,,,,-0.60M,15.20M,,15.20M,,0.00,,-0.30M,14.30M,,170.00M,-3.10M,4.00M,170.90M,,15.20M,,,,,,
2007-06,238.40M,,2.10M,31.00M,77.20M,108.20M,108.20M,,,,,17.50M,-40.90M,-19.60M,10.70M,,-56.10M,-39.50M,-145.40M,-9.90M,210.90M,,-38.00M,0.10M,-37.90M,-31.80M,-437.70M,,-364.30M,,,,1.90M,20.20M,,20.20M,,0.00,,5.60M,27.70M,,294.30M,-125.70M,1.40M,170.00M,,20.20M,,,,,,
2007-03,243.50M,,0.80M,33.70M,55.30M,89.00M,89.00M,,,,,18.40M,-26.10M,-29.80M,-28.50M,,-52.40M,-62.20M,-199.00M,,152.70M,,-41.90M,0.20M,-41.70M,-5.80M,-171.40M,,-218.90M,,,,0.40M,17.30M,,17.30M,,-89.70M,,13.20M,-58.80M,,416.60M,-125.00M,2.70M,294.30M,,17.30M,,,,,,
