,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.099B,80.90M,1.180B,433.90M,,433.90M,,38.52B,,166.10M,40.30B,,,,,,,1.107B,-726.90M,380.00M,7.569B,19.47B,27.04B,,1.476B,28.90B,69.20B,,27.80M,,27.80M,,27.80M,,,,,,,37.15B,37.18B,3.419B,3.419B,4.863B,4.863B,,,614.00M,8.896B,46.08B,,3.40M,5.173B,17.93B,,,18.60M,23.12B,,AOR,Restated
2018-03,784.60M,90.40M,875.00M,444.10M,,444.10M,,39.58B,,154.50M,41.05B,,,,,,,1.092B,-704.80M,387.20M,7.569B,19.50B,27.07B,,1.410B,28.86B,69.92B,,25.00M,,25.00M,,25.00M,,,,,,,39.42B,39.45B,2.234B,2.234B,4.847B,4.847B,,,621.10M,7.701B,47.15B,,3.40M,4.845B,17.90B,,,19.90M,22.77B,,AOR,Restated
2017-12,1.904B,90.10M,1.994B,359.70M,,359.70M,,44.19B,,367.80M,46.91B,0.00,7.80M,173.80M,714.20M,,180.50M,1.076B,-676.60M,399.70M,7.569B,19.52B,27.09B,,1.394B,28.88B,75.79B,,31.30M,,31.30M,,31.30M,0.00,,0.00,0.00,,,45.64B,45.67B,2.233B,2.233B,4.858B,4.858B,0.00,,615.70M,7.706B,53.38B,,3.40M,4.497B,17.90B,,,14.30M,22.41B,,AOR,Restated
2017-09,1.631B,88.00M,1.719B,390.30M,,390.30M,,46.99B,,290.80M,49.39B,,,,,,,1.039B,-649.90M,388.90M,7.569B,19.55B,27.11B,,1.427B,28.93B,78.32B,,36.10M,,36.10M,,36.10M,,,,,,,47.19B,47.22B,2.233B,2.233B,7.437B,7.437B,,,566.50M,10.24B,57.46B,,3.40M,2.974B,17.87B,,,12.10M,20.86B,,AOR,Restated
2017-06,1.362B,84.30M,1.447B,416.40M,,416.40M,,47.44B,,198.90M,49.50B,,,,,,,1.031B,-631.80M,399.50M,7.569B,19.57B,27.14B,,1.509B,29.05B,78.54B,,25.50M,,25.50M,,25.50M,,,,,,,47.64B,47.67B,2.232B,2.232B,7.319B,7.319B,,,546.50M,10.10B,57.77B,,3.40M,2.890B,17.87B,,,13.30M,20.78B,,AOR,Restated
2017-03,1.288B,87.10M,1.375B,426.60M,,426.60M,,44.45B,,115.80M,46.37B,,,,,,,1.023B,-611.80M,411.60M,7.569B,19.59B,27.16B,,1.534B,29.11B,75.48B,,38.40M,,38.40M,,38.40M,,,,,,,44.77B,44.80B,2.232B,2.232B,7.308B,7.308B,,,577.00M,10.12B,54.92B,,3.40M,2.698B,17.84B,,,10.80M,20.55B,,AOR,Restated
2016-12,1.869B,83.30M,1.952B,364.40M,,364.40M,,37.57B,,141.70M,40.03B,0.00,7.80M,179.40M,654.90M,,180.30M,1.022B,-597.20M,425.20M,7.569B,19.62B,27.19B,,1.727B,29.34B,69.37B,,26.20M,,26.20M,,26.20M,,,,,,,38.92B,38.95B,2.231B,2.231B,7.291B,7.291B,,,560.90M,10.08B,49.03B,,3.40M,2.524B,17.83B,,,-14.10M,20.34B,,AOR,Restated
2016-09,1.420B,83.30M,1.504B,395.70M,,395.70M,,31.64B,,239.90M,33.78B,,,,,,,1.004B,-577.40M,426.70M,7.569B,19.64B,27.21B,,1.838B,29.48B,63.25B,,34.50M,,34.50M,,34.50M,,,,,,,31.85B,31.89B,2.231B,2.231B,7.318B,7.318B,,,551.60M,10.10B,41.99B,,3.40M,3.459B,17.78B,,,22.90M,21.26B,,AOR,Restated
2016-06,1.161B,79.80M,1.241B,427.00M,,427.00M,,36.17B,,190.70M,38.03B,,,,,,,1.093B,-655.30M,437.90M,7.569B,19.67B,27.23B,,1.926B,29.60B,67.63B,,35.60M,,35.60M,,35.60M,,,,,,,36.38B,36.42B,2.230B,2.230B,7.353B,7.353B,,,549.00M,10.13B,46.55B,,3.40M,3.189B,17.77B,,,113.30M,21.07B,,AOR,Restated
2016-03,1.146B,79.20M,1.225B,389.30M,,389.30M,,37.53B,,109.50M,39.25B,,,,,,,1.130B,-680.60M,449.80M,7.569B,19.69B,27.26B,,1.807B,29.51B,68.77B,,32.20M,,32.20M,,32.20M,,,,,,,37.82B,37.85B,2.230B,2.230B,7.331B,7.331B,,,518.10M,10.08B,47.93B,,3.40M,3.072B,17.74B,,,28.10M,20.84B,,AOR,Restated
2015-12,1.693B,72.50M,1.765B,357.80M,,357.80M,,35.58B,,196.60M,37.90B,0.00,17.70M,280.80M,733.30M,,248.50M,1.280B,-788.60M,491.70M,7.569B,19.71B,27.28B,,1.681B,29.45B,67.36B,,28.70M,,28.70M,,28.70M,,,,,,,36.80B,36.82B,2.229B,2.229B,7.358B,7.358B,,,395.50M,9.983B,46.81B,,3.40M,2.908B,17.72B,,,-80.80M,20.55B,,AOR,Restated
2015-09,1.434B,72.40M,1.507B,363.80M,,363.80M,,49.35B,,235.10M,51.46B,,,,,,,1.273B,-777.20M,496.10M,7.569B,19.74B,27.31B,,1.688B,29.49B,80.95B,,38.10M,,38.10M,,38.10M,,,,,,,49.56B,49.60B,2.241B,2.241B,7.342B,7.342B,,,391.30M,9.974B,59.57B,,3.40M,3.772B,17.70B,,,-94.60M,21.38B,,AOR,Restated
2015-06,1.151B,76.30M,1.227B,399.90M,,399.90M,,42.20B,,228.00M,44.06B,,,,,,,1.281B,-781.50M,499.20M,7.569B,19.76B,27.33B,,1.777B,29.61B,73.66B,,22.10M,,22.10M,,22.10M,,,,,,,42.41B,42.43B,2.241B,2.241B,7.340B,7.340B,,,390.90M,9.972B,52.40B,,3.40M,3.576B,17.67B,,,5.10M,21.26B,,AOR,Restated
2015-03,1.695B,78.80M,1.774B,383.40M,,383.40M,,45.21B,,122.80M,47.49B,,,,,,,1.268B,-764.30M,503.30M,7.569B,19.79B,27.36B,,1.782B,29.64B,77.13B,,34.00M,,34.00M,,34.00M,,,,,,,45.46B,45.50B,2.852B,2.852B,7.300B,7.300B,,,386.20M,10.54B,56.03B,,3.40M,3.479B,17.64B,,,-25.80M,21.10B,,AOR,Restated
2014-12,1.366B,74.70M,1.441B,341.20M,,341.20M,,40.60B,,159.50M,42.55B,0.00,17.70M,273.50M,739.60M,,219.10M,1.250B,-741.00M,508.90M,7.569B,19.81B,27.38B,,1.806B,29.70B,72.24B,,36.90M,,36.90M,,36.90M,,,,,,,41.49B,41.53B,2.108B,2.108B,7.303B,7.303B,,,376.20M,9.787B,51.32B,,3.40M,3.317B,17.60B,,,6.20M,20.92B,,AOR,Restated
2014-09,1.088B,72.80M,1.161B,344.80M,,344.80M,,32.42B,,238.60M,34.17B,,,,,,,1.244B,-745.10M,498.70M,7.569B,19.84B,27.41B,,1.899B,29.80B,63.97B,,35.00M,,35.00M,,35.00M,0.00,,0.00,0.00,,,32.59B,32.63B,2.108B,2.108B,7.308B,7.308B,0.00,,389.20M,9.805B,42.43B,,3.30M,3.842B,17.56B,,,130.50M,21.54B,,AOR,Restated
2014-06,1.037B,72.90M,1.110B,334.90M,,334.90M,,20.13B,,159.20M,21.73B,,,,,,,1.226B,-722.60M,503.40M,7.569B,19.87B,27.44B,,1.942B,29.88B,51.61B,,32.10M,,32.10M,,32.10M,0.00,,0.00,0.00,,,20.34B,20.38B,2.108B,2.108B,7.272B,7.272B,0.00,,389.80M,9.769B,30.15B,,3.30M,3.710B,17.55B,,,206.70M,21.47B,,AOR,Restated
2014-03,1.054B,72.20M,1.126B,344.60M,,344.60M,,21.70B,,143.70M,23.31B,,,,,,,1.203B,-694.40M,508.40M,7.569B,19.89B,27.46B,,1.889B,29.86B,53.17B,,43.10M,,43.10M,,43.10M,0.00,,0.00,0.00,,,21.99B,22.03B,2.107B,2.107B,7.276B,7.276B,5.50M,,443.80M,9.827B,31.86B,,3.30M,3.604B,17.52B,,,176.30M,21.30B,,AOR,Restated
2013-12,2.470B,68.40M,2.538B,302.70M,,302.70M,,21.40B,,169.70M,24.41B,0.00,20.10M,280.00M,673.10M,,218.60M,1.192B,-678.40M,513.40M,7.569B,19.92B,27.49B,,1.873B,29.87B,54.28B,,36.20M,,36.20M,,36.20M,749.90M,,749.90M,749.90M,,,22.52B,23.31B,2.107B,2.107B,7.250B,7.250B,5.70M,,449.40M,9.806B,33.12B,,3.30M,3.495B,17.50B,,,152.00M,21.15B,,AOR,Restated
2013-09,2.065B,65.00M,2.13B,311.90M,,311.90M,,16.23B,,373.40M,19.05B,,,,,,,1.403B,-688.50M,714.20M,7.569B,19.95B,27.52B,,1.697B,29.93B,48.98B,,41.00M,,41.00M,,41.00M,749.70M,,749.70M,749.70M,,,16.42B,17.21B,2.107B,2.107B,7.306B,7.306B,5.60M,0.00,375.30M,9.789B,27.00B,,3.30M,4.326B,17.47B,,,177.20M,21.97B,,AOR,Restated
2013-06,1.968B,61.30M,2.029B,359.10M,,359.10M,,14.32B,,220.40M,16.92B,,,,,,,1.374B,-661.20M,713.20M,7.569B,19.98B,27.55B,,1.699B,29.96B,46.88B,,37.00M,,37.00M,,37.00M,1.499B,,1.499B,1.499B,,,14.66B,16.19B,1.358B,1.358B,7.248B,7.248B,6.00M,0.00,228.80M,8.835B,25.03B,,3.30M,4.239B,17.45B,,,153.20M,21.85B,,AOR,Restated
2013-03,1.843B,60.70M,1.904B,309.20M,,309.20M,,9.952B,,132.50M,12.30B,,,,,,,1.361B,-651.30M,709.90M,7.569B,20.00B,27.57B,,1.842B,30.12B,42.42B,,31.30M,,31.30M,,31.30M,1.499B,,1.499B,1.499B,,,10.26B,11.79B,1.358B,1.358B,7.412B,7.412B,6.00M,82.20M,227.00M,9.079B,20.87B,,3.30M,4.079B,17.24B,,,230.00M,21.55B,,AOR,Restated
2012-12,1.605B,56.60M,1.661B,267.50M,,267.50M,,6.625B,,164.30M,8.718B,0.00,20.10M,512.60M,612.30M,,219.40M,1.364B,-640.40M,724.00M,7.567B,20.03B,27.60B,,1.825B,30.15B,38.86B,,41.70M,,41.70M,,41.70M,749.70M,,749.70M,749.70M,,,6.826B,7.617B,2.107B,2.107B,7.413B,7.413B,5.80M,80.80M,220.50M,9.821B,17.44B,,3.30M,3.993B,17.21B,,,209.30M,21.42B,,AOR,Restated
2012-09,2.017B,62.00M,2.079B,296.90M,,296.90M,,,,7.641B,10.02B,,,,,,,1.317B,-611.50M,705.40M,7.538B,19.92B,27.46B,,1.678B,29.84B,39.86B,,44.50M,,44.50M,,44.50M,,,749.60M,749.60M,,,7.595B,8.390B,2.106B,2.106B,7.320B,7.320B,79.40M,,254.10M,9.680B,18.07B,,3.30M,4.409B,17.18B,,,119.70M,21.71B,,AOR,Restated
2012-06,1.293B,42.70M,1.336B,336.90M,,336.90M,,,,6.568B,8.241B,,,,,,,1.285B,-581.20M,703.70M,7.521B,19.93B,27.45B,,1.552B,29.70B,37.95B,,38.70M,,38.70M,,38.70M,,,,,,,6.621B,6.660B,2.108B,2.108B,7.262B,7.262B,78.40M,,218.10M,9.588B,16.25B,,3.30M,4.340B,17.16B,,,114.30M,21.62B,,AOR,Restated
2012-03,1.062B,7.783B,8.845B,360.00M,,360.00M,,,,149.70M,9.355B,,,,,,,1.415B,-598.60M,816.50M,7.985B,20.32B,28.31B,,812.50M,29.93B,39.29B,,29.00M,,29.00M,,29.00M,,,,,,,8.081B,8.110B,2.107B,2.107B,7.256B,7.256B,70.00M,,196.40M,9.560B,17.67B,,0.70M,4.244B,17.14B,,,164.80M,21.55B,,AOR,Restated
2011-12,1.042B,47.60M,1.090B,289.40M,,289.40M,,9.374B,,192.60M,10.95B,0.00,65.60M,531.70M,586.30M,,214.60M,1.398B,-576.30M,821.90M,7.984B,20.35B,28.34B,,653.70M,29.81B,40.76B,,31.10M,,31.10M,,31.10M,0.00,,0.00,0.00,,,9.584B,9.615B,2.107B,2.107B,7.227B,7.227B,0.00,70.30M,187.60M,9.592B,19.21B,,3.30M,4.325B,17.11B,,,111.60M,21.55B,,AOR,Restated
2011-09,829.30M,7.724B,8.553B,369.50M,,369.50M,,,,168.40M,9.091B,,,,,,,1.379B,-565.40M,813.80M,7.984B,20.39B,28.37B,,611.80M,29.80B,38.89B,,40.70M,,40.70M,,40.70M,,,,,,,7.882B,7.922B,2.106B,2.106B,7.735B,7.735B,69.50M,,190.00M,10.03B,17.95B,,0.70M,3.672B,17.10B,,,91.90M,20.86B,,AOR,Restated
2011-06,693.60M,4.297B,4.990B,385.80M,,385.80M,,,,178.90M,5.555B,,,,,,,1.369B,-556.50M,812.80M,7.985B,20.42B,28.40B,,816.30M,30.03B,35.59B,,39.70M,,39.70M,,39.70M,,,,,,,4.483B,4.523B,2.106B,2.106B,7.786B,7.786B,70.60M,,201.10M,10.09B,14.62B,,0.70M,3.449B,17.24B,,,208.30M,20.90B,,AOR,Restated
2011-03,664.70M,3.378B,4.043B,394.00M,,394.00M,,,,150.40M,4.588B,,,,,,,1.332B,-535.20M,797.00M,7.985B,20.46B,28.45B,,878.30M,30.12B,34.71B,,58.40M,,58.40M,,58.40M,,,,,,,3.686B,3.744B,2.105B,2.105B,7.811B,7.811B,68.60M,,192.40M,10.11B,13.85B,,0.70M,3.249B,17.29B,,,244.90M,20.79B,,AOR,Restated
2010-12,855.20M,4.089B,4.944B,297.50M,,297.50M,,0.00,,146.10M,5.388B,0.00,65.20M,454.90M,577.70M,,201.90M,1.300B,-512.90M,786.80M,7.984B,20.49B,28.48B,,394.40M,29.66B,35.05B,,51.80M,,51.80M,,51.80M,,,420.50M,420.50M,,,4.309B,4.781B,2.105B,2.105B,7.840B,7.840B,68.10M,,191.50M,10.14B,14.92B,,0.70M,2.886B,17.28B,,,-104.10M,20.06B,,AOR,Restated
2010-09,568.20M,3.041B,3.609B,333.40M,,333.40M,,,,106.90M,4.049B,,,,,,,1.313B,-572.00M,740.60M,7.961B,20.51B,28.47B,,427.20M,29.64B,33.69B,,43.80M,,43.80M,,43.80M,,,420.50M,420.50M,,,3.202B,3.666B,2.104B,2.104B,7.770B,7.770B,67.80M,,177.40M,10.05B,13.72B,,0.70M,2.767B,17.26B,,,-124.80M,19.90B,,AOR,Restated
2010-06,363.60M,3.804B,4.167B,330.80M,,330.80M,,,,103.80M,4.602B,,,,,,,1.276B,-546.00M,729.50M,7.963B,20.54B,28.50B,,424.60M,29.66B,34.26B,,37.60M,,37.60M,,37.60M,,,300.00M,300.00M,,,3.997B,4.334B,2.524B,2.524B,7.776B,7.776B,0.00,,240.80M,10.54B,14.88B,,0.70M,2.599B,16.92B,,,-136.80M,19.38B,,AOR,Restated
2010-03,444.20M,4.556B,5.001B,316.90M,,316.90M,,,,165.50M,5.483B,,,,,,,1.308B,-573.40M,734.70M,7.979B,20.57B,28.55B,,433.10M,29.72B,35.20B,,36.30M,,36.30M,,36.30M,,,299.90M,299.90M,,,4.828B,5.164B,2.824B,2.824B,7.787B,7.787B,0.00,,237.60M,10.85B,16.01B,,0.70M,2.404B,16.92B,,,-133.80M,19.19B,,AOR,Restated
2009-12,260.60M,6.024B,6.285B,248.30M,,248.30M,,,,165.60M,6.699B,0.00,59.10M,438.80M,365.30M,222.60M,198.80M,1.285B,-546.10M,738.50M,7.549B,20.23B,27.78B,,435.80M,28.95B,35.65B,,46.70M,,46.70M,,46.70M,,,299.80M,299.80M,,,6.177B,6.524B,2.015B,2.015B,7.646B,7.646B,0.00,,165.80M,9.826B,16.35B,,0.70M,2.240B,17.19B,,,-126.20M,19.30B,,AOR,Restated
2009-09,204.10M,6.918B,7.123B,264.00M,,264.00M,,,,119.60M,7.506B,,,,,,,1.253B,-525.80M,726.90M,7.549B,20.26B,27.81B,,478.10M,29.01B,36.52B,,36.10M,,36.10M,,36.10M,,,299.70M,299.70M,,,6.983B,7.318B,2.239B,2.239B,7.670B,7.670B,,,161.70M,10.07B,17.39B,,0.70M,2.114B,17.14B,,,-128.70M,19.13B,,AOR,Restated
2009-06,448.70M,105.40M,554.10M,282.40M,,282.40M,,,,8.676B,9.512B,,,,,,,1.231B,-506.00M,725.30M,7.523B,20.29B,27.81B,,479.50M,29.02B,38.53B,,38.50M,,38.50M,,38.50M,,,250.00M,250.00M,,,8.718B,9.007B,2.739B,2.739B,7.662B,7.662B,,,142.30M,10.54B,19.55B,,0.70M,1.988B,17.14B,,,-143.90M,18.98B,,AOR,Restated
2009-03,339.20M,248.50M,587.70M,279.50M,,279.50M,,,,10.03B,10.90B,,,,,,,1.208B,-496.50M,711.40M,7.517B,20.32B,27.83B,,468.90M,29.01B,39.92B,,46.50M,157.10M,203.60M,,203.60M,,,249.90M,249.90M,,,10.02B,10.47B,2.848B,2.848B,7.660B,7.660B,,,133.10M,10.64B,21.12B,,0.70M,1.842B,17.11B,,,-157.00M,18.80B,,AOR,Restated
2008-12,297.90M,310.10M,608.00M,234.00M,426.90M,660.90M,,,,17.84B,19.11B,0.00,58.60M,378.10M,355.20M,211.60M,183.20M,1.187B,-479.50M,707.20M,7.519B,20.35B,27.87B,,469.40M,29.05B,48.16B,,71.00M,456.80M,527.80M,,527.80M,,,249.90M,249.90M,,,17.87B,18.64B,2.966B,2.966B,7.728B,7.728B,,,132.70M,10.83B,29.47B,,0.70M,1.720B,17.13B,,,-160.30M,18.69B,,,Restated
2008-09,582.42M,127.32M,709.74M,339.94M,,339.94M,,,,8.509B,9.558B,,,,,,,1.157B,-495.86M,660.80M,7.765B,20.40B,28.17B,,868.54M,29.70B,39.26B,,53.13M,,53.13M,,53.13M,,,503.70M,503.70M,,,9.052B,9.609B,2.413B,2.413B,8.090B,8.090B,,,114.50M,10.62B,20.23B,,0.671M,1.734B,17.31B,,,-20.49M,19.03B,,,Restated
2008-06,1.068B,138.48M,1.206B,237.35M,,237.35M,,,,1.057B,2.501B,,,,,,,820.40M,-430.57M,389.83M,5.108B,9.791B,14.90B,,772.41M,16.06B,18.56B,,63.20M,,63.20M,,63.20M,,,164.94M,164.94M,,,1.119B,1.347B,,,3.810B,3.810B,,,77.57M,3.887B,5.234B,,0.545M,1.979B,11.35B,,,-2.349M,13.33B,,,
2008-03,1.066B,155.37M,1.222B,251.98M,,251.98M,,,,1.708B,3.182B,,,,,,,846.65M,-467.38M,379.27M,5.090B,9.812B,14.90B,,774.33M,16.06B,19.24B,,51.80M,,51.80M,,51.80M,,,164.95M,164.95M,,,1.968B,2.185B,,,3.806B,3.806B,,,70.25M,3.876B,6.061B,,0.545M,1.840B,11.34B,,,-2.468M,13.18B,,,
2007-12,845.31M,203.31M,1.049B,187.49M,7.24M,194.73M,24.25M,,18.40M,3.701B,4.987B,0.00,58.54M,289.20M,283.00M,181.83M,,812.57M,-435.12M,377.45M,5.049B,9.784B,14.83B,,108.69M,15.32B,20.31B,,58.96M,,58.96M,148.80M,207.77M,,,164.44M,164.44M,2.872M,2.872M,3.701B,4.076B,,,3.848B,3.848B,,,76.26M,3.924B,8.001B,,0.533M,1.619B,10.69B,0.817M,-3.919M,-3.102M,12.31B,,,
2007-09,677.03M,220.52M,897.55M,198.85M,,198.85M,,,,3.306B,4.402B,,,,,,,753.26M,-405.35M,347.91M,5.044B,9.746B,14.79B,,106.05M,15.24B,19.65B,,52.82M,,52.82M,,52.82M,,,164.68M,164.68M,,,3.430B,3.647B,,,3.797B,3.797B,,,90.93M,3.888B,7.535B,,0.532M,1.464B,10.65B,,,-2.203M,12.11B,,,
2007-06,1.175B,203.16M,1.378B,158.30M,,158.30M,,,,3.454B,4.990B,,,,,,,555.50M,-376.05M,179.45M,,,,,134.36M,313.81M,5.304B,,25.82M,,25.82M,,25.82M,,,3.410B,3.410B,,,76.48M,3.513B,,,,,,,,50.22M,3.563B,,0.349M,1.308B,435.25M,,,-3.216M,1.741B,,,
2007-03,1.140B,219.28M,1.359B,162.08M,,162.08M,,,,3.081B,4.602B,,,,,,,526.85M,-361.34M,165.51M,,,,,118.95M,284.45M,4.887B,,30.96M,,30.96M,,30.96M,,,926.58M,926.58M,,,2.264B,3.222B,,,,,,,,39.04M,3.261B,,0.349M,1.213B,416.71M,,,-3.793M,1.626B,,,
2006-12,969.50M,2.902B,3.872B,121.13M,5.163M,126.29M,17.11M,,7.196M,8.10M,4.030B,0.00,,154.55M,222.11M,138.63M,,515.29M,-346.53M,168.76M,11.50M,12.78M,24.27M,30.94M,52.28M,276.25M,4.307B,,25.55M,,25.55M,70.28M,95.83M,,,521.18M,521.18M,4.068M,4.068M,2.134B,2.755B,,,,,,,,32.06M,2.787B,,0.348M,1.116B,405.51M,,,-2.979M,1.519B,,,
2006-09,868.62M,2.216B,3.085B,126.00M,,126.00M,,,,37.81M,3.248B,,,,,,,493.18M,-335.11M,158.07M,,,,,89.21M,247.28M,3.496B,,25.82M,,25.82M,,25.82M,,,,,,,2.021B,2.047B,,,,,,,,27.85M,2.075B,,0.348M,1.036B,387.26M,,,-2.087M,1.421B,,,
