,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,598.80M,,,,10.90M,10.90M,28.10M,23.70M,51.80M,51.80M,-11.70M,,,17.70M,0.80M,-85.00M,258.40M,-12.90M,0.30M,-4.10M,156.70M,825.00M,,-18.20M,,-18.20M,,0.80M,,-17.40M,,0.00,,0.00,,,,-1.425B,-1.425B,,-10.50M,-1.435B,,1.906B,-627.70M,1.278B,,,0.00,0.00,,8.80M,42.40M,,AOR,Restated
2017-12,2.939B,2.00M,,,6.40M,6.10M,27.90M,23.70M,51.60M,51.60M,-2.575B,,,15.20M,1.60M,29.80M,84.80M,-18.50M,14.40M,-88.50M,22.00M,460.40M,,-28.90M,,-28.90M,267.60M,-259.60M,,-20.90M,,,,,,,,-223.90M,-223.90M,-30.40M,37.50M,-216.80M,,1.683B,222.70M,1.906B,,,,,,120.10M,0.00,,AOR,Restated
2017-09,308.60M,-2.00M,,,-20.80M,-22.80M,26.90M,23.80M,50.70M,50.70M,117.90M,,0.00,15.10M,-0.60M,26.80M,23.10M,-5.00M,2.20M,-8.70M,38.40M,507.30M,,-15.40M,,-15.40M,-3.00M,14.40M,,-4.00M,,0.00,,0.00,,,,-223.50M,-223.50M,7.50M,-18.40M,-234.40M,,1.414B,268.90M,1.683B,,,0.00,,,166.50M,42.40M,,AOR,Restated
2017-06,415.80M,,,,-8.10M,-8.10M,28.80M,24.00M,52.80M,52.80M,9.60M,,,12.80M,-0.50M,10.90M,-279.60M,6.70M,42.30M,1.30M,-218.40M,264.00M,,-17.60M,,-17.60M,-2.00M,0.20M,,-19.40M,,,,,,,,-223.50M,-223.50M,12.40M,0.70M,-210.40M,,1.380B,34.20M,1.414B,,,,,,466.10M,0.00,,AOR,Restated
2017-03,399.80M,,,,-4.30M,-90.80M,29.40M,24.00M,53.40M,53.40M,90.00M,,,14.90M,0.10M,-61.50M,180.30M,-9.30M,-67.80M,10.30M,52.00M,519.40M,,-20.00M,,-20.00M,-0.30M,244.50M,,224.20M,,,,,,,,-1.323B,-1.323B,10.50M,-11.60M,-1.324B,,1.960B,-580.10M,1.380B,,,,,,10.10M,42.40M,,AOR,Restated
2016-12,373.40M,0.00,0.00,,27.00M,-15.00M,33.70M,24.10M,57.80M,57.80M,-3.70M,,,23.90M,1.00M,10.60M,30.90M,13.70M,28.10M,-21.10M,62.20M,499.60M,,-28.90M,,-28.90M,-4.20M,150.60M,,117.50M,,0.00,,0.00,,,,-202.90M,-202.90M,22.30M,0.80M,-179.80M,,1.420B,437.30M,1.960B,,,0.00,,,161.20M,0.00,,AOR,Restated
2016-09,472.80M,0.00,0.00,,-26.00M,-32.40M,31.20M,24.00M,55.20M,55.20M,-101.30M,,,12.30M,-5.90M,52.40M,33.00M,-18.50M,-9.70M,20.80M,78.00M,478.70M,,-23.30M,,-23.30M,7.70M,-0.90M,,-16.50M,,0.00,,0.00,,,,-202.60M,-202.60M,9.50M,-9.70M,-202.80M,,1.161B,259.40M,1.420B,,,0.00,,,135.20M,42.40M,,AOR,Restated
2016-06,320.10M,,0.00,,-7.50M,-7.50M,30.40M,24.00M,54.40M,54.40M,22.40M,,,14.00M,-10.80M,-37.80M,-188.00M,6.10M,47.00M,-12.20M,-184.90M,223.70M,,-19.40M,,-19.40M,-0.80M,0.20M,,-20.00M,,0.00,,0.00,,,,-202.40M,-202.40M,13.60M,0.20M,-188.60M,,1.146B,15.10M,1.161B,,,0.00,,,382.20M,0.00,,AOR,Restated
2016-03,367.80M,,27.10M,,4.20M,31.30M,33.90M,24.00M,57.90M,57.90M,-0.40M,,,16.00M,16.00M,-33.30M,182.00M,-0.10M,-77.80M,-13.40M,57.40M,530.00M,,-20.20M,,-20.20M,-3.00M,-4.10M,,-27.30M,,130.00M,,130.00M,,,,-1.179B,-1.179B,6.40M,-6.40M,-1.049B,,1.693B,-546.60M,1.146B,,,130.00M,,,28.10M,42.40M,,AOR,Restated
2015-12,291.70M,,0.00,,10.10M,22.00M,31.70M,24.60M,56.30M,56.30M,13.50M,,,15.60M,1.30M,5.00M,-21.50M,-25.10M,27.40M,5.10M,-9.10M,391.30M,,-23.90M,,-23.90M,-9.70M,72.80M,,39.20M,,0.00,,0.00,,,,-168.50M,-168.50M,12.20M,-15.90M,-172.20M,,1.434B,258.30M,1.693B,,,0.00,0.00,,168.10M,0.00,,AOR,Restated
2015-09,359.90M,,0.00,,-9.90M,-7.40M,32.40M,24.90M,57.30M,57.30M,8.50M,,,11.50M,0.60M,36.10M,1.50M,4.30M,-5.10M,-3.70M,33.10M,463.50M,,-29.60M,,-29.60M,-2.00M,11.40M,,-20.20M,,0.00,,0.00,,,,-168.20M,-168.20M,9.70M,-1.50M,-160.00M,,1.151B,283.30M,1.434B,,,0.00,0.00,,155.20M,42.80M,,AOR,Restated
2015-06,265.00M,,0.00,,-8.60M,-14.50M,33.30M,25.00M,58.30M,58.30M,40.80M,,,19.00M,62.90M,-16.60M,-216.40M,3.20M,59.20M,-2.10M,-172.70M,258.80M,,-29.30M,,-29.30M,-5.00M,57.60M,,23.30M,,-673.00M,,-673.00M,,,,-167.90M,-167.90M,13.50M,1.50M,-825.90M,,1.695B,-543.80M,1.151B,,,0.00,-673.00M,,349.40M,1.70M,,AOR,Restated
2015-03,330.40M,,0.00,,3.30M,3.30M,31.80M,24.90M,56.70M,56.70M,0.50M,,,14.70M,2.60M,-41.80M,146.10M,4.90M,-85.40M,-13.10M,10.70M,418.90M,,-31.40M,,-31.40M,0.00,7.00M,,-24.40M,,743.70M,,743.70M,,,,-838.80M,-838.80M,28.60M,0.70M,-65.80M,,1.366B,328.70M,1.695B,,,743.70M,,,43.90M,44.60M,,AOR,Restated
2014-12,306.50M,,,,30.60M,30.60M,31.50M,24.90M,56.40M,56.40M,15.80M,,,13.90M,0.80M,3.40M,37.70M,13.10M,16.50M,7.80M,78.50M,502.50M,,-36.50M,0.00,-36.50M,-55.00M,0.00,,-91.50M,,0.00,,0.00,,,,-157.60M,-157.60M,26.70M,-1.90M,-132.80M,,1.088B,278.20M,1.366B,,,0.00,0.00,,117.60M,0.00,,AOR,Restated
2014-09,290.00M,,,,-20.00M,-20.00M,32.70M,25.30M,58.00M,58.00M,45.60M,,,14.50M,4.90M,-10.00M,-111.00M,-5.40M,-7.40M,-25.00M,-158.80M,234.20M,,-26.80M,0.00,-26.80M,-10.50M,0.00,,-37.30M,,0.00,,0.00,,,,-157.10M,-157.10M,15.10M,-4.30M,-146.30M,,1.037B,50.60M,1.088B,,,0.00,0.00,,201.90M,44.60M,,AOR,Restated
2014-06,263.80M,,,,-8.20M,-8.20M,34.30M,25.20M,59.50M,59.50M,-8.30M,,,13.20M,-0.60M,10.00M,-171.10M,-9.90M,40.20M,-16.90M,-147.70M,171.70M,,-40.90M,0.00,-40.90M,0.00,0.00,,-40.90M,,0.00,,0.00,,,,-157.10M,-157.10M,7.00M,2.90M,-147.20M,,1.054B,-16.40M,1.037B,,,0.00,0.00,,306.20M,0.00,,AOR,Restated
2014-03,266.60M,,,,-11.00M,-11.00M,34.10M,25.20M,59.30M,59.30M,25.80M,,,13.20M,1.20M,-41.90M,139.50M,5.90M,-95.40M,19.80M,27.90M,383.00M,,-36.50M,7.90M,-28.60M,,-0.80M,,-29.40M,,-750.00M,,-750.00M,,,,-1.025B,-1.025B,4.50M,0.90M,-1.770B,,2.470B,-1.416B,1.054B,,,0.00,-750.00M,,15.80M,66.80M,,AOR,Restated
2013-12,193.10M,,,,6.30M,33.40M,34.30M,25.60M,59.90M,59.90M,-51.10M,,,14.00M,-1.10M,9.50M,71.80M,-9.50M,51.20M,10.70M,133.70M,381.90M,,-30.90M,192.40M,161.50M,-4.00M,0.00,,157.50M,,0.00,,0.00,,,,-149.50M,-149.50M,20.10M,-5.30M,-134.70M,,2.065B,404.70M,2.470B,,,0.00,0.00,,77.60M,0.00,,AOR,Restated
2013-09,236.30M,,,,-5.00M,-5.00M,35.00M,25.60M,60.60M,60.60M,55.90M,,,14.40M,2.60M,47.10M,-117.60M,-21.70M,-116.90M,-25.90M,-235.00M,129.80M,,-38.90M,0.00,-38.90M,0.00,128.50M,,89.60M,,-1.30M,,-1.30M,,,,-149.80M,-149.80M,25.50M,3.20M,-122.40M,,1.968B,97.00M,2.065B,,,748.70M,-750.00M,,222.50M,66.50M,,AOR,Restated
2013-06,311.30M,,,,-3.70M,-3.70M,33.20M,25.90M,59.10M,59.10M,-3.50M,,,13.60M,2.10M,-50.00M,-107.60M,4.60M,144.10M,2.80M,-6.10M,372.80M,,-35.60M,0.00,-35.60M,,0.00,,-35.60M,,0.00,,0.00,,,,-150.40M,-150.40M,15.30M,-77.50M,-212.60M,,1.843B,124.60M,1.968B,,,,0.00,,305.70M,0.00,,AOR,Restated
2013-03,237.40M,,,,0.40M,0.40M,32.60M,25.90M,58.50M,58.50M,-7.30M,,,12.40M,2.50M,-42.10M,138.60M,24.00M,-35.90M,7.50M,92.10M,396.00M,,-20.20M,0.00,-20.20M,,-0.80M,,-21.00M,,0.00,,0.00,,,,-149.40M,-149.40M,12.80M,0.30M,-136.30M,,1.605B,238.70M,1.843B,,,,0.00,,6.40M,66.90M,,AOR,Restated
2012-12,168.10M,1.00M,,,-1.00M,0.00,33.90M,25.90M,59.80M,59.80M,14.60M,,,12.60M,1.20M,32.10M,45.80M,17.90M,36.10M,-65.70M,66.20M,322.50M,,-37.90M,-2.90M,-40.80M,-123.60M,5.10M,,-159.30M,,0.00,,0.00,,,,-580.00M,-580.00M,2.90M,1.70M,-575.40M,,2.017B,-412.20M,1.605B,,,0.00,0.00,,107.30M,0.00,,AOR,Restated
2012-09,218.90M,5.30M,,,-16.50M,-11.20M,34.50M,26.20M,60.70M,60.70M,22.60M,,,13.80M,2.30M,41.20M,-17.70M,-40.40M,-41.30M,-9.50M,-67.70M,239.40M,,-40.30M,0.00,-40.30M,-39.30M,-41.80M,,-121.40M,,747.70M,,747.70M,,,,-150.10M,-150.10M,7.70M,0.40M,605.70M,,1.293B,723.70M,2.017B,,,747.70M,0.00,,188.00M,55.30M,,AOR,Restated
2012-06,253.40M,-65.20M,,,0.90M,-64.30M,33.60M,31.30M,64.90M,64.90M,64.20M,,,20.70M,1.70M,-3.30M,-117.80M,2.60M,44.80M,-4.70M,-78.40M,262.20M,,-36.90M,151.50M,114.60M,-2.60M,0.20M,,112.20M,,,,,,,,-147.70M,-147.70M,3.60M,1.20M,-142.90M,,1.062B,231.50M,1.293B,,,,,,325.30M,0.00,,AOR,Restated
2012-03,266.30M,,,,0.80M,0.80M,34.90M,32.80M,67.70M,67.70M,-19.20M,,,14.30M,-0.30M,-70.30M,172.80M,1.70M,-45.20M,7.00M,66.00M,395.60M,,-26.70M,,-26.70M,-22.80M,9.10M,,-40.40M,,,,,,,,-346.50M,-346.50M,7.90M,2.80M,-335.80M,,1.042B,19.40M,1.062B,,,,,,3.80M,55.30M,,AOR,Restated
2011-12,746.70M,0.00,,,1.20M,1.20M,33.40M,32.80M,66.20M,66.20M,-527.90M,-3.90M,,13.80M,4.10M,59.30M,-11.60M,-54.30M,,37.80M,24.60M,346.50M,,-42.80M,0.00,-42.80M,0.00,0.20M,0.00,-42.60M,,0.00,,0.00,,0.00,0.00,,-92.20M,-0.10M,1.40M,-90.90M,,829.30M,213.00M,1.042B,,,0.00,0.00,0.00,204.00M,0.00,,AOR,Restated
2011-09,315.00M,0.00,,,0.90M,0.90M,32.40M,33.00M,65.40M,65.40M,20.90M,0.90M,,12.80M,0.90M,15.50M,-8.10M,13.40M,,-13.90M,6.90M,423.70M,,-41.00M,0.00,-41.00M,0.00,0.20M,0.00,-40.80M,,0.00,,0.00,,-155.10M,-155.10M,,-93.10M,0.90M,0.10M,-247.20M,,693.60M,135.70M,829.30M,,,0.00,0.00,-155.10M,201.00M,55.30M,,AOR,Restated
2011-06,295.60M,0.00,,,1.10M,-8.70M,31.70M,33.00M,64.70M,64.70M,0.40M,1.10M,,12.70M,-0.20M,8.40M,-182.80M,-27.50M,,50.30M,-151.60M,214.00M,,-47.00M,0.00,-47.00M,0.00,0.30M,18.10M,-28.60M,,0.00,,0.00,,-65.30M,-65.30M,,-93.90M,1.80M,0.90M,-156.50M,,664.70M,28.90M,693.60M,,,,0.00,-65.30M,404.10M,0.00,,AOR,Restated
2011-03,457.10M,,,,1.10M,1.10M,31.00M,33.20M,64.20M,64.20M,-152.10M,1.90M,,12.00M,-0.10M,-96.40M,163.50M,-1.00M,,-88.10M,-22.00M,362.10M,,-41.40M,,-41.40M,0.00,0.40M,-0.60M,-41.60M,,-420.50M,,-420.50M,,,,,-93.60M,3.20M,-0.10M,-511.00M,,855.20M,-190.50M,664.70M,,,,-420.50M,,7.00M,56.60M,,AOR,Restated
2010-12,196.40M,,,,-0.50M,8.10M,31.80M,32.60M,64.40M,64.40M,53.60M,-3.80M,2.20M,13.00M,5.80M,35.20M,25.60M,-49.70M,57.90M,-12.10M,56.90M,396.60M,,-62.30M,,-62.30M,-19.60M,84.10M,-45.10M,-42.90M,,0.00,0.00,0.00,,-0.10M,607.00M,,530.50M,2.50M,-1.207B,-66.70M,,568.20M,287.00M,855.20M,,,99.90M,-99.90M,-0.10M,193.30M,1.60M,,AOR,Restated
2010-09,244.30M,,,,3.90M,3.90M,33.10M,32.40M,65.50M,65.50M,-13.50M,1.40M,0.00,9.00M,2.60M,1.10M,-14.10M,16.90M,14.50M,-17.70M,0.70M,313.90M,,-43.90M,,-43.90M,-22.80M,0.30M,5.40M,-61.00M,,-300.00M,0.00,-300.00M,,-279.00M,-279.00M,,-76.80M,2.10M,605.40M,-48.30M,,363.60M,204.60M,568.20M,,,-99.90M,-200.10M,-279.00M,220.70M,57.20M,,AOR,Restated
2010-06,271.20M,,,,1.50M,1.50M,32.80M,32.30M,65.10M,65.10M,-10.60M,1.30M,20.50M,9.60M,-0.70M,-16.70M,-129.50M,22.30M,-0.60M,60.00M,-64.50M,293.40M,,-27.50M,,-27.50M,-0.70M,0.60M,39.70M,12.10M,,-0.40M,-299.90M,-300.30M,,-14.40M,-14.40M,,-75.60M,3.50M,0.70M,-386.10M,,444.20M,-80.60M,363.60M,,,-0.40M,-299.90M,-14.40M,324.10M,2.10M,,AOR,Restated
2010-03,240.20M,,,,1.50M,1.50M,32.20M,30.80M,63.00M,63.00M,-7.20M,1.10M,,9.30M,-1.00M,-48.30M,136.50M,-19.40M,7.80M,-27.80M,48.80M,355.70M,,-26.30M,,-26.30M,6.10M,0.40M,,-19.80M,,608.40M,200.00M,808.40M,,-281.80M,-281.80M,,-683.40M,4.50M,,-152.30M,,260.60M,183.60M,444.20M,,,608.40M,200.00M,-281.80M,27.80M,44.00M,,AOR,Restated
2009-12,202.60M,,,,2.30M,2.30M,32.90M,30.60M,63.50M,63.50M,-28.00M,1.10M,0.00,9.80M,19.80M,15.80M,22.70M,1.70M,1.10M,32.90M,74.20M,345.30M,,-45.00M,,-45.00M,0.00,50.40M,,5.40M,,0.00,-224.80M,-224.80M,,0.00,0.00,,-76.60M,4.90M,2.30M,-294.20M,,204.10M,56.50M,260.60M,,,0.00,-224.80M,0.00,160.10M,2.60M,,AOR,Restated
2009-09,202.30M,,,,1.60M,1.60M,32.30M,30.70M,63.00M,63.00M,-15.90M,1.20M,,6.70M,23.30M,18.10M,-2.10M,-6.40M,73.80M,-66.20M,17.20M,299.40M,,-33.90M,,-33.90M,2.90M,12.50M,,-18.50M,,-250.30M,-199.90M,-450.20M,,0.00,0.00,,-76.40M,2.70M,-1.60M,-525.50M,,448.70M,-244.60M,204.10M,,,-0.30M,-449.90M,0.00,140.00M,47.20M,,AOR,Restated
2009-06,221.80M,,,,1.70M,1.70M,30.10M,30.50M,60.60M,60.60M,-3.50M,1.60M,0.00,8.30M,0.60M,-3.20M,-96.70M,-25.50M,5.90M,12.10M,-107.40M,183.70M,,-43.70M,,-43.70M,-0.90M,301.50M,,256.90M,,-0.90M,-110.10M,-111.00M,,0.00,0.00,,-76.30M,12.50M,-156.30M,-331.10M,,339.20M,109.50M,448.70M,,,-0.90M,-110.10M,0.00,329.60M,41.00M,,AOR,Restated
2009-03,199.10M,,,,1.20M,1.20M,31.00M,33.30M,64.30M,64.30M,-9.50M,8.80M,,8.60M,-2.00M,-45.10M,65.60M,15.90M,-50.10M,-2.10M,-15.80M,254.70M,,-35.30M,,-35.30M,-2.00M,338.30M,,301.00M,,744.70M,-858.80M,-114.10M,,-27.00M,-27.00M,,-76.30M,2.80M,-299.80M,-514.40M,,297.90M,41.30M,339.20M,,,744.70M,-858.80M,-27.00M,,,,AOR,Restated
2008-12,62.10M,,,0.30M,3.60M,3.40M,34.60M,35.50M,70.10M,70.10M,-82.90M,3.80M,263.00M,11.30M,13.50M,107.20M,-27.80M,-102.30M,20.90M,-7.70M,-9.70M,334.50M,,-80.70M,,-80.70M,-2.796B,-197.40M,2.770B,-303.70M,,-2.00M,295.30M,293.30M,,-209.80M,-209.80M,,-412.50M,9.10M,4.60M,-315.30M,,582.40M,-284.50M,297.90M,,,-1.037B,1.330B,-209.80M,205.80M,14.20M,,,Restated
2008-09,168.67M,,,7.80M,27.90M,16.49M,33.92M,27.96M,61.88M,61.88M,15.10M,3.90M,35.80M,26.30M,-20.59M,15.90M,25.04M,58.49M,-71.52M,22.51M,50.42M,357.97M,,-42.11M,,-42.11M,-56.75M,139.27M,-3.317B,-3.277B,,1.601B,1.035B,2.635B,-5.188M,-14.20M,-19.39M,,-77.31M,11.40M,-115.92M,2.433B,,1.068B,-485.23M,582.40M,,-5.188M,3.919B,-1.283B,-14.20M,459.60M,6.90M,,,Restated
2008-06,201.18M,,,,,14.33M,34.47M,18.62M,53.09M,53.09M,-11.08M,,,,15.36M,13.14M,11.36M,0.047M,-172.63M,3.017M,-145.06M,127.83M,,-43.87M,,-43.87M,-38.53M,16.58M,-2.229M,-68.04M,,,,-0.055M,2.388M,,2.388M,,-62.70M,,1.874M,-58.50M,,1.066B,1.288M,1.068B,,2.388M,,,,,,,,
2008-03,283.55M,,,,,7.679M,34.32M,16.61M,50.93M,50.93M,-36.23M,,,,-3.265M,-54.94M,-7.40M,1.562M,152.85M,-17.83M,74.24M,376.90M,,-33.42M,,-33.42M,-68.83M,49.15M,-47.58M,-100.67M,,,,1.349M,2.80M,,2.80M,,-62.69M,,3.347M,-55.19M,,845.31M,221.04M,1.066B,,2.80M,,,,,,,,
2007-12,201.06M,,,,,3.941M,32.99M,19.84M,52.83M,52.83M,-1.423M,,,,-2.141M,10.95M,6.142M,5.484M,-35.70M,1.672M,-11.45M,242.81M,,-33.90M,,-33.90M,40.45M,18.50M,-88.17M,-63.12M,,,,-1.294M,14.55M,0.00,14.55M,,-45.83M,,21.16M,-11.41M,,677.03M,168.28M,845.31M,,14.55M,,,0.00,,,,,
2007-09,201.57M,,,,,3.663M,32.24M,16.06M,48.31M,48.31M,-35.88M,,,,38.20M,-23.57M,-1.82M,4.292M,77.31M,-1.298M,54.91M,310.77M,,-79.67M,,-79.67M,94.64M,-14.97M,-1.458M,-1.46M,,,,164.15M,19.61M,-949.34M,-929.73M,,-45.73M,,4.094M,-807.22M,,1.175B,-497.91M,677.03M,,19.61M,,,-949.34M,,,,,
2007-06,125.88M,,,,,3.371M,20.43M,0.548M,20.98M,20.98M,-5.218M,,,,4.998M,3.778M,-5.131M,-1.276M,-71.45M,7.108M,-66.97M,83.04M,,-33.80M,,-33.80M,-11.68M,18.43M,-2.844M,-29.90M,,,,,4.345M,,4.345M,,-30.02M,,7.693M,-17.98M,,1.140B,35.15M,1.175B,,4.345M,,,,,,,,
2007-03,130.03M,,,,,3.02M,19.99M,0.593M,20.58M,20.58M,-8.057M,,,,4.652M,-41.09M,5.403M,-0.479M,61.07M,2.622M,27.53M,177.76M,,-16.27M,,-16.27M,-7.399M,52.72M,-13.21M,15.84M,,,,,1.901M,,1.901M,,-30.00M,,4.783M,-23.31M,,969.50M,170.29M,1.140B,,1.901M,,,,,,,,
2006-12,102.60M,,,,,4.805M,19.19M,0.829M,20.02M,20.02M,-5.295M,,,,5.029M,4.877M,-0.264M,-0.885M,-1.31M,-1.641M,0.777M,127.94M,,-29.69M,,-29.69M,-2.957M,3.837M,10.22M,-18.59M,,,,,3.975M,,3.975M,,-21.96M,,9.517M,-8.466M,,868.62M,100.88M,969.50M,,3.975M,,,,,,,,
2006-09,103.80M,,,,,1.502M,18.61M,0.555M,19.16M,19.16M,-3.936M,,,,4.492M,2.929M,2.075M,10.75M,7.072M,0.878M,23.71M,148.73M,,-18.64M,,-18.64M,-17.27M,-10.74M,-14.75M,-61.41M,,,,,5.394M,,5.394M,,-21.92M,,15.68M,-0.841M,,782.14M,86.48M,868.62M,,5.394M,,,,,,,,
