,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2013-03,695.60M,718.60M,138.30M,580.30M,,74.00M,74.00M,32.60M,25.90M,18.50M,,39.00M,,-39.00M,42.30M,174.80M,405.50M,,39.00M,-39.00M,21.10M,-39.00M,387.60M,150.20M,237.40M,-1.60M,235.80M,233.60M,485.10M,58.50M,426.60M,,0.71,,0.7034,0.71,,0.71,,0.7034,0.71,,331.95M,333.37M,0.45,,AOR,Restated
2012-12,647.20M,660.90M,122.30M,538.60M,,80.20M,80.20M,33.90M,25.90M,19.20M,,44.00M,,-44.00M,23.00M,163.00M,375.60M,,44.00M,-44.00M,21.90M,-44.00M,353.50M,185.40M,168.10M,-1.30M,166.80M,162.06M,457.30M,59.80M,397.50M,,0.50,,0.4857,0.50,,0.50,,0.4857,0.50,,331.74M,332.84M,0.45,,AOR,Restated
2012-09,668.20M,683.20M,127.30M,555.90M,,76.50M,76.50M,34.50M,26.20M,18.80M,,30.20M,,-30.20M,22.70M,159.90M,396.00M,,30.20M,-30.20M,30.00M,-30.20M,395.80M,176.90M,218.90M,-0.90M,218.00M,209.48M,486.70M,60.70M,426.00M,,0.66,,0.6343,0.66,,0.66,,0.6344,0.66,,331.38M,332.46M,0.45,,AOR,Restated
2012-06,777.00M,795.90M,141.80M,654.10M,,94.40M,94.40M,33.60M,31.30M,18.70M,,28.90M,,-28.90M,25.60M,184.90M,469.20M,,28.90M,-28.90M,70.40M,-28.90M,510.70M,257.30M,253.40M,-8.50M,244.90M,240.94M,604.50M,64.90M,539.60M,,0.74,,0.7280,0.74,,0.74,,0.7281,0.74,,331.08M,332.16M,0.446,,AOR,Restated
2012-03,755.00M,774.60M,145.40M,629.20M,,86.00M,86.00M,34.90M,32.80M,20.30M,,29.10M,,-29.10M,24.30M,178.00M,451.20M,,29.10M,-29.10M,11.30M,-29.10M,433.40M,167.10M,266.30M,0.30M,266.60M,259.17M,530.20M,67.70M,462.50M,,0.81,,0.7875,0.81,,0.80,,0.7776,0.80,,330.81M,331.85M,0.446,,AOR,Restated
2011-12,719.30M,736.50M,-2.50M,739.00M,,,219.00M,33.40M,32.80M,,,29.10M,,-29.10M,63.40M,348.60M,390.40M,,29.10M,-29.10M,8.40M,-29.10M,369.70M,-377.00M,746.70M,-0.80M,745.90M,722.04M,465.00M,66.20M,398.80M,,2.25,,2.178,2.25,,2.24,,2.168,2.24,,330.60M,331.72M,0.28,,AOR,Restated
2011-09,851.70M,874.20M,173.20M,701.00M,,,41.10M,32.40M,33.00M,,2.80M,29.00M,,-29.00M,22.40M,128.90M,572.10M,,29.00M,-29.00M,2.80M,-29.00M,545.90M,230.90M,315.00M,1.10M,316.10M,314.28M,640.30M,65.40M,574.90M,,0.95,0.00,0.9445,0.95,,0.95,0.00,0.9445,0.95,,332.29M,333.34M,0.28,,AOR,Restated
2011-06,807.00M,838.30M,172.40M,665.90M,,,37.60M,31.70M,33.00M,,4.60M,28.70M,,-28.70M,29.10M,131.40M,534.50M,,28.70M,-28.70M,3.50M,-28.70M,509.30M,213.70M,295.60M,-1.90M,293.70M,290.71M,602.70M,64.70M,538.00M,,0.88,0.00,0.8710,0.88,,0.88,0.00,0.8711,0.88,,333.79M,334.87M,0.28,,AOR,Restated
2011-03,831.60M,831.60M,174.90M,656.70M,,,42.90M,31.00M,33.20M,,18.80M,30.10M,,-30.10M,25.50M,132.60M,524.10M,,30.10M,-30.10M,17.60M,-30.10M,511.60M,54.50M,457.10M,-0.50M,456.60M,439.89M,605.90M,64.20M,541.70M,,1.366,0.00,1.316,1.366,,1.362,0.00,1.312,1.362,,334.28M,335.31M,0.28,,AOR,Restated
2010-12,741.50M,763.20M,9.70M,753.50M,,,205.00M,31.80M,32.60M,,-30.30M,35.10M,,-35.10M,25.70M,295.10M,458.40M,,35.10M,-35.10M,3.90M,-35.10M,427.20M,230.80M,196.40M,-0.20M,196.20M,193.99M,526.70M,64.40M,462.30M,,0.586,,0.5794,0.586,,0.582,,0.5754,0.582,,334.10M,335.10M,0.23,,AOR,Restated
2010-09,711.40M,733.40M,158.80M,574.60M,,,37.50M,33.10M,32.40M,,12.60M,35.90M,,-35.90M,28.70M,131.70M,442.90M,,35.90M,-35.90M,8.70M,-35.90M,415.70M,171.40M,244.30M,0.00,244.30M,236.11M,517.10M,65.50M,451.60M,,0.734,0.00,0.7094,0.734,,0.732,0.00,0.7075,0.732,,332.78M,333.72M,0.23,,AOR,Restated
2010-06,813.90M,813.90M,151.90M,662.00M,,,41.40M,32.80M,32.30M,,4.40M,37.90M,,-37.90M,40.40M,146.90M,515.10M,,37.90M,-37.90M,2.90M,-37.90M,480.10M,208.90M,271.20M,-0.50M,270.70M,267.84M,583.10M,65.10M,518.00M,,0.826,0.00,0.8173,0.826,,0.822,0.00,0.8133,0.822,,327.91M,328.92M,0.23,,AOR,Restated
2010-03,693.20M,693.20M,152.30M,540.90M,,,41.60M,32.20M,30.80M,,11.10M,31.40M,,-31.40M,21.60M,126.20M,414.70M,,31.40M,-31.40M,15.60M,-31.40M,398.90M,158.70M,240.20M,0.00,240.20M,229.90M,493.30M,63.00M,430.30M,,0.726,0.00,0.6949,0.726,,0.724,0.00,0.6930,0.724,,331.17M,332.14M,0.23,,AOR,Restated
2009-12,593.30M,667.50M,135.20M,532.30M,,,40.70M,32.90M,30.60M,,-13.30M,30.70M,0.00,-30.70M,25.50M,129.70M,402.60M,0.00,30.70M,-30.70M,-15.60M,-30.70M,356.30M,153.70M,202.60M,0.00,202.60M,211.24M,450.50M,63.50M,387.00M,,0.61,0.00,0.6360,0.61,,0.608,0.00,0.6339,0.608,,332.24M,333.25M,0.23,,AOR,Restated
2009-09,650.40M,650.40M,128.00M,522.40M,,,40.30M,32.30M,30.70M,,-12.50M,32.10M,,-32.10M,17.10M,120.40M,402.00M,,32.10M,-32.10M,-14.10M,-32.10M,355.80M,153.50M,202.30M,0.00,202.30M,210.42M,450.90M,63.00M,387.90M,,0.61,0.00,0.6345,0.61,,0.608,0.00,0.6324,0.608,,331.92M,332.86M,0.23,,AOR,Restated
2009-06,647.80M,647.80M,133.60M,514.20M,,,39.80M,30.10M,30.50M,,8.30M,32.90M,0.40M,-32.50M,13.60M,114.00M,400.20M,0.40M,32.90M,-32.50M,6.60M,-32.50M,374.90M,153.10M,221.80M,0.00,221.80M,216.40M,468.40M,60.60M,407.80M,,0.668,0.00,0.6517,0.668,,0.666,0.00,0.6498,0.666,,331.64M,332.63M,0.23,,AOR,Restated
2009-03,647.10M,647.10M,133.20M,513.90M,,,44.00M,31.00M,33.30M,,-1.40M,38.90M,2.40M,-36.50M,16.00M,124.30M,389.60M,2.40M,38.90M,-36.50M,-2.60M,-36.50M,350.50M,151.40M,199.10M,0.00,199.10M,200.01M,453.70M,64.30M,389.40M,,0.60,0.00,0.6027,0.60,,0.60,0.00,0.6027,0.60,,331.51M,332.20M,0.23,,AOR,Restated
2008-12,623.40M,691.80M,136.10M,555.70M,,,44.00M,34.40M,35.50M,,-318.70M,38.40M,6.10M,-32.30M,21.20M,135.10M,420.60M,6.10M,38.40M,-32.30M,-277.10M,-32.30M,111.20M,49.10M,62.10M,,62.10M,239.88M,219.70M,70.10M,149.60M,,0.104,0.00,0.6363,0.104,,0.104,0.00,0.6350,0.104,,333.95M,334.81M,0.23,,,Restated
2008-09,680.90M,680.90M,124.90M,556.00M,,,38.20M,34.10M,29.10M,,26.00M,46.80M,8.60M,-38.20M,33.80M,135.20M,420.80M,8.60M,46.80M,-38.20M,13.40M,-38.20M,396.00M,227.30M,168.70M,,168.70M,146.99M,506.00M,61.88M,442.80M,,0.564,0.00,0.4915,0.564,,0.562,0.00,0.4897,0.562,,299.35M,300.43M,0.23,,,Restated
2008-06,563.19M,563.19M,104.56M,458.63M,,,45.33M,34.47M,17.90M,,-34.23M,,,,17.23M,114.94M,343.70M,,,,-38.18M,,333.56M,132.38M,201.18M,,201.18M,221.83M,396.79M,53.09M,343.70M,,0.738,0.00,0.8138,0.738,,0.734,0.00,0.8094,0.734,,272.50M,273.76M,0.23,,,
2008-03,625.11M,625.11M,119.81M,505.30M,,,54.34M,34.32M,16.21M,,7.404M,,,,,104.86M,400.44M,,,,3.475M,,407.24M,123.69M,283.55M,,283.55M,278.39M,451.37M,50.93M,400.44M,,1.056,0.00,1.037,1.056,,1.05,0.00,1.031,1.05,,268.76M,270.14M,0.23,,,
2007-12,529.54M,529.54M,102.45M,427.09M,,,42.53M,32.99M,17.29M,,4.953M,,,,0.105M,92.92M,334.17M,,,,1.012M,,336.69M,135.63M,201.06M,,201.06M,198.09M,387.00M,52.83M,334.17M,,0.754,0.00,0.7429,0.754,,0.75,0.00,0.7389,0.75,,266.74M,268.34M,0.172,,,
2007-09,565.22M,565.22M,106.25M,458.97M,,,41.16M,32.87M,15.96M,,-31.37M,,,,19.44M,109.44M,349.53M,,,,-35.03M,,334.32M,132.75M,201.57M,,201.57M,220.48M,398.36M,48.31M,349.53M,,0.78,0.00,0.8531,0.78,,0.774,0.00,0.8466,0.774,,258.74M,260.52M,0.172,,,
2007-06,329.01M,329.01M,74.22M,254.78M,7.116M,28.26M,35.38M,,,,12.64M,,,,,55.81M,198.98M,,,,9.268M,,209.43M,83.56M,125.88M,,125.88M,118.28M,219.95M,20.98M,198.98M,,0.722,0.00,0.6784,0.722,,0.714,0.00,0.6709,0.714,,174.41M,176.21M,0.172,,,
2007-03,332.33M,332.33M,83.54M,248.79M,,,21.84M,,,,10.96M,,,,6.347M,48.18M,200.61M,,,,7.938M,,215.36M,85.33M,130.03M,,130.03M,123.41M,221.19M,20.58M,200.61M,,0.746,0.00,0.7080,0.746,,0.738,0.00,0.7004,0.738,,174.26M,176.14M,0.172,,,
2006-12,299.20M,281.32M,104.15M,177.17M,5.147M,12.82M,17.97M,,,,17.37M,,,,,18.91M,158.26M,,,,12.57M,,170.75M,68.15M,102.60M,,102.60M,92.16M,178.28M,20.02M,158.26M,,0.59,0.00,0.5300,0.59,,0.584,0.00,0.5247,0.584,,174.06M,176.01M,0.126,,,
2006-09,268.29M,274.70M,67.31M,207.40M,4.51M,21.60M,26.11M,,,,15.35M,,,,5.717M,50.43M,156.96M,,,,13.85M,,170.51M,66.71M,103.80M,,103.80M,94.46M,176.13M,19.16M,156.96M,,0.598,0.00,0.5442,0.598,,0.59,0.00,0.5368,0.59,,173.74M,175.76M,0.126,,,
2006-06,282.21M,282.21M,73.28M,208.93M,3.987M,14.15M,18.14M,,,,6.326M,,,,,35.74M,173.20M,,,,6.107M,,179.89M,70.36M,109.53M,,109.53M,105.68M,191.38M,18.18M,173.20M,,0.632,0.00,0.6098,0.632,,0.624,0.00,0.6020,0.624,,173.20M,175.48M,0.126,,,
2006-03,251.72M,251.72M,,,,,95.49M,,,,11.41M,,,,,112.88M,138.84M,,,,11.02M,,150.50M,59.09M,91.41M,,91.41M,84.48M,156.80M,17.96M,138.84M,,0.528,0.00,0.4879,0.528,,0.522,0.00,0.4825,0.522,,172.90M,175.22M,0.126,,,
2005-12,241.54M,222.54M,88.06M,134.48M,3.767M,-6.667M,-2.90M,,,,-13.93M,,,,5.191M,19.09M,115.39M,,,,-14.35M,,125.74M,49.46M,76.28M,,76.28M,84.73M,133.12M,17.73M,115.39M,,0.442,0.00,0.4910,0.442,,0.436,0.00,0.4843,0.436,,172.37M,174.88M,0.092,,,
2005-09,219.60M,225.71M,60.02M,165.69M,3.961M,18.79M,22.75M,,,,8.941M,,,,5.992M,46.00M,119.69M,,,,8.333M,,128.29M,50.82M,77.47M,,77.47M,72.07M,137.69M,18.00M,119.69M,,0.45,0.00,0.4186,0.45,,0.444,0.00,0.4131,0.444,,171.85M,174.46M,0.092,,,
2005-06,231.72M,252.19M,14.33M,237.85M,,,72.51M,,,,6.883M,,,,,88.58M,149.27M,,,,6.883M,,136.20M,53.98M,82.23M,,82.23M,78.07M,166.16M,16.89M,149.27M,,0.48,0.00,0.4557,0.48,,0.472,0.00,0.4481,0.472,,171.26M,173.86M,0.092,,,
2005-03,208.19M,208.19M,,,,,81.26M,,,,5.476M,,,,,96.05M,112.14M,,,,5.476M,,118.14M,47.26M,70.88M,,70.88M,67.60M,127.74M,15.60M,112.14M,,0.414,0.00,0.3948,0.414,,0.408,0.00,0.3891,0.408,,170.83M,173.59M,0.092,,,
2004-12,185.76M,164.78M,,,,,-182.32M,,,,-18.83M,,,,,-144.13M,70.84M,,,,-22.42M,,94.09M,37.31M,56.78M,,56.78M,68.15M,85.83M,15.00M,70.84M,,0.334,0.00,0.4009,0.334,,0.328,0.00,0.3936,0.328,,169.79M,173.30M,0.052,,,
2004-09,188.98M,196.70M,,,,,78.96M,,,,3.229M,,,,,92.51M,104.19M,,,,3.229M,,99.88M,40.45M,59.43M,,59.43M,57.49M,118.34M,14.15M,104.19M,,0.35,0.00,0.3386,0.35,,0.344,0.00,0.3328,0.344,,169.68M,172.48M,0.052,,,
2004-06,183.82M,190.53M,40.63M,149.90M,2.467M,34.51M,36.98M,,,,2.768M,,,,,50.10M,99.80M,,,,2.768M,,96.27M,38.99M,57.28M,,57.28M,55.62M,114.75M,14.95M,99.80M,,0.344,0.00,0.3340,0.344,,0.332,0.00,0.3224,0.332,,166.27M,172.24M,0.052,,,
2004-03,162.99M,169.55M,40.58M,128.97M,,,35.58M,,,,3.097M,,,,,48.38M,80.59M,,,,3.097M,,77.41M,31.35M,46.06M,,46.06M,44.20M,93.42M,12.83M,80.59M,,0.28,0.00,0.2687,0.28,,0.27,0.00,0.2591,0.27,,164.66M,170.23M,0.052,,,
