,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.422B,,1.422B,466.46M,,,,466.46M,128.75M,62.86M,563.32M,,606.79M,,,106.30M,2.602B,,,,,,6.523B,-2.941B,3.582B,2.160B,498.78M,2.659B,,104.56M,,2018-03,162.33M,,162.33M,115.46M,277.79M,,,300.01M,,300.01M,60.37M,650.98M,2.728B,,2.728B,413.57M,413.57M,248.50M,3.20M,227.07M,,2018-03,0.628M,1.422B,3.381B,,2018-03,AOR,Restated
2017-12,1.446B,,1.446B,487.24M,,,,487.24M,128.79M,62.76M,553.00M,,600.59M,,,96.96M,2.631B,974.62M,154.56M,4.007B,,199.97M,6.498B,-2.905B,3.593B,2.160B,506.35M,2.667B,,101.90M,,2017-12,183.64M,,183.64M,109.21M,292.85M,,,299.91M,,299.91M,87.80M,694.22M,2.727B,,2.727B,410.72M,410.72M,244.04M,2.877M,233.76M,,2017-12,0.628M,1.440B,3.368B,,2017-12,AOR,Restated
2017-09,35.22M,,35.22M,582.53M,,,,582.53M,126.92M,62.45M,526.40M,,576.43M,,,83.81M,1.278B,,,,,,6.376B,-2.854B,3.522B,2.160B,504.59M,2.665B,,102.57M,,2017-09,163.60M,,163.60M,136.29M,299.89M,1.047M,80.04M,81.08M,,81.08M,75.46M,468.50M,1.643B,,1.643B,662.98M,662.98M,230.21M,2.761M,228.60M,,2017-09,0.627M,1.091B,3.363B,,2017-09,AOR,Restated
2017-06,36.72M,,36.72M,570.62M,,,,570.62M,120.59M,59.41M,508.14M,,549.86M,,,87.09M,1.244B,,,,,,6.306B,-2.801B,3.505B,2.160B,503.24M,2.663B,,103.00M,,2017-06,187.23M,,187.23M,96.16M,283.39M,3.794M,140.04M,143.83M,,143.83M,98.30M,534.32M,1.642B,,1.642B,663.41M,663.41M,253.91M,2.76M,221.74M,,2017-06,0.627M,967.06M,3.356B,,2017-06,AOR,Restated
2017-03,55.42M,,55.42M,479.22M,,,,479.22M,120.05M,61.82M,495.79M,,537.00M,,,51.61M,1.123B,,,,,,6.212B,-2.744B,3.468B,2.159B,507.73M,2.667B,,135.78M,,2017-03,188.40M,,188.40M,95.94M,284.34M,,,290.05M,,290.05M,49.03M,631.56M,1.556B,,1.556B,667.16M,667.16M,252.57M,2.586M,210.30M,,2017-03,0.626M,851.35M,3.350B,,2017-03,AOR,Restated
2016-12,50.04M,,50.04M,457.91M,,,,457.91M,116.02M,61.17M,479.29M,,521.62M,,,56.81M,1.086B,915.16M,151.12M,3.767B,,167.72M,6.116B,-2.692B,3.423B,2.159B,511.31M,2.671B,,120.48M,,2016-12,178.60M,,178.60M,107.52M,286.12M,,,180.04M,,180.04M,71.14M,546.59M,1.506B,,1.506B,663.02M,663.02M,248.09M,2.612M,194.47M,,2016-12,0.63M,935.57M,3.334B,,2016-12,AOR,Restated
2016-09,60.68M,,60.68M,566.42M,,,,566.42M,114.87M,61.14M,462.70M,,508.20M,,,56.22M,1.192B,,,,,,6.013B,-2.633B,3.380B,2.161B,515.05M,2.676B,,126.41M,,2016-09,192.74M,,192.74M,124.34M,317.08M,0.00,228.02M,228.02M,,228.02M,50.14M,604.91M,1.537B,,1.537B,676.14M,676.14M,200.15M,3.066M,196.79M,,2016-09,0.633M,932.68M,3.327B,,2016-09,AOR,Restated
2016-06,28.60M,,28.60M,534.46M,,,,534.46M,113.11M,60.32M,463.81M,,504.88M,,,54.00M,1.122B,,,,,,5.897B,-2.574B,3.322B,2.137B,506.68M,2.643B,,145.71M,,2016-06,197.73M,,197.73M,103.96M,301.70M,7.143M,238.16M,245.30M,,245.30M,45.49M,601.60M,1.541B,,1.541B,639.78M,639.78M,236.56M,3.048M,197.80M,,2016-06,0.633M,800.03M,3.319B,,2016-06,AOR,Restated
2016-03,27.24M,,27.24M,448.05M,,,,448.05M,112.02M,59.76M,443.47M,,485.37M,,,37.66M,998.32M,,,,,,5.778B,-2.515B,3.263B,2.135B,519.42M,2.655B,,142.28M,,2016-03,174.40M,,174.40M,92.56M,266.96M,0.00,177.43M,177.43M,,177.43M,38.58M,492.13M,1.575B,,1.575B,620.57M,620.57M,226.92M,2.985M,197.70M,,2016-03,0.633M,743.59M,3.302B,,2016-03,AOR,Restated
2015-12,168.41M,,168.41M,410.92M,,,,410.92M,110.88M,55.19M,433.65M,,469.14M,,,33.16M,1.082B,865.70M,144.08M,3.474B,,128.30M,5.613B,-2.457B,3.156B,2.068B,510.55M,2.579B,,141.19M,,2015-12,164.72M,,164.72M,93.72M,258.44M,10.24M,18.71M,28.95M,,28.95M,71.10M,366.66M,1.550B,,1.550B,583.46M,583.46M,224.54M,2.893M,172.72M,,2015-12,0.643M,874.44M,3.288B,,2015-12,AOR,Restated
2015-09,436.43M,,436.43M,577.42M,,,,577.42M,108.76M,59.00M,420.03M,,464.52M,,125.63M,37.96M,1.642B,,,,,,5.489B,-2.415B,3.074B,2.066B,511.41M,2.577B,,145.89M,,2015-09,226.84M,,226.84M,123.45M,350.29M,0.00,147.54M,147.54M,,147.54M,69.21M,575.39M,1.558B,,1.558B,665.71M,665.71M,229.04M,1.698M,158.11M,,2015-09,0.66M,1.080B,3.283B,,2015-09,AOR,Restated
2015-06,44.17M,,44.17M,497.47M,,,,497.47M,112.59M,60.50M,427.30M,,479.86M,,234.59M,82.67M,1.765B,,,,,,5.421B,-2.372B,3.050B,2.066B,514.94M,2.581B,,104.06M,,2015-06,201.24M,,201.24M,100.83M,302.07M,0.00,15.97M,15.97M,,15.97M,37.67M,363.83M,1.642B,,1.642B,756.53M,756.53M,272.46M,1.66M,154.36M,,2015-06,0.668M,1.147B,3.274B,,2015-06,AOR,Restated
2015-03,56.37M,,56.37M,381.39M,,,,381.39M,125.55M,70.56M,428.78M,,505.05M,,235.37M,103.56M,1.282B,,,,,,5.695B,-2.329B,3.365B,2.071B,591.95M,2.663B,,107.39M,,2015-03,184.07M,,184.07M,104.79M,288.86M,0.00,14.41M,14.41M,,14.41M,33.65M,343.56M,1.567B,,1.567B,753.73M,753.73M,252.92M,1.617M,158.64M,,2015-03,0.673M,1.191B,3.256B,,2015-03,AOR,Restated
2014-12,108.65M,,108.65M,421.00M,,,,421.00M,125.09M,65.25M,413.77M,,484.92M,,,29.61M,1.044B,849.70M,157.23M,3.568B,,125.96M,5.692B,-2.289B,3.403B,2.069B,595.20M,2.664B,,108.80M,,2014-12,202.48M,,202.48M,94.93M,297.41M,0.183M,14.34M,14.52M,,14.52M,77.77M,396.65M,1.571B,,1.571B,489.94M,489.94M,249.33M,1.582M,160.02M,,2014-12,0.671M,1.213B,3.244B,,2014-12,AOR,Restated
2014-09,73.60M,,73.60M,523.93M,,,,523.93M,127.32M,58.68M,397.68M,,475.29M,,90.14M,49.84M,1.213B,,,,,,5.625B,-2.247B,3.378B,2.043B,599.22M,2.643B,,105.57M,,2014-09,230.21M,,230.21M,124.72M,354.92M,0.00,14.33M,14.33M,,14.33M,60.40M,437.00M,1.604B,,1.604B,633.95M,633.95M,144.08M,2.393M,144.28M,,2014-09,0.671M,1.176B,3.240B,,2014-09,AOR,Restated
2014-06,34.33M,,34.33M,343.78M,,,,343.78M,65.29M,20.73M,358.76M,,348.17M,,72.41M,78.01M,876.70M,,,,,,3.970B,-2.195B,1.775B,616.62M,46.90M,663.52M,,40.45M,,2014-06,139.44M,,139.44M,57.79M,197.24M,0.00,12.40M,12.40M,,12.40M,32.73M,244.72M,1.072B,,1.072B,275.28M,275.28M,82.66M,2.30M,113.98M,,2014-06,0.463M,1.149B,456.99M,,2014-06,AOR,Restated
2014-03,35.80M,,35.80M,242.59M,,,,242.59M,64.09M,16.48M,372.57M,,354.72M,,73.32M,51.79M,758.21M,,,,,,4.002B,-2.208B,1.794B,616.62M,47.74M,664.36M,,39.14M,,2014-03,98.78M,,98.78M,58.25M,157.02M,0.00,12.40M,12.40M,,12.40M,21.98M,193.76M,1.056B,,1.056B,272.35M,272.35M,80.46M,35.51M,108.86M,,2014-03,0.462M,1.109B,442.55M,,2014-03,AOR,Restated
2013-12,42.44M,,42.44M,245.42M,,,,245.42M,61.92M,16.08M,368.33M,,347.31M,,74.82M,45.38M,755.37M,728.40M,118.66M,2.575B,,92.91M,3.977B,-2.178B,1.799B,616.62M,48.59M,665.21M,,40.01M,,2013-12,103.60M,,103.60M,47.22M,150.82M,2.556M,12.40M,14.96M,,14.96M,42.75M,210.55M,1.019B,,1.019B,280.00M,280.00M,78.49M,37.04M,97.35M,,2013-12,0.461M,1.149B,432.79M,,2013-12,AOR,Restated
2013-09,57.24M,,57.24M,331.03M,,,,331.03M,61.44M,19.92M,366.56M,,350.44M,,77.00M,29.96M,845.67M,,,,,,3.942B,-2.160B,1.783B,616.63M,49.04M,665.67M,,43.15M,,2013-09,111.27M,1.72M,112.99M,73.26M,186.24M,10.44M,6.169M,16.61M,,16.61M,21.59M,226.43M,1.107B,,1.107B,243.86M,243.86M,171.70M,38.73M,89.04M,,2013-09,0.461M,1.131B,431.12M,,2013-09,AOR,Restated
2013-06,43.71M,,43.71M,287.52M,,,,287.52M,59.44M,18.70M,366.32M,,348.87M,,79.10M,47.28M,806.48M,,,,,,3.844B,-2.126B,1.717B,616.30M,48.67M,664.97M,,42.28M,,2013-06,99.96M,,99.96M,54.65M,154.61M,0.00,6.169M,6.169M,,6.169M,27.14M,192.53M,1.087B,,1.087B,235.50M,235.50M,184.85M,38.53M,90.42M,,2013-06,0.461M,1.078B,429.94M,,2013-06,AOR,Restated
2013-03,37.26M,,37.26M,202.15M,,,,202.15M,59.36M,20.91M,363.61M,,347.64M,,79.48M,49.20M,715.73M,,,,,,3.825B,-2.093B,1.732B,616.35M,49.55M,665.90M,,41.06M,,2013-03,77.08M,,77.08M,58.34M,135.42M,0.00,5.677M,5.677M,,5.677M,23.51M,168.69M,1.073B,,1.073B,230.11M,230.11M,184.29M,38.27M,88.78M,,2013-03,0.459M,1.055B,421.02M,,2013-03,AOR,Restated
2012-12,25.39M,,25.39M,224.05M,,,,224.05M,56.80M,16.44M,355.88M,,332.31M,,77.72M,40.93M,700.40M,645.10M,116.33M,2.511B,,109.05M,3.813B,-2.059B,1.753B,616.20M,50.43M,666.64M,,40.65M,,2012-12,83.54M,,83.54M,48.14M,131.68M,0.00,5.676M,5.676M,,5.676M,29.13M,173.34M,1.042B,,1.042B,225.59M,225.59M,183.12M,39.75M,86.40M,,2012-12,0.459M,1.102B,414.66M,,2012-12,AOR,Restated
2012-09,35.42M,,35.42M,296.95M,,,,296.95M,56.42M,18.92M,356.85M,,335.09M,,79.76M,37.89M,785.11M,,,,,,3.775B,-2.024B,1.751B,615.99M,51.33M,667.32M,,39.84M,,2012-09,99.63M,47.47M,147.09M,18.21M,165.30M,,,6.773M,,6.773M,21.16M,217.11M,1.092B,,1.092B,243.76M,243.76M,135.76M,39.62M,84.44M,,2012-09,0.458M,1.099B,408.90M,,2012-09,AOR,Restated
2012-06,41.39M,,41.39M,275.42M,,,,275.42M,55.20M,18.71M,355.46M,,331.98M,,75.00M,36.54M,760.33M,,,,,,3.739B,-1.986B,1.754B,618.87M,52.21M,671.09M,,41.34M,,2012-06,113.31M,29.62M,142.92M,,142.92M,,,10.52M,,10.52M,24.29M,199.07M,1.137B,,1.137B,229.97M,229.97M,153.24M,38.86M,90.38M,,2012-06,0.457M,1.054B,404.07M,,2012-06,AOR,Restated
2012-03,44.95M,,44.95M,212.05M,,,,212.05M,54.01M,15.75M,357.95M,,333.49M,,79.00M,32.45M,701.94M,,,,,,3.721B,-1.952B,1.769B,616.73M,53.22M,669.95M,,41.29M,,2012-03,100.08M,24.02M,124.11M,18.30M,142.41M,,,9.579M,,9.579M,14.38M,185.37M,1.127B,,1.127B,225.55M,225.55M,156.08M,38.60M,89.66M,,2012-03,0.456M,1.036B,405.47M,,2012-03,AOR,Restated
2011-12,26.02M,,26.02M,203.75M,,,,203.75M,53.29M,11.12M,350.68M,,322.61M,,80.67M,24.80M,657.85M,620.94M,111.80M,2.407B,,127.09M,3.689B,-1.914B,1.774B,616.67M,54.13M,670.80M,,44.88M,,2011-12,92.21M,,92.21M,43.14M,135.35M,,,7.182M,,7.182M,25.93M,173.71M,1.053B,,1.053B,222.06M,222.06M,158.10M,39.54M,92.18M,,2011-12,0.456M,1.091B,401.86M,,2011-12,AOR,Restated
2011-09,56.84M,,56.84M,259.77M,,,,259.77M,53.62M,9.483M,362.92M,,337.73M,,92.96M,20.11M,767.42M,,,,,,3.662B,-1.976B,1.687B,639.04M,18.21M,657.25M,,47.25M,,2011-09,86.32M,16.26M,102.58M,50.61M,153.19M,,,7.15M,,7.15M,16.12M,197.75M,1.038B,,1.038B,249.57M,249.57M,102.79M,39.33M,84.57M,,2011-09,0.456M,1.094B,400.86M,,2011-09,AOR,Restated
2011-06,26.10M,,26.10M,269.39M,,,,269.39M,51.39M,9.793M,361.38M,,336.36M,,91.04M,22.67M,745.57M,,,,,,3.645B,-1.947B,1.698B,638.76M,18.62M,657.38M,,48.19M,,2011-06,85.42M,3.782M,89.20M,36.16M,125.36M,,,106.96M,,106.96M,13.77M,262.90M,978.96M,,978.96M,248.33M,248.33M,121.15M,38.16M,86.99M,,2011-06,0.456M,1.064B,397.58M,,2011-06,AOR,Restated
2011-03,176.83M,,176.83M,203.24M,,,,203.24M,49.02M,12.25M,361.96M,,331.68M,,88.80M,39.81M,840.36M,,,,,,3.590B,-1.914B,1.676B,626.53M,17.17M,643.69M,,48.23M,,2011-03,74.91M,,74.91M,55.47M,130.39M,,,7.101M,,7.101M,12.03M,158.76M,1.162B,,1.162B,240.59M,240.59M,129.59M,41.54M,83.40M,,2011-03,0.455M,1.046B,400.97M,,2011-03,AOR,Restated
2010-12,70.32M,,70.32M,183.36M,,,,183.36M,46.96M,13.84M,358.14M,,331.89M,,83.38M,27.25M,696.21M,594.87M,108.27M,2.421B,351.54M,92.84M,3.568B,-1.880B,1.688B,626.53M,17.55M,644.08M,,46.63M,,2010-12,60.33M,,60.33M,23.54M,83.87M,,,250.84M,,250.84M,27.25M,385.49M,782.04M,,782.04M,228.70M,228.70M,127.67M,42.82M,82.58M,,2010-12,0.455M,1.082B,396.48M,,2010-12,AOR,Restated
2010-09,60.50M,,60.50M,249.61M,,,,249.61M,46.57M,14.31M,350.84M,,323.82M,,71.59M,26.59M,732.12M,,,,,,3.541B,-1.848B,1.693B,624.22M,17.56M,641.79M,,48.67M,,2010-09,76.99M,,76.99M,74.04M,151.04M,,,245.42M,,245.42M,30.38M,426.84M,785.71M,,785.71M,216.84M,216.84M,144.57M,42.42M,84.60M,,2010-09,0.454M,1.086B,395.85M,,2010-09,AOR,Restated
2010-06,32.10M,,32.10M,257.76M,,,,257.76M,46.10M,14.94M,278.61M,,319.84M,,72.75M,26.02M,708.47M,,,,,,3.526B,-1.832B,1.694B,624.22M,18.28M,642.51M,,51.00M,,2010-06,80.24M,1.862M,82.10M,74.94M,157.04M,,,247.55M,,247.55M,10.03M,414.63M,811.94M,,811.94M,196.90M,196.90M,158.79M,41.15M,97.35M,,2010-06,0.454M,1.052B,392.52M,,2010-06,AOR,Restated
2010-03,221.04M,,221.04M,202.10M,,,,202.10M,47.48M,15.94M,279.11M,,322.03M,,72.92M,36.62M,854.71M,,,,,,3.501B,-1.806B,1.695B,624.22M,18.86M,643.09M,,52.06M,,2010-03,67.28M,,67.28M,84.56M,151.84M,,,221.81M,,221.81M,21.70M,395.35M,1.030B,,1.030B,192.30M,192.30M,159.15M,40.60M,95.60M,,2010-03,0.453M,1.016B,386.21M,,2010-03,AOR,Restated
2009-12,263.59M,,263.59M,162.82M,,,,162.82M,47.55M,16.30M,351.39M,,332.57M,,60.30M,37.58M,856.86M,554.93M,105.93M,2.395B,334.63M,75.22M,3.466B,-1.773B,1.693B,624.22M,12.47M,636.69M,,52.82M,,2009-12,52.11M,,52.11M,24.27M,76.38M,,,227.86M,,227.86M,35.27M,373.55M,1.023B,,1.023B,195.95M,195.95M,160.35M,41.17M,79.53M,,2009-12,0.453M,1.059B,381.17M,,2009-12,AOR,Restated
2009-09,193.84M,,193.84M,241.52M,,1.206M,,242.73M,47.55M,17.43M,282.03M,,329.78M,,58.27M,20.35M,844.97M,,,,,,3.436B,-1.738B,1.698B,624.22M,12.89M,637.11M,12.25M,40.21M,,2009-09,61.74M,2.469M,64.21M,85.99M,150.20M,,,226.19M,,226.19M,18.39M,394.78M,1.039B,,1.039B,175.26M,175.26M,193.25M,40.94M,78.54M,,2009-09,0.446M,1.080B,319.78M,,2009-09,AOR,Restated
2009-06,133.38M,,133.38M,250.34M,,1.294M,,251.63M,48.89M,17.39M,285.37M,,333.89M,,56.10M,27.12M,802.12M,,,,,,3.408B,-1.696B,1.713B,629.09M,13.30M,642.39M,10.81M,39.14M,,2009-06,75.20M,1.646M,76.85M,50.23M,127.08M,,,234.92M,,234.92M,27.07M,389.06M,1.049B,,1.049B,173.80M,173.80M,211.23M,39.48M,82.83M,,2009-06,0.445M,1.043B,315.53M,,2009-06,AOR,Restated
2009-03,222.00M,,222.00M,206.78M,,1.313M,37.61M,245.71M,51.62M,18.87M,273.47M,,324.95M,,56.18M,43.10M,891.94M,,,,,,3.350B,-1.666B,1.684B,623.81M,13.44M,637.26M,6.821M,33.40M,,2009-03,77.03M,0.00,77.03M,68.60M,145.63M,,,186.36M,,186.36M,15.67M,347.65M,1.152B,,1.152B,175.81M,175.81M,213.52M,43.95M,79.83M,,2009-03,0.445M,1.022B,317.72M,,2009-03,AOR,Restated
2008-12,37.79M,,37.79M,211.60M,,,,211.60M,51.07M,17.21M,268.76M,,318.02M,,57.97M,39.66M,665.03M,524.94M,100.38M,2.304B,301.52M,90.54M,3.321B,-1.630B,1.691B,622.30M,13.89M,636.19M,,40.76M,,2008-12,62.92M,,62.92M,46.38M,109.30M,,,207.21M,,207.21M,32.13M,348.64M,1.152B,,1.152B,174.31M,174.31M,207.83M,45.56M,82.05M,,2008-12,0.414M,1.044B,78.54M,,2008-12,AOR,Restated
2008-09,13.90M,,13.90M,300.42M,1.354M,,,301.77M,47.88M,15.64M,262.19M,,305.55M,,29.35M,23.10M,673.66M,,,,,,3.316B,-1.597B,1.718B,613.63M,14.34M,627.97M,,43.55M,,2008-09,97.25M,,97.25M,87.86M,185.10M,,,209.19M,,209.19M,30.27M,424.56M,1.153B,,1.153B,189.24M,189.24M,,,221.91M,,2008-09,0.414M,1.037B,74.81M,,2008-09,,Restated
2008-06,13.16M,,13.16M,321.98M,1.047M,,,323.03M,45.40M,15.82M,255.85M,,297.37M,,33.34M,23.95M,690.85M,,,,,,3.282B,-1.577B,1.705B,614.40M,14.82M,629.22M,,46.84M,,2008-06,101.04M,,101.04M,49.10M,150.14M,,,291.86M,,291.86M,50.51M,492.52M,1.153B,,1.153B,163.34M,163.34M,,,245.91M,,2008-06,0.413M,987.40M,67.89M,,2008-06,,Restated
2008-03,13.58M,,13.58M,239.01M,2.02M,,,241.03M,43.13M,15.77M,257.16M,,296.47M,,43.41M,26.40M,620.88M,,,,,,3.082B,-1.577B,1.505B,578.45M,12.10M,590.55M,,43.50M,,2008-03,92.62M,,92.62M,41.24M,133.86M,,,345.34M,,345.34M,65.30M,544.51M,855.66M,,855.66M,163.03M,163.03M,,,241.73M,,2008-03,0.413M,938.08M,57.54M,,2008-03,,Restated
2007-12,20.04M,,20.04M,245.84M,,2.078M,,247.92M,42.81M,18.64M,244.57M,,286.88M,,44.28M,26.89M,626.01M,430.70M,95.07M,2.126B,191.42M,135.07M,2.978B,-1.545B,1.434B,574.67M,9.426M,584.09M,8.457M,31.69M,,2007-12,86.87M,,86.87M,55.50M,142.37M,,,282.49M,,282.49M,81.76M,506.62M,848.19M,,848.19M,160.90M,160.90M,103.52M,,118.59M,,2007-12,0.412M,931.66M,50.96M,,2007-12,,Restated
2007-09,26.42M,,26.42M,312.26M,1.912M,,,314.18M,,18.56M,239.88M,42.35M,285.25M,,42.12M,22.90M,690.86M,,,,,,2.924B,-1.519B,1.406B,574.67M,9.85M,584.52M,,40.86M,,2007-09,92.84M,,92.84M,61.43M,154.28M,,,78.19M,,78.19M,84.17M,316.63M,1.051B,,1.051B,165.59M,165.59M,,,201.74M,,2007-09,0.418M,963.62M,53.31M,,2007-09,,
