,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,480.46M,480.46M,230.77M,249.69M,143.38M,143.38M,0.308M,,-0.075M,,159.74M,89.94M,,-0.075M,0.308M,-0.075M,90.18M,24.64M,65.54M,,,65.54M,65.32M,106.31M,16.37M,89.94M,,0.1333,,,0.1329,0.1333,,0.1333,,,0.1329,0.1333,,490.92M,490.92M,0.0622,,AOR,Restated
2018-03,408.74M,408.74M,206.14M,202.60M,126.49M,126.49M,0.056M,,-0.058M,,143.40M,59.20M,,-0.058M,0.056M,-0.058M,59.19M,10.67M,48.52M,,,48.52M,48.48M,76.11M,16.92M,59.20M,,0.10,,,0.0999,0.10,,0.10,,,0.0999,0.10,,490.87M,490.87M,0.0622,,AOR,Restated
2017-12,414.71M,414.71M,207.52M,207.19M,123.68M,123.68M,0.063M,,-0.083M,,138.63M,68.56M,,-0.083M,0.063M,-0.083M,68.54M,34.81M,33.74M,,,33.74M,33.70M,83.51M,13.90M,68.56M,,0.0667,,,0.0666,0.0667,,0.0667,,,0.0666,0.0667,,490.48M,490.48M,0.0511,,AOR,Restated
2017-09,450.44M,450.44M,218.78M,231.66M,134.93M,134.93M,0.066M,,0.079M,,149.24M,82.42M,,0.079M,0.066M,0.079M,82.56M,31.13M,51.43M,,,51.43M,51.39M,96.73M,14.31M,82.42M,,0.1067,,,0.1066,0.1067,,0.1067,,,0.1066,0.1067,,490.47M,490.47M,0.0511,,AOR,Restated
2017-06,433.56M,433.56M,204.48M,229.08M,129.67M,129.67M,0.088M,,0.19M,,143.21M,85.86M,,0.19M,0.088M,0.19M,86.14M,32.45M,53.69M,,,53.69M,53.63M,99.41M,13.55M,85.86M,,0.1111,,,0.1110,0.1111,,0.1111,,,0.1110,0.1111,,490.50M,490.50M,0.0511,,AOR,Restated
2017-03,375.25M,375.25M,189.16M,186.08M,115.15M,115.15M,0.026M,,0.073M,,128.92M,57.16M,,0.073M,0.026M,0.073M,57.26M,16.99M,40.27M,,,40.27M,40.25M,70.93M,13.77M,57.16M,,0.08,,,0.0800,0.08,,0.08,,,0.0800,0.08,,490.43M,490.43M,0.0511,,AOR,Restated
2016-12,385.61M,385.61M,193.00M,192.62M,126.32M,126.32M,0.057M,,0.004M,,140.15M,52.47M,,0.004M,0.057M,0.004M,52.53M,14.52M,38.01M,,,38.01M,37.97M,66.30M,12.82M,52.47M,,0.0756,,,0.0755,0.0756,,0.0756,,,0.0755,0.0756,,490.09M,490.09M,0.0444,,AOR,Restated
2016-09,423.99M,423.99M,205.61M,218.39M,125.41M,125.41M,0.052M,,0.018M,,138.49M,79.90M,,0.018M,0.052M,0.018M,79.97M,30.32M,49.65M,,,49.65M,49.62M,92.98M,13.08M,79.90M,,0.1022,,,0.1022,0.1022,,0.1022,,,0.1022,0.1022,,490.59M,490.59M,0.0444,,AOR,Restated
2016-06,411.13M,411.13M,195.94M,215.19M,126.54M,126.54M,0.579M,,0.088M,,138.90M,76.30M,,0.088M,0.579M,0.088M,76.96M,29.18M,47.78M,,,47.78M,47.42M,88.64M,12.35M,76.30M,,0.0978,,,0.0970,0.0978,,0.0978,,,0.0970,0.0978,,491.48M,491.48M,0.0444,,AOR,Restated
2016-03,352.74M,352.74M,177.80M,174.93M,112.26M,112.26M,0.089M,,0.05M,,123.90M,51.04M,,0.05M,0.089M,0.05M,51.18M,19.25M,31.93M,,,31.93M,31.87M,62.68M,11.64M,51.04M,,0.0667,,,0.0666,0.0667,,0.0667,,,0.0666,0.0667,,492.04M,492.04M,0.0444,,AOR,Restated
2015-12,362.50M,362.50M,182.24M,180.26M,117.60M,117.60M,0.449M,,0.026M,,128.94M,51.32M,,0.026M,0.449M,0.026M,51.80M,20.05M,31.75M,,,31.75M,31.47M,62.66M,8.957M,51.32M,,0.0667,,,0.0661,0.0667,,0.0667,,,0.0661,0.0667,,491.81M,491.81M,0.0356,,AOR,Restated
2015-09,399.75M,399.75M,195.49M,204.26M,121.94M,121.94M,1.255M,,0.021M,,133.10M,71.16M,,0.021M,1.255M,0.021M,72.43M,27.39M,45.05M,,,45.05M,44.27M,82.31M,11.16M,71.16M,,0.0933,,,0.0917,0.0933,,0.0933,,,0.0917,0.0933,,491.84M,491.84M,0.0356,,AOR,Restated
2015-06,392.15M,392.15M,190.21M,201.94M,118.62M,118.62M,0.194M,,0.066M,,129.87M,72.07M,,0.066M,0.194M,0.066M,72.33M,27.26M,45.07M,,,45.07M,44.95M,83.32M,11.24M,72.07M,,0.0933,,,0.0931,0.0933,,0.0933,,,0.0931,0.0933,,491.88M,491.88M,0.0356,,AOR,Restated
2015-03,330.91M,330.91M,168.04M,162.87M,105.58M,105.58M,0.055M,,0.047M,,116.36M,46.51M,,0.047M,0.055M,0.047M,46.61M,16.33M,30.28M,,,30.28M,30.25M,57.29M,10.78M,46.51M,,0.0622,,,0.0622,0.0622,,0.0622,,,0.0622,0.0622,,491.72M,491.72M,0.0356,,AOR,Restated
2014-12,343.95M,343.95M,174.98M,168.97M,111.36M,111.36M,0.054M,,0.116M,,122.61M,46.36M,,0.116M,0.054M,0.116M,46.54M,16.62M,29.92M,,,29.92M,29.88M,57.62M,10.02M,46.36M,,0.0622,,,0.0622,0.0622,,0.0622,,,0.0622,0.0622,,491.14M,491.14M,0.0311,,AOR,Restated
2014-09,384.87M,384.87M,188.81M,196.06M,118.76M,118.76M,0.086M,,-0.024M,,130.20M,65.86M,,-0.024M,0.086M,-0.024M,65.92M,24.80M,41.12M,,,41.12M,41.07M,77.30M,11.44M,65.86M,,0.0844,,,0.0843,0.0844,,0.0844,,,0.0843,0.0844,,492.08M,492.08M,0.0311,,AOR,Restated
2014-06,369.36M,369.36M,182.64M,186.72M,110.75M,110.75M,0.23M,,0.086M,,121.36M,65.36M,,0.086M,0.23M,0.086M,65.67M,24.81M,40.86M,,,40.86M,40.72M,75.96M,10.61M,65.36M,,0.0844,,,0.0842,0.0844,,0.0844,,,0.0842,0.0844,,492.33M,492.33M,0.0311,,AOR,Restated
2014-03,313.39M,313.39M,161.31M,152.08M,100.83M,100.83M,0.248M,,0.076M,,111.05M,41.03M,,0.076M,0.248M,0.076M,41.36M,15.59M,25.77M,,,25.77M,25.61M,51.25M,10.21M,41.03M,,0.0533,,,0.0530,0.0533,,0.0533,,,0.0530,0.0533,,492.72M,492.72M,0.0311,,AOR,Restated
2013-12,324.71M,324.71M,167.36M,157.35M,106.61M,106.61M,,,0.112M,,116.44M,40.91M,,0.112M,,0.112M,41.19M,13.23M,27.96M,,,27.96M,27.96M,50.74M,9.566M,40.91M,,0.0563,,,0.0563,0.0563,,0.0563,,,0.0563,0.0563,,492.31M,492.31M,0.0267,,AOR,Restated
2013-09,362.16M,362.16M,181.14M,181.02M,113.03M,113.03M,,,0.101M,,123.10M,57.92M,,0.101M,,0.101M,58.02M,21.82M,36.20M,,,36.20M,36.20M,67.99M,10.08M,57.92M,,0.0741,,,0.0741,0.0741,,0.0741,,,0.0741,0.0741,,492.77M,492.77M,0.0267,,AOR,Restated
2013-06,350.80M,350.80M,174.36M,176.44M,109.52M,109.52M,,,0.127M,,119.29M,57.15M,,0.127M,,0.127M,57.28M,21.28M,35.99M,,,35.99M,35.99M,66.92M,9.768M,57.15M,,0.0741,,,0.0741,0.0741,,0.0741,,,0.0741,0.0741,,493.46M,493.46M,0.0267,,AOR,Restated
2013-03,299.71M,299.71M,155.61M,144.11M,99.13M,99.13M,,,0.045M,,109.03M,35.08M,,0.045M,,0.045M,35.12M,11.95M,23.18M,,,23.18M,23.18M,44.97M,9.894M,35.08M,,0.0474,,,0.0474,0.0474,,0.0474,,,0.0474,0.0474,,493.55M,493.55M,0.0267,,AOR,Restated
2012-12,306.39M,306.39M,163.02M,143.37M,99.08M,99.08M,,,0.076M,,108.89M,34.48M,,0.076M,,0.076M,35.03M,12.11M,22.91M,,,22.91M,22.91M,44.29M,9.229M,34.48M,,0.0474,,,0.0474,0.0474,,0.0474,,,0.0474,0.0474,,492.84M,492.84M,0.0237,,AOR,Restated
2012-09,340.18M,340.18M,170.48M,169.70M,108.52M,108.52M,,,-0.019M,,117.98M,51.72M,,-0.019M,,-0.019M,51.70M,19.49M,32.21M,,,32.21M,32.21M,61.18M,9.465M,51.72M,,0.0652,,,0.0652,0.0652,,0.0652,,,0.0652,0.0652,,492.95M,492.96M,0.0237,,AOR,Restated
2012-06,334.87M,334.87M,165.99M,168.88M,106.07M,106.07M,,,-0.02M,,115.68M,53.20M,,-0.02M,,-0.02M,53.18M,20.05M,33.13M,,,33.13M,33.13M,62.81M,9.613M,53.20M,,0.0681,,,0.0681,0.0681,,0.0681,,,0.0681,0.0681,,494.16M,494.19M,0.0237,,AOR,Restated
2012-03,289.46M,289.46M,148.08M,141.38M,94.82M,94.82M,,,-0.051M,,104.59M,36.79M,,-0.051M,,-0.051M,36.74M,13.66M,23.08M,,,23.08M,23.08M,46.56M,9.767M,36.79M,,0.0474,,,0.0474,0.0474,,0.0474,,,0.0474,0.0474,,495.10M,495.16M,0.0237,,AOR,Restated
2011-12,289.06M,289.06M,151.20M,137.85M,,93.06M,,,-0.059M,,102.74M,35.12M,,-0.059M,,-0.059M,34.65M,13.06M,21.60M,,,21.60M,21.60M,44.80M,9.678M,35.12M,,0.0444,,,0.0444,0.0444,,0.0444,,,0.0444,0.0444,,493.66M,493.77M,0.0207,,AOR,Restated
2011-09,323.93M,323.93M,165.10M,158.83M,,102.40M,,0.079M,-0.079M,,111.73M,47.10M,0.079M,-0.079M,,-0.079M,47.02M,17.60M,29.42M,,,29.42M,29.42M,56.44M,9.337M,47.10M,,0.0593,0.00,,0.0593,0.0593,,0.0593,0.00,,0.0593,0.0593,,494.60M,494.81M,0.0207,,AOR,Restated
2011-06,320.44M,320.44M,159.64M,160.79M,,101.76M,,0.178M,-0.178M,,111.04M,49.75M,0.178M,-0.178M,,-0.178M,49.57M,18.51M,31.06M,,,31.06M,31.06M,59.03M,9.288M,49.75M,,0.0622,0.00,,0.0622,0.0622,,0.0622,0.00,,0.0622,0.0622,,496.95M,497.18M,0.0207,,AOR,Restated
2011-03,271.64M,271.64M,140.90M,130.74M,,91.50M,,,-0.192M,,100.70M,30.05M,,-0.192M,,-0.192M,29.86M,11.22M,18.64M,,,18.64M,18.64M,39.25M,9.20M,30.05M,,0.0385,0.00,,0.0385,0.0385,,0.0385,0.00,,0.0385,0.0385,,497.72M,498.05M,0.0207,,AOR,Restated
2010-12,279.93M,279.93M,147.62M,132.31M,,92.50M,,,-0.172M,,101.87M,30.44M,,-0.172M,,-0.172M,30.14M,10.94M,19.21M,,,19.21M,19.21M,39.80M,9.365M,30.44M,,0.0385,,,0.0385,0.0385,,0.0385,,,0.0385,0.0385,,496.72M,497.12M,0.0178,,AOR,Restated
2010-09,305.12M,305.12M,156.06M,149.05M,,98.91M,,0.10M,-0.10M,,107.98M,41.07M,0.10M,-0.10M,,-0.10M,40.97M,15.46M,25.51M,,,25.51M,25.51M,50.14M,9.076M,41.07M,,0.0504,0.00,,0.0504,0.0504,,0.0504,0.00,,0.0504,0.0504,,498.09M,498.68M,0.0178,,AOR,Restated
2010-06,298.80M,298.80M,148.43M,150.38M,,96.96M,,,-0.066M,,105.93M,44.44M,,-0.066M,,-0.066M,44.38M,16.68M,27.70M,,,27.70M,27.70M,53.41M,8.967M,44.44M,,0.0563,0.00,,0.0563,0.0563,,0.0563,0.00,,0.0563,0.0563,,501.41M,502.19M,0.0178,,AOR,Restated
2010-03,253.04M,253.04M,130.98M,122.07M,,84.92M,,0.099M,-0.099M,,93.92M,28.15M,0.099M,-0.099M,,-0.099M,28.05M,10.47M,17.58M,,,17.58M,17.58M,37.15M,9.00M,28.15M,,0.0356,0.00,,0.0356,0.0356,,0.0356,0.00,,0.0356,0.0356,,502.23M,503.18M,0.0178,,AOR,Restated
2009-12,259.57M,259.57M,136.56M,123.00M,,88.56M,,,-0.118M,,97.60M,25.40M,,-0.118M,,-0.118M,22.34M,2.383M,19.96M,,,19.96M,19.96M,31.51M,9.045M,22.46M,,0.0395,0.00,,0.0395,0.0395,,0.0395,0.00,,0.0395,0.0395,,501.00M,502.33M,0.0138,,AOR,Restated
2009-09,286.85M,286.85M,147.44M,139.42M,,93.23M,,,-0.159M,0.03M,102.58M,36.83M,,-0.159M,,-0.159M,36.67M,13.94M,22.73M,,,22.73M,22.73M,46.15M,9.321M,36.83M,,0.0454,0.00,,0.0454,0.0454,,0.0454,0.00,,0.0454,0.0454,,501.82M,503.35M,0.0138,,AOR,Restated
2009-06,284.57M,284.57M,141.63M,142.93M,,91.81M,,,-0.259M,-0.018M,101.16M,41.77M,,-0.259M,,-0.259M,41.51M,16.03M,25.48M,,,25.48M,25.48M,51.15M,9.374M,41.77M,,0.0514,0.00,,0.0514,0.0514,,0.0514,0.00,,0.0514,0.0514,,504.13M,505.69M,0.0138,,AOR,Restated
2009-03,242.97M,242.97M,125.37M,117.60M,,81.99M,,0.428M,-0.428M,-0.005M,91.41M,26.19M,0.428M,-0.428M,,-0.428M,25.76M,9.953M,15.81M,,,15.81M,15.81M,35.62M,9.429M,26.19M,,0.0316,0.00,,0.0316,0.0316,,0.0316,0.00,,0.0316,0.0316,,507.02M,508.62M,0.0138,,AOR,Restated
2008-12,248.08M,248.08M,133.05M,115.03M,,84.12M,-0.023M,,,,93.22M,21.81M,,,-0.023M,,20.87M,8.321M,12.55M,,,12.55M,12.57M,31.07M,9.096M,21.98M,,0.0237,0.00,,0.0237,0.0237,,0.0237,0.00,,0.0237,0.0237,,532.68M,532.68M,0.0123,,AOR,Restated
2008-09,277.91M,277.91M,145.42M,132.50M,,91.44M,0.154M,,,,100.47M,32.02M,,,0.154M,,32.00M,12.20M,19.80M,,,19.80M,19.71M,41.06M,9.031M,32.02M,,0.0395,0.00,,0.0393,0.0395,,0.0395,0.00,,0.0393,0.0395,,502.37M,506.74M,0.0123,,,
2008-06,284.50M,284.50M,146.08M,138.42M,,92.03M,0.014M,,,,100.72M,37.71M,,,0.014M,,37.33M,14.59M,22.74M,,,22.74M,22.73M,46.39M,8.685M,37.71M,,0.0454,0.00,,0.0454,0.0454,,0.0454,0.00,,0.0454,0.0454,,503.06M,507.12M,0.0123,,,
2008-03,210.08M,210.08M,110.36M,99.72M,,70.76M,0.021M,,,,77.39M,22.33M,,,0.021M,,22.75M,8.907M,13.84M,,,13.84M,13.83M,28.96M,6.631M,22.33M,,0.0277,0.00,,0.0276,0.0277,,0.0277,0.00,,0.0276,0.0277,,503.15M,508.28M,0.0123,,,
2007-12,215.95M,215.95M,117.20M,98.76M,,74.63M,-0.061M,,,,81.22M,17.54M,,,-0.061M,,18.22M,6.29M,11.93M,,,11.93M,11.97M,24.12M,6.586M,17.54M,,0.0244,0.00,,0.0244,0.0244,,0.0237,0.00,,0.0238,0.0237,,505.49M,511.54M,0.0099,,,
2007-09,238.12M,238.12M,123.03M,115.09M,,78.15M,0.017M,,,,85.04M,30.05M,,,0.017M,,30.53M,11.77M,18.76M,,,18.76M,18.75M,36.93M,6.885M,30.05M,,0.0369,0.00,,0.0369,0.0369,,0.0369,0.00,,0.0369,0.0369,,505.80M,511.20M,0.0099,,,
2007-06,239.62M,239.62M,121.60M,118.02M,,76.79M,0.089M,,,,83.70M,34.32M,,,0.089M,,34.93M,13.69M,21.24M,,,21.24M,21.18M,41.23M,6.911M,34.32M,,0.0421,0.00,,0.0420,0.0421,,0.0408,0.00,,0.0407,0.0408,,508.61M,513.91M,0.0099,,,
2007-03,201.23M,201.23M,106.84M,94.40M,,67.04M,0.007M,,,,73.73M,20.67M,,,0.007M,,21.23M,8.435M,12.79M,,,12.79M,12.79M,27.36M,6.686M,20.67M,,0.0257,0.00,,0.0257,0.0257,,0.0257,0.00,,0.0257,0.0257,,511.22M,521.91M,0.0099,,,
2006-12,204.65M,204.65M,112.61M,92.04M,,69.24M,0.066M,,,,75.70M,16.34M,,,0.066M,,16.95M,6.407M,10.54M,,,10.54M,10.50M,22.80M,6.46M,16.34M,,0.0211,0.00,,0.0210,0.0211,,0.0198,0.00,,0.0197,0.0198,,509.60M,521.89M,0.0082,,,
2006-09,227.82M,227.82M,119.21M,108.61M,,74.47M,0.017M,,,,81.13M,27.48M,,,0.017M,,27.82M,10.79M,17.04M,,,17.04M,17.03M,34.14M,6.662M,27.48M,,0.0329,0.00,,0.0329,0.0329,,0.0329,0.00,,0.0329,0.0329,,509.30M,521.69M,0.0082,,,
2006-06,232.22M,232.22M,119.04M,113.19M,,74.37M,-0.002M,,,,81.31M,31.87M,,,-0.002M,,32.22M,12.89M,19.33M,,,19.33M,19.33M,38.82M,6.945M,31.87M,,0.0382,0.00,,0.0382,0.0382,,0.0369,0.00,,0.0369,0.0369,,513.00M,525.81M,0.0082,,,
2006-03,194.19M,194.19M,107.01M,87.17M,,62.50M,,,,,69.29M,17.88M,,,,,18.17M,7.269M,10.90M,,,10.90M,10.90M,24.67M,6.793M,17.88M,,0.0211,0.00,,0.0211,0.0211,,0.0211,0.00,,0.0211,0.0211,,513.91M,528.40M,0.0082,,,
2005-12,194.83M,194.83M,121.53M,73.30M,,55.93M,0.438M,,,,62.40M,10.90M,,,0.438M,,11.62M,4.264M,7.352M,,,7.352M,7.075M,17.37M,6.472M,10.90M,,0.0145,0.00,,0.0139,0.0145,,0.0145,0.00,,0.0140,0.0145,,513.30M,523.59M,0.0066,,,
2005-09,209.35M,209.35M,106.40M,102.95M,,72.26M,,,,,78.06M,24.89M,,,,,25.38M,10.28M,15.10M,,,15.10M,15.10M,30.69M,5.80M,24.89M,,0.0290,0.00,,0.0290,0.0290,,0.0290,0.00,,0.0290,0.0290,,517.26M,531.88M,0.0066,,,
2005-06,214.33M,214.33M,114.29M,100.03M,,67.59M,4.722M,,,,73.64M,26.39M,,,4.722M,,31.47M,12.74M,18.72M,,,18.72M,15.89M,32.44M,6.045M,26.39M,,0.0369,0.00,,0.0314,0.0369,,0.0356,0.00,,0.0302,0.0356,,515.90M,531.78M,0.0066,,,
2005-03,183.92M,183.92M,100.25M,83.67M,,58.67M,-0.003M,,,,64.63M,19.03M,,,-0.003M,,19.49M,7.896M,11.60M,,,11.60M,11.60M,25.00M,5.963M,19.03M,,0.0224,0.00,,0.0224,0.0224,,0.0224,0.00,,0.0224,0.0224,,515.93M,532.04M,0.0066,,,
2004-12,183.82M,183.82M,99.75M,84.07M,,65.48M,10.26M,,,,71.85M,12.22M,,,10.26M,,22.59M,8.721M,13.87M,,0.00,13.87M,7.571M,18.59M,6.364M,12.22M,,0.0270,0.00,0.00,0.0151,0.0270,,0.0257,0.00,0.0001,0.0143,0.0257,,529.38M,553.99M,0.0053,,,
2004-09,203.92M,203.92M,105.04M,98.89M,,70.08M,0.315M,,,,76.33M,22.56M,,,0.315M,,22.94M,9.311M,13.63M,,,13.63M,13.44M,28.81M,6.249M,22.56M,,0.0263,0.00,,0.0260,0.0263,,0.0250,0.00,,0.0247,0.0250,,518.08M,533.06M,0.0053,,,
2004-06,207.70M,207.70M,105.44M,102.26M,,69.16M,14.14M,,,,74.92M,27.34M,,,14.14M,,41.53M,17.72M,23.81M,,,23.81M,15.32M,33.10M,5.764M,27.34M,,0.0457,0.00,,0.0293,0.0457,,0.0448,0.00,,0.0288,0.0448,,518.87M,532.55M,0.0053,,,
2004-03,160.42M,160.42M,86.54M,73.87M,,52.77M,-0.001M,,,,57.42M,16.45M,,,-0.001M,,16.60M,6.732M,9.866M,,-6.204M,3.662M,9.867M,21.11M,4.657M,16.45M,,0.0198,-0.0119,0.00,0.0198,0.0079,,0.0184,-0.0119,-0.0120,0.0184,0.0066,,515.97M,531.29M,0.0053,,,
2003-12,158.52M,158.52M,86.71M,71.82M,,58.61M,,,,,63.53M,8.281M,,,,,10.13M,5.308M,4.825M,,,4.825M,4.825M,13.20M,4.921M,8.281M,,0.0092,0.00,,0.0092,0.0092,,0.0083,0.00,,0.0083,0.0083,,514.06M,527.55M,0.0044,,,
2003-09,178.26M,178.26M,96.08M,82.18M,,61.43M,,,,,66.49M,15.69M,,,,,15.81M,6.006M,9.80M,,,9.80M,9.80M,20.75M,5.065M,15.69M,,0.0193,0.00,,0.0193,0.0193,,0.0184,0.00,,0.0184,0.0184,,513.89M,523.90M,0.0044,,,
2003-06,185.10M,185.10M,95.55M,89.56M,,62.25M,,,,,67.29M,22.26M,,,,,22.36M,8.497M,13.86M,,,13.86M,13.86M,27.30M,5.037M,22.26M,,0.0272,0.00,,0.0272,0.0272,,0.0263,0.00,,0.0263,0.0263,,513.91M,528.57M,0.0044,,,
2003-03,155.12M,155.12M,84.08M,71.04M,,54.22M,,,,,59.38M,11.67M,,,,,11.73M,4.458M,7.274M,,,7.274M,7.274M,16.82M,5.156M,11.67M,,0.0140,0.00,,0.0140,0.0140,,0.0138,0.00,,0.0138,0.0138,,511.58M,525.23M,0.0044,,,
2002-12,153.87M,153.87M,86.07M,67.80M,,56.53M,,,,,61.86M,5.938M,,,,,6.009M,2.284M,3.725M,,,3.725M,3.725M,11.28M,5.337M,5.938M,,0.0070,0.00,,0.0070,0.0070,,0.0070,0.00,,0.0070,0.0070,,510.08M,518.16M,0.0029,,,
2002-09,174.06M,174.06M,94.40M,79.66M,,63.48M,,,,,68.90M,10.76M,,,,,10.89M,4.139M,6.754M,,,6.754M,6.754M,16.18M,5.425M,10.76M,,0.0132,0.00,,0.0132,0.0132,,0.0132,0.00,,0.0132,0.0132,,511.27M,513.92M,0.0029,,,
2002-06,184.19M,184.19M,97.20M,86.98M,,62.72M,,,,,68.17M,18.82M,,,,,18.86M,7.166M,11.69M,,,11.69M,11.69M,24.26M,5.446M,18.82M,,0.0229,0.00,,0.0229,0.0229,,0.0229,0.00,,0.0229,0.0229,,514.40M,517.98M,0.0029,,,
2002-03,153.30M,153.30M,84.02M,69.28M,,55.84M,,,,,61.26M,8.016M,,,,,7.967M,3.027M,4.94M,,,4.94M,4.94M,13.44M,5.427M,8.016M,,0.0094,0.00,,0.0094,0.0094,,0.0094,0.00,,0.0094,0.0094,,514.29M,517.63M,0.0029,,,
