,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.934B,1.934B,1.692B,242.10M,93.60M,,,58.50M,9.10M,-49.40M,67.80M,161.40M,80.70M,9.10M,58.50M,-49.40M,-37.80M,-49.40M,-6.50M,-49.90M,40.10M,,,2.20M,,42.30M,65.81M,269.50M,217.50M,52.00M,0.11,,,,0.1714,0.11,0.11,,,,0.1712,0.11,382.60M,384.10M,0.025
2017-12,2.092B,2.092B,1.812B,280.10M,83.10M,,,50.90M,11.20M,-39.70M,69.90M,153.00M,127.10M,11.20M,50.90M,-39.70M,-28.20M,-39.70M,59.20M,490.20M,-429.80M,,,-1.30M,,-431.10M,-415.08M,282.10M,172.00M,110.10M,-1.23,,,,-1.1840000000000002,-1.23,-1.23,,,,-1.1840000000000002,-1.23,350.90M,350.90M,0.025
2017-09,1.985B,1.985B,1.744B,240.80M,66.10M,,,43.20M,7.00M,-36.20M,-39.20M,26.90M,213.90M,7.00M,43.20M,-36.20M,59.70M,-36.20M,237.40M,17.60M,229.60M,,,-2.10M,,227.50M,173.24M,449.40M,168.80M,280.60M,0.65,,,,0.4954,0.65,0.65,,,,0.4959,0.65,351.10M,352.20M,0.15
2017-06,1.755B,1.755B,1.562B,192.30M,71.20M,,,44.30M,7.90M,-36.40M,26.50M,97.70M,94.60M,7.90M,44.30M,-36.40M,10.50M,-36.40M,68.70M,-22.60M,97.10M,,,0.20M,,97.30M,91.84M,278.90M,165.90M,113.00M,0.28,,,,0.2644,0.28,0.28,,,,0.2645,0.28,351.00M,352.00M,0.15
2017-03,1.578B,1.578B,1.448B,129.60M,80.90M,,,32.90M,7.10M,-25.80M,18.60M,99.50M,30.10M,7.10M,32.90M,-25.80M,4.40M,-25.80M,8.70M,9.70M,-1.10M,,,0.20M,,-0.90M,-6.24M,200.40M,158.80M,41.60M,-0.0026,,,,-0.0178,-0.0026,-0.0026,,,,-0.0178,-0.0026,350.50M,350.50M,0.275
2016-12,1.862B,1.862B,1.656B,205.90M,74.60M,,,36.30M,9.10M,-27.20M,57.70M,132.30M,73.60M,9.10M,36.30M,-27.20M,-34.70M,-27.20M,11.70M,-5.50M,14.60M,,,-2.70M,,11.90M,29.96M,213.50M,165.50M,48.00M,0.03,,,,0.0815,0.03,0.03,,,,0.0814,0.03,350.40M,351.70M,0.275
2016-09,1.952B,1.952B,1.739B,213.30M,66.90M,,,33.70M,8.20M,-25.50M,76.70M,143.60M,69.70M,8.20M,33.70M,-25.50M,-31.90M,-25.50M,12.30M,-30.10M,40.70M,,,-1.50M,,39.20M,58.64M,218.70M,172.70M,46.00M,0.11,,,,0.1655,0.11,0.11,,,,0.1653,0.11,350.10M,351.50M,0.275
2016-06,1.675B,1.675B,1.521B,154.00M,72.90M,,,38.90M,5.40M,-33.50M,68.80M,141.70M,12.30M,5.40M,38.90M,-33.50M,14.00M,-33.50M,-7.20M,-9.80M,-11.10M,,,0.90M,,-10.20M,-19.02M,221.00M,189.30M,31.70M,-0.03,,,,-0.0552,-0.03,-0.03,,,,-0.0552,-0.03,349.80M,349.80M,0.275
2016-03,1.674B,1.674B,1.437B,236.70M,89.80M,,,31.80M,5.70M,-26.10M,-16.50M,73.30M,163.40M,5.70M,31.80M,-26.10M,88.40M,-26.10M,225.70M,-28.70M,256.90M,,,-0.10M,,256.80M,204.12M,441.20M,183.70M,257.50M,0.73,,,,0.58,0.73,0.73,,,,0.5808,0.73,351.30M,353.20M,0.275
2015-12,2.163B,2.163B,1.808B,355.50M,94.90M,,,31.70M,12.90M,-18.80M,56.30M,151.20M,204.30M,12.90M,31.70M,-18.80M,-43.80M,-18.80M,141.70M,-14.30M,155.50M,,,-0.50M,,155.00M,179.66M,358.40M,185.00M,173.40M,0.44,,,,0.51,0.44,0.44,,,,0.5096,0.44,352.50M,354.30M,0.275
2015-09,2.106B,2.106B,1.770B,335.30M,76.60M,,,35.30M,11.10M,-24.20M,12.70M,89.30M,246.00M,11.10M,35.30M,-24.20M,-49.70M,-24.20M,172.10M,10.10M,160.70M,,,-0.70M,,160.00M,205.73M,388.30M,180.90M,207.40M,0.45,,,,0.5791,0.45,0.45,,,,0.5785,0.45,354.30M,356.00M,0.275
2015-06,2.488B,2.488B,1.880B,607.90M,89.30M,,,31.80M,8.30M,-23.50M,8.60M,97.90M,510.00M,8.30M,31.80M,-23.50M,-23.80M,-23.50M,462.70M,72.60M,391.00M,,,-0.40M,,390.60M,404.09M,685.60M,191.10M,494.50M,1.08,,,,1.117,1.08,1.08,,,,1.117,1.08,361.30M,363.30M,0.275
2015-03,2.139B,2.139B,1.720B,419.20M,100.40M,,,34.80M,3.50M,-31.30M,0.30M,100.70M,318.50M,3.50M,34.80M,-31.30M,39.50M,-31.30M,326.70M,30.70M,294.60M,,,0.20M,,294.80M,253.94M,544.30M,182.80M,361.50M,0.81,,,,0.6984,0.81,0.8,,,,0.6889,0.8,366.00M,367.90M,0.25
2014-12,2.379B,2.379B,1.800B,579.10M,91.10M,,-68.10M,35.80M,4.80M,-31.00M,55.30M,146.40M,432.70M,4.80M,35.80M,-31.00M,-20.50M,-31.00M,381.20M,27.00M,361.60M,,,-0.90M,,360.70M,380.03M,609.70M,192.70M,417.00M,0.96,,,,1.012,0.96,0.96,,,,1.012,0.96,369.90M,371.40M,0.25
2014-09,2.251B,2.251B,1.836B,414.70M,83.90M,,-35.30M,31.40M,6.20M,-25.20M,18.20M,102.10M,312.60M,6.20M,31.40M,-25.20M,-2.80M,-25.20M,284.60M,77.60M,202.90M,,,-1.00M,,201.90M,207.86M,505.50M,189.50M,316.00M,0.54,,,,0.5559,0.54,0.54,,,,0.5559,0.54,374.00M,375.90M,0.25
2014-06,2.440B,2.440B,1.919B,521.10M,87.50M,,,30.60M,6.00M,-24.60M,30.40M,117.90M,403.20M,6.00M,30.60M,-24.60M,-45.50M,-24.60M,333.10M,82.70M,248.20M,,,0.20M,,248.40M,277.50M,558.10M,194.40M,363.70M,0.65,,,,0.7278,0.65,0.64,,,,0.7174,0.64,374.20M,376.20M,0.25
2014-03,1.986B,1.986B,1.575B,411.60M,120.00M,,,31.10M,4.40M,-26.70M,25.00M,145.00M,266.60M,4.40M,31.10M,-26.70M,-21.50M,-26.70M,218.40M,-2.60M,217.70M,,,-0.20M,,217.50M,189.29M,423.80M,174.30M,249.50M,0.54,,,,0.4654,0.54,0.54,,,,0.4657,0.54,378.20M,379.60M,0.25
2013-09,1.909B,1.909B,1.522B,386.90M,94.40M,,-122.80M,1.70M,3.50M,1.80M,25.60M,120.00M,266.90M,3.50M,1.70M,1.80M,-152.00M,1.80M,116.70M,-6.60M,125.80M,,,-1.40M,,124.40M,223.46M,284.50M,166.10M,118.40M,0.29,,,,0.5226,0.29,0.29,,,,0.5219,0.29,425.90M,427.10M,0.25
2013-05,2.692B,2.692B,1.924B,768.60M,122.40M,,,0.00,4.90M,4.90M,25.50M,147.90M,620.70M,4.90M,0.00,4.90M,0.00,4.90M,625.60M,146.90M,485.40M,,,0.50M,,485.90M,488.12M,793.40M,167.80M,625.60M,1.141,,,,1.146,1.141,1.14,,,,1.145,1.14,426.00M,427.20M,0.25
2013-02,2.241B,2.241B,1.672B,568.40M,90.40M,,,0.00,3.60M,3.60M,58.90M,149.30M,419.10M,3.60M,0.00,3.60M,31.90M,3.60M,454.60M,108.90M,345.40M,,,-0.80M,,344.60M,320.05M,606.80M,152.20M,454.60M,0.81,,,,0.7523,0.81,0.81,,,,0.7525,0.81,425.70M,427.10M,0.25
2012-11,2.536B,2.536B,1.860B,675.90M,102.80M,,-13.00M,,4.40M,4.40M,,102.80M,573.10M,4.40M,,4.40M,-30.00M,4.40M,547.50M,-78.10M,630.30M,,,-1.50M,,628.80M,648.30M,720.50M,147.40M,573.10M,1.48,0.0,,,1.526,1.48,1.47,0.0,,,1.516,1.47,425.70M,427.00M,0.25
2012-08,2.505B,2.505B,1.758B,747.30M,111.70M,,-1.00M,0.00,5.90M,5.90M,25.40M,137.10M,610.20M,5.90M,0.00,5.90M,-29.30M,5.90M,586.80M,163.30M,430.70M,,,-1.30M,,429.40M,450.55M,724.20M,137.40M,586.80M,1.01,0.0,,,1.06,1.01,1.01,0.0,,,1.06,1.01,425.50M,426.70M,0.25
2012-05,2.820B,2.820B,1.987B,833.80M,117.10M,,,1.40M,6.80M,5.40M,45.90M,163.00M,670.80M,6.80M,1.40M,5.40M,12.90M,5.40M,689.10M,188.60M,506.90M,,,0.40M,,507.30M,498.95M,830.20M,139.70M,690.50M,1.192,,,,1.173,1.192,1.19,0.0,,,1.17,1.19,425.30M,426.60M,0.125
2012-02,2.190B,2.190B,1.668B,521.80M,91.30M,,,0.00,4.10M,4.10M,16.80M,108.10M,413.70M,4.10M,0.00,4.10M,-63.10M,4.10M,354.70M,87.00M,271.90M,,,1.40M,,273.30M,306.52M,482.60M,127.90M,354.70M,0.64,,,,0.7181,0.64,0.64,,,,0.7179,0.64,425.40M,426.70M,0.05
2011-11,3.014B,3.014B,2.133B,881.20M,100.60M,,15.60M,,4.10M,4.10M,,100.60M,780.60M,4.10M,,4.10M,70.70M,4.10M,855.40M,230.70M,625.60M,,,-2.00M,,623.60M,571.97M,900.80M,120.20M,780.60M,1.41,0.0,,,1.294,1.41,1.4,0.0,,,1.284,1.4,443.40M,444.70M,0.05
2011-08,3.083B,3.083B,2.235B,848.20M,101.10M,,0.70M,0.00,5.10M,5.10M,17.50M,118.60M,729.60M,5.10M,0.00,5.10M,-5.00M,5.10M,729.70M,205.10M,526.40M,,,-0.40M,,526.00M,529.59M,850.00M,120.30M,729.70M,1.18,0.0,,,1.188,1.18,1.17,0.0,,,1.178,1.17,446.60M,447.90M,0.05
2011-05,2.860B,2.860B,1.865B,995.20M,111.50M,,17.00M,0.00,7.70M,7.70M,58.80M,170.30M,824.90M,7.70M,0.00,7.70M,4.20M,7.70M,836.80M,186.00M,645.20M,,,4.00M,,649.20M,632.63M,959.70M,122.90M,836.80M,1.46,,,,1.423,1.46,1.45,,,,1.413,1.45,446.60M,448.10M,0.05
2011-02,2.214B,2.214B,1.361B,853.60M,83.60M,,-16.10M,4.80M,4.60M,-0.20M,-0.80M,82.80M,770.80M,4.60M,4.80M,-0.20M,-47.80M,-0.20M,722.80M,175.90M,542.60M,,,-0.50M,,542.10M,578.27M,841.70M,114.10M,727.60M,1.21,0.0,,,1.291,1.21,1.21,0.0,,,1.291,1.21,446.30M,447.70M,0.05
2010-11,2.675B,2.675B,1.906B,768.30M,89.30M,,-0.30M,10.40M,4.80M,-5.60M,20.80M,110.10M,658.20M,4.80M,10.40M,-5.60M,654.40M,-5.60M,1.307B,281.30M,1.027B,,,-1.20M,,1.026B,1.050B,1.423B,105.70M,1.317B,2.3,0.0,,,2.355,2.3,2.29,0.0,,,2.345,2.29,445.80M,447.30M,0.05
2010-08,2.188B,2.188B,1.684B,504.70M,88.10M,,-0.60M,12.40M,5.40M,-7.00M,6.30M,94.40M,410.30M,5.40M,12.40M,-7.00M,1.40M,-7.00M,404.70M,109.60M,298.90M,,,-1.20M,,297.70M,296.68M,521.80M,104.70M,417.10M,0.67,0.0,,,0.6677,0.67,0.67,0.0,,,0.6677,0.67,445.50M,446.90M,0.05
2010-05,1.860B,1.860B,1.173B,687.60M,113.70M,,-68.00M,16.60M,3.80M,-12.80M,,77.80M,609.80M,3.80M,16.60M,-12.80M,-68.60M,-12.80M,528.40M,138.80M,396.50M,,,-0.40M,,396.10M,446.68M,657.40M,112.40M,545.00M,0.89,0.0,,,1.003,0.89,0.88,0.0,,,0.9932,0.88,445.70M,446.90M,0.05
2010-02,1.732B,1.732B,1.255B,476.50M,82.30M,,0.70M,14.30M,4.30M,-10.00M,5.30M,87.60M,388.90M,4.30M,14.30M,-10.00M,-21.60M,-10.00M,357.30M,125.30M,223.50M,,,-0.90M,,222.60M,236.63M,473.20M,101.60M,371.60M,0.5,0.0,,,0.5315,0.5,0.5,0.0,,,0.5314,0.5,445.20M,446.80M,0.05
2009-11,1.710B,1.710B,1.403B,307.00M,82.90M,,5.60M,16.00M,4.10M,-11.90M,24.00M,106.90M,200.10M,4.10M,16.00M,-11.90M,-17.00M,-11.90M,171.20M,50.40M,109.00M,,,-1.20M,,107.80M,119.80M,326.10M,138.90M,187.20M,0.24,0.0,,,0.267,0.24,0.24,0.0,,,0.2669,0.24,445.00M,446.50M,0.05
2009-08,1.457B,1.457B,1.235B,222.20M,81.40M,,0.40M,18.80M,3.90M,-14.90M,6.60M,88.00M,134.20M,3.90M,18.80M,-14.90M,13.50M,-14.90M,132.80M,32.80M,102.50M,,,-1.90M,,100.60M,90.43M,243.70M,92.10M,151.60M,0.23,0.0,,,0.2071,0.23,0.23,0.0,,,0.2072,0.23,444.60M,446.30M,0.05
2009-05,1.594B,1.594B,1.389B,204.10M,83.30M,,178.70M,21.80M,5.60M,-16.20M,-5.50M,77.80M,126.30M,5.60M,21.80M,-16.20M,1.394B,-16.20M,792.20M,-330.30M,148.50M,,,-1.60M,,146.90M,30.74M,907.00M,93.00M,814.00M,0.33,0.0,,,0.0687,0.33,0.33,0.0,,,0.0697,0.33,444.60M,446.20M,0.05
2009-02,1.376B,1.376B,1.235B,140.30M,71.30M,,-47.30M,19.60M,11.40M,-8.20M,25.30M,96.60M,43.70M,11.40M,19.60M,-8.20M,-47.30M,-8.20M,52.10M,30.70M,58.10M,,,0.70M,,58.80M,89.54M,162.10M,90.40M,71.70M,0.13,0.0,,,0.1992,0.13,0.13,0.0,,,0.199,0.13,444.40M,445.80M,0.05
2008-11,3.006B,3.006B,2.233B,773.70M,76.80M,,-36.70M,23.70M,23.70M,0.00,14.90M,91.70M,682.00M,23.70M,23.70M,0.00,-710.10M,0.00,932.60M,451.20M,961.30M,,,-1.50M,,959.80M,983.66M,1.046B,89.40M,956.30M,2.16,0.0,,,2.214,2.16,2.15,0.0,,,2.2030000000000003,2.15,444.30M,446.10M,0.05
2008-08,4.322B,4.322B,2.674B,1.649B,90.00M,,88.20M,25.10M,14.50M,-10.60M,9.70M,99.70M,1.549B,14.50M,25.10M,-10.60M,88.20M,-10.60M,1.129B,497.70M,1.189B,,,-3.90M,,1.185B,1.127B,1.242B,87.70M,1.154B,2.67,0.0,,,2.541,2.67,2.65,0.0,,,2.522,2.65,444.10M,446.50M,0.05
2008-05,3.467B,3.467B,2.179B,1.288B,96.20M,,95.00M,,,,20.90M,117.10M,1.171B,,,,6.80M,,1.183B,354.00M,871.20M,,,-1.90M,,862.50M,795.94M,1.170B,,1.170B,1.94,0.0,,,1.79,1.94,1.93,0.0,,,1.781,1.93,443.90M,447.50M,
2008-02,2.147B,2.147B,1.419B,727.90M,81.20M,,28.70M,,,,0.10M,81.30M,646.60M,,,,59.60M,,650.70M,159.20M,520.80M,,,-1.60M,,520.80M,499.12M,646.60M,,646.60M,1.17,0.0,,,1.121,1.17,1.17,0.0,,,1.121,1.17,443.30M,446.10M,
2007-11,2.195B,2.195B,1.572B,623.10M,83.20M,,-61.50M,,,,,83.20M,539.90M,,,,-16.00M,,452.90M,100.90M,394.00M,,,-3.50M,,394.00M,441.80M,539.90M,,539.90M,0.89,0.0,,,0.9981,0.89,0.89,0.0,,,0.9974,0.89,442.30M,445.00M,
2007-08,2.003B,2.003B,1.482B,521.80M,72.20M,,-19.40M,,,,,72.20M,449.60M,,,,-7.60M,,396.20M,100.80M,305.50M,,,-1.70M,,305.50M,319.96M,449.60M,,449.60M,0.69,0.0,,,0.7228,0.69,0.69,0.0,,,0.7226,0.69,441.40M,444.30M,
2007-05,1.684B,1.684B,1.228B,456.20M,95.90M,,-72.90M,,,,2.20M,98.10M,358.10M,,,,-56.40M,,272.40M,85.30M,202.60M,,,-1.00M,,202.60M,252.67M,358.10M,,358.10M,0.47,0.0,,,0.5837,0.47,0.46,0.0,,,0.5729,0.46,440.30M,443.60M,
2007-02,1.279B,1.279B,1.166B,113.10M,77.80M,,58.00M,,,,1.10M,78.90M,34.20M,,,,63.50M,,43.70M,6.60M,42.20M,,,-0.40M,,42.20M,-7.040M,34.20M,,34.20M,0.1,0.0,,,-0.012,0.1,0.1,0.0,,,-0.0117,0.1,439.50M,440.90M,
2006-11,1.522B,1.522B,1.362B,160.50M,70.40M,,27.10M,,,,-0.60M,69.80M,90.70M,,,,42.50M,,75.60M,24.10M,65.90M,,,-1.00M,,65.90M,47.44M,90.70M,,90.70M,0.15,0.0,,,0.1079,0.15,0.15,0.0,,,0.108,0.15,438.10M,439.40M,
2006-08,1.289B,1.289B,1.092B,196.30M,65.70M,,26.80M,,,,-0.60M,65.10M,131.20M,,,,30.70M,,114.00M,7.40M,109.00M,,,-1.50M,,109.00M,83.94M,131.20M,,131.20M,0.26,0.0,,,0.2003,0.26,0.25,0.0,,,0.1928,0.25,419.50M,438.10M,
2006-05,1.332B,1.332B,1.165B,166.20M,54.60M,,-345.30M,,,,5.10M,59.70M,106.50M,,,,-325.90M,,-261.50M,-61.20M,-180.90M,,,0.00,3.40M,-180.90M,83.59M,106.50M,,106.50M,-0.49,0.0,,,0.2031,-0.49,-0.49,0.0,,,0.1148,-0.49,381.60M,437.31M,
2006-02,1.073B,1.073B,1.059B,14.00M,61.80M,,-8.70M,,,,-3.40M,58.40M,-44.40M,,,,-6.70M,,-100.70M,-27.20M,-71.60M,,,-0.10M,2.60M,-71.60M,-65.25M,-44.40M,,-44.40M,-0.19,0.0,,,-0.1734,-0.19,-0.19,0.0,,,-0.1734,-0.19,383.60M,383.60M,
2005-11,1.498B,1.498B,1.289B,208.40M,68.00M,,-11.00M,,,,1.10M,69.10M,139.30M,,,,1.90M,,86.50M,42.30M,55.00M,,,-2.10M,,55.00M,61.60M,139.30M,,139.30M,0.14,0.0,,,0.1573,0.14,0.13,0.0,,,0.1452,0.13,381.10M,434.50M,
2005-08,1.404B,1.404B,1.155B,248.80M,57.00M,,-37.90M,,,,-0.20M,56.80M,192.00M,,,,-23.70M,,115.60M,51.50M,76.10M,,,-2.20M,,76.10M,98.84M,252.50M,60.50M,192.00M,0.19,0.0,,,0.2498,0.19,0.18,0.0,,,0.2324,0.18,380.00M,433.90M,
2005-05,1.450B,1.450B,1.204B,245.60M,65.80M,,-116.40M,,,,,69.10M,176.50M,,,,-105.10M,,140.30M,54.10M,94.10M,,0.00,-3.40M,,94.10M,165.62M,176.50M,,176.50M,0.26,0.0,0.0,,0.4485,0.26,0.25,0.0,0.0003,,0.4155,0.25,379.40M,432.10M,
2005-02,1.144B,1.144B,1.008B,136.50M,64.80M,,30.50M,,,,-1.00M,63.80M,72.70M,,,,49.50M,,57.90M,38.50M,38.80M,,,0.40M,,38.80M,20.50M,72.70M,,72.70M,0.1,0.0,,,0.0516,0.1,0.09,0.0,,,0.0477,0.09,377.90M,432.80M,
2004-11,1.078B,1.078B,1.016B,61.20M,45.40M,,-22.20M,,,,3.50M,48.90M,12.30M,,,,-6.40M,,-31.40M,-7.90M,-8.40M,,,-0.70M,,-8.40M,8.215M,12.30M,,12.30M,-0.03,0.0,,,0.0245,-0.03,-0.03,0.0,,,0.0245,-0.03,304.70M,304.70M,
2004-09,612.20M,612.20M,621.40M,-9.20M,17.60M,,-23.00M,,,,,17.60M,-26.80M,,,,-23.00M,,-73.50M,-6.70M,-66.80M,,,24.20M,,-66.80M,-45.90M,14.50M,41.30M,-26.80M,-0.6,0.0,,,-0.4185,-0.6,-0.6,0.0,,,-0.4185,-0.6,115.20M,115.20M,
2004-06,748.80M,748.80M,620.50M,128.30M,20.10M,,5.60M,,,,,20.10M,108.20M,,,,5.60M,,70.80M,28.10M,42.70M,,,4.30M,,42.70M,39.32M,153.80M,45.60M,108.20M,0.35,0.0,,,0.3206,0.35,0.32,0.0,,,0.2948,0.32,115.00M,134.20M,
2004-03,584.20M,584.20M,505.40M,78.80M,16.80M,,-4.20M,,,,,16.80M,62.00M,,,,-4.20M,,19.20M,7.60M,11.60M,-2.40M,,8.50M,,9.20M,14.14M,107.50M,45.50M,62.00M,0.08,-0.02,,,0.1021,0.06,0.08,-0.02,,,0.1019,0.06,114.90M,116.00M,
2003-12,604.10M,604.10M,546.90M,57.20M,17.90M,,4.10M,,,,-14.80M,3.10M,54.10M,,,,4.10M,,-148.10M,-0.20M,0.10M,-63.90M,0.00,3.40M,,-63.80M,-3.994M,98.90M,44.80M,54.10M,-0.02,-0.56,0.0,,-0.0556,-0.58,-0.02,-0.56,0.0,,-0.0556,-0.58,115.10M,115.10M,
2003-09,495.70M,495.70M,451.60M,44.10M,21.30M,,-24.90M,,,,,21.30M,22.80M,,,,-24.90M,,-41.40M,-13.30M,-28.10M,,,7.60M,,-28.10M,-11.20M,65.70M,42.90M,22.80M,-0.27,0.0,,,-0.1228,-0.27,-0.27,0.0,,,-0.1228,-0.27,114.80M,114.80M,
2003-06,538.70M,538.70M,494.90M,43.80M,22.10M,,27.20M,,,,-16.50M,5.60M,38.20M,,,,27.20M,,14.00M,-8.10M,22.10M,-29.00M,,11.10M,,-6.90M,5.78M,81.30M,43.10M,38.20M,0.19,-0.25,,,0.0478,-0.06,0.19,-0.25,,,0.0486,-0.06,114.80M,115.40M,
2003-03,552.10M,552.10M,516.00M,36.10M,18.30M,,-30.10M,,,,,18.30M,17.80M,,,,-30.10M,,-46.60M,-14.90M,-31.70M,,-4.90M,11.60M,,-36.60M,-11.22M,58.90M,41.10M,17.80M,-0.28,-0.04,0.0,,-0.1015,-0.32,-0.28,-0.04,-0.0427,,-0.1015,-0.32,114.70M,114.70M,
