,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-12,155.50M,,8.40M,,6.80M,1.30M,16.50M,,,,185.00M,102.60M,0.00,,5.40M,,8.90M,-1.60M,-10.90M,,-106.80M,150.90M,,12.10M,43.70M,,517.60M,-298.10M,,,-102.10M,,630.70M,230.50M,-2.40M,7.00M,4.60M,,-0.10M,-0.10M,-96.90M,-96.90M,-5.30M,233.10M,135.40M,1.285B,883.50M,-31.40M,2.137B,,76.00M,-71.40M,-0.10M,-186.50M,-68.10M
2015-09,160.70M,,18.20M,,12.70M,2.70M,33.60M,,,,180.90M,-55.70M,7.90M,,2.00M,,5.60M,-104.40M,-73.40M,,128.00M,-82.40M,,-14.30M,-146.50M,,188.50M,-245.30M,,,54.40M,,-631.70M,-822.60M,-53.90M,-8.20M,-62.10M,,-74.90M,-74.90M,-98.30M,-98.30M,1.10M,103.20M,-131.00M,2.210B,-765.10M,-159.90M,1.285B,,146.10M,-208.20M,-74.90M,48.50M,4.80M
2015-06,391.00M,,,,-31.50M,22.60M,-8.90M,,,,191.10M,32.00M,0.00,,29.30M,,18.90M,37.30M,-77.90M,,83.40M,-114.60M,,21.70M,-50.10M,,603.30M,-227.40M,,,-122.00M,,6.00M,-343.40M,2.00M,17.00M,19.00M,,-500.10M,-500.10M,-98.10M,-98.10M,1.30M,-19.50M,-597.40M,2.517B,-337.50M,30.00M,2.210B,,132.90M,-113.90M,-500.10M,91.60M,58.90M
2015-03,294.60M,,,,45.40M,1.40M,46.80M,,,,182.80M,-31.50M,,,4.60M,,11.90M,8.00M,108.50M,,157.40M,-36.50M,,-17.70M,219.70M,,728.90M,-229.50M,,,44.90M,,1.70M,-182.90M,-0.60M,-3.30M,-3.90M,,-134.40M,-134.40M,-91.40M,-91.40M,2.90M,-73.60M,-300.40M,2.375B,245.60M,-102.80M,2.517B,,29.40M,-33.30M,-134.40M,46.40M,4.40M
2014-12,361.60M,26.10M,-17.40M,,40.10M,-6.40M,42.40M,,,,192.70M,-56.40M,,,5.10M,,80.20M,-162.50M,-168.00M,,-72.00M,241.00M,,-121.80M,-283.30M,,342.30M,-251.80M,,,-325.80M,,-8.80M,-586.40M,4.20M,13.20M,17.40M,,-247.60M,-247.60M,-93.90M,-93.90M,-2.30M,47.40M,-279.00M,2.971B,-523.10M,-72.90M,2.375B,,19.00M,-1.60M,-247.60M,-38.70M,-59.00M
2014-09,202.90M,-26.10M,8.20M,,24.30M,4.10M,10.50M,,,,189.50M,-5.40M,,,5.70M,,69.10M,6.10M,74.50M,,-229.60M,50.30M,,-17.10M,-115.80M,,356.50M,-188.40M,,,30.40M,,-0.10M,-158.10M,802.60M,-12.30M,790.30M,,-375.00M,-375.00M,-93.80M,-93.80M,1.00M,132.90M,455.40M,2.367B,653.80M,-50.20M,2.971B,,886.30M,-96.00M,-375.00M,-21.60M,1.30M
2014-06,248.20M,,,,-37.50M,3.70M,-33.80M,,,,194.40M,-33.10M,,,8.60M,,56.60M,14.80M,-8.90M,,273.60M,15.00M,,60.90M,355.40M,,796.30M,-214.00M,,,-143.80M,,-2.50M,-360.30M,3.20M,-28.60M,-25.40M,,-454.80M,-454.80M,-95.10M,-95.10M,1.10M,-0.30M,-574.50M,2.491B,-138.50M,14.80M,2.367B,,40.80M,-66.20M,-454.80M,36.00M,57.70M
2014-03,217.70M,,,,7.90M,3.30M,11.20M,,,,174.30M,-58.90M,,,34.90M,,74.50M,-84.90M,-27.30M,,164.00M,151.40M,,-29.90M,173.30M,,627.00M,-274.90M,,,-1.359B,,,-1.634B,-0.10M,7.50M,7.40M,,-1.678B,-1.678B,-99.70M,-99.70M,0.20M,-0.30M,-1.770B,5.293B,-2.778B,-24.80M,2.491B,,66.10M,-58.70M,-1.678B,24.30M,0.00
2013-05,485.40M,,,,-17.70M,27.00M,9.30M,,,,167.80M,224.10M,,,2.70M,,17.30M,-155.20M,19.20M,,182.20M,-96.20M,,-1.90M,-51.90M,,854.70M,-347.90M,,,,,3.10M,-359.80M,-0.50M,7.50M,7.00M,,0.00,0.00,-106.60M,-106.60M,-4.30M,7.10M,-96.80M,3.323B,398.10M,-23.70M,3.697B,,140.00M,-133.00M,0.00,-265.50M,
2013-02,345.40M,,,,16.30M,0.60M,16.90M,,,,152.20M,0.60M,,29.90M,2.90M,,20.70M,-77.70M,-62.20M,,-126.00M,93.50M,,-25.10M,-197.50M,,371.10M,-397.80M,,,,,7.70M,-390.10M,0.10M,40.00M,40.10M,,0.00,0.00,-320.00M,-106.70M,2.10M,-1.10M,-65.60M,3.421B,-84.60M,-13.40M,3.323B,,101.40M,-61.30M,0.00,80.00M,0.00
2012-11,630.30M,,,,,-4.70M,-4.70M,,,,147.40M,-55.10M,,11.40M,4.80M,,3.60M,-75.30M,-26.10M,,-105.30M,,,-208.60M,-415.30M,,322.40M,-393.50M,,,,,-2.60M,-396.10M,-0.10M,3.50M,3.40M,,0.00,0.00,,-106.70M,0.50M,-0.80M,-103.60M,3.595B,-177.30M,3.20M,3.421B,,40.00M,-36.60M,0.00,103.20M,-3.90M
2012-08,430.70M,,,,,9.30M,9.30M,,,,137.40M,30.40M,,-41.30M,17.80M,,22.20M,11.50M,-246.40M,,-107.10M,,,74.80M,-267.20M,,339.30M,-449.10M,,,,,5.30M,-443.80M,0.90M,-25.00M,-24.10M,,,,,-106.60M,1.70M,-2.80M,-131.80M,3.811B,-236.30M,20.10M,3.595B,,9.60M,-33.70M,,82.30M,3.90M
2012-05,506.90M,,,,13.20M,-6.40M,6.80M,,,,139.70M,164.00M,,,3.30M,,34.90M,-120.90M,72.70M,,306.70M,52.10M,,63.10M,373.70M,,1.229B,-449.00M,,,,,3.40M,-445.60M,-17.50M,-38.90M,-56.40M,,0.00,0.00,-53.40M,-53.40M,-2.50M,20.30M,-92.00M,3.202B,691.70M,-82.60M,3.811B,,20.00M,-76.40M,0.00,-455.40M,-12.00M
2012-02,271.90M,,,,32.70M,1.80M,34.50M,,,,127.90M,-47.60M,,-41.40M,3.10M,,16.80M,253.20M,-123.40M,,26.50M,-290.90M,,173.90M,39.30M,,404.50M,-411.80M,,,,,7.10M,-404.70M,-511.00M,53.30M,-457.70M,,0.00,0.00,-66.10M,-21.40M,0.20M,-1.00M,-479.90M,3.628B,-480.10M,54.40M,3.202B,,72.30M,-530.00M,0.00,119.90M,12.00M
2011-11,625.60M,,,,,0.20M,0.20M,,,,120.20M,76.80M,,24.10M,3.20M,,5.60M,-144.40M,193.00M,,-229.60M,,,-157.00M,-338.00M,,517.70M,-387.10M,,,,,2.50M,-384.60M,713.00M,14.70M,727.70M,,-1.162B,-1.162B,,-22.30M,1.10M,-4.40M,-460.40M,4.038B,-327.30M,-83.10M,3.628B,,803.00M,-75.30M,-1.162B,185.40M,-13.90M
2011-08,526.40M,,,,,0.70M,0.70M,,,,120.30M,52.60M,,17.30M,13.80M,,6.60M,130.60M,-135.80M,,-164.20M,,,-14.00M,-183.40M,,554.30M,-391.40M,,,,,-1.10M,-392.50M,3.50M,-10.00M,-6.50M,,,,,-22.40M,1.20M,-1.10M,-28.80M,3.906B,133.00M,-1.40M,4.038B,,20.60M,-27.10M,,150.10M,13.90M
2011-05,645.20M,,,,,5.60M,-15.40M,,,,122.90M,138.30M,,23.60M,2.40M,,28.60M,-113.40M,-115.20M,,277.50M,,,-45.30M,27.30M,,972.90M,-365.90M,,,651.10M,-644.70M,0.60M,-358.90M,-19.20M,-34.50M,-53.70M,,0.00,0.00,,-22.30M,1.60M,5.00M,-69.40M,3.352B,544.60M,9.70M,3.906B,,37.20M,-90.90M,0.00,-434.50M,-56.10M
2011-02,542.60M,,,,,4.40M,4.40M,,,,114.10M,52.20M,,-17.00M,2.60M,,19.10M,-137.60M,-314.90M,,145.00M,,,-44.60M,-352.10M,,365.90M,-311.60M,,,50.00M,0.00,-10.00M,-271.60M,-442.70M,3.60M,-439.10M,,0.00,0.00,,-22.40M,8.00M,1.10M,-452.40M,3.659B,-358.10M,50.80M,3.352B,,105.20M,-544.30M,0.00,128.00M,34.40M
2010-11,1.027B,,,,,-683.60M,-683.60M,,,,105.70M,36.50M,,-6.60M,3.00M,,-16.40M,-87.60M,227.70M,,-41.50M,,,-32.30M,66.30M,,531.70M,-291.00M,,,,1.03B,1.00M,740.00M,-3.10M,-21.40M,-24.50M,,0.00,0.00,,-22.30M,9.20M,7.40M,-30.20M,2.363B,1.242B,55.20M,3.659B,,113.30M,-137.80M,0.00,229.30M,-11.20M
2010-08,298.90M,,,,,-3.80M,-3.80M,,,,104.70M,-30.40M,,,13.10M,,23.80M,41.30M,-42.30M,,88.70M,,,62.20M,149.90M,,556.20M,-294.70M,,,,-385.30M,-1.60M,-681.60M,-3.70M,-7.20M,-10.90M,,,,,-22.30M,1.50M,-1.30M,-33.00M,2.523B,-158.40M,-1.90M,2.363B,,83.70M,-94.60M,,77.20M,32.90M
2010-05,396.50M,,,,,-5.00M,10.50M,,,,112.40M,15.10M,,-16.10M,3.00M,-0.10M,-9.80M,-21.00M,-80.00M,,52.20M,,,69.40M,20.60M,,532.10M,-275.00M,,,4.70M,0.00,-0.60M,-270.90M,-3.60M,-13.70M,-17.30M,,,,,-22.30M,1.70M,-0.50M,-38.40M,2.292B,222.80M,8.40M,2.523B,,66.90M,-84.20M,,,
2010-02,223.50M,,,,,8.50M,8.50M,,,,101.60M,1.10M,,-19.90M,3.10M,-3.10M,8.70M,-32.30M,15.30M,,26.90M,,,143.30M,153.20M,,476.70M,-208.80M,,,0.00,0.00,4.10M,-204.70M,-3.50M,-43.50M,-47.00M,,,,,-600.90M,5.80M,3.10M,-639.00M,2.648B,-367.00M,10.70M,2.292B,,90.70M,-137.70M,,-374.50M,-32.80M
2009-11,109.00M,,,,,11.80M,11.80M,,,,138.90M,23.30M,,-28.90M,3.20M,0.30M,9.80M,-96.50M,77.80M,,-86.70M,,,12.80M,-92.60M,,174.80M,-190.60M,,,12.90M,0.00,23.10M,-154.60M,-17.70M,32.90M,15.20M,,,,,-22.60M,2.80M,-1.10M,-5.70M,2.599B,14.50M,34.90M,2.648B,,90.80M,-75.60M,,103.50M,-6.80M
2009-08,102.50M,,,,,-2.50M,-2.50M,,,,92.10M,11.60M,,-38.40M,14.20M,-0.40M,7.20M,111.50M,78.90M,,-222.80M,,,18.50M,-13.90M,,172.40M,-236.20M,,,,0.00,0.10M,-236.10M,-16.80M,9.00M,-7.80M,,,,,-22.20M,2.20M,0.30M,-27.50M,2.703B,-91.20M,-13.30M,2.599B,,78.30M,-86.10M,,271.00M,39.60M
2009-05,148.50M,,,,-51.10M,-5.60M,-56.70M,,,,93.00M,-256.80M,,21.40M,5.00M,-1.70M,122.50M,9.50M,237.20M,,204.90M,,,-221.00M,230.60M,,305.80M,-174.30M,,,0.00,-17.30M,-0.70M,-192.30M,-3.90M,8.20M,4.30M,,,,,-22.30M,-4.50M,4.90M,-17.60M,2.529B,95.90M,78.30M,2.703B,,99.60M,-95.30M,,-915.90M,-91.50M
2009-02,58.10M,,,,0.00,-6.00M,-6.00M,,,,90.40M,-46.70M,,19.00M,3.60M,0.00,45.40M,269.40M,176.20M,,-514.30M,286.40M,,-392.70M,-175.00M,,-11.20M,-196.70M,,,0.00,0.00,3.80M,-192.90M,-3.80M,-21.60M,-25.40M,,,,,-22.20M,0.20M,-0.30M,-47.70M,2.812B,-251.80M,-30.80M,2.529B,,95.10M,-120.50M,,155.40M,43.60M
2008-11,961.30M,,,,51.10M,-702.50M,-651.40M,,,,89.40M,149.30M,,8.60M,3.80M,-2.00M,293.80M,577.60M,-1.90M,,-833.90M,-231.30M,,23.20M,-466.30M,,386.50M,-223.20M,,,0.00,745.70M,-31.10M,491.40M,-67.30M,1.80M,-65.50M,,,,,-22.20M,5.00M,-0.40M,-83.10M,2.190B,794.80M,-172.90M,2.812B,,53.40M,-118.90M,,567.80M,0.50M
2008-08,1.189B,,,,,-27.70M,-27.70M,,,,87.70M,15.30M,,117.20M,10.10M,-2.80M,7.80M,-521.00M,-590.20M,,412.10M,-55.10M,,-80.50M,-834.70M,,561.50M,-186.90M,,,,,-0.90M,-187.80M,-33.70M,-23.10M,-56.80M,,,,,-22.20M,3.90M,-1.40M,-76.50M,1.961B,297.20M,-68.20M,2.190B,,118.70M,-175.50M,,192.70M,47.40M
2008-05,862.50M,,,,,,-5.60M,,,355.30M,355.30M,140.70M,,,,,55.70M,-423.40M,-547.10M,,871.30M,-21.10M,,-182.40M,-302.70M,,1.038B,-124.30M,,247.80M,-8.10M,0.00,0.50M,-131.90M,,,-100.70M,-48.80M,,-48.80M,,0.00,,-51.10M,-90.90M,1.134B,814.90M,11.60M,1.961B,-48.80M,,,,,
2008-02,520.80M,,,,,,11.60M,,,-166.70M,-166.70M,52.40M,,,,,-61.90M,52.40M,75.50M,,-103.40M,-3.50M,41.30M,109.50M,171.80M,,528.00M,-86.60M,,-86.60M,0.40M,24.60M,4.70M,-56.90M,,,-34.90M,11.20M,,11.20M,,,,40.80M,17.10M,642.20M,488.20M,3.80M,1.134B,11.20M,,,,,
2007-11,394.00M,,,,,,-11.60M,,,166.70M,166.70M,-52.40M,,,,,61.90M,-52.40M,-75.50M,,103.40M,3.50M,-41.30M,46.20M,-16.10M,,542.50M,-79.10M,,-79.10M,-0.30M,,0.30M,-79.10M,,,-503.00M,19.20M,,19.20M,,0.10M,,-2.00M,-485.70M,639.20M,-22.30M,25.30M,642.20M,19.20M,,,,,
2007-08,305.50M,,,,,,,,,,,,,,,,,,,,,,,132.90M,132.90M,,438.40M,-82.10M,,-82.10M,7.80M,,0.60M,-73.70M,,,-168.60M,18.40M,,18.40M,,-0.10M,,,-150.30M,420.60M,214.40M,4.20M,639.20M,18.40M,,,,,
2007-05,202.60M,,,,,,,,,,,,,,,,,,,,,,,-366.80M,-297.20M,,253.50M,-101.50M,,-101.50M,,,1.90M,-101.00M,,,-214.30M,11.70M,,11.70M,,,,-5.80M,-211.00M,459.70M,-58.50M,19.40M,420.60M,11.70M,,,,,
2007-02,42.20M,,,,,,,,,,,,,,,,,,,,,,,119.40M,119.40M,,161.60M,-76.00M,,-76.00M,,,-12.30M,-88.30M,,,111.20M,14.50M,,14.50M,,,,-22.10M,103.60M,268.40M,176.90M,14.40M,459.70M,14.50M,,,,,
2006-11,65.90M,,,,,,,,,,,,,,,,,,,,,,,76.30M,76.30M,,142.20M,-29.40M,,-29.40M,,,-0.20M,-29.60M,,,-57.30M,20.40M,,20.40M,,,,,-36.90M,214.80M,75.70M,-22.10M,268.40M,20.40M,,,,,
2006-08,109.00M,,,,,,,,,,,,,,,,,,,,,,,41.60M,41.60M,,150.60M,-85.20M,,-85.20M,,,0.10M,-85.10M,,,-30.40M,1.50M,,1.50M,,,,,-28.90M,173.30M,36.60M,4.90M,214.80M,1.50M,,,,,
2006-05,-213.10M,,,,,,-14.20M,324.10M,-53.90M,270.20M,270.20M,-38.90M,,,,,,146.50M,-16.80M,,-30.90M,-3.80M,-69.80M,-162.20M,-137.00M,,187.80M,-125.20M,,-125.20M,,-44.40M,39.40M,-130.20M,,,-36.60M,1.90M,,1.90M,,-2.60M,,,-37.30M,164.60M,20.30M,-11.60M,173.30M,1.90M,,,,,
2006-02,-39.40M,,,,,,,,,,,,,,,,,,,,,,,-31.00M,-31.00M,,-70.40M,-82.60M,,-82.60M,,14.80M,0.10M,-67.70M,,,119.30M,3.20M,,3.20M,,-2.60M,,,119.90M,166.00M,-18.20M,16.80M,164.60M,3.20M,,,,,
2005-11,55.00M,,,,,,76.50M,-74.30M,13.80M,-60.50M,-60.50M,-57.60M,,,,,,16.40M,21.40M,,0.80M,7.30M,-9.40M,31.00M,67.50M,,80.90M,-91.00M,-0.50M,-91.50M,,29.20M,-10.30M,-72.60M,,,-30.90M,0.30M,,0.30M,,-2.50M,,0.40M,-32.70M,201.30M,-24.40M,-10.90M,166.00M,0.30M,,,,,
2005-08,76.10M,,,,,,-76.50M,74.30M,-13.80M,60.50M,60.50M,57.60M,,,,,,-16.40M,-21.40M,,-0.80M,-7.30M,9.40M,,-36.50M,,81.20M,-90.70M,0.50M,-90.20M,,,10.10M,-80.10M,,,-57.80M,23.50M,,23.50M,,-2.60M,,-0.40M,-37.30M,245.00M,-36.20M,-7.50M,201.30M,23.50M,,,,,
