,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2018-06,943.70M,943.70M,246.20M,697.50M,274.90M,154.10M,,-16.40M,,,0.00,,429.00M,268.50M,,,0.00,-17.50M,0.00,251.00M,-31.70M,282.70M,,282.70M,294.67M,287.70M,19.20M,268.50M,,0.45,,,0.4690,0.45,,0.44,,,0.4586,0.44,,628.50M,642.00M,,AOR,Restated
2018-03,894.80M,894.80M,233.60M,661.20M,256.00M,143.20M,,-2.40M,,,0.80M,,399.20M,262.00M,,,0.80M,0.70M,0.80M,263.50M,56.90M,206.60M,,206.60M,205.89M,281.10M,19.10M,262.00M,,0.3267,,,0.3255,0.3267,,0.32,,,0.3189,0.32,,630.60M,645.30M,,AOR,Restated
2017-12,888.50M,888.50M,235.30M,653.20M,272.80M,146.60M,,83.80M,,,1.00M,0.00,419.40M,233.80M,,,1.00M,89.10M,1.00M,323.90M,326.70M,-2.80M,,-2.80M,-52.18M,297.20M,21.20M,276.00M,,0.0567,,,-0.0215,0.0567,,0.0567,,,-0.0198,0.0567,,631.80M,645.90M,,AOR,Restated
2017-09,821.50M,821.50M,213.30M,608.20M,244.60M,142.90M,,-7.20M,,,-0.10M,,387.50M,220.70M,,,-0.10M,-8.80M,-0.10M,211.80M,41.70M,170.10M,,170.10M,177.25M,241.40M,20.70M,220.70M,,0.27,,,0.2813,0.27,,0.2633,,,0.2744,0.2633,,633.90M,648.60M,,AOR,Restated
2017-06,841.80M,841.80M,211.10M,630.70M,243.80M,134.40M,,-42.00M,,,-1.40M,0.70M,378.90M,251.80M,,,-1.40M,-44.80M,-1.40M,205.60M,19.50M,186.10M,,186.10M,226.55M,270.70M,18.90M,251.80M,,0.2933,,,0.3574,0.2933,,0.2867,,,0.3492,0.2867,,631.50M,647.10M,,AOR,Restated
2017-03,883.50M,883.50M,215.60M,667.90M,229.60M,128.70M,,-11.30M,,,-2.40M,,358.30M,309.60M,,,-2.40M,-13.60M,-2.40M,293.60M,63.40M,230.20M,,230.20M,240.78M,330.70M,21.10M,309.60M,,0.3633,,,0.3800,0.3633,,0.3533,,,0.3696,0.3533,,633.60M,649.20M,,AOR,Restated
2016-12,767.70M,767.70M,213.20M,554.50M,233.60M,114.90M,,-4.80M,,,-1.50M,,348.50M,206.00M,,,-1.50M,-4.10M,-1.50M,200.40M,41.90M,158.50M,,158.50M,162.06M,197.30M,19.10M,178.20M,,0.2467,,,0.2522,0.2467,,0.2433,,,0.2488,0.2433,,640.80M,654.30M,,AOR,Restated
2016-09,739.40M,739.40M,201.40M,538.00M,229.60M,113.00M,,-6.60M,,,-2.10M,,342.60M,195.40M,,,-2.10M,-8.10M,-2.10M,185.20M,43.80M,141.40M,,141.40M,147.66M,213.60M,18.20M,195.40M,,0.22,,,0.2298,0.22,,0.2167,,,0.2262,0.2167,,639.60M,654.30M,,AOR,Restated
2016-06,759.30M,759.30M,202.50M,556.80M,228.80M,147.00M,,-9.50M,,,-2.40M,,375.80M,181.00M,,,-2.40M,-9.60M,-2.40M,169.00M,42.40M,126.60M,,126.60M,133.79M,199.00M,18.00M,181.00M,,0.20,,,0.2113,0.20,,0.1933,,,0.2044,0.1933,,636.60M,651.90M,,AOR,Restated
2016-03,697.30M,697.30M,180.30M,517.00M,212.70M,101.80M,,-17.80M,,,-2.40M,,314.50M,202.50M,,,-2.40M,-16.80M,-2.40M,183.30M,40.30M,143.00M,,143.00M,156.03M,218.40M,15.90M,202.50M,,0.2233,,,0.2437,0.2233,,0.22,,,0.2399,0.22,,639.30M,653.40M,,AOR,Restated
2015-12,671.10M,671.10M,175.90M,495.20M,222.30M,98.00M,,-3.50M,,,-2.60M,,320.30M,174.90M,,,-2.60M,-5.30M,-2.60M,167.00M,26.30M,140.70M,,140.70M,145.25M,186.10M,14.50M,171.60M,,0.2167,,,0.2237,0.2167,,0.2133,,,0.2202,0.2133,,648.30M,662.70M,,AOR,Restated
2015-09,615.50M,615.50M,146.70M,468.80M,212.00M,101.00M,,-2.40M,,,-2.50M,,313.00M,155.80M,,,-2.50M,-2.60M,-2.50M,150.70M,32.60M,118.10M,,118.10M,120.14M,174.30M,18.50M,155.80M,,0.1833,,,0.1865,0.1833,,0.18,,,0.1831,0.18,,645.60M,659.70M,,AOR,Restated
2015-06,616.80M,616.80M,158.60M,458.20M,213.90M,97.50M,,-1.00M,,,-1.80M,,311.40M,146.80M,,,-1.80M,-2.80M,-1.80M,142.20M,29.50M,112.70M,,112.70M,115.16M,163.60M,16.80M,146.80M,,0.1733,,,0.1771,0.1733,,0.17,,,0.1737,0.17,,645.90M,659.70M,,AOR,Restated
2015-03,590.30M,590.30M,136.00M,454.30M,202.50M,86.40M,,-0.30M,,,-2.40M,,288.90M,165.40M,,,-2.40M,-0.50M,-2.40M,162.50M,39.10M,123.40M,,123.40M,124.01M,181.40M,16.00M,165.40M,,0.19,,,0.1909,0.19,,0.1867,,,0.1876,0.1867,,646.50M,661.80M,,AOR,Restated
2014-12,618.00M,618.00M,160.40M,457.60M,223.10M,94.20M,,-4.60M,,,-1.70M,,317.30M,140.30M,,,-1.70M,-5.70M,-1.70M,132.90M,23.70M,109.20M,,109.20M,114.13M,837.20M,18.30M,818.90M,,0.17,,,0.1777,0.17,,0.1667,,,0.1742,0.1667,,644.40M,658.20M,,AOR,Restated
2014-09,607.40M,607.40M,168.10M,439.30M,222.20M,87.60M,,-4.90M,,,-2.50M,,309.80M,129.50M,,,-2.50M,-6.40M,-2.50M,120.60M,26.00M,94.60M,,94.60M,99.54M,147.50M,18.00M,129.50M,,0.1483,,,0.1561,0.1483,,0.145,,,0.1526,0.145,,638.40M,650.40M,,AOR,Restated
2014-06,575.10M,575.10M,151.20M,423.90M,215.50M,89.10M,,697.40M,,,-3.10M,,304.60M,119.30M,,,-3.10M,697.00M,-3.10M,813.20M,266.20M,547.00M,,547.00M,77.92M,135.40M,16.10M,119.30M,,0.8633,,,0.1230,0.8633,,0.8483,,,0.1204,0.8483,,633.60M,644.40M,,AOR,Restated
2014-03,522.40M,522.40M,145.90M,376.50M,197.20M,85.80M,,-9.30M,,,-3.50M,,283.00M,93.50M,,,-3.50M,-12.70M,-3.50M,77.30M,17.00M,60.30M,,60.30M,70.13M,109.70M,16.20M,93.50M,,0.095,,,0.1104,0.095,,0.0933,,,0.1084,0.0933,,640.20M,651.00M,,AOR,Restated
2013-12,536.00M,536.00M,143.80M,392.20M,186.60M,78.60M,,-23.40M,,,-4.00M,,265.20M,127.00M,,,-4.00M,-22.70M,-4.00M,100.30M,25.20M,75.10M,,75.10M,92.40M,192.60M,17.10M,175.50M,,0.115,,,0.1414,0.115,,0.1133,,,0.1393,0.1133,,655.80M,666.60M,,AOR,Restated
2013-09,495.60M,495.60M,128.20M,367.40M,177.80M,84.10M,,-4.00M,,,-1.00M,,261.90M,105.50M,,,-1.00M,-4.70M,-1.00M,99.80M,23.00M,76.80M,,76.80M,80.65M,122.50M,17.00M,105.50M,,0.115,,,0.1208,0.115,,0.1133,,,0.1190,0.1133,,666.00M,677.40M,,AOR,Restated
2013-06,517.20M,517.20M,123.60M,393.60M,186.60M,80.50M,,-5.50M,,,-0.40M,,267.10M,126.50M,,,-0.40M,-5.60M,-0.40M,120.50M,27.20M,93.30M,,93.30M,97.63M,141.20M,14.70M,126.50M,,0.1383,,,0.1447,0.1383,,0.135,,,0.1413,0.135,,675.60M,688.20M,,AOR,Restated
2013-03,496.70M,496.70M,121.00M,375.70M,182.40M,79.80M,,78.10M,,,0.20M,,262.20M,113.50M,,,0.20M,76.90M,0.20M,190.60M,46.70M,143.90M,,143.90M,85.76M,127.60M,14.10M,113.50M,,0.21,,,0.1249,0.21,,0.2067,,,0.1235,0.2067,,683.40M,699.00M,,AOR,Restated
2012-12,510.50M,510.50M,122.20M,388.30M,170.00M,74.90M,,-22.80M,,,0.00,,244.90M,143.40M,,,0.00,-24.10M,0.00,119.30M,29.90M,89.40M,,89.40M,107.16M,127.60M,11.50M,116.10M,,0.1317,,,0.1574,0.1317,,0.1283,,,0.1534,0.1283,,689.40M,708.00M,,AOR,Restated
2012-09,447.90M,447.90M,111.70M,336.20M,167.80M,73.80M,,-0.60M,,,0.30M,,241.60M,94.60M,,,0.30M,-1.50M,0.30M,93.40M,24.20M,69.20M,,69.20M,70.31M,109.00M,14.40M,94.60M,,0.10,,,0.1016,0.10,,0.0967,,,0.0982,0.0967,,694.20M,714.00M,,AOR,Restated
2012-06,482.00M,482.00M,129.80M,352.20M,182.40M,74.00M,,-7.00M,,,0.10M,,256.40M,95.80M,,,0.10M,-6.00M,0.10M,89.90M,22.10M,67.80M,,67.80M,73.00M,109.80M,14.00M,95.80M,,0.0983,,,0.1059,0.0983,,0.095,,,0.1023,0.095,,689.40M,710.40M,,AOR,Restated
2012-03,459.20M,459.20M,127.30M,331.90M,177.20M,68.60M,,0.00,,,0.00,,245.80M,86.10M,,,0.00,-0.50M,0.00,85.60M,20.50M,65.10M,,65.10M,65.25M,99.90M,13.80M,86.10M,,0.095,,,0.0952,0.095,,0.0917,,,0.0919,0.0917,,684.00M,708.00M,,AOR,Restated
2011-12,430.20M,430.20M,119.60M,310.60M,163.40M,60.70M,,-22.70M,0.90M,0.90M,0.00,,224.10M,86.50M,0.90M,0.90M,0.00,-17.90M,0.00,68.60M,5.50M,63.10M,,63.10M,83.98M,84.30M,14.80M,69.50M,,0.0917,0.00,,0.1222,0.0917,,0.0883,0.00,,0.1178,0.0883,,684.00M,709.20M,,AOR,Restated
2011-09,412.70M,412.70M,125.60M,287.10M,165.50M,61.70M,,-2.30M,1.00M,1.00M,0.00,,227.20M,59.90M,1.00M,1.00M,0.00,-2.30M,0.00,57.60M,6.00M,51.60M,,51.60M,53.66M,72.50M,13.90M,58.60M,,0.075,0.00,,0.0780,0.075,,0.0717,0.00,,0.0746,0.0717,,687.60M,714.00M,,AOR,Restated
2011-06,431.20M,431.20M,127.80M,303.40M,163.20M,64.90M,,-2.80M,0.70M,1.00M,0.30M,,228.10M,75.30M,1.00M,0.70M,0.30M,-2.80M,0.30M,72.80M,14.70M,58.10M,,58.10M,60.33M,88.30M,14.80M,73.50M,,0.085,0.00,,0.0882,0.085,,0.08,0.00,,0.0831,0.08,,688.80M,720.00M,,AOR,Restated
2011-03,404.50M,404.50M,116.80M,287.70M,150.30M,59.00M,,6.20M,0.50M,0.50M,0.00,,209.30M,78.40M,0.50M,0.50M,0.00,6.20M,0.00,84.60M,20.70M,63.90M,,63.90M,59.22M,99.60M,14.50M,85.10M,,0.0933,0.00,,0.0865,0.0933,,0.0883,0.00,,0.0819,0.0883,,689.40M,723.00M,,AOR,Restated
2010-12,392.40M,392.40M,113.50M,278.90M,142.40M,55.90M,,-18.20M,0.50M,0.10M,-0.40M,,198.30M,80.60M,0.10M,0.50M,-0.40M,-10.10M,-0.40M,70.10M,5.30M,64.80M,,64.80M,81.62M,86.00M,15.40M,70.60M,,0.095,,,0.1195,0.095,,0.09,,,0.1133,0.09,,687.60M,720.60M,,AOR,Restated
2010-09,348.90M,348.90M,95.80M,253.10M,133.00M,52.70M,,-0.80M,0.70M,0.30M,-0.40M,,185.70M,67.40M,0.30M,0.70M,-0.40M,-0.80M,-0.40M,66.20M,18.20M,48.00M,,48.00M,48.58M,80.30M,13.40M,66.90M,,0.07,0.00,,0.0709,0.07,,0.0667,0.00,,0.0675,0.0667,,681.60M,713.40M,,AOR,Restated
2010-06,365.20M,365.20M,100.40M,264.80M,140.60M,50.60M,,-6.70M,0.70M,0.20M,-0.50M,,191.20M,73.60M,0.20M,0.70M,-0.50M,-6.70M,-0.50M,66.40M,8.90M,57.50M,,57.50M,63.30M,80.80M,13.70M,67.10M,,0.085,0.00,,0.0935,0.085,,0.08,0.00,,0.0881,0.08,,680.40M,712.80M,,AOR,Restated
2010-03,340.50M,340.50M,98.60M,241.90M,134.00M,45.20M,,3.00M,0.30M,0.50M,0.20M,,179.20M,62.70M,0.50M,0.30M,0.20M,3.00M,0.20M,65.50M,17.80M,47.70M,,47.70M,45.52M,79.80M,14.00M,65.80M,,0.07,0.00,,0.0668,0.07,,0.0667,0.00,,0.0636,0.0667,,679.20M,714.00M,,AOR,Restated
2009-12,346.70M,346.70M,101.70M,245.00M,132.30M,48.30M,,-1.80M,0.50M,0.30M,-0.20M,,180.60M,64.40M,0.30M,0.50M,-0.20M,-1.80M,-0.20M,62.40M,14.80M,47.60M,,47.60M,48.97M,77.10M,14.20M,62.90M,,0.07,0.00,,0.0720,0.07,,0.0667,0.00,,0.0686,0.0667,,678.60M,712.20M,,AOR,Restated
2009-09,325.70M,325.70M,98.50M,227.20M,126.10M,44.70M,,38.40M,0.90M,0.30M,-0.60M,,170.80M,56.40M,0.30M,0.90M,-0.60M,38.40M,-0.60M,94.20M,20.70M,73.50M,,73.50M,43.54M,110.50M,15.40M,95.10M,,0.1083,0.00,,0.0640,0.1083,,0.105,0.00,,0.0625,0.105,,676.20M,705.00M,,AOR,Restated
2009-06,335.50M,335.50M,101.90M,233.60M,128.50M,42.60M,,0.50M,0.50M,0.30M,-0.20M,,171.10M,62.50M,0.30M,0.50M,-0.20M,0.50M,-0.20M,62.80M,15.30M,47.50M,,47.50M,47.12M,78.20M,14.90M,63.30M,,0.07,0.00,,0.0694,0.07,,0.0683,0.00,,0.0678,0.0683,,674.40M,702.00M,,AOR,Restated
2009-03,313.50M,313.50M,97.00M,216.50M,121.90M,39.90M,,30.40M,0.80M,0.70M,-0.10M,,161.80M,54.70M,0.70M,0.80M,-0.10M,30.40M,-0.10M,85.00M,24.50M,60.50M,,60.50M,38.86M,100.00M,14.20M,85.80M,,0.09,0.00,,0.0578,0.09,,0.0858,0.00,,0.0550,0.0858,,672.00M,702.00M,,AOR,Restated
2008-12,309.70M,309.70M,98.80M,210.90M,120.20M,35.80M,,-20.20M,,,,,156.00M,54.90M,,,,-20.20M,,34.00M,-4.10M,38.10M,,38.10M,51.23M,42.50M,14.30M,28.20M,,0.0567,0.00,,0.0763,0.0567,,0.0542,0.00,,0.0730,0.0542,,669.60M,697.20M,,AOR,Restated
2008-09,303.60M,303.60M,104.90M,198.70M,119.30M,35.10M,,-1.10M,,,,,154.40M,44.30M,,,,-1.10M,,43.60M,10.70M,32.90M,,32.90M,33.73M,58.10M,13.80M,44.30M,,0.0492,0.00,,0.0504,0.0492,,0.0467,0.00,,0.0478,0.0467,,672.00M,708.00M,,,
2008-06,327.60M,327.60M,113.00M,214.60M,126.50M,35.40M,,1.80M,1.90M,1.50M,-0.40M,,161.90M,52.70M,1.50M,1.90M,-0.40M,1.80M,-0.40M,52.10M,12.40M,39.70M,,39.70M,38.33M,68.00M,14.00M,54.00M,,0.06,0.00,,0.0579,0.06,,0.0558,0.00,,0.0539,0.0558,,664.80M,722.40M,,,Restated
2008-03,296.80M,296.80M,102.90M,193.90M,114.60M,32.90M,,-11.30M,2.10M,1.70M,-0.40M,,147.50M,46.40M,1.70M,2.10M,-0.40M,-11.30M,-0.40M,34.70M,16.50M,18.20M,,18.20M,25.54M,50.30M,13.50M,36.80M,,0.0267,0.00,,0.0376,0.0267,,0.0258,0.00,,0.0363,0.0258,,673.20M,702.00M,,,Restated
2007-12,293.00M,293.00M,99.60M,193.40M,114.50M,33.50M,,-25.40M,,,,,148.00M,45.40M,,,,-25.40M,,19.60M,3.80M,15.80M,,15.80M,36.28M,59.10M,13.70M,45.40M,,0.0233,0.00,,0.0534,0.0233,,0.0233,0.00,,0.0509,0.0233,,680.40M,741.60M,,,
2007-09,261.40M,261.40M,90.70M,170.70M,103.20M,30.90M,,2.60M,,,,,134.10M,36.60M,,,,2.60M,,38.80M,9.70M,29.10M,,29.10M,27.15M,50.60M,14.00M,36.60M,,0.0425,0.00,,0.0397,0.0425,,0.04,0.00,,0.0374,0.04,,685.20M,748.80M,,,
2007-06,272.60M,272.60M,94.70M,177.90M,101.70M,29.10M,,0.10M,,,,,130.80M,47.10M,,,,0.10M,,46.80M,11.90M,34.90M,,34.90M,34.83M,60.80M,13.70M,47.10M,,0.0508,0.00,,0.0507,0.0508,,0.0475,0.00,,0.0474,0.0475,,690.00M,756.00M,,,
2007-03,264.10M,264.10M,93.20M,170.90M,98.60M,28.80M,,1.30M,,,,-1.10M,126.30M,44.60M,,,,1.30M,,44.60M,11.40M,33.20M,,33.20M,32.23M,58.00M,13.40M,44.60M,,0.0475,0.00,,0.0461,0.0475,,0.045,0.00,,0.0437,0.045,,694.80M,762.00M,,,
2006-12,265.60M,265.60M,97.40M,168.20M,95.10M,30.00M,,-19.00M,,,,,125.10M,43.10M,,,,-19.00M,,23.70M,3.00M,20.70M,,20.70M,37.29M,57.70M,14.60M,43.10M,,0.03,0.00,,0.0540,0.03,,0.0283,0.00,,0.0502,0.0283,,691.20M,759.60M,,,
2006-09,247.40M,247.40M,87.40M,160.00M,91.70M,28.10M,,-2.70M,,,,,119.80M,40.20M,,,,-2.70M,,36.70M,8.90M,27.80M,,27.80M,29.85M,54.00M,13.80M,40.20M,,0.04,0.00,,0.0429,0.04,,0.0375,0.00,,0.0402,0.0375,,698.40M,763.20M,,,
2006-06,267.30M,267.30M,95.70M,171.60M,97.00M,28.90M,,0.40M,,,,,125.90M,45.70M,,,,0.40M,,45.50M,9.40M,36.10M,,36.10M,35.78M,59.90M,14.20M,45.70M,,0.0508,0.00,,0.0504,0.0508,,0.0483,0.00,,0.0479,0.0483,,705.60M,770.40M,,,
2006-03,257.00M,257.00M,93.00M,164.00M,92.00M,27.00M,,23.00M,,,,-21.00M,98.00M,66.00M,,,,23.00M,,66.00M,21.00M,46.00M,,46.00M,30.32M,80.20M,14.20M,66.00M,,0.0642,0.00,,0.0421,0.0642,,0.0608,0.00,,0.0406,0.0608,,711.60M,775.20M,,,
2005-12,249.70M,249.70M,89.60M,160.10M,87.40M,25.80M,,-2.30M,,,,,113.20M,46.90M,,,,-2.30M,,43.50M,4.90M,38.30M,,38.30M,40.34M,61.30M,14.40M,46.90M,,0.0542,0.00,,0.0570,0.0542,,0.0517,0.00,,0.0544,0.0517,,715.20M,744.00M,,,
2005-09,240.90M,240.90M,90.90M,150.00M,85.90M,24.00M,,-22.60M,,,,,109.90M,40.10M,,,,-22.60M,,15.30M,19.70M,-4.40M,,-4.40M,9.16M,54.10M,14.00M,40.10M,,-0.0058,0.00,,0.0131,-0.0058,,-0.0058,0.00,,0.0131,-0.0058,,717.60M,717.60M,,,
2005-06,258.20M,258.20M,97.90M,160.30M,90.10M,24.20M,,-27.40M,,,,,114.30M,46.00M,,,,-27.40M,,15.30M,1.40M,13.90M,,13.90M,38.79M,60.20M,14.20M,46.00M,,0.0192,0.00,,0.0540,0.0192,,0.0183,0.00,,0.0516,0.0183,,715.20M,748.80M,,,
2005-03,249.10M,249.10M,96.20M,152.90M,85.60M,25.00M,,3.10M,,,,-0.30M,110.30M,42.60M,,,,3.10M,,42.60M,11.40M,31.20M,,31.20M,28.93M,56.20M,13.60M,42.60M,,0.0433,0.00,,0.0402,0.0433,,0.0417,0.00,,0.0388,0.0417,,714.00M,778.80M,,,
2004-12,237.10M,237.10M,91.20M,145.90M,82.70M,23.40M,,-2.20M,,,,,106.10M,39.80M,,,,-2.20M,,34.10M,8.20M,25.90M,,25.90M,27.57M,54.40M,14.60M,39.80M,,0.0367,0.00,,0.0390,0.0367,,0.0367,0.00,,0.0387,0.0367,,715.20M,830.40M,,,
2004-09,224.80M,224.80M,87.90M,136.90M,79.70M,21.90M,,-12.40M,,,,,101.60M,35.30M,,,,-12.40M,,19.50M,7.10M,12.40M,,12.40M,20.29M,50.60M,15.30M,35.30M,,0.0175,0.00,,0.0285,0.0175,,0.0167,0.00,,0.0272,0.0167,,716.40M,745.20M,,,
2004-06,234.60M,234.60M,92.40M,142.20M,81.00M,20.70M,,-2.80M,,,,,101.70M,40.50M,,,,-2.80M,,34.10M,8.60M,25.50M,,25.50M,27.59M,53.60M,13.10M,40.50M,,0.0358,0.00,,0.0388,0.0358,,0.0342,0.00,,0.0369,0.0342,,714.00M,777.60M,,,
2004-03,235.00M,235.00M,98.70M,136.30M,76.50M,21.00M,,-92.70M,,,,15.40M,112.90M,23.40M,,,,-92.70M,,-57.60M,4.50M,-62.10M,,-62.10M,-6.48M,36.10M,12.70M,23.40M,,-0.0867,0.00,,-0.0089,-0.0867,,-0.0867,0.00,,-0.0089,-0.0867,,715.20M,715.20M,,,
2003-12,224.10M,224.10M,93.80M,130.30M,72.20M,19.00M,,-8.60M,,,,,91.20M,39.10M,,,,-8.60M,,27.00M,8.10M,18.90M,,18.90M,24.92M,50.70M,11.60M,39.10M,,0.0267,0.00,,0.0351,0.0267,,0.0258,0.00,,0.0340,0.0258,,712.80M,733.20M,,,
2003-09,206.10M,206.10M,86.90M,119.20M,70.50M,16.80M,,-13.70M,,,,,87.30M,31.90M,,,,-13.70M,,14.70M,-9.80M,24.50M,,24.50M,32.72M,43.80M,11.90M,31.90M,,0.0342,0.00,,0.0458,0.0342,,0.0333,0.00,,0.0445,0.0333,,709.20M,733.20M,,,
2003-06,217.80M,217.80M,89.60M,128.20M,75.80M,18.00M,,-1.90M,,,,3.30M,97.10M,31.10M,,,,-1.90M,,29.00M,7.90M,21.10M,,21.10M,22.48M,42.40M,11.30M,31.10M,,0.03,0.00,,0.0320,0.03,,0.0283,0.00,,0.0302,0.0283,,708.00M,736.80M,,,
2003-03,212.50M,212.50M,89.10M,123.40M,71.40M,19.00M,,-8.20M,,,,,90.40M,33.00M,,,,-8.20M,,22.10M,7.60M,14.50M,,14.50M,19.88M,43.80M,10.80M,33.00M,,0.0208,0.00,,0.0285,0.0208,,0.02,0.00,,0.0274,0.02,,705.60M,730.80M,,,
2002-12,203.10M,203.10M,85.70M,117.40M,68.70M,17.70M,,1.30M,,,,0.00,86.40M,31.00M,,,,1.30M,,29.30M,7.60M,21.70M,,21.70M,20.74M,42.00M,11.00M,31.00M,,0.03,0.00,,0.0286,0.03,,0.03,0.00,,0.0287,0.03,,704.40M,735.60M,,,
2002-09,165.80M,165.80M,69.90M,95.90M,54.20M,15.50M,,-68.70M,,,,67.10M,136.80M,-40.90M,,,,-68.70M,,-45.20M,-27.80M,-17.40M,,-17.40M,23.82M,-30.80M,10.10M,-40.90M,,-0.025,0.00,,0.0335,-0.025,,-0.025,0.00,,0.0335,-0.025,,704.40M,704.40M,,,
