,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-03,15.71B,,15.71B,14.24B,1.47B,,156.00M,156.00M,,,108.00M,-108.00M,,641.00M,829.00M,108.00M,-108.00M,9.00M,-108.00M,730.00M,217.00M,513.00M,,-18.00M,,495.00M,495.00M,1.323B,485.00M,838.00M,1.05,,1.05,1.05,1.05,,1.05,1.05,469.00M,471.00M,0.6
2015-12,18.78B,,18.78B,19.23B,-449.00M,,206.00M,206.00M,,,107.00M,-107.00M,,-1.095B,646.00M,107.00M,-107.00M,11.00M,-107.00M,550.00M,155.00M,395.00M,,-97.00M,,298.00M,298.00M,1.151B,494.00M,657.00M,0.62,0.0,0.62,0.62,0.62,0.0,0.62,0.62,479.00M,482.00M,0.5
2015-09,22.58B,,22.58B,19.78B,2.80B,,179.00M,179.00M,,,112.00M,-112.00M,,661.00M,2.139B,112.00M,-112.00M,3.00M,-112.00M,2.03B,657.00M,1.373B,,4.00M,,1.377B,1.377B,2.624B,482.00M,2.142B,2.79,,2.79,2.79,2.79,,2.79,2.79,491.00M,494.00M,0.4
2015-06,25.12B,,25.12B,21.39B,3.724B,,178.00M,178.00M,0.00,0.00,113.00M,-113.00M,1.043B,1.646B,2.078B,113.00M,-113.00M,8.00M,-113.00M,1.973B,608.00M,1.365B,,-14.00M,,1.351B,1.351B,2.511B,425.00M,2.086B,2.67,,2.67,2.67,2.66,,2.66,2.66,505.00M,508.00M,0.4
2015-03,21.33B,,21.33B,18.16B,3.167B,,147.00M,147.00M,,,101.00M,-101.00M,1.084B,1.672B,1.495B,101.00M,-101.00M,24.00M,-101.00M,1.418B,450.00M,968.00M,,-4.00M,,964.00M,964.00M,1.96B,441.00M,1.519B,1.87,,1.87,1.87,1.87,,1.87,1.87,513.00M,516.00M,0.4
2014-12,27.86B,,27.86B,25.42B,2.435B,,214.00M,214.00M,,,101.00M,-101.00M,,639.00M,1.796B,101.00M,-101.00M,9.00M,-101.00M,1.704B,484.00M,1.22B,0.00,-65.00M,,1.155B,1.155B,2.23B,425.00M,1.805B,2.22,0.0,2.22,2.22,2.22,0.0,2.22,2.22,517.00M,521.00M,0.275
2014-09,34.41B,,34.41B,32.13B,2.28B,,180.00M,180.00M,,,98.00M,-98.00M,,610.00M,1.67B,98.00M,-98.00M,11.00M,-98.00M,1.583B,521.00M,1.062B,0.00,-3.00M,,1.059B,1.059B,2.111B,430.00M,1.681B,2.01,0.0,2.01,2.01,2.0,0.0,2.0,2.0,526.00M,530.00M,0.275
2014-06,34.91B,,34.91B,33.24B,1.669B,,170.00M,170.00M,,,98.00M,-98.00M,,584.00M,1.085B,98.00M,-98.00M,12.00M,-98.00M,999.00M,343.00M,656.00M,-63.00M,-5.00M,,588.00M,651.00M,1.511B,414.00M,1.097B,1.23,-0.12,1.23,1.11,1.22,-0.12,1.22,1.1,529.00M,534.00M,0.25
2014-03,33.66B,,33.66B,31.73B,1.932B,,160.00M,160.00M,,,100.00M,-100.00M,,581.00M,1.351B,100.00M,-100.00M,15.00M,-100.00M,1.266B,429.00M,837.00M,-1.00M,-8.00M,,828.00M,829.00M,1.787B,421.00M,1.366B,1.55,0.0,1.55,1.55,1.54,0.0,1.54,1.54,531.00M,536.00M,0.25
2013-12,34.43B,,34.43B,32.25B,2.178B,,179.00M,179.00M,,,102.00M,-102.00M,,616.00M,1.562B,102.00M,-102.00M,342.00M,-102.00M,1.802B,515.00M,1.287B,0.00,1.00M,,1.288B,1.288B,2.341B,437.00M,1.904B,2.39,0.0,2.39,2.39,2.38,0.0,2.38,2.38,536.00M,545.00M,0.225
2013-09,36.14B,,36.14B,34.99B,1.15B,,170.00M,170.00M,,,102.00M,-102.00M,,618.00M,532.00M,102.00M,-102.00M,17.00M,-102.00M,447.00M,123.00M,324.00M,0.00,-12.00M,,312.00M,312.00M,997.00M,448.00M,549.00M,0.58,0.0,0.58,0.58,0.57,0.0,0.57,0.57,540.00M,545.00M,0.225
2013-06,34.03B,,34.03B,32.59B,1.443B,,233.00M,233.00M,,,78.00M,-78.00M,,638.00M,805.00M,78.00M,-78.00M,11.00M,-78.00M,738.00M,276.00M,462.00M,3.00M,1.00M,,466.00M,463.00M,1.221B,405.00M,816.00M,0.85,0.01,0.85,0.86,0.84,0.01,0.84,0.85,543.00M,548.00M,0.2
2013-03,33.47B,,33.47B,31.81B,1.667B,,176.00M,176.00M,,,83.00M,-83.00M,,606.00M,1.061B,83.00M,-83.00M,14.00M,-83.00M,992.00M,340.00M,652.00M,,2.00M,,654.00M,654.00M,1.505B,430.00M,1.075B,1.18,,1.18,1.18,1.18,,1.18,1.18,550.00M,556.00M,0.2
2012-12,33.84B,,33.84B,31.52B,2.314B,,189.00M,189.00M,-870.00M,870.00M,71.00M,-71.00M,,566.00M,1.748B,71.00M,-71.00M,881.00M,-71.00M,2.558B,515.00M,2.043B,,1.00M,,1.01B,1.349B,3.031B,402.00M,2.629B,1.83,0.0,0.5666,1.83,1.82,0.0,0.5703,1.82,550.00M,556.00M,0.175
2012-09,34.73B,,34.73B,32.50B,2.23B,,174.00M,174.00M,345.00M,-345.00M,70.00M,-70.00M,,576.00M,1.654B,70.00M,-70.00M,-347.00M,-70.00M,1.237B,564.00M,673.00M,,1.00M,,674.00M,898.25M,1.709B,402.00M,1.307B,1.22,,1.6280000000000001,1.22,1.21,,1.6130000000000002,1.21,549.00M,556.00M,0.175
2012-06,34.66B,,34.66B,32.74B,1.918B,,171.00M,171.00M,0.00,0.00,74.00M,-74.00M,,557.00M,1.361B,74.00M,-74.00M,-5.00M,-74.00M,1.282B,452.00M,830.00M,,1.00M,,831.00M,831.00M,1.742B,386.00M,1.356B,1.5,,1.5,1.5,1.5,,1.5,1.5,550.00M,555.00M,0.15
2012-03,35.17B,,35.17B,34.25B,915.00M,,164.00M,164.00M,611.00M,-611.00M,99.00M,-99.00M,,548.00M,367.00M,99.00M,-99.00M,-605.00M,-99.00M,-337.00M,95.00M,-432.00M,,0.00,,-432.00M,-34.85M,146.00M,384.00M,-238.00M,-0.78,,-0.0592,-0.78,-0.78,,-0.0592,-0.78,551.00M,551.00M,0.15
2011-12,34.67B,,34.67B,33.98B,689.00M,,,129.00M,,-28.00M,89.00M,-89.00M,,522.00M,167.00M,89.00M,-89.00M,15.00M,-89.00M,93.00M,48.00M,45.00M,0.00,0.00,,45.00M,63.20M,575.00M,393.00M,182.00M,0.08,0.0,0.1129,0.08,0.08,0.0,0.1125,0.08,554.00M,560.00M,0.15
2011-09,33.71B,,33.71B,31.18B,2.53B,,,161.00M,,1.00M,88.00M,-88.00M,,551.00M,1.979B,88.00M,-88.00M,1.00M,-88.00M,1.892B,689.00M,1.203B,0.00,0.00,,1.203B,1.202B,2.37B,390.00M,1.98B,2.12,0.0,2.119,2.12,2.11,0.0,2.109,2.11,564.00M,569.00M,0.05
2011-06,31.29B,,31.29B,29.47B,1.827B,,,151.00M,,10.00M,107.00M,-107.00M,,537.00M,1.29B,107.00M,-107.00M,10.00M,-107.00M,1.193B,449.00M,744.00M,-1.00M,1.00M,,744.00M,738.76M,1.686B,386.00M,1.30B,1.31,0.0,1.2990000000000002,1.31,1.3,0.0,1.2890000000000001,1.3,567.00M,574.00M,0.05
2011-03,26.31B,,26.31B,25.57B,739.00M,,,130.00M,,17.00M,117.00M,-117.00M,,495.00M,244.00M,117.00M,-117.00M,17.00M,-117.00M,144.00M,40.00M,104.00M,-6.00M,0.00,,98.00M,91.72M,626.00M,365.00M,261.00M,0.18,-0.01,0.1583,0.17,0.18,-0.01,0.1586,0.17,566.00M,573.00M,0.05
2010-12,22.16B,,22.16B,21.26B,904.00M,,,164.00M,,-29.00M,121.00M,-121.00M,,526.00M,378.00M,121.00M,-121.00M,77.00M,-121.00M,334.00M,154.00M,180.00M,-618.00M,0.00,,-438.00M,198.85M,832.00M,377.00M,455.00M,0.32,-1.09,0.3535,-0.77,0.31,-1.09,0.343,-0.77,563.00M,571.00M,0.05
2010-09,21.02B,,21.02B,19.93B,1.082B,,,139.00M,,17.00M,119.00M,-119.00M,,492.00M,590.00M,119.00M,-119.00M,17.00M,-119.00M,488.00M,185.00M,303.00M,-11.00M,0.00,,292.00M,292.44M,979.00M,372.00M,607.00M,0.54,-0.02,0.5213,0.52,0.53,-0.02,0.5114,0.51,564.00M,568.00M,0.05
2010-06,20.56B,,20.56B,19.17B,1.387B,,,131.00M,,-1.00M,117.00M,-117.00M,,481.00M,906.00M,117.00M,-117.00M,-1.00M,-117.00M,788.00M,268.00M,520.00M,63.00M,0.00,,583.00M,520.66M,1.272B,367.00M,905.00M,0.92,0.11,0.9212,1.03,0.92,0.11,0.9212,1.03,563.00M,567.00M,0.05
2010-03,18.49B,,18.49B,18.05B,441.00M,,,97.00M,,11.00M,127.00M,-127.00M,,437.00M,4.00M,127.00M,-127.00M,11.00M,-127.00M,-112.00M,-32.00M,-80.00M,-33.00M,,,-113.00M,-87.86M,372.00M,357.00M,15.00M,-0.14,-0.06,-0.154,-0.2,-0.14,-0.06,-0.154,-0.2,562.00M,562.00M,0.05
2009-12,15.32B,,15.32B,15.47B,-152.00M,,,-384.00M,,10.00M,121.00M,-121.00M,,-95.00M,-57.00M,121.00M,-121.00M,10.00M,-121.00M,-168.00M,-65.00M,-103.00M,-1.305B,,,-1.408B,-109.13M,324.00M,371.00M,-47.00M,-0.18,-2.41,-0.1909,-2.59,-0.18,-2.41,-0.1909,-2.59,562.00M,562.00M,0.15
2009-09,18.57B,,18.57B,18.04B,530.00M,182.00M,167.00M,349.00M,,-50.00M,131.00M,-131.00M,,710.00M,-180.00M,131.00M,-131.00M,-50.00M,-131.00M,-361.00M,-18.00M,-343.00M,-286.00M,,,-629.00M,-295.49M,159.00M,389.00M,-230.00M,-0.61,-0.51,-0.5253,-1.12,-0.61,-0.51,-0.5253,-1.12,561.00M,561.00M,0.15
2009-06,17.38B,,17.38B,16.80B,581.00M,171.00M,122.00M,293.00M,,-142.00M,84.00M,-84.00M,,654.00M,-73.00M,84.00M,-84.00M,-142.00M,-84.00M,-299.00M,-108.00M,-191.00M,-63.00M,,,-254.00M,-100.29M,174.00M,389.00M,-215.00M,-0.36,-0.12,-0.1872,-0.48,-0.36,-0.12,-0.1872,-0.48,525.00M,525.00M,0.15
2009-03,13.33B,,13.33B,12.05B,1.279B,169.00M,145.00M,314.00M,,-23.00M,80.00M,-80.00M,,664.00M,615.00M,80.00M,-80.00M,-23.00M,-80.00M,512.00M,148.00M,364.00M,-55.00M,,,309.00M,380.35M,970.00M,378.00M,592.00M,0.7,-0.1,0.7318,0.6,0.7,-0.11,0.7315,0.59,514.00M,519.00M,0.15
2008-12,11.99B,,12.59B,10.60B,1.989B,,,327.00M,,-4.377B,,,0.00,584.00M,1.405B,,,-4.377B,,-2.753B,406.00M,-3.159B,,,,-3.278B,-313.95M,-2.226B,370.00M,-2.596B,-6.01,-0.23,-0.5176,-6.24,-6.01,-0.23,-0.5176,-6.24,518.00M,518.00M,0.15
2008-09,36.17B,207.00M,35.96B,33.68B,2.275B,,,370.00M,,341.00M,,,-305.00M,435.00M,1.84B,,,341.00M,,1.795B,643.00M,1.152B,,,,1.152B,933.15M,2.21B,370.00M,1.84B,2.21,0.0,1.791,2.21,2.18,0.0,1.766,2.18,522.00M,529.00M,0.15
2008-06,36.84B,204.00M,36.64B,34.81B,1.834B,,,307.00M,,15.00M,,,,676.00M,1.158B,,,15.00M,,1.09B,356.00M,734.00M,,,,734.00M,723.90M,1.527B,369.00M,1.158B,1.4,0.0,1.381,1.4,1.37,0.0,1.351,1.37,526.00M,534.00M,0.15
2008-03,27.94B,,27.94B,26.78B,1.162B,,,323.00M,,20.00M,,,,690.00M,472.00M,,,20.00M,,395.00M,134.00M,261.00M,,,,261.00M,247.78M,839.00M,367.00M,472.00M,0.49,0.0,0.4652,0.49,0.48,0.0,0.4556,0.48,532.00M,541.00M,0.12
2007-12,28.06B,,28.67B,27.08B,1.595B,,,353.00M,,10.00M,,,,711.00M,884.00M,,,10.00M,,799.00M,232.00M,567.00M,0.00,,,567.00M,559.90M,1.242B,357.00M,884.00M,1.08,0.02,1.067,1.1,1.06,0.02,1.047,1.08,547.00M,555.00M,0.12
2007-09,23.91B,207.00M,23.70B,21.85B,1.853B,,,342.00M,,145.00M,,,,685.00M,1.168B,,,145.00M,,1.19B,342.00M,848.00M,426.00M,,,1.274B,744.67M,1.512B,344.00M,1.168B,1.54,0.77,1.3519999999999999,2.31,1.34,0.75,1.157,2.09,551.00M,564.00M,0.12
2007-06,24.40B,203.00M,24.20B,20.30B,3.907B,,,377.00M,,7.00M,,,,714.00M,3.193B,,,7.00M,,3.117B,1.055B,2.062B,187.00M,,,2.249B,2.057B,3.534B,341.00M,3.193B,3.66,0.33,3.6519999999999997,3.99,3.57,0.32,3.562,3.89,563.00M,578.00M,0.12
2007-03,18.76B,,18.76B,16.44B,2.311B,,,316.00M,,5.00M,,,-92.00M,546.00M,1.765B,,,5.00M,,1.62B,532.00M,1.088B,56.00M,,,1.144B,1.085B,2.099B,334.00M,1.765B,1.82,0.09,1.814,1.91,1.77,0.09,1.765,1.86,599.00M,615.00M,0.12
2006-12,18.84B,-586.00M,19.42B,16.79B,2.628B,,,320.00M,,212.00M,,,,1.204B,1.424B,,,222.00M,,1.585B,504.00M,1.668B,,-3.00M,0.00,1.525B,1.523B,1.732B,308.00M,1.424B,1.8,0.06,1.561,1.86,1.75,0.06,1.517,1.81,605.00M,620.00M,0.08
2006-09,23.24B,197.00M,23.04B,20.37B,2.67B,,,321.00M,,143.00M,,,-197.00M,409.00M,2.261B,,,156.00M,,2.367B,808.00M,1.362B,44.00M,-4.00M,,1.406B,1.268B,2.555B,294.00M,2.261B,2.56,0.07,2.405,2.63,2.48,0.07,2.33,2.55,609.00M,628.00M,0.08
2006-06,25.59B,,25.59B,22.22B,3.37B,,,353.00M,,-5.00M,,,,632.00M,2.738B,,,5.00M,,2.695B,876.00M,1.819B,78.00M,,1.00M,1.897B,1.822B,3.031B,293.00M,2.738B,2.97,0.13,2.9760000000000004,3.1,2.86,0.12,2.865,2.98,611.00M,636.00M,0.08
2006-03,20.93B,194.00M,20.73B,19.01B,1.722B,,,323.00M,,,,,-194.00M,389.00M,1.333B,,,12.00M,,1.286B,437.00M,655.00M,,,1.00M,655.00M,655.00M,1.593B,260.00M,1.333B,1.37,0.0,1.37,1.37,1.32,0.0,1.32,1.32,619.00M,644.00M,0.06
2005-12,24.35B,0.40M,24.35B,21.96B,2.387B,,,332.00M,,57.00M,,,,580.60M,1.806B,,,66.00M,,1.795B,565.00M,1.231B,,,1.00M,1.231B,1.192B,2.093B,287.00M,1.806B,2.26,0.0,2.197,2.26,2.14,0.0,2.08,2.14,618.00M,654.00M,0.05
2005-09,23.28B,0.20M,23.28B,21.40B,1.886B,,,356.00M,,11.00M,,,-0.20M,574.80M,1.311B,,,24.00M,,1.268B,406.00M,861.80M,,,4.00M,861.80M,854.32M,1.53B,205.00M,1.311B,1.56,0.0,1.546,1.56,1.47,0.0,1.4569999999999999,1.47,551.00M,587.00M,0.05
2005-06,18.03B,0.20M,18.03B,16.24B,1.789B,,,294.00M,,-13.00M,,,-0.20M,483.80M,1.305B,,,-3.00M,,1.241B,394.00M,846.80M,,,4.00M,846.80M,855.67M,1.502B,197.00M,1.305B,1.64,0.0,1.6569999999999998,1.64,1.53,0.0,1.546,1.53,514.00M,555.00M,0.05
2005-03,14.95B,0.20M,14.95B,13.65B,1.301B,,,276.00M,,-2.00M,,,-0.20M,454.80M,846.00M,,,7.00M,,790.00M,256.00M,533.80M,,,4.00M,533.80M,535.15M,1.032B,186.00M,846.00M,1.03,0.0,1.033,1.03,0.96,0.0,0.9624,0.96,512.00M,556.00M,0.04
2004-12,15.39B,0.20M,15.39B,14.12B,1.266B,,,303.00M,,-52.00M,,,-0.20M,456.80M,809.00M,,,-42.00M,,702.00M,213.00M,488.80M,,,4.00M,488.80M,525.02M,963.00M,154.00M,809.00M,0.945,0.0,1.016,0.945,0.88,0.0,0.9449,0.88,510.00M,558.00M,0.04
2004-09,14.34B,0.20M,14.34B,13.21B,1.127B,,,264.00M,,7.00M,,,-0.20M,427.80M,699.00M,,,17.00M,,653.00M,219.00M,433.80M,,,3.00M,433.80M,429.15M,863.00M,164.00M,699.00M,0.845,0.0,0.8359,0.845,0.785,0.0,0.7766,0.785,512.00M,552.00M,0.0375
2004-06,13.81B,0.20M,13.81B,12.34B,1.462B,,,269.00M,,-3.00M,,,-0.20M,427.80M,1.034B,,,6.00M,,970.00M,337.00M,632.80M,,,3.00M,632.80M,634.76M,1.193B,159.00M,1.034B,1.225,0.0,1.229,1.225,1.14,0.0,1.1440000000000001,1.14,514.00M,554.00M,0.0375
2004-03,11.08B,0.20M,11.08B,10.26B,825.80M,,,248.00M,,,,,-0.20M,388.80M,437.00M,,,10.00M,,385.00M,137.00M,247.80M,,,3.00M,247.80M,247.80M,578.00M,141.00M,437.00M,0.485,0.0,0.485,0.485,0.455,0.0,0.455,0.455,504.00M,544.00M,0.03
2003-12,9.509B,,9.509B,8.877B,631.40M,,,251.60M,,21.20M,,,,399.30M,232.10M,,,30.60M,,202.80M,71.20M,130.80M,,0.00,3.00M,130.80M,117.04M,380.60M,148.50M,232.10M,0.26,0.0,0.2313,0.26,0.245,0.0,0.2184,0.245,480.00M,518.00M,0.03
2003-09,9.922B,,9.922B,9.187B,734.90M,,,252.30M,,-0.30M,,,,377.50M,357.40M,,,9.40M,,301.90M,110.80M,191.10M,,,1.30M,191.10M,191.29M,482.60M,125.20M,357.40M,0.405,0.0,0.4054,0.405,0.375,0.0,0.3754,0.375,467.60M,510.40M,0.025
2003-06,8.844B,,8.844B,8.207B,637.20M,,,243.10M,,-5.90M,,,,362.80M,274.40M,,,3.30M,,207.00M,78.60M,128.40M,,,,128.40M,132.06M,394.10M,119.70M,274.40M,0.28,0.0,0.288,0.28,0.27,0.0,0.2777,0.27,457.20M,474.80M,0.025
2003-03,9.693B,,9.693B,8.972B,721.20M,,,246.00M,,0.30M,,,,363.10M,358.10M,,,1.80M,,274.90M,104.50M,170.40M,,-2.40M,,170.40M,170.21M,475.20M,117.10M,358.10M,0.395,0.0,0.3946,0.395,0.3775,0.0,0.3771,0.3775,430.80M,451.20M,0.025
2002-12,8.118B,,8.118B,7.516B,602.10M,,,247.40M,,13.50M,,,,361.80M,240.30M,,,13.50M,,145.50M,56.50M,89.00M,,-3.70M,,89.00M,80.74M,354.70M,114.40M,240.30M,0.2085,,0.189,0.2085,0.205,0.0,0.1855,0.205,422.40M,424.06M,0.025
2002-09,8.119B,,8.119B,7.644B,474.90M,,,236.70M,,6.40M,,,,344.60M,130.30M,,,6.40M,,47.50M,17.70M,29.80M,,-3.80M,,29.80M,25.78M,238.20M,107.90M,130.30M,0.07,0.0,0.0605,0.07,0.0675,0.0,0.0583,0.0675,423.60M,436.40M,0.025
2002-06,7.223B,,7.223B,6.779B,443.70M,,,230.90M,,2.10M,,,,343.60M,100.10M,,,2.10M,,18.40M,7.10M,11.30M,,-4.00M,,11.30M,10.01M,212.80M,112.70M,100.10M,0.0275,0.0,0.0245,0.0275,0.025,0.0,0.0221,0.025,423.20M,442.40M,0.025
2002-03,5.122B,,5.122B,4.791B,331.30M,,,216.80M,,-4.70M,,,,331.10M,0.20M,,,-4.70M,,-61.70M,-23.10M,-38.60M,,-2.60M,,-38.60M,-35.66M,114.50M,114.30M,0.20M,-0.0925,0.0,-0.0855,-0.0925,-0.0925,0.0,-0.0855,-0.0925,420.00M,420.00M,0.025
