,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2012-12,1.723B,1.723B,8.061B,26.00M,136.00M,8.336B,2.675B,,3.298B,,5.973B,154.00M,,274.00M,,16.46B,0.0,802.00M,734.00M,28.51B,1.457B,2.629B,34.13B,-7.832B,26.30B,,,213.00M,,,1.504B,,28.02B,44.48B,9.348B,1.027B,10.38B,512.00M,10.89B,32.00M,586.00M,586.00M,,586.00M,,378.00M,378.00M,14.00M,11.93B,345.00M,6.463B,,6.463B,5.86B,,5.86B,412.00M,982.00M,0.0,63.00M,,391.00M,14.45B,26.38B,7.00M,17.03B,7.322B,6.437B,,,,108.00M,18.03B
2012-09,2.549B,2.549B,7.451B,,,7.491B,206.00M,2.423B,3.158B,,5.787B,148.00M,,292.00M,,16.27B,,,,,,,33.45B,-7.581B,25.87B,,216.00M,216.00M,,,1.436B,,27.52B,43.79B,9.286B,1.583B,10.87B,612.00M,11.48B,,,585.00M,,585.00M,,185.00M,185.00M,,12.25B,,,6.463B,6.463B,5.758B,,5.758B,,,,54.00M,,1.934B,14.16B,26.41B,7.00M,16.12B,7.409B,6.455B,,,,252.00M,17.33B
2012-06,1.295B,1.295B,6.624B,,,6.911B,223.00M,2.14B,3.08B,,5.443B,138.00M,,246.00M,,14.03B,,,,,,,32.83B,-7.311B,25.52B,,218.00M,218.00M,,,1.416B,,27.16B,41.19B,7.998B,1.395B,9.393B,527.00M,9.92B,,,582.00M,,582.00M,,296.00M,296.00M,,10.80B,,,6.46B,6.46B,5.411B,,5.411B,,,,46.00M,,1.896B,13.77B,24.56B,7.00M,15.54B,7.477B,6.568B,,,,119.00M,16.58B
2012-03,1.559B,1.559B,7.418B,,,7.644B,219.00M,2.73B,3.196B,,6.145B,118.00M,,358.00M,,15.82B,,,,,,,32.25B,-7.098B,25.16B,,227.00M,227.00M,,,1.428B,,26.81B,42.63B,9.941B,1.32B,11.26B,483.00M,11.74B,,,1.143B,,1.143B,,189.00M,189.00M,,13.08B,,,6.46B,6.46B,5.21B,,5.21B,,,,33.00M,,1.896B,13.57B,26.64B,7.00M,14.79B,7.479B,6.542B,,,,221.00M,15.96B
2011-12,1.024B,1.024B,8.366B,214.00M,174.00M,8.918B,2.692B,,2.931B,,5.623B,124.00M,,283.00M,,15.97B,0.0,722.00M,712.00M,26.20B,1.29B,3.332B,32.25B,-7.076B,25.18B,,,227.00M,,,1.407B,,26.81B,42.78B,9.472B,1.383B,10.86B,488.00M,11.34B,45.00M,1.009B,1.009B,,1.009B,,249.00M,249.00M,25.00M,12.71B,316.00M,6.732B,,6.732B,5.017B,,5.017B,433.00M,795.00M,0.0,22.00M,,337.00M,13.63B,26.34B,7.00M,15.31B,7.486B,6.475B,,,,96.00M,16.42B
2011-09,2.829B,2.829B,7.509B,,,7.514B,213.00M,2.502B,2.449B,,5.164B,109.00M,,254.00M,,15.87B,,,,,,,31.07B,-6.847B,24.22B,,251.00M,251.00M,,,1.343B,,25.81B,41.68B,8.52B,1.189B,9.709B,785.00M,10.49B,,,867.00M,,867.00M,,322.00M,322.00M,,11.68B,,,6.781B,6.781B,4.942B,,4.942B,,,,16.00M,,1.607B,13.33B,25.01B,7.00M,15.35B,7.559B,6.491B,,,,232.00M,16.65B
2011-06,4.107B,4.107B,6.027B,,,6.145B,195.00M,2.188B,1.605B,,3.988B,162.00M,,285.00M,,14.69B,,,,,,,29.87B,-6.66B,23.21B,,222.00M,222.00M,,,1.411B,,24.84B,39.53B,7.642B,709.00M,8.351B,765.00M,9.116B,,,861.00M,,861.00M,,254.00M,254.00M,,10.23B,,6.762B,,6.762B,4.801B,,4.801B,,,,10.00M,,1.74B,13.30B,23.53B,7.00M,14.17B,7.616B,6.312B,,,,498.00M,15.98B
2011-03,4.133B,4.133B,5.858B,,,6.174B,,,,,4.338B,149.00M,,262.00M,,15.06B,,,,,,,29.40B,-6.509B,22.90B,,225.00M,225.00M,,,1.416B,,24.54B,39.59B,8.653B,572.00M,9.225B,729.00M,9.954B,,,312.00M,,312.00M,,140.00M,140.00M,,10.41B,,,7.517B,7.517B,4.693B,,4.693B,,,,,,1.752B,13.96B,24.37B,7.00M,13.46B,7.641B,6.361B,,,,479.00M,15.22B
2010-12,3.334B,3.334B,4.583B,,,4.926B,187.00M,2.225B,2.535B,,4.947B,121.00M,,190.00M,,13.52B,0.0,624.00M,1.067B,23.70B,1.224B,2.303B,28.92B,-6.252B,22.67B,,224.00M,224.00M,,,1.21B,,24.10B,37.62B,6.441B,674.00M,7.115B,590.00M,7.705B,,,822.00M,,822.00M,,257.00M,257.00M,,8.784B,,,7.515B,7.515B,4.53B,,4.53B,,,,,,1.767B,13.81B,22.60B,7.00M,13.39B,7.704B,6.462B,,,,388.00M,15.02B
2010-09,2.352B,2.352B,4.24B,,,4.34B,198.00M,2.65B,1.956B,,4.804B,172.00M,,184.00M,25.00M,11.88B,,,,,,,29.93B,-6.34B,23.59B,,224.00M,224.00M,,,1.585B,,25.40B,37.28B,6.096B,635.00M,6.731B,548.00M,7.279B,,,523.00M,,523.00M,,322.00M,322.00M,89.00M,8.213B,,,7.513B,7.513B,4.43B,,4.43B,,,,,,1.72B,13.66B,21.88B,7.00M,13.86B,7.839B,6.615B,,,,314.00M,15.40B
2010-06,2.001B,2.001B,4.122B,,,4.201B,193.00M,2.572B,2.002B,,4.767B,170.00M,13.00M,171.00M,25.00M,11.35B,,,,,,,29.44B,-6.076B,23.36B,,223.00M,223.00M,,,1.543B,,25.13B,36.48B,5.856B,809.00M,6.665B,440.00M,7.105B,,,523.00M,,523.00M,,184.00M,184.00M,102.00M,7.914B,,,7.511B,7.511B,4.27B,,4.27B,,,,,,1.731B,13.51B,21.43B,7.00M,13.59B,7.833B,6.62B,,,,240.00M,15.05B
2010-03,1.887B,1.887B,3.947B,,,4.005B,189.00M,2.549B,1.986B,,4.724B,181.00M,129.00M,175.00M,219.00M,11.32B,,,,,,,29.19B,-5.851B,23.34B,,226.00M,226.00M,,,1.584B,,25.14B,36.46B,5.986B,626.00M,6.612B,502.00M,7.114B,,,635.00M,,635.00M,,186.00M,186.00M,160.00M,8.095B,,,7.718B,7.718B,4.131B,,4.131B,,,,,,1.855B,13.70B,21.80B,7.00M,13.04B,7.879B,6.688B,,,,432.00M,14.67B
2009-12,825.00M,825.00M,3.779B,,,4.666B,176.00M,2.004B,2.398B,,4.578B,384.00M,,180.00M,289.00M,10.92B,0.0,604.00M,1.01B,21.42B,1.155B,2.694B,26.88B,-5.27B,21.62B,,227.00M,227.00M,,,1.347B,1.461B,24.65B,35.57B,5.825B,820.00M,6.645B,641.00M,7.286B,,,237.00M,,237.00M,,253.00M,253.00M,33.00M,7.809B,,,7.163B,7.163B,4.006B,,4.006B,,,,,,1.869B,13.04B,20.85B,7.00M,13.18B,7.896B,6.721B,,,,365.00M,14.72B
2009-09,1.605B,1.605B,3.923B,,,4.004B,205.00M,1.936B,2.334B,101.00M,4.576B,386.00M,144.00M,150.00M,,10.86B,,,,,,,29.86B,-5.632B,24.23B,,229.00M,229.00M,,,1.48B,,25.94B,36.80B,5.756B,731.00M,6.487B,633.00M,7.12B,,,213.00M,,213.00M,,424.00M,424.00M,,7.757B,,,7.162B,7.162B,3.872B,,3.872B,,,,,,2.124B,13.16B,20.92B,7.00M,14.67B,7.975B,6.83B,,,,68.00M,15.89B
2009-06,1.623B,1.623B,4.217B,,,4.244B,198.00M,2.065B,2.198B,100.00M,4.561B,472.00M,141.00M,132.00M,,11.17B,,,,,,,29.69B,-5.404B,24.28B,,221.00M,221.00M,,,1.543B,,26.05B,37.22B,5.84B,593.00M,6.433B,350.00M,6.783B,,,137.00M,,137.00M,,404.00M,404.00M,,7.324B,,,7.231B,7.231B,4.105B,,4.105B,,,,,,2.154B,13.49B,20.81B,7.00M,15.38B,7.987B,6.856B,,,,-115.00M,16.41B
2009-03,1.715B,1.715B,3.156B,,,3.242B,186.00M,2.186B,2.297B,,4.669B,625.00M,139.00M,78.00M,,10.47B,,,,,,,28.64B,-5.112B,23.53B,,213.00M,213.00M,,,1.563B,,25.31B,35.78B,4.539B,503.00M,5.042B,378.00M,5.42B,,,312.00M,,312.00M,,505.00M,505.00M,,6.237B,,,7.264B,7.264B,4.289B,,4.289B,,,,,,2.183B,13.74B,19.97B,6.00M,15.72B,7.194B,6.875B,,,,-237.00M,15.80B
2008-12,940.00M,940.00M,2.895B,,,3.092B,166.00M,2.14B,2.314B,,4.62B,550.00M,131.00M,98.00M,19.00M,9.45B,0.0,602.00M,872.00M,20.92B,1.098B,2.632B,26.12B,-4.698B,21.42B,,224.00M,224.00M,,,1.436B,1.886B,24.97B,34.42B,4.323B,592.00M,4.915B,370.00M,5.285B,,,312.00M,,312.00M,,485.00M,485.00M,127.00M,6.209B,,,6.264B,6.264B,3.829B,,3.829B,,,,,,2.495B,12.59B,18.80B,6.00M,15.48B,7.19B,6.884B,,,,-176.00M,15.62B
