,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,,824.37M,,824.37M,1.596B,1.868B,3.464B,187.98M,,,4.476B,0.00,20.01M,129.77M,715.48M,,24.89M,264.18M,1.154B,-683.22M,471.10M,5.955B,680.66M,6.636B,,,,968.95M,8.076B,12.55B,,1.072B,,,,1.072B,1.455B,2.527B,8.964M,,8.964M,,8.964M,559.90M,559.90M,,3.096B,2.336B,,2.336B,,1.066B,,87.73M,,,3.403B,6.499B,,141.86M,3.881B,2.671B,,,,-728.18M,5.965B,,AOR,Restated
2018-03,,835.42M,,835.42M,1.587B,1.834B,3.421B,200.63M,,,4.457B,0.00,20.34M,131.31M,749.11M,,19.43M,268.95M,1.189B,-684.73M,504.41M,5.917B,745.95M,6.663B,,,,977.41M,8.145B,12.60B,,964.28M,,,,964.28M,1.431B,2.395B,5.559M,,5.559M,,5.559M,582.36M,582.36M,,2.983B,2.512B,,2.512B,,1.081B,,88.91M,,,3.593B,6.576B,,141.72M,3.756B,2.656B,,,,-617.06M,5.937B,,AOR,Restated
2017-12,,1.060B,,1.060B,1.691B,1.602B,3.294B,193.61M,,,4.547B,0.00,20.64M,137.34M,777.36M,,22.37M,274.14M,1.232B,-657.82M,574.03M,5.721B,921.00M,6.642B,,,,928.89M,8.145B,12.69B,,947.20M,,,,947.20M,1.473B,2.420B,5.45M,,5.45M,,5.45M,637.54M,637.54M,,3.063B,2.588B,,2.588B,,1.079B,,92.64M,,,3.667B,6.730B,,141.56M,3.729B,2.628B,,,,-628.98M,5.869B,,AOR,Restated
2017-09,,774.15M,,774.15M,949.06M,1.153B,2.103B,119.49M,,,2.996B,0.00,17.20M,93.31M,627.61M,,21.30M,220.30M,979.71M,-629.80M,349.91M,3.010B,332.92M,3.343B,273.92M,17.84M,368.70M,31.56M,4.385B,7.381B,,683.60M,18.57M,32.16M,,734.34M,828.36M,1.563B,3.071M,,3.071M,,3.071M,299.86M,360.46M,,1.926B,235.00M,,235.00M,,732.28M,,59.00M,,,967.28M,2.894B,,120.39M,3.722B,1.240B,,,,-653.51M,4.428B,,AOR,Restated
2017-06,,758.30M,,758.30M,934.77M,1.152B,2.086B,95.61M,,,2.940B,0.00,16.85M,91.74M,587.22M,,25.82M,217.84M,939.48M,-610.35M,329.13M,2.901B,310.42M,3.211B,,,,764.16M,4.305B,7.245B,,553.74M,,,,553.74M,886.22M,1.440B,3.02M,,3.02M,,3.02M,396.82M,396.82M,,1.840B,282.00M,,282.00M,,838.03M,,59.27M,,,1.120B,2.960B,,120.27M,3.665B,1.224B,,,,-783.39M,4.226B,,AOR,Restated
2017-03,,674.60M,,674.60M,927.50M,1.131B,2.058B,88.54M,,,2.821B,0.00,16.64M,90.94M,557.57M,,29.43M,214.11M,908.70M,-592.62M,316.08M,2.862B,319.82M,3.182B,,,,766.60M,4.265B,7.086B,,468.14M,,,,468.14M,872.86M,1.341B,2.941M,,2.941M,,2.941M,389.28M,389.28M,,1.733B,334.92M,,334.92M,,843.61M,,59.61M,,,1.179B,2.912B,,120.45M,3.612B,1.217B,,,,-835.01M,4.115B,,AOR,Restated
2016-12,,736.55M,,736.55M,961.52M,1.131B,2.093B,94.00M,,,2.923B,0.00,16.43M,90.16M,537.40M,,35.12M,215.95M,895.07M,-580.66M,314.41M,2.822B,318.27M,3.140B,,,,731.97M,4.187B,7.110B,,502.83M,,,,502.83M,834.03M,1.337B,2.899M,,2.899M,,2.899M,409.91M,409.91M,,1.750B,387.00M,,387.00M,,837.67M,,65.47M,,,1.225B,2.974B,,121.17M,3.622B,1.206B,,,,-878.91M,4.070B,,AOR,Restated
2016-09,,655.72M,,655.72M,1.110B,1.006B,2.116B,93.09M,,,2.864B,0.00,16.68M,91.19M,531.54M,,36.76M,221.44M,897.61M,-577.94M,319.67M,3.080B,336.92M,3.417B,300.62M,18.30M,413.56M,26.84M,4.496B,7.360B,,522.43M,0.00,37.03M,,559.46M,832.29M,1.392B,2.421M,,2.421M,,2.421M,319.46M,388.52M,,1.783B,385.33M,,385.33M,,861.82M,,64.91M,,,1.247B,3.030B,,120.95M,3.587B,1.168B,,,,-610.59M,4.265B,,AOR,Restated
2016-06,,616.39M,,616.39M,1.087B,1.147B,2.234B,78.02M,,,2.929B,0.00,18.70M,92.41M,560.15M,,26.20M,231.29M,928.76M,-603.63M,325.13M,3.080B,333.61M,3.413B,,,356.44M,397.20M,4.492B,7.421B,,479.22M,,,,479.22M,1.021B,1.500B,8.941M,,8.941M,,8.941M,297.52M,297.52M,,1.806B,479.00M,,479.00M,,646.07M,,64.66M,,,1.125B,2.932B,,121.70M,3.600B,1.156B,,,,-453.26M,4.425B,,AOR,Restated
2016-03,,559.72M,,559.72M,1.170B,1.245B,2.415B,98.01M,,,3.073B,0.00,23.78M,93.01M,571.08M,,20.50M,238.96M,947.34M,-603.79M,343.55M,3.055B,342.37M,3.397B,,,375.24M,528.02M,4.644B,7.717B,,487.81M,,,,487.81M,1.054B,1.542B,2.727M,,2.727M,,2.727M,373.65M,373.65M,,1.918B,530.00M,,530.00M,,829.42M,,62.96M,,,1.359B,3.278B,,122.15M,3.554B,1.150B,,,,-450.20M,4.376B,,AOR,Restated
2015-12,,443.72M,,443.72M,1.290B,1.135B,2.424B,104.40M,139.72M,,3.112B,0.00,23.47M,92.40M,582.06M,,22.12M,250.29M,970.35M,-609.34M,361.01M,3.059B,345.77M,3.405B,,,,737.50M,4.504B,7.616B,,421.21M,,,,421.21M,1.034B,1.455B,2.833M,,2.833M,,2.833M,327.03M,327.03M,,1.785B,621.90M,,621.90M,,838.72M,,64.75M,,,1.461B,3.246B,,122.78M,3.511B,1.142B,,,,-470.48M,4.306B,,AOR,Restated
2015-09,,460.86M,,460.86M,1.214B,1.335B,2.549B,113.08M,,,3.123B,0.00,23.76M,97.60M,592.49M,,17.23M,259.54M,990.62M,-609.38M,381.24M,3.049B,353.42M,3.402B,338.38M,13.20M,374.06M,34.62M,4.663B,7.786B,,566.87M,,53.48M,,620.34M,944.47M,1.565B,13.36M,,13.36M,,13.36M,309.95M,402.99M,,1.981B,584.43M,,584.43M,,863.87M,,64.71M,,,1.448B,3.429B,,123.15M,3.496B,1.137B,,,,-464.76M,4.292B,,AOR,Restated
2015-06,,553.56M,,553.56M,1.294B,1.386B,2.679B,82.24M,158.86M,,3.474B,0.00,20.71M,124.70M,612.24M,,20.12M,279.31M,1.057B,-635.76M,421.31M,3.034B,382.97M,3.417B,,,,647.15M,4.485B,7.959B,,510.75M,,,,510.75M,1.167B,1.678B,38.36M,,38.36M,,38.36M,376.08M,376.08M,,2.093B,646.39M,,646.39M,,820.50M,,46.54M,,,1.467B,3.560B,,124.14M,3.514B,1.136B,,,,-420.97M,4.353B,,AOR,Restated
2015-03,,464.95M,,464.95M,1.324B,1.376B,2.700B,93.92M,156.98M,,3.416B,0.00,20.67M,124.26M,614.69M,,22.84M,281.70M,1.064B,-630.32M,433.84M,3.047B,396.40M,3.443B,,,,638.58M,4.515B,7.931B,,470.82M,,,,470.82M,1.148B,1.619B,42.71M,,42.71M,,42.71M,343.00M,343.00M,,2.005B,712.71M,,712.71M,,805.18M,,40.24M,,,1.518B,3.522B,,126.47M,3.515B,1.157B,,,,-428.90M,4.369B,,AOR,Restated
2014-12,,670.08M,,670.08M,1.431B,1.302B,2.734B,113.77M,168.43M,,3.686B,0.00,21.10M,126.88M,630.03M,,13.85M,292.82M,1.085B,-637.54M,447.14M,3.047B,414.11M,3.461B,,,,648.90M,4.557B,8.243B,,532.96M,,16.97M,,549.93M,1.227B,1.777B,44.33M,,44.33M,,44.33M,417.41M,417.41M,,2.239B,706.61M,,706.61M,,824.70M,,34.48M,,,1.531B,3.770B,,129.48M,3.540B,1.171B,,,,-401.50M,4.438B,,AOR,Restated
2014-09,,732.65M,,732.65M,1.425B,1.442B,2.868B,121.98M,169.89M,,3.892B,0.00,21.50M,128.58M,634.42M,,20.06M,287.81M,1.092B,-635.57M,456.80M,3.026B,440.19M,3.467B,343.31M,8.007M,170.65M,38.57M,4.562B,8.454B,,622.88M,,52.37M,,675.25M,1.131B,1.806B,36.73M,,36.73M,,36.73M,410.68M,506.81M,,2.350B,764.08M,,764.08M,,834.08M,,36.40M,,,1.598B,3.948B,,131.75M,3.527B,1.174B,,,,-363.55M,4.469B,,AOR,Restated
2014-06,,772.61M,,772.61M,1.351B,1.385B,2.736B,96.54M,147.96M,,3.753B,0.00,21.87M,132.90M,667.05M,,12.77M,298.84M,1.133B,-677.81M,455.63M,2.939B,478.12M,3.417B,,,,707.03M,4.579B,8.333B,,421.13M,,20.82M,,441.96M,1.320B,1.762B,41.35M,,41.35M,,41.35M,366.98M,366.98M,,2.170B,789.42M,,789.42M,,840.57M,,31.63M,,,1.630B,3.800B,,133.01M,3.505B,1.167B,,,,-303.99M,4.501B,,AOR,Restated
2014-03,,691.26M,,691.26M,1.368B,1.350B,2.718B,104.77M,134.53M,,3.649B,0.00,21.67M,132.53M,664.77M,,43.53M,270.69M,1.133B,-661.28M,471.90M,2.911B,486.22M,3.397B,,,,718.15M,4.587B,8.236B,,321.39M,,4.344M,,325.73M,1.214B,1.540B,64.18M,,64.18M,,64.18M,378.50M,378.50M,,1.983B,932.15M,,932.15M,,857.26M,,44.36M,,,1.789B,3.772B,,132.18M,3.461B,1.146B,,,,-319.51M,4.419B,,AOR,Restated
2013-12,,1.011B,,1.011B,1.517B,1.173B,2.690B,110.64M,132.08M,,3.944B,0.00,21.87M,131.98M,666.63M,,40.45M,249.09M,1.110B,-641.69M,468.34M,2.779B,569.16M,3.348B,,,,680.43M,4.497B,8.441B,,406.63M,,63.70M,,470.34M,1.189B,1.659B,53.08M,,53.08M,,53.08M,449.93M,449.93M,,2.162B,1.041B,,1.041B,,876.47M,,38.09M,,,1.918B,4.080B,,131.86M,3.395B,1.111B,,,,-314.77M,4.323B,,AOR,Restated
2013-09,,1.256B,,1.256B,1.389B,1.160B,2.549B,103.08M,131.09M,,4.040B,0.00,22.03M,131.69M,537.84M,,22.68M,204.94M,919.17M,-539.87M,379.30M,2.023B,217.90M,2.241B,295.04M,11.69M,197.46M,26.02M,3.235B,7.274B,,457.89M,,80.00M,,537.90M,924.26M,1.462B,22.78M,,22.78M,,22.78M,345.10M,402.68M,,1.888B,415.09M,,415.09M,,723.10M,,35.24M,,,1.138B,3.026B,,131.64M,3.301B,1.085B,,,,-304.13M,4.213B,,AOR,Restated
2013-06,,1.296B,,1.296B,1.186B,1.132B,2.318B,79.30M,107.52M,,3.800B,0.00,22.06M,130.68M,517.34M,,27.29M,186.35M,883.73M,-522.47M,361.27M,2.015B,,2.015B,,,,872.86M,3.249B,7.050B,,344.52M,,4.746M,,349.27M,1.083B,1.432B,12.28M,,12.28M,,12.28M,289.21M,289.21M,,1.733B,432.70M,,432.70M,,761.88M,,30.24M,0.00,,1.195B,2.928B,,131.41M,3.191B,1.070B,,,,-300.70M,4.092B,,AOR,Restated
2013-03,,1.166B,,1.166B,1.144B,1.131B,2.274B,84.40M,116.54M,,3.642B,0.00,22.68M,132.17M,515.84M,,23.34M,189.06M,883.09M,-524.25M,358.85M,2.005B,,2.005B,,,,866.15M,3.230B,6.872B,,350.78M,,3.759M,,354.54M,1.038B,1.393B,3.60M,,3.60M,,3.60M,257.78M,257.78M,,1.654B,447.21M,,447.21M,,772.25M,,33.82M,8.658M,,1.228B,2.882B,,130.72M,3.085B,1.027B,,,,-287.69M,3.956B,,AOR,Restated
2012-12,,1.242B,,1.242B,1.119B,1.105B,2.224B,86.95M,142.82M,,3.695B,0.00,23.55M,136.07M,504.89M,,46.02M,163.36M,873.88M,-532.93M,340.96M,2.012B,,2.012B,,,,888.83M,3.241B,6.937B,,343.57M,,67.79M,,411.36M,1.038B,1.450B,5.124M,,5.124M,,5.124M,296.16M,296.16M,,1.751B,513.11M,,513.11M,,795.83M,,39.24M,8.611M,,1.318B,3.068B,,130.24M,3.018B,972.82M,,,,-291.60M,3.829B,,AOR,Restated
2012-09,,1.032B,,1.032B,1.194B,1.155B,2.349B,88.36M,142.37M,,3.612B,0.00,23.79M,136.19M,502.57M,,29.60M,163.92M,856.06M,-524.93M,331.13M,2.010B,243.76M,2.254B,273.75M,11.13M,196.62M,28.16M,3.227B,6.839B,,376.69M,,87.06M,,463.76M,978.68M,1.442B,0.00,,0.00,,0.00,263.28M,304.62M,,1.747B,528.26M,,528.26M,,796.34M,,36.42M,8.894M,,1.333B,3.081B,,129.94M,2.920B,953.98M,,,,-281.89M,3.722B,,AOR,Restated
2012-06,,898.59M,,898.59M,,,2.208B,60.37M,138.14M,,3.305B,0.00,23.24M,133.87M,487.60M,,21.51M,156.27M,822.48M,-511.17M,311.31M,1.993B,,1.993B,,,,872.70M,3.177B,6.483B,,345.34M,,33.60M,,378.94M,954.76M,1.334B,1.80M,,1.80M,,1.80M,,,235.67M,1.571B,510.64M,,510.64M,,701.87M,,42.19M,,,1.213B,2.784B,,129.66M,2.812B,935.15M,,,,-220.42M,3.657B,,AOR,Restated
2012-03,,921.51M,,921.51M,,,2.147B,61.34M,135.50M,,3.265B,0.00,23.77M,135.73M,477.83M,,17.17M,153.12M,807.62M,-510.22M,297.40M,1.878B,,1.878B,,,,891.56M,3.067B,6.332B,,345.66M,,7.162M,,352.82M,965.43M,1.318B,255.78M,,255.78M,,255.78M,,,254.94M,1.829B,285.38M,,285.38M,,655.00M,,17.00M,,,940.38M,2.769B,,128.91M,2.719B,915.50M,,,,-217.50M,3.545B,,AOR,Restated
2011-12,,959.24M,,959.24M,,,2.027B,58.59M,113.72M,,3.159B,0.00,23.43M,133.58M,463.97M,,16.43M,147.57M,784.98M,-493.55M,291.43M,1.781B,,1.781B,,,,895.58M,2.968B,6.126B,,307.06M,,62.35M,,369.40M,821.78M,1.191B,535.72M,,535.72M,,535.72M,,,296.43M,2.023B,,,,,650.19M,,13.56M,,,650.19M,2.674B,,128.38M,2.648B,886.10M,,,,-223.76M,3.439B,,AOR,Restated
2011-09,,905.63M,,905.63M,1.017B,1.061B,2.077B,63.55M,133.42M,,3.180B,0.00,23.54M,136.16M,446.63M,,10.05M,144.90M,761.28M,-476.65M,284.63M,1.873B,259.01M,2.132B,261.03M,6.942M,161.54M,32.34M,3.019B,6.199B,,351.30M,,75.56M,,426.86M,878.88M,1.306B,566.03M,,566.03M,,566.03M,276.74M,296.76M,,2.169B,2.042M,,2.042M,,705.27M,,10.40M,0.00,,707.32M,2.876B,,127.78M,2.564B,858.46M,,,,-237.54M,3.313B,,AOR,Restated
2011-06,,773.82M,,773.82M,,,2.178B,56.38M,116.89M,,3.125B,0.00,24.47M,142.40M,452.32M,,13.28M,142.69M,775.16M,-482.29M,292.87M,1.744B,,1.744B,,,,877.47M,2.915B,6.039B,,330.34M,,35.49M,,365.82M,934.18M,1.300B,548.74M,,548.74M,,548.74M,,,281.06M,2.130B,2.455M,,2.455M,,753.87M,,11.34M,,,756.32M,2.886B,,127.47M,2.470B,840.63M,,,,-296.28M,3.142B,,AOR,Restated
2011-03,,747.91M,,747.91M,,,1.984B,74.30M,127.05M,,2.934B,0.00,19.54M,103.41M,473.26M,,10.41M,149.44M,756.07M,-521.52M,234.55M,1.732B,,1.732B,,,,737.89M,2.704B,5.638B,,306.03M,,19.68M,,325.70M,815.29M,1.141B,54.54M,,54.54M,,54.54M,,,290.80M,1.486B,379.70M,,379.70M,,722.14M,,8.645M,,,1.102B,2.588B,,126.75M,2.387B,811.76M,,,,-284.57M,3.041B,,AOR,Restated
2010-12,,1.040B,,1.040B,,,1.618B,61.33M,118.37M,,2.837B,0.00,12.11M,88.91M,441.29M,,5.487M,142.12M,689.91M,-482.82M,207.09M,1.161B,,1.161B,,,,701.07M,2.069B,4.907B,,283.08M,,30.69M,210.27M,524.04M,660.30M,1.184B,70.59M,,70.59M,,70.59M,,,,1.255B,11.84M,,11.84M,,684.96M,,7.552M,,,696.80M,1.952B,,126.26M,2.317B,785.18M,,,,-281.27M,2.947B,,AOR,Restated
2010-09,,938.84M,,938.84M,,,1.660B,50.66M,117.70M,,2.767B,0.00,12.22M,90.56M,433.40M,,3.57M,142.36M,682.11M,-467.08M,215.03M,1.119B,100.04M,1.219B,209.90M,4.794M,187.04M,81.17M,1.917B,4.684B,,303.88M,,0.00,,303.88M,228.75M,532.62M,79.40M,,79.40M,,79.40M,,13.02M,194.90M,1.239B,0.509M,,0.509M,,579.03M,,5.88M,,,579.54M,1.819B,,125.91M,2.251B,767.51M,,,,-285.74M,2.859B,,AOR,Restated
2010-06,,941.68M,,941.68M,,,1.662B,41.25M,128.51M,,2.773B,0.00,11.99M,87.72M,423.44M,,27.88M,116.72M,667.75M,-447.60M,220.15M,1.118B,,1.118B,,,,549.23M,1.888B,4.661B,,285.00M,,,203.88M,488.88M,784.21M,1.273B,93.61M,,93.61M,,93.61M,,,,1.367B,0.517M,,0.517M,,475.77M,,5.792M,,,476.29M,1.843B,,125.62M,2.174B,752.61M,,,,-240.61M,2.812B,,AOR,Restated
2010-03,,839.06M,,839.06M,,,1.699B,44.06M,128.44M,,2.710B,0.00,12.17M,88.33M,434.14M,,16.55M,119.15M,670.35M,-446.57M,223.78M,1.126B,,1.126B,,,,591.12M,1.940B,4.651B,,316.31M,,7.331M,237.68M,561.32M,695.80M,1.257B,95.58M,,95.58M,,95.58M,,,,1.353B,0.561M,,0.561M,,485.27M,,5.593M,,,485.83M,1.839B,,124.90M,2.157B,735.20M,,,,-210.31M,2.807B,,AOR,Restated
2009-12,,1.055B,,1.055B,,,1.550B,50.44M,117.64M,,2.773B,0.00,12.04M,89.02M,423.61M,,8.736M,112.12M,645.53M,-423.95M,221.58M,1.133B,,1.133B,,,,552.78M,1.908B,4.681B,,338.27M,,37.19M,276.83M,652.29M,684.56M,1.337B,113.46M,,113.46M,,113.46M,,,,1.450B,0.628M,,0.628M,,506.18M,,5.526M,,,506.81M,1.957B,,124.51M,2.081B,718.23M,,,,-206.21M,2.718B,,AOR,Restated
2009-09,,1.034B,,1.034B,,,1.619B,49.20M,117.07M,,2.818B,0.00,11.90M,85.07M,430.22M,,5.845M,125.05M,658.08M,-417.73M,240.35M,929.84M,,929.84M,,,,439.97M,1.610B,4.429B,,340.65M,,6.497M,,347.15M,679.11M,1.026B,17.50M,,17.50M,,17.50M,,,252.15M,1.296B,0.737M,,0.737M,,500.50M,,5.562M,,,501.24M,1.797B,,124.23M,2.009B,703.86M,,,,-211.52M,2.626B,,AOR,Restated
2009-06,,1.059B,,1.059B,,,1.651B,44.06M,138.54M,,2.893B,0.00,11.57M,82.41M,412.76M,,16.76M,120.29M,643.78M,-400.35M,243.43M,922.20M,,922.20M,,,,366.85M,1.532B,4.426B,,350.35M,,49.16M,265.78M,665.29M,726.51M,1.392B,34.53M,,34.53M,,34.53M,,,,1.426B,13.28M,,13.28M,,365.64M,,,,5.639M,384.56M,1.811B,,123.90M,1.938B,685.16M,,,,-132.64M,2.615B,,AOR,Restated
2009-03,,772.65M,,772.65M,,,1.737B,40.12M,140.94M,,2.691B,0.00,11.31M,81.47M,393.62M,,25.11M,109.38M,620.90M,-376.69M,244.21M,921.26M,,921.26M,,,,325.38M,1.491B,4.182B,,363.33M,,21.40M,238.94M,623.67M,708.66M,1.332B,1.667M,,1.667M,,1.667M,,,,1.334B,24.98M,,24.98M,,339.86M,,5.823M,,,364.84M,1.699B,,123.44M,1.845B,667.21M,,,,-158.01M,2.477B,,AOR,Restated
2008-12,,787.87M,,787.87M,1.833B,,1.833B,41.94M,140.73M,,2.803B,0.00,11.45M,189.15M,392.31M,,23.05M,,615.96M,-368.21M,247.75M,921.68M,,921.68M,,,,327.46M,1.497B,4.300B,,712.60M,,,,712.60M,760.02M,1.473B,2.337M,,2.337M,,2.337M,,,79.96M,1.555B,40.03M,,40.03M,,,,5.942M,,345.21M,385.23M,1.940B,,123.05M,1.736B,648.80M,,,,-153.70M,2.354B,,,Restated
