,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,150.07M,0.00,,,-9.174M,0.00,-3.036M,29.58M,22.45M,52.02M,52.02M,-14.17M,,14.63M,,4.763M,-144.47M,,7.981M,149.45M,,,-2.491M,10.46M,214.75M,,-18.56M,0.00,-18.56M,3.967M,0.00,,-6.982M,,-160.98M,1.162M,-159.81M,6.952M,-0.031M,6.921M,-21.00M,-21.00M,-10.84M,-184.73M,,835.42M,23.04M,-34.08M,824.37M,,6.952M,2.314B,-2.474B,-0.031M,,AOR,Restated
2018-03,51.93M,-0.218M,,,4.418M,0.00,8.137M,34.31M,21.35M,55.66M,55.66M,18.75M,,22.57M,,-52.21M,-187.66M,,-0.811M,146.36M,,,-55.41M,-97.52M,7.318M,,-22.40M,0.324M,-22.07M,-123.30M,,,-144.76M,,-80.94M,0.00,-80.94M,12.18M,-2.951M,9.231M,-26.09M,-26.09M,-3.36M,-101.16M,,1.060B,-238.61M,14.19M,835.42M,,12.18M,324.59M,-405.54M,-2.951M,,AOR,Restated
2017-12,2.561M,-0.226M,,,-3.631M,3.819M,-0.058M,24.83M,14.70M,39.53M,39.53M,-11.95M,,24.62M,,55.42M,15.75M,,-1.55M,-149.02M,,,71.59M,-63.23M,46.89M,,-22.45M,0.104M,-22.35M,-1.366B,,,-1.389B,,1.643B,0.00,1.643B,14.45M,0.00,14.45M,-18.14M,-18.14M,-13.78M,1.626B,,774.15M,283.80M,1.887M,1.060B,,14.45M,2.734B,-1.091B,0.00,,AOR,Restated
2017-09,93.43M,-10.88M,,,-5.41M,0.00,-2.564M,23.70M,11.20M,34.90M,34.90M,56.82M,,6.636M,-0.135M,12.48M,31.28M,,-21.66M,100.82M,,,-117.72M,-7.275M,194.29M,,-44.51M,1.113M,-43.40M,-125.41M,,,-137.10M,,-48.30M,-0.001M,-48.30M,9.355M,0.00,9.355M,-18.08M,-18.08M,0.135M,-56.89M,,758.30M,0.299M,15.56M,774.15M,,9.355M,628.73M,-677.03M,0.00,,AOR,Restated
2017-06,88.63M,0.00,,,1.678M,0.00,1.077M,18.24M,11.68M,29.92M,29.92M,-8.432M,,10.97M,-1.309M,3.928M,-15.49M,,-5.617M,94.00M,,,-18.13M,54.76M,179.54M,,-27.79M,1.224M,-26.57M,0.00,,,-26.57M,,-61.66M,-0.023M,-61.68M,6.375M,-16.00M,-9.627M,-22.61M,-22.61M,1.309M,-92.61M,,674.60M,60.36M,23.34M,758.30M,,6.375M,421.71M,-483.40M,-16.00M,,AOR,Restated
2017-03,44.16M,0.00,,,-3.154M,-9.955M,-14.20M,17.86M,11.30M,29.16M,29.16M,-11.16M,,10.95M,-0.228M,-4.326M,79.28M,,6.134M,-12.45M,,,-36.70M,36.26M,90.62M,,-24.71M,0.046M,-24.66M,-24.78M,,,-49.44M,,-54.14M,0.00,-54.14M,9.519M,-50.96M,-41.44M,-18.10M,-18.10M,5.281M,-108.41M,,736.55M,-67.23M,5.277M,674.60M,,9.519M,329.80M,-383.94M,-50.96M,,AOR,Restated
2016-12,61.15M,0.822M,,,-0.902M,,2.767M,16.62M,11.91M,28.54M,28.54M,-0.565M,,10.20M,-1.205M,5.172M,-19.63M,,-2.612M,-80.42M,,,107.02M,4.365M,110.43M,,-21.05M,0.004M,-21.05M,-2.036M,,,-23.09M,,11.33M,0.669M,12.00M,37.40M,-30.22M,7.175M,,,-3.848M,15.33M,,655.72M,102.67M,-21.84M,736.55M,,37.40M,315.13M,-303.13M,-30.22M,,AOR,Restated
2016-09,29.88M,41.41M,,,0.884M,0.00,39.82M,18.92M,12.11M,31.02M,31.02M,-1.636M,,6.584M,-0.20M,17.86M,105.48M,,-16.36M,24.90M,,,-2.939M,111.09M,234.42M,,-31.31M,3.744M,-17.54M,-19.27M,3.406M,,-46.83M,,-93.05M,-6.438M,-99.48M,16.64M,-50.11M,-33.47M,-5.855M,-5.855M,2.909M,-135.90M,,616.39M,51.69M,-12.37M,655.72M,,16.64M,316.59M,-416.07M,-50.11M,,AOR,Restated
2016-06,70.94M,0.00,,,-2.394M,0.00,1.134M,20.22M,12.05M,32.27M,32.27M,-12.68M,,8.679M,-0.148M,-0.42M,157.16M,,19.08M,-25.93M,,,-68.64M,81.67M,181.45M,,-17.09M,6.485M,-10.61M,-39.21M,0.00,,-49.82M,,-45.40M,6.284M,-39.12M,10.76M,-30.15M,-19.38M,0.00,0.00,0.148M,-58.35M,,559.72M,73.27M,-16.60M,616.39M,,10.76M,346.69M,-385.81M,-30.15M,,AOR,Restated
2016-03,63.39M,0.00,,,-4.877M,0.00,-1.311M,21.06M,11.72M,32.78M,32.78M,-10.35M,,8.973M,-0.024M,-14.62M,43.84M,,7.44M,68.18M,,,39.28M,158.74M,237.58M,,-13.32M,0.117M,-13.20M,0.00,-3.406M,,-16.61M,,-95.67M,-0.402M,-96.07M,6.965M,-30.19M,-23.23M,0.00,0.00,0.024M,-119.28M,,443.72M,101.70M,14.30M,559.72M,,6.965M,396.96M,-493.03M,-30.19M,,AOR,Restated
2015-12,50.31M,,,,-5.505M,,0.553M,22.17M,11.73M,33.89M,33.89M,-2.744M,,8.134M,-0.005M,-2.10M,90.78M,,7.74M,-187.88M,,,28.04M,-61.32M,26.72M,,-15.99M,0.133M,-15.85M,-10.50M,,,-26.35M,,42.98M,-10.45M,32.53M,8.77M,-42.10M,-33.33M,,,-2.704M,-3.498M,,460.86M,-3.135M,-14.00M,443.72M,,8.77M,592.45M,-559.92M,-42.10M,,AOR,Restated
2015-09,37.27M,,,,-2.118M,,31.97M,24.21M,11.28M,35.48M,35.48M,-34.95M,,8.487M,-0.505M,22.22M,23.32M,,-33.34M,55.09M,,,-47.23M,-2.166M,97.82M,,-19.11M,-5.169M,-24.28M,-8.101M,0.00,,-32.38M,,-61.99M,-23.50M,-85.49M,8.166M,-49.37M,-41.21M,,,0.505M,-126.19M,,553.56M,-60.74M,-31.96M,460.86M,,8.166M,583.37M,-668.85M,-49.37M,,AOR,Restated
2015-06,97.31M,,,,-0.819M,,-0.75M,24.56M,12.56M,37.12M,37.12M,-1.366M,,9.12M,-0.453M,0.237M,109.14M,,12.57M,-3.382M,,,23.04M,141.36M,282.57M,,-10.12M,0.50M,-9.62M,0.00,0.00,,-9.62M,,-75.91M,-5.989M,-81.90M,7.899M,-118.74M,-110.84M,,,0.453M,-192.28M,,464.95M,80.67M,7.94M,553.56M,,7.899M,554.08M,-635.98M,-118.74M,,AOR,Restated
2015-03,88.11M,,,,13.04M,,12.79M,25.15M,12.55M,37.70M,37.70M,7.738M,,7.301M,0.00,-0.781M,-25.04M,,22.19M,-125.00M,,,-59.80M,-187.65M,-34.79M,,-25.40M,1.664M,-23.74M,0.00,0.00,,-23.74M,,36.64M,0.278M,36.92M,9.128M,-140.50M,-131.37M,,,0.00,-94.45M,,670.08M,-152.98M,-52.15M,464.95M,,9.128M,572.54M,-535.62M,-140.50M,,AOR,Restated
2014-12,106.20M,,,,-4.616M,,-4.638M,26.01M,12.98M,38.99M,38.99M,-2.602M,,16.50M,-0.279M,-9.133M,65.54M,,5.23M,-99.18M,,,22.34M,-6.063M,138.97M,,-33.78M,3.374M,-30.40M,0.00,0.013M,,-30.39M,,-37.21M,9.451M,-27.76M,8.029M,-113.71M,-105.68M,,,-6.951M,-140.39M,,732.65M,-31.81M,-30.76M,670.08M,,8.029M,421.08M,-448.85M,-113.71M,,AOR,Restated
2014-09,91.05M,,,,-1.329M,,-7.592M,27.89M,11.49M,39.38M,39.38M,43.29M,,10.85M,1.204M,4.506M,-63.92M,,-27.28M,115.22M,,,29.78M,53.80M,236.50M,,-40.11M,9.448M,-30.66M,-157.99M,0.46M,,-175.82M,,-3.04M,-3.099M,-6.139M,10.53M,-78.40M,-67.87M,,,-1.242M,-75.25M,,772.61M,-14.57M,-25.39M,732.65M,,10.53M,183.50M,-189.64M,-78.40M,,AOR,Restated
2014-06,71.31M,,,,-0.983M,,0.274M,25.68M,13.64M,39.32M,39.32M,-4.31M,,9.864M,-0.412M,0.945M,-0.59M,,8.948M,183.00M,,,-18.87M,172.48M,289.48M,,-25.08M,-0.519M,-25.60M,-28.82M,-0.099M,,-54.51M,,-143.42M,-24.05M,-167.47M,12.06M,0.00,12.06M,,,-2.795M,-158.21M,,691.26M,76.76M,4.599M,772.61M,,12.06M,94.30M,-261.76M,0.00,,AOR,Restated
2014-03,90.80M,,,,-3.786M,,-15.81M,25.37M,13.05M,38.42M,38.42M,-4.444M,,7.419M,0.485M,-20.62M,-18.81M,,5.996M,-135.35M,,,-78.83M,-227.00M,-130.74M,,-29.00M,1.414M,-27.59M,-64.60M,0.036M,,-92.16M,,-110.02M,9.112M,-100.90M,12.53M,0.00,12.53M,,,-1.335M,-89.71M,,1.011B,-312.61M,-7.37M,691.26M,,12.53M,74.79M,-175.69M,0.00,,AOR,Restated
2013-12,98.95M,,,,-2.296M,,-2.084M,19.65M,8.637M,28.29M,28.29M,-3.739M,,15.26M,0.067M,11.22M,191.26M,,5.121M,-74.17M,,,56.30M,178.52M,326.48M,,-37.95M,0.071M,-37.88M,-1.133B,-25.48M,,-1.196B,,620.73M,-0.177M,620.55M,9.587M,0.00,9.587M,,,-2.053M,628.08M,,1.256B,-241.72M,-3.447M,1.011B,,9.587M,674.97M,-54.42M,0.00,,AOR,Restated
2013-09,116.48M,,,,-2.381M,,-2.327M,20.06M,6.658M,26.72M,26.72M,-0.214M,,11.02M,-0.079M,-2.485M,-202.31M,,-22.81M,44.70M,,,42.62M,-137.80M,11.32M,,-35.75M,0.715M,-35.04M,-16.10M,-0.008M,,-51.15M,,-30.44M,10.98M,-19.46M,10.85M,,10.85M,,,0.079M,-8.527M,,1.296B,-48.36M,9.243M,1.256B,,10.85M,30.78M,-50.24M,,,AOR,Restated
2013-06,112.09M,,,-24.69M,23.48M,,-1.636M,17.74M,6.646M,24.38M,24.38M,1.798M,,9.854M,0.486M,-1.966M,-53.25M,,4.518M,45.99M,,,42.26M,39.52M,184.52M,,-27.04M,1.665M,-25.37M,-21.37M,-0.005M,,-46.74M,,-18.80M,9.177M,-9.621M,11.43M,,11.43M,,,-2.727M,-0.922M,,1.166B,136.86M,-7.55M,1.296B,,11.43M,16.80M,-26.42M,,,AOR,Restated
2013-03,107.09M,,,10.46M,-18.15M,,-6.726M,16.60M,6.699M,23.30M,23.30M,4.12M,,9.58M,2.585M,-4.928M,-87.61M,,1.231M,-15.23M,,,-27.42M,-129.03M,5.986M,,-39.31M,1.678M,-37.63M,3.386M,0.406M,,-33.84M,,-47.92M,-1.551M,-49.47M,14.34M,,14.34M,,,-4.62M,-39.75M,,1.242B,-67.60M,-7.937M,1.166B,,14.34M,6.424M,-55.89M,,,AOR,Restated
2012-12,104.52M,,,14.23M,-17.09M,,-2.932M,15.49M,8.982M,24.48M,24.48M,-2.993M,,9.059M,0.221M,4.121M,108.31M,,1.161M,-24.02M,,,24.76M,110.21M,246.69M,,-25.17M,0.218M,-24.96M,0.00,-0.397M,,-25.35M,,-21.14M,5.084M,-16.05M,9.461M,,9.461M,,,-3.919M,-10.51M,,1.032B,210.82M,-1.534M,1.242B,,9.461M,5.084M,-21.14M,,,AOR,Restated
2012-09,111.08M,,,,-3.357M,,-9.471M,15.87M,9.776M,25.64M,25.64M,3.465M,,8.903M,-0.204M,0.121M,-76.94M,,-26.00M,95.42M,,,26.08M,18.57M,158.11M,,-32.27M,0.076M,-32.19M,-18.15M,0.745M,,-36.87M,,-0.098M,-1.80M,-1.898M,10.11M,,10.11M,,,0.203M,8.416M,,898.59M,129.66M,4.212M,1.032B,,10.11M,0.00,-1.898M,,,AOR,Restated
2012-06,100.99M,,,,1.648M,,1.634M,14.54M,10.14M,24.67M,24.67M,-0.863M,,8.003M,0.456M,-3.746M,-75.20M,,-0.178M,13.74M,,,-49.85M,-111.49M,19.66M,,-32.55M,0.062M,-32.49M,-4.146M,-0.085M,,-36.72M,,243.29M,-255.20M,-11.91M,12.74M,,12.74M,,,-2.673M,-1.844M,,921.51M,-18.91M,-4.011M,898.59M,,12.74M,245.08M,-256.99M,,,AOR,Restated
2012-03,87.45M,,,,-2.857M,,-2.859M,14.63M,10.64M,25.27M,25.27M,4.915M,,7.625M,-3.51M,-4.854M,-120.83M,,-1.468M,8.312M,,,-24.20M,-138.18M,-24.15M,,-17.65M,0.058M,-17.59M,-3.463M,-0.64M,,-21.69M,,285.38M,-297.59M,-12.20M,11.07M,,11.07M,,,4.219M,3.084M,,959.24M,-42.76M,5.026M,921.51M,,11.07M,286.18M,-298.38M,,,AOR,Restated
2011-12,91.44M,,,,-4.414M,,-3.765M,13.86M,11.38M,25.24M,25.24M,-8.553M,,7.911M,-0.699M,-2.137M,45.85M,,8.376M,-15.98M,,,-1.487M,36.75M,146.18M,,-20.10M,0.123M,-19.98M,-65.82M,-0.043M,,-85.84M,,0.00,-22.73M,-22.73M,9.653M,,9.653M,,,0.699M,-12.38M,,905.63M,47.96M,5.643M,959.24M,,9.653M,0.00,-22.73M,,,AOR,Restated
2011-09,95.25M,,,,-49.56M,,-6.377M,14.97M,11.26M,26.23M,26.23M,15.78M,,8.241M,-0.073M,22.44M,21.58M,,-9.156M,-37.96M,,-9.807M,,-49.18M,112.30M,,-15.18M,0.801M,-14.38M,-0.584M,0.145M,-4.01M,-18.83M,,-0.353M,46.14M,45.79M,9.777M,,9.777M,,,0.073M,55.64M,,773.82M,149.11M,-17.30M,905.63M,,9.777M,67.15M,-21.36M,,,AOR,Restated
2011-06,91.94M,,,,-4.78M,,-5.23M,14.24M,10.93M,25.18M,25.18M,0.963M,,7.718M,-2.934M,-24.33M,-104.92M,,7.994M,98.18M,,-34.16M,,-32.90M,60.39M,,-66.19M,1.35M,-64.84M,-93.02M,-0.229M,2.927M,-155.16M,,213.58M,-102.28M,111.30M,14.01M,,14.01M,,,2.934M,128.25M,,747.91M,33.48M,-7.572M,773.82M,,14.01M,223.59M,-112.29M,,,AOR,Restated
2011-03,81.34M,,,,-3.283M,,-3.253M,14.21M,9.525M,23.73M,23.73M,-0.391M,,6.482M,-3.529M,-12.37M,-207.78M,,-3.657M,11.61M,,25.84M,,-173.99M,-81.97M,,-10.71M,0.123M,-10.59M,-559.79M,4.566M,-1.253M,-567.06M,,361.92M,-18.39M,343.54M,11.08M,,11.08M,,,3.529M,358.14M,,1.040B,-290.90M,-0.877M,747.91M,,11.08M,608.43M,-264.90M,,,AOR,Restated
2010-12,66.70M,,,,2.094M,,1.934M,14.20M,6.034M,20.23M,20.23M,-0.503M,,6.643M,-0.301M,5.544M,57.10M,,-9.785M,-19.92M,,18.13M,,45.52M,145.77M,,-6.664M,1.586M,-5.078M,-58.03M,-0.008M,2.336M,-60.78M,,11.34M,-7.808M,3.527M,11.07M,,11.07M,,,0.301M,14.90M,,938.84M,99.89M,0.952M,1.040B,,11.07M,3.563M,-0.036M,,,AOR,Restated
2010-09,77.08M,,,,-2.784M,,-2.431M,16.24M,6.536M,22.78M,22.78M,-2.932M,,6.714M,0.13M,0.19M,30.28M,,-8.279M,-130.57M,,7.859M,,-141.01M,-13.59M,,-7.846M,0.605M,-7.241M,-0.694M,-1.558M,7.638M,-1.855M,,-0.035M,-19.16M,-19.20M,8.567M,,8.567M,,,2.032M,-8.60M,,941.68M,-24.04M,21.21M,938.84M,,8.567M,-101.61M,82.41M,,,AOR,Restated
2010-06,169.21M,,,,1.025M,,1.014M,14.94M,5.936M,20.87M,20.87M,2.466M,,6.062M,-1.537M,-149.80M,20.54M,,2.081M,60.43M,,-11.29M,,71.76M,120.04M,,-17.86M,1.595M,-16.26M,3.052M,16.54M,6.093M,9.428M,,-0.032M,-1.964M,-1.996M,9.58M,,9.58M,,,1.37M,8.954M,,839.06M,138.42M,-35.80M,941.68M,,9.58M,127.57M,-129.57M,,,AOR,Restated
2010-03,-72.44M,,,,,,-0.014M,15.95M,6.109M,22.06M,22.06M,1.443M,,5.369M,-0.80M,150.18M,-163.55M,,6.659M,-50.66M,,-21.45M,,-229.01M,-123.20M,,-15.63M,0.517M,-15.11M,-41.72M,-8.874M,-13.14M,-78.85M,,-0.03M,-18.32M,-18.35M,10.12M,,10.12M,,,-6.427M,-14.65M,,1.055B,-216.70M,0.723M,839.06M,,10.12M,-18.32M,-0.03M,,,AOR,Restated
2009-12,72.44M,,,,,,0.025M,17.31M,5.467M,22.78M,22.78M,-0.426M,,6.216M,-0.677M,0.144M,109.68M,,-0.517M,5.825M,,24.88M,,139.87M,240.37M,,-7.741M,11.66M,3.921M,-220.13M,-112.85M,1.848M,-327.21M,,-0.12M,97.54M,97.42M,7.938M,,7.938M,,,2.057M,107.41M,,1.034B,20.57M,0.847M,1.055B,,7.938M,97.54M,-0.12M,,,AOR,Restated
2009-09,79.32M,,,,,,0.152M,18.59M,11.11M,29.70M,29.70M,1.791M,,6.162M,-0.525M,0.079M,53.69M,,-4.686M,-101.28M,,-12.08M,,-64.36M,52.32M,,-8.75M,0.423M,-8.327M,-22.30M,-4.202M,-5.74M,-40.56M,,-12.08M,-15.18M,-27.26M,10.91M,,10.91M,,,-49.87M,-66.22M,,1.059B,-54.47M,28.62M,1.034B,,10.91M,-13.15M,-14.11M,,,AOR,Restated
2009-06,94.90M,,,,,,-0.093M,16.91M,2.328M,19.24M,19.24M,2.498M,,6.302M,-0.941M,-9.557M,143.94M,,-2.797M,8.909M,,8.043M,,158.10M,280.02M,,-10.47M,0.206M,-10.26M,0.00,-24.88M,-2.061M,-37.20M,,-14.89M,30.88M,15.98M,10.30M,,10.30M,,,1.265M,27.54M,,772.65M,270.36M,16.46M,1.059B,,10.30M,30.88M,-14.89M,,,AOR,Restated
2009-03,109.29M,,0.035M,,,,0.128M,16.61M,1.997M,18.60M,18.60M,-8.785M,,5.562M,-0.799M,9.631M,78.80M,,1.448M,-153.87M,,-52.34M,,-125.96M,-1.903M,,-16.31M,0.173M,-16.14M,0.00,-1.991M,16.30M,-1.831M,,-14.43M,-1.199M,-15.63M,11.87M,,11.87M,,,-3.709M,-7.471M,,787.87M,-11.20M,-4.009M,772.65M,,11.87M,-1.199M,-14.43M,,,AOR,Restated
2008-12,116.35M,,-0.035M,,,,-1.284M,16.56M,2.237M,18.80M,18.80M,4.838M,,6.059M,-1.249M,-0.058M,24.49M,,1.063M,-36.83M,,70.85M,,59.58M,203.03M,,-20.00M,1.468M,-18.53M,-1.033M,-2.968M,7.216M,-15.32M,,-4.555M,1.434M,-3.121M,10.29M,,10.29M,,,-0.018M,7.15M,,604.42M,194.87M,-11.42M,787.87M,,10.29M,1.434M,-4.555M,,,,Restated
2008-09,114.38M,,,,,,1.101M,17.34M,2.26M,19.60M,19.60M,-5.057M,,-14.89M,45.56M,-25.43M,-105.67M,,-6.104M,-13.56M,,130.06M,,4.726M,139.99M,,-27.76M,-0.002M,-27.76M,-27.75M,-10.29M,-23.54M,-89.34M,,1.89M,6.701M,20.00M,11.92M,,11.92M,,,5.277M,37.20M,,536.22M,87.86M,-19.66M,604.42M,,11.92M,-8.049M,16.64M,,,,
2008-06,108.68M,,,,,,0.00,17.05M,2.373M,19.42M,19.42M,3.30M,,5.331M,-15.75M,0.166M,27.41M,,21.70M,54.61M,,-57.89M,,45.83M,166.98M,,-43.17M,-0.395M,-43.56M,-5.456M,3.306M,-10.62M,-56.33M,,6.069M,-0.243M,5.826M,11.67M,,11.67M,,,13.32M,30.81M,,392.51M,141.46M,2.256M,536.22M,,11.67M,8.049M,-2.223M,,,,Restated
2008-03,99.31M,,,,,,-0.206M,14.99M,2.453M,17.44M,17.44M,1.031M,,9.562M,-29.81M,11.09M,-108.83M,,-12.97M,-15.04M,,57.44M,,-79.41M,29.01M,,-25.52M,0.715M,-24.80M,-31.01M,14.41M,-20.38M,-61.78M,,-7.959M,-6.458M,-3.966M,13.24M,,13.24M,,,11.50M,20.78M,,398.78M,-11.99M,5.718M,392.51M,,13.24M,,-14.42M,,,,Restated
