,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2009-07,19.07B,19.07B,12.68B,6.388B,4.121B,0.00,167.00M,6.00M,-161.00M,4.555B,1.833B,6.00M,167.00M,-161.00M,,-161.00M,1.672B,556.00M,1.116B,,,1.116B,1.116B,2.297B,458.00M,1.839B,,0.66,0.00,0.66,0.66,,0.66,0.00,0.66,0.66,,1.683B,1.691B,0.225,,AOR,Restated
2009-04,16.18B,16.18B,10.72B,5.45B,4.042B,0.00,180.00M,5.00M,-175.00M,4.47B,980.00M,5.00M,180.00M,-175.00M,,-175.00M,805.00M,291.00M,514.00M,,,514.00M,514.00M,1.438B,453.00M,985.00M,,0.31,0.00,0.31,0.31,,0.30,0.00,0.30,0.30,,1.683B,1.689B,0.225,,AOR,Restated
2009-01,14.61B,14.61B,9.647B,4.96B,4.251B,,,,,4.694B,266.00M,,,,,,-31.00M,-29.00M,-2.00M,,,-54.00M,-2.00M,591.00M,470.00M,121.00M,,-0.01,-0.03,-0.01,-0.04,,-0.01,-0.03,-0.01,-0.04,,1.685B,1.686B,0.225,,AOR,Restated
2008-10,17.78B,17.78B,11.79B,5.994B,4.225B,,,,,4.671B,1.323B,,,,,,1.172B,416.00M,756.00M,,,756.00M,756.00M,1.799B,476.00M,1.323B,,0.45,0.00,0.45,0.45,,0.45,0.00,0.45,0.45,,1.681B,1.687B,0.225,,,
2008-07,20.99B,20.99B,14.03B,6.964B,4.47B,,,,,4.922B,2.042B,,,,,,1.885B,683.00M,1.202B,,,1.202B,1.202B,2.524B,482.00M,2.042B,,0.72,0.00,0.72,0.72,,0.71,0.00,0.71,0.71,,1.68B,1.685B,0.225,,,
2008-04,17.91B,17.91B,11.84B,6.072B,4.90B,,,,,5.344B,728.00M,,,,,,564.00M,208.00M,356.00M,,,356.00M,356.00M,1.202B,474.00M,728.00M,,0.21,0.00,0.21,0.21,,0.21,0.00,0.21,0.21,,1.679B,1.683B,0.225,,,
2008-01,17.66B,17.66B,11.60B,6.054B,4.353B,,,,,4.805B,1.249B,,,,,,1.057B,386.00M,671.00M,0.00,,671.00M,671.00M,1.804B,481.00M,1.323B,,0.43,0.00,0.43,0.43,,0.42,0.00,0.42,0.42,,1.666B,1.67B,0.225,,,Restated
2007-10,18.96B,18.96B,12.62B,6.339B,4.144B,,,,,4.575B,1.764B,,,,,,1.639B,568.00M,1.071B,20.00M,,1.091B,1.071B,2.226B,462.00M,1.764B,,0.59,0.01,0.59,0.60,,0.59,0.01,0.59,0.60,,1.81B,1.815B,0.225,,,
2007-07,22.18B,22.18B,14.84B,7.341B,4.37B,,,,,4.784B,2.557B,,,,,,2.412B,891.00M,1.521B,66.00M,,1.587B,1.521B,3.035B,478.00M,2.557B,,0.78,0.03,0.78,0.81,,0.77,0.03,0.77,0.81,,1.96B,1.969B,0.225,,,
2007-04,18.54B,18.54B,12.28B,6.263B,4.186B,,,,,4.591B,1.672B,,,,,,1.512B,565.00M,947.00M,99.00M,,1.046B,947.00M,2.157B,485.00M,1.672B,,0.48,0.05,0.48,0.53,,0.48,0.05,0.48,0.53,,1.959B,1.969B,0.225,,,
2007-01,17.40B,17.40B,11.55B,5.85B,4.00B,,,,,4.393B,1.457B,,,,,,1.334B,493.00M,841.00M,84.00M,,925.00M,841.00M,1.919B,462.00M,1.457B,,0.23,0.24,0.23,0.47,,0.23,0.24,0.23,0.47,,1.994B,2.005B,0.225,,,
2006-10,19.65B,19.65B,13.04B,6.604B,3.981B,,,,,4.382B,2.222B,,,,,,2.13B,797.00M,1.333B,157.00M,,1.49B,1.333B,2.714B,492.00M,2.222B,,0.73,0.00,0.73,0.73,,0.73,0.00,0.73,0.73,,2.043B,2.05B,0.15,,,
2006-07,22.59B,22.59B,15.14B,7.456B,4.146B,,,,,4.541B,2.915B,,,,,,2.817B,1.116B,1.701B,161.00M,,1.862B,1.701B,3.397B,482.00M,2.915B,,0.82,0.08,0.82,0.90,,0.82,0.08,0.82,0.90,,2.065B,2.072B,0.15,,,
2006-04,21.46B,21.46B,14.23B,7.228B,4.386B,,,,,4.806B,2.422B,,,,,,2.37B,886.00M,1.484B,,,1.484B,1.484B,2.872B,450.00M,2.422B,,0.70,0.00,0.70,0.70,,0.70,0.00,0.70,0.70,,2.114B,2.122B,0.15,,,
2006-01,15.00B,15.00B,9.786B,5.211B,3.118B,,,,,3.479B,1.732B,,,,,,1.706B,618.00M,1.088B,,,1.285B,1.088B,2.177B,445.00M,1.732B,,0.52,0.09,0.52,0.61,,0.52,0.09,0.52,0.61,,2.117B,2.126B,0.10,,,
2005-10,20.74B,20.74B,13.78B,6.963B,4.124B,,,,,4.49B,2.473B,,,,,,2.452B,914.00M,1.538B,,,1.538B,1.538B,2.878B,405.00M,2.473B,,0.72,0.00,0.72,0.72,,0.72,0.00,0.72,0.72,,2.13B,2.138B,0.10,,,
2005-07,22.30B,22.30B,14.90B,7.409B,4.217B,,,,,4.566B,2.843B,,,,,,2.823B,1.055B,1.768B,,,1.768B,1.768B,3.211B,368.00M,2.843B,,0.83,0.00,0.83,0.83,,0.82,0.00,0.82,0.82,,2.14B,2.15B,0.10,,,
2005-04,18.97B,18.97B,12.62B,6.355B,4.017B,,,,,4.356B,1.999B,,,,,,1.986B,739.00M,1.247B,,,1.247B,1.247B,2.36B,361.00M,1.999B,,0.58,0.00,0.58,0.58,,0.57,0.00,0.57,0.57,,2.162B,2.172B,0.10,,,
2005-01,16.81B,16.81B,11.06B,5.749B,4.996B,,,,,4.082B,1.667B,,,,,,1.656B,615.00M,1.041B,,,1.041B,1.041B,2.015B,348.00M,1.667B,,0.48,0.00,0.48,0.48,,0.48,0.00,0.48,0.48,,2.189B,2.201B,0.085,,,
2004-10,18.77B,18.77B,12.52B,6.252B,3.882B,,,,,4.196B,2.056B,,,,,,2.06B,743.00M,1.317B,,,1.317B,1.317B,2.391B,335.00M,2.056B,,0.60,0.00,0.60,0.60,,0.60,0.00,0.60,0.60,,2.191B,2.199B,0.085,,,
2004-07,19.96B,19.96B,13.30B,6.661B,3.899B,,,,,4.204B,2.457B,,,,,,2.454B,909.00M,1.545B,,,1.545B,1.545B,2.781B,324.00M,2.457B,,0.70,0.00,0.70,0.70,,0.70,0.00,0.70,0.70,,2.207B,2.214B,0.085,,,
2004-04,17.55B,17.55B,11.78B,5.768B,3.727B,,,,,4.022B,1.746B,,,,,,1.742B,644.00M,1.098B,,,1.098B,1.098B,2.058B,312.00M,1.746B,,0.49,0.00,0.49,0.49,,0.49,0.00,0.49,0.49,,2.242B,2.25B,0.07,,,
2004-01,15.12B,15.12B,10.17B,4.953B,3.444B,,,,,3.444B,1.509B,,,,,,1.513B,562.00M,951.00M,,,951.00M,951.00M,1.799B,290.00M,1.509B,,0.42,0.00,0.42,0.42,,0.42,0.00,0.42,0.42,,2.265B,2.271B,0.07,,,
2003-10,16.60B,16.60B,11.40B,5.193B,3.37B,,,,,3.37B,1.823B,,,,,,1.823B,676.00M,1.147B,,,1.147B,1.147B,2.104B,281.00M,1.823B,,0.50,0.00,0.50,0.50,,0.50,0.00,0.50,0.50,,2.28B,2.287B,0.07,,,
2003-07,17.99B,17.99B,12.38B,5.605B,3.539B,,,,,3.539B,2.066B,,,,,,2.065B,766.00M,1.299B,,,1.299B,1.299B,2.323B,257.00M,2.066B,,0.57,0.00,0.57,0.57,,0.56,0.00,0.56,0.56,,2.295B,2.302B,0.06,,,
2003-04,15.10B,15.10B,10.28B,4.829B,3.381B,,,,,3.381B,1.448B,,,,,,1.442B,535.00M,907.00M,,,907.00M,907.00M,1.696B,248.00M,1.448B,,0.40,0.00,0.40,0.40,,0.39,0.00,0.39,0.39,,2.292B,2.297B,0.06,,,
2003-01,13.21B,13.21B,8.991B,4.222B,3.127B,,,,,3.127B,1.095B,,,,,,1.099B,413.00M,686.00M,,,686.00M,686.00M,1.333B,238.00M,1.095B,,0.30,0.00,0.30,0.30,,0.30,0.00,0.30,0.30,,2.303B,2.308B,0.06,,,
2002-10,14.48B,14.48B,9.895B,4.58B,3.084B,,,,,3.084B,1.496B,,,,,,1.507B,567.00M,940.00M,,,940.00M,940.00M,1.727B,231.00M,1.496B,,0.40,0.00,0.40,0.40,,0.40,0.00,0.40,0.40,,2.337B,2.343B,0.05,,,
2002-07,16.28B,16.28B,11.33B,4.946B,3.069B,,,,,3.069B,1.877B,,,,,,1.894B,712.00M,1.182B,,,1.182B,1.182B,2.102B,225.00M,1.877B,,0.50,0.00,0.50,0.50,,0.50,0.00,0.50,0.50,,2.354B,2.363B,0.05,,,
2002-04,14.28B,14.28B,9.922B,4.36B,2.998B,,,,,2.998B,1.362B,,,,,,1.372B,516.00M,856.00M,,,856.00M,856.00M,1.571B,209.00M,1.362B,,0.36,0.00,0.36,0.36,,0.36,0.00,0.36,0.36,,2.349B,2.365B,0.05,,,
2002-01,13.49B,13.49B,9.332B,4.156B,3.004B,,,,,3.004B,1.152B,,,,,,1.156B,446.00M,710.00M,,,710.00M,710.00M,1.352B,200.00M,1.152B,,0.30,0.00,0.30,0.30,,0.30,0.00,0.30,0.30,,2.344B,2.362B,0.10,,,
2001-10,13.29B,13.29B,9.279B,4.01B,2.753B,,,,,2.753B,1.257B,,,,,,1.267B,489.00M,778.00M,,,778.00M,778.00M,1.455B,198.00M,1.257B,,0.33,0.00,0.33,0.33,,0.33,0.00,0.33,0.33,,2.337B,2.352B,0.04,,,
2001-07,14.58B,14.58B,10.25B,4.326B,2.83B,,,,,2.83B,1.496B,,,,,,1.504B,580.00M,924.00M,,,924.00M,924.00M,1.685B,189.00M,1.496B,,0.40,0.00,0.40,0.40,,0.39,0.00,0.39,0.39,,2.334B,2.355B,0.04,,,
2001-04,12.20B,12.20B,8.545B,3.655B,2.628B,,,,,2.628B,1.027B,,,,,,1.03B,398.00M,632.00M,,,632.00M,632.00M,1.204B,177.00M,1.027B,,0.27,0.00,0.27,0.27,,0.27,0.00,0.27,0.27,,2.326B,2.347B,0.04,,,
2001-01,10.46B,10.46B,7.245B,3.218B,2.459B,,,,,2.459B,759.00M,,,,,,759.00M,294.00M,465.00M,,,465.00M,465.00M,923.00M,164.00M,759.00M,,0.20,0.00,0.20,0.20,,0.20,0.00,0.20,0.20,,2.321B,2.352B,0.04,,,
