,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2005-08,,798.00M,2.027B,2.825B,389.00M,,389.00M,,3.25B,378.00M,6.842B,,,,,,,4.436B,-1.913B,2.523B,,571.00M,571.00M,,323.00M,3.417B,10.26B,2.76B,,2.76B,1.386B,4.146B,,,12.00M,,12.00M,,,358.00M,4.516B,540.00M,,540.00M,,,,380.00M,920.00M,5.436B,49.00M,3.60B,973.00M,,,,201.00M,4.823B
2005-05,,604.00M,2.002B,2.606B,350.00M,,350.00M,,3.266B,383.00M,6.605B,,,,,,,4.281B,-1.825B,2.456B,,547.00M,547.00M,,291.00M,3.294B,9.899B,3.047B,,3.047B,1.13B,4.177B,,,14.00M,,14.00M,,,374.00M,4.565B,530.00M,,530.00M,,,,373.00M,903.00M,5.468B,33.00M,3.449B,813.00M,,,,136.00M,4.431B
2005-02,,354.00M,2.994B,3.348B,375.00M,,375.00M,,2.851B,329.00M,6.903B,0.0,506.00M,1.139B,2.458B,89.00M,,4.192B,-1.728B,2.464B,513.00M,40.00M,553.00M,,374.00M,3.391B,10.29B,2.824B,,2.824B,1.653B,4.477B,,,72.00M,,72.00M,,,410.00M,4.959B,528.00M,,528.00M,,,,358.00M,886.00M,5.845B,49.00M,3.315B,936.00M,,,,149.00M,4.449B
2004-11,,2.435B,78.00M,2.513B,742.00M,,742.00M,,4.826B,251.00M,8.332B,,,,,,,3.91B,-1.591B,2.319B,,582.00M,582.00M,,389.00M,3.29B,11.62B,5.15B,,5.15B,1.076B,6.226B,,,8.00M,,8.00M,,,658.00M,6.892B,478.00M,,478.00M,,,,292.00M,770.00M,7.662B,33.00M,2.78B,945.00M,,,,202.00M,3.96B
2004-08,,1.962B,7.00M,1.969B,328.00M,,328.00M,,2.987B,312.00M,5.596B,,,,,,,3.773B,-1.522B,2.251B,,523.00M,523.00M,,274.00M,3.048B,8.644B,2.806B,,2.806B,1.211B,4.017B,,,11.00M,,11.00M,,,280.00M,4.308B,478.00M,,478.00M,,,,257.00M,735.00M,5.043B,32.00M,2.667B,802.00M,,,,100.00M,3.601B
2004-05,,2.07B,,2.07B,371.00M,,371.00M,,2.915B,246.00M,5.602B,,,,,,,3.668B,-1.429B,2.239B,,504.00M,504.00M,,205.00M,2.948B,8.55B,2.71B,,2.71B,970.00M,3.68B,,,369.00M,,369.00M,,,289.00M,4.338B,477.00M,,477.00M,,,,251.00M,728.00M,5.066B,32.00M,2.55B,832.00M,,,,70.00M,3.484B
2004-02,,245.00M,2.355B,2.60B,343.00M,,343.00M,,2.607B,174.00M,5.724B,0.0,484.00M,861.00M,2.151B,78.00M,,3.574B,-1.33B,2.244B,,514.00M,514.00M,,170.00M,2.928B,8.652B,2.46B,,2.46B,1.373B,3.833B,,,368.00M,,368.00M,,,300.00M,4.501B,482.00M,,482.00M,,,,247.00M,729.00M,5.23B,32.00M,2.468B,836.00M,,,,86.00M,3.422B
2003-11,,1.827B,,1.827B,678.00M,4.00M,682.00M,,4.428B,207.00M,7.144B,,,,,,,3.52B,-1.259B,2.261B,,527.00M,527.00M,,151.00M,2.939B,10.08B,4.501B,,4.501B,1.342B,5.843B,,,14.00M,,14.00M,,,97.00M,5.954B,836.00M,,836.00M,,,,276.00M,1.112B,7.066B,32.00M,2.032B,849.00M,,,,104.00M,3.017B
2003-08,,1.734B,,1.734B,302.00M,,302.00M,,2.641B,209.00M,4.886B,,,,3.417B,,,3.417B,-1.188B,2.229B,,495.00M,495.00M,,120.00M,2.844B,7.73B,2.59B,,2.59B,1.071B,3.661B,,,14.00M,,14.00M,,,,3.675B,840.00M,,840.00M,,,,281.00M,1.121B,4.796B,32.00M,2.007B,828.00M,,,,67.00M,2.934B
2003-05,,1.466B,,1.466B,302.00M,3.00M,305.00M,,2.368B,227.00M,4.366B,,,,3.28B,,,3.28B,-1.119B,2.161B,,502.00M,502.00M,,123.00M,2.786B,7.152B,2.357B,,2.357B,913.00M,3.27B,,,6.00M,,6.00M,,,,3.276B,829.00M,,829.00M,,,,284.00M,1.113B,4.389B,32.00M,1.868B,787.00M,,,,76.00M,2.763B
2003-02,,1.914B,,1.914B,312.00M,,312.00M,,2.077B,595.00M,4.898B,0.0,208.00M,719.00M,2.108B,54.00M,,3.089B,-1.027B,2.062B,,462.00M,462.00M,,272.00M,2.796B,7.694B,2.195B,,2.195B,1.308B,3.503B,,,1.00M,,1.00M,,,320.00M,3.824B,828.00M,,828.00M,,,,312.00M,1.14B,4.964B,32.00M,1.893B,778.00M,,,,27.00M,2.73B
2002-11,,1.156B,,1.156B,579.00M,,579.00M,,4.09B,228.00M,6.053B,,,,,,,3.333B,-1.065B,2.268B,407.00M,32.00M,439.00M,,101.00M,2.808B,8.861B,4.094B,,4.094B,1.184B,5.278B,,,7.00M,,7.00M,,,,5.285B,822.00M,,822.00M,,,,284.00M,1.106B,6.391B,32.00M,1.663B,774.00M,,,,1.00M,2.47B
2002-08,,1.119B,,1.119B,239.00M,,239.00M,,2.616B,243.00M,4.217B,,,,,,,3.143B,-982.00M,2.161B,410.00M,,410.00M,,98.00M,2.669B,6.886B,2.361B,,2.361B,1.026B,3.387B,,,11.00M,,11.00M,,,,3.398B,821.00M,,821.00M,,,,286.00M,1.107B,4.505B,32.00M,1.578B,771.00M,,,,,2.381B
2002-05,,1.245B,,1.245B,243.00M,,243.00M,,2.635B,261.00M,4.384B,,,,,,,2.892B,-904.00M,1.988B,791.00M,,791.00M,,92.00M,2.871B,7.255B,2.424B,,2.424B,1.013B,3.437B,,,12.00M,,12.00M,,,,3.449B,812.00M,,812.00M,,,,321.00M,1.133B,4.582B,32.00M,1.864B,766.00M,,,,11.00M,2.673B
2002-02,,1.861B,,1.861B,221.00M,,221.00M,,1.875B,643.00M,4.60B,0.0,205.00M,540.00M,1.649B,39.00M,,2.433B,-772.00M,1.661B,,465.00M,465.00M,,641.00M,2.767B,7.367B,2.202B,,2.202B,1.078B,3.28B,,,7.00M,,7.00M,,,418.00M,3.705B,808.00M,,808.00M,,,,333.00M,1.141B,4.846B,31.00M,1.794B,702.00M,,,,-6.00M,2.521B
2001-11,,843.00M,,843.00M,387.00M,,387.00M,,3.459B,215.00M,4.904B,,,,,,,2.606B,-853.00M,1.753B,750.00M,,750.00M,,95.00M,2.598B,7.502B,3.571B,,3.571B,1.12B,4.691B,,,14.00M,,14.00M,,,,4.705B,364.00M,,364.00M,,,,290.00M,654.00M,5.359B,21.00M,1.444B,678.00M,,,,,2.143B
2001-08,,961.00M,,961.00M,236.00M,,236.00M,,2.092B,214.00M,3.503B,,,,,,,2.236B,-678.00M,1.558B,376.00M,,376.00M,,84.00M,2.018B,5.521B,2.058B,,2.058B,787.00M,2.845B,,,2.00M,,2.00M,,,,2.847B,362.00M,,362.00M,,,,273.00M,635.00M,3.482B,21.00M,1.364B,654.00M,,,,,2.039B
2001-05,,466.00M,,466.00M,193.00M,,193.00M,,1.981B,211.00M,2.851B,,,,,,,2.103B,-607.00M,1.496B,381.00M,,381.00M,,81.00M,1.958B,4.809B,1.822B,,1.822B,694.00M,2.516B,,,19.00M,,19.00M,,,,2.535B,177.00M,,177.00M,,,,170.00M,347.00M,2.882B,21.00M,1.279B,627.00M,,,,,1.927B
2001-02,,747.00M,,747.00M,209.00M,,209.00M,,1.767B,206.00M,2.929B,0.0,728.00M,,1.26B,-1.00M,,1.987B,-543.00M,1.444B,,385.00M,385.00M,,82.00M,1.911B,4.84B,1.773B,,1.773B,546.00M,2.319B,,,115.00M,,115.00M,,,281.00M,2.715B,181.00M,,181.00M,,,,122.00M,303.00M,3.018B,21.00M,1.224B,577.00M,,,,,1.822B
2000-11,,728.80M,,728.80M,,,427.11M,,2.328B,168.99M,3.653B,,,,,,,1.549B,-499.30M,1.050B,,,,,79.46M,1.129B,4.782B,2.483B,,2.483B,,2.483B,,,5.809M,,5.809M,,,526.12M,3.015B,20.95M,,20.95M,,,,119.92M,140.87M,3.156B,20.78M,1.035B,570.50M,,,,,1.626B
2000-08,,845.02M,,845.02M,,,201.38M,,1.457B,173.20M,2.676B,,,,,,,1.354B,-464.53M,889.40M,,,,,78.44M,967.84M,3.644B,1.479B,,1.479B,,1.479B,,,7.218M,,7.218M,,,431.49M,1.917B,21.58M,,21.58M,,,,141.16M,162.75M,2.080B,20.76M,977.36M,565.92M,,,,,1.564B
2000-05,,765.39M,,765.39M,,,202.21M,,1.314B,172.41M,2.454B,,,,,,,1.173B,-428.73M,744.15M,,,,,62.25M,806.40M,3.261B,1.223B,,1.223B,,1.223B,,,15.96M,,15.96M,,,411.23M,1.650B,12.84M,,12.84M,,,,140.88M,153.71M,1.804B,20.68M,900.62M,535.51M,,,,,1.457B
2000-02,,750.72M,,750.72M,,,189.30M,,1.184B,114.76M,2.238B,,,,,,,1.093B,-395.39M,698.08M,,,,,58.80M,756.88M,2.995B,1.314B,,1.314B,,1.314B,,,15.79M,,15.79M,,,455.32M,1.785B,14.86M,,14.86M,,,,99.45M,114.31M,1.899B,20.04M,828.46M,247.49M,,,,,1.096B
1999-11,,514.80M,,514.80M,,,383.50M,,2.082B,128.00M,3.109B,,,,,,,981.80M,-372.70M,609.10M,,,,,54.20M,663.30M,3.772B,2.070B,,2.070B,,2.070B,,,9.00M,,9.00M,,,437.80M,2.517B,23.70M,,23.70M,,,,72.90M,96.60M,2.614B,20.40M,664.70M,473.30M,,,,,1.158B
1999-08,,473.40M,,473.40M,,,178.50M,,1.288B,115.80M,2.055B,,,,,,,876.10M,-353.30M,522.80M,,,,,30.10M,552.90M,2.608B,1.059B,,1.059B,,1.059B,,,10.10M,,10.10M,,,305.30M,1.374B,25.70M,,25.70M,,,,42.10M,67.80M,1.442B,20.50M,617.90M,527.70M,,,,,1.166B
1999-05,,510.90M,,510.90M,,,145.70M,,1.111B,109.50M,1.878B,,,,,,,769.00M,-331.60M,437.40M,,,,,28.90M,466.30M,2.344B,867.30M,,867.30M,,867.30M,,,29.20M,,29.20M,,,290.50M,1.187B,28.40M,,28.40M,,,,39.30M,67.70M,1.255B,,558.90M,,,,,,1.089B
1999-02,,785.78M,,785.78M,,,132.40M,,1.046B,107.28M,2.072B,,,,,,,731.96M,-308.32M,423.64M,,,,,36.16M,459.80M,2.532B,1.012B,,1.012B,,1.012B,,,30.09M,,30.09M,,,367.88M,1.410B,30.51M,,30.51M,,,,57.45M,87.96M,1.498B,10.18M,481.39M,542.38M,,,,,1.034B
1998-11,,409.40M,,409.40M,,,278.50M,,1.685B,98.90M,2.472B,,,,,,,671.20M,-297.80M,373.40M,,,,,12.20M,385.60M,2.857B,1.483B,,1.483B,,1.483B,,,83.30M,,83.30M,,,303.20M,1.869B,31.80M,,31.80M,6.80M,6.80M,,27.80M,66.40M,1.936B,,401.40M,,,,,,921.60M
1998-08,,491.60M,,491.60M,,,140.70M,,1.168B,70.50M,1.871B,,,,,,,608.30M,-280.10M,328.20M,,,,,9.90M,338.10M,2.209B,799.30M,,799.30M,,799.30M,,,182.10M,,182.10M,,,300.20M,1.282B,35.30M,,35.30M,6.90M,6.90M,,19.70M,61.90M,1.344B,,347.00M,,,,,,865.40M
1998-05,,397.30M,,397.30M,,,75.60M,,1.101B,55.70M,1.630B,,,,,,,592.90M,-265.30M,327.60M,,,,,10.00M,337.60M,1.967B,661.60M,,661.60M,,661.60M,,,56.10M,,56.10M,,,204.80M,922.50M,207.20M,,207.20M,7.00M,7.00M,,19.90M,234.10M,1.157B,,302.90M,,,,,,810.70M
1998-02,,520.10M,,520.10M,,,95.70M,,1.061B,33.70M,1.710B,,,,,,,581.50M,-248.60M,332.90M,,,,,13.10M,346.00M,2.056B,727.10M,,727.10M,,727.10M,,,50.50M,,50.50M,,,256.10M,1.034B,210.40M,,210.40M,7.10M,7.10M,,247.40M,464.90M,1.499B,,287.10M,,,,,,557.70M
1997-11,,122.10M,,122.10M,,,185.90M,,1.680B,60.40M,2.048B,,,,,,,565.30M,-238.30M,327.00M,,,,,14.60M,341.60M,2.390B,1.153B,,1.153B,,1.153B,,,68.50M,,68.50M,,,229.60M,1.451B,211.60M,,211.60M,3.60M,3.60M,230.00M,18.80M,234.00M,1.685B,,223.10M,,,,,,474.80M
