,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2012-12,202.00M,,,,4.00M,,,,211.00M,89.00M,,,9.00M,0.00,-55.00M,-14.00M,41.00M,1.00M,,58.00M,31.00M,,546.00M,,-877.00M,,,,-2.369B,0.00,5.00M,-3.241B,,1.222B,0.00,1.222B,1.615B,,1.615B,-204.00M,-204.00M,-95.00M,2.538B,,996.00M,-157.00M,,839.00M,,1.615B,1.377B,-155.00M,,,AOR,Restated
2012-09,203.00M,,,,5.00M,,,,196.00M,0.00,,,9.00M,0.00,-6.00M,9.00M,64.00M,-11.00M,,-38.00M,18.00M,,431.00M,,-730.00M,,,,-98.00M,1.00M,37.00M,-790.00M,,476.00M,0.00,476.00M,495.00M,,495.00M,-196.00M,-196.00M,-99.00M,676.00M,,679.00M,317.00M,,996.00M,,495.00M,1.609B,-1.133B,,,AOR,Restated
2012-06,165.00M,,,,-4.00M,,,,181.00M,31.00M,,,9.00M,0.00,36.00M,27.00M,-49.00M,4.00M,,24.00M,42.00M,,424.00M,,-593.00M,,,,-1.86B,0.00,54.00M,-2.399B,,345.00M,0.00,345.00M,1.483B,,1.483B,-188.00M,-188.00M,-86.00M,1.554B,,1.10B,-421.00M,,679.00M,,1.483B,500.00M,-155.00M,,,AOR,Restated
2012-03,495.00M,,,,-57.00M,,,,168.00M,86.00M,,,9.00M,-144.00M,52.00M,-17.00M,-166.00M,35.00M,,-27.00M,-123.00M,,434.00M,,-329.00M,,,,-373.00M,78.00M,133.00M,-491.00M,,-25.00M,,-25.00M,516.00M,,516.00M,-154.00M,-154.00M,-69.00M,268.00M,,889.00M,211.00M,,1.10B,,516.00M,0.00,-25.00M,,,AOR,Restated
2011-12,-362.00M,,7.00M,,277.00M,-1.202B,-36.00M,-1.238B,376.00M,-256.00M,,,,93.00M,-17.00M,45.00M,203.00M,-14.00M,,-10.00M,207.00M,,1.087B,,-963.00M,,,,-211.00M,151.00M,8.00M,-1.015B,,587.00M,,587.00M,15.00M,,15.00M,,-148.00M,-633.00M,-179.00M,,996.00M,-107.00M,,889.00M,,15.00M,2.072B,-1.485B,,,AOR,Restated
2011-09,342.00M,,-1.00M,,-1.00M,418.00M,11.00M,429.00M,429.00M,-10.00M,,,,-39.00M,-124.00M,-5.00M,-11.00M,8.00M,,,-132.00M,,668.00M,,-739.00M,,,,-41.00M,-37.00M,28.00M,-789.00M,,76.00M,,76.00M,5.00M,,5.00M,,-118.00M,-12.00M,-49.00M,,1.166B,-170.00M,,996.00M,,5.00M,675.00M,-599.00M,,,AOR,Restated
2011-06,297.00M,,1.00M,,1.00M,403.00M,11.00M,414.00M,414.00M,97.00M,,,,31.00M,-62.00M,-18.00M,147.00M,-37.00M,,-17.00M,13.00M,,873.00M,,-568.00M,,,,0.00,-67.00M,15.00M,-620.00M,,200.00M,,200.00M,3.00M,,3.00M,,-118.00M,-95.00M,-10.00M,,923.00M,243.00M,,1.166B,,3.00M,350.00M,-150.00M,,,AOR,Restated
2011-03,384.00M,,-7.00M,,-7.00M,381.00M,14.00M,395.00M,395.00M,-10.00M,,,,-33.00M,6.00M,38.00M,-38.00M,28.00M,,17.00M,51.00M,,811.00M,,-526.00M,,,,0.00,-31.00M,-22.00M,-579.00M,,0.00,,0.00,26.00M,,26.00M,,-73.00M,-57.00M,-104.00M,,795.00M,128.00M,,923.00M,,26.00M,75.00M,-75.00M,,,AOR,Restated
2010-12,228.00M,,,,-82.00M,,,,406.00M,35.00M,-37.00M,,,119.00M,-128.00M,-32.00M,117.00M,38.00M,,31.00M,26.00M,,710.00M,,-677.00M,,,,,46.00M,394.00M,-1.824B,,598.00M,,598.00M,,,,-284.00M,-74.00M,-448.00M,894.00M,,1.015B,-220.00M,,795.00M,,,950.00M,-352.00M,,,AOR,Restated
2010-09,-1.226B,,,,0.00,,,,374.00M,-240.00M,11.00M,,,-96.00M,-23.00M,8.00M,81.00M,11.00M,,34.00M,111.00M,,644.00M,,-1.171B,,,,,20.00M,-388.00M,-1.539B,,-8.00M,,-8.00M,,,,137.00M,-73.00M,390.00M,309.00M,,1.601B,-586.00M,,1.015B,,,430.00M,-438.00M,,,AOR,Restated
