,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2018-04,204.28M,,204.28M,356.12M,,357.49M,17.03M,16.62M,,,630.90M,,,,,,,,1.088B,342.46M,69.38M,411.84M,,1.239M,33.30M,1.534B,2.165B,245.47M,18.05M,263.52M,,263.52M,,,1.151M,,1.151M,5.906M,5.906M,,,270.58M,398.91M,,398.91M,3.927M,3.927M,0.681M,3.659M,433.80M,704.38M,0.023M,1.054B,497.01M,-90.41M,1.460B
2018-01,195.30M,,195.30M,398.97M,,402.81M,13.02M,17.37M,,,666.48M,,,,,,,,1.025B,344.50M,69.93M,414.43M,,0.301M,37.77M,1.477B,2.144B,242.59M,13.81M,256.40M,,256.40M,,,111.85M,,111.85M,6.797M,6.797M,,,375.05M,400.65M,,400.65M,5.196M,5.196M,0.623M,3.732M,436.70M,811.75M,0.023M,926.16M,483.90M,-78.91M,1.331B
2017-10,224.25M,,224.25M,366.64M,,366.78M,10.14M,15.53M,,,654.37M,,,,,,,,959.72M,339.02M,73.28M,412.31M,,0.00,36.27M,1.408B,2.063B,222.40M,28.43M,250.83M,,250.83M,,,33.15M,,33.15M,5.189M,5.189M,0.00,,289.17M,550.70M,,550.70M,4.807M,4.807M,0.578M,2.995M,584.59M,873.76M,0.023M,822.56M,467.91M,-102.16M,1.188B
2017-07,210.10M,,210.10M,110.19M,205.97M,318.26M,10.16M,17.62M,,,587.26M,0.0,629.83M,555.52M,210.70M,,1.396B,-451.99M,944.06M,340.24M,75.94M,416.18M,,1.287M,33.72M,1.395B,1.983B,71.16M,6.472M,77.63M,55.48M,133.11M,,,82.16M,,82.16M,55.62M,55.71M,0.092M,,302.15M,550.88M,,550.88M,3.192M,3.192M,0.534M,3.10M,581.75M,883.90M,0.023M,745.37M,453.35M,-100.68M,1.098B
2017-04,189.62M,,189.62M,302.07M,,344.73M,9.239M,18.00M,0.191M,,593.61M,,,,,,,,913.30M,258.63M,7.624M,266.26M,,2.978M,35.54M,1.218B,1.812B,192.77M,6.421M,199.19M,,199.19M,,,16.15M,,16.15M,6.147M,6.147M,,,221.49M,550.76M,,550.76M,3.773M,3.773M,,2.569M,583.87M,805.36M,0.022M,675.83M,444.74M,-114.27M,1.006B
2017-01,174.95M,,174.95M,340.44M,,423.96M,9.136M,16.76M,0.00,,659.25M,,,,,,,,882.26M,256.87M,8.938M,265.80M,,1.236M,32.69M,1.182B,1.841B,184.97M,7.624M,192.59M,,192.59M,,,146.15M,,146.15M,5.938M,7.204M,1.266M,,345.95M,565.93M,,565.93M,3.446M,3.446M,,2.749M,599.59M,945.54M,0.011M,585.28M,429.96M,-119.55M,895.70M
2016-10,168.42M,,168.42M,294.36M,,405.28M,8.918M,16.10M,0.711M,,630.71M,,,,,,,,840.59M,255.09M,10.24M,265.33M,,1.912M,31.85M,1.140B,1.770B,175.97M,6.583M,182.55M,,182.55M,,,171.15M,,171.15M,3.975M,3.975M,,,357.68M,573.03M,,573.03M,3.38M,3.38M,,2.034M,605.31M,962.99M,0.011M,519.24M,416.12M,-127.97M,807.41M
2016-07,155.85M,,155.85M,86.46M,183.94M,285.02M,10.39M,18.00M,1.444M,,499.31M,0.0,556.78M,489.57M,185.98M,,1.232B,-415.54M,816.79M,260.20M,11.76M,271.96M,,23.51M,38.26M,1.151B,1.650B,76.95M,5.625M,82.58M,41.54M,124.12M,,,76.15M,,76.15M,45.13M,45.13M,0.00,,278.78M,564.34M,,564.34M,3.816M,3.816M,0.00,2.783M,596.58M,875.36M,0.022M,491.19M,392.43M,-109.19M,774.46M
2016-04,137.65M,,137.65M,263.29M,,266.06M,11.44M,18.91M,0.668M,,464.50M,,,,,,,,806.97M,267.37M,13.39M,280.76M,,31.24M,40.66M,1.160B,1.624B,150.30M,17.17M,167.47M,,167.47M,,,30.37M,,30.37M,5.745M,5.745M,,,203.58M,670.51M,,670.51M,5.001M,5.001M,,2.844M,704.03M,907.61M,0.011M,406.96M,393.35M,-83.79M,716.53M
2016-01,141.42M,17.46M,158.88M,281.23M,,288.96M,9.458M,19.18M,0.685M,,506.86M,,,,,,,,744.22M,264.13M,14.41M,278.54M,,31.43M,43.31M,1.098B,1.604B,147.84M,12.63M,160.47M,,160.47M,,,99.17M,,99.17M,5.478M,5.478M,,,265.12M,576.50M,,576.50M,4.868M,4.868M,,2.782M,607.85M,872.96M,0.011M,440.46M,394.00M,-103.07M,731.40M
2015-10,472.92M,21.89M,494.81M,231.40M,,232.35M,9.075M,20.73M,2.055M,,785.66M,,,,,,,,705.59M,270.62M,16.23M,286.85M,,30.64M,47.03M,1.070B,1.856B,147.34M,30.44M,177.79M,,177.79M,,,42.42M,,42.42M,3.719M,3.719M,,,223.93M,584.30M,,584.30M,5.194M,5.194M,,3.402M,615.29M,839.22M,0.012M,677.85M,413.42M,-74.74M,1.017B
2015-07,456.01M,,456.01M,73.77M,144.91M,221.79M,8.613M,19.82M,3.396M,,734.58M,0.0,481.75M,453.96M,180.04M,,1.116B,-415.35M,700.40M,271.85M,17.86M,289.71M,,28.84M,45.13M,1.064B,1.799B,57.52M,8.279M,65.80M,30.42M,96.21M,,,53.67M,,53.67M,37.60M,37.60M,,,213.13M,590.84M,,590.84M,5.322M,5.322M,,3.748M,621.07M,834.20M,0.012M,625.44M,407.81M,-68.79M,964.46M
2015-04,678.74M,,678.74M,217.00M,,219.59M,8.107M,18.31M,5.053M,,954.46M,,,,,,,,683.96M,271.48M,19.72M,291.20M,,29.12M,44.25M,1.049B,2.003B,154.26M,5.66M,159.92M,,159.92M,,,64.92M,,64.92M,4.612M,4.612M,,,229.45M,599.95M,,599.95M,6.334M,6.334M,,4.294M,637.56M,867.01M,0.013M,780.36M,422.19M,-66.59M,1.136B
2015-01,590.37M,,590.37M,235.48M,,243.28M,8.015M,17.90M,2.769M,,888.42M,,,,,,,,688.24M,270.49M,21.42M,291.92M,,37.52M,45.96M,1.064B,1.952B,148.18M,5.858M,154.04M,,154.04M,,,76.17M,,76.17M,4.515M,4.515M,,,234.72M,608.24M,,608.24M,6.324M,6.324M,,4.051M,644.11M,878.83M,0.013M,722.79M,416.96M,-66.52M,1.073B
2014-10,198.48M,,198.48M,204.81M,,205.21M,7.592M,18.49M,4.031M,,457.77M,,,,,,,,691.98M,276.89M,24.26M,301.15M,,35.47M,50.22M,1.079B,1.537B,153.80M,25.91M,179.70M,,179.70M,,,76.17M,,76.17M,3.815M,3.815M,,,259.69M,203.87M,,203.87M,6.854M,6.854M,,4.515M,239.46M,499.16M,0.013M,670.72M,410.63M,-43.94M,1.037B
2014-07,158.67M,,158.67M,72.17M,128.40M,199.27M,7.259M,20.85M,1.803M,,412.29M,0.0,475.56M,429.90M,172.16M,,1.078B,-385.23M,692.38M,283.78M,25.24M,309.02M,,36.72M,56.39M,1.095B,1.507B,62.21M,8.284M,70.50M,36.10M,106.60M,,,79.67M,,79.67M,32.29M,32.29M,,,244.28M,223.23M,,223.23M,7.372M,7.372M,,4.651M,259.02M,503.30M,0.013M,619.00M,404.54M,-20.06M,1.003B
2014-04,132.83M,,132.83M,192.61M,,195.97M,9.826M,18.44M,4.95M,,385.75M,,,,,,,,685.56M,288.40M,25.38M,313.79M,,33.76M,57.80M,1.091B,1.477B,164.22M,11.21M,175.42M,,175.42M,0.00,76.17M,76.17M,,76.17M,5.146M,5.146M,,,256.74M,242.11M,,242.11M,7.494M,7.494M,,5.191M,280.17M,536.91M,0.013M,568.35M,393.22M,-21.83M,939.76M
2014-01,46.20M,,46.20M,222.10M,,227.73M,9.85M,20.07M,3.829M,,332.93M,,,,,,,,707.38M,291.23M,19.71M,310.94M,,30.65M,56.60M,1.106B,1.438B,154.87M,5.539M,160.41M,,160.41M,17.03M,77.03M,94.06M,,94.06M,5.179M,5.179M,,,259.65M,261.18M,,261.18M,7.461M,7.461M,,5.31M,298.12M,557.77M,0.013M,527.48M,384.95M,-31.72M,880.72M
2013-10,77.05M,,77.05M,187.62M,,189.46M,9.205M,19.35M,2.656M,,320.96M,,,,,,,,692.40M,281.45M,15.91M,297.35M,,29.03M,57.65M,1.076B,1.397B,154.85M,21.58M,176.42M,,176.42M,0.00,77.30M,77.30M,,77.30M,4.179M,4.179M,,,257.91M,280.12M,,280.12M,7.475M,7.475M,,5.839M,316.83M,574.74M,0.013M,482.14M,373.18M,-32.68M,822.65M
2013-07,63.63M,,63.63M,65.66M,119.74M,192.13M,10.74M,15.34M,2.216M,,306.45M,0.0,443.13M,414.28M,192.21M,,1.050B,-372.11M,677.52M,267.46M,17.71M,285.17M,,30.12M,35.23M,1.028B,1.334B,70.56M,4.741M,75.30M,18.72M,94.03M,16.29M,76.05M,92.34M,,92.34M,30.22M,30.22M,,,238.56M,296.41M,,296.41M,8.071M,8.071M,,5.949M,333.52M,572.08M,0.013M,440.78M,368.77M,-47.16M,762.40M
2013-04,139.33M,,139.33M,164.16M,,168.54M,10.52M,10.79M,4.162M,,353.16M,,,,,,,,676.70M,208.58M,13.10M,221.68M,,23.87M,23.27M,945.52M,1.299B,129.00M,8.034M,137.04M,,137.04M,,,75.94M,,75.94M,5.405M,5.405M,,,218.38M,314.23M,,314.23M,8.638M,8.638M,,6.858M,355.91M,574.29M,0.013M,399.87M,361.58M,-37.08M,724.39M
2013-01,49.51M,,49.51M,198.80M,,211.27M,11.04M,11.63M,4.207M,,311.90M,,,,,,,,657.42M,210.19M,14.92M,225.11M,,27.60M,31.91M,942.04M,1.254B,125.40M,6.083M,131.48M,,131.48M,,,75.18M,,75.18M,5.363M,5.363M,,0.788M,212.81M,333.07M,,333.07M,9.153M,9.153M,,6.977M,373.63M,586.44M,0.013M,346.65M,353.11M,-32.27M,667.50M
2012-10,131.43M,,131.43M,149.55M,,150.77M,7.587M,14.66M,3.77M,15.83M,327.07M,,,,,,,,625.04M,198.56M,7.041M,205.60M,,25.49M,31.32M,887.46M,1.215B,112.35M,23.67M,136.02M,,136.02M,,,75.18M,,75.18M,5.218M,5.218M,,0.802M,217.22M,350.16M,,350.16M,7.098M,7.098M,,7.658M,388.44M,605.66M,0.012M,307.54M,332.02M,-30.70M,608.87M
2012-07,140.11M,,140.11M,53.16M,87.66M,140.21M,8.494M,9.155M,3.60M,,321.23M,0.0,350.46M,400.30M,159.83M,,910.59M,-323.43M,587.16M,196.44M,7.985M,204.42M,,22.28M,18.91M,832.77M,1.154B,52.51M,3.082M,55.59M,15.32M,70.91M,0.00,75.17M,75.17M,,75.17M,23.45M,23.45M,,,186.32M,368.95M,,368.95M,7.186M,7.186M,,7.897M,406.56M,592.88M,0.012M,272.96M,326.19M,-38.04M,561.12M
2012-04,207.13M,,207.13M,129.34M,,133.30M,7.458M,8.898M,0.388M,15.69M,383.38M,,,,,,,,574.73M,197.81M,9.375M,207.18M,,20.33M,19.14M,821.39M,1.205B,108.59M,8.638M,117.23M,,117.23M,,,75.17M,,75.17M,6.367M,6.367M,0.00,,198.77M,387.75M,,387.75M,9.13M,9.13M,,4.897M,427.26M,626.03M,0.013M,279.16M,326.58M,-27.01M,578.73M
2012-01,127.64M,,127.64M,151.90M,,154.88M,7.247M,7.208M,,16.60M,328.21M,,,,,,,,568.82M,194.95M,10.18M,205.14M,,18.28M,19.21M,811.45M,1.140B,100.44M,3.35M,103.79M,,103.79M,,,75.18M,,75.18M,6.331M,6.426M,0.095M,0.785M,186.18M,406.54M,,406.54M,9.063M,9.063M,,5.709M,446.10M,632.29M,0.006M,225.51M,317.76M,-35.91M,507.37M
2011-10,212.68M,,212.68M,136.28M,,137.07M,6.433M,11.21M,,16.89M,384.27M,,,,,,,,594.85M,197.13M,11.40M,208.53M,,12.40M,25.83M,841.61M,1.226B,101.49M,22.26M,123.75M,,123.75M,,,75.39M,,75.39M,4.526M,4.657M,0.131M,4.84M,208.64M,425.34M,,425.34M,9.585M,9.585M,,2.775M,462.40M,671.04M,0.00,266.76M,315.43M,-27.34M,554.84M
2011-07,74.01M,,74.01M,122.86M,,128.00M,8.016M,14.81M,,17.03M,241.87M,0.0,343.17M,384.37M,165.18M,,892.72M,-292.33M,600.39M,198.62M,12.75M,211.37M,,9.425M,21.39M,842.57M,1.084B,54.56M,3.543M,58.10M,31.55M,89.65M,,,50.37M,,50.37M,5.636M,6.076M,0.44M,4.929M,166.63M,325.39M,,325.39M,10.06M,10.06M,,2.422M,362.64M,529.26M,0.00,264.46M,313.94M,-23.22M,555.17M
2011-04,192.15M,,192.15M,117.53M,,122.38M,6.412M,14.52M,1.573M,16.33M,353.37M,,,,,,,,598.97M,200.61M,10.41M,211.02M,,9.438M,18.52M,837.95M,1.191B,104.23M,10.24M,114.47M,,114.47M,,,50.74M,,50.74M,6.189M,6.189M,0.00,,171.41M,337.95M,,337.95M,9.482M,9.482M,,1.003M,373.56M,544.97M,0.00,346.87M,319.64M,-20.17M,646.34M
2010-10,260.47M,,260.47M,117.03M,,119.41M,4.35M,11.77M,,20.72M,416.72M,,,,,,,,574.88M,178.44M,11.98M,190.41M,,9.375M,18.76M,793.43M,1.210B,95.42M,14.62M,110.04M,,110.04M,,,,,,5.607M,5.848M,0.241M,0.343M,116.23M,,,,33.72M,33.72M,,1.163M,34.89M,151.12M,0.00,726.21M,361.30M,-28.48M,1.059B
2010-07,268.19M,,268.19M,109.06M,,120.02M,4.976M,14.34M,,29.89M,437.42M,0.0,306.25M,399.35M,127.47M,,833.07M,-259.55M,573.51M,175.87M,13.02M,188.89M,,10.21M,18.78M,791.40M,1.229B,55.29M,1.314M,56.61M,24.15M,80.76M,,,0.374M,,0.374M,10.64M,11.80M,1.154M,,107.22M,0.601M,,0.601M,9.748M,9.748M,,0.636M,34.35M,141.58M,0.00,754.47M,365.51M,-32.74M,1.087B
2010-04,264.25M,,264.25M,102.09M,,107.35M,4.465M,16.85M,,26.76M,419.68M,,,,,,,,563.36M,173.78M,13.69M,187.47M,,13.69M,17.80M,782.32M,1.202B,102.55M,5.91M,108.46M,,108.46M,,,,,,10.82M,11.83M,1.012M,0.389M,120.68M,,,,33.54M,33.54M,,1.328M,34.87M,155.54M,0.00,726.34M,355.94M,-35.82M,1.046B
2010-01,189.29M,,189.29M,121.75M,,131.58M,4.24M,9.19M,,30.81M,365.11M,,,,,,,,558.30M,176.70M,15.29M,191.99M,,12.36M,20.12M,782.78M,1.148B,92.06M,4.503M,96.56M,,96.56M,,,,,,12.92M,14.66M,1.738M,0.427M,111.65M,,,,10.50M,10.50M,,24.32M,34.82M,146.47M,0.00,681.96M,349.41M,-29.94M,1.001B
2009-10,218.28M,,218.28M,109.72M,,109.72M,4.411M,6.237M,,27.84M,366.48M,,,,,,,,546.09M,166.58M,14.21M,180.79M,20.23M,9.757M,,756.86M,1.123B,93.64M,18.15M,111.79M,,111.79M,,,,,,12.30M,14.14M,1.843M,0.44M,126.37M,,,,32.43M,32.43M,,1.603M,34.03M,160.40M,0.00,646.22M,342.26M,-25.54M,962.94M
2009-07,162.69M,,162.69M,109.25M,,114.67M,4.667M,5.216M,,28.68M,315.93M,0.0,285.28M,362.26M,111.09M,,758.64M,-227.75M,530.89M,166.33M,15.21M,181.54M,,7.759M,21.92M,742.10M,1.058B,45.00M,5.269M,50.26M,37.78M,88.04M,,,,,,13.16M,15.11M,1.948M,0.429M,103.58M,,,,31.26M,31.26M,,1.726M,32.99M,136.57M,0.00,614.10M,334.44M,-27.08M,921.46M
2009-04,118.96M,,118.96M,107.47M,,116.04M,3.784M,5.409M,,30.31M,274.50M,,,,,,,,524.18M,160.71M,14.75M,175.47M,22.71M,9.123M,,731.48M,1.006B,77.65M,11.06M,88.71M,,88.71M,,,,,,14.42M,18.59M,4.168M,0.378M,107.68M,,,,30.87M,30.87M,,1.75M,32.62M,140.30M,0.00,582.82M,324.25M,-41.38M,865.69M
2009-01,22.45M,,22.45M,137.81M,,158.34M,4.212M,5.578M,,37.04M,227.63M,,,,,,,,520.64M,159.45M,14.32M,173.77M,23.35M,10.29M,,728.04M,955.67M,75.08M,3.681M,78.76M,,78.76M,,,9.91M,,9.91M,16.32M,19.43M,3.115M,0.362M,108.46M,,,,23.26M,23.26M,,2.185M,25.45M,133.92M,0.00,540.75M,325.74M,-44.74M,821.75M
2008-10,50.77M,,50.77M,118.51M,7.264M,125.77M,4.329M,7.538M,,32.48M,220.88M,,,,,,708.66M,-193.75M,514.91M,165.37M,17.02M,182.39M,,6.01M,25.37M,728.68M,949.56M,77.33M,,77.33M,,77.33M,,,7.579M,,7.579M,15.41M,19.26M,3.854M,10.69M,114.86M,,,,11.20M,11.20M,,16.37M,27.57M,142.43M,0.00,518.74M,318.84M,-30.46M,807.13M
2008-07,38.95M,,38.95M,111.70M,19.04M,130.75M,5.334M,6.932M,,30.79M,212.75M,0.0,261.32M,333.15M,109.62M,,704.09M,-193.75M,510.34M,177.16M,21.90M,199.06M,,2.319M,31.77M,743.49M,956.25M,88.88M,,88.88M,,88.88M,,,17.50M,,17.50M,14.52M,17.29M,2.768M,4.581M,128.25M,,,,14.04M,14.04M,,14.96M,29.00M,157.25M,0.00,481.49M,316.67M,0.833M,799.00M
2008-04,96.34M,,96.34M,129.53M,,129.53M,6.851M,6.696M,,32.10M,271.52M,,,,,,660.97M,-162.72M,498.25M,173.91M,23.47M,197.38M,,14.17M,26.95M,736.74M,1.008B,99.21M,,99.21M,,99.21M,,,,,,15.46M,17.59M,2.134M,12.11M,128.91M,,,,12.69M,12.69M,,4.013M,16.70M,145.61M,0.00,782.78M,78.79M,1.074M,862.65M
2008-01,173.22M,,173.22M,137.29M,1.70M,138.99M,7.356M,6.82M,,35.23M,361.62M,,,,,,622.04M,-162.72M,459.32M,165.98M,26.35M,192.33M,,12.12M,27.52M,691.28M,1.053B,90.93M,,90.93M,,90.93M,,,,,,16.03M,18.61M,2.575M,3.472M,113.01M,,,,13.55M,13.55M,,4.492M,18.05M,131.06M,0.00,736.31M,183.94M,1.60M,921.84M
2007-10,249.85M,,249.85M,114.89M,,114.89M,7.772M,5.172M,,29.82M,407.51M,,,,,,598.48M,-162.72M,435.75M,168.36M,29.30M,197.66M,,12.08M,24.68M,670.18M,1.078B,80.31M,,80.31M,,80.31M,,,,,,14.16M,17.14M,2.981M,27.65M,125.10M,,,,14.67M,14.67M,,3.821M,18.49M,143.59M,0.00,704.28M,221.24M,8.581M,934.10M
2007-07,107.62M,102.62M,210.25M,109.90M,3.208M,113.10M,5.999M,5.518M,,28.84M,363.71M,0.0,218.14M,296.86M,68.38M,,583.38M,-162.72M,420.66M,161.64M,27.44M,189.09M,,7.785M,33.36M,650.89M,1.015B,85.08M,,85.08M,,85.08M,,,9.256M,,9.256M,13.90M,17.12M,3.219M,4.404M,115.86M,,,,14.00M,14.00M,,3.878M,17.88M,133.73M,0.00,670.29M,206.13M,4.447M,880.87M
2007-04,120.78M,128.34M,249.11M,105.69M,,105.69M,,4.409M,,27.88M,387.09M,,,,,,488.19M,-132.88M,355.31M,112.29M,1.33M,113.62M,,8.089M,150.92M,627.94M,1.015B,62.97M,,62.97M,,62.97M,,,,,,14.34M,17.54M,3.199M,3.812M,84.32M,,,,,,,,1.535M,85.86M,0.00,633.56M,295.16M,0.464M,929.18M
2007-01,124.05M,195.88M,319.94M,112.17M,5.34M,117.51M,,3.999M,,31.17M,472.62M,,,,,,485.26M,-132.88M,352.38M,112.29M,1.507M,113.80M,,7.184M,23.04M,496.40M,969.03M,58.79M,,58.79M,,58.79M,,,,,,14.73M,21.95M,7.225M,,80.74M,,,,,,,,1.502M,82.24M,0.00,594.69M,292.20M,-0.105M,886.78M
2006-10,126.64M,187.06M,313.70M,100.38M,,100.38M,,4.735M,,28.40M,447.21M,,,,,,481.10M,-132.88M,348.22M,112.29M,1.69M,113.98M,,6.247M,23.38M,491.82M,939.03M,56.98M,,56.98M,,56.98M,,,,,,14.37M,21.33M,6.959M,15.61M,93.92M,,,,,,,,1.434M,95.35M,0.00,564.30M,279.05M,0.322M,843.68M
2006-07,126.59M,148.72M,275.32M,99.96M,2.064M,102.02M,0.971M,4.864M,,28.18M,411.35M,0.0,155.32M,263.71M,55.79M,,474.82M,-132.88M,341.94M,112.29M,1.874M,114.16M,,5.137M,22.11M,483.36M,894.70M,60.64M,,60.64M,,60.64M,,,,,,15.37M,22.56M,7.191M,0.126M,83.33M,,,,,,,,1.402M,84.74M,0.00,533.96M,276.05M,-0.037M,809.97M
