,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-09,,3.613B,1.106B,4.719B,,,628.81M,,95.98M,674.67M,6.118B,,,,,,,,,506.29M,1.407B,574.63M,1.981B,471.55M,82.33M,,339.73M,3.381B,9.500B,,263.02M,,97.94M,,360.96M,487.99M,848.95M,,168.06M,64.27M,232.33M,232.33M,789.30M,1.871B,627.92M,,627.92M,211.59M,211.59M,,95.80M,,9.245M,848.75M,2.719B,,25.32M,6.334B,185.58M,,139.98M,6.685B,,AOR,Restated
2006-06,,3.413B,1.059B,4.472B,,,610.40M,,106.64M,544.38M,5.734B,,,,,,,,,487.34M,1.407B,577.21M,1.984B,425.26M,549.28M,,-204.95M,3.241B,8.975B,,270.55M,,126.06M,,396.61M,442.08M,838.69M,,167.98M,,167.98M,167.98M,725.68M,1.732B,639.35M,,639.35M,176.49M,176.49M,,111.11M,,9.10M,824.95M,2.557B,,25.30M,5.983B,172.38M,,125.55M,6.306B,,AOR,Restated
2006-03,,3.750B,1.056B,4.807B,,,567.67M,,104.00M,425.34M,5.904B,,,,,,,,,489.26M,1.404B,579.18M,1.983B,440.60M,388.81M,,-40.68M,3.261B,9.165B,,160.29M,,157.74M,,318.03M,366.02M,684.05M,,168.31M,,168.31M,168.31M,579.00M,1.431B,866.00M,,866.00M,197.93M,197.93M,,92.79M,,33.86M,1.098B,2.529B,,25.94M,5.653B,751.00M,,112.77M,6.543B,,AOR,Restated
2005-12,,3.626B,958.80M,4.585B,,,538.26M,,96.33M,336.54M,5.556B,,,,,,,,,487.49M,1.390B,651.89M,2.042B,455.41M,304.06M,,46.73M,3.336B,8.892B,,177.13M,,72.62M,,249.75M,326.90M,576.65M,,169.34M,,169.34M,169.34M,621.54M,1.368B,904.83M,,904.83M,216.14M,216.14M,,77.18M,,33.04M,1.154B,2.522B,,25.81M,5.489B,681.76M,,96.79M,6.293B,,AOR,Restated
2005-09,,3.076B,873.18M,3.949B,,,549.20M,,121.89M,,4.621B,,,,,,,,,489.37M,1.391B,656.59M,2.047B,452.83M,567.44M,,716.26M,4.273B,8.894B,,205.85M,,25.73M,,231.58M,429.18M,660.76M,,169.39M,69.83M,239.22M,239.22M,-48.09M,851.90M,1.208B,,1.208B,235.00M,235.00M,,76.11M,,838.14M,2.282B,3.133B,,25.27M,5.206B,374.86M,,99.72M,5.684B,,AOR,Restated
2005-06,,2.952B,1.106B,4.059B,,,496.39M,,131.52M,504.07M,5.191B,,,,,,,,,487.00M,1.387B,659.85M,2.047B,429.37M,467.21M,,-92.41M,3.338B,8.529B,,246.03M,,22.69M,,268.72M,429.03M,697.75M,,169.42M,,169.42M,169.42M,19.52M,886.69M,1.215B,,1.215B,248.70M,248.70M,,90.18M,,785.96M,2.250B,3.137B,,25.14M,4.897B,314.37M,,88.89M,5.302B,,AOR,Restated
2005-03,,3.197B,1.037B,4.234B,,,484.50M,,140.98M,443.20M,5.303B,,,,,,,,,490.78M,1.387B,664.12M,2.051B,429.82M,405.56M,,19.56M,3.397B,8.699B,,192.46M,527.28M,12.37M,,732.12M,374.37M,1.106B,,170.00M,,170.00M,170.00M,778.10M,2.055B,1.223B,,1.223B,236.80M,236.80M,,89.66M,,34.61M,1.494B,3.549B,,25.11M,4.661B,299.95M,,102.32M,5.061B,,AOR,Restated
2004-12,,3.105B,990.70M,4.096B,,,433.00M,,143.91M,400.83M,5.074B,,,,,,,,,463.89M,1.389B,669.12M,2.058B,428.87M,361.21M,,65.68M,3.378B,8.451B,,202.07M,,112.00M,,314.07M,327.86M,641.93M,,170.00M,,170.00M,170.00M,715.59M,1.528B,1.216B,,1.216B,240.90M,240.90M,,92.57M,,35.15M,1.492B,3.019B,,25.02M,4.966B,256.78M,,120.75M,5.339B,,AOR,Restated
2004-09,,2.814B,689.99M,3.504B,,,406.25M,,133.42M,,4.044B,,,,,,,,,470.58M,1.382B,671.50M,2.053B,388.82M,454.94M,,816.33M,4.184B,8.228B,,287.57M,,76.86M,,364.44M,412.82M,777.26M,,169.63M,,169.63M,169.63M,-26.14M,920.75M,1.196B,,1.196B,236.13M,236.13M,,76.09M,,691.61M,2.124B,3.045B,,24.97M,4.752B,255.14M,,75.18M,5.107B,,AOR,Restated
2004-06,,2.480B,1.073B,3.553B,,,404.48M,91.74M,,605.76M,4.655B,,,,,,,,,475.37M,1.377B,674.54M,2.052B,311.13M,744.96M,,-164.08M,3.419B,8.075B,,358.65M,,69.24M,,427.89M,367.90M,795.79M,,,,164.94M,164.94M,698.81M,1.660B,1.179B,,1.179B,220.55M,220.55M,,75.78M,,34.20M,1.434B,3.094B,,24.94M,4.585B,230.49M,,64.91M,4.905B,,AOR,Restated
2004-03,,2.550B,908.80M,3.458B,,,442.09M,92.90M,,512.81M,4.506B,,,,,,,,,486.64M,1.381B,680.19M,2.061B,314.67M,558.26M,,-76.35M,3.344B,7.850B,,222.36M,,55.91M,,278.26M,312.96M,591.22M,,,,164.90M,164.90M,816.68M,1.573B,1.158B,,1.158B,218.18M,218.18M,,62.04M,,38.78M,1.415B,2.988B,,24.99M,4.432B,260.51M,,82.95M,4.801B,,AOR,Restated
2003-12,,1.353B,1.914B,3.266B,,,369.94M,92.82M,,434.01M,4.163B,,,,,,,,,504.01M,1.377B,684.26M,2.061B,305.27M,408.31M,,-24.38M,3.254B,7.417B,,138.92M,,95.47M,,234.39M,263.38M,497.77M,,,,164.90M,164.90M,715.66M,1.378B,1.136B,,1.136B,206.52M,206.52M,,62.92M,,35.21M,1.378B,2.756B,,24.88M,4.280B,215.78M,,77.73M,4.599B,,AOR,Restated
2003-09,,1.054B,1.880B,2.934B,,,338.29M,,91.58M,523.37M,3.887B,,,,,,,,,356.77M,1.336B,684.28M,2.020B,280.36M,102.86M,,323.71M,3.083B,6.971B,,171.99M,,43.50M,,215.49M,321.01M,536.50M,,,,0.287M,0.287M,-48.26M,488.53M,1.109B,,1.109B,203.50M,203.50M,,25.34M,,834.39M,2.147B,2.635B,,24.59M,4.130B,108.02M,,47.85M,4.310B,,AOR,Restated
2003-06,,1.413B,1.748B,3.161B,,,326.44M,91.78M,,393.27M,3.973B,,,,,,,,,369.90M,1.334B,688.17M,2.022B,268.55M,395.20M,,-51.83M,3.004B,6.977B,,186.89M,,6.026M,,192.92M,278.74M,471.66M,,,,2.134M,2.134M,805.88M,1.280B,1.082B,,1.082B,204.98M,204.98M,,,,49.46M,1.336B,2.616B,,25.07M,3.996B,333.47M,,6.74M,4.361B,,AOR,Restated
2003-03,,824.89M,1.761B,2.585B,,,286.59M,95.56M,,556.45M,3.524B,,,,,,,,,379.57M,1.328B,690.48M,2.018B,258.35M,699.88M,,-273.56M,3.082B,6.606B,,294.54M,,14.17M,,308.71M,253.26M,561.97M,,,,4.216M,4.216M,802.49M,1.369B,636.09M,,636.09M,187.47M,187.47M,,,,45.60M,869.15M,2.238B,,25.55M,3.883B,504.81M,,-45.37M,4.368B,,AOR,Restated
2002-12,,1.051B,1.662B,2.713B,,,291.42M,93.17M,,450.38M,3.548B,,,,,,,,,386.78M,1.323B,693.20M,2.016B,261.94M,475.82M,,-168.95M,2.971B,6.519B,,146.25M,,28.68M,,174.93M,231.44M,406.37M,,,,6.015M,6.015M,899.91M,1.312B,614.45M,,614.45M,186.99M,186.99M,,,,47.79M,849.23M,2.162B,,25.79M,3.793B,583.16M,,-44.20M,4.358B,,AOR,Restated
2002-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.423B,,,,,,,,,,,,,,,,595.10M,,595.10M,,,,,,,595.10M,2.156B,,,,,,,4.267B,,AOR,Restated
2002-06,,923.54M,1.786B,2.710B,,,722.48M,101.20M,,77.95M,3.612B,,,,,,,,,401.08M,1.287B,689.32M,1.976B,,484.69M,,-24.92M,2.837B,6.449B,,144.99M,,48.52M,,193.51M,286.93M,480.44M,,,,8.685M,8.685M,871.40M,1.361B,575.43M,,575.43M,,,,,,196.52M,771.95M,2.132B,,26.20M,3.652B,700.06M,,-62.20M,4.316B,,AOR,Restated
2002-03,,1.090B,1.475B,2.565B,,,760.30M,100.12M,,49.89M,3.475B,,,,,,,,,418.56M,1.287B,693.56M,1.981B,,684.89M,,-64.29M,3.020B,6.495B,,309.03M,,19.39M,,328.42M,243.88M,572.31M,,,,8.279M,8.279M,903.36M,1.484B,605.27M,,605.27M,,,,,,190.92M,796.18M,2.280B,,26.19M,3.545B,695.11M,,-51.71M,4.214B,,AOR,Restated
2001-12,,788.33M,1.655B,2.443B,,,645.23M,100.83M,,14.13M,3.203B,,,,,,,,,435.28M,1.287B,697.44M,1.984B,,60.85M,,405.95M,2.887B,6.090B,,176.90M,,14.42M,,191.32M,228.60M,419.92M,,,,8.275M,8.275M,793.54M,1.222B,583.79M,,583.79M,,,,,,191.96M,775.75M,1.997B,,26.13M,3.443B,675.93M,,-53.10M,4.092B,,AOR,Restated
2001-09,,596.21M,1.381B,1.977B,,,296.16M,108.90M,,673.23M,3.055B,,,,,,,,,449.63M,1.287B,702.20M,1.989B,243.11M,307.21M,,221.64M,3.210B,6.266B,,423.21M,,11.92M,,435.13M,305.19M,740.32M,,,,8.361M,8.361M,779.41M,1.528B,566.01M,,566.01M,152.49M,152.49M,,,,41.16M,759.66M,2.288B,,26.08M,3.343B,657.88M,,-49.04M,3.978B,,AOR,Restated
2001-06,,875.11M,1.186B,2.061B,,,748.19M,38.95M,,8.768M,2.857B,,,,,,,,,472.95M,,2.018B,2.018B,,639.53M,,-53.15M,3.078B,5.935B,,267.78M,,17.62M,,285.40M,265.06M,550.46M,,,,8.703M,8.703M,751.24M,1.310B,551.33M,,551.33M,,,,,,138.00M,689.32M,2.000B,,26.15M,3.309B,645.55M,,-43.95M,3.935B,,AOR,Restated
2001-03,,981.82M,387.44M,1.369B,,,257.33M,33.25M,,,1.660B,,,,,,,,,442.73M,,1.239B,1.239B,,291.08M,,323.44M,2.296B,3.956B,,155.31M,,24.56M,,179.87M,178.54M,358.41M,,,,16.78M,16.78M,-61.59M,313.59M,254.58M,,254.58M,,,,,,205.91M,460.49M,774.08M,,24.43M,3.206B,3.206B,,-46.77M,3.182B,,AOR,Restated
2000-12,,1.069B,216.60M,1.286B,,,255.76M,26.64M,,,1.568B,,,,,,,,,440.72M,,1.249B,1.249B,,486.81M,,348.00M,2.524B,4.092B,,209.85M,,71.96M,,281.81M,160.46M,442.27M,,,,68.79M,68.79M,-106.67M,404.40M,285.76M,,285.76M,,,,,,323.93M,609.69M,1.014B,,24.41M,3.084B,,,-27.41M,3.078B,,AOR,Restated
2000-09,,740.00M,662.67M,1.403B,,,268.39M,18.02M,,266.78M,1.956B,,,,,,,,,444.69M,,,1.169B,,424.91M,,47.50M,2.087B,4.042B,,179.48M,,61.66M,,241.14M,257.71M,498.85M,,,,68.78M,68.78M,160.89M,728.51M,294.09M,,294.09M,,,,,,54.35M,348.44M,1.077B,,24.37M,2.932B,0.00,,12.38M,2.965B,,AOR,Restated
2000-06,,1.096B,211.61M,1.308B,,,249.30M,17.88M,,,1.575B,,,,,,,,,441.79M,,1.175B,1.175B,,341.48M,,317.42M,2.276B,3.851B,,136.71M,,55.22M,,191.94M,222.57M,414.50M,,,,68.91M,68.91M,-64.92M,418.50M,334.53M,,334.53M,,,,,,267.16M,601.70M,1.020B,,24.36M,2.799B,0.00,,10.70M,2.830B,,AOR,Restated
2000-03,,1.068B,210.56M,1.279B,,,253.06M,13.29M,,,1.545B,,,,,,,,,430.54M,,1.184B,1.184B,,245.00M,,256.85M,2.117B,3.661B,,102.06M,,43.71M,,145.78M,186.01M,331.79M,,,,59.10M,59.10M,-25.46M,365.42M,381.24M,,381.24M,,,,,,206.65M,587.90M,953.32M,,24.36M,2.673B,0.00,,14.69M,2.708B,,AOR,Restated
1999-12,,951.17M,254.77M,1.206B,,,256.99M,14.82M,,,1.478B,,,,,,,,,420.90M,,1.193B,1.193B,,392.44M,,264.71M,2.272B,3.749B,,172.97M,,63.18M,,236.16M,154.86M,391.02M,,,,59.13M,59.13M,-80.93M,369.22M,377.38M,,377.38M,,,,,,278.30M,655.68M,1.025B,,24.87M,2.689B,0.237M,,14.96M,2.724B,,AOR,Restated
1999-09,,819.24M,412.51M,1.232B,,,444.50M,24.26M,,3.165M,1.704B,,,,,,,,,416.40M,,,1.203B,,107.15M,,236.80M,1.963B,3.667B,,130.15M,,57.97M,,188.11M,224.81M,412.93M,,,,108.98M,108.98M,140.98M,662.90M,294.26M,,294.26M,,,,,,52.64M,346.90M,1.010B,,25.10M,2.566B,69.63M,,-0.254M,2.657B,,AOR,Restated
1999-06,,0.00,491.40M,491.40M,,,,,,,491.40M,,,,,,,,,390.31M,,1.212B,1.212B,,142.96M,,,1.745B,3.575B,,,,,,,,,,,,58.92M,58.92M,,58.92M,395.67M,,395.67M,,,,,,,395.67M,1.009B,,25.21M,2.447B,104.00M,,,2.566B,,,Restated
1999-03,,0.00,396.70M,396.70M,,,,,,,396.70M,,,,,,,,,363.93M,,1.221B,1.221B,,216.81M,,,1.802B,3.459B,,,,,,,,,,,,58.73M,58.73M,,58.73M,391.27M,,391.27M,,,,,,,391.27M,1.013B,,25.21M,2.338B,103.82M,,,2.446B,,,Restated
1998-12,,0.00,293.94M,293.94M,,,,,,,293.94M,,,,,,,,,365.09M,,1.244B,1.244B,,192.73M,,,1.802B,3.398B,,,,,,,,,,,,58.52M,58.52M,,58.52M,413.23M,,413.23M,,,,,,,413.23M,1.031B,,25.24M,2.249B,115.04M,,,2.367B,,,Restated
1998-09,,556.04M,491.91M,1.048B,,,395.67M,22.14M,,4.991M,1.471B,,,,,,,,,349.23M,,,1.254B,,87.28M,,319.07M,2.009B,3.480B,,96.40M,,67.32M,,163.72M,209.43M,373.14M,,,,117.96M,117.96M,164.38M,655.47M,494.46M,,494.46M,,,,,,49.35M,543.81M,1.199B,,25.17M,2.195B,93.03M,,-28.04M,2.281B,,AOR,Restated
1998-06,,0.00,210.59M,210.59M,,,,,,,210.59M,,,,,,,,,325.96M,,1.262B,1.262B,,290.86M,,,1.879B,3.575B,,,,,,,,,,,,131.28M,131.28M,,131.28M,548.68M,,548.68M,,,,,,,548.68M,1.342B,,25.30M,2.095B,126.89M,,,2.234B,,,
1998-03,,0.00,217.21M,217.21M,,,,,,,217.21M,,,,,,,,,294.23M,,1.208B,1.208B,,290.23M,,,1.792B,3.347B,,,,,,,,,,,,128.93M,128.93M,,128.93M,501.63M,,501.63M,,,,,,,501.63M,1.226B,,25.30M,1.977B,123.57M,,,2.121B,,,
1997-12,,0.00,258.48M,258.48M,,,,,,,258.48M,,,,,,,,,258.18M,,1.216B,1.216B,,288.45M,,,1.763B,3.168B,,,,,,,,,,,,93.06M,93.06M,,93.06M,499.54M,,499.54M,,,,,,,499.54M,1.184B,,25.27M,1.863B,108.70M,,,1.984B,,,
1997-09,,442.74M,213.91M,656.65M,,,530.05M,20.04M,,3.739M,1.210B,,,,,,,,,241.22M,,,1.224B,,203.79M,,215.70M,1.885B,3.095B,,171.88M,,31.91M,,203.79M,200.35M,404.13M,,,,118.37M,118.37M,187.40M,709.90M,493.24M,,493.24M,,,,,,37.83M,531.08M,1.241B,,12.62M,1.758B,91.21M,11.07M,,1.854B,,AOR,Restated
1997-06,,333.40M,,333.40M,,,219.90M,,,189.40M,742.70M,,,,,,,270.50M,-71.40M,199.10M,,1.233B,1.233B,,,,707.00M,2.139B,2.882B,,,,,,,,,,,,49.60M,49.60M,225.00M,274.60M,521.50M,,521.50M,,,,,,342.90M,864.40M,1.139B,,,1.644B,,,,1.743B,,,
1997-03,,301.40M,,301.40M,,,209.10M,,,207.00M,717.50M,,,,,,,240.00M,-71.40M,168.60M,,1.242B,1.242B,,,,662.70M,2.073B,2.791B,,,,,,,,,,,,150.40M,150.40M,201.30M,351.70M,443.50M,,443.50M,,,,,,350.30M,793.80M,1.146B,,,1.543B,,,,1.645B,,,
1996-12,,280.40M,,280.40M,,,159.40M,,,183.10M,622.90M,,,,,,,237.40M,-71.40M,166.00M,,1.251B,1.251B,,,,687.10M,2.104B,2.727B,,,,,,,,,,,,150.50M,150.50M,182.30M,332.80M,468.30M,,468.30M,,,,,,377.50M,845.80M,1.179B,,,1.452B,,,,1.548B,,,
1996-09,,502.19M,199.48M,701.67M,,,533.58M,9.952M,,4.66M,1.250B,,,,,,,,,161.61M,,,641.98M,,236.53M,,84.18M,1.124B,2.374B,,208.86M,,27.67M,,236.53M,106.00M,342.53M,,,,0.427M,0.427M,208.72M,551.68M,399.46M,,399.46M,,,,,,22.44M,421.90M,973.58M,,8.226M,1.371B,101.23M,90.30M,,1.401B,,AOR,Restated
1996-06,,383.30M,,383.30M,,,158.30M,,,202.80M,744.40M,,,,,,,203.10M,-60.40M,142.70M,,646.40M,646.40M,,,,723.90M,1.513B,2.257B,,129.60M,,,,129.60M,,129.60M,,,,0.40M,0.40M,9.00M,139.00M,379.60M,,379.60M,,,,,,413.00M,792.60M,931.60M,,,1.295B,,,,1.326B,,,
1996-03,,337.60M,,337.60M,,,164.50M,,,217.70M,719.80M,,,,,,,190.10M,-60.40M,129.70M,,650.90M,650.90M,,,,761.10M,1.542B,2.262B,,121.30M,,,,121.30M,,121.30M,,,,30.30M,30.30M,8.80M,160.40M,421.20M,,421.20M,,,,,,421.10M,842.30M,1.003B,,,1.223B,,,,1.259B,,,
1995-12,,323.20M,,323.20M,,,126.00M,,,208.10M,657.30M,,,,,,,183.90M,-60.40M,123.50M,,655.50M,655.50M,,,,784.70M,1.564B,2.221B,,117.60M,,,,117.60M,,117.60M,,,,75.90M,75.90M,8.90M,202.40M,382.30M,,382.30M,,,,,,448.60M,830.90M,1.033B,,,1.156B,,,,1.188B,,,
1995-09,,261.70M,232.13M,493.83M,,,599.39M,7.167M,,6.876M,1.107B,,,,,,,176.23M,-57.60M,118.63M,,660.36M,660.36M,,302.27M,,56.15M,1.137B,2.245B,,117.70M,,8.221M,176.35M,302.27M,53.24M,355.51M,,,,87.20M,87.20M,244.08M,686.79M,382.37M,,382.37M,,,,,,14.48M,396.84M,1.084B,,8.226M,1.091B,92.19M,48.52M,,1.161B,,AOR,Restated
1995-06,,224.50M,,224.50M,,,597.10M,,,226.80M,1.048B,,,,,,,140.10M,-30.50M,109.60M,,664.90M,664.90M,,,,48.90M,823.40M,1.872B,,91.40M,,,,91.40M,,91.40M,,,,96.80M,96.80M,197.30M,385.50M,382.50M,,382.50M,,,,,,15.50M,398.00M,783.50M,,,1.026B,,,,1.088B,,,
1995-03,,200.20M,,200.20M,,,118.70M,,,209.60M,528.50M,,,,,,,149.60M,-47.30M,102.30M,,669.50M,669.50M,,,,534.40M,1.306B,1.835B,,85.80M,,,,85.80M,,85.80M,,,,109.80M,109.80M,8.10M,203.70M,382.40M,,382.40M,,,,,,211.80M,594.20M,797.90M,,,964.80M,,,,1.037B,,,
1994-12,,197.90M,,197.90M,,,96.10M,,,175.80M,469.80M,,,,,,,144.90M,-47.30M,97.60M,,674.10M,674.10M,,,,536.20M,1.308B,1.778B,,100.90M,,,,100.90M,,100.90M,,,,84.60M,84.60M,8.10M,193.60M,382.60M,,382.60M,,,,,,212.80M,595.40M,789.00M,,,910.60M,,,,988.70M,,,
1994-09,,210.38M,179.64M,390.01M,,,516.78M,8.23M,,5.29M,920.32M,,,,,,,,,94.22M,678.67M,,678.67M,18.16M,230.77M,,26.62M,1.048B,1.969B,,351.05M,6.528M,,,357.58M,,357.58M,,,,84.48M,84.48M,198.40M,640.46M,383.67M,,383.67M,,,,,,13.81M,397.48M,1.038B,,8.226M,855.51M,92.28M,25.41M,,930.82M,,AOR,Restated
1994-06,,218.60M,,218.60M,,,113.20M,,,143.30M,475.10M,,,,,,,,,89.90M,,683.20M,683.20M,,,,403.50M,1.177B,1.652B,,99.60M,,,,99.60M,,99.60M,,,,150.70M,150.70M,6.50M,256.80M,303.80M,,303.80M,8.30M,8.30M,,,,213.10M,525.20M,782.00M,,,798.40M,,,,869.70M,,,
1994-03,,259.50M,,259.50M,,,117.40M,,,70.10M,447.00M,,,,,,,,,0.40M,,689.80M,689.80M,,,,511.70M,1.202B,1.649B,,108.40M,,,,108.40M,,108.40M,,,,49.10M,49.10M,6.60M,164.10M,427.80M,,427.80M,4.20M,4.20M,,,,226.80M,658.80M,822.90M,,,744.90M,,,,826.00M,,,
1993-12,,353.70M,,353.70M,,,74.70M,,,92.30M,520.70M,,,,,,,,,71.50M,,694.30M,694.30M,,,,341.00M,1.107B,1.628B,,117.80M,,,,117.80M,,117.80M,,,,50.40M,50.40M,6.50M,174.70M,650.60M,,650.60M,8.60M,8.60M,,,,18.90M,678.10M,852.80M,,,682.80M,,,,774.70M,,,
1993-09,,302.95M,209.10M,512.05M,,,248.30M,11.78M,,3.199M,775.33M,,,,,,,,,65.82M,696.97M,,696.97M,17.28M,,,26.12M,806.20M,1.582B,,85.96M,5.747M,,,91.71M,,91.71M,,,,51.72M,51.72M,240.25M,383.68M,454.82M,,454.82M,11.00M,11.00M,,,,11.66M,477.48M,861.16M,,8.21M,630.40M,83.68M,0.00,,720.38M,,,Restated
1993-06,,17.80M,440.40M,458.20M,,,234.90M,,,-425.40M,267.70M,,,,,,,,,57.30M,,695.80M,695.80M,,,,440.30M,1.193B,1.461B,,,,,,,,,,,,,,,111.60M,496.00M,8.00M,504.00M,,,,,,189.40M,693.40M,805.00M,,,582.60M,,,,656.10M,,,
1993-03,,21.20M,405.40M,426.60M,,,217.20M,,,-393.50M,250.30M,,,,,,,,,55.20M,,699.40M,699.40M,,,,405.50M,1.160B,1.410B,,,,,,,,,,,,,,,91.00M,510.00M,8.50M,518.50M,,,,,,187.10M,705.60M,796.60M,,,543.10M,,,,613.80M,,,
1992-12,,18.50M,386.10M,404.60M,,,209.10M,,,12.10M,625.80M,,,,,,,,,53.20M,,697.50M,697.50M,,,,-0.10M,750.60M,1.376B,,,,,,,,,,,,698.80M,698.80M,102.50M,801.30M,510.00M,,510.00M,,,,,,-509.90M,0.10M,801.40M,,,506.70M,,,,575.00M,,,
1992-09,,0.00,617.30M,617.30M,,,,,,,617.30M,,,,,,,,,34.80M,,,,,,,,34.80M,834.30M,,,,,,,,,,,,,,,,155.50M,,155.50M,,,,,,,155.50M,367.10M,,,477.90M,,,,467.20M,,,
1992-06,,,,,174.80M,,174.80M,,,,174.80M,,,,,,,,,30.10M,,,,,,,,30.10M,638.80M,,,,,,,,,,,,,,,,5.60M,,5.60M,,,,,,,5.60M,199.50M,,,449.90M,,,,439.30M,,,
1992-03,,0.00,4.50M,4.50M,,,,,,,4.50M,,,,,,,,,29.00M,,,,,,,,29.00M,625.70M,,,,,,,,,,,,,,,,5.40M,,5.40M,,,,,,,5.40M,212.70M,,,424.00M,,,,413.00M,,,
1991-12,,0.00,409.60M,409.60M,,,,,,,409.60M,,,,,,,,,22.40M,,,,,,,,22.40M,626.70M,,,,,,,,,,,,,,,,5.60M,,5.60M,,,,,,,5.60M,239.90M,,,401.80M,,,,386.80M,,,
1991-09,,4.00M,429.40M,433.40M,,,118.50M,,,4.30M,556.20M,,,,,,,,,22.30M,,,,,,,0.10M,22.40M,578.60M,,35.90M,,,,35.90M,,35.90M,,,,,,,35.90M,5.50M,,5.50M,,,,,,174.20M,179.70M,215.60M,,,378.20M,,,,363.00M,,,
1991-06,,2.80M,,2.80M,,,99.60M,,,421.90M,524.30M,,,,,,,,,21.50M,,,,,,,,21.50M,545.80M,,30.10M,,,,30.10M,,30.10M,,,,,,,30.10M,4.10M,,4.10M,,,,,,171.30M,175.40M,205.50M,,,355.40M,,,,340.30M,,,
1991-03,,1.90M,,1.90M,,,87.10M,,,2.20M,91.20M,,,,,,,,,21.50M,,,,,,,407.70M,429.20M,520.40M,,28.70M,,,,28.70M,,28.70M,,,,,,,28.70M,4.10M,,4.10M,,,,,,167.20M,171.30M,200.00M,,,335.60M,,,,320.40M,,,
1990-12,,1.80M,,1.80M,,,85.60M,,,400.00M,487.40M,,,,,,,,,17.50M,,,,,,,0.20M,17.70M,505.10M,,45.40M,,,,45.40M,,45.40M,,,,,,,45.40M,4.00M,,4.00M,,,,,,154.70M,158.70M,204.10M,,,316.40M,,,,301.00M,,,
1990-09,,5.00M,,5.00M,,,83.00M,,,373.10M,461.10M,,,,,,,,,17.30M,,,,,,,0.10M,17.40M,478.50M,,32.00M,,,,32.00M,,32.00M,,,,,,,32.00M,4.20M,,4.20M,,,,,,153.50M,157.70M,189.70M,,,297.90M,,,,288.80M,,,
1990-06,,4.60M,,4.60M,,,86.50M,,,350.20M,441.30M,,,,,,,,,19.10M,,,,,,,0.10M,19.20M,460.50M,,32.50M,,,,32.50M,,32.50M,,,,,,,32.50M,2.10M,,2.10M,,,,,,154.10M,156.20M,188.70M,,,279.00M,,,,271.80M,,,
1990-03,,4.60M,,4.60M,,,87.70M,,,1.70M,94.00M,,,,,,,,,8.30M,,,,,,,349.40M,357.70M,451.70M,,27.20M,,,,27.20M,,27.20M,,,,,,,27.20M,4.40M,,4.40M,,,,,,167.30M,171.70M,198.90M,,,260.10M,,,,252.80M,,,
1989-12,,5.30M,,5.30M,,,87.10M,,,2.20M,94.60M,,,,,,,,,8.40M,,,,,,,324.60M,333.00M,427.60M,,40.20M,,,,40.20M,,40.20M,,,,,,,40.20M,4.40M,,4.40M,,,,,,148.40M,152.80M,193.00M,,,243.60M,,,,234.60M,,,
1989-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.00M,,,,,,,,,,,,,,,,6.10M,,6.10M,,,,,,,6.10M,177.50M,,,226.10M,,,,216.50M,,,
1989-06,,4.70M,,4.70M,,,89.00M,,,,93.70M,,,,,,,,,8.90M,,,,,,,269.60M,278.50M,372.20M,,23.60M,,,,23.60M,,23.60M,,,,,,,23.60M,5.80M,,5.80M,,,,,,145.90M,151.70M,175.30M,,,207.00M,,,,196.90M,,,
1988-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.20M,,,,,,,,,,,,,,,,2.60M,,2.60M,,,,,,,2.60M,26.70M,,,159.00M,,,,150.50M,,,
1987-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.90M,,,,,,,,,,,,,,,,3.60M,,3.60M,,,,,,,3.60M,33.30M,,,103.70M,,,,104.60M,,,
1986-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.20M,,,,,,,,,,,,,,,,6.70M,,6.70M,,,,,,,6.70M,36.00M,,,50.60M,,,,52.20M,,,
