,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2011-12,5.176B,5.176B,3.632B,1.544B,,,957.00M,,,,72.00M,5.00M,-67.00M,-24.00M,933.00M,611.00M,5.00M,72.00M,-67.00M,,-67.00M,544.00M,161.00M,422.00M,,,-21.00M,401.00M,401.00M,886.00M,270.00M,616.00M,,1.02,,,,1.02,1.02,,1.01,,,,1.01,1.01,,394.50M,398.00M,0.70,,AOR,Restated
2011-09,5.382B,5.382B,3.794B,1.588B,943.00M,,943.00M,,,,70.00M,5.00M,-65.00M,-17.00M,926.00M,662.00M,5.00M,70.00M,-65.00M,,-65.00M,597.00M,174.00M,458.00M,,,-26.00M,432.00M,432.00M,958.00M,291.00M,667.00M,,1.10,0.00,,,1.10,1.10,,1.09,0.00,,,1.09,1.09,,392.20M,395.20M,0.70,,AOR,Restated
2011-06,5.259B,5.259B,3.702B,1.557B,940.00M,,940.00M,,,,71.00M,4.00M,-67.00M,-8.00M,932.00M,625.00M,4.00M,71.00M,-67.00M,,-67.00M,558.00M,173.00M,432.00M,,,-24.00M,408.00M,408.00M,916.00M,287.00M,629.00M,,1.04,0.00,,,1.04,1.04,,1.03,0.00,,,1.03,1.03,,393.30M,396.00M,0.70,,AOR,Restated
2011-03,5.029B,5.029B,3.566B,1.463B,921.00M,,921.00M,,,,64.00M,4.00M,-60.00M,-2.00M,919.00M,544.00M,4.00M,64.00M,-60.00M,,-60.00M,484.00M,152.00M,372.00M,,,-22.00M,350.00M,350.00M,791.00M,243.00M,548.00M,,0.87,0.00,,,0.87,0.87,,0.86,0.00,,,0.86,0.86,,403.40M,405.90M,0.70,,AOR,Restated
2010-12,5.075B,5.075B,3.43B,1.645B,,,954.00M,,,,63.00M,4.00M,-59.00M,-8.00M,946.00M,699.00M,4.00M,63.00M,-59.00M,,-59.00M,640.00M,171.00M,520.00M,,,-28.00M,492.00M,492.00M,909.00M,206.00M,703.00M,,1.20,,,,1.20,1.20,,1.20,,,,1.20,1.20,,411.80M,411.80M,0.66,,AOR,Restated
2010-09,4.979B,4.979B,3.365B,1.614B,909.00M,,909.00M,,,,59.00M,5.00M,-54.00M,7.00M,916.00M,698.00M,5.00M,59.00M,-54.00M,,-54.00M,644.00M,195.00M,489.00M,,,-20.00M,469.00M,469.00M,908.00M,205.00M,703.00M,,1.14,0.00,,,1.14,1.14,,1.14,0.00,,,1.14,1.14,,409.00M,412.60M,0.66,,AOR,Restated
2010-06,4.857B,4.857B,3.213B,1.644B,929.00M,,929.00M,,,,60.00M,6.00M,-54.00M,4.00M,933.00M,711.00M,6.00M,60.00M,-54.00M,,-54.00M,657.00M,181.00M,523.00M,,,-25.00M,498.00M,498.00M,926.00M,209.00M,717.00M,,1.20,0.00,,,1.20,1.20,,1.20,0.00,,,1.20,1.20,,413.70M,415.60M,0.66,,AOR,Restated
2010-03,4.835B,4.835B,3.188B,1.647B,881.00M,,881.00M,,,,61.00M,5.00M,-56.00M,101.00M,982.00M,665.00M,5.00M,61.00M,-56.00M,,-56.00M,609.00M,241.00M,411.00M,,,-27.00M,384.00M,384.00M,863.00M,193.00M,670.00M,,0.92,0.00,,,0.92,0.92,,0.92,0.00,,,0.92,0.92,,417.60M,419.30M,0.66,,AOR,Restated
2009-12,4.982B,4.982B,3.316B,1.666B,974.00M,,974.00M,,,,64.00M,5.00M,-59.00M,-25.00M,949.00M,717.00M,5.00M,64.00M,-59.00M,,-59.00M,658.00M,184.00M,522.00M,,,-30.00M,492.00M,492.00M,942.00M,220.00M,722.00M,,1.18,0.00,,,1.18,1.18,,1.17,0.00,,,1.17,1.17,,417.30M,418.90M,0.60,,AOR,Restated
2009-09,4.913B,4.913B,3.186B,1.727B,852.00M,,852.00M,,,,67.00M,7.00M,-60.00M,4.00M,856.00M,871.00M,7.00M,67.00M,-60.00M,,-60.00M,811.00M,240.00M,611.00M,,,-29.00M,582.00M,582.00M,1.074B,196.00M,878.00M,,1.40,0.00,,,1.40,1.40,,1.40,0.00,,,1.40,1.40,,415.90M,416.80M,0.60,,AOR,Restated
