,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,484.00M,484.00M,2.286B,,,2.286B,613.00M,207.00M,1.107B,,1.75B,,,508.00M,5.028B,0.00,169.00M,2.791B,14.12B,383.00M,17.46B,-10.42B,7.046B,1.504B,,1.504B,257.00M,,729.00M,9.536B,14.56B,,2.802B,348.00M,,3.15B,1.764B,4.914B,,,1.741B,,1.741B,,6.655B,5.746B,5.746B,467.00M,467.00M,1.091B,235.00M,61.00M,366.00M,7.731B,14.39B,,,,,,,-57.00M,,AOR,Restated
2018-03,626.00M,626.00M,2.47B,,,2.47B,656.00M,203.00M,1.097B,,1.778B,,,498.00M,5.372B,0.00,175.00M,2.861B,14.60B,323.00M,17.96B,-10.64B,7.328B,1.576B,,1.576B,260.00M,,767.00M,9.931B,15.30B,,2.826B,350.00M,,3.176B,1.899B,5.075B,,,1.599B,,1.599B,,6.674B,6.081B,6.081B,421.00M,421.00M,1.152B,238.00M,61.00M,359.00M,8.074B,14.75B,,,,,,,317.00M,,AOR,Restated
2017-12,616.00M,616.00M,2.203B,,168.00M,2.315B,648.00M,213.00M,1.105B,,1.79B,,,490.00M,5.211B,0.00,173.00M,2.83B,14.61B,300.00M,17.92B,-10.48B,7.436B,1.576B,,1.576B,233.00M,,695.00M,9.94B,15.15B,,2.834B,341.00M,249.00M,3.424B,1.436B,4.86B,,953.00M,953.00M,,953.00M,45.00M,5.858B,6.472B,6.472B,395.00M,395.00M,1.184B,253.00M,61.00M,299.00M,8.411B,14.27B,,473.00M,5.769B,594.00M,3.288B,-2.919B,629.00M,,AOR,Restated
2017-09,655.00M,655.00M,2.36B,,,2.36B,635.00M,203.00M,1.083B,,1.748B,,,463.00M,5.226B,0.00,171.00M,2.787B,14.33B,337.00M,17.62B,-10.31B,7.317B,1.581B,,1.581B,272.00M,,653.00M,9.823B,15.05B,,2.729B,342.00M,,3.071B,1.752B,4.823B,,,589.00M,,589.00M,,5.412B,7.057B,7.057B,434.00M,434.00M,1.285B,239.00M,58.00M,305.00M,9.139B,14.55B,,,,,,,259.00M,,AOR,Restated
2017-06,1.051B,1.051B,2.221B,,,2.221B,634.00M,197.00M,1.072B,,1.738B,,,380.00M,5.39B,0.00,171.00M,2.744B,14.15B,324.00M,17.39B,-10.14B,7.246B,1.527B,,1.527B,283.00M,,624.00M,9.68B,15.07B,,2.629B,343.00M,,2.972B,1.671B,4.643B,,,1.246B,,1.246B,,5.889B,6.777B,6.777B,441.00M,441.00M,1.278B,229.00M,58.00M,296.00M,8.85B,14.74B,,,,,,,102.00M,,AOR,Restated
2017-03,835.00M,835.00M,2.224B,,,2.224B,626.00M,201.00M,1.064B,,1.728B,,,325.00M,5.112B,0.00,170.00M,2.679B,13.91B,428.00M,17.19B,-9.94B,7.251B,1.528B,,1.528B,284.00M,,583.00M,9.646B,14.76B,,2.571B,345.00M,,2.916B,1.62B,4.536B,,,1.328B,,1.328B,,5.864B,6.425B,6.425B,457.00M,457.00M,1.278B,226.00M,58.00M,314.00M,8.532B,14.40B,,,,,,,136.00M,,AOR,Restated
2016-12,923.00M,923.00M,2.077B,,167.00M,2.176B,609.00M,203.00M,1.03B,,1.679B,,,337.00M,5.115B,0.00,163.00M,2.612B,13.59B,488.00M,16.85B,-9.685B,7.169B,1.48B,,1.48B,257.00M,,581.00M,9.487B,14.60B,,2.609B,329.00M,259.00M,3.197B,1.472B,4.669B,,1.133B,1.133B,,1.133B,44.00M,5.846B,6.439B,6.439B,532.00M,532.00M,1.301B,219.00M,58.00M,309.00M,8.639B,14.48B,,473.00M,5.831B,697.00M,3.629B,-3.474B,-102.00M,,AOR,Restated
2016-09,884.00M,884.00M,2.222B,,,2.222B,622.00M,200.00M,1.074B,,1.736B,,,418.00M,5.26B,0.00,168.00M,2.647B,13.72B,389.00M,16.93B,-9.729B,7.198B,1.518B,,1.518B,289.00M,,634.00M,9.639B,14.90B,,2.454B,330.00M,,2.784B,1.731B,4.515B,,,1.205B,,1.205B,,5.72B,6.443B,6.443B,594.00M,594.00M,1.195B,252.00M,64.00M,332.00M,8.628B,14.35B,,,,,,,299.00M,,AOR,Restated
2016-06,656.00M,656.00M,2.249B,,,2.249B,640.00M,203.00M,1.131B,,1.807B,,,402.00M,5.114B,0.00,166.00M,2.609B,13.62B,393.00M,16.79B,-9.601B,7.188B,1.507B,,1.507B,287.00M,,674.00M,9.656B,14.77B,,2.448B,331.00M,,2.779B,1.677B,4.456B,,,772.00M,,772.00M,,5.228B,6.905B,6.905B,626.00M,626.00M,1.192B,228.00M,64.00M,331.00M,9.118B,14.35B,,,,,,,196.00M,,AOR,Restated
2016-03,635.00M,635.00M,2.255B,,,2.255B,668.00M,211.00M,1.204B,,1.902B,,,359.00M,5.151B,0.00,166.00M,2.583B,13.58B,427.00M,16.76B,-9.571B,7.188B,1.498B,,1.498B,284.00M,,699.00M,9.669B,14.82B,,2.442B,332.00M,,2.774B,1.618B,4.392B,,,999.00M,,999.00M,,5.391B,6.904B,6.904B,594.00M,594.00M,1.167B,220.00M,64.00M,371.00M,9.10B,14.49B,,,,,,,109.00M,,AOR,Restated
2015-12,619.00M,619.00M,2.017B,,329.00M,2.281B,675.00M,203.00M,1.214B,,1.909B,,,617.00M,5.426B,0.00,164.00M,2.537B,13.39B,453.00M,16.55B,-9.443B,7.104B,1.446B,94.00M,1.54B,247.00M,,525.00M,9.416B,14.84B,,2.612B,318.00M,329.00M,3.259B,1.385B,4.644B,,1.669B,1.669B,,1.669B,36.00M,6.349B,6.106B,6.106B,766.00M,766.00M,1.137B,214.00M,64.00M,380.00M,8.453B,14.80B,,473.00M,4.994B,609.00M,2.972B,-3.278B,-174.00M,,AOR,Restated
2015-09,643.00M,643.00M,2.284B,,,2.284B,680.00M,218.00M,1.169B,,1.883B,,,632.00M,5.442B,0.00,166.00M,2.535B,13.28B,494.00M,16.48B,-9.409B,7.066B,1.435B,,1.435B,279.00M,,706.00M,9.486B,14.93B,,2.518B,320.00M,,2.838B,1.903B,4.741B,,,1.46B,,1.46B,,6.201B,6.125B,6.125B,626.00M,626.00M,1.312B,222.00M,72.00M,316.00M,8.451B,14.65B,,,,,,,54.00M,,AOR,Restated
2015-06,603.00M,603.00M,2.286B,,,2.286B,704.00M,222.00M,1.214B,,1.948B,,,681.00M,5.518B,0.00,176.00M,2.597B,13.45B,540.00M,16.76B,-9.51B,7.251B,1.553B,,1.553B,286.00M,,738.00M,9.828B,15.35B,,2.599B,321.00M,,2.92B,1.79B,4.71B,,,2.055B,,2.055B,,6.765B,5.544B,5.544B,698.00M,698.00M,1.186B,228.00M,72.00M,337.00M,7.837B,14.60B,,,,,,,516.00M,,AOR,Restated
2015-03,587.00M,587.00M,2.244B,,,2.244B,704.00M,217.00M,1.183B,,1.893B,,,659.00M,5.383B,0.00,175.00M,2.554B,13.27B,510.00M,16.51B,-9.353B,7.16B,1.538B,,1.538B,290.00M,,682.00M,9.67B,15.05B,,2.502B,321.00M,,2.823B,1.751B,4.574B,,,1.612B,,1.612B,,6.186B,6.119B,6.119B,663.00M,663.00M,1.286B,219.00M,72.00M,315.00M,8.455B,14.64B,,,,,,,193.00M,,AOR,Restated
2014-12,789.00M,789.00M,2.079B,,210.00M,2.223B,714.00M,215.00M,1.183B,,1.892B,,,655.00M,5.559B,0.00,177.00M,2.574B,13.44B,591.00M,16.78B,-9.42B,7.359B,1.628B,109.00M,1.737B,257.00M,,614.00M,9.967B,15.53B,,2.616B,310.00M,330.00M,3.256B,1.531B,4.787B,,1.326B,1.326B,,1.326B,113.00M,6.226B,5.63B,5.63B,587.00M,587.00M,1.693B,270.00M,72.00M,319.00M,8.301B,14.53B,,536.00M,8.47B,632.00M,5.597B,-3.312B,729.00M,,AOR,Restated
2014-09,1.431B,1.431B,2.542B,,,2.542B,807.00M,286.00M,1.429B,,2.281B,,,667.00M,6.921B,0.00,186.00M,2.706B,14.12B,540.00M,17.56B,-9.864B,7.692B,3.129B,215.00M,3.344B,335.00M,,584.00M,11.96B,18.88B,,2.597B,313.00M,,2.91B,2.071B,4.981B,,,773.00M,,773.00M,506.00M,6.26B,5.633B,5.633B,902.00M,902.00M,1.09B,283.00M,72.00M,371.00M,8.068B,14.33B,,,,,,,4.265B,,AOR,Restated
2014-06,1.369B,1.369B,2.595B,,,2.595B,834.00M,297.00M,1.469B,,2.358B,,,750.00M,7.072B,0.00,194.00M,2.786B,14.33B,478.00M,17.79B,-9.942B,7.847B,3.234B,228.00M,3.462B,349.00M,,647.00M,12.30B,19.38B,,2.66B,315.00M,,2.975B,1.978B,4.953B,,,591.00M,,591.00M,506.00M,6.05B,5.964B,5.964B,926.00M,926.00M,1.118B,282.00M,72.00M,351.00M,8.431B,14.48B,,,,,,,4.614B,,AOR,Restated
2014-03,1.165B,1.165B,2.618B,,,2.618B,806.00M,291.00M,1.439B,,2.285B,,,580.00M,6.648B,0.00,192.00M,2.753B,14.30B,474.00M,17.72B,-9.874B,7.841B,3.21B,232.00M,3.442B,419.00M,,652.00M,12.35B,19.00B,,2.553B,318.00M,,2.871B,1.955B,4.826B,,,927.00M,,927.00M,506.00M,6.259B,5.385B,5.385B,894.00M,894.00M,1.133B,257.00M,72.00M,334.00M,7.818B,14.08B,,,,,,,4.668B,,AOR,Restated
2013-12,1.054B,1.054B,2.345B,,271.00M,2.545B,788.00M,286.00M,1.401B,,2.233B,,,718.00M,6.55B,0.00,196.00M,2.776B,14.19B,515.00M,17.68B,-9.732B,7.948B,3.181B,243.00M,3.424B,382.00M,,615.00M,12.37B,18.92B,,2.598B,309.00M,336.00M,3.243B,1.68B,4.923B,,375.00M,375.00M,,375.00M,550.00M,5.848B,5.386B,5.386B,817.00M,817.00M,1.312B,284.00M,72.00M,344.00M,7.931B,13.78B,,536.00M,9.714B,594.00M,3.746B,-2.242B,4.856B,,AOR,Restated
2013-09,1.179B,1.179B,2.502B,396.00M,,2.898B,799.00M,309.00M,1.377B,,2.245B,,,572.00M,6.894B,0.00,197.00M,2.78B,14.18B,402.00M,17.56B,-9.684B,7.871B,3.223B,257.00M,3.48B,429.00M,0.00,690.00M,12.47B,19.36B,,2.36B,310.00M,,2.67B,2.023B,4.693B,,,1.087B,,1.087B,,5.78B,5.388B,5.388B,,,1.725B,309.00M,549.00M,946.00M,8.608B,14.39B,,,,,,,4.667B,,AOR,Restated
2013-06,1.16B,1.16B,2.49B,,,2.49B,788.00M,323.00M,1.452B,,2.327B,,,754.00M,6.731B,0.00,195.00M,2.751B,14.00B,533.00M,17.48B,-9.646B,7.834B,3.20B,224.00M,3.424B,429.00M,395.00M,701.00M,12.78B,19.51B,,2.469B,312.00M,,2.781B,2.087B,4.868B,,,1.302B,,1.302B,,6.17B,5.387B,5.387B,,,1.73B,287.00M,549.00M,1.018B,8.684B,14.85B,,,,,,,4.373B,,AOR,Restated
2013-03,1.109B,1.109B,2.717B,,,2.717B,805.00M,325.00M,1.467B,,2.364B,,,524.00M,6.714B,0.00,198.00M,2.75B,14.04B,637.00M,17.62B,-9.645B,7.979B,3.328B,234.00M,3.562B,428.00M,395.00M,668.00M,13.03B,19.75B,,2.47B,313.00M,,2.783B,2.16B,4.943B,,,1.908B,,1.908B,,6.851B,4.571B,4.571B,,,1.868B,285.00M,549.00M,922.00M,7.91B,14.76B,,,,,,,4.70B,,AOR,Restated
2012-12,1.106B,1.106B,2.346B,,376.00M,2.642B,808.00M,329.00M,1.442B,,2.348B,,,493.00M,6.589B,0.00,199.00M,2.732B,13.99B,732.00M,17.66B,-9.561B,8.095B,3.337B,246.00M,3.583B,355.00M,395.00M,856.00M,13.28B,19.87B,,2.443B,289.00M,336.00M,3.068B,1.908B,4.976B,,,1.115B,,1.115B,,6.091B,5.07B,5.07B,488.00M,488.00M,1.992B,302.00M,549.00M,396.00M,8.495B,14.59B,,536.00M,8.823B,481.00M,2.796B,-2.059B,4.985B,,AOR,Restated
2012-09,1.249B,1.249B,2.734B,,,2.734B,808.00M,344.00M,1.47B,,2.373B,,,570.00M,6.926B,,,,,,18.08B,-9.982B,8.099B,3.331B,247.00M,3.578B,398.00M,395.00M,641.00M,13.11B,20.04B,,2.343B,,,2.343B,2.117B,4.46B,,,1.274B,,1.274B,291.00M,6.025B,5.13B,5.13B,,,1.41B,304.00M,547.00M,1.086B,8.173B,14.20B,,,,,,,5.535B,,AOR,Restated
2012-06,994.00M,994.00M,2.681B,,,2.681B,845.00M,327.00M,1.443B,,2.368B,,,549.00M,6.592B,17.79B,,,,,17.79B,-9.809B,7.977B,3.313B,250.00M,3.563B,390.00M,394.00M,680.00M,13.00B,19.60B,,2.371B,,,2.371B,1.898B,4.269B,,,572.00M,,572.00M,292.00M,5.133B,5.695B,5.695B,,,1.465B,287.00M,547.00M,1.032B,8.739B,13.87B,,,,,,,5.437B,,AOR,Restated
2012-03,785.00M,785.00M,2.672B,,,2.672B,807.00M,337.00M,1.449B,,2.354B,,,506.00M,6.317B,18.51B,,,,,18.51B,-10.39B,8.118B,3.373B,260.00M,3.633B,395.00M,394.00M,700.00M,13.24B,19.56B,,2.382B,,,2.382B,1.885B,4.267B,,,691.00M,,691.00M,291.00M,5.249B,5.707B,5.707B,,,1.423B,285.00M,547.00M,993.00M,8.67B,13.92B,,,,,,,5.353B,,AOR,Restated
2011-12,764.00M,764.00M,2.352B,,328.00M,2.602B,797.00M,371.00M,1.468B,,2.356B,,,561.00M,6.283B,0.00,193.00M,2.858B,14.68B,513.00M,18.24B,-10.19B,8.049B,3.34B,265.00M,3.605B,338.00M,394.00M,704.00M,13.09B,19.37B,,2.388B,277.00M,266.00M,2.931B,1.76B,4.691B,,,706.00M,,706.00M,,5.397B,5.426B,5.426B,,,1.46B,280.00M,547.00M,1.014B,8.447B,13.84B,,536.00M,8.244B,440.00M,2.105B,-1.866B,5.249B,,AOR,Restated
2011-09,1.232B,1.232B,2.434B,0.00,,2.434B,812.00M,384.00M,1.538B,,2.421B,,,452.00M,6.539B,18.19B,,,,,18.19B,-10.15B,8.047B,3.321B,,3.321B,372.00M,394.00M,957.00M,13.09B,19.63B,,2.262B,,,2.262B,1.978B,4.24B,,,758.00M,,758.00M,818.00M,5.816B,5.422B,5.422B,493.00M,493.00M,1.394B,284.00M,541.00M,247.00M,8.351B,14.17B,,,,,,,5.179B,,AOR,Restated
2011-06,908.00M,908.00M,2.537B,,220.00M,2.757B,858.00M,355.00M,1.584B,,2.521B,,,536.00M,6.722B,18.58B,,,,,18.58B,-10.17B,8.414B,3.486B,,3.486B,420.00M,393.00M,1.045B,13.76B,20.48B,,2.358B,,,2.358B,1.984B,4.342B,,,1.008B,,1.008B,838.00M,6.188B,5.424B,5.424B,526.00M,526.00M,1.437B,301.00M,541.00M,243.00M,8.435B,14.62B,,,,,,,5.556B,,AOR,Restated
2011-03,585.00M,585.00M,2.696B,,219.00M,2.915B,823.00M,328.00M,1.493B,,2.40B,,,400.00M,6.30B,18.24B,,,,,18.24B,-9.822B,8.413B,3.426B,,3.426B,413.00M,393.00M,1.047B,13.69B,19.99B,,2.195B,,,2.195B,1.887B,4.082B,,,719.00M,,719.00M,991.00M,5.792B,5.406B,5.406B,431.00M,431.00M,1.562B,287.00M,541.00M,262.00M,8.479B,14.27B,,,,,,,5.434B,,AOR,Restated
2010-12,876.00M,876.00M,2.472B,,218.00M,2.69B,802.00M,339.00M,1.478B,,2.373B,,187.00M,202.00M,6.328B,0.00,220.00M,2.833B,14.27B,553.00M,17.88B,-9.521B,8.356B,3.403B,287.00M,3.69B,374.00M,393.00M,723.00M,13.54B,19.86B,,2.206B,269.00M,104.00M,2.579B,1.909B,4.488B,,,344.00M,,344.00M,506.00M,5.338B,5.12B,5.12B,629.00M,629.00M,1.81B,285.00M,541.00M,224.00M,8.324B,13.66B,,598.00M,11.09B,425.00M,4.726B,-1.466B,5.917B,,AOR,Restated
2010-09,533.00M,533.00M,2.413B,218.00M,,2.631B,797.00M,333.00M,1.535B,,2.402B,,,526.00M,6.092B,17.61B,,,,,17.61B,-9.418B,8.188B,3.348B,,3.348B,402.00M,392.00M,1.064B,13.39B,19.49B,,2.123B,,,2.123B,1.975B,4.098B,,,731.00M,,731.00M,330.00M,5.159B,4.71B,4.71B,615.00M,615.00M,1.789B,274.00M,1.052B,227.00M,8.393B,13.55B,,,,,,,5.66B,,AOR,Restated
2010-06,585.00M,585.00M,2.39B,,,2.39B,775.00M,289.00M,1.418B,,2.233B,,,413.00M,5.621B,16.87B,,,,,16.87B,-9.015B,7.856B,3.212B,,3.212B,394.00M,609.00M,1.021B,13.09B,18.71B,,2.055B,,,2.055B,1.903B,3.958B,,,1.157B,,1.157B,341.00M,5.456B,4.442B,4.442B,336.00M,336.00M,1.762B,272.00M,1.052B,378.00M,7.97B,13.43B,,,,,,,5.015B,,AOR,Restated
2010-03,669.00M,669.00M,2.557B,,,2.557B,717.00M,268.00M,1.342B,,2.104B,,,389.00M,5.719B,16.94B,,,,,16.94B,-8.984B,7.958B,3.277B,,3.277B,398.00M,608.00M,1.037B,13.28B,19.00B,,1.995B,,,1.995B,1.839B,3.834B,,,1.001B,,1.001B,421.00M,5.256B,4.387B,4.387B,610.00M,610.00M,1.807B,282.00M,1.052B,207.00M,8.063B,13.32B,,,,,,,5.396B,,AOR,Restated
2009-12,798.00M,798.00M,2.566B,,,2.566B,696.00M,288.00M,1.258B,,2.033B,,136.00M,331.00M,5.864B,0.00,211.00M,2.686B,13.48B,557.00M,16.93B,-8.901B,8.033B,3.275B,310.00M,3.585B,355.00M,607.00M,765.00M,13.34B,19.21B,,1.92B,250.00M,79.00M,2.249B,2.064B,4.313B,,,610.00M,,610.00M,,4.923B,4.792B,4.792B,545.00M,545.00M,1.989B,284.00M,1.052B,218.00M,8.596B,13.52B,,598.00M,10.33B,399.00M,4.087B,-1.833B,5.406B,,AOR,Restated
2009-09,750.00M,750.00M,2.449B,,,2.449B,654.00M,280.00M,1.271B,,2.014B,,,571.00M,5.784B,16.66B,,,,,16.66B,-8.732B,7.926B,3.073B,,3.073B,368.00M,606.00M,831.00M,12.80B,18.59B,,1.668B,,,1.668B,1.974B,3.642B,,,1.21B,,1.21B,460.00M,5.312B,4.442B,4.442B,340.00M,340.00M,1.758B,308.00M,1.046B,191.00M,7.777B,13.09B,,,,,,,5.191B,,AOR,Restated
2009-06,591.00M,591.00M,2.331B,,,2.331B,661.00M,302.00M,1.286B,,2.058B,,,484.00M,5.464B,16.33B,,,,,16.33B,-8.523B,7.808B,2.981B,,2.981B,369.00M,605.00M,919.00M,12.68B,18.15B,,1.512B,,,1.512B,2.00B,3.512B,,,373.00M,,373.00M,421.00M,4.306B,5.49B,5.49B,360.00M,360.00M,1.962B,281.00M,1.046B,205.00M,9.063B,13.37B,,,,,,,4.496B,,AOR,Restated
2009-03,592.00M,592.00M,2.385B,,,2.385B,682.00M,323.00M,1.386B,,2.187B,,,341.00M,5.505B,15.56B,,,,,15.56B,-8.081B,7.482B,2.712B,,2.712B,350.00M,604.00M,920.00M,12.07B,17.57B,,1.427B,,,1.427B,1.52B,2.947B,,,1.314B,,1.314B,519.00M,4.78B,4.875B,4.875B,345.00M,345.00M,2.519B,238.00M,1.046B,195.00M,8.98B,13.76B,,,,,,,3.575B,,AOR,Restated
2008-12,364.00M,364.00M,2.492B,,,2.492B,517.00M,379.00M,1.59B,262.00M,2.493B,,131.00M,333.00M,5.813B,0.00,195.00M,2.486B,12.51B,533.00M,15.72B,-8.056B,7.667B,2.743B,,2.743B,,,1.866B,12.28B,18.09B,,1.422B,,,1.422B,1.755B,3.177B,,,1.083B,,1.083B,492.00M,4.752B,4.882B,4.882B,193.00M,193.00M,,404.00M,1.011B,2.969B,9.055B,13.81B,,598.00M,9.465B,486.00M,4.285B,-2.386B,3.878B,,,
