,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-12,94.12M,95.26M,,,,4.721M,,,,,,-139.99M,59.40M,35.86M,,,,-9.126M,,,,14.35M,7.569M,,-0.853M,2.868M,21.92M,14.35M,58.77M,22.91M,35.86M,,0.22,0.14,,,0.22,0.36,,0.22,0.14,,,0.22,0.36,,51.87M,52.37M,0.505,,AOR,Restated
2004-09,99.31M,98.83M,,,4.673M,4.673M,0.997M,-60.09M,,,,92.22M,60.09M,38.74M,,,,0.997M,,,,17.16M,1.499M,,-0.936M,2.869M,18.66M,16.56M,62.41M,23.67M,38.74M,,0.27,0.03,,,0.2584,0.30,,0.27,0.03,,,0.2587,0.30,,51.64M,52.93M,0.505,,AOR,Restated
2004-06,98.81M,98.51M,,,4.588M,4.588M,8.276M,-58.88M,,,,90.31M,58.88M,39.63M,,,,8.276M,,,,17.35M,8.983M,,-1.192M,2.869M,26.33M,12.38M,62.83M,23.20M,39.63M,,0.28,0.18,,,0.1833,0.46,,0.28,0.17,,,0.1857,0.45,,51.36M,52.68M,0.49,,AOR,Restated
2004-03,94.59M,94.23M,,,4.182M,4.182M,,-55.46M,,,,86.48M,55.46M,38.77M,,,,,,,,16.62M,0.624M,,-1.189M,2.869M,17.25M,16.56M,59.43M,20.66M,38.77M,,0.28,0.01,,0.0012,0.28,0.29,,0.27,0.01,,0.0011,0.27,0.28,,49.16M,50.61M,0.49,,AOR,Restated
2003-12,90.24M,91.57M,,,,2.178M,,,,,,-118.38M,50.79M,40.78M,,,,,,,,18.63M,16.77M,,-1.413M,2.869M,35.40M,18.63M,61.08M,20.30M,40.78M,,0.32,0.35,,,0.32,0.67,,0.32,0.34,,,0.32,0.67,,49.09M,50.46M,0.49,,AOR,Restated
2003-09,86.25M,85.94M,,,3.221M,3.221M,7.172M,-49.65M,,,,77.50M,49.65M,36.29M,,,,7.172M,,,,16.83M,7.761M,,-1.053M,2.869M,24.60M,12.53M,55.03M,18.74M,36.29M,,0.28,0.16,,,0.1921,0.44,,0.28,0.15,,,0.1943,0.44,,48.94M,50.22M,0.49,,AOR,Restated
2003-06,85.14M,84.51M,,,3.147M,3.147M,0.551M,-49.02M,,,,76.76M,49.02M,35.50M,,,,0.551M,,,,16.74M,1.384M,,-1.134M,4.49M,18.13M,16.41M,53.62M,18.13M,35.50M,,0.19,0.03,,,0.1830,0.22,,0.19,0.03,,,0.1832,0.22,,47.16M,48.38M,0.485,,AOR,Restated
2003-03,84.54M,84.54M,,,3.274M,3.274M,,-49.87M,,,,79.13M,49.87M,34.68M,,,,,,,,16.03M,0.35M,,-1.07M,4.856M,16.38M,16.03M,52.12M,17.45M,34.68M,,0.25,0.01,,,0.25,0.26,,0.25,0.01,,,0.25,0.26,,44.27M,45.35M,0.485,,AOR,Restated
2002-12,95.70M,67.89M,,,3.581M,3.581M,-13.78M,-50.84M,,,,,-297.86M,365.74M,,,,-4.326M,,,,10.57M,1.659M,,0.755M,4.857M,2.779M,18.84M,382.17M,16.42M,365.74M,,-0.20,0.37,,,-0.0079,-0.06,,-0.20,0.36,,,-0.0132,-0.06,,43.03M,44.26M,0.485,,AOR,Restated
2002-09,78.33M,78.33M,,,3.713M,3.713M,,-45.15M,,,,70.51M,45.15M,33.18M,,,,,,,,18.56M,0.059M,,1.081M,4.856M,18.50M,18.44M,49.26M,16.07M,33.18M,,0.32,0.00,,,0.32,0.32,,0.31,0.00,,,0.31,0.31,,42.80M,44.04M,0.485,,AOR,
2002-06,75.83M,75.83M,,,3.497M,3.497M,,-43.32M,,,,97.48M,73.58M,2.245M,,,,,,,,16.23M,0.435M,,,4.856M,35.34M,15.80M,18.25M,16.01M,2.245M,,0.27,0.48,,0.4682,0.27,0.75,,0.27,0.47,,0.4533,0.27,0.74,,40.80M,42.14M,0.48,,AOR,
2002-03,75.24M,75.24M,,,2.999M,2.999M,-8.489M,-42.63M,,,,,-39.63M,114.87M,,,,-8.489M,,,,7.475M,0.841M,,,4.856M,-1.331M,12.57M,130.89M,16.02M,114.87M,,0.07,0.02,,-0.2430,0.1983,-0.15,,0.06,0.02,,-0.2430,0.1844,-0.15,,39.70M,40.94M,0.48,,AOR,
2001-12,43.02M,50.92M,,,,,,,,,,,,171.51M,,,,,,,,5.984M,,,,,17.17M,17.17M,171.51M,,171.51M,,0.12,,,,0.12,-0.08,,0.12,,,,0.12,-0.08,,39.47M,40.66M,0.48,,AOR,Restated
2001-09,75.52M,75.52M,,,3.516M,3.516M,,-42.66M,,,,65.47M,41.48M,34.05M,,,,4.303M,,,,13.19M,,,,1.988M,15.18M,12.60M,49.20M,15.15M,34.05M,,0.34,0.00,,,0.2744,0.34,,0.33,0.00,,,0.2662,0.33,,39.35M,40.49M,0.48,,AOR,
2001-06,73.40M,73.40M,,,3.322M,3.322M,,,,,,57.10M,75.23M,-1.833M,,,,,,,,14.27M,,,,1.987M,22.17M,22.17M,12.98M,14.81M,-1.833M,,0.31,0.20,,,0.31,0.51,,0.31,0.20,,,0.31,0.51,,38.98M,40.03M,0.47,,AOR,
2001-03,71.39M,71.39M,,,3.133M,3.133M,,-40.25M,,,,,-37.12M,108.51M,,,,,,,,13.99M,0.242M,,,1.988M,14.23M,13.99M,122.65M,14.14M,108.51M,,0.31,0.01,,,0.31,0.32,,0.31,0.01,,,0.31,0.32,,38.82M,39.86M,0.47,,AOR,
2000-12,64.02M,67.70M,,,,4.283M,-3.681M,,,,,39.88M,171.31M,-103.61M,,,,,,,,13.89M,,,,1.987M,13.89M,12.76M,-89.79M,13.83M,-103.61M,,0.22,-0.01,,,0.2770,0.31,,0.22,-0.01,,,0.2755,0.31,,38.75M,39.79M,0.47,,AOR,Restated
2000-09,68.58M,68.58M,,,3.245M,3.245M,,-38.17M,,,,57.92M,36.44M,32.14M,,,,,,,,12.43M,,,,1.988M,14.42M,14.42M,45.58M,13.44M,32.14M,,0.32,0.00,,,0.32,0.32,,0.32,0.00,,,0.32,0.32,,38.70M,39.77M,0.47,,AOR,
2000-06,68.81M,68.81M,,,2.868M,2.868M,3.681M,,,,,19.94M,36.15M,32.66M,,,,3.681M,,,,14.39M,,,,1.987M,18.07M,15.87M,45.99M,13.34M,32.66M,,0.32,0.10,,,0.2628,0.42,,0.32,0.09,,,0.2645,0.41,,38.60M,39.78M,0.45,,AOR,
2000-03,69.10M,69.10M,,,2.922M,2.922M,,-38.47M,,,,59.55M,36.65M,32.45M,,,,,,,,12.15M,,,,1.988M,14.14M,14.14M,45.10M,12.66M,32.45M,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,39.44M,40.60M,0.45,,AOR,
1999-12,62.40M,69.61M,,,4.22M,4.22M,,-32.70M,,,,,247.93M,-178.32M,,,,,,,,20.89M,,,,1.95M,20.94M,27.99M,-165.60M,12.71M,-178.32M,,0.4707,,,0.00,0.4707,0.4707,,0.4707,,,0.00,0.4707,0.4707,,40.35M,40.35M,0.45,,AOR,
1999-09,67.20M,67.20M,,,5.40M,5.40M,,-38.10M,,,,,-32.70M,99.90M,,,,,,,,14.20M,,,,2.00M,14.20M,14.20M,112.27M,12.37M,99.90M,,0.31,0.00,,,0.31,0.31,,0.30,0.00,,,0.30,0.30,,39.35M,40.67M,0.45,,,
1999-06,57.14M,57.14M,,,3.16M,3.16M,,-34.94M,,,,,-31.78M,88.93M,,,,-7.05M,,,,6.815M,,,,1.987M,6.815M,11.04M,101.56M,12.63M,88.93M,,0.30,-0.18,,,0.4040,0.12,,0.30,-0.18,,,0.4040,0.12,,40.68M,40.68M,0.44,,,
1999-03,62.88M,62.88M,,,2.30M,2.30M,,-34.20M,,,,,-31.90M,94.78M,,,,,,,,13.60M,,,,2.00M,13.60M,13.60M,107.08M,12.30M,94.78M,,0.29,0.00,,,0.29,0.29,,0.29,0.00,,,0.29,0.29,,40.00M,40.00M,0.44,,,
1998-12,65.00M,64.98M,,,3.096M,3.096M,,-36.70M,,,,,223.60M,-158.63M,,,,,,,,12.76M,,,,1.95M,12.76M,12.76M,-147.88M,10.75M,-158.63M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,39.38M,43.01M,0.44,,AOR,
1998-09,59.00M,59.00M,,,2.90M,2.90M,,-37.80M,,,,,-34.90M,93.90M,,,,,,,,7.50M,,,,2.00M,7.50M,7.50M,109.20M,15.30M,93.90M,,0.14,0.00,,,0.14,0.14,,0.14,0.00,,,0.14,0.14,,39.29M,39.29M,0.44,,,
1998-06,58.30M,58.30M,,,4.00M,4.00M,,-32.30M,,,,,-28.30M,86.60M,,,,,,,,12.00M,,,0.70M,2.00M,12.00M,12.00M,95.30M,8.70M,86.60M,,0.26,0.00,,,0.26,0.26,,0.25,0.00,,,0.25,0.25,,38.46M,40.00M,0.43,,,
1998-03,55.40M,55.40M,,,1.80M,1.80M,,-30.00M,,,,,-28.20M,83.60M,,,,,,,,12.70M,,,,2.00M,12.70M,12.70M,94.90M,11.30M,83.60M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,39.63M,39.63M,0.43,,,
1997-12,54.90M,54.90M,,,5.10M,5.10M,,-32.90M,,,,,-27.80M,82.70M,,,,,,,,10.70M,,,,,10.70M,10.70M,92.40M,9.70M,82.70M,,0.06,0.17,,,0.06,0.23,,0.06,0.16,,,0.06,0.22,,38.31M,39.75M,0.43,,AOR,
1997-09,49.80M,49.80M,,,2.00M,2.00M,,-28.40M,,,,,-26.40M,76.20M,,,,,,,,9.50M,,,,,9.50M,9.50M,87.00M,10.80M,76.20M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,39.58M,39.58M,0.43,,,
1997-06,57.80M,57.80M,,,2.50M,2.50M,,-28.80M,,,,,-26.30M,84.10M,,,,,,,,17.00M,,,,,17.00M,17.00M,94.70M,10.60M,84.10M,,0.44,0.00,,,0.44,0.44,,0.44,0.00,,,0.44,0.44,,38.64M,38.64M,0.42,,,
1997-03,48.60M,48.60M,,,2.10M,2.10M,,-27.30M,,,,,-25.20M,73.80M,,,,,,,,9.30M,,,,,9.30M,9.30M,84.10M,10.30M,73.80M,,0.25,0.00,,,0.25,0.25,,0.24,0.00,,,0.24,0.24,,37.20M,38.75M,0.42,,,
1996-12,47.10M,47.46M,,,3.00M,3.00M,,-27.30M,,,,,175.35M,-127.90M,,,,,,,,7.754M,,,,,7.742M,7.742M,-118.34M,9.553M,-127.90M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,34.29M,34.29M,0.42,,AOR,
1996-09,44.30M,44.30M,,,2.30M,2.30M,,-24.90M,,,,,-22.60M,66.90M,,,,,,,,8.10M,,,,,8.10M,8.10M,76.60M,9.70M,66.90M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,33.75M,33.75M,0.42,,,
1996-06,43.50M,43.50M,,,2.10M,2.10M,,-25.40M,,,,,-23.30M,66.80M,,,,,,,,6.90M,,,,,6.90M,6.90M,76.10M,9.30M,66.80M,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,32.86M,32.86M,0.41,,,
1996-03,43.90M,43.90M,,,1.70M,1.70M,,-26.70M,,,,,-25.00M,68.90M,,,,,,,,6.00M,,,,,6.00M,6.00M,78.50M,9.60M,68.90M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,31.58M,31.58M,0.41,,,
1995-12,41.20M,41.49M,,,2.805M,2.805M,,-25.50M,,,,,153.57M,-112.08M,,,,,,,,5.955M,,,,,5.41M,5.41M,-103.38M,8.70M,-112.08M,,0.18,-0.02,,,0.18,0.16,,0.18,-0.02,,,0.18,0.16,,32.62M,32.62M,0.41,,AOR,
1995-09,39.00M,39.00M,,,1.70M,1.70M,,-23.00M,,,,,-21.30M,60.30M,,,,,,,,5.90M,,,,,5.90M,5.90M,68.90M,8.60M,60.30M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,31.05M,31.05M,0.41,,,
1995-06,36.60M,36.60M,,,1.40M,1.40M,,-21.90M,,,,,-20.50M,57.10M,,,,,,,,5.20M,,,,,5.20M,5.20M,66.00M,8.90M,57.10M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,32.50M,32.50M,0.395,,,
1995-03,36.90M,36.90M,,,1.40M,1.40M,,-21.10M,,,,,-19.70M,56.60M,,,,,,,,6.60M,,,,,6.60M,6.60M,65.30M,8.70M,56.60M,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,31.43M,31.43M,0.395,,,
1994-12,36.50M,36.56M,,,2.261M,2.261M,,-22.00M,,,,,144.54M,-107.98M,,,,,,,,6.166M,,,,,6.166M,4.15M,-100.88M,7.101M,-107.98M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,31.44M,31.44M,0.395,,AOR,
1994-09,34.80M,34.80M,,,1.30M,1.30M,,-22.10M,,,,,-20.80M,55.60M,,,,,,,,5.00M,,,,,5.00M,5.00M,63.80M,8.20M,55.60M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,31.25M,31.25M,0.395,,,
1994-06,32.50M,32.50M,,,1.80M,1.80M,,-19.60M,,,,,-17.80M,50.30M,,,,,,,,5.20M,,,,,5.20M,5.20M,57.80M,7.50M,50.30M,,0.17,0.00,,,0.17,0.17,,0.17,0.00,,,0.17,0.17,,30.59M,30.59M,0.39,,,
1994-03,33.70M,33.70M,,,1.40M,1.40M,,-21.30M,,,,,-19.90M,53.60M,,,,,,,,4.10M,,,,,4.10M,4.10M,60.60M,7.00M,53.60M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,27.33M,27.33M,0.39,,,
1993-12,30.50M,30.50M,,,1.40M,1.40M,,-18.00M,,,,,-16.60M,47.10M,,,,,,,,4.50M,,,,,8.20M,4.50M,53.70M,6.60M,47.10M,,0.27,0.11,,0.1464,0.27,0.38,,0.26,0.11,,0.1453,0.26,0.37,,16.26M,17.57M,0.39,,,
1993-09,28.90M,28.90M,,,1.00M,1.00M,,-17.00M,,,,,-16.00M,44.90M,,,,,,,,4.70M,,,,,4.50M,4.70M,51.90M,7.00M,44.90M,,0.16,0.00,,-0.0071,0.16,0.16,,0.16,0.00,,-0.0071,0.16,0.16,,28.12M,28.12M,0.39,,,
1993-06,28.10M,28.10M,,,1.30M,1.30M,,-16.70M,,,,,-15.40M,43.50M,,,,,,,,3.80M,,,,,2.80M,3.80M,49.80M,6.30M,43.50M,,0.14,-0.04,,-0.0357,0.14,0.10,,0.14,-0.04,,-0.0357,0.14,0.10,,28.00M,28.00M,0.385,,,
1993-03,26.60M,26.60M,,,1.00M,1.00M,,-15.30M,,,,,-14.30M,40.90M,,,,,,,,2.60M,,,,,2.50M,2.60M,47.00M,6.10M,40.90M,,0.10,0.00,,-0.004,0.10,0.10,,0.10,0.00,,-0.004,0.10,0.10,,25.00M,25.00M,0.385,,,
1992-12,28.50M,28.50M,,,,,,-15.50M,,,,,-11.40M,39.90M,,,,,,,,4.40M,,,,,1.80M,4.40M,46.70M,6.80M,39.90M,,0.18,-0.11,,-0.1162,0.18,0.07,,0.18,-0.11,,-0.1162,0.18,0.07,,24.65M,24.65M,0.385,,,
1992-09,24.50M,24.50M,,,,,,-14.10M,,,,,-14.10M,38.60M,,,,,,,,1.70M,,,,,3.50M,1.70M,44.30M,5.70M,38.60M,,0.07,0.08,,0.0771,0.07,0.15,,0.07,0.08,,0.0771,0.07,0.15,,23.33M,23.33M,0.385,,,
1992-06,24.10M,24.10M,,,0.80M,0.80M,,-13.70M,,,,,-12.90M,37.00M,,,,,,,,1.60M,,,,,2.20M,1.60M,42.80M,5.80M,37.00M,,0.07,0.03,,0.0273,0.07,0.10,,0.07,0.03,,0.0273,0.07,0.10,,22.00M,22.00M,0.38,,,
1992-03,25.10M,25.10M,,,1.00M,1.00M,,-14.30M,,,,,-13.30M,38.40M,,,,,,,,1.70M,,,,,1.70M,1.70M,44.10M,5.70M,38.40M,,0.08,0.00,,,0.08,0.08,,0.08,0.00,,,0.08,0.08,,21.25M,21.25M,0.38,,,
1991-12,25.80M,25.80M,,,1.20M,1.20M,,-12.50M,,,,,-11.30M,37.10M,,,,,,3.30M,2.20M,1.10M,,,0.00,,1.60M,1.10M,43.00M,5.90M,37.10M,,0.06,0.03,,,0.06,0.09,,0.06,0.03,,,0.06,0.09,,18.05M,18.05M,0.38,,,
1991-09,23.90M,23.90M,,,0.60M,0.60M,,-11.10M,,,,,-10.50M,34.40M,,,,,,2.80M,2.30M,0.50M,,,0.10M,,0.70M,0.50M,39.90M,5.50M,34.40M,,0.03,0.01,,0.0114,0.03,0.04,,0.03,0.01,,0.0114,0.03,0.04,,17.50M,17.50M,0.38,,,
1991-06,24.40M,24.40M,,,0.80M,0.80M,,-11.10M,,,,,-10.30M,34.70M,,,,,,3.60M,2.30M,1.30M,,,0.30M,,1.20M,1.30M,40.00M,5.30M,34.70M,,0.08,-0.01,,-0.0058,0.08,0.07,,0.08,-0.01,,-0.0058,0.08,0.07,,17.14M,17.14M,0.37,,,
1991-03,23.70M,23.70M,,,0.90M,0.90M,,-11.00M,,,,,-10.10M,33.80M,,,,,,3.50M,2.10M,1.40M,,,0.20M,,1.40M,1.40M,39.00M,5.20M,33.80M,,0.08,0.00,,,0.08,0.08,,0.08,0.00,,,0.08,0.08,,17.50M,17.50M,0.37,,,
1990-12,24.40M,24.40M,,,1.10M,1.10M,,-12.70M,,,,,-11.60M,36.00M,,,,0.20M,,2.50M,2.00M,0.50M,,,0.10M,,0.50M,0.38M,41.20M,5.20M,36.00M,,0.03,0.00,,,0.0228,0.03,,0.03,0.00,,,0.0228,0.03,,16.60M,16.60M,0.37,,,
1990-09,22.40M,22.40M,,,0.80M,0.80M,,-10.40M,,,,,-9.60M,32.00M,,,,,,3.30M,2.00M,1.30M,,,0.10M,,1.30M,1.30M,36.80M,4.80M,32.00M,,0.08,0.00,,,0.08,0.08,,0.08,0.00,,,0.08,0.08,,16.25M,16.25M,0.37,,,
1990-06,23.50M,23.50M,,,1.00M,1.00M,,-10.00M,,,,,-9.00M,32.50M,,,,0.70M,,4.50M,2.00M,2.50M,,,0.20M,,2.50M,2.08M,37.00M,4.50M,32.50M,,0.14,0.00,,,0.1165,0.14,,0.14,0.00,,,0.1165,0.14,,17.86M,17.86M,0.35,,,
1990-03,21.60M,21.60M,,,0.60M,0.60M,,-9.70M,,,,,-9.10M,30.70M,,,,,,3.50M,1.90M,1.60M,,,0.10M,,1.60M,1.60M,35.30M,4.60M,30.70M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,16.00M,16.00M,0.35,,,
1989-12,22.60M,22.60M,,,1.20M,1.20M,,-10.30M,,,,,-9.10M,31.70M,,,,0.00,,4.00M,1.90M,2.10M,,,0.10M,,2.10M,2.10M,35.90M,4.20M,31.70M,,0.12,0.00,,,0.12,0.12,,0.12,0.00,,,0.12,0.12,,16.11M,16.11M,0.35,,,
1989-09,19.50M,19.50M,,,0.60M,0.60M,,-8.90M,,,,,-8.30M,27.80M,,,,,,2.40M,1.70M,0.70M,,,,,0.70M,0.70M,32.00M,4.20M,27.80M,,0.05,0.00,,,0.05,0.05,,0.05,0.00,,,0.05,0.05,,14.00M,14.00M,0.35,,,
1989-06,27.40M,27.40M,,,0.90M,0.90M,,-9.50M,,,,,-8.60M,36.00M,,,,7.20M,,9.50M,1.70M,7.80M,,,,,7.80M,1.888M,36.00M,,36.00M,,0.55,0.00,,,0.1332,0.55,,0.55,0.00,,,0.1332,0.55,,14.18M,14.18M,0.35,,,
1989-03,20.70M,20.70M,,,,,,,,,,,,20.70M,,,,,,,,1.40M,,,,,1.40M,1.40M,20.70M,,20.70M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,14.00M,14.00M,0.33,,,
1988-12,17.40M,17.40M,,,,,,,,,,,,54.30M,,,,,,,,1.30M,,,,,1.30M,1.30M,54.30M,,54.30M,,0.09,0.00,,,0.09,0.09,,0.09,0.00,,,0.09,0.09,,14.38M,14.38M,0.33,,,
1988-09,16.70M,16.70M,,,,,,,,,,,,16.70M,,,,,,,,0.70M,,,,,0.70M,0.70M,16.70M,,16.70M,,0.05,0.00,,,0.05,0.05,,0.05,0.00,,,0.05,0.05,,14.00M,14.00M,0.33,,,
1988-06,17.00M,17.00M,,,,,,,,,,,,17.00M,,,,,,,,1.20M,,,,,1.20M,1.20M,17.00M,,17.00M,,0.09,0.00,,,0.09,0.09,,0.09,0.00,,,0.09,0.09,,13.33M,13.33M,0.30,,,
1988-03,17.00M,17.00M,,,,,,,,,,,,17.00M,,,,,,,,2.20M,,,,,2.20M,2.20M,17.00M,,17.00M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,13.75M,13.75M,0.30,,,
1987-12,21.30M,21.30M,,,,,,,,,,,,51.70M,,,,,,,,1.40M,,,,,1.40M,1.40M,51.70M,,51.70M,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,12.73M,12.73M,0.30,,,
1987-09,15.20M,15.20M,,,,,,,,,,,,15.20M,,,,,,,,1.20M,,,,,1.20M,1.20M,15.20M,,15.20M,,0.09,0.00,,,0.09,0.09,,0.09,0.00,,,0.09,0.09,,13.33M,13.33M,0.30,,,
1987-06,15.30M,15.30M,,,,,,,,,,,,15.30M,,,,,,,,1.40M,,,,,1.40M,1.40M,15.30M,,15.30M,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,12.73M,12.73M,0.27,,,
1987-03,13.30M,13.30M,,,,,,,,,,,,13.30M,,,,,,,,2.00M,,,,,2.00M,2.00M,13.30M,,13.30M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,12.50M,12.50M,0.27,,,
1986-12,11.80M,11.80M,,,,,,,,,,,,34.30M,,,,,,,,-5.70M,,,,,-5.70M,-5.70M,34.30M,,34.30M,,-0.47,0.00,,,-0.47,-0.47,,-0.47,0.00,,,-0.47,-0.47,,10.45M,10.45M,0.27,,,
1986-09,11.30M,11.30M,,,,,,,,,,,,11.30M,,,,,,,,1.90M,,,,,1.90M,1.90M,11.30M,,11.30M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,11.88M,11.88M,0.27,,,
1986-06,11.10M,11.10M,,,,,,,,,,,,11.10M,,,,,,,,9.00M,,,,,9.00M,9.00M,11.10M,,11.10M,,0.77,0.00,,,0.77,0.77,,0.70,0.00,,,0.70,0.70,,11.69M,12.86M,0.26,,,
1986-03,10.60M,10.60M,,,,,,,,,,,,10.60M,,,,,,,,3.60M,,,,,3.60M,3.60M,10.60M,,10.60M,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,11.61M,11.61M,0.26,,,
1985-12,9.70M,9.70M,,,,,,,,,,,,27.10M,,,,,,,,2.10M,,,,,2.10M,2.10M,27.10M,,27.10M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,11.65M,11.65M,0.26,,,
1985-09,8.20M,8.20M,,,,,,,,,,,,8.20M,,,,,,,,2.00M,,,,,2.00M,2.00M,8.20M,,8.20M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,11.11M,11.11M,0.3905,,,
1985-06,8.40M,8.40M,,,,,,,,,,,,8.40M,,,,,,,,2.00M,,,,,2.00M,2.00M,8.40M,,8.40M,,0.17,0.00,,,0.17,0.17,,0.17,0.00,,,0.17,0.17,,11.76M,11.76M,0.3604,,,
1985-03,7.90M,7.90M,,,,,,,,,,,,7.90M,,,,,,,,2.40M,,,,,2.40M,2.40M,7.90M,,7.90M,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,11.43M,11.43M,0.3604,,,
1984-12,10.50M,10.50M,,,,,,,,,,,,25.20M,,,,,,,,5.40M,,,,,5.40M,5.40M,25.20M,,25.20M,,0.52,0.00,,,0.52,0.52,,0.52,0.00,,,0.52,0.52,,11.18M,11.18M,0.3604,,,
1984-09,6.70M,6.70M,,,,,,,,,,,,6.70M,,,,,,,,1.90M,,,,,1.90M,1.90M,6.70M,,6.70M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,10.56M,10.56M,,,,
1984-06,6.60M,6.60M,,,,,,,,,,,,6.60M,,,,,,,,1.30M,,,,,1.30M,1.30M,6.60M,,6.60M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,8.667M,8.667M,,,,
1984-03,6.60M,6.60M,,,,,,,,,,,,6.60M,,,,,,,,1.70M,,,,,1.70M,1.70M,6.60M,,6.60M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,8.947M,8.947M,,,,
