,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2017-03,71.60M,,-17.10M,-17.10M,109.40M,109.40M,-46.00M,12.20M,,6.10M,,31.20M,50.10M,0.50M,,3.40M,,,-26.90M,27.10M,194.50M,2017-03,-22.00M,,-22.00M,,25.30M,2.20B,84.50M,2.288B,2017-03,-13.30M,,-13.30M,,0.00,0.00,-23.00M,-23.00M,,-0.90M,-37.20M,2017-03,622.30M,2.445B,10.40M,,2017-03,,0.00,-13.30M,0.00,,,2017-03,AOR,Restated
2016-12,-1.359B,,1.116B,1.116B,118.60M,118.60M,-316.80M,602.20M,,7.70M,,12.00M,-113.60M,75.60M,,66.90M,,,-2.90M,26.00M,206.20M,2016-12,-21.60M,,-21.60M,,20.00M,4.50M,91.60M,94.50M,2016-12,-12.30M,,-12.30M,0.10M,0.00,0.10M,-20.80M,-20.80M,,-1.60M,-34.60M,2016-12,362.70M,266.10M,-6.50M,,2016-12,0.10M,0.00,-12.30M,0.00,,,2016-12,AOR,Restated
2016-09,-1.590B,,377.30M,378.00M,114.70M,114.70M,-351.30M,1.614B,,5.70M,,4.60M,71.80M,20.40M,,-69.10M,,,20.00M,43.10M,219.00M,2016-09,-27.50M,,-27.50M,,41.40M,,24.50M,38.40M,2016-09,-517.40M,,-517.40M,4.70M,,4.70M,-20.80M,-20.80M,,-6.10M,-539.60M,2016-09,641.80M,-282.20M,3.10M,,2016-09,4.70M,0.00,-517.40M,,,,2016-09,AOR,Restated
2016-06,-728.90M,,1.115B,1.115B,41.20M,41.20M,-184.80M,-52.60M,,-4.20M,,16.20M,18.20M,19.50M,,-176.40M,,,-4.10M,-142.80M,59.40M,2016-06,-22.40M,,-22.40M,,-3.30M,0.00,169.90M,144.20M,2016-06,-114.00M,,-114.00M,0.40M,0.00,0.40M,-20.80M,-20.80M,,-9.10M,-143.50M,2016-06,588.90M,60.10M,-7.20M,,2016-06,0.40M,0.00,-114.00M,0.00,-34.50M,,2016-06,AOR,Restated
2016-03,-334.60M,,,0.40M,182.50M,182.50M,-138.00M,467.00M,,13.80M,,7.00M,23.00M,-14.80M,,-10.70M,,,-25.30M,-27.80M,170.30M,2016-03,-34.70M,,-34.70M,,-416.40M,0.00,-1.00M,-452.10M,2016-03,471.70M,,471.70M,3.10M,0.00,3.10M,-20.80M,-20.80M,,-5.00M,449.00M,2016-03,417.80M,167.20M,3.90M,,2016-03,3.10M,1.190B,-718.60M,0.00,34.50M,,2016-03,AOR,
2015-09,112.60M,,,,175.40M,175.40M,-14.20M,,,14.30M,,5.40M,46.20M,-57.00M,,-140.50M,,,-6.20M,-157.50M,136.00M,2015-09,-38.60M,,-38.60M,,-405.10M,,-5.00M,-448.70M,2015-09,-14.30M,79.00M,64.70M,2.20M,,2.20M,-18.30M,-18.30M,,-4.90M,43.70M,2015-09,785.60M,-269.00M,-10.10M,,2015-09,2.20M,,-14.30M,,19.80M,,2015-09,AOR,
2015-06,64.60M,,1.90M,2.80M,-122.80M,-122.80M,68.20M,,,7.90M,2.50M,3.10M,-86.00M,4.30M,,227.70M,,,19.00M,165.00M,119.60M,2015-06,-57.20M,,-57.20M,,-2.091B,-5.40M,341.60M,-1.812B,2015-06,-929.30M,,-929.30M,2.90M,7.70M,10.60M,-18.30M,-18.30M,,-18.10M,-955.10M,2015-06,3.430B,-2.647B,2.50M,,2015-06,2.90M,0.00,-929.30M,7.70M,18.00M,,2015-06,AOR,Restated
2015-03,-95.00M,,298.10M,298.10M,127.80M,127.80M,-46.30M,,,7.50M,1.30M,-0.40M,39.40M,2.00M,,-64.50M,,,-2.00M,-25.10M,267.90M,2015-03,-31.80M,,-31.80M,,-4.00M,-298.10M,0.00,-333.90M,2015-03,-13.90M,,-13.90M,1.20M,0.00,1.20M,-17.50M,-17.50M,,-1.30M,-31.50M,2015-03,3.596B,-97.50M,-68.20M,,2015-03,1.20M,-0.20M,-13.70M,0.00,92.20M,,2015-03,AOR,
2014-12,70.20M,,26.40M,36.00M,127.10M,127.10M,-18.10M,,,7.40M,-3.80M,10.80M,-61.80M,12.00M,,97.20M,,,-4.40M,43.00M,272.60M,2014-12,-16.30M,,-16.30M,,-83.00M,-26.40M,-0.20M,-125.90M,2014-12,1.610B,2.10M,1.612B,1.037B,-7.70M,1.029B,-14.90M,-14.90M,,-55.50M,2.570B,2014-12,891.50M,2.717B,-12.40M,,2014-12,1.037B,2.504B,-895.00M,-7.70M,9.90M,,2014-12,AOR,
2014-09,96.30M,,,,126.60M,126.60M,-20.10M,,,8.80M,,2.00M,57.30M,-29.70M,,-34.10M,,,-12.00M,-18.50M,195.10M,2014-09,-31.70M,,-31.70M,,0.00,,1.00M,-30.70M,2014-09,-39.50M,-2.10M,-41.60M,2.60M,,2.60M,-14.10M,-14.10M,,-8.20M,-61.30M,2014-09,799.50M,103.10M,-11.10M,,2014-09,2.60M,,-39.50M,,10.90M,,2014-09,AOR,Restated
2014-06,159.40M,,-12.70M,-12.70M,-31.50M,-31.50M,-22.60M,,-26.60M,6.10M,6.40M,30.90M,-50.50M,65.00M,,67.00M,,,35.30M,116.80M,232.20M,2014-06,-51.60M,,-51.60M,,-7.50M,15.00M,45.50M,1.40M,2014-06,-38.00M,,-38.00M,0.90M,7.50M,8.40M,-14.10M,-14.10M,,-3.20M,-46.90M,2014-06,609.40M,186.70M,3.40M,,2014-06,0.90M,0.00,-38.00M,7.50M,9.90M,,2014-06,AOR,Restated
2014-03,48.10M,,12.70M,12.70M,127.20M,127.20M,-21.70M,,,4.90M,0.50M,2.00M,-24.90M,9.20M,,10.10M,,,12.40M,6.80M,180.50M,2014-03,-42.20M,,-42.20M,,-70.40M,66.40M,0.00,-46.20M,2014-03,-35.00M,,-35.00M,2.20M,-0.20M,2.00M,-14.00M,-14.00M,,-0.50M,-47.50M,2014-03,521.10M,86.80M,1.50M,,2014-03,2.20M,0.00,-35.00M,-0.20M,9.40M,,2014-03,AOR,Restated
2013-12,-86.10M,,,165.80M,62.70M,62.70M,7.40M,,,7.70M,0.30M,18.70M,-19.40M,22.50M,,-39.80M,,,-18.20M,-54.90M,121.60M,2013-12,-37.40M,-4.60M,-42.00M,,-1.528B,0.00,6.20M,-1.564B,2013-12,1.195B,-1.10M,1.194B,3.20M,0.00,3.20M,-9.50M,-9.50M,,-36.50M,1.151B,2013-12,816.60M,-290.90M,-4.60M,,2013-12,3.20M,3.294B,-2.098B,0.00,51.80M,,2013-12,AOR,Restated
2013-09,111.40M,,,,47.70M,47.70M,-12.80M,,0.00,5.90M,-7.20M,1.90M,-45.70M,-12.00M,,7.10M,,,2.40M,-48.20M,98.70M,2013-09,-40.40M,4.60M,-35.80M,,0.00,0.00,,-35.80M,2013-09,0.00,1.10M,1.10M,3.50M,-7.30M,-3.80M,-8.50M,-8.50M,,-17.60M,-28.80M,2013-09,779.90M,34.10M,2.60M,,2013-09,3.50M,,0.00,-7.30M,22.10M,,2013-09,AOR,Restated
2013-06,118.40M,,-4.70M,-4.70M,47.40M,47.40M,9.10M,,,4.40M,15.40M,0.80M,-31.10M,-13.30M,,32.00M,,,-3.30M,-15.70M,173.70M,2013-06,-40.60M,,-40.60M,,-244.50M,0.00,,-285.10M,2013-06,601.50M,-4.40M,597.10M,2.00M,12.30M,14.30M,-8.50M,-8.50M,,-17.60M,585.30M,2013-06,300.80M,473.90M,5.20M,,2013-06,2.00M,596.50M,5.00M,12.30M,39.70M,,2013-06,AOR,Restated
2013-03,112.00M,,1.70M,1.70M,42.90M,42.90M,-5.50M,0.00,,4.60M,0.20M,4.80M,-22.10M,-36.30M,,38.30M,,,14.70M,-5.40M,150.50M,2013-03,-24.20M,0.00,-24.20M,,-280.90M,8.60M,,-296.50M,2013-03,0.20M,1.80M,2.00M,1.10M,-0.10M,1.00M,-8.50M,-8.50M,,-0.30M,-5.80M,2013-03,459.50M,-151.80M,-6.90M,,2013-03,1.10M,0.20M,0.00,-0.10M,25.60M,,2013-03,AOR,Restated
2012-12,105.90M,,3.00M,3.00M,36.50M,36.50M,3.60M,0.00,,4.60M,-2.30M,2.30M,22.90M,3.10M,,-5.70M,,,13.10M,33.40M,184.70M,2012-12,-24.50M,0.00,-24.50M,,-326.90M,,,-351.40M,2012-12,0.00,1.10M,1.10M,3.50M,0.00,3.50M,-8.50M,-8.50M,,1.80M,-2.10M,2012-12,632.00M,-168.80M,-3.70M,,2012-12,3.50M,40.00M,-40.00M,0.00,47.40M,,2012-12,AOR,Restated
2012-09,105.60M,,,,33.40M,33.40M,-1.50M,,,4.80M,-13.30M,-8.50M,-6.70M,-48.10M,,-20.10M,,,-9.20M,-84.10M,44.90M,2012-09,-14.80M,0.00,-14.80M,,,,,-14.80M,2012-09,0.60M,1.50M,2.10M,4.10M,-12.20M,-8.10M,-7.50M,-7.50M,,13.30M,-0.20M,2012-09,602.50M,29.90M,-0.40M,,2012-09,4.10M,0.60M,,-12.20M,20.50M,,2012-09,AOR,Restated
2012-06,115.68M,,,-8.60M,33.59M,33.59M,14.13M,,,5.076M,-0.698M,1.619M,-20.58M,32.92M,,28.37M,,,0.279M,40.99M,201.78M,2012-06,-33.74M,,-34.48M,0.75M,8.629M,,-0.70M,-25.81M,2012-06,-125.42M,0.07M,-125.35M,1.56M,-0.246M,1.314M,-7.484M,-7.484M,,0.706M,-130.81M,2012-06,554.28M,45.16M,3.064M,,2012-06,1.56M,-0.42M,-125.00M,-0.246M,29.08M,,2012-06,AOR,Restated
2012-03,115.73M,,,0.00,34.61M,34.61M,6.971M,,,4.947M,-0.987M,9.319M,-18.07M,6.627M,,-65.63M,,,0.225M,-76.85M,91.50M,2012-03,-30.81M,,-30.06M,-0.75M,-35.28M,0.00,0.75M,-65.33M,2012-03,2.074M,0.00,2.074M,2.341M,0.00,2.341M,-7.495M,-7.495M,,0.976M,-2.104M,2012-03,531.41M,24.06M,-1.191M,,2012-03,2.341M,2.074M,0.00,0.00,37.24M,,2012-03,AOR,Restated
2011-12,170.20M,,,0.00,32.38M,32.38M,5.562M,,,5.042M,-0.637M,-72.70M,-19.24M,-26.99M,,71.12M,,,-1.007M,23.88M,165.98M,2011-12,-36.71M,,-36.71M,0.00,0.00,,-0.50M,-37.21M,2011-12,351.76M,-3.75M,348.01M,1.815M,-0.055M,1.76M,-14.02M,-7.486M,,-56.99M,285.29M,2011-12,116.62M,414.06M,0.735M,,2011-12,1.815M,835.78M,-485.00M,-0.055M,6.822M,,2011-12,AOR,Restated
2011-09,,,,-3.50M,34.72M,34.72M,-0.959M,,,3.935M,-10.58M,70.46M,8.581M,-7.156M,,-36.16M,,,-5.197M,-39.93M,54.15M,2011-09,-18.95M,,-18.95M,10.50M,-547.05M,,-0.25M,-555.76M,2011-09,250.79M,0.98M,251.77M,5.884M,-7.899M,-2.015M,,-6.535M,,63.11M,306.33M,2011-09,310.10M,-195.28M,1.792M,,2011-09,5.884M,251.77M,,-7.899M,9.151M,,2011-09,AOR,Restated
2011-06,85.57M,0.049M,,0.049M,26.64M,26.64M,2.524M,,,3.874M,-0.944M,5.63M,-3.003M,0.904M,,17.60M,,,10.84M,26.35M,144.97M,2011-06,-52.86M,,-52.86M,0.00,-0.066M,10.04M,-10.80M,-53.68M,2011-06,-0.442M,1.62M,1.178M,1.824M,-0.015M,1.809M,,-6.521M,,0.602M,-2.932M,2011-06,223.24M,88.35M,-1.522M,,2011-06,1.824M,-0.442M,7.82M,-0.015M,32.11M,,2011-06,AOR,Restated
2011-03,89.08M,2.151M,,2.151M,25.89M,25.89M,-1.968M,,,4.314M,-6.649M,-2.335M,-0.25M,-7.153M,,9.382M,,,-8.504M,-6.525M,106.30M,2011-03,-15.99M,,-15.99M,0.00,-2.932M,-10.00M,4.00M,-24.92M,2011-03,0.442M,0.209M,0.651M,7.209M,-0.071M,7.138M,,-6.511M,,5.194M,6.472M,2011-03,134.78M,87.85M,0.61M,,2011-03,7.209M,0.442M,0.209M,-0.071M,28.23M,,2011-03,AOR,Restated
2010-12,90.17M,,,,26.93M,26.93M,-0.128M,,,3.53M,-0.142M,3.388M,-45.55M,-20.59M,,48.90M,,,25.78M,8.54M,128.90M,2010-12,-21.36M,,-21.36M,0.00,0.00,0.56M,-4.00M,-24.80M,2010-12,50.00M,-0.553M,49.45M,1.28M,-0.046M,1.234M,,-6.488M,,-66.56M,-22.37M,2010-12,56.10M,81.73M,-3.051M,,2010-12,1.28M,150.00M,-108.03M,-0.046M,25.41M,,2010-12,AOR,Restated
2010-09,74.38M,,,,23.44M,23.44M,-57.13M,,,3.682M,-9.465M,-5.783M,-58.40M,-3.559M,,37.82M,,,-16.92M,-41.06M,-6.162M,2010-09,-9.194M,,-9.194M,0.00,1.998M,,,-7.196M,2010-09,-95.00M,-7.476M,-102.48M,3.987M,-8.168M,-4.181M,,-5.78M,,72.46M,-39.97M,2010-09,109.76M,-53.33M,-0.337M,,2010-09,3.987M,0.00,-95.00M,-8.168M,29.86M,,2010-09,AOR,Restated
2010-06,-174.86M,0.00,,0.00,22.29M,22.29M,3.379M,,,3.512M,-4.13M,221.32M,-12.42M,1.489M,,9.891M,,,31.94M,30.90M,111.94M,2010-06,-28.27M,,-23.27M,-5.00M,-809.92M,0.00,0.00,-838.19M,2010-06,527.77M,-8.771M,519.00M,6.851M,-0.116M,6.735M,,-5.763M,,1.817M,521.79M,2010-06,318.52M,-204.46M,-4.301M,,2010-06,6.851M,625.00M,-106.00M,-0.116M,27.19M,,2010-06,AOR,Restated
2010-03,62.18M,-0.75M,,-0.75M,17.57M,17.57M,-2.777M,,,3.489M,-1.234M,7.474M,15.83M,-11.02M,,-16.72M,,-8.369M,-1.336M,-21.62M,64.33M,2010-03,-25.28M,,-11.28M,-14.00M,-12.85M,0.00,14.00M,-24.13M,2010-03,0.00,0.00,0.00,3.344M,-0.168M,3.176M,,-5.728M,,-2.121M,-4.673M,2010-03,282.44M,35.53M,0.547M,,2010-03,3.344M,0.00,0.00,-0.168M,20.37M,,2010-03,AOR,Restated
2009-12,60.81M,,,,18.01M,18.01M,-1.737M,,,4.778M,-2.713M,0.00,-1.278M,-19.27M,,53.64M,,8.369M,-0.878M,40.58M,119.73M,2009-12,-15.74M,,-15.74M,,0.00,0.00,-5.152M,-20.90M,2009-12,-17.77M,0.00,-17.77M,7.629M,-45.52M,-37.89M,,-5.732M,,1.921M,-59.47M,2009-12,243.97M,39.36M,-0.886M,,2009-12,7.629M,0.00,-17.77M,-45.52M,26.76M,,2009-12,AOR,Restated
2009-09,51.86M,,,,16.23M,16.23M,-12.75M,,,2.917M,-1.783M,14.00M,-23.90M,-3.408M,,-9.459M,,,2.653M,-34.12M,36.36M,2009-09,-7.515M,,-7.515M,,-10.06M,,-19.11M,-36.68M,2009-09,-50.00M,0.00,-50.00M,3.62M,-25.29M,-21.67M,,-5.106M,,2.43M,-74.34M,2009-09,317.64M,-74.67M,0.997M,,2009-09,3.62M,,-50.00M,-25.29M,3.096M,,2009-09,AOR,Restated
2009-06,35.20M,0.00,,0.00,19.24M,19.24M,-2.233M,14.65M,,3.031M,-0.137M,0.00,12.50M,9.348M,,66.24M,,,-1.066M,87.02M,156.76M,2009-06,-27.22M,,-27.22M,,0.00,,0.00,-27.22M,2009-06,0.00,0.00,0.00,0.628M,-0.142M,0.486M,,-5.171M,-0.68M,,-5.365M,2009-06,197.82M,124.18M,-5.863M,,2009-06,0.628M,,0.00,-0.142M,,,2009-06,AOR,Restated
2009-03,45.90M,0.00,,0.00,16.54M,16.54M,8.846M,0.00,,2.399M,-2.924M,0.00,7.796M,19.71M,,-55.63M,,,22.96M,-5.16M,65.60M,2009-03,-10.09M,,-11.09M,1.00M,-0.024M,,-1.00M,-11.12M,2009-03,-17.09M,0.00,-17.09M,0.542M,-0.05M,0.492M,,-5.076M,-0.395M,,-22.07M,2009-03,162.16M,32.42M,3.242M,,2009-03,0.542M,,-17.09M,-0.05M,-45.41M,,2009-03,AOR,Restated
2008-12,24.99M,,,,17.60M,17.60M,5.642M,16.70M,,2.169M,-1.379M,-1.135M,-29.52M,11.60M,,9.423M,,,-22.50M,-30.99M,35.01M,2008-12,-15.02M,,-15.02M,0.00,-73.38M,,0.00,-88.40M,2008-12,0.00,-2.73M,-2.73M,3.411M,-32.98M,-29.57M,,-5.051M,1.68M,,-35.67M,2008-12,249.33M,-89.06M,1.896M,,2008-12,3.411M,,-2.73M,-32.98M,32.34M,,2008-12,,Restated
2008-09,37.96M,,,,16.77M,16.77M,-13.68M,,,2.754M,-1.34M,1.414M,15.67M,-40.32M,,-16.38M,,,-0.468M,-41.50M,0.967M,2008-09,-6.913M,,-5.913M,-1.00M,-14.84M,,2.115M,-19.64M,2008-09,-14.29M,-11.01M,-25.29M,5.481M,-29.31M,-23.83M,,-4.659M,1.685M,,-52.10M,2008-09,318.60M,-70.77M,1.494M,,2008-09,5.481M,,-25.29M,-29.31M,13.07M,,2008-09,,Restated
2008-06,27.50M,,,-17.97M,18.41M,18.41M,-9.878M,,,,,-6.457M,37.44M,-35.17M,,89.14M,,-1.831M,-6.883M,82.69M,108.82M,2008-06,-6.401M,,-6.401M,,3.818M,-11.58M,,-26.57M,2008-06,,,184.83M,6.113M,-19.18M,-13.07M,,-4.668M,,-5.008M,172.68M,2008-06,64.40M,254.93M,-0.728M,,2008-06,6.113M,,,-19.18M,,,2008-06,,Restated
2008-03,39.97M,,,17.97M,19.84M,19.84M,2.24M,,,,,5.313M,-49.49M,-13.08M,,27.56M,,0.169M,-10.13M,-44.96M,40.36M,2008-03,-12.31M,,-12.31M,,-87.13M,11.17M,,-88.26M,2008-03,,,55.43M,10.07M,-23.56M,-13.49M,,-4.653M,,3.893M,41.18M,2008-03,72.16M,-6.724M,-1.037M,,2008-03,10.07M,,,-23.56M,,,2008-03,,
2007-12,34.29M,,,,15.41M,15.41M,3.976M,,,,,1.972M,-23.30M,-2.882M,,17.29M,,9.987M,10.69M,11.78M,67.43M,2007-12,-21.75M,,-21.75M,,12.40M,3.947M,,-5.403M,2007-12,,,-4.74M,11.87M,-31.14M,-19.26M,,-4.684M,,1.25M,-27.44M,2007-12,46.84M,34.59M,-9.265M,,2007-12,11.87M,,,-31.14M,,,2007-12,,
