,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,687.30M,,687.30M,1.123B,,1.123B,215.30M,161.10M,467.40M,,843.80M,246.20M,,,,2.901B,,,,,,,,829.30M,4.210B,3.350B,7.560B,,,19.60M,11.64B,,2018-03,512.20M,65.70M,577.90M,756.60M,1.334B,,,,58.00M,,58.00M,,,,1.392B,3.281B,,3.281B,332.00M,428.90M,4.042B,5.434B,,2018-03,,,,324.30M,6.205B,,2018-03,AOR,Restated
2017-12,678.70M,,678.70M,1.131B,,1.131B,199.80M,152.80M,454.30M,,806.90M,203.20M,,,,2.820B,0.00,45.50M,514.30M,1.079B,,1.638B,-805.30M,833.10M,4.175B,3.381B,7.556B,,,10.40M,11.63B,,2017-12,450.20M,116.10M,566.30M,799.30M,1.366B,,,,70.40M,,70.40M,,,,1.436B,3.271B,,3.271B,321.90M,429.50M,4.022B,5.458B,,2017-12,,,,253.10M,6.170B,,2017-12,AOR,Restated
2017-09,775.90M,,775.90M,1.077B,,1.077B,203.70M,146.80M,471.40M,,821.90M,297.40M,,,,2.972B,,,,,,,,822.30M,4.152B,3.451B,7.603B,0.00,,22.40M,11.84B,,2017-09,477.10M,61.50M,538.60M,776.80M,1.315B,,,,417.10M,,417.10M,,,,1.732B,3.276B,,3.276B,357.70M,434.90M,4.068B,5.801B,,2017-09,,,,191.20M,6.042B,,2017-09,AOR,Restated
2017-06,760.80M,,760.80M,1.066B,,1.066B,213.80M,136.80M,467.50M,,818.10M,176.50M,,,,2.821B,,,,,,,,876.90M,4.150B,3.476B,7.626B,0.00,,31.70M,11.79B,,2017-06,480.80M,0.00,480.80M,742.00M,1.223B,,,,406.90M,,406.90M,,,,1.630B,3.268B,,3.268B,368.40M,445.00M,4.081B,5.711B,,2017-06,,,,130.50M,6.081B,,2017-06,AOR,Restated
2017-03,3.078B,,3.078B,1.050B,,1.050B,199.20M,151.70M,449.30M,,800.20M,185.20M,,,,5.113B,,,,,,,,875.30M,4.076B,3.443B,7.519B,0.00,,76.40M,13.98B,,2017-03,476.30M,57.70M,534.00M,775.80M,1.310B,,,,1.175B,,1.175B,,,,2.485B,4.619B,,4.619B,349.40M,458.60M,5.427B,7.912B,,2017-03,,,,-26.30M,6.068B,,2017-03,AOR,Restated
2016-12,622.30M,,622.30M,1.176B,,1.176B,198.20M,165.70M,431.10M,,795.00M,212.00M,,0.00,,2.805B,0.00,45.00M,520.20M,1.095B,,1.660B,-789.80M,870.10M,4.049B,3.511B,7.561B,2.35B,,72.10M,13.87B,,2016-12,471.70M,32.40M,504.10M,759.40M,1.264B,,,,572.80M,,572.80M,0.00,0.00,,1.836B,5.224B,,5.224B,389.90M,461.80M,6.076B,7.912B,,2016-12,,,,-81.80M,5.958B,,2016-12,AOR,Restated
2016-09,362.70M,,362.70M,1.129B,,1.129B,202.00M,171.00M,511.60M,,884.60M,250.60M,,,,2.627B,,,,,,,,881.30M,4.491B,9.133B,13.62B,,,129.30M,17.47B,,2016-09,507.90M,76.20M,584.10M,691.00M,1.275B,,,,265.00M,,265.00M,,,,1.540B,5.638B,,5.638B,1.169B,448.90M,7.256B,8.796B,,2016-09,,,,71.50M,8.672B,,2016-09,AOR,Restated
2016-06,641.80M,,641.80M,1.199B,,1.199B,222.60M,148.60M,523.40M,,894.60M,297.30M,,,,3.033B,,,,,,,,888.60M,5.272B,10.03B,15.31B,,,100.60M,19.53B,,2016-06,514.10M,72.50M,586.60M,748.30M,1.335B,,,,758.10M,,758.10M,,,,2.093B,5.652B,,5.652B,1.474B,414.70M,7.541B,9.634B,,2016-06,,,,31.30M,9.900B,,2016-06,AOR,Restated
2016-03,588.90M,,588.90M,1.184B,,1.184B,218.10M,144.60M,506.10M,,868.80M,332.60M,,,,2.974B,,,,,,,,896.30M,5.281B,10.27B,15.55B,,,78.00M,19.73B,,2016-03,559.90M,179.40M,739.30M,730.70M,1.47B,,,,619.20M,,619.20M,,,,2.089B,5.903B,,5.903B,1.487B,400.60M,7.790B,9.880B,,2016-03,,,,136.70M,9.847B,,2016-03,AOR,
2015-12,417.80M,,417.80M,1.193B,,1.193B,209.60M,151.40M,483.40M,,844.40M,289.10M,,,,2.744B,0.00,47.50M,508.20M,1.103B,,1.659B,-772.80M,886.20M,5.365B,10.11B,15.47B,,,54.60M,19.39B,,2015-12,554.90M,85.20M,640.10M,831.70M,1.472B,,,,1.018B,,1.018B,,,,2.490B,4.972B,,4.972B,1.564B,332.40M,6.868B,9.358B,,2015-12,,,,-15.50M,10.04B,,2015-12,,
2015-09,506.50M,16.50M,523.00M,1.232B,,1.232B,220.10M,163.20M,504.70M,,888.00M,168.60M,,69.00M,,2.881B,,,,,,,,924.10M,4.987B,10.66B,15.65B,,,27.80M,19.70B,,2015-09,541.20M,82.30M,623.50M,788.10M,1.412B,,,,145.10M,,145.10M,104.50M,104.50M,,1.661B,5.230B,,5.230B,1.705B,374.90M,7.310B,8.971B,,2015-09,,,,65.20M,10.73B,,2015-09,AOR,
2015-06,785.60M,,785.60M,1.209B,,1.209B,213.00M,159.10M,563.60M,,935.70M,150.10M,,148.20M,,3.229B,0.00,48.70M,528.30M,1.094B,,1.671B,-738.60M,932.40M,4.721B,5.006B,9.727B,5.42B,,50.10M,19.59B,,2015-06,709.30M,56.30M,765.60M,749.90M,1.516B,,,,153.30M,,153.30M,79.70M,79.70M,,1.748B,5.247B,,5.247B,1.514B,382.70M,7.144B,8.892B,,2015-06,,,,103.50M,10.70B,,2015-06,AOR,Restated
2015-03,3.430B,21.80M,3.452B,881.70M,,881.70M,170.80M,150.20M,316.00M,,637.00M,89.20M,,69.90M,,5.13B,,,,,,,,769.20M,3.404B,6.591B,9.995B,,,27.70M,16.18B,,2015-03,323.20M,4.00M,327.20M,598.00M,925.20M,,,,359.00M,,359.00M,0.00,0.00,,1.284B,4.368B,,4.368B,644.60M,300.50M,5.313B,6.597B,,2015-03,,,,-19.00M,9.586B,,2015-03,AOR,
2014-12,3.596B,20.00M,3.616B,924.70M,,924.70M,177.60M,158.10M,306.10M,,641.80M,115.00M,,66.60M,,5.364B,,,,,,,,756.80M,3.417B,6.702B,10.12B,,,29.40M,16.46B,,2014-12,302.70M,29.40M,332.10M,626.10M,958.20M,,,,362.30M,,362.30M,4.50M,4.50M,,1.325B,4.439B,,4.439B,690.00M,291.10M,5.420B,6.746B,,2014-12,,,,7.40M,9.715B,,2014-12,AOR,
2014-09,891.50M,21.60M,913.10M,869.40M,,869.40M,179.60M,154.30M,322.90M,,656.80M,130.10M,,64.60M,,2.634B,,,,,,,,761.70M,3.437B,6.738B,10.17B,,,28.50M,13.78B,,2014-09,309.00M,31.70M,340.70M,531.40M,872.10M,,,,141.50M,,141.50M,4.30M,4.30M,,1.018B,3.051B,,3.051B,708.70M,286.90M,4.046B,5.064B,,2014-09,,,,74.30M,8.717B,,2014-09,AOR,Restated
2014-06,799.50M,,799.50M,935.10M,,935.10M,177.90M,146.70M,307.00M,,631.60M,121.90M,,62.80M,,2.551B,0.00,36.10M,430.30M,1.001B,,1.468B,-687.90M,779.90M,3.474B,6.857B,10.33B,,,23.60M,13.85B,,2014-06,364.30M,17.40M,381.70M,548.20M,929.90M,,,,143.70M,,143.70M,1.10M,1.10M,,1.075B,3.063B,,3.063B,727.90M,293.40M,4.084B,5.159B,,2014-06,,,,139.60M,8.693B,,2014-06,AOR,Restated
2014-03,609.40M,7.70M,617.10M,793.10M,,867.50M,185.10M,159.80M,348.60M,,693.50M,60.20M,,66.10M,,2.304B,,,,,,1.408B,-666.60M,740.90M,3.207B,7.250B,10.46B,60.60M,,23.80M,13.74B,,2014-03,325.30M,10.20M,335.50M,475.70M,811.20M,,,,141.70M,,141.70M,0.10M,0.10M,,953.00M,3.126B,,3.126B,830.40M,275.10M,4.231B,5.184B,,2014-03,,,,130.30M,8.558B,,2014-03,AOR,Restated
2013-12,521.10M,85.50M,606.60M,769.80M,,849.00M,186.60M,174.00M,341.70M,,702.30M,66.50M,,61.60M,,2.286B,,,,,,1.367B,-648.20M,718.50M,3.187B,7.292B,10.48B,69.00M,,21.30M,13.71B,,2013-12,306.70M,4.60M,311.30M,509.30M,820.60M,,,,141.20M,,141.20M,0.00,0.00,,961.80M,3.159B,,3.159B,846.20M,244.50M,4.250B,5.212B,,2013-12,,,,114.60M,8.500B,,2013-12,AOR,Restated
2013-09,816.60M,,816.60M,702.60M,,707.50M,193.40M,175.70M,352.30M,,721.40M,69.00M,,52.70M,,2.367B,,,,,,1.317B,-625.50M,691.10M,1.104B,1.227B,2.330B,,,22.20M,5.509B,,2013-09,303.50M,33.70M,337.20M,359.00M,696.20M,,6.10M,41.20M,47.30M,,47.30M,0.00,0.00,,743.50M,1.936B,,1.936B,124.50M,234.90M,2.295B,3.039B,,2013-09,,,,104.30M,2.469B,,2013-09,AOR,Restated
2013-06,779.90M,0.00,779.90M,651.90M,,651.90M,187.60M,182.40M,333.90M,,703.90M,54.10M,,47.10M,,2.237B,0.00,36.00M,390.70M,863.70M,,1.290B,-608.90M,681.50M,1.089B,1.242B,2.332B,,,20.30M,5.351B,,2013-06,382.00M,11.60M,393.60M,309.50M,703.10M,,,,46.20M,,46.20M,0.20M,0.20M,-0.10M,749.40M,1.928B,,1.928B,127.80M,213.20M,2.269B,3.018B,,2013-06,,,,77.00M,2.331B,,2013-06,AOR,Restated
2013-03,300.83M,,300.83M,618.67M,,624.14M,181.77M,175.94M,327.04M,,684.74M,44.85M,,43.07M,,1.698B,,,,,,1.236B,-593.19M,643.26M,1.025B,1.042B,2.066B,,,17.22M,4.496B,,2013-03,325.42M,17.64M,343.05M,284.77M,627.82M,,4.513M,41.28M,45.80M,,45.80M,,,,673.62M,1.332B,,1.332B,80.47M,184.78M,1.597B,2.271B,,2013-03,,,,87.27M,2.224B,,2013-03,AOR,Restated
2012-12,459.51M,,459.51M,583.90M,,588.23M,178.10M,172.74M,287.96M,,638.80M,42.77M,,44.81M,,1.774B,,,,,,1.193B,-574.36M,618.42M,874.30M,934.17M,1.808B,,,14.94M,4.294B,,2012-12,321.20M,11.30M,332.50M,259.71M,592.22M,,2.648M,40.00M,42.65M,,42.65M,,,,634.86M,1.330B,,1.330B,47.48M,173.64M,1.551B,2.186B,,2012-12,,,,80.56M,2.107B,,2012-12,AOR,Restated
2012-09,631.99M,,631.99M,584.01M,,588.26M,164.68M,178.21M,255.93M,,598.82M,35.87M,,45.78M,,1.901B,,,,,,1.136B,-555.24M,580.26M,779.85M,753.62M,1.533B,,,14.63M,4.117B,,2012-09,306.97M,21.23M,328.20M,202.25M,530.45M,,,,41.61M,,41.61M,,,,629.92M,1.330B,,1.330B,26.30M,166.06M,1.522B,2.152B,,2012-09,512.66M,,,46.25M,1.964B,,2012-09,AOR,Restated
2012-06,602.50M,,602.50M,572.60M,,573.60M,157.60M,154.20M,235.60M,0.10M,547.50M,26.60M,,45.70M,,1.796B,0.00,40.40M,343.30M,735.20M,,1.119B,-540.50M,578.40M,777.80M,771.60M,1.549B,,,13.40M,4.024B,,2012-06,317.30M,12.90M,330.20M,282.40M,612.60M,,0.10M,40.00M,40.10M,,40.10M,0.00,0.00,,652.70M,1.329B,,1.329B,24.10M,165.40M,1.519B,2.171B,,2012-06,,,,39.40M,1.851B,,2012-06,AOR,Restated
2012-03,554.28M,0.00,554.28M,560.74M,,561.51M,161.42M,161.82M,266.71M,,589.95M,33.89M,,51.27M,,1.791B,,,,,,1.097B,-532.34M,564.41M,788.21M,795.08M,1.583B,,,12.39M,4.040B,,2012-03,307.02M,20.53M,327.55M,187.75M,515.30M,,,,40.00M,,40.00M,,,,629.75M,1.455B,,1.455B,19.54M,163.47M,1.638B,2.267B,,2012-03,496.32M,,,75.80M,1.771B,,2012-03,AOR,Restated
2011-12,531.41M,,531.41M,530.18M,,534.29M,152.27M,157.20M,271.20M,,580.67M,40.51M,,47.22M,,1.734B,,,,,,1.066B,-515.60M,550.71M,766.94M,794.19M,1.561B,,,12.33M,3.943B,,2011-12,324.35M,28.68M,353.03M,202.55M,555.58M,,,,40.00M,,40.00M,,,,666.64M,1.453B,,1.453B,9.163M,183.39M,1.645B,2.312B,,2011-12,486.66M,,,50.97M,1.628B,,2011-12,AOR,Restated
2011-09,116.62M,0.00,116.62M,521.26M,,530.15M,153.97M,141.04M,268.25M,,563.26M,38.79M,,50.28M,,1.299B,,,,,,1.037B,-504.39M,532.88M,771.32M,813.28M,1.585B,,,13.48M,3.514B,,2011-09,303.55M,6.677M,310.23M,195.97M,506.19M,,,,43.75M,,43.75M,,,,622.05M,1.156B,,1.156B,9.604M,182.21M,1.348B,1.970B,,2011-09,478.04M,,,66.28M,1.543B,,2011-09,AOR,Restated
2011-06,310.10M,0.00,310.10M,477.85M,,478.22M,141.09M,119.73M,244.76M,,505.58M,50.35M,0.00,30.47M,,1.377B,0.00,39.87M,324.77M,641.16M,,1.006B,-498.49M,507.31M,,1.212B,1.212B,,,10.53M,3.189B,,2011-06,343.28M,10.55M,353.83M,148.89M,502.72M,,,,17.77M,,17.77M,,,4.093M,606.04M,875.00M,,875.00M,10.60M,166.60M,1.052B,1.658B,,2011-06,467.66M,,,127.05M,1.529B,,2011-06,AOR,Restated
2011-03,223.24M,0.00,223.24M,464.19M,,466.29M,139.64M,127.87M,226.77M,,494.28M,50.11M,0.00,22.93M,,1.260B,,,,,,950.48M,-484.58M,465.90M,633.24M,583.30M,1.217B,,,13.79M,3.037B,,2011-03,286.80M,17.35M,304.15M,171.19M,475.34M,,,,16.18M,,16.18M,,,3.57M,566.61M,875.44M,,875.44M,11.90M,158.44M,1.046B,1.612B,,2011-03,,,,109.08M,1.423B,,2011-03,AOR,Restated
2010-12,134.78M,0.00,134.78M,465.26M,,466.20M,142.81M,118.82M,222.16M,,483.79M,43.25M,0.00,28.98M,6.542M,1.164B,,,,,,929.23M,-469.07M,460.16M,639.58M,578.77M,1.218B,,,13.31M,2.935B,,2010-12,289.84M,32.99M,322.84M,235.14M,557.97M,,,,15.97M,,15.97M,,,14.24M,588.19M,875.00M,,875.00M,16.65M,147.14M,1.039B,1.627B,,2010-12,440.21M,,,93.22M,1.306B,,2010-12,AOR,Restated
2010-09,56.10M,0.56M,56.66M,417.87M,,419.64M,132.42M,115.13M,213.69M,,461.24M,42.08M,0.00,30.75M,6.615M,1.017B,,,,,,906.10M,-454.49M,451.61M,635.19M,583.23M,1.218B,,,12.71M,2.772B,,2010-09,261.96M,37.15M,299.11M,202.93M,502.04M,,,,64.52M,,64.52M,,,4.206M,570.76M,840.00M,,840.00M,17.00M,139.20M,996.20M,1.567B,,2010-09,435.48M,,,78.42M,1.203B,,2010-09,AOR,Restated
2010-06,109.76M,0.559M,110.32M,359.81M,,374.25M,123.29M,116.62M,213.07M,,452.98M,30.55M,400.00M,27.22M,,1.403B,0.00,37.22M,307.00M,540.96M,,885.17M,-436.59M,448.58M,,1.205B,1.205B,,,0.00,3.109B,,2010-06,267.31M,11.66M,278.98M,149.94M,428.92M,,,,409.00M,,409.00M,,,5.37M,922.51M,935.00M,,935.00M,49.35M,108.21M,1.093B,2.015B,,2010-06,428.46M,,,43.20M,1.092B,,2010-06,AOR,Restated
2010-03,314.92M,0.562M,315.49M,322.33M,,322.33M,110.94M,122.15M,184.49M,,417.58M,33.22M,,40.69M,9.507M,1.139B,,,,,,821.56M,-441.28M,380.28M,292.03M,219.29M,511.32M,,,60.44M,2.543B,,2010-03,235.08M,6.958M,242.04M,178.90M,420.94M,,,,,,,15.43M,15.43M,17.36M,453.73M,825.00M,,825.00M,108.75M,104.12M,1.038B,1.492B,,2010-03,413.68M,,,60.72M,1.050B,,2010-03,AOR,Restated
2009-12,303.48M,0.562M,304.04M,345.94M,,352.33M,117.01M,119.94M,179.52M,,416.48M,23.53M,,41.25M,70.99M,1.209B,,,,,,798.82M,-435.91M,362.91M,276.28M,210.89M,487.17M,,,56.77M,2.570B,,2009-12,263.32M,10.43M,273.75M,199.21M,472.96M,,,,18.05M,,18.05M,17.22M,17.22M,24.89M,533.12M,825.00M,,825.00M,114.40M,106.26M,1.046B,1.579B,,2009-12,404.88M,,,64.09M,989.41M,,2009-12,AOR,Restated
2009-09,256.53M,0.561M,257.09M,332.78M,,339.50M,114.18M,103.17M,166.64M,,383.99M,24.26M,,47.35M,74.56M,1.127B,,,,,,783.21M,-420.95M,362.26M,275.18M,212.23M,487.41M,,,69.13M,2.499B,,2009-09,225.85M,18.49M,244.34M,170.26M,414.59M,,,,17.98M,,17.98M,19.47M,19.47M,22.68M,474.72M,825.00M,,825.00M,128.41M,98.93M,1.052B,1.527B,,2009-09,435.28M,,,59.65M,970.21M,,2009-09,AOR,Restated
2009-06,316.13M,0.003M,316.14M,325.81M,,334.74M,108.77M,107.94M,168.08M,,384.79M,23.66M,0.00,23.26M,51.70M,1.134B,0.00,22.88M,262.99M,478.08M,,763.95M,-409.63M,354.32M,268.82M,214.21M,483.03M,,,,2.443B,,2009-06,271.54M,3.334M,274.87M,170.36M,445.23M,0.00,,17.18M,17.18M,,17.18M,,,19.62M,482.03M,875.00M,,875.00M,65.33M,98.41M,1.039B,1.521B,,2009-06,452.24M,,,50.59M,921.92M,,2009-06,AOR,Restated
2009-03,197.82M,0.005M,197.82M,331.31M,,343.50M,119.17M,109.55M,154.29M,,383.01M,26.90M,,40.45M,45.80M,1.037B,,,,,,724.24M,-385.78M,338.46M,249.96M,208.09M,458.05M,,-9.75M,70.61M,2.372B,,2009-03,232.88M,,232.88M,154.17M,387.05M,0.00,,15.87M,15.87M,,15.87M,16.12M,16.12M,18.98M,438.01M,875.00M,,875.00M,133.96M,84.16M,1.093B,1.531B,,2009-03,448.59M,,,8.111M,840.76M,,2009-03,AOR,Restated
2008-12,162.16M,0.009M,162.17M,359.14M,,359.14M,148.16M,114.41M,168.16M,,430.72M,25.97M,,48.72M,22.96M,1.050B,,,,746.18M,,746.18M,-385.54M,360.64M,267.94M,230.96M,498.90M,,,63.84M,2.426B,,2008-12,266.19M,,266.19M,101.81M,368.00M,,,,17.05M,,17.05M,18.35M,18.35M,51.44M,454.85M,892.05M,,892.05M,136.62M,116.43M,1.145B,1.600B,,2008-12,,,,39.72M,825.72M,,2008-12,,Restated
2008-09,249.33M,0.014M,249.34M,340.14M,0.468M,340.61M,144.73M,115.11M,188.55M,,448.39M,25.86M,,44.48M,,1.109B,,,,,,747.24M,-381.47M,365.77M,262.20M,223.46M,485.66M,,,63.13M,2.493B,,2008-09,270.61M,,270.61M,102.73M,373.34M,,,,21.16M,,21.16M,18.84M,18.84M,51.51M,464.85M,893.43M,,893.43M,130.23M,116.60M,1.140B,1.605B,,2008-09,468.80M,,,96.17M,888.26M,,2008-09,,Restated
2008-06,318.60M,0.56M,319.16M,317.88M,,328.09M,103.34M,107.95M,163.50M,,374.78M,36.95M,,42.24M,58.97M,1.160B,0.00,22.28M,254.03M,443.29M,,719.59M,-381.05M,338.54M,287.11M,220.72M,507.84M,,,73.73M,2.578B,,2008-06,235.92M,3.317M,239.24M,179.45M,418.69M,,,,20.10M,,20.10M,24.49M,24.49M,25.72M,488.99M,895.10M,,895.10M,138.16M,122.45M,1.156B,1.645B,,2008-06,488.54M,,,155.18M,933.72M,,2008-06,,Restated
2008-03,64.40M,0.725M,65.13M,372.53M,4.684M,377.21M,93.07M,94.22M,169.62M,,356.91M,16.15M,,37.72M,2.746M,855.85M,,,,,,708.30M,-372.62M,335.68M,264.91M,231.03M,495.95M,,,51.03M,2.197B,,2008-03,229.74M,,229.74M,84.81M,314.56M,10.17M,,17.60M,27.77M,,27.77M,18.86M,18.86M,54.85M,416.04M,697.60M,,697.60M,112.68M,110.51M,920.78M,1.337B,,2008-03,498.00M,,,95.40M,860.56M,,2008-03,,
2007-12,72.16M,29.64M,101.80M,311.01M,4.568M,315.58M,96.08M,83.43M,146.50M,,326.00M,18.67M,,38.68M,2.746M,803.49M,,,,,,687.07M,-358.07M,329.00M,212.93M,191.43M,404.36M,,,59.92M,2.039B,,2007-12,194.21M,,194.21M,89.02M,283.23M,3.937M,,16.54M,20.48M,,20.48M,20.32M,20.32M,44.67M,368.70M,648.08M,,648.08M,106.57M,99.57M,854.21M,1.223B,,2007-12,505.08M,,,79.47M,816.40M,,2007-12,,
