,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,450.00M,3.424B,3.874B,14.77B,,14.77B,18.65B,1.06B,2.189B,,2.189B,4.679B,74.52B,,85.68B,113.29B,,,,,,,,,6.847B,6.847B,725.00M,725.00M,,13.45B,,,21.02B,90.01B,2.312B,45.03B,3.367B,26.28B,2.303B,84.00M,-1.324B,-13.00M,103.00M,-1.15B,23.28B
2017-12,617.00M,1.944B,2.561B,14.71B,,14.71B,17.27B,1.072B,2.181B,556.00M,2.737B,4.534B,74.30B,,84.92B,112.42B,,,,,,,,,6.35B,6.35B,782.00M,782.00M,,13.47B,,,20.60B,89.87B,1.755B,43.16B,3.313B,25.98B,1.746B,85.00M,-1.347B,-9.00M,1.577B,306.00M,22.55B
2017-09,690.00M,2.198B,2.888B,15.67B,,15.67B,18.56B,1.067B,2.309B,,2.309B,4.322B,74.62B,,85.29B,113.63B,,,,,,,,,6.349B,6.349B,1.249B,1.249B,,13.54B,,,21.13B,91.51B,1.755B,42.12B,3.33B,25.41B,1.746B,68.00M,-1.309B,-14.00M,1.583B,328.00M,22.12B
2017-06,482.00M,2.175B,2.657B,14.42B,,14.42B,17.07B,1.072B,2.309B,,2.309B,4.336B,73.15B,,84.13B,110.86B,,,,,,,,,6.348B,6.348B,1.104B,1.104B,,13.02B,,,20.48B,89.36B,1.755B,41.62B,3.269B,25.24B,1.746B,65.00M,-1.382B,-42.00M,1.461B,102.00M,21.50B
2017-03,442.00M,2.753B,3.195B,14.37B,,14.37B,17.57B,1.067B,2.295B,,2.295B,4.349B,73.06B,,83.69B,110.24B,,,,,,,,,6.346B,6.346B,833.00M,833.00M,,12.70B,,,19.88B,89.08B,1.755B,41.21B,3.285B,24.89B,1.746B,59.00M,-1.40B,-53.00M,1.197B,-197.00M,21.16B
2016-12,436.00M,4.288B,4.724B,14.34B,,14.34B,19.07B,1.065B,1.219B,,1.219B,4.486B,73.61B,,82.21B,108.61B,,,,,,,,,6.347B,6.347B,487.00M,487.00M,,12.58B,,,19.42B,88.04B,1.755B,40.68B,3.303B,24.74B,1.746B,57.00M,-1.419B,-50.00M,996.00M,-416.00M,20.57B
2016-09,389.00M,1.863B,2.252B,14.72B,,14.72B,16.97B,1.013B,1.219B,,1.219B,4.396B,73.04B,,81.84B,108.54B,,,,,,,,,5.11B,5.11B,935.00M,935.00M,,12.77B,,,18.82B,87.60B,1.755B,39.99B,3.237B,24.54B,1.746B,56.00M,-1.267B,-48.00M,1.761B,502.00M,20.93B
2016-06,446.00M,2.85B,3.296B,14.24B,,14.24B,17.54B,1.011B,1.219B,,1.219B,4.453B,71.65B,,81.18B,107.28B,,,,,,,,,5.109B,5.109B,782.00M,782.00M,,12.30B,,,18.19B,86.73B,1.755B,39.62B,3.203B,24.31B,1.746B,49.00M,-1.288B,-41.00M,1.575B,295.00M,20.55B
2016-03,531.00M,3.526B,4.057B,14.13B,,14.13B,18.19B,1.011B,1.219B,,1.219B,4.302B,71.02B,,79.85B,105.95B,,,,,,,,,5.108B,5.108B,479.00M,479.00M,,12.04B,,,17.62B,85.61B,1.755B,39.50B,3.237B,23.99B,1.746B,31.00M,-1.304B,-46.00M,1.169B,-150.00M,20.34B
2015-12,495.00M,2.122B,2.617B,14.06B,,14.06B,16.68B,1.024B,1.219B,,1.219B,4.338B,70.03B,,78.62B,104.66B,,,,,,,,,5.124B,5.124B,90.00M,90.00M,,12.20B,,,17.42B,84.63B,1.755B,39.41B,3.245B,23.62B,1.746B,56.00M,-1.315B,-60.00M,564.00M,-755.00M,20.02B
2015-09,905.00M,3.036B,3.941B,14.18B,,14.18B,18.12B,1.05B,1.219B,,1.219B,4.402B,70.35B,,79.11B,105.85B,,,,,,,,,5.175B,5.175B,243.00M,243.00M,,12.34B,,,17.76B,85.34B,1.755B,39.07B,3.224B,23.06B,1.746B,57.00M,-1.289B,-52.00M,822.00M,-462.00M,20.50B
2015-06,805.00M,2.821B,3.626B,14.12B,,14.12B,17.74B,1.038B,1.219B,,1.219B,4.343B,71.29B,,80.24B,107.12B,,,,,,,,,5.186B,5.186B,475.00M,475.00M,,11.86B,,,17.52B,85.82B,1.755B,38.57B,3.205B,22.27B,1.746B,62.00M,-1.314B,-38.00M,1.357B,67.00M,21.30B
2015-03,916.00M,2.497B,3.413B,13.91B,,13.91B,17.32B,1.026B,1.219B,,1.219B,4.276B,72.76B,,81.41B,108.06B,,,,,,,,,5.194B,5.194B,779.00M,779.00M,,11.49B,,,17.46B,85.88B,1.755B,38.36B,3.109B,21.80B,1.746B,71.00M,-1.334B,-29.00M,2.066B,774.00M,22.18B
2014-12,657.00M,2.54B,3.197B,13.96B,,13.96B,17.15B,1.031B,1.219B,,1.219B,4.188B,73.61B,,82.04B,108.48B,,,,,,,,,5.14B,5.14B,715.00M,715.00M,,11.66B,,,17.51B,86.18B,1.755B,37.84B,3.199B,21.03B,1.746B,72.00M,-1.363B,-2.00M,1.854B,561.00M,22.30B
2014-09,885.00M,2.463B,3.348B,13.16B,,13.16B,16.51B,1.012B,1.219B,,1.219B,4.143B,73.46B,,82.52B,108.31B,,,,,,,,,5.195B,5.195B,1.076B,1.076B,,11.73B,,,18.00B,85.98B,1.755B,37.16B,3.059B,20.86B,1.746B,70.00M,-607.00M,18.00M,1.757B,1.238B,22.33B
2014-06,889.00M,2.914B,3.803B,12.88B,,12.88B,16.69B,990.00M,1.219B,,1.219B,4.174B,75.25B,,84.55B,110.23B,,,,,,,,,5.846B,5.846B,1.146B,1.146B,,11.22B,,,18.21B,87.36B,1.755B,36.53B,3.035B,19.98B,1.746B,72.00M,-619.00M,35.00M,2.078B,1.566B,22.87B
2014-03,1.17B,2.573B,3.743B,12.78B,,12.78B,16.53B,1.024B,1.243B,,1.243B,4.472B,74.06B,,82.98B,124.29B,,,,,,,,,6.20B,6.20B,886.00M,886.00M,,10.82B,,,17.91B,102.19B,1.514B,36.04B,3.017B,19.92B,1.505B,66.00M,-627.00M,22.00M,2.025B,1.486B,22.10B
2013-12,675.00M,2.393B,3.068B,12.86B,,12.86B,15.93B,1.024B,1.243B,,1.243B,4.721B,73.37B,,82.29B,123.52B,,,,,,,,,6.201B,6.201B,635.00M,635.00M,,10.93B,,,17.77B,102.04B,789.00M,35.58B,3.143B,19.05B,780.00M,50.00M,-638.00M,38.00M,1.596B,1.046B,21.48B
2013-09,1.069B,2.694B,3.763B,12.28B,,12.28B,16.04B,993.00M,1.243B,,1.243B,4.817B,72.89B,,81.76B,122.28B,,,,,,,,,6.217B,6.217B,440.00M,440.00M,,11.02B,,,17.67B,101.50B,659.00M,34.88B,3.127B,18.66B,650.00M,33.00M,-954.00M,50.00M,1.681B,810.00M,20.78B
2013-06,634.00M,2.646B,3.28B,13.46B,,13.46B,16.74B,971.00M,1.239B,,1.239B,6.413B,83.13B,,93.44B,121.48B,,,,,500.00M,500.00M,500.00M,500.00M,5.475B,5.475B,250.00M,250.00M,,10.51B,,,16.24B,101.61B,287.00M,34.69B,3.105B,18.22B,278.00M,36.00M,-1.638B,37.00M,1.615B,50.00M,19.87B
2013-03,820.00M,3.169B,3.989B,13.38B,,13.38B,17.37B,998.00M,1.239B,,1.239B,6.434B,88.34B,,98.60B,126.61B,,,,,,,,,6.556B,6.556B,782.00M,782.00M,,10.22B,,,17.56B,105.99B,9.00M,34.38B,3.028B,18.03B,,30.00M,-1.684B,58.00M,2.875B,1.279B,20.62B
2012-12,806.00M,2.336B,3.142B,13.82B,,13.82B,16.96B,989.00M,1.24B,,1.24B,6.57B,88.31B,,98.92B,126.95B,,,,,,,,,6.057B,6.057B,597.00M,597.00M,,10.38B,,,17.03B,106.37B,9.00M,33.78B,3.162B,17.51B,,-11.00M,-1.729B,70.00M,2.845B,1.175B,20.58B
2012-09,642.00M,2.825B,3.467B,5.108B,,5.108B,8.575B,928.00M,1.242B,,1.242B,6.904B,84.43B,0.00,95.54B,126.99B,,,6.121B,6.121B,,,,6.121B,6.057B,6.057B,689.00M,689.00M,,10.49B,0.00,,17.24B,106.15B,9.00M,33.50B,3.154B,17.37B,,2.95B,-1.363B,,,1.587B,20.84B
2012-06,571.00M,1.867B,2.438B,4.929B,,4.929B,7.367B,909.00M,1.242B,,1.242B,6.928B,83.47B,0.00,94.72B,125.54B,,,6.394B,6.394B,,,,6.394B,6.058B,6.058B,53.00M,53.00M,,10.08B,0.00,,16.20B,106.06B,9.00M,32.88B,3.154B,17.27B,,2.07B,-1.383B,58.00M,,745.00M,19.48B
2012-03,577.00M,1.886B,2.463B,4.908B,,4.908B,7.371B,912.00M,1.242B,,1.242B,7.167B,87.59B,201.00M,98.96B,125.93B,750.00M,750.00M,,750.00M,,,,750.00M,6.058B,6.058B,,,20.28B,9.888B,28.00M,,36.23B,106.72B,9.00M,32.56B,3.151B,17.03B,,1.874B,-1.407B,65.00M,,532.00M,19.18B
2011-12,776.00M,1.291B,2.067B,12.17B,,12.17B,14.24B,914.00M,1.242B,,1.242B,7.139B,86.46B,722.00M,97.83B,125.19B,,,,,,,,,5.908B,5.908B,,,,10.06B,28.00M,,15.96B,106.87B,9.00M,31.91B,3.189B,16.80B,,-174.00M,-1.427B,56.00M,1.574B,29.00M,18.30B
2011-09,1.026B,3.517B,4.543B,4.988B,,4.988B,9.531B,908.00M,874.00M,,874.00M,6.956B,84.07B,792.00M,94.84B,126.96B,,,6.691B,6.691B,,,,6.691B,5.907B,5.907B,,,,10.00B,29.00M,,15.91B,108.83B,9.00M,31.70B,3.177B,16.69B,,1.081B,-1.135B,,,-54.00M,18.10B
2011-06,693.00M,2.536B,3.229B,4.869B,,4.869B,8.098B,914.00M,874.00M,,874.00M,6.827B,85.90B,525.00M,96.31B,129.02B,948.00M,948.00M,,948.00M,,,,948.00M,5.907B,5.907B,,,20.46B,9.727B,29.00M,,36.09B,110.23B,9.00M,31.65B,3.165B,16.39B,,1.446B,-1.156B,83.00M,,373.00M,18.76B
2011-03,641.00M,1.986B,2.627B,4.842B,,4.842B,7.469B,912.00M,874.00M,,874.00M,6.582B,90.74B,612.00M,101.27B,130.42B,761.00M,761.00M,,761.00M,,,,761.00M,5.908B,5.908B,,,19.49B,9.563B,29.00M,,34.96B,111.08B,9.00M,32.38B,3.156B,16.17B,,1.079B,-1.173B,79.00M,,-15.00M,19.31B
2010-12,562.00M,3.279B,3.841B,4.839B,,4.839B,8.68B,921.00M,874.00M,,874.00M,6.679B,87.70B,784.00M,97.78B,130.87B,,,5.564B,5.564B,,,,5.564B,5.908B,5.908B,,,,9.80B,28.00M,,15.71B,111.83B,9.00M,31.97B,3.176B,15.91B,,1.004B,-1.188B,,,-184.00M,19.02B
2010-06,711.00M,2.414B,3.125B,4.83B,,4.83B,7.955B,935.00M,874.00M,,874.00M,7.173B,87.59B,1.301B,98.40B,130.81B,,,6.054B,6.054B,,,,6.054B,5.909B,5.909B,,,,9.684B,28.00M,,15.59B,112.74B,9.00M,31.55B,3.155B,15.76B,,371.00M,-1.244B,,,-873.00M,18.04B
2010-03,704.00M,2.482B,3.186B,4.823B,,4.823B,8.009B,954.00M,874.00M,,874.00M,7.639B,87.57B,1.44B,98.84B,132.39B,,,5.992B,5.992B,,,,5.992B,5.91B,5.91B,,,,9.575B,28.00M,,15.48B,114.80B,9.00M,31.51B,3.152B,15.78B,,-24.00M,-1.265B,,,-1.289B,17.56B
2009-12,612.00M,3.056B,3.668B,4.839B,,4.839B,8.507B,990.00M,875.00M,,875.00M,7.935B,86.85B,1.87B,98.52B,132.65B,,,5.726B,5.726B,,,,5.726B,5.91B,5.91B,,,,9.822B,29.00M,,15.73B,115.93B,9.00M,31.49B,3.172B,15.83B,,-824.00M,-1.282B,,,-2.106B,16.69B
2009-09,727.00M,3.47B,4.197B,4.97B,,4.97B,9.167B,1.013B,874.00M,,874.00M,8.853B,86.63B,1.52B,99.84B,135.50B,,,6.081B,6.081B,,,,6.081B,6.661B,6.661B,,,,10.07B,29.00M,,16.73B,117.97B,9.00M,31.08B,3.16B,15.83B,,154.00M,-1.022B,,,-868.00M,17.50B
2009-06,667.00M,6.07B,6.737B,4.794B,,4.794B,11.53B,1.031B,874.00M,,874.00M,9.406B,82.13B,2.71B,96.10B,133.09B,,,6.469B,6.469B,,,,6.469B,6.658B,6.658B,,,,9.755B,30.00M,,16.41B,117.99B,9.00M,30.97B,3.144B,15.84B,,-2.095B,-1.077B,,,-3.172B,15.07B
2009-03,837.00M,8.125B,8.962B,4.766B,,4.766B,13.73B,1.044B,874.00M,,874.00M,9.71B,78.97B,3.486B,92.78B,130.37B,,,6.338B,6.338B,,,,6.338B,5.659B,5.659B,,,,9.685B,29.00M,,15.34B,118.10B,9.00M,29.82B,3.129B,15.84B,,-3.77B,-1.069B,,,-4.839B,12.24B
2008-12,415.00M,8.906B,9.321B,4.842B,,4.842B,14.16B,1.059B,874.00M,,874.00M,10.23B,80.32B,3.794B,96.23B,134.80B,,,6.663B,6.663B,,,,6.663B,5.659B,5.659B,,,,10.02B,32.00M,,15.68B,122.12B,9.00M,30.21B,3.13B,15.86B,,-3.733B,-1.068B,,,-4.801B,12.64B
2008-09,355.00M,8.707B,9.062B,5.038B,,5.038B,14.10B,1.004B,,880.00M,880.00M,10.48B,88.94B,2.054B,104.95B,143.57B,,,6.791B,6.791B,,,,6.791B,5.659B,5.659B,,,,10.45B,,,16.10B,126.64B,9.00M,31.56B,3.115B,15.85B,,-1.427B,,,-415.00M,-1.842B,16.94B
2008-06,748.00M,9.639B,10.39B,4.906B,,4.906B,15.29B,1.017B,875.00M,,875.00M,10.63B,97.53B,1.333B,112.56B,150.83B,,,7.682B,7.682B,18.00M,18.00M,18.00M,7.70B,5.64B,5.64B,,,,10.27B,,,15.91B,131.12B,9.00M,32.70B,3.096B,15.42B,,-209.00M,,,-419.00M,-628.00M,19.71B
2008-03,370.00M,6.572B,6.942B,4.851B,,4.851B,11.79B,1.025B,825.00M,,825.00M,11.11B,99.04B,1.067B,125.45B,152.21B,,,,,2.00M,2.00M,2.00M,2.00M,5.64B,5.64B,,,93.79B,10.11B,,,109.54B,131.91B,9.00M,32.90B,3.075B,15.00B,,,,,,-637.00M,20.30B
2007-12,422.00M,3.058B,3.48B,4.879B,,4.879B,8.359B,1.062B,,825.00M,825.00M,10.83B,102.77B,467.00M,117.69B,156.41B,,,8.779B,8.779B,,,,8.779B,5.64B,5.64B,,,,10.41B,,,16.05B,134.56B,9.00M,32.80B,3.052B,14.57B,,967.00M,,,-344.00M,623.00M,21.85B
2007-09,307.00M,3.869B,4.176B,4.973B,,4.973B,9.149B,1.06B,825.00M,,825.00M,10.47B,108.85B,528.00M,130.86B,159.37B,,,,,0.00,0.00,0.00,0.00,5.64B,5.64B,,,94.43B,10.62B,,,110.69B,137.74B,9.00M,32.25B,3.032B,14.00B,,,,,,410.00M,21.63B
2007-06,385.00M,4.775B,5.16B,4.864B,,4.864B,10.02B,1.055B,825.00M,,825.00M,9.933B,110.41B,443.00M,131.97B,160.54B,,,,,0.00,0.00,0.00,0.00,5.641B,5.641B,,,94.00B,10.35B,,,109.99B,138.98B,9.00M,31.50B,2.938B,13.24B,,,,,,427.00M,21.56B
2007-03,471.00M,3.197B,3.668B,4.796B,,4.796B,8.464B,1.033B,825.00M,,825.00M,9.544B,111.15B,268.00M,132.21B,160.09B,,,,,0.00,0.00,0.00,0.00,4.64B,4.64B,,,93.94B,10.22B,,,108.81B,137.60B,9.00M,30.32B,2.985B,11.78B,,,,,,1.018B,22.49B
2006-12,443.00M,2.43B,2.873B,4.789B,,4.789B,7.662B,1.01B,825.00M,,825.00M,9.467B,105.88B,224.00M,145.70B,157.55B,,,,,12.00M,12.00M,12.00M,12.00M,4.65B,4.65B,,,,10.43B,,,15.08B,135.71B,9.00M,29.07B,2.939B,11.09B,,,,,,991.00M,21.85B
2006-09,327.00M,3.845B,4.172B,4.943B,,4.943B,9.115B,1.004B,825.00M,,825.00M,9.116B,111.14B,,133.00B,160.32B,,,,,0.00,0.00,0.00,0.00,5.529B,5.529B,320.00M,320.00M,94.20B,10.68B,,,110.73B,138.12B,9.00M,28.08B,2.905B,10.67B,,,,,,1.969B,22.20B
2006-06,466.00M,4.429B,4.895B,4.844B,,4.844B,9.739B,1.043B,825.00M,,825.00M,9.205B,107.23B,,129.58B,157.09B,,,,,0.00,0.00,0.00,0.00,5.531B,5.531B,,,93.65B,10.33B,,,109.51B,136.49B,9.00M,27.14B,2.879B,10.44B,,,,,,1.101B,20.60B
2006-03,343.00M,4.985B,5.328B,4.803B,,4.803B,10.13B,1.052B,825.00M,,825.00M,9.128B,107.76B,,128.51B,156.81B,,,,,34.00M,34.00M,34.00M,34.00M,5.533B,5.533B,165.00M,165.00M,92.84B,10.08B,,,108.62B,136.26B,9.00M,26.15B,2.917B,10.01B,,,,,,1.626B,20.54B
2005-12,313.00M,3.47B,3.783B,4.739B,,4.739B,8.522B,1.04B,825.00M,,825.00M,8.748B,107.70B,0.00,128.91B,156.07B,,,,,413.00M,413.00M,413.00M,413.00M,4.887B,4.887B,351.00M,351.00M,94.64B,10.29B,,,110.17B,135.89B,9.00M,24.96B,2.798B,9.575B,,,,,,2.082B,20.19B
2005-09,408.00M,3.274B,3.682B,4.959B,,4.959B,8.641B,1.024B,825.00M,,825.00M,8.485B,109.08B,,129.15B,156.13B,,,,,0.00,0.00,0.00,0.00,4.892B,4.892B,329.00M,329.00M,94.81B,10.49B,,,110.52B,136.71B,9.00M,24.13B,2.823B,9.343B,,,,,,1.936B,19.42B
2005-06,365.00M,3.436B,3.801B,4.848B,,4.848B,8.649B,1.027B,825.00M,,825.00M,8.20B,110.90B,,129.20B,154.94B,,,,,9.00M,9.00M,9.00M,9.00M,5.178B,5.178B,614.00M,614.00M,90.61B,10.08B,,,106.49B,132.62B,9.00M,25.89B,2.798B,8.682B,,,,,,2.456B,22.32B
2005-03,339.00M,4.427B,4.766B,4.81B,,4.81B,9.576B,1.013B,825.00M,,825.00M,8.161B,106.87B,,125.76B,151.47B,,,,,75.00M,75.00M,75.00M,75.00M,5.28B,5.28B,256.00M,256.00M,88.58B,9.81B,,,103.93B,130.14B,9.00M,24.95B,2.763B,7.98B,,,,,,1.735B,21.32B
2004-12,414.00M,4.133B,4.547B,4.721B,,4.721B,9.268B,1.018B,825.00M,,825.00M,7.856B,105.74B,,124.23B,149.72B,,,,,43.00M,43.00M,43.00M,43.00M,5.291B,5.291B,829.00M,829.00M,86.80B,9.932B,,,102.85B,127.90B,9.00M,24.04B,2.685B,7.372B,,,,,,2.615B,21.82B
2004-09,370.00M,4.691B,5.061B,4.824B,,4.824B,9.885B,1.001B,828.00M,,828.00M,7.695B,104.86B,,123.36B,147.77B,,,,,99.00M,99.00M,99.00M,99.00M,5.30B,5.30B,699.00M,699.00M,84.88B,9.983B,,,100.86B,126.73B,9.00M,23.09B,2.686B,7.028B,,,,,,2.444B,21.04B
2004-06,295.00M,2.972B,3.267B,4.632B,,4.632B,7.899B,1.011B,878.00M,,878.00M,7.153B,98.70B,,115.26B,139.81B,,,,,202.00M,202.00M,202.00M,202.00M,4.65B,4.65B,358.00M,358.00M,80.50B,9.464B,,,94.97B,119.12B,9.00M,23.23B,2.668B,6.71B,,,,,,1.66B,20.68B
2004-03,316.00M,2.926B,3.242B,4.489B,,4.489B,7.731B,1.023B,929.00M,,929.00M,6.797B,98.74B,,114.29B,138.04B,,,,,25.00M,25.00M,25.00M,25.00M,4.672B,4.672B,1.027B,1.027B,78.22B,9.138B,,,93.06B,116.46B,9.00M,22.39B,2.642B,6.337B,,,,,,3.058B,21.58B
2003-12,366.00M,1.815B,2.181B,4.386B,,4.386B,6.567B,1.046B,929.00M,,929.00M,,94.84B,,123.48B,134.14B,,,,,3.00M,3.00M,3.00M,3.00M,5.073B,5.073B,1.103B,1.103B,,9.187B,,,15.36B,113.58B,9.00M,21.64B,2.614B,6.261B,,,,,,2.756B,20.56B
2003-09,247.00M,5.107B,5.354B,4.455B,,4.455B,9.809B,1.049B,930.00M,,930.00M,6.426B,95.07B,,107.74B,130.26B,,,,,0.00,0.00,0.00,0.00,4.378B,4.378B,656.00M,656.00M,74.11B,9.26B,,0.00,88.40B,110.90B,9.00M,21.04B,2.612B,6.291B,,,,,,2.201B,19.36B
2003-06,507.00M,4.545B,5.052B,4.325B,,4.325B,9.377B,958.00M,930.00M,,930.00M,6.31B,92.90B,,105.12B,127.05B,,,,,95.00M,95.00M,95.00M,95.00M,4.032B,4.032B,778.00M,778.00M,71.40B,8.834B,,200.00M,85.24B,107.76B,9.00M,20.51B,2.61B,6.247B,,,,,,2.645B,19.30B
2003-03,390.00M,4.649B,5.039B,4.094B,,4.094B,9.133B,981.00M,930.00M,,930.00M,6.165B,87.82B,,99.94B,120.35B,,,,,120.00M,120.00M,120.00M,120.00M,3.943B,3.943B,306.00M,306.00M,69.14B,8.566B,,200.00M,82.15B,102.36B,9.00M,20.09B,2.608B,6.255B,,,,,,1.785B,17.98B
2002-12,462.00M,2.215B,2.677B,4.075B,,4.075B,6.752B,989.00M,927.00M,,927.00M,,83.05B,,107.56B,117.43B,,,,,279.00M,279.00M,279.00M,279.00M,3.961B,3.961B,259.00M,259.00M,,8.578B,,200.00M,13.00B,99.99B,9.00M,19.58B,2.599B,6.309B,,,,,,1.733B,17.44B
2002-09,431.00M,4.08B,4.511B,4.247B,,4.247B,8.758B,976.00M,927.00M,,927.00M,5.884B,84.00B,,95.90B,116.73B,,,,,247.00M,247.00M,247.00M,247.00M,3.958B,3.958B,602.00M,602.00M,65.82B,8.665B,,200.00M,79.25B,98.97B,9.00M,19.28B,2.597B,6.251B,,,,,,2.314B,17.77B
2002-06,299.00M,4.859B,5.158B,4.076B,,4.076B,9.234B,970.00M,926.00M,,926.00M,5.778B,81.04B,,92.70B,115.23B,,,,,266.00M,266.00M,266.00M,266.00M,3.957B,3.957B,215.00M,215.00M,63.22B,8.225B,,200.00M,75.81B,98.01B,9.00M,19.18B,2.595B,6.129B,,,,,,1.751B,17.22B
