,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2009-06,8.49B,8.49B,,,,-32.00M,97.00M,-97.00M,6.932B,6.90B,97.00M,-97.00M,,-97.00M,461.00M,72.00M,389.00M,,,,389.00M,416.00M,-12.00M,558.00M,0.72,0.0,,0.77,0.72,0.72,0.0,,0.7699,0.72,539.80M,540.60M,0.2
2009-03,7.883B,7.883B,,,,-45.00M,88.00M,-88.00M,6.915B,6.87B,88.00M,-88.00M,,-88.00M,-131.00M,143.00M,-274.00M,,,,-274.00M,-244.75M,-74.00M,-43.00M,-0.51,0.0,,-0.4557,-0.51,-0.51,0.0,,-0.4557,-0.51,538.90M,538.90M,0.2
2008-12,6.569B,6.569B,,,,-19.00M,87.00M,-87.00M,7.245B,7.226B,87.00M,-87.00M,,-87.00M,-1.822B,-693.00M,-1.129B,,,,-1.129B,-1.117B,-109.00M,-1.735B,-2.06,0.0,,-2.0380000000000003,-2.06,-2.06,0.0,,-2.0380000000000003,-2.06,538.40M,538.40M,0.41
2008-09,7.32B,7.32B,,,,-10.00M,88.00M,-88.00M,7.762B,7.752B,88.00M,-88.00M,,-88.00M,-1.544B,-621.00M,-923.00M,,,,-923.00M,-917.00M,-126.00M,-1.456B,-1.7,0.0,,-1.689,-1.7,-1.7,0.0,,-1.689,-1.7,542.40M,542.40M,0.41
2008-06,7.418B,7.418B,,,,5.00M,88.00M,-88.00M,6.463B,6.468B,88.00M,-88.00M,,-88.00M,-86.00M,-111.00M,25.00M,,,,25.00M,21.75M,-82.00M,2.00M,0.05,0.0,,0.0441,0.05,0.05,0.0,,0.0441,0.05,551.80M,553.80M,0.41
2008-03,8.087B,8.087B,,,,1.00M,88.00M,-88.00M,6.552B,6.553B,88.00M,-88.00M,,-88.00M,427.00M,79.00M,348.00M,,,,348.00M,347.19M,-59.00M,515.00M,0.62,0.0,,0.6185,0.62,0.62,0.0,,0.6186,0.62,560.80M,562.80M,0.41
2007-12,8.991B,8.991B,,,,-24.00M,88.00M,-88.00M,6.764B,6.74B,88.00M,-88.00M,,-88.00M,1.037B,277.00M,760.00M,,,,760.00M,777.59M,-68.00M,1.125B,1.38,0.0,,1.411,1.38,1.36,0.0,,1.391,1.36,568.10M,571.50M,0.38
2007-09,8.992B,8.992B,,,,-2.00M,90.00M,-90.00M,6.458B,6.456B,90.00M,-90.00M,,-90.00M,1.386B,408.00M,978.00M,,,,978.00M,979.41M,-75.00M,1.476B,1.7,0.0,,1.702,1.7,1.7,0.0,,1.702,1.7,581.10M,585.10M,0.38
2007-06,9.455B,9.455B,,,,-4.00M,83.00M,-83.00M,6.265B,6.261B,83.00M,-83.00M,,-83.00M,2.044B,641.00M,1.403B,,,,1.403B,1.406B,-66.00M,2.127B,2.33,0.0,,2.335,2.33,2.3,0.0,,2.305,2.3,604.10M,608.80M,0.38
2007-03,9.331B,9.331B,,,,-1.00M,72.00M,-72.00M,5.995B,5.994B,72.00M,-72.00M,,-72.00M,2.186B,691.00M,1.495B,,,,1.495B,1.496B,-48.00M,2.258B,2.42,0.0,,2.421,2.42,2.41,0.0,,2.411,2.41,616.80M,621.60M,0.38
2006-12,9.102B,9.102B,,,,-11.00M,96.00M,-96.00M,6.158B,6.147B,96.00M,-96.00M,,-96.00M,1.732B,519.00M,1.213B,,,,1.213B,1.221B,-32.00M,1.828B,1.94,0.0,,1.952,1.94,1.93,0.0,,1.942,1.93,623.80M,629.10M,0.35
2006-09,8.738B,8.738B,,,,-52.00M,90.00M,-90.00M,5.899B,5.847B,90.00M,-90.00M,,-90.00M,1.642B,484.00M,1.158B,,,,1.158B,1.195B,-62.00M,1.732B,1.84,0.0,,1.8980000000000001,1.84,1.83,0.0,,1.8880000000000001,1.83,629.00M,633.90M,0.35
2006-06,8.875B,8.875B,,,,-12.00M,90.00M,-90.00M,5.999B,5.987B,90.00M,-90.00M,,-90.00M,1.748B,541.00M,1.207B,,,,1.207B,1.215B,-58.00M,1.838B,1.91,0.0,,1.923,1.91,1.89,0.0,,1.903,1.89,634.10M,638.50M,0.35
2006-03,9.081B,9.081B,,,,-107.00M,81.00M,-81.00M,5.844B,5.737B,81.00M,-81.00M,,-81.00M,2.056B,641.00M,1.415B,,,,1.415B,1.489B,-36.00M,2.137B,2.2,0.0,,2.314,2.2,2.19,0.0,,2.3040000000000003,2.19,643.20M,647.40M,0.35
2005-12,8.945B,8.945B,,,,-5.00M,79.00M,-79.00M,6.365B,6.36B,79.00M,-79.00M,,-79.00M,1.471B,430.00M,1.041B,,,,1.041B,1.058B,-30.00M,1.55B,1.58,0.0,,1.585,1.58,1.56,0.0,,1.565,1.56,647.90M,653.50M,0.32
2005-09,8.942B,8.942B,,,,-10.00M,85.00M,-85.00M,10.41B,10.40B,85.00M,-85.00M,,-85.00M,-2.562B,-1.014B,-1.548B,,,,-1.548B,-1.542B,-8.00M,-2.477B,-2.36,0.0,,-2.351,-2.36,-2.36,0.0,,-2.351,-2.36,654.80M,654.80M,0.32
2005-06,8.791B,8.791B,,,,-8.00M,82.00M,-82.00M,6.072B,6.064B,82.00M,-82.00M,,-82.00M,1.641B,492.00M,1.149B,,,,1.149B,1.155B,-10.00M,1.723B,1.72,0.0,,1.7280000000000002,1.72,1.71,0.0,,1.7180000000000002,1.71,666.50M,672.60M,0.32
2005-03,8.705B,8.705B,,,,-18.00M,84.00M,-84.00M,6.063B,6.045B,84.00M,-84.00M,,-84.00M,1.538B,415.00M,1.123B,,,,1.123B,1.136B,-19.00M,1.622B,1.66,0.0,,1.679,1.66,1.64,0.0,,1.659,1.64,677.70M,683.10M,0.32
2004-12,8.879B,8.879B,,,,-25.00M,85.00M,-85.00M,6.195B,6.17B,85.00M,-85.00M,,-85.00M,1.584B,442.00M,1.142B,0.00,,,1.142B,1.184B,-12.00M,1.669B,1.65,0.0,0.0,1.676,1.65,1.64,0.0,-0.0012,1.666,1.64,686.00M,690.70M,0.28
2004-09,8.442B,8.442B,,,,-1.00M,76.00M,-76.00M,7.527B,7.526B,76.00M,-76.00M,,-76.00M,-68.00M,-124.00M,56.00M,0.00,,,56.00M,56.60M,-5.00M,8.00M,0.1,0.0,0.0,0.1009,0.1,0.09,0.0,0.0,0.0909,0.09,692.10M,696.80M,0.28
2004-06,8.304B,8.304B,,,,-16.00M,73.00M,-73.00M,5.871B,5.855B,73.00M,-73.00M,,-73.00M,1.486B,452.00M,1.034B,0.00,,,1.034B,1.045B,5.00M,1.559B,1.47,0.0,0.0,1.486,1.47,1.47,0.0,0.0,1.486,1.47,700.00M,704.50M,0.28
2004-03,8.311B,8.311B,,,,-11.00M,74.00M,-74.00M,5.777B,5.766B,74.00M,-74.00M,,-74.00M,1.584B,460.00M,1.124B,-175.00M,,,949.00M,1.132B,8.00M,1.658B,1.35,0.0,0.0,1.361,1.35,1.34,0.0,-0.2484,1.351,1.34,704.50M,709.20M,0.28
2003-12,8.262B,8.262B,,,,-18.00M,71.00M,-71.00M,6.153B,6.135B,71.00M,-71.00M,,-71.00M,1.083B,308.00M,775.00M,-14.00M,,,761.00M,787.88M,-6.00M,1.154B,1.09,0.0,0.0,1.1079999999999999,1.09,1.08,0.0,-0.0199,1.0979999999999999,1.08,703.50M,707.10M,0.23
2003-09,8.127B,8.127B,,,,-19.00M,70.00M,-70.00M,6.249B,6.23B,70.00M,-70.00M,,-70.00M,898.00M,206.00M,692.00M,-1.00M,,,691.00M,706.64M,-7.00M,968.00M,0.98,0.0,0.0,1.001,0.98,0.97,0.0,-0.0014,0.9907,0.97,703.30M,706.00M,0.23
2003-06,7.899B,7.899B,,,,-14.00M,67.00M,-67.00M,6.213B,6.199B,67.00M,-67.00M,,-67.00M,719.00M,129.00M,590.00M,0.00,,,588.00M,599.49M,,786.00M,0.84,0.0,0.0,0.8563,0.84,0.84,0.0,0.0,0.8563,0.84,704.00M,706.60M,0.23
2003-03,7.861B,7.861B,,,,-23.00M,67.00M,-67.00M,5.917B,5.894B,67.00M,-67.00M,,-67.00M,871.00M,203.00M,668.00M,0.00,,,665.00M,682.64M,,938.00M,0.95,0.0,0.0,0.9751,0.95,0.94,0.0,0.0,0.965,0.94,703.30M,705.20M,0.23
2002-12,7.587B,7.587B,,,,-24.00M,74.00M,-74.00M,6.077B,6.053B,74.00M,-74.00M,,-74.00M,407.00M,-43.00M,450.00M,0.00,,,447.00M,461.40M,-12.00M,481.00M,0.63,0.0,0.0,0.6505,0.63,0.63,0.0,-0.001,0.6504,0.63,702.60M,705.70M,0.21
2002-09,7.239B,7.239B,,,0.00,-40.00M,67.00M,-67.00M,6.067B,6.027B,67.00M,-67.00M,,-67.00M,213.00M,-37.00M,250.00M,0.00,2.00M,,248.00M,272.00M,-20.00M,280.00M,0.35,0.0,0.0,0.384,0.35,0.35,0.0,0.0,0.3839,0.35,705.40M,708.10M,0.21
2002-06,7.455B,7.455B,,,0.00,-35.00M,68.00M,-68.00M,6.077B,6.042B,68.00M,-68.00M,,-68.00M,403.00M,57.00M,346.00M,0.00,2.00M,,344.00M,374.05M,-21.00M,471.00M,0.48,0.0,0.0,0.5224,0.48,0.48,0.0,0.0,0.5222,0.48,708.70M,712.10M,0.21
2002-03,7.298B,7.298B,,,0.00,-20.00M,69.00M,-69.00M,5.887B,5.867B,69.00M,-69.00M,,-69.00M,517.00M,88.00M,429.00M,0.00,3.00M,,426.00M,442.60M,-9.00M,586.00M,0.6,0.0,0.0,0.6233,0.6,0.6,0.0,0.0,0.6232,0.6,711.70M,713.80M,0.21
2001-12,7.358B,7.358B,,,,-32.00M,-57.00M,57.00M,6.223B,6.191B,-57.00M,57.00M,,57.00M,,,235.00M,0.00,,,264.00M,283.20M,-20.00M,,0.37,0.0,0.0,0.3971,0.37,0.37,0.0,-0.0001,0.3968,0.37,708.62M,716.40M,0.19
2001-09,7.173B,7.173B,,,14.00M,-63.00M,63.00M,-63.00M,5.978B,5.929B,63.00M,-63.00M,,-63.00M,169.00M,-67.00M,236.00M,0.00,10.00M,,226.00M,263.80M,-29.00M,232.00M,0.32,0.0,0.0,0.3727,0.32,0.32,0.0,0.0,0.3725,0.32,717.30M,719.70M,0.19
2001-06,7.203B,7.203B,,,13.00M,-4.00M,61.00M,-61.00M,6.10B,6.109B,61.00M,-61.00M,,-61.00M,147.00M,-30.00M,177.00M,0.00,9.00M,,168.00M,170.40M,-29.00M,208.00M,0.23,0.0,0.0,0.2333,0.23,0.23,0.0,0.0,0.2333,0.23,724.60M,728.50M,0.19
2001-03,7.131B,7.131B,,,13.00M,-8.00M,62.00M,-62.00M,5.576B,5.581B,62.00M,-62.00M,,-62.00M,674.00M,155.00M,519.00M,-9.00M,10.00M,,500.00M,515.16M,-28.00M,736.00M,0.69,0.0,0.0,0.6985,0.69,0.68,0.0,-0.0124,0.6884,0.68,726.60M,730.30M,0.19
2000-12,7.22B,7.22B,,,,-8.00M,63.00M,-63.00M,882.00M,874.00M,63.00M,-63.00M,,-63.00M,712.00M,156.00M,556.00M,,,,547.00M,553.25M,-26.00M,775.00M,0.75,0.0,,0.7586,0.75,0.74,0.0,,0.7485,0.74,730.20M,734.60M,0.17
2000-09,7.445B,7.445B,,,,-18.00M,61.00M,-61.00M,5.632B,5.614B,61.00M,-61.00M,,-61.00M,909.00M,255.00M,654.00M,,10.00M,,644.00M,656.95M,-8.00M,970.00M,0.87,0.0,,0.8876,0.87,0.87,0.0,,0.8875,0.87,735.80M,740.60M,0.17
2000-06,7.183B,7.183B,,,,-5.00M,58.00M,-58.00M,,-5.00M,58.00M,-58.00M,1.191B,-58.00M,0.00,168.00M,459.00M,,11.00M,,459.00M,464.00M,-23.00M,58.00M,0.62,0.0,,0.6267,0.62,0.61,0.0,,0.6167,0.61,742.30M,747.80M,0.17
2000-03,7.286B,7.286B,,,,-28.00M,47.00M,-47.00M,5.678B,5.65B,47.00M,-47.00M,,-47.00M,788.00M,216.00M,561.00M,,11.00M,,561.00M,581.32M,10.00M,835.00M,0.73,0.0,,0.7565,0.73,0.73,0.0,,0.7563,0.73,767.60M,772.10M,0.17
