,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2016-06,2.454B,469.00M,2.923B,11.03B,,11.03B,13.96B,1.556B,6.017B,,6.017B,3.256B,21.19B,210.00M,34.63B,59.51B,,9.146B,,9.146B,,9.146B,,0.00,300.00M,300.00M,300.00M,9.446B,4.789B,4.789B,,,4.831B,618.00M,8.00M,71.00M,10.31B,46.14B,,74.00M,13.05B,2.879B,1.799B,,,,,-844.00M,13.36B,,AOR,Restated
2016-03,2.401B,465.00M,2.866B,10.68B,,10.68B,13.55B,1.534B,6.029B,,6.029B,3.267B,20.75B,276.00M,34.36B,58.88B,,9.392B,,9.392B,,9.392B,,100.00M,299.00M,399.00M,399.00M,9.791B,4.791B,4.791B,,,4.724B,646.00M,9.00M,73.00M,10.23B,46.20B,,74.00M,12.54B,2.874B,1.826B,,,,,-988.00M,12.68B,,AOR,Restated
2015-12,1.968B,381.00M,2.349B,10.51B,,10.51B,12.86B,1.534B,6.019B,568.00M,6.587B,3.283B,20.03B,379.00M,33.34B,57.09B,,8.848B,,8.848B,,8.848B,,100.00M,49.00M,149.00M,149.00M,8.997B,5.02B,5.02B,,,4.574B,629.00M,9.00M,69.00M,10.29B,45.04B,,74.00M,12.12B,2.859B,1.769B,,,,,-1.25B,12.04B,,AOR,Restated
2015-09,2.381B,94.00M,2.475B,10.65B,,10.65B,13.12B,1.483B,6.04B,,6.04B,3.446B,19.02B,327.00M,32.67B,56.91B,,8.913B,,8.913B,,8.913B,,100.00M,49.00M,149.00M,149.00M,9.062B,5.056B,5.056B,,,4.538B,591.00M,13.00M,67.00M,10.25B,45.12B,,74.00M,11.71B,2.845B,1.636B,,,,,-1.215B,11.77B,,AOR,Restated
2015-06,1.969B,97.00M,2.066B,10.81B,,10.81B,12.88B,1.502B,6.041B,,6.041B,3.493B,18.86B,369.00M,32.61B,57.13B,,9.118B,,9.118B,,9.118B,,100.00M,50.00M,150.00M,150.00M,9.268B,5.046B,5.046B,,,4.573B,627.00M,13.00M,76.00M,10.32B,45.83B,,74.00M,11.18B,2.835B,1.672B,,,,,-1.125B,11.29B,,AOR,Restated
2015-03,2.62B,172.00M,2.792B,10.41B,,10.41B,13.20B,1.486B,6.029B,,6.029B,3.44B,19.50B,241.00M,33.44B,58.12B,,9.259B,,9.259B,,9.259B,,100.00M,899.00M,999.00M,999.00M,10.26B,5.062B,5.062B,,,4.581B,634.00M,16.00M,83.00M,10.36B,47.16B,,74.00M,10.64B,2.823B,1.656B,,,,,-934.00M,10.94B,,AOR,Restated
2014-12,1.42B,163.00M,1.583B,9.837B,,9.837B,11.42B,1.502B,5.989B,709.00M,6.698B,3.519B,19.34B,293.00M,33.00B,55.87B,,8.444B,,8.444B,,8.444B,,100.00M,47.00M,147.00M,147.00M,8.591B,4.979B,4.979B,,,4.40B,621.00M,15.00M,90.00M,10.09B,45.08B,,74.00M,10.29B,2.769B,1.422B,,,,,-936.00M,10.77B,,AOR,Restated
2014-09,1.621B,153.00M,1.774B,9.66B,,9.66B,11.43B,1.494B,6.003B,,6.003B,3.494B,19.14B,19.00M,32.57B,55.65B,,7.645B,,7.645B,,7.645B,,100.00M,21.00M,121.00M,121.00M,7.766B,5.024B,5.024B,,,4.40B,602.00M,18.00M,93.00M,10.12B,44.48B,,92.00M,15.20B,3.409B,7.121B,617.00M,-1.027B,4.00M,-13.00M,-419.00M,11.16B,,AOR,Restated
2014-06,1.967B,232.00M,2.199B,9.789B,,9.789B,11.99B,1.498B,6.033B,,6.033B,3.67B,18.68B,0.00,32.38B,55.93B,,8.002B,,8.002B,,8.002B,,100.00M,21.00M,121.00M,121.00M,8.123B,5.022B,5.022B,34.00M,34.00M,4.389B,625.00M,15.00M,99.00M,10.17B,44.98B,,92.00M,14.68B,3.405B,6.964B,666.00M,-1.037B,117.00M,-19.00M,-273.00M,10.94B,,AOR,Restated
2014-03,2.276B,394.00M,2.67B,9.645B,,9.645B,12.32B,1.45B,6.03B,,6.03B,3.585B,18.17B,27.00M,31.77B,55.17B,,7.942B,,7.942B,,7.942B,,100.00M,110.00M,210.00M,210.00M,8.152B,5.022B,5.022B,,,4.397B,637.00M,13.00M,96.00M,10.15B,44.60B,,92.00M,14.14B,3.392B,6.631B,563.00M,-1.048B,71.00M,-19.00M,-433.00M,10.56B,,AOR,Restated
2013-12,2.795B,631.00M,3.426B,9.29B,,9.29B,12.72B,1.464B,6.029B,902.00M,6.931B,3.737B,17.26B,92.00M,31.14B,54.34B,,7.506B,,7.506B,,7.506B,,100.00M,133.00M,233.00M,233.00M,7.739B,5.014B,5.014B,,,4.298B,580.00M,14.00M,96.00M,9.988B,43.76B,,92.00M,13.68B,3.356B,6.037B,,,,,-520.00M,10.57B,,AOR,Restated
2013-09,3.055B,763.00M,3.818B,9.24B,,9.24B,13.06B,1.451B,6.035B,,6.035B,3.898B,16.55B,289.00M,30.36B,54.04B,,8.027B,,8.027B,,8.027B,,100.00M,105.00M,205.00M,205.00M,8.232B,5.034B,5.034B,,,4.195B,588.00M,,95.00M,9.912B,44.17B,,92.00M,13.33B,3.344B,5.93B,534.00M,-1.526B,54.00M,-21.00M,-959.00M,9.874B,,AOR,Restated
2013-06,3.209B,296.00M,3.505B,9.384B,,9.384B,12.89B,1.191B,5.986B,,5.986B,4.092B,16.18B,335.00M,30.09B,53.83B,,8.22B,,8.22B,,8.22B,,153.00M,0.00,153.00M,153.00M,8.373B,5.03B,5.03B,,,4.161B,587.00M,,101.00M,9.879B,44.05B,,92.00M,12.81B,3.326B,5.435B,548.00M,-1.538B,-5.00M,-19.00M,-1.014B,9.775B,,AOR,Restated
2013-03,3.306B,122.00M,3.428B,9.457B,,9.457B,12.88B,1.109B,5.99B,,5.99B,4.315B,16.85B,284.00M,31.11B,54.94B,,8.976B,,8.976B,,8.976B,,400.00M,1.00M,401.00M,401.00M,9.377B,4.995B,4.995B,,,4.218B,577.00M,,113.00M,9.903B,45.28B,,92.00M,12.33B,3.305B,5.309B,817.00M,-1.559B,11.00M,-25.00M,-756.00M,9.66B,,AOR,Restated
2012-12,2.978B,154.00M,3.132B,8.033B,,8.033B,11.16B,1.12B,6.001B,1.06B,7.061B,4.352B,17.97B,374.00M,31.80B,53.73B,,8.523B,,8.523B,,8.523B,,200.00M,1.00M,201.00M,201.00M,8.724B,4.986B,4.986B,,,4.062B,549.00M,0.00,114.00M,9.711B,43.96B,,92.00M,12.33B,3.295B,5.277B,887.00M,-1.599B,69.00M,-28.00M,-671.00M,9.769B,,AOR,Restated
2012-09,2.236B,151.00M,2.387B,1.714B,,1.714B,4.101B,1.136B,5.878B,2.229B,8.107B,4.465B,18.13B,407.00M,31.75B,53.53B,,,,,,6.373B,,,226.00M,226.00M,226.00M,6.599B,4.986B,4.986B,,,4.253B,474.00M,,,9.713B,44.00B,,92.00M,11.96B,3.282B,5.253B,884.00M,-1.463B,26.00M,,-553.00M,9.53B,,AOR,Restated
2012-06,3.045B,215.00M,3.26B,1.773B,,1.773B,5.033B,1.115B,5.71B,2.472B,8.182B,4.516B,17.64B,499.00M,31.38B,53.55B,,,,,,6.841B,,,226.00M,226.00M,226.00M,7.067B,4.985B,4.985B,,,4.153B,1.052B,,,10.19B,44.53B,,92.00M,11.50B,3.276B,5.176B,805.00M,-1.471B,-5.00M,,-671.00M,9.022B,,AOR,Restated
2012-03,2.111B,187.00M,2.298B,1.897B,,1.897B,4.195B,1.083B,5.726B,2.328B,8.054B,4.747B,17.34B,533.00M,31.15B,52.78B,,,,,,6.632B,,,227.00M,227.00M,227.00M,6.859B,4.99B,4.99B,,,4.176B,1.05B,,,10.22B,44.22B,,92.00M,11.12B,3.268B,5.20B,736.00M,-1.496B,38.00M,,-722.00M,8.561B,,AOR,Restated
2011-12,4.69B,225.00M,4.915B,7.614B,,7.614B,12.53B,1.024B,3.164B,370.00M,3.534B,4.803B,16.54B,803.00M,27.28B,50.70B,,7.932B,,7.932B,,7.932B,,100.00M,4.00M,104.00M,104.00M,8.036B,4.99B,4.99B,,,3.936B,502.00M,,0.00,9.428B,42.70B,,92.00M,10.79B,3.188B,5.286B,740.00M,-1.507B,3.00M,-23.00M,-787.00M,7.994B,,AOR,Restated
2011-09,1.902B,290.00M,2.192B,1.439B,,1.439B,3.631B,978.00M,3.116B,1.525B,4.641B,4.909B,16.70B,485.00M,27.11B,47.80B,,,,,,5.932B,,,330.00M,330.00M,330.00M,6.262B,2.883B,2.883B,,,4.131B,522.00M,0.00,,7.536B,40.04B,,88.00M,10.86B,2.561B,5.302B,683.00M,-1.134B,10.00M,,-441.00M,7.761B,,AOR,Restated
2011-06,1.774B,204.00M,1.978B,1.417B,,1.417B,3.395B,953.00M,3.136B,1.307B,4.443B,4.93B,15.86B,493.00M,26.07B,47.03B,,,,,,5.48B,,,330.00M,330.00M,330.00M,5.81B,2.883B,2.883B,,,4.098B,442.00M,0.00,,7.423B,39.48B,,88.00M,10.66B,2.556B,5.318B,579.00M,-1.138B,123.00M,,-436.00M,7.548B,,AOR,Restated
2011-03,1.656B,149.00M,1.805B,1.441B,,1.441B,3.246B,912.00M,3.135B,1.219B,4.354B,4.985B,15.32B,621.00M,25.46B,46.52B,,,,,,5.563B,,,330.00M,330.00M,330.00M,5.893B,2.883B,2.883B,,,4.083B,452.00M,0.00,,7.418B,39.49B,,88.00M,10.27B,2.547B,5.312B,497.00M,-1.143B,77.00M,,-569.00M,7.024B,,AOR,Restated
2010-12,1.605B,174.00M,1.779B,1.318B,,1.318B,3.097B,912.00M,3.119B,1.238B,4.357B,5.067B,15.01B,782.00M,25.23B,45.68B,,,,,,5.936B,,,552.00M,552.00M,552.00M,6.488B,2.288B,2.288B,,,4.017B,416.00M,18.00M,,6.721B,39.02B,,88.00M,9.879B,2.534B,5.242B,533.00M,-1.147B,,,-614.00M,6.645B,,AOR,Restated
2010-06,1.449B,153.00M,1.602B,1.457B,,1.457B,3.059B,875.00M,2.879B,,2.879B,4.967B,15.01B,868.00M,24.74B,44.43B,,,,,,5.866B,,,326.00M,326.00M,326.00M,6.192B,2.51B,2.51B,,,3.947B,410.00M,15.00M,,6.867B,38.44B,,88.00M,9.129B,2.526B,5.228B,511.00M,-1.05B,,,-539.00M,5.976B,,AOR,Restated
2010-03,1.299B,188.00M,1.487B,1.515B,,1.515B,3.002B,860.00M,2.879B,,2.879B,5.022B,14.29B,941.00M,23.89B,43.86B,,,,,,5.606B,,,326.00M,326.00M,326.00M,5.932B,2.212B,2.212B,,,3.996B,432.00M,14.00M,,6.64B,38.05B,,88.00M,8.84B,2.522B,5.119B,420.00M,-950.00M,,,-530.00M,5.801B,,AOR,Restated
2009-12,924.00M,493.00M,1.417B,1.361B,,1.361B,2.778B,862.00M,2.876B,1.056B,3.932B,5.071B,14.05B,1.029B,23.79B,43.01B,,,,,,5.797B,,,104.00M,104.00M,104.00M,5.901B,2.436B,2.436B,,,3.968B,427.00M,12.00M,,6.831B,37.58B,,88.00M,8.625B,2.514B,5.192B,340.00M,-958.00M,,,-618.00M,5.417B,,AOR,Restated
2009-09,836.00M,201.00M,1.037B,1.481B,,1.481B,2.518B,827.00M,2.876B,,2.876B,5.137B,13.79B,1.017B,23.68B,42.65B,,,,,,5.805B,,,104.00M,104.00M,104.00M,5.909B,2.435B,2.435B,,,4.006B,424.00M,11.00M,,6.865B,37.48B,,88.00M,8.303B,2.51B,5.228B,362.00M,-878.00M,,,-516.00M,5.157B,,AOR,Restated
2009-06,1.022B,105.00M,1.127B,1.50B,,1.50B,2.627B,805.00M,2.876B,,2.876B,5.148B,12.69B,1.285B,22.62B,41.65B,,,,,,5.831B,,,106.00M,106.00M,106.00M,5.937B,2.435B,2.435B,,,4.042B,406.00M,9.00M,,6.883B,37.15B,,88.00M,7.986B,2.506B,5.254B,40.00M,-877.00M,,,-837.00M,4.489B,,AOR,Restated
2009-03,1.375B,103.00M,1.478B,1.53B,,1.53B,3.008B,804.00M,2.876B,,2.876B,5.156B,11.93B,1.446B,22.14B,41.23B,,,,,,6.291B,,,377.00M,377.00M,377.00M,6.668B,2.086B,2.086B,,,4.089B,419.00M,7.00M,,6.594B,37.40B,,88.00M,7.536B,2.505B,5.262B,-179.00M,-857.00M,,,-1.036B,3.831B,,AOR,Restated
2008-12,1.342B,236.00M,1.578B,1.407B,,1.407B,2.985B,804.00M,2.878B,,2.878B,5.173B,12.13B,1.617B,22.45B,41.41B,,,,,,6.869B,,,301.00M,301.00M,301.00M,7.17B,2.09B,2.09B,,,4.037B,414.00M,6.00M,,6.541B,37.81B,,88.00M,7.374B,2.502B,5.298B,-213.00M,-861.00M,,,-1.074B,3.592B,,AOR,Restated
2008-09,1.078B,64.00M,1.142B,1.627B,,1.627B,2.769B,791.00M,2.859B,,2.859B,,64.00M,,38.07B,40.78B,,,,,,5.105B,,,315.00M,315.00M,315.00M,5.42B,2.09B,2.09B,,,22.22B,,,,24.31B,36.13B,,88.00M,7.582B,2.498B,5.272B,-25.00M,,,-229.00M,-254.00M,4.642B,,AOR,Restated
2008-06,805.00M,39.00M,844.00M,1.642B,,1.642B,2.486B,789.00M,2.837B,,2.837B,,39.00M,,38.97B,41.42B,,,,,,4.70B,,,428.00M,428.00M,428.00M,5.128B,2.09B,2.09B,,,22.44B,,,,24.53B,36.66B,,88.00M,7.412B,2.493B,5.155B,41.00M,,,-125.00M,-84.00M,4.754B,,AOR,Restated
2008-03,2.85B,12.75B,15.60B,1.475B,7.205B,8.68B,24.28B,649.00M,1.784B,,1.784B,4.795B,12.75B,,21.77B,40.99B,,,,,,4.886B,,,251.00M,251.00M,251.00M,5.137B,2.09B,2.09B,,,22.34B,489.00M,,,24.92B,36.17B,,88.00M,7.142B,2.488B,4.942B,,,55.00M,-17.00M,38.00M,4.814B,,AOR,Restated
2007-12,1.97B,21.00M,1.991B,1.405B,,1.405B,3.396B,625.00M,,2.319B,2.319B,4.727B,12.23B,794.00M,19.86B,40.06B,,,,,,4.127B,,,3.00M,3.00M,3.00M,4.13B,1.79B,1.79B,,,4.127B,496.00M,,,6.413B,35.32B,,88.00M,7.113B,2.474B,4.978B,189.00M,-138.00M,,,51.00M,4.748B,,AOR,Restated
2007-09,1.421B,12.90B,14.32B,1.603B,7.446B,9.049B,23.37B,601.00M,1.774B,,1.774B,4.741B,12.90B,,21.53B,39.80B,,,,,,4.468B,,,0.00,0.00,0.00,4.468B,1.793B,1.793B,,,22.51B,487.00M,,,24.79B,35.56B,,88.00M,6.865B,2.465B,5.006B,,,56.00M,-232.00M,-176.00M,4.236B,,AOR,Restated
2007-06,1.104B,12.67B,13.77B,1.552B,7.633B,9.185B,22.96B,568.00M,1.741B,,1.741B,5.107B,12.67B,,21.88B,41.53B,,,,,,4.586B,,,0.00,0.00,0.00,4.586B,1.792B,1.792B,,,22.73B,548.00M,,,25.07B,37.52B,,88.00M,6.513B,2.46B,4.795B,,,38.00M,-295.00M,-257.00M,4.009B,,AOR,Restated
2007-03,1.589B,12.93B,14.52B,1.432B,7.832B,9.264B,23.78B,603.00M,1.739B,,1.739B,5.387B,12.93B,,22.05B,42.38B,,,,,,4.461B,,,291.00M,291.00M,291.00M,4.752B,1.792B,1.792B,,,23.14B,558.00M,,,25.49B,38.23B,,40.00M,6.375B,2.485B,4.577B,,,33.00M,-204.00M,-171.00M,4.152B,,AOR,Restated
2006-12,1.392B,,1.392B,9.504B,,9.504B,10.90B,632.00M,1.736B,,1.736B,5.393B,,,30.57B,42.40B,,,,,,4.602B,,,382.00M,382.00M,382.00M,4.984B,1.294B,1.294B,,,23.14B,,,,24.43B,38.07B,,40.00M,6.177B,2.451B,4.169B,,,,,-169.00M,4.33B,,AOR,Restated
2006-09,1.208B,12.98B,14.19B,1.402B,7.886B,9.288B,23.48B,617.00M,1.721B,,1.721B,5.514B,12.98B,,22.41B,42.19B,,,,,,4.774B,,,455.00M,455.00M,455.00M,5.229B,1.028B,1.028B,,,23.25B,511.00M,,,24.79B,37.93B,,40.00M,5.974B,2.44B,3.694B,,,27.00M,-530.00M,-503.00M,4.257B,,AOR,Restated
2006-06,1.388B,13.09B,14.48B,1.321B,8.118B,9.439B,23.92B,612.00M,1.622B,,1.622B,5.365B,13.09B,,22.29B,42.28B,,,,,,4.449B,,,376.00M,376.00M,376.00M,4.825B,950.00M,950.00M,,,23.47B,534.00M,,,24.95B,37.58B,,40.00M,5.686B,2.428B,2.778B,,,,,-682.00M,4.694B,,AOR,Restated
2006-03,1.904B,15.04B,16.95B,1.482B,6.719B,8.201B,25.15B,626.00M,1.622B,,1.622B,5.547B,15.04B,,24.44B,44.03B,,,,,,5.029B,,,85.00M,85.00M,85.00M,5.114B,1.253B,1.253B,,,23.69B,523.00M,,,25.46B,38.68B,,40.00M,5.425B,2.419B,1.93B,,,,,-602.00M,5.352B,,AOR,Restated
2005-12,1.709B,16.02B,17.73B,1.628B,7.018B,8.646B,26.38B,638.00M,1.622B,,1.622B,5.271B,16.02B,,25.03B,44.89B,,,,,,5.157B,,,100.00M,100.00M,100.00M,5.257B,1.338B,1.338B,,,24.26B,515.00M,,,26.12B,39.53B,,40.00M,5.162B,2.385B,1.718B,,,,,-509.00M,5.36B,,AOR,Restated
2005-09,1.251B,16.68B,17.93B,1.667B,7.382B,9.049B,26.98B,660.00M,1.62B,,1.62B,5.26B,16.68B,,25.86B,45.90B,,,,,,5.21B,,,100.00M,100.00M,100.00M,5.31B,1.338B,1.338B,,,24.66B,357.00M,,,26.36B,40.24B,,40.00M,5.084B,2.262B,1.207B,,,-3.00M,-518.00M,-521.00M,5.658B,,AOR,Restated
2005-06,1.879B,17.24B,19.12B,1.699B,7.691B,9.39B,28.51B,730.00M,1.62B,,1.62B,5.25B,17.24B,,26.55B,47.87B,,,,,,5.709B,,,100.00M,100.00M,100.00M,5.809B,1.338B,1.338B,,,25.57B,321.00M,,,27.23B,41.99B,,40.00M,4.829B,2.285B,885.00M,,,,,-390.00M,5.879B,,AOR,Restated
2005-03,2.40B,16.64B,19.04B,1.663B,9.749B,11.41B,30.45B,747.00M,1.62B,,1.62B,4.956B,16.64B,,25.60B,50.88B,,,,,,6.027B,,,100.00M,100.00M,100.00M,6.127B,1.338B,1.338B,,,27.43B,345.00M,,,29.11B,45.57B,,40.00M,4.112B,2.297B,657.00M,,,5.00M,-488.00M,-483.00M,5.309B,,AOR,Restated
