,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,917.00M,,33.00M,,33.00M,140.00M,140.00M,9.00M,-8.00M,-2.00M,,69.00M,94.00M,,,934.00M,2.025B,,-103.00M,,-103.00M,0.00,-1.557B,,-1.70B,,-131.00M,-3.00M,-134.00M,20.00M,-310.00M,-290.00M,,,-106.00M,-530.00M,,2.972B,-205.00M,4.00M,2.771B,,20.00M,,-134.00M,-310.00M,31.00M,46.00M,,AOR,Restated
2017-12,267.00M,,-23.00M,-114.00M,-137.00M,141.00M,141.00M,180.00M,164.00M,-72.00M,,510.00M,84.00M,,-7.00M,-40.00M,575.00M,,-131.00M,,-131.00M,-176.00M,-220.00M,,-603.00M,,-3.00M,96.00M,93.00M,20.00M,-764.00M,-744.00M,,,-32.00M,-683.00M,,3.656B,-711.00M,27.00M,2.972B,,20.00M,-3.00M,16.00M,-764.00M,224.00M,43.00M,,AOR,Restated
2017-09,562.00M,,-117.00M,40.00M,-77.00M,139.00M,139.00M,31.00M,306.00M,112.00M,,380.00M,-85.00M,,-76.00M,274.00M,1.235B,,-146.00M,,-146.00M,-19.00M,-260.00M,,-368.00M,,271.00M,-2.00M,269.00M,35.00M,-1.066B,-1.031B,,,-63.00M,-825.00M,,3.611B,42.00M,3.00M,3.656B,,35.00M,1.584B,-1.315B,-1.066B,308.00M,74.00M,,AOR,Restated
2017-06,810.00M,,-51.00M,29.00M,-22.00M,140.00M,140.00M,20.00M,79.00M,-144.00M,,27.00M,-49.00M,,-208.00M,-330.00M,697.00M,,-103.00M,,-103.00M,-14.00M,-508.00M,,-615.00M,,0.00,-4.00M,-4.00M,38.00M,-656.00M,-618.00M,,,-6.00M,-628.00M,,4.155B,-546.00M,2.00M,3.611B,,38.00M,,-4.00M,-656.00M,504.00M,53.00M,,AOR,Restated
2017-03,593.00M,,-46.00M,45.00M,-1.00M,146.00M,146.00M,11.00M,-31.00M,-14.00M,,-186.00M,-22.00M,,291.00M,861.00M,1.579B,,-91.00M,,-91.00M,,60.00M,,-117.00M,,-250.00M,-10.00M,-260.00M,38.00M,-239.00M,-201.00M,,,-54.00M,-515.00M,,3.185B,947.00M,23.00M,4.155B,,38.00M,,-260.00M,-239.00M,,70.00M,,AOR,Restated
2016-12,374.00M,,-59.00M,-105.00M,-164.00M,150.00M,150.00M,11.00M,-25.00M,593.00M,,116.00M,62.00M,,191.00M,501.00M,847.00M,,-99.00M,,-99.00M,1.00M,-937.00M,0.00,-880.00M,,0.00,-5.00M,-5.00M,13.00M,0.00,13.00M,,,22.00M,30.00M,,3.224B,-3.00M,-36.00M,3.185B,,13.00M,0.00,-5.00M,0.00,160.00M,52.00M,,AOR,Restated
2016-09,452.00M,,-75.00M,34.00M,-41.00M,150.00M,150.00M,80.00M,-23.00M,840.00M,,67.00M,51.00M,,-111.00M,1.294B,1.912B,,-108.00M,,-108.00M,-1.00M,-855.00M,-101.00M,-1.122B,,0.00,-32.00M,-32.00M,9.00M,0.00,9.00M,,,-9.00M,-32.00M,,2.454B,758.00M,12.00M,3.224B,,9.00M,0.00,-32.00M,0.00,325.00M,70.00M,,AOR,Restated
2016-06,503.00M,,-67.00M,44.00M,-23.00M,152.00M,152.00M,-28.00M,43.00M,-311.00M,,205.00M,-26.00M,,-208.00M,-301.00M,346.00M,,-142.00M,,-142.00M,-4.00M,-102.00M,,-212.00M,,0.00,-105.00M,-105.00M,4.00M,0.00,4.00M,,,24.00M,-77.00M,,2.401B,57.00M,-4.00M,2.454B,,4.00M,,-105.00M,0.00,542.00M,53.00M,,AOR,Restated
2016-03,514.00M,,32.00M,27.00M,59.00M,158.00M,158.00M,11.00M,5.00M,-213.00M,,-263.00M,-57.00M,,262.00M,174.00M,921.00M,,-112.00M,,-112.00M,,-265.00M,,-360.00M,,0.00,-6.00M,-6.00M,10.00M,-139.00M,-129.00M,,,-11.00M,-146.00M,,1.968B,415.00M,18.00M,2.401B,,10.00M,,-6.00M,-139.00M,37.00M,69.00M,,AOR,Restated
2015-12,418.00M,,47.00M,,184.00M,134.00M,134.00M,-23.00M,75.00M,100.00M,,204.00M,105.00M,,-61.00M,348.00M,1.136B,,-153.00M,,-153.00M,11.00M,-1.368B,,-1.439B,,0.00,-6.00M,-6.00M,18.00M,-135.00M,-117.00M,,,17.00M,-106.00M,,2.381B,-409.00M,-4.00M,1.968B,,18.00M,0.00,-6.00M,-135.00M,313.00M,53.00M,,AOR,Restated
2015-09,544.00M,,-10.00M,,-10.00M,149.00M,149.00M,52.00M,-28.00M,70.00M,,3.00M,-130.00M,,-81.00M,-93.00M,614.00M,,-111.00M,,-111.00M,-3.00M,-127.00M,,-201.00M,,0.00,-5.00M,-5.00M,8.00M,0.00,8.00M,,,14.00M,17.00M,,1.969B,430.00M,-18.00M,2.381B,,8.00M,0.00,-5.00M,0.00,362.00M,70.00M,,AOR,Restated
2015-06,584.00M,,-21.00M,,-21.00M,151.00M,151.00M,-23.00M,107.00M,-500.00M,,59.00M,142.00M,,-104.00M,-352.00M,446.00M,,-131.00M,,-131.00M,0.00,131.00M,,-47.00M,,-938.00M,-5.00M,-943.00M,29.00M,-123.00M,-94.00M,,,-13.00M,-1.05B,,2.62B,-651.00M,0.00,1.969B,,29.00M,0.00,-943.00M,-123.00M,470.00M,53.00M,,AOR,Restated
2015-03,531.00M,,-73.00M,,-73.00M,151.00M,151.00M,15.00M,17.00M,-560.00M,,157.00M,-101.00M,,221.00M,96.00M,737.00M,,-115.00M,,-115.00M,-107.00M,97.00M,,-49.00M,,894.00M,-5.00M,889.00M,99.00M,-413.00M,-314.00M,,,-45.00M,530.00M,,1.42B,1.218B,-18.00M,2.62B,,99.00M,894.00M,-5.00M,-413.00M,49.00M,69.00M,,AOR,Restated
2014-12,462.00M,,-24.00M,,87.00M,153.00M,153.00M,-34.00M,45.00M,-233.00M,,241.00M,-79.00M,,58.00M,-27.00M,686.00M,,-123.00M,,-123.00M,0.00,-315.00M,0.00,-461.00M,,0.00,-8.00M,-8.00M,17.00M,-356.00M,-339.00M,,,-64.00M,-411.00M,,1.621B,-186.00M,-15.00M,1.42B,,17.00M,0.00,-8.00M,-356.00M,239.00M,56.00M,,AOR,Restated
2014-09,531.00M,,-23.00M,,-23.00M,146.00M,146.00M,-2.00M,-34.00M,68.00M,,-117.00M,-88.00M,,-47.00M,-148.00M,470.00M,,-114.00M,,-114.00M,0.00,-581.00M,-36.00M,-573.00M,,0.00,-8.00M,-8.00M,13.00M,-227.00M,-214.00M,,,5.00M,-217.00M,,1.967B,-320.00M,-26.00M,1.621B,,13.00M,0.00,-8.00M,-227.00M,332.00M,71.00M,,AOR,Restated
2014-06,572.00M,,-65.00M,,-65.00M,139.00M,139.00M,0.00,6.00M,-204.00M,,185.00M,-35.00M,,-150.00M,-140.00M,512.00M,,-139.00M,,-139.00M,0.00,-91.00M,0.00,-326.00M,,0.00,-90.00M,-90.00M,37.00M,-414.00M,-377.00M,,,-41.00M,-508.00M,,2.276B,-322.00M,13.00M,1.967B,,37.00M,0.00,-90.00M,-414.00M,471.00M,62.00M,,AOR,Restated
2014-03,529.00M,,-42.00M,,-42.00M,150.00M,150.00M,14.00M,-47.00M,-389.00M,,-107.00M,-63.00M,,250.00M,-114.00M,490.00M,,-97.00M,,-97.00M,0.00,-548.00M,12.00M,-506.00M,,0.00,-6.00M,-6.00M,43.00M,-615.00M,-572.00M,,,79.00M,-499.00M,,2.795B,-515.00M,-4.00M,2.276B,,43.00M,0.00,-6.00M,-615.00M,43.00M,70.00M,,AOR,Restated
2013-12,360.00M,11.00M,-21.00M,,-10.00M,152.00M,152.00M,-40.00M,-6.00M,-25.00M,,41.00M,37.00M,,-23.00M,156.00M,612.00M,,-113.00M,,-113.00M,-76.00M,-731.00M,42.00M,-725.00M,,-8.00M,-10.00M,-18.00M,18.00M,-167.00M,-149.00M,11.00M,11.00M,-3.00M,-159.00M,,3.055B,-272.00M,12.00M,2.795B,,18.00M,-9.00M,-9.00M,-167.00M,230.00M,62.00M,,AOR,Restated
2013-09,553.00M,-3.00M,-27.00M,,-30.00M,146.00M,146.00M,41.00M,-56.00M,120.00M,,-165.00M,117.00M,,56.00M,176.00M,830.00M,,-205.00M,,-205.00M,,-324.00M,-44.00M,-407.00M,,-7.00M,-72.00M,-79.00M,41.00M,-559.00M,-518.00M,0.00,0.00,-20.00M,-617.00M,,3.209B,-194.00M,40.00M,3.055B,,41.00M,-20.00M,-59.00M,-559.00M,135.00M,73.00M,,AOR,Restated
2013-06,506.00M,-4.00M,-26.00M,,-30.00M,149.00M,149.00M,80.00M,-726.00M,-6.00M,,-31.00M,148.00M,,21.00M,103.00M,82.00M,,-125.00M,,-125.00M,40.00M,74.00M,-40.00M,185.00M,,,-214.00M,-214.00M,55.00M,-200.00M,-145.00M,-11.00M,-11.00M,31.00M,-339.00M,,3.306B,-72.00M,-25.00M,3.209B,,55.00M,-169.00M,-45.00M,-200.00M,142.00M,60.00M,,AOR,Restated
2013-03,59.00M,-4.00M,-139.00M,,-143.00M,150.00M,150.00M,116.00M,-1.49B,170.00M,,-328.00M,103.00M,,-110.00M,503.00M,-805.00M,,-84.00M,0.00,-84.00M,-40.00M,1.046B,,962.00M,,,195.00M,195.00M,36.00M,-77.00M,-41.00M,,,31.00M,185.00M,,2.978B,342.00M,-14.00M,3.306B,,36.00M,198.00M,-3.00M,-77.00M,12.00M,70.00M,,AOR,Restated
2012-12,407.00M,14.00M,-24.00M,,-10.00M,154.00M,154.00M,67.00M,21.00M,-39.00M,,262.00M,-74.00M,,-112.00M,154.00M,793.00M,,-79.00M,,-79.00M,-113.00M,163.00M,,7.00M,,0.00,-44.00M,-44.00M,63.00M,-123.00M,-60.00M,0.00,0.00,26.00M,-78.00M,,2.236B,722.00M,20.00M,2.978B,,63.00M,-44.00M,0.00,-123.00M,241.00M,62.00M,,AOR,Restated
2012-09,466.00M,-5.00M,-11.00M,,-16.00M,136.00M,136.00M,24.00M,-39.00M,89.00M,,-537.00M,235.00M,,12.00M,-891.00M,-320.00M,,-121.00M,,-121.00M,-271.00M,-94.00M,,-441.00M,,0.00,11.00M,11.00M,6.00M,-85.00M,-79.00M,0.00,0.00,10.00M,-58.00M,,3.045B,-819.00M,10.00M,2.236B,,6.00M,11.00M,0.00,-85.00M,203.00M,70.00M,,AOR,Restated
2012-06,380.00M,-4.00M,4.00M,,0.00,144.00M,144.00M,-3.00M,51.00M,186.00M,,309.00M,-224.00M,,24.00M,364.00M,936.00M,,-127.00M,,-127.00M,2.00M,-135.00M,,-4.00M,,0.00,-14.00M,-14.00M,7.00M,0.00,7.00M,-11.00M,-11.00M,32.00M,14.00M,,2.111B,946.00M,-12.00M,3.045B,,7.00M,-14.00M,0.00,0.00,189.00M,62.00M,,AOR,Restated
2012-03,371.00M,-5.00M,-13.00M,,-18.00M,126.00M,126.00M,46.00M,-23.00M,-245.00M,,-166.00M,155.00M,,105.00M,439.00M,941.00M,,-81.00M,,-81.00M,-3.199B,-160.00M,,-3.419B,,-326.00M,145.00M,-181.00M,45.00M,0.00,45.00M,,,30.00M,-106.00M,,4.69B,-2.584B,5.00M,2.111B,,45.00M,145.00M,-326.00M,0.00,22.00M,54.00M,,AOR,Restated
2011-12,273.00M,-5.00M,-6.00M,,-11.00M,93.00M,93.00M,35.00M,,102.00M,,253.00M,-15.00M,-380.00M,-195.00M,-112.00M,248.00M,,-131.00M,,-131.00M,-103.00M,1.199B,-999.00M,-44.00M,,1.64B,221.00M,1.861B,634.00M,0.00,634.00M,0.00,0.00,95.00M,2.59B,,1.902B,2.794B,-6.00M,4.69B,,634.00M,2.089B,-450.00M,0.00,167.00M,61.00M,,AOR,Restated
2011-09,183.00M,-6.00M,-13.00M,,-19.00M,86.00M,86.00M,-24.00M,,-29.00M,,532.00M,-252.00M,277.00M,-44.00M,438.00M,664.00M,,-104.00M,,-104.00M,0.00,-878.00M,443.00M,-522.00M,,0.00,0.00,0.00,4.00M,0.00,4.00M,0.00,0.00,0.00,4.00M,,1.774B,146.00M,-18.00M,1.902B,,4.00M,0.00,0.00,0.00,170.00M,36.00M,,AOR,Restated
2011-06,391.00M,-9.00M,-17.00M,,-26.00M,83.00M,83.00M,63.00M,,25.00M,,12.00M,-81.00M,26.00M,37.00M,17.00M,528.00M,,-114.00M,,-114.00M,13.00M,-902.00M,556.00M,-388.00M,,-4.00M,0.00,-4.00M,30.00M,-73.00M,-43.00M,-11.00M,-11.00M,26.00M,-32.00M,,1.656B,108.00M,10.00M,1.774B,,30.00M,-4.00M,0.00,-73.00M,190.00M,61.00M,,AOR,Restated
2011-03,414.00M,-5.00M,-26.00M,,-31.00M,83.00M,83.00M,143.00M,,-129.00M,,-453.00M,41.00M,77.00M,-44.00M,-558.00M,51.00M,,-73.00M,,-73.00M,-12.00M,-316.00M,,-316.00M,,589.00M,-222.00M,367.00M,66.00M,-152.00M,-86.00M,,,24.00M,305.00M,,1.605B,40.00M,11.00M,1.656B,,66.00M,591.00M,-2.00M,-152.00M,106.00M,27.00M,,AOR,Restated
2010-12,396.00M,7.00M,-31.00M,,-24.00M,88.00M,88.00M,6.00M,,154.00M,,-326.00M,194.00M,-409.00M,39.00M,-11.00M,460.00M,,-91.00M,,-91.00M,-207.00M,65.00M,,-284.00M,,-21.00M,59.00M,38.00M,33.00M,0.00,33.00M,0.00,0.00,-47.00M,24.00M,,1.404B,200.00M,1.00M,1.605B,,33.00M,306.00M,-268.00M,0.00,111.00M,64.00M,,AOR,Restated
2010-09,308.00M,-8.00M,-28.00M,,-36.00M,76.00M,76.00M,55.00M,,45.00M,,123.00M,-26.00M,34.00M,-33.00M,107.00M,510.00M,,-89.00M,,-89.00M,-327.00M,-28.00M,,-522.00M,,1.00M,0.00,1.00M,3.00M,-88.00M,-85.00M,0.00,0.00,33.00M,-51.00M,,1.449B,-63.00M,18.00M,1.404B,,3.00M,0.00,1.00M,-88.00M,81.00M,32.00M,,AOR,
2010-06,295.00M,-6.00M,-22.00M,,-28.00M,67.00M,67.00M,76.00M,,48.00M,,151.00M,-206.00M,-31.00M,40.00M,-31.00M,379.00M,,-68.00M,,-68.00M,0.00,-388.00M,,-413.00M,,295.00M,0.00,295.00M,4.00M,-113.00M,-109.00M,-11.00M,-11.00M,19.00M,194.00M,,1.299B,160.00M,-10.00M,1.449B,,4.00M,296.00M,-1.00M,-113.00M,128.00M,52.00M,,AOR,Restated
2010-03,284.00M,-6.00M,6.00M,,0.00,61.00M,61.00M,51.00M,,-148.00M,,-220.00M,41.00M,406.00M,-44.00M,-2.00M,394.00M,,-52.00M,,-52.00M,-5.00M,-46.00M,,-123.00M,,-2.00M,0.00,-2.00M,24.00M,0.00,24.00M,,,85.00M,107.00M,,924.00M,378.00M,-3.00M,1.299B,,24.00M,0.00,-2.00M,0.00,6.00M,32.00M,,AOR,Restated
2009-12,331.00M,-8.00M,3.00M,,-5.00M,61.00M,61.00M,40.00M,,121.00M,,-111.00M,102.00M,,-45.00M,49.00M,476.00M,,-89.00M,,-89.00M,0.00,-356.00M,,-411.00M,,-198.00M,199.00M,1.00M,21.00M,0.00,21.00M,0.00,0.00,-5.00M,17.00M,,836.00M,82.00M,6.00M,924.00M,,21.00M,0.00,1.00M,0.00,49.00M,51.00M,,AOR,Restated
2009-09,330.00M,-8.00M,-14.00M,,-22.00M,62.00M,62.00M,89.00M,,18.00M,,-120.00M,58.00M,,-225.00M,-302.00M,157.00M,,-82.00M,,-82.00M,,-311.00M,,-426.00M,,0.00,-2.00M,-2.00M,9.00M,,9.00M,0.00,0.00,72.00M,79.00M,,1.022B,-190.00M,4.00M,836.00M,,9.00M,0.00,197.00M,,138.00M,32.00M,,AOR,Restated
2009-06,435.00M,-8.00M,18.00M,,10.00M,76.00M,76.00M,40.00M,,34.00M,,-481.00M,214.00M,,-299.00M,-521.00M,40.00M,,-76.00M,,-76.00M,-121.00M,-266.00M,2.00M,-482.00M,,346.00M,-271.00M,75.00M,0.00,0.00,0.00,-11.00M,-11.00M,10.00M,74.00M,,1.375B,-368.00M,15.00M,1.022B,,0.00,272.00M,-197.00M,0.00,33.00M,75.00M,,AOR,Restated
2009-03,208.00M,-8.00M,36.00M,,28.00M,69.00M,69.00M,150.00M,,-124.00M,,-554.00M,78.00M,,256.00M,-383.00M,72.00M,,-60.00M,,-60.00M,121.00M,-225.00M,-2.00M,-166.00M,,-2.00M,74.00M,72.00M,0.00,,0.00,,,65.00M,137.00M,,1.342B,43.00M,-10.00M,1.375B,,0.00,74.00M,-2.00M,,,,,AOR,Restated
2008-12,-210.00M,-10.00M,142.00M,,132.00M,63.00M,63.00M,-167.00M,322.00M,203.00M,,682.00M,-435.00M,,,466.00M,606.00M,,-78.00M,,-78.00M,-298.00M,170.00M,,-268.00M,,0.00,-14.00M,-14.00M,0.00,-38.00M,-38.00M,0.00,0.00,-11.00M,-63.00M,,1.078B,275.00M,-11.00M,1.342B,,0.00,-14.00M,0.00,-38.00M,99.00M,-96.00M,,AOR,Restated
2008-09,171.00M,-9.00M,23.00M,,14.00M,64.00M,64.00M,-3.00M,72.00M,-12.00M,,353.00M,-141.00M,,4.00M,173.00M,491.00M,,-51.00M,,-51.00M,-4.00M,378.00M,,43.00M,,-1.00M,-113.00M,-114.00M,2.00M,-123.00M,-121.00M,0.00,0.00,-11.00M,-246.00M,,805.00M,288.00M,-15.00M,1.078B,,2.00M,-114.00M,0.00,-123.00M,62.00M,37.00M,,AOR,Restated
2008-06,273.00M,-10.00M,19.00M,,9.00M,64.00M,64.00M,8.00M,-29.00M,100.00M,,-301.00M,57.00M,,-4.00M,-118.00M,207.00M,,-60.00M,,-60.00M,-1.302B,-835.00M,,-2.184B,,0.00,177.00M,177.00M,2.00M,-217.00M,-215.00M,-11.00M,-11.00M,-18.00M,-67.00M,,2.85B,-2.044B,-1.00M,805.00M,,2.00M,177.00M,0.00,-217.00M,202.00M,37.00M,,AOR,Restated
2008-03,56.00M,-9.00M,-14.00M,,-23.00M,53.00M,53.00M,-59.00M,104.00M,-72.00M,,660.00M,-341.00M,,,221.00M,352.00M,,-68.00M,,-68.00M,-7.00M,-75.00M,,-163.00M,,298.00M,248.00M,546.00M,33.00M,,33.00M,-3.00M,-3.00M,114.00M,690.00M,,1.97B,879.00M,1.00M,2.85B,,33.00M,546.00M,0.00,,3.00M,22.00M,,AOR,Restated
2007-12,263.00M,,22.00M,,-25.00M,47.00M,47.00M,34.00M,87.00M,167.00M,,84.00M,,,,170.00M,576.00M,,-79.00M,8.00M,-71.00M,-46.00M,82.00M,-582.00M,176.00M,,0.00,0.00,0.00,17.00M,0.00,17.00M,-3.00M,-3.00M,-222.00M,-208.00M,,1.421B,544.00M,5.00M,1.97B,,17.00M,0.00,0.00,0.00,128.00M,39.00M,,AOR,Restated
2007-09,363.00M,,-27.00M,,-27.00M,49.00M,49.00M,14.00M,-111.00M,-47.00M,,107.00M,,,,60.00M,348.00M,,-78.00M,4.00M,-74.00M,0.00,-65.00M,336.00M,197.00M,,0.00,0.00,0.00,13.00M,-245.00M,-232.00M,-3.00M,-3.00M,5.00M,-230.00M,,1.103B,315.00M,3.00M,1.421B,,13.00M,0.00,0.00,-245.00M,153.00M,23.00M,,AOR,Restated
2007-06,217.00M,,-10.00M,,-10.00M,44.00M,44.00M,-52.00M,-124.00M,-102.00M,12.00M,43.00M,,,,-35.00M,40.00M,,-64.00M,48.00M,-16.00M,0.00,-158.00M,221.00M,47.00M,,196.00M,-498.00M,-302.00M,85.00M,-357.00M,-272.00M,-3.00M,-3.00M,4.00M,-573.00M,,1.589B,-486.00M,,1.103B,,85.00M,487.00M,-291.00M,-357.00M,174.00M,60.00M,,AOR,Restated
2007-03,277.00M,,,,,54.00M,54.00M,4.00M,112.00M,29.00M,-12.00M,-74.00M,,,,-69.00M,378.00M,,-41.00M,22.00M,-19.00M,0.00,-157.00M,25.00M,-151.00M,,-76.00M,498.00M,422.00M,133.00M,-583.00M,-450.00M,-2.00M,-2.00M,,-30.00M,,1.392B,197.00M,0.00,1.589B,,133.00M,11.00M,-87.00M,-583.00M,,,,AOR,Restated
2006-12,232.00M,,,,,53.00M,53.00M,-1.00M,-117.00M,-17.00M,-18.00M,130.00M,,,,95.00M,262.00M,,-53.00M,10.00M,-43.00M,18.00M,2.287B,-2.026B,236.00M,,392.00M,,317.00M,54.00M,-584.00M,-530.00M,-3.00M,-3.00M,-100.00M,-316.00M,,1.208B,182.00M,2.00M,1.392B,,54.00M,288.00M,104.00M,-584.00M,,,,AOR,Restated
2006-09,302.00M,,,,,48.00M,48.00M,-14.00M,-160.00M,-27.00M,-7.00M,157.00M,,,,123.00M,299.00M,,-27.00M,1.00M,-26.00M,-18.00M,-1.21B,1.741B,487.00M,,-175.00M,,-175.00M,17.00M,-908.00M,-891.00M,-3.00M,-3.00M,100.00M,-969.00M,,1.388B,-183.00M,3.00M,1.208B,,17.00M,-71.00M,-104.00M,-908.00M,,,,AOR,Restated
