,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,50.82M,,-0.15M,,-0.15M,,,121.36M,121.36M,,,,4.024M,-1.569M,,,,,,-21.78M,152.70M,,-51.78M,,,-0.75M,,,-46.66M,,-1.042M,,-1.042M,,,,,,,-104.88M,-0.922M,-105.80M,,-5.956M,-112.80M,,88.87M,-6.757M,82.11M,,,150.00M,-151.04M,,2.522M,24.89M,,AOR,Restated
2017-12,128.01M,,-68.32M,,-68.32M,,,119.59M,119.59M,,,,2.139M,-1.775M,,,,,,-76.30M,103.34M,,-75.47M,,,-0.75M,,,-51.12M,,11.50M,,11.50M,-1.007M,4.782M,3.775M,,,,-98.85M,-0.922M,-99.78M,-0.432M,-6.525M,-91.46M,,128.10M,-39.24M,88.87M,,-1.007M,225.00M,-213.50M,4.782M,-2.256M,-123.74M,,AOR,Restated
2017-09,118.96M,,-58.84M,,-58.84M,,,118.08M,118.08M,,,,2.813M,-2.012M,,,,,,57.24M,236.23M,,-82.05M,,,-0.75M,,,4.548M,,-76.89M,,-76.89M,0.224M,0.00,0.224M,,,,-98.84M,-0.922M,-99.76M,0.00,-3.769M,-180.20M,,67.52M,60.59M,128.10M,,0.224M,205.00M,-281.89M,0.00,0.03M,43.75M,,AOR,Restated
2017-06,50.16M,,-0.322M,,-0.322M,,,126.79M,126.79M,,,,2.60M,-2.876M,,,,,,12.10M,188.45M,,-100.03M,,,,,,-98.48M,,28.19M,,28.19M,0.716M,-0.048M,0.668M,,,,-98.81M,-0.922M,-99.73M,0.432M,-10.50M,-80.95M,,58.50M,9.019M,67.52M,,0.716M,817.48M,-789.29M,-0.048M,2.216M,55.20M,,AOR,Restated
2017-03,43.42M,,0.073M,,0.073M,,,130.08M,130.08M,,,,3.018M,-3.147M,,,,,,-40.67M,132.77M,,-86.34M,,,0.00,,,-149.16M,,61.13M,,61.13M,0.067M,-4.734M,-4.667M,,,,-98.79M,-0.922M,-99.71M,,-3.668M,-46.92M,,121.80M,-63.30M,58.50M,,0.067M,155.00M,-93.87M,-4.734M,0.01M,24.78M,,AOR,Restated
2016-12,42.06M,,-31.83M,0.027M,-31.67M,,,95.21M,95.21M,,,,5.509M,-0.065M,,-38.34M,0.501M,,4.358M,-15.26M,95.78M,,-118.63M,,,-424.16M,,48.18M,-433.03M,,473.73M,,473.73M,0.291M,0.008M,0.299M,,,,-61.95M,-0.924M,-62.87M,0.00,-6.009M,405.14M,,27.82M,67.90M,121.80M,,0.291M,805.00M,-331.27M,0.008M,0.011M,48.57M,,AOR,Restated
2016-09,88.91M,,-47.75M,0.00,-47.77M,,,76.96M,76.96M,,,,2.019M,-2.833M,,44.37M,-4.631M,,-6.011M,33.72M,151.01M,,-20.93M,,,0.00,,-15.74M,-30.72M,,-52.49M,,-52.49M,-0.628M,-0.285M,-0.913M,,,,-61.93M,0.00,-61.93M,0.00,-3.411M,-118.75M,,26.28M,1.538M,27.82M,,-0.628M,25.00M,-77.49M,-0.285M,0.027M,25.18M,,AOR,Restated
2016-06,47.63M,,-0.611M,0.101M,-0.529M,,,75.97M,75.97M,,,,2.073M,-4.783M,,11.17M,5.796M,,-3.193M,13.77M,134.13M,,-28.23M,,,,,-18.44M,-119.47M,,48.23M,,48.23M,0.538M,-0.012M,0.526M,,,,-61.92M,0.00,-61.92M,0.00,-3.412M,-16.57M,,28.18M,-1.905M,26.28M,,0.538M,50.00M,-1.767M,-0.012M,1.525M,45.98M,,AOR,Restated
2016-03,45.81M,,-2.382M,-0.128M,-2.601M,,,75.15M,75.15M,,,,1.885M,-2.139M,,-17.20M,-1.666M,,4.846M,-14.02M,104.08M,,-16.19M,,,,,-14.00M,-65.92M,,19.51M,,19.51M,0.09M,-1.73M,-1.64M,,,,-61.86M,0.00,-61.86M,,-3.552M,-47.54M,,37.56M,-9.375M,28.18M,,0.09M,55.00M,-35.49M,-1.73M,0.019M,25.11M,,AOR,Restated
2015-12,45.37M,,0.073M,-0.006M,-1.769M,,,73.96M,73.96M,,,,1.709M,-1.449M,,-27.67M,-5.927M,,0.387M,-15.63M,102.18M,,-93.24M,,,-0.003M,,89.96M,-60.33M,,19.31M,,19.31M,0.296M,-0.001M,0.295M,,,,-58.04M,,-58.04M,0.00,-10.73M,-49.17M,,44.88M,-7.317M,37.56M,,0.296M,387.08M,-367.77M,-0.001M,0.008M,43.01M,,AOR,Restated
2015-09,96.83M,,-54.62M,0.00,-54.75M,,,73.18M,73.18M,,,,1.675M,-4.598M,,28.53M,-2.635M,,-3.216M,22.68M,135.01M,,-24.69M,,,0.001M,,-44.72M,-46.74M,,-12.01M,,-12.01M,0.142M,-0.012M,0.13M,,,,-58.31M,,-58.31M,0.00,-3.233M,-73.42M,,30.03M,14.85M,44.88M,,0.142M,8.885M,-20.90M,-0.012M,0.044M,26.20M,,AOR,Restated
2015-06,143.87M,,-105.35M,0.023M,-106.12M,,,74.65M,74.65M,,,,1.474M,-4.923M,,13.63M,6.121M,,-5.027M,14.72M,123.67M,,-31.60M,,,-0.03M,,-30.62M,3.025M,,-57.73M,,-57.73M,0.176M,-0.008M,0.168M,,,,-57.89M,,-57.89M,0.42M,-3.226M,-118.25M,,20.33M,8.445M,30.03M,,0.176M,-3.885M,-53.84M,-0.008M,2.051M,44.58M,,AOR,Restated
2015-03,64.68M,,-30.23M,-0.017M,-27.49M,,,73.12M,73.12M,,,,1.289M,-4.545M,,-14.49M,2.441M,,7.856M,-4.192M,102.86M,,-16.50M,,,,,-14.62M,-32.18M,,-13.59M,,-13.59M,0.008M,-0.937M,-0.929M,,,,-57.84M,,-57.84M,,-3.395M,-75.75M,,25.40M,-5.068M,20.33M,,0.008M,3.885M,-17.47M,-0.937M,0.00,27.02M,,AOR,Restated
2014-12,36.44M,,-0.21M,0.017M,-0.203M,,,68.43M,68.43M,,,,1.046M,-1.473M,,-26.35M,7.029M,,3.114M,-16.21M,88.04M,,-18.16M,,,0.00,,15.68M,-148.63M,,57.08M,,57.08M,0.314M,-0.009M,0.305M,,,,-54.86M,,-54.86M,0.329M,-3.899M,-1.044M,,88.29M,-61.64M,26.65M,,0.314M,0.323M,56.76M,-0.009M,0.00,44.95M,,AOR,Restated
2014-09,70.82M,,-36.03M,-0.281M,-33.73M,,,71.21M,71.21M,,,,1.135M,-8.112M,,29.72M,-16.15M,,-5.917M,7.654M,108.98M,,-26.35M,,,0.00,,-1.222M,71.34M,,-61.80M,,-61.80M,0.153M,-0.12M,0.033M,,,,-54.88M,,-54.88M,2.372M,-3.83M,-118.11M,,26.08M,62.20M,88.29M,,0.153M,0.352M,-62.15M,-0.12M,0.00,25.43M,,AOR,Restated
2014-06,33.39M,,-7.261M,-2.902M,-10.17M,,,70.63M,70.63M,,,,1.097M,-6.613M,,4.182M,5.47M,,-5.684M,3.968M,92.30M,,-30.66M,,,0.00,,-36.00M,-154.80M,,19.62M,,19.62M,0.348M,-0.051M,0.297M,,,,-54.75M,,-54.75M,7.769M,-6.322M,-33.39M,,121.97M,-95.88M,26.08M,,0.348M,395.84M,-376.21M,-0.051M,1.596M,45.41M,,AOR,Restated
2014-03,10.23M,,-3.121M,0.024M,-3.103M,,,91.47M,91.47M,,,,0.948M,-6.818M,,-3.359M,5.664M,,1.027M,3.332M,96.06M,,-15.03M,,,,,-32.36M,28.33M,,-35.58M,,-35.58M,0.227M,-0.285M,-0.058M,,,,-54.66M,,-54.66M,1.775M,-3.231M,-91.75M,,89.33M,32.64M,121.97M,,0.227M,0.344M,-35.92M,-0.285M,,30.41M,,AOR,Restated
2013-12,-14.74M,,,-0.177M,9.473M,,,87.52M,87.52M,,,,0.539M,-4.181M,,-44.11M,66.64M,,-11.53M,11.00M,89.60M,,-18.03M,,,63.37M,,5.308M,10.58M,,-139.65M,,-139.65M,0.642M,-0.02M,0.622M,,,,-51.88M,,-51.88M,6.212M,-7.254M,-191.95M,,181.10M,-91.77M,89.33M,,0.642M,170.76M,-310.41M,-0.02M,0.00,35.09M,,AOR,Restated
2013-09,17.27M,,,-0.06M,0.149M,,,33.92M,33.92M,,,,0.558M,0.059M,,12.04M,-4.435M,,-0.166M,7.439M,59.40M,,-12.92M,,,0.00,,-52.53M,-23.14M,,169.10M,,169.10M,0.07M,-0.009M,0.061M,,,,-29.70M,,-29.70M,0.00,-3.412M,136.05M,,8.792M,172.31M,181.10M,,0.07M,175.00M,-5.896M,-0.009M,-0.793M,14.92M,,AOR,Restated
2013-06,17.91M,,,-0.047M,-0.057M,,,34.00M,34.00M,,,,0.541M,-0.28M,,15.19M,0.29M,,-0.322M,15.16M,67.26M,,-13.79M,,,-0.167M,,-22.04M,-19.99M,,-18.43M,,-18.43M,2.91M,0.00,2.91M,,,,-29.70M,,-29.70M,,-1.493M,-46.71M,,8.224M,0.568M,8.792M,,2.91M,-17.00M,-1.429M,0.00,1.596M,17.21M,,AOR,Restated
2013-03,22.00M,,,-0.054M,0.105M,,,34.24M,34.24M,,,,0.63M,0.185M,,-11.90M,-3.466M,,0.32M,-15.04M,42.12M,,-8.701M,,,-0.016M,,-12.82M,-51.24M,,17.63M,,17.63M,22.06M,-0.673M,21.38M,,,,-29.42M,,-29.42M,,-1.324M,8.273M,,9.075M,-0.851M,8.224M,,22.06M,19.00M,-1.37M,-0.673M,,16.40M,,AOR,Restated
2012-12,20.05M,,0.00,0.053M,0.712M,,,34.50M,34.50M,,,,0.503M,0.106M,,-6.504M,3.174M,,0.405M,-2.925M,52.95M,,-10.23M,,,-0.014M,,-20.82M,-18.24M,,-32.18M,,-32.18M,22.36M,-0.127M,22.24M,,,,-27.89M,,-27.89M,,-1.212M,-39.05M,,13.42M,-4.347M,9.075M,,22.36M,54.00M,-86.18M,-0.127M,,13.22M,,AOR,Restated
2012-09,16.06M,,-0.048M,0.072M,0.351M,,,33.35M,33.35M,,,,0.499M,0.073M,,11.23M,-4.506M,,0.101M,6.827M,57.16M,,-10.61M,,,-0.131M,,-11.91M,-197.74M,,108.00M,,108.00M,53.81M,-0.223M,53.59M,,,,-27.12M,,-27.12M,,-2.796M,131.67M,,22.34M,-8.919M,13.42M,,53.81M,121.00M,-13.00M,-0.223M,,17.29M,,AOR,Restated
2012-06,16.45M,,0.003M,0.067M,0.085M,,,32.79M,32.79M,,,,0.417M,0.137M,,15.46M,-2.508M,,0.118M,13.07M,62.95M,,-14.95M,,,-0.022M,,4.229M,-79.13M,,25.79M,,25.79M,0.013M,-0.225M,-0.212M,,,,-27.01M,,-27.01M,,-1.879M,-3.312M,,41.83M,-19.48M,22.34M,,0.013M,100.00M,-74.21M,-0.225M,,13.53M,,AOR,Restated
2012-03,15.64M,,,0.031M,0.011M,,,31.55M,31.55M,,,,0.814M,0.248M,,-13.08M,2.445M,,0.289M,-10.35M,37.91M,,-11.43M,,,-0.051M,,-49.12M,-34.11M,,-109.61M,,-109.61M,120.14M,-1.415M,118.72M,,,,-25.72M,,-25.72M,,-2.677M,-19.29M,,57.32M,-15.49M,41.83M,,120.14M,50.00M,-159.61M,-1.415M,,16.91M,,AOR,Restated
2011-12,7.146M,4.927M,-1.317M,0.063M,4.311M,,,31.85M,31.85M,,0.27M,,1.074M,0.207M,,-4.408M,,,3.979M,-1.785M,43.08M,,263.02M,-10.93M,264.53M,-1.51M,,-21.19M,-120.98M,,61.96M,,61.96M,65.23M,-0.077M,65.15M,,,,-23.70M,,-23.70M,,7.553M,110.96M,,24.25M,33.06M,57.32M,,65.23M,0.00,61.96M,-0.077M,,16.42M,,AOR,Restated
2011-09,14.45M,-4.927M,0.185M,0.107M,-4.572M,,,30.16M,30.16M,,-0.09M,,2.759M,0.39M,,8.543M,,,-5.978M,2.565M,45.66M,,-92.28M,10.61M,-69.96M,,,-12.95M,-94.62M,,52.04M,,52.04M,44.78M,-0.211M,44.57M,,,,-23.27M,,-23.27M,,-12.97M,60.37M,,12.84M,11.42M,24.25M,,44.78M,135.00M,-82.96M,-0.211M,,15.20M,,AOR,Restated
2011-06,7.68M,,-0.023M,0.423M,0.448M,,,28.86M,28.86M,,-0.09M,,0.842M,0.407M,,10.86M,,,3.241M,14.10M,52.25M,,-174.98M,0.32M,-151.86M,,1.007M,-5.634M,-179.28M,,84.24M,,84.24M,34.29M,-0.321M,33.97M,,,,-22.99M,,-22.99M,,-2.577M,92.65M,,47.22M,-34.38M,12.84M,,34.29M,128.00M,-43.76M,-0.321M,,14.52M,,AOR,Restated
2011-03,9.155M,0.00,0.245M,,0.251M,,,28.46M,28.46M,,-0.09M,,0.844M,0.292M,,-6.133M,,,-1.473M,-7.606M,31.30M,,-42.71M,0.00,-42.71M,0.00,-1.007M,-3.569M,-47.29M,,-48.32M,,-48.32M,91.44M,-1.939M,89.50M,,,,-22.08M,,-22.08M,,-1.842M,17.26M,,45.94M,1.28M,47.22M,,91.44M,22.35M,-70.67M,-1.939M,,13.52M,,AOR,Restated
2010-12,7.167M,-0.002M,-1.157M,0.293M,-0.866M,,,28.28M,28.28M,,0.27M,0.00,1.098M,0.701M,,-8.714M,,,4.714M,-9.529M,27.13M,,225.05M,-71.42M,180.13M,,,-10.84M,-66.01M,,-50.92M,,-50.92M,58.42M,-0.284M,58.14M,,0.00,0.00,-20.96M,0.00,-20.96M,,-1.523M,-15.27M,,100.09M,-54.15M,45.94M,,58.42M,-15.00M,-35.92M,-0.284M,,14.88M,,AOR,Restated
2010-09,6.973M,0.00,0.105M,0.282M,0.387M,,,27.14M,27.14M,,-0.09M,0.324M,0.784M,-0.267M,,12.84M,,,-8.344M,4.50M,39.75M,,-156.38M,23.35M,-133.04M,,,-3.607M,-136.64M,,188.10M,,188.10M,85.10M,-0.078M,85.03M,,-77.51M,-77.51M,-19.97M,-1.155M,-21.13M,,-2.748M,171.74M,,25.24M,74.85M,100.09M,,85.10M,133.38M,54.72M,-77.59M,,13.26M,,AOR,Restated
2010-06,6.888M,0.002M,0.30M,0.298M,0.60M,,,25.59M,25.59M,,-0.09M,1.59M,0.783M,-0.121M,,4.997M,,,1.545M,6.542M,41.78M,,-85.40M,1.067M,-84.33M,,5.735M,-4.525M,-83.12M,,4.552M,,4.552M,131.89M,-0.307M,131.59M,,-77.51M,-77.51M,-18.31M,-3.251M,-21.56M,,-2.81M,34.26M,,32.33M,-7.084M,25.24M,,131.89M,0.00,4.552M,-77.82M,,14.27M,,AOR,Restated
2010-03,9.849M,,,0.276M,0.276M,,,25.68M,25.68M,,-0.09M,,0.348M,-0.295M,,-9.667M,,,-0.963M,-10.63M,25.13M,,-9.772M,47.01M,37.24M,,-5.735M,,31.50M,,-40.77M,,-40.77M,30.11M,-0.506M,29.60M,,,,-17.89M,-3.216M,-21.10M,,-5.848M,-38.12M,,13.82M,18.51M,32.33M,,30.11M,19.50M,-60.27M,-0.506M,,14.19M,,AOR,Restated
2009-12,12.38M,,,0.176M,-3.82M,,,25.30M,25.30M,,-0.09M,0.00,0.389M,-0.759M,,-5.449M,1.242M,,0.01M,-4.197M,29.20M,,-116.19M,15.56M,-134.96M,2.621M,,-4.084M,-102.09M,,-36.13M,,-36.13M,8.425M,-0.131M,8.294M,,0.00,0.00,-13.06M,-3.216M,-16.28M,,114.34M,70.22M,,16.49M,-2.67M,13.82M,,8.425M,-35.69M,-0.434M,-0.131M,,14.52M,,AOR,Restated
2009-09,6.865M,,,0.288M,0.396M,,,24.50M,24.50M,,-0.09M,0.00,0.316M,0.157M,,9.773M,-4.552M,,-0.213M,5.008M,37.15M,,-14.59M,-0.373M,-2.348M,-2.521M,,-1.43M,-18.92M,,-9.401M,0.00,-9.401M,24.73M,-0.164M,24.57M,,0.00,0.00,-18.78M,-3.216M,-22.00M,,-0.992M,-7.825M,,6.08M,10.41M,16.49M,,24.73M,-9.137M,-0.264M,-0.164M,,13.92M,,AOR,Restated
2009-06,9.563M,,,0.156M,0.555M,,,24.41M,24.41M,,-0.09M,0.00,0.32M,0.837M,,6.182M,0.226M,,-0.052M,6.356M,41.95M,,-32.76M,3.408M,-16.08M,-0.029M,,-0.654M,-30.04M,,-30.51M,0.00,-30.51M,0.312M,-0.449M,-0.137M,,0.00,0.00,-18.83M,-3.217M,-22.04M,,-0.805M,-53.49M,,47.67M,-41.59M,6.08M,,0.312M,13.02M,-43.52M,-0.449M,,14.45M,,AOR,Restated
2009-03,10.41M,,,0.196M,-0.059M,,,24.19M,24.19M,,-0.09M,,0.303M,0.084M,,-6.172M,3.084M,,0.233M,-2.855M,31.99M,,-10.92M,11.34M,8.842M,-0.071M,,-3.256M,-2.911M,,31.28M,0.00,31.28M,0.284M,-0.22M,0.064M,,,,-18.83M,-3.216M,-22.04M,,-0.136M,9.164M,,9.426M,38.24M,47.67M,,0.284M,31.82M,-0.535M,-0.22M,,12.68M,,AOR,Restated
2008-12,8.189M,0.12M,,0.288M,0.443M,,,25.11M,25.11M,,-0.09M,,0.00,0.138M,,-7.78M,-1.456M,,8.736M,-0.50M,33.29M,,-16.64M,0.596M,-45.52M,7.351M,,-11.19M,-19.88M,,-139.11M,,-139.11M,8.118M,-0.035M,8.083M,,,,-12.50M,-3.216M,-15.72M,,99.09M,-47.65M,,43.67M,-34.24M,9.426M,,8.118M,-138.45M,-0.662M,-0.035M,,16.50M,,AOR,Restated
2008-09,6.514M,0.00,,0.274M,0.818M,,,22.97M,22.97M,,-0.433M,,0.647M,0.639M,,10.12M,-5.578M,,0.212M,4.755M,35.91M,,-115.33M,0.514M,-102.81M,-0.439M,,-5.583M,-120.84M,,112.81M,,112.81M,28.17M,-0.17M,28.00M,,,,-18.39M,-3.216M,-21.60M,,-0.589M,118.62M,,9.977M,33.69M,43.67M,,28.17M,173.26M,-60.46M,-0.17M,,15.89M,,AOR,Restated
2008-06,9.157M,-0.038M,,0.237M,-0.156M,,,22.20M,22.20M,,-0.434M,,0.169M,0.331M,,7.653M,0.364M,,0.117M,8.134M,39.40M,,-51.13M,0.355M,-39.23M,-0.136M,,-7.521M,-58.43M,,-27.51M,,-27.51M,70.63M,-0.075M,70.56M,,,,-17.62M,-3.217M,-20.84M,,-0.26M,21.95M,,7.059M,2.918M,9.977M,,70.63M,-26.56M,-0.955M,-0.075M,,15.34M,,AOR,Restated
2008-03,8.211M,,,0.083M,0.017M,,,22.90M,22.90M,,-0.453M,,0.211M,0.552M,,-7.197M,6.67M,,0.281M,-0.246M,31.19M,,-33.52M,0.502M,-27.08M,-6.776M,,-5.971M,-45.76M,,7.606M,,7.606M,19.08M,-0.399M,18.68M,,,,-17.30M,-3.216M,-20.52M,,-1.333M,4.439M,,17.19M,-10.13M,7.059M,,19.08M,30.44M,-22.84M,-0.399M,,15.99M,,AOR,Restated
2007-12,8.768M,0.00,,0.00,-0.386M,,,23.89M,23.89M,,-0.509M,,0.206M,0.979M,,-6.573M,3.154M,,-0.082M,-3.501M,29.44M,,-14.64M,0.907M,-2.519M,-0.117M,,-2.784M,-16.63M,,29.45M,0.00,29.45M,3.219M,0.00,3.219M,,,,-16.97M,-3.307M,-20.28M,,-0.182M,0.338M,,4.041M,13.15M,17.19M,,3.219M,30.31M,-0.864M,-11.87M,,16.92M,,AOR,Restated
2007-09,5.015M,-0.001M,,0.00,-0.067M,,,64.83M,21.30M,,-0.51M,,0.558M,1.435M,,8.076M,-5.649M,,0.126M,2.553M,30.28M,,-64.69M,14.65M,-41.91M,-0.028M,,-1.821M,-51.89M,,40.62M,,40.62M,1.329M,0.00,1.329M,,,,-16.93M,-3.491M,-20.42M,,-0.17M,21.36M,,4.292M,-0.251M,4.041M,,1.329M,41.32M,-0.694M,0.00,,16.62M,,AOR,Restated
2007-06,5.675M,-5.387M,,0.058M,-7.416M,,,-21.85M,21.68M,,-0.509M,,,4.926M,,8.259M,5.475M,,0.652M,14.39M,38.74M,,-50.64M,13.18M,-23.53M,9.757M,-9.855M,-1.722M,-39.28M,,11.34M,1.594M,12.94M,7.206M,-0.009M,7.197M,,,,-16.90M,-3.49M,-20.39M,,-1.298M,-1.55M,,6.375M,-2.083M,4.292M,,7.206M,11.57M,-0.229M,-0.009M,,33.81M,,AOR,Restated
2007-03,11.32M,,,,,,,21.85M,21.85M,,-0.509M,,,-2.397M,,-10.16M,,,,-10.16M,20.11M,,-3.219M,0.597M,-2.622M,,9.855M,-8.228M,-0.995M,,-11.10M,-1.594M,-12.70M,14.70M,-0.114M,14.59M,,,,-16.68M,-3.491M,-20.17M,,,-18.28M,,5.545M,0.83M,6.375M,,14.70M,,-11.10M,-0.114M,,,,AOR,Restated
2006-12,4.297M,,,,,,,22.41M,22.41M,,-0.509M,,,0.784M,1.137M,-4.473M,1.137M,-4.214M,3.336M,-3.077M,23.90M,,-38.30M,0.025M,-38.28M,,0.142M,-9.115M,-47.25M,,-1.519M,-4.688M,-6.207M,46.99M,,46.99M,,,,53.41M,-3.49M,49.92M,,,21.20M,,7.689M,-2.144M,5.545M,,46.99M,0.00,-1.519M,,,,,AOR,
2006-09,5.63M,,,,,,,20.00M,20.00M,,-0.477M,,,0.855M,-9.509M,-0.047M,-9.509M,0.242M,9.556M,-9.267M,16.74M,,-90.90M,0.95M,-89.95M,,0.071M,-4.862M,-94.74M,,13.86M,61.72M,75.57M,17.98M,,17.98M,,,,-15.74M,-3.491M,-19.23M,,,74.32M,,11.37M,-3.677M,7.689M,,17.98M,14.61M,-0.751M,,,,,AOR,Restated
