,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-06,382.79M,382.79M,272.33M,110.46M,20.28M,20.28M,,,-4.207M,,38.48M,,-38.48M,,20.28M,90.18M,,38.48M,-38.48M,-1.258M,-38.48M,50.44M,0.618M,50.16M,,,-1.84M,0.922M,48.32M,52.15M,215.72M,126.79M,88.92M,,0.42,,,,0.4538,0.42,,0.42,,,,0.4538,0.42,,113.40M,113.61M,0.87,,AOR,Restated
2017-03,378.91M,378.91M,271.27M,107.64M,23.82M,23.82M,,,-6.161M,,36.58M,,-36.58M,,23.82M,83.82M,,36.58M,-36.58M,-3.523M,-36.58M,43.71M,0.651M,43.42M,,,-1.511M,0.922M,41.90M,48.05M,210.38M,130.08M,80.29M,,0.36,,,,0.4142,0.36,,0.36,,,,0.4121,0.36,,113.34M,117.86M,0.87,,AOR,Restated
2016-12,307.20M,307.20M,208.00M,99.20M,17.66M,17.66M,,,-35.50M,,33.53M,,-33.69M,,17.66M,81.54M,,33.53M,-33.69M,-5.509M,-33.69M,42.34M,0.499M,42.06M,,,-2.672M,,39.39M,43.01M,171.08M,95.21M,75.87M,,0.44,,,,0.4811,0.44,,0.44,,,,0.4811,0.44,,88.18M,88.18M,0.82,,AOR,Restated
2016-09,276.90M,276.90M,183.60M,93.29M,14.57M,14.57M,,,-5.009M,,32.17M,0.064M,-32.10M,,14.57M,78.72M,0.064M,32.17M,-32.10M,42.74M,-32.10M,89.36M,0.454M,88.91M,,,-4.627M,,84.28M,41.76M,198.49M,76.96M,121.53M,,1.12,,,,0.5553,1.12,,1.12,,,,0.5553,1.12,,75.30M,75.30M,0.82,,AOR,Restated
2016-06,272.24M,272.24M,178.70M,93.54M,15.32M,15.32M,,,1.339M,,32.04M,0.062M,-31.98M,,15.32M,78.22M,0.062M,32.04M,-31.98M,1.95M,-31.98M,48.19M,0.457M,47.63M,,,-2.486M,,45.14M,43.21M,156.19M,75.97M,80.23M,,0.60,,,,0.5743,0.60,,0.60,,,,0.5743,0.60,,75.28M,75.28M,0.82,,AOR,Restated
2016-03,269.02M,269.02M,176.01M,93.01M,15.59M,15.59M,,,-1.657M,,32.21M,0.032M,-32.18M,,15.59M,77.42M,0.032M,32.21M,-32.18M,0.725M,-32.18M,45.97M,0.288M,45.81M,,,-2.395M,,43.41M,42.69M,153.33M,75.15M,78.18M,,0.58,,,,0.5704,0.58,,0.58,,,,0.5705,0.58,,75.25M,75.49M,0.82,,AOR,Restated
2015-12,263.34M,263.34M,171.46M,91.88M,14.50M,14.50M,,,5.054M,,30.83M,,-30.83M,,14.50M,77.38M,,30.83M,-30.83M,-0.934M,-30.83M,45.62M,0.254M,45.37M,,,-2.38M,,42.99M,38.03M,150.41M,73.96M,76.45M,,0.57,0.00,,,0.5041,0.57,,0.57,0.00,,,0.5041,0.57,,75.20M,75.20M,0.77,,AOR,Restated
2015-09,262.00M,262.00M,174.70M,87.30M,13.51M,13.51M,,,-0.666M,,30.23M,,-30.23M,,13.51M,73.79M,,30.23M,-30.23M,53.78M,-30.23M,97.34M,0.512M,96.83M,,,-5.094M,,91.73M,38.06M,200.75M,73.18M,127.57M,,1.22,,,,0.5062,1.22,,1.22,,,,0.5062,1.22,,75.19M,75.19M,0.77,,AOR,Restated
2015-06,258.89M,258.89M,175.25M,83.64M,13.64M,13.64M,,,-0.652M,,30.43M,0.029M,-30.40M,,13.64M,70.00M,0.029M,30.43M,-30.40M,104.70M,-30.40M,144.29M,0.398M,143.87M,,,-7.574M,,136.30M,31.89M,249.38M,74.65M,174.73M,,1.81,,,,0.4209,1.81,,1.81,,,,0.4209,1.81,,75.17M,75.17M,0.77,,AOR,Restated
2015-03,258.55M,258.55M,173.76M,84.79M,15.06M,15.06M,,,-3.734M,,30.85M,,-30.85M,,15.06M,69.73M,,30.85M,-30.85M,26.28M,-30.85M,65.17M,0.51M,64.68M,,,-3.41M,,61.27M,34.98M,169.13M,73.12M,96.02M,,0.81,,,,0.4602,0.81,,0.81,,,,0.4602,0.81,,75.14M,75.14M,0.77,,AOR,Restated
2014-12,253.22M,253.22M,168.89M,84.33M,12.92M,12.92M,,,-2.667M,,34.86M,-0.307M,-31.68M,,12.92M,71.41M,-0.307M,34.86M,-31.68M,-2.457M,-31.68M,37.27M,0.815M,36.45M,0.012M,,-1.933M,,34.52M,36.92M,140.57M,68.43M,72.13M,,0.45,0.01,,,0.4820,0.46,,0.45,0.01,,,0.4820,0.46,,75.12M,75.12M,0.73,,AOR,Restated
2014-09,249.57M,249.57M,171.10M,78.47M,13.94M,13.94M,,,-3.203M,,28.25M,0.037M,-29.21M,,13.94M,64.53M,0.037M,28.25M,-29.21M,32.83M,-29.21M,68.14M,0.442M,70.83M,-0.108M,,-3.743M,,66.98M,34.47M,167.61M,71.21M,96.40M,,0.89,0.00,,,0.4555,0.89,,0.89,0.00,,,0.4555,0.89,,75.06M,75.06M,0.73,,AOR,Restated
2014-06,245.30M,245.30M,167.53M,77.78M,14.79M,14.79M,,,-5.188M,,30.16M,0.899M,-30.44M,,14.79M,62.98M,0.899M,30.16M,-30.44M,-1.552M,-30.44M,31.00M,0.523M,33.39M,-0.005M,,-1.773M,,31.61M,33.14M,131.79M,70.63M,61.16M,,0.42,0.00,,,0.4404,0.42,,0.42,0.00,,,0.4404,0.42,,74.95M,74.95M,0.73,,AOR,Restated
2014-03,243.49M,243.49M,187.38M,56.11M,11.35M,11.35M,,,-5.939M,,30.68M,0.16M,-31.83M,,11.35M,44.76M,0.16M,30.68M,-31.83M,-2.818M,-31.83M,10.11M,0.27M,9.819M,5.895M,,-0.848M,,14.87M,11.71M,132.26M,91.47M,40.79M,,0.12,0.08,,,0.1567,0.20,,0.12,0.08,,,0.1567,0.20,,74.80M,74.80M,0.73,,AOR,Restated
2013-12,240.36M,240.36M,184.39M,55.97M,12.75M,12.75M,,,-27.70M,,33.32M,0.38M,-30.51M,,12.75M,43.22M,0.38M,33.32M,-30.51M,-27.70M,-30.51M,-15.00M,0.224M,-15.04M,5.232M,,0.538M,,-9.272M,3.503M,105.84M,87.52M,18.33M,,-0.1994,0.0755,,,0.0409,-0.1239,,-0.1997,0.0755,,,0.0270,-0.1239,,74.96M,79.43M,0.695,,AOR,Restated
2013-09,135.41M,135.41M,88.46M,46.95M,8.946M,8.946M,,,-5.814M,,14.92M,0.016M,-15.73M,,8.946M,38.00M,0.016M,14.92M,-15.73M,-5.814M,-15.73M,16.46M,0.223M,16.30M,29.76M,,-1.772M,,44.28M,20.26M,65.30M,33.92M,31.38M,,0.37,0.67,,,0.5043,1.04,,0.37,0.67,,,0.5043,1.04,,42.70M,42.70M,0.695,,AOR,Restated
2013-06,131.80M,131.80M,85.04M,46.76M,8.612M,8.612M,,,-5.787M,,15.19M,0.023M,-15.97M,,8.612M,38.15M,0.023M,15.19M,-15.97M,-5.787M,-15.97M,16.39M,0.223M,16.21M,44.81M,0.00,-1.939M,,59.09M,19.98M,65.58M,34.00M,31.58M,,0.37,1.01,0.00,,0.5037,1.38,,0.36,1.01,0.00,,0.4937,1.37,,42.69M,42.69M,0.695,,AOR,Restated
2013-03,127.92M,127.92M,82.72M,45.20M,8.347M,8.347M,,,-0.163M,,15.54M,0.047M,-16.30M,,8.347M,36.86M,0.047M,15.54M,-16.30M,-0.163M,-16.30M,20.39M,0.223M,20.22M,1.782M,0.00,-0.825M,,21.18M,19.56M,70.17M,34.24M,35.94M,,0.46,0.04,0.00,,0.4638,0.50,,0.46,0.04,0.00,,0.4637,0.50,,42.35M,44.15M,0.695,,AOR,Restated
2012-12,122.89M,122.89M,79.60M,43.30M,8.123M,8.123M,,,-0.693M,,15.51M,0.087M,-16.36M,,8.123M,35.18M,0.087M,15.51M,-16.36M,-0.648M,-16.36M,18.16M,,17.31M,5.898M,,-0.90M,,22.31M,16.86M,68.18M,34.50M,33.67M,,0.40,0.12,,,0.4107,0.52,,0.40,0.12,,,0.4102,0.52,,42.25M,44.05M,0.66,,AOR,Restated
2012-09,123.19M,123.19M,82.27M,40.92M,8.987M,8.987M,,,-1.317M,,14.53M,0.089M,-15.41M,,8.987M,31.94M,0.089M,14.53M,-15.41M,-1.317M,-15.41M,15.21M,,15.13M,16.94M,,-1.212M,,30.87M,14.78M,63.09M,33.35M,29.74M,,0.35,0.39,,,0.3707,0.74,,0.35,0.39,,,0.3698,0.74,,41.40M,43.22M,0.66,,AOR,Restated
2012-06,119.01M,119.01M,78.97M,40.04M,9.032M,9.032M,,,-0.881M,,14.07M,0.112M,-14.83M,,9.032M,31.01M,0.112M,14.07M,-14.83M,-0.881M,-14.83M,15.30M,,15.23M,14.24M,,-1.312M,,28.16M,14.49M,62.16M,32.79M,29.37M,,0.36,0.33,,,0.3740,0.69,,0.36,0.33,,,0.3740,0.69,,40.98M,41.03M,0.66,,AOR,Restated
2012-03,116.29M,116.29M,78.06M,38.23M,8.901M,8.901M,,,0.65M,,14.11M,0.142M,-14.74M,,8.901M,29.33M,0.142M,14.11M,-14.74M,0.65M,-14.74M,15.24M,,15.21M,9.859M,,-1.178M,,23.89M,13.61M,60.90M,31.55M,29.35M,,0.37,0.23,,,0.3593,0.60,,0.37,0.23,,,0.3598,0.60,,39.50M,41.54M,0.66,,AOR,Restated
2011-12,93.05M,93.05M,144.54M,-51.50M,,8.809M,,,1.508M,,13.70M,0.203M,-16.40M,,-72.29M,20.80M,0.203M,13.70M,-16.40M,2.038M,-16.40M,,,5.113M,14.83M,,-1.187M,,18.76M,2.946M,46.94M,31.85M,15.09M,,0.13,0.37,,,0.1043,0.50,,0.12,0.37,,,0.0956,0.50,,38.14M,40.18M,0.6275,,AOR,Restated
2011-09,110.32M,110.32M,47.98M,62.34M,,8.90M,,,-1.518M,,15.18M,0.14M,-15.04M,,36.95M,25.39M,0.14M,15.18M,-15.04M,-1.625M,-15.04M,,,8.719M,5.732M,,-0.66M,,13.79M,9.046M,55.54M,30.16M,25.39M,,0.22,0.15,,,0.2465,0.37,,0.22,0.15,,,0.2451,0.37,,37.27M,39.30M,0.6275,,AOR,Restated
2011-06,107.20M,107.20M,45.72M,61.48M,,10.63M,,,-2.518M,,13.94M,0.114M,-13.83M,,37.91M,23.57M,0.114M,13.94M,-13.83M,-2.696M,-13.83M,7.039M,0.00,7.039M,0.641M,,-0.252M,,7.428M,9.305M,49.85M,28.86M,20.98M,,0.18,0.02,,,0.2484,0.20,,0.18,0.02,,,0.2447,0.20,,36.84M,38.92M,0.6275,,AOR,Restated
2011-03,104.94M,104.94M,44.33M,60.62M,,9.754M,,,-1.081M,,13.91M,0.235M,-13.68M,,36.97M,23.65M,0.235M,13.91M,-13.68M,-1.326M,-13.68M,8.641M,0.00,8.641M,0.514M,,-0.311M,,8.844M,9.411M,51.01M,28.46M,22.56M,,0.23,0.02,,,0.2603,0.25,,0.23,0.01,,,0.2585,0.24,,35.71M,37.90M,0.6275,,AOR,Restated
2010-12,83.88M,83.88M,133.44M,-49.56M,,8.208M,,,2.106M,,13.18M,0.285M,-15.52M,,-67.89M,18.33M,0.285M,13.18M,-15.52M,3.714M,-15.52M,,,5.367M,1.798M,,-0.225M,0.00,6.94M,3.773M,43.44M,28.28M,15.16M,,0.15,0.06,,,0.1101,0.21,,0.14,0.06,,,0.1003,0.20,,34.31M,34.49M,0.615,,AOR,Restated
2010-09,100.88M,100.88M,44.88M,56.00M,,7.504M,,,-1.638M,,13.59M,0.217M,-13.37M,,33.84M,22.16M,0.217M,13.59M,-13.37M,-1.92M,-13.37M,,,6.873M,0.10M,,-0.224M,0.629M,6.749M,7.714M,49.30M,27.14M,22.16M,,0.11,0.00,,,0.1420,0.11,,0.11,0.00,,,0.1419,0.11,,33.31M,33.41M,0.615,,AOR,Restated
2010-06,98.40M,98.40M,42.37M,56.02M,,7.589M,24.81M,,-2.622M,,13.98M,0.086M,-13.90M,,32.40M,23.62M,0.086M,13.98M,-13.90M,-2.92M,-13.90M,6.805M,,6.805M,0.083M,,-0.228M,2.704M,6.66M,8.281M,46.38M,25.59M,20.79M,,0.04,0.00,,,0.0956,0.04,,0.04,0.00,,,0.0954,0.04,,30.63M,30.74M,0.615,,AOR,Restated
2010-03,97.46M,97.46M,41.55M,55.91M,,7.088M,25.08M,,-0.044M,,13.89M,0.315M,-13.58M,,32.17M,23.74M,0.315M,13.89M,-13.58M,-0.32M,-13.58M,9.849M,,9.849M,0.00,,-0.437M,3.216M,9.412M,9.441M,49.42M,25.68M,23.74M,,0.21,0.00,,,0.2110,0.21,,0.21,0.00,,,0.2110,0.21,,29.13M,29.20M,0.615,,AOR,Restated
2009-12,95.32M,95.32M,-30.96M,126.28M,,7.483M,,,3.83M,,14.02M,0.076M,-13.95M,,103.50M,22.78M,0.076M,14.02M,-13.95M,3.653M,-13.95M,,,7.555M,2.225M,,-0.474M,3.216M,9.306M,4.592M,48.08M,25.30M,22.78M,,0.14,0.07,,,0.0536,0.21,,0.14,0.07,,,0.0536,0.21,,28.81M,28.82M,0.615,,AOR,Restated
2009-09,95.00M,95.00M,66.05M,28.95M,,7.17M,,,-0.728M,,14.37M,0.161M,-14.21M,,7.17M,21.78M,0.161M,14.37M,-14.21M,-1.015M,-14.21M,,,6.554M,0.324M,,-0.26M,3.216M,6.618M,6.767M,46.28M,24.50M,21.78M,,0.11,0.01,,,0.1267,0.12,,0.11,0.01,,,0.1266,0.12,,28.36M,28.44M,0.615,,AOR,Restated
2009-06,94.56M,94.56M,62.74M,31.82M,,7.189M,,,-0.836M,,14.47M,0.068M,-14.40M,,7.189M,24.63M,0.068M,14.47M,-14.40M,-0.992M,-14.40M,,,9.237M,1.481M,,-0.57M,3.217M,10.15M,9.210M,49.04M,24.41M,24.63M,,0.20,0.05,,,0.2193,0.25,,0.20,0.05,,,0.2193,0.25,,28.10M,28.18M,0.615,,AOR,Restated
2009-03,93.66M,93.66M,61.88M,31.78M,,6.698M,,,-0.749M,,14.23M,0.08M,-14.15M,,6.698M,25.09M,0.08M,14.23M,-14.15M,-0.945M,-14.15M,,,9.992M,1.853M,,-0.706M,3.216M,11.14M,9.773M,49.28M,24.19M,25.09M,,0.21,0.07,,,0.2273,0.28,,0.21,0.07,,,0.2273,0.28,,28.08M,28.16M,0.615,,AOR,Restated
2008-12,94.03M,94.03M,39.56M,54.48M,,7.014M,23.62M,,-0.38M,,15.73M,0.17M,-15.56M,,30.64M,23.84M,0.17M,15.73M,-15.56M,-0.668M,-15.56M,,,7.611M,0.578M,,-0.456M,3.216M,7.733M,7.402M,48.95M,25.11M,23.84M,,0.14,0.02,,,0.1488,0.16,,0.14,0.02,,,0.1488,0.16,,28.06M,28.17M,0.615,,AOR,Restated
2008-09,93.79M,93.79M,40.96M,52.83M,,7.226M,22.56M,,-1.72M,,15.04M,0.115M,-14.92M,,29.78M,23.05M,0.115M,15.04M,-14.92M,-1.994M,-14.92M,,,6.128M,0.386M,,-0.321M,3.216M,6.193M,6.925M,46.02M,22.97M,23.05M,,0.09,0.02,,,0.1307,0.11,,0.09,0.02,,,0.1305,0.11,,27.47M,27.60M,0.615,,AOR,Restated
2008-06,91.44M,91.44M,59.96M,31.48M,,7.218M,,,-0.07M,,15.04M,0.116M,-14.92M,,7.218M,24.26M,0.116M,15.04M,-14.92M,-0.269M,-14.92M,,,9.07M,0.087M,,-0.513M,3.217M,8.644M,8.602M,46.46M,22.20M,24.26M,,0.20,0.00,,,0.2017,0.20,,0.20,0.00,,,0.2017,0.20,,26.60M,26.76M,0.615,,AOR,Restated
2008-03,90.75M,90.75M,58.82M,31.93M,,7.178M,,,-0.586M,,16.20M,0.108M,-16.10M,,7.178M,24.75M,0.108M,16.20M,-16.10M,-0.586M,-16.10M,,,8.07M,0.141M,,-0.532M,3.216M,7.679M,7.919M,47.65M,22.90M,24.75M,,0.17,0.00,,,0.1849,0.17,,0.17,0.00,,,0.1848,0.17,,25.63M,25.80M,0.615,,AOR,Restated
2007-12,90.60M,90.60M,120.93M,-30.34M,,7.947M,,,-0.435M,,16.21M,0.047M,-16.16M,,-55.13M,24.80M,0.047M,16.21M,-16.16M,-0.435M,-16.16M,,,7.522M,0.082M,,-0.675M,3.216M,7.604M,7.212M,48.68M,23.89M,24.80M,,0.14,0.00,,0.0244,0.1511,0.14,,0.14,0.00,,0.0244,0.1511,0.14,,25.44M,25.58M,0.605,,AOR,Restated
2007-09,88.42M,88.42M,36.40M,52.02M,,6.758M,21.52M,,-0.853M,,15.89M,0.004M,-15.88M,,28.28M,23.74M,0.004M,15.89M,-15.88M,-0.853M,-15.88M,,,5.966M,5.934M,,-1.034M,3.491M,11.90M,11.42M,45.26M,21.30M,23.74M,,0.10,0.23,,-0.1932,0.1219,0.33,,0.10,0.23,,-0.1932,0.1217,0.33,,25.36M,25.51M,0.605,,AOR,Restated
2007-06,86.78M,86.78M,36.47M,50.31M,,6.936M,21.11M,,-0.068M,,16.03M,0.051M,-15.98M,,28.04M,22.27M,0.051M,16.03M,-15.98M,-0.068M,-15.98M,,,5.401M,3.717M,,-0.763M,3.49M,9.118M,8.348M,43.95M,21.68M,22.27M,,0.07,0.15,,-0.1148,0.0717,0.22,,0.07,0.15,,-0.1148,0.0717,0.22,,25.29M,25.46M,0.605,,AOR,Restated
2007-03,0.034M,84.99M,,,,2.672M,21.29M,0.561M,,,,,,31.71M,56.23M,28.76M,,,,,,,,11.06M,0.262M,,-1.038M,3.491M,11.32M,11.06M,50.61M,21.85M,28.76M,,0.30,0.01,,,0.30,0.31,,0.30,0.01,,,0.30,0.31,,25.09M,25.29M,0.605,,AOR,Restated
2006-12,86.88M,86.63M,,,4.165M,4.165M,21.88M,0.528M,0.135M,-65.38M,,,,95.64M,56.82M,29.80M,,,,0.153M,,,,4.321M,-0.024M,,-0.394M,3.49M,4.297M,4.229M,52.21M,22.41M,29.80M,,0.03,0.00,,,0.0263,0.03,,0.03,0.00,,,0.0263,0.03,,24.60M,24.81M,0.595,,AOR,
2006-09,0.053M,82.18M,,,2.555M,2.555M,19.48M,0.519M,-0.016M,,,,,32.11M,54.66M,27.52M,,,,-0.016M,,,,5.431M,0.199M,,-0.375M,3.491M,5.63M,5.441M,47.52M,20.00M,27.52M,,0.08,0.01,,,0.0804,0.09,,0.08,0.01,,,0.0804,0.09,,23.99M,24.22M,0.595,,AOR,Restated
2006-06,0.052M,79.80M,,,2.682M,2.682M,19.39M,0.504M,-0.035M,,,,,35.34M,57.91M,21.89M,,,,-0.035M,,,,5.642M,0.25M,,-0.408M,3.491M,5.892M,5.663M,41.78M,19.89M,21.89M,,0.09,0.01,,,0.0909,0.10,,0.09,0.01,,,0.0909,0.10,,23.15M,23.37M,0.595,,AOR,Restated
2006-03,0.052M,77.39M,,,,3.361M,18.64M,0.485M,,,,,,32.96M,55.44M,21.95M,,,,,,,,4.933M,0.193M,,-0.413M,3.49M,5.126M,4.933M,41.08M,19.12M,21.95M,,0.06,0.01,,,0.06,0.07,,0.06,0.01,,,0.06,0.07,,22.13M,22.37M,0.595,,AOR,Restated
2005-12,77.60M,78.97M,,,,3.206M,19.90M,0.60M,,-58.34M,,,,70.74M,36.10M,42.87M,,,,,,,,3.87M,-0.26M,,-0.442M,3.491M,3.61M,3.87M,63.37M,20.50M,42.87M,,0.02,-0.02,,,0.02,0.00,,0.02,-0.02,,,0.02,0.00,,21.79M,21.79M,0.595,,AOR,
2005-09,76.11M,74.92M,,,,2.329M,19.02M,0.462M,,-57.07M,,,,91.72M,56.46M,18.46M,,,,,,,,3.562M,0.053M,,-0.091M,3.49M,3.615M,3.562M,37.94M,19.48M,18.46M,,0.01,0.00,,,0.01,0.01,,0.01,0.00,,,0.01,0.01,,21.55M,21.84M,0.585,,AOR,Restated
