,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-06,2.761B,2.761B,,202.90M,202.90M,,,42.40M,-42.40M,207.80M,410.70M,42.40M,-42.40M,51.10M,-42.40M,340.20M,103.40M,236.80M,,,236.80M,236.80M,25.20M,382.60M,1.0,,,1.0,1.0,1.0,,,1.0,1.0,236.89M,237.32M,0.185
2016-03,2.725B,2.725B,,207.60M,207.60M,,,38.60M,-38.60M,205.60M,413.20M,38.60M,-38.60M,52.00M,-38.60M,304.20M,93.60M,210.60M,,,210.60M,210.60M,25.40M,342.80M,0.88,,,0.88,0.88,0.88,,,0.88,0.88,239.62M,239.93M,0.185
2015-12,2.722B,2.722B,,211.10M,211.10M,,,38.90M,-38.90M,209.80M,420.90M,38.90M,-38.90M,50.90M,-38.90M,316.60M,90.50M,226.10M,,,226.10M,226.10M,25.50M,355.50M,0.93,,,0.93,0.93,0.93,,,0.93,0.93,242.83M,243.73M,0.185
2015-09,2.658B,2.658B,,205.90M,205.90M,,,38.10M,-38.10M,200.10M,406.00M,38.10M,-38.10M,51.50M,-38.10M,298.90M,95.10M,203.80M,,,203.80M,203.80M,25.40M,337.00M,0.83,,,0.83,0.83,0.83,,,0.83,0.83,245.40M,246.32M,0.185
2015-06,2.704B,2.704B,,205.00M,205.00M,,,38.00M,-38.00M,210.10M,415.10M,38.00M,-38.00M,54.70M,-38.00M,319.80M,95.50M,224.30M,,,224.30M,224.30M,25.10M,357.80M,0.9,,,0.9,0.9,0.9,,,0.9,0.9,248.32M,249.19M,0.165
2015-03,2.647B,2.647B,,213.10M,213.10M,,,37.80M,-37.80M,193.40M,406.50M,37.80M,-37.80M,54.40M,-37.80M,303.00M,90.10M,212.90M,,,212.90M,212.90M,23.50M,340.80M,0.85,,,0.85,0.85,0.84,,,0.84,0.84,251.47M,252.23M,0.165
2014-12,2.639B,2.639B,,213.80M,213.80M,,,38.50M,-38.50M,265.20M,479.00M,38.50M,-38.50M,55.70M,-38.50M,-454.60M,-172.40M,-282.20M,,,-282.20M,-282.20M,21.90M,-416.10M,-1.12,,,-1.12,-1.12,-1.12,,,-1.12,-1.12,252.38M,253.26M,0.165
2014-09,2.614B,2.614B,,206.10M,206.10M,,,38.40M,-38.40M,187.10M,393.20M,38.40M,-38.40M,54.60M,-38.40M,317.00M,97.90M,219.10M,,,219.10M,219.10M,23.10M,355.40M,0.86,,,0.86,0.86,0.86,,,0.86,0.86,253.59M,254.80M,0.165
2014-06,2.657B,2.657B,,200.00M,200.00M,,,52.70M,-52.70M,190.10M,390.10M,52.70M,-52.70M,54.90M,-52.70M,349.80M,110.40M,239.40M,,,239.40M,239.40M,22.10M,402.50M,0.93,,,0.93,0.93,0.93,,,0.93,0.93,256.79M,257.91M,0.145
2014-03,2.614B,2.614B,,201.00M,201.00M,,,37.90M,-37.90M,188.80M,389.80M,37.90M,-37.90M,53.80M,-37.90M,329.80M,104.00M,225.80M,,,225.80M,225.80M,20.80M,367.70M,0.87,,,0.87,0.87,0.86,,,0.86,0.86,259.41M,260.71M,0.145
2013-12,2.601B,2.601B,,201.70M,201.70M,,,37.60M,-37.60M,191.70M,393.40M,37.60M,-37.60M,56.80M,-37.60M,320.60M,110.50M,210.10M,,,210.10M,210.10M,21.40M,358.20M,0.85,,,0.85,0.85,0.84,,,0.84,0.84,261.11M,262.52M,0.145
2013-09,2.541B,2.541B,,196.20M,196.20M,,,37.40M,-37.40M,178.20M,374.40M,37.40M,-37.40M,54.20M,-37.40M,284.10M,78.40M,205.70M,,,205.70M,205.70M,20.70M,321.50M,0.78,,,0.78,0.78,0.78,,,0.78,0.78,262.95M,264.26M,0.145
2013-06,2.602B,2.602B,,194.90M,194.90M,,,37.30M,-37.30M,187.60M,382.50M,37.30M,-37.30M,56.70M,-37.30M,311.50M,92.90M,218.60M,,,218.60M,218.60M,21.50M,348.80M,0.82,,,0.82,0.82,0.82,,,0.82,0.82,265.56M,266.74M,0.13
2013-03,2.625B,2.625B,,197.60M,197.60M,,,37.10M,-37.10M,194.00M,391.60M,37.10M,-37.10M,62.50M,-37.10M,303.80M,91.20M,212.60M,,,212.60M,212.60M,21.20M,340.90M,0.79,,,0.79,0.79,0.79,,,0.79,0.79,269.36M,270.35M,0.13
2012-12,2.658B,2.658B,,197.50M,197.50M,,,38.10M,-38.10M,210.90M,408.40M,38.10M,-38.10M,53.40M,-38.10M,322.70M,88.80M,233.90M,,,233.90M,233.90M,20.80M,360.80M,0.86,,,0.86,0.86,0.85,,,0.85,0.85,273.39M,273.55M,0.13
2012-09,2.628B,2.628B,,187.00M,187.00M,,,36.60M,-36.60M,193.40M,380.40M,36.60M,-36.60M,58.10M,-36.60M,320.40M,90.20M,230.20M,,,230.20M,230.20M,22.30M,357.00M,0.83,,,0.83,0.83,0.83,,,0.83,0.83,278.35M,278.51M,0.13
2012-06,2.618B,2.618B,,195.40M,195.40M,,,35.20M,-35.20M,196.90M,392.30M,35.20M,-35.20M,58.90M,-35.20M,296.40M,80.00M,216.40M,,,216.40M,216.40M,20.70M,331.60M,0.76,,,0.76,0.76,0.76,,,0.76,0.76,283.32M,283.74M,0.105
2012-03,2.611B,2.611B,,206.90M,206.90M,,,35.50M,-35.50M,181.70M,388.60M,35.50M,-35.50M,57.50M,-35.50M,310.00M,96.10M,213.90M,,,213.90M,213.90M,20.50M,345.50M,0.74,,,0.74,0.74,0.73,,,0.73,0.73,290.43M,291.28M,0.105
2011-12,2.605B,2.605B,,209.10M,-453.60M,,,35.20M,-35.20M,199.80M,-253.80M,35.20M,-35.20M,74.30M,-35.20M,-617.30M,-248.30M,-369.00M,,,-369.00M,-369.00M,20.90M,-582.10M,-1.2,,,-1.2,-1.2,-1.2,,,-1.2,-1.2,292.52M,293.53M,0.105
2011-09,2.546B,2.546B,220.50M,198.30M,418.80M,,,35.10M,-35.10M,193.20M,612.00M,35.10M,-35.10M,59.10M,-35.10M,288.70M,86.70M,202.00M,,,202.00M,202.00M,20.50M,323.80M,0.68,0.0,,0.68,0.68,0.68,0.0,,0.68,0.68,298.19M,299.17M,0.105
2011-06,2.564B,2.564B,217.90M,198.70M,416.60M,,,35.10M,-35.10M,291.30M,707.90M,35.10M,-35.10M,56.00M,-35.10M,334.50M,106.90M,227.60M,,,227.60M,227.60M,20.40M,369.60M,0.74,0.0,,0.74,0.74,0.74,0.0,,0.74,0.74,306.32M,307.41M,0.0925
2011-03,2.563B,2.563B,224.30M,201.90M,426.20M,,,37.90M,-37.90M,290.80M,717.00M,37.90M,-37.90M,59.70M,-37.90M,327.40M,103.80M,223.60M,,,223.60M,223.60M,19.30M,365.30M,0.72,0.0,,0.72,0.72,0.71,0.0,,0.71,0.71,290.43M,291.28M,0.0925
2010-12,2.593B,2.593B,,193.50M,-446.60M,,,39.10M,-39.10M,204.40M,-242.20M,39.10M,-39.10M,63.10M,-39.10M,324.10M,105.70M,218.40M,,,218.40M,218.40M,19.30M,363.20M,0.69,,,0.69,0.69,0.69,,,0.69,0.69,316.87M,318.37M,0.0925
2010-09,2.528B,2.528B,214.00M,194.10M,408.10M,,,35.20M,-35.20M,190.90M,599.00M,35.20M,-35.20M,58.20M,-35.20M,326.50M,105.70M,220.80M,,,220.80M,220.80M,19.10M,361.70M,0.68,0.0,,0.68,0.68,0.68,0.0,,0.68,0.68,323.08M,324.47M,0.0925
2010-06,2.511B,2.511B,207.80M,191.40M,399.20M,,,34.10M,-34.10M,339.30M,738.50M,34.10M,-34.10M,60.50M,-34.10M,308.10M,98.40M,209.70M,,,209.70M,209.70M,18.80M,342.20M,0.63,0.0,,0.63,0.63,0.63,0.0,,0.63,0.63,331.24M,332.63M,0.0825
2010-03,2.562B,2.562B,218.30M,197.30M,415.60M,,,33.40M,-33.40M,337.40M,753.00M,33.40M,-33.40M,59.80M,-33.40M,361.20M,131.40M,229.80M,,,229.80M,229.80M,18.20M,394.60M,0.69,0.0,,0.69,0.69,0.69,0.0,,0.69,0.69,332.27M,333.52M,0.0825
2009-12,2.497B,2.497B,204.90M,206.00M,410.90M,,,34.50M,-34.50M,40.90M,451.80M,34.50M,-34.50M,61.10M,-34.50M,295.90M,96.50M,199.40M,,,199.40M,199.40M,19.50M,330.40M,0.6,0.0,,0.6,0.6,0.6,0.0,,0.6,0.6,331.67M,332.99M,0.0825
2009-09,2.518B,2.518B,203.60M,201.00M,404.60M,,,27.90M,-27.90M,41.80M,446.40M,27.90M,-27.90M,61.90M,-27.90M,334.60M,113.50M,221.10M,,,221.10M,221.10M,18.90M,362.50M,0.67,0.0,,0.67,0.67,0.66,0.0,,0.66,0.66,331.41M,332.62M,0.0825
2009-06,2.628B,2.628B,212.40M,196.20M,408.60M,,,30.40M,-30.40M,44.90M,453.50M,30.40M,-30.40M,67.20M,-30.40M,411.20M,144.00M,267.20M,,,267.20M,267.20M,18.50M,441.60M,0.81,0.0,,0.81,0.81,0.8,0.0,,0.8,0.8,331.17M,331.96M,0.075
2009-03,2.449B,2.449B,-216.20M,190.10M,-26.10M,,,32.60M,-32.60M,462.50M,436.40M,32.60M,-32.60M,67.00M,-32.60M,250.60M,85.70M,164.90M,,,164.90M,164.90M,17.60M,283.20M,0.5,0.0,,0.5,0.5,0.5,0.0,,0.5,0.5,330.80M,330.96M,0.075
2008-12,2.324B,2.324B,,195.40M,195.40M,,,34.80M,-34.80M,37.70M,233.10M,34.80M,-34.80M,73.90M,-34.80M,52.50M,10.70M,41.80M,,,41.80M,41.80M,18.20M,87.30M,0.14,0.0,,0.14,0.14,0.14,0.0,,0.14,0.14,330.77M,330.91M,0.075
2008-09,2.443B,2.443B,,199.50M,199.50M,,,37.20M,-37.20M,41.50M,241.00M,37.20M,-37.20M,67.30M,-37.20M,159.80M,51.80M,108.00M,,,108.00M,108.00M,16.10M,197.00M,0.32,0.0,,0.32,0.32,0.32,0.0,,0.32,0.32,337.24M,337.91M,0.075
2008-06,2.675B,2.675B,,191.80M,191.80M,,,40.80M,-40.80M,34.50M,226.30M,40.80M,-40.80M,67.50M,-40.80M,367.00M,126.70M,240.30M,,,240.30M,240.30M,18.30M,407.80M,0.7,0.0,,0.7,0.7,0.69,0.0,,0.69,0.69,345.44M,346.04M,0.075
2008-03,2.541B,2.541B,,185.90M,185.90M,,,43.90M,-43.90M,44.70M,230.60M,43.90M,-43.90M,67.20M,-43.90M,244.70M,81.60M,163.10M,,,163.10M,163.10M,16.20M,288.60M,0.47,0.0,,0.47,0.47,0.46,0.0,,0.46,0.46,350.72M,351.47M,0.075
2007-12,2.644B,2.644B,,,91.90M,,,107.60M,-107.60M,-894.50M,-802.60M,107.60M,-107.60M,66.00M,-107.60M,225.40M,64.90M,160.50M,0.00,,160.50M,160.50M,17.60M,333.00M,0.44,0.0,,0.44,0.44,0.44,0.0,,0.44,0.44,359.88M,359.88M,0.075
2007-09,2.610B,2.610B,209.20M,,209.20M,,,43.90M,-43.90M,351.80M,561.00M,43.90M,-43.90M,66.60M,-43.90M,279.00M,92.00M,187.00M,0.00,,187.00M,187.00M,16.20M,322.90M,0.52,0.0,,0.52,0.52,0.52,0.0,,0.52,0.52,359.74M,359.74M,0.075
2007-06,2.666B,2.666B,,177.40M,177.40M,,,44.50M,-44.50M,49.30M,226.70M,44.50M,-44.50M,70.70M,-44.50M,232.90M,79.40M,153.50M,0.00,,153.50M,153.50M,15.50M,277.40M,0.44,0.0,,0.44,0.44,0.43,0.0,,0.43,0.43,350.84M,354.84M,0.075
2007-03,2.601B,2.601B,,,,,,45.90M,-45.90M,448.90M,448.90M,45.90M,-45.90M,70.80M,-45.90M,259.90M,88.50M,171.40M,6.90M,,178.30M,171.40M,16.90M,305.80M,0.5,0.02,,0.5,0.52,0.49,0.02,,0.49,0.51,342.88M,349.61M,0.075
2006-12,2.696B,2.696B,,174.80M,174.80M,,-2.70M,45.80M,-45.80M,690.40M,862.50M,45.80M,-45.80M,72.00M,-45.80M,265.60M,-8.60M,274.20M,1.90M,,276.10M,275.82M,22.00M,311.40M,0.85,0.0,,0.8549,0.85,0.82,0.0,,0.8246,0.82,330.92M,349.51M,0.075
2006-09,2.617B,2.617B,,169.60M,169.60M,,,44.20M,-44.20M,296.20M,465.80M,44.20M,-44.20M,64.80M,-44.20M,-97.40M,-32.10M,-65.30M,1.60M,,-63.70M,-65.30M,24.50M,-53.20M,-0.19,0.0,,-0.19,-0.19,-0.19,0.0,,-0.19,-0.19,335.26M,335.26M,0.075
2006-06,2.622B,2.622B,,171.00M,171.00M,,,48.70M,-48.70M,-1.521B,-1.350B,48.70M,-48.70M,63.70M,-48.70M,189.60M,66.30M,123.30M,1.90M,,125.20M,123.30M,15.20M,238.30M,0.38,0.01,,0.38,0.39,0.37,0.01,,0.37,0.38,321.03M,329.47M,0.075
2006-03,2.600B,2.600B,,,,,,53.10M,-53.10M,-1.415B,-1.415B,53.10M,-53.10M,63.80M,-53.10M,107.60M,36.20M,71.40M,2.00M,,73.40M,71.40M,18.80M,160.70M,0.24,0.01,,0.24,0.25,0.22,0.01,,0.22,0.23,293.60M,319.13M,0.075
2005-12,2.665B,2.665B,,,,3.20M,,52.50M,-52.50M,-373.00M,-369.80M,52.50M,-52.50M,109.00M,-52.50M,193.90M,56.40M,137.50M,,,137.50M,137.50M,26.80M,246.40M,0.47,0.0,,0.47,0.47,0.43,0.0,,0.43,0.43,292.26M,320.20M,0.075
2005-09,2.544B,2.544B,,,,3.90M,,49.80M,-49.80M,377.80M,381.70M,49.80M,-49.80M,115.90M,-49.80M,68.30M,15.70M,52.60M,,,52.60M,52.60M,20.50M,118.10M,0.18,0.0,,0.18,0.18,0.17,0.0,,0.17,0.17,292.22M,309.41M,0.075
2005-06,2.657B,2.657B,,,,3.90M,,52.90M,-52.90M,337.40M,341.30M,52.90M,-52.90M,103.00M,-52.90M,265.80M,94.50M,171.30M,,,171.30M,171.30M,24.10M,318.70M,0.58,0.0,,0.58,0.58,0.55,0.0,,0.55,0.55,295.34M,311.45M,0.075
2005-03,2.572B,2.572B,,,,4.10M,,52.80M,-52.80M,342.10M,346.20M,52.80M,-52.80M,112.10M,-52.80M,181.60M,29.40M,152.20M,,,152.20M,152.20M,16.40M,234.40M,0.52,0.0,,0.52,0.52,0.49,0.0,,0.49,0.49,292.69M,310.61M,0.075
2004-12,2.677B,2.677B,,,,2.20M,0.00,53.00M,-53.00M,-344.40M,-342.20M,53.00M,-53.00M,122.00M,-53.00M,142.80M,8.30M,134.50M,0.00,,134.50M,134.50M,-314.10M,195.80M,0.46,-0.01,,0.46,0.45,0.46,-0.01,,0.46,0.45,289.34M,289.34M,0.075
2004-09,2.655B,2.655B,,,,4.50M,0.00,53.40M,-53.40M,331.30M,335.80M,53.40M,-53.40M,101.30M,-53.40M,255.80M,88.20M,167.60M,0.00,,167.60M,167.60M,132.00M,309.20M,0.57,0.0,,0.57,0.57,0.55,0.0,,0.55,0.55,294.04M,304.73M,0.075
2004-06,2.509B,2.509B,,,,5.20M,0.00,51.50M,-51.50M,328.00M,333.20M,51.50M,-51.50M,106.10M,-51.50M,112.10M,37.10M,75.00M,-67.80M,,7.20M,75.00M,130.50M,163.60M,0.25,-0.23,,0.25,0.02,0.25,-0.23,,0.25,0.02,360.00M,360.00M,0.075
2004-03,2.624B,2.624B,,,,3.90M,-856.40M,49.20M,-49.20M,348.20M,-504.30M,49.20M,-49.20M,108.00M,-49.20M,-770.20M,-200.90M,-569.30M,7.00M,,-562.30M,63.72M,132.10M,-721.00M,-1.93,0.02,,0.2202,-1.91,-1.93,0.02,,0.2202,-1.91,294.40M,294.40M,0.075
2003-12,2.338B,2.338B,,,,,,,,2.092B,2.092B,,,-86.00M,,-348.00M,225.70M,-217.90M,-169.20M,,-347.20M,-178.00M,330.70M,-348.00M,-0.5822,-0.5726,,-0.5822,-1.155,-0.5822,-0.5726,,-0.5822,-1.155,261.33M,261.33M,0.075
2003-09,2.556B,2.556B,,195.40M,195.40M,9.60M,0.00,50.00M,-50.00M,111.10M,316.10M,50.00M,-50.00M,105.50M,-50.00M,147.70M,49.40M,98.30M,10.40M,,108.70M,98.30M,144.10M,197.70M,0.33,0.04,,0.33,0.37,0.33,0.03,,0.33,0.36,293.78M,301.94M,0.075
2003-06,2.529B,2.529B,,192.50M,192.50M,10.70M,0.00,45.90M,-45.90M,87.70M,290.90M,45.90M,-45.90M,109.50M,-45.90M,137.40M,43.30M,94.10M,4.40M,,98.50M,94.10M,144.50M,183.30M,0.35,0.01,,0.35,0.36,0.34,0.01,,0.34,0.36,273.61M,273.61M,0.075
2003-03,2.395B,2.395B,,190.60M,190.60M,9.80M,0.00,41.50M,-41.50M,112.30M,312.70M,41.50M,-41.50M,89.30M,-41.50M,-389.50M,-140.50M,-249.00M,2.60M,,-246.40M,-249.00M,142.50M,-348.00M,-1.03,0.01,,-1.03,-1.02,-1.03,0.01,,-1.03,-1.02,241.57M,241.57M,0.1475
2002-12,1.902B,1.902B,,,,,,42.40M,-42.40M,,,42.40M,-42.40M,-1.396B,-42.40M,574.30M,43.40M,90.80M,,0.00,102.20M,90.80M,117.20M,616.70M,0.3829,0.0772,0.0,0.3829,0.4307,0.3829,0.0772,-0.0001,0.3829,0.4307,238.73M,243.77M,0.1475
2002-09,2.450B,2.450B,,,,,,42.90M,-42.90M,,,42.90M,-42.90M,567.90M,-42.90M,0.00,61.90M,113.40M,,,113.40M,113.40M,129.30M,42.90M,0.47,0.0,,0.47,0.47,0.47,0.0,,0.47,0.47,241.45M,242.28M,0.1475
2002-06,2.402B,2.402B,,,,,,38.70M,-38.70M,,,38.70M,-38.70M,536.10M,-38.70M,0.00,50.30M,97.70M,,,97.70M,97.70M,127.80M,38.70M,0.4,0.0,,0.4,0.4,0.4,0.0,,0.4,0.4,242.54M,243.77M,0.1475
2002-03,2.330B,2.330B,,,,,,38.40M,-38.40M,,,38.40M,-38.40M,505.00M,-38.40M,0.00,40.70M,95.00M,,-7.10M,87.90M,95.00M,136.00M,38.40M,0.39,-0.03,0.0,0.39,0.36,0.39,-0.03,-0.0293,0.39,0.36,242.60M,244.12M,0.1475
2001-12,1.921B,1.921B,,,,,,41.50M,-41.50M,-100.30M,-100.30M,41.50M,-41.50M,80.00M,-41.50M,124.20M,-390.50M,82.50M,,,86.00M,82.50M,,165.70M,0.34,0.02,,0.34,0.36,0.34,0.0143,,0.34,0.34,240.05M,249.28M,0.1475
2001-09,2.377B,2.377B,,,,17.90M,,41.10M,-41.10M,243.20M,261.10M,41.10M,-41.10M,78.80M,-41.10M,193.20M,66.10M,127.10M,,,127.10M,127.10M,17.90M,234.30M,0.53,0.0,,0.53,0.53,0.52,0.0,,0.52,0.52,239.81M,244.42M,0.1475
2001-06,2.363B,2.363B,,,,,,44.20M,-44.20M,,,44.20M,-44.20M,593.20M,-44.20M,0.00,64.80M,146.10M,,,146.10M,146.10M,,44.20M,0.6,0.0,,0.6,0.6,0.6,0.0,,0.6,0.6,241.72M,244.01M,0.1475
2001-03,2.341B,2.341B,,,,17.70M,,42.80M,-42.80M,242.70M,260.40M,42.80M,-42.80M,100.70M,-42.80M,225.50M,43.50M,182.00M,,,182.00M,182.00M,17.70M,268.30M,0.75,0.0,,0.75,0.75,0.75,0.0,,0.75,0.75,242.67M,242.67M,0.1475
2000-12,1.942B,1.942B,,,,,,45.60M,-45.60M,406.70M,406.70M,45.60M,-45.60M,90.70M,-45.60M,186.70M,-503.90M,122.60M,,,124.30M,122.60M,,232.30M,0.51,0.01,,0.51,0.52,0.5,0.007,,0.5,0.5,239.18M,247.85M,0.1475
2000-09,2.312B,2.312B,,,,18.80M,,47.20M,-47.20M,247.20M,266.00M,47.20M,-47.20M,88.70M,-47.20M,208.50M,71.50M,137.00M,,,137.00M,137.00M,18.80M,255.70M,0.57,0.0,,0.57,0.57,0.57,0.0,,0.57,0.57,240.35M,240.35M,0.1475
2000-06,2.424B,2.424B,,,,17.80M,,45.10M,-45.10M,237.00M,254.80M,45.10M,-45.10M,89.00M,-45.10M,219.60M,76.50M,143.10M,,,143.10M,143.10M,17.80M,264.70M,0.59,0.0,,0.59,0.59,0.59,0.0,,0.59,0.59,242.54M,242.54M,0.1475
2000-03,2.394B,2.394B,,,,16.70M,,43.90M,-43.90M,256.80M,273.50M,43.90M,-43.90M,61.40M,-43.90M,206.40M,71.90M,134.50M,,,134.50M,134.50M,16.70M,250.30M,0.56,0.0,,0.56,0.56,0.56,0.0,,0.56,0.56,240.18M,240.18M,0.1475
1999-12,2.350B,2.350B,,,,,,37.00M,-37.00M,,,37.00M,-37.00M,-1.535B,-37.00M,-165.50M,72.70M,136.00M,,,136.00M,136.00M,,-128.50M,0.57,0.0,,0.57,0.57,0.57,0.0,,0.57,0.57,234.12M,234.12M,0.1475
