,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,273.50M,-93.00M,-93.00M,24.60M,,24.60M,24.60M,12.20M,-29.40M,-54.00M,,,,82.60M,299.90M,-29.10M,-29.10M,,148.40M,,119.30M,-15.00M,,-15.00M,1.30M,-105.70M,-104.40M,,,-52.40M,-52.40M,-15.90M,-187.70M,77.40M,231.50M,,308.90M,1.30M,,-15.00M,-105.70M
2017-12,266.90M,-65.80M,-65.80M,25.00M,,25.00M,25.00M,19.30M,17.20M,-34.60M,,,,42.10M,287.50M,-40.60M,-40.60M,,-70.20M,,-110.80M,-15.00M,0.00,-15.00M,1.30M,-94.60M,-93.30M,,,-51.90M,-51.90M,-9.20M,-169.40M,70.10M,7.30M,,77.40M,1.30M,0.00,-15.00M,-94.60M
2017-09,252.30M,57.90M,57.90M,25.00M,,25.00M,25.00M,1.30M,-213.80M,31.70M,,,,-109.20M,227.30M,-16.90M,-16.90M,,-87.90M,,-104.80M,-15.00M,0.00,-15.00M,8.00M,-100.20M,-92.20M,,,-51.80M,-51.80M,-10.40M,-169.40M,117.00M,-46.90M,,70.10M,8.00M,0.00,-15.00M,-100.20M
2017-06,245.10M,-117.80M,-117.80M,26.90M,,26.90M,26.90M,2.50M,113.00M,-31.10M,,,,182.40M,339.10M,-20.50M,-20.50M,,-136.60M,,-157.10M,-18.30M,,-18.30M,0.50M,-100.10M,-99.60M,,,-45.80M,-45.80M,-8.30M,-172.00M,107.00M,10.00M,,117.00M,0.50M,,-18.30M,-100.10M
2017-03,229.90M,-114.70M,-114.70M,26.50M,,26.50M,26.50M,4.40M,-18.20M,74.20M,,,,164.10M,310.20M,-27.30M,-27.30M,,-99.30M,,-126.60M,-15.20M,,-15.20M,1.00M,-106.90M,-105.90M,,,-46.50M,-46.50M,-9.40M,-177.00M,100.40M,6.60M,,107.00M,1.00M,,-15.20M,-106.90M
2016-12,248.00M,-81.10M,-81.10M,25.80M,,25.80M,25.80M,12.20M,-101.60M,198.90M,,,,161.80M,366.70M,-24.90M,-24.90M,-0.70M,-169.30M,,-194.90M,-15.00M,,-15.00M,4.90M,-96.10M,-91.20M,,,-46.40M,-46.40M,-6.70M,-159.30M,87.90M,12.50M,,100.40M,4.90M,0.00,-15.00M,-96.10M
2016-09,236.00M,44.50M,44.50M,25.30M,,25.30M,25.30M,12.70M,-113.80M,-45.30M,,,,-125.00M,193.50M,-18.50M,-18.50M,-128.50M,478.90M,,331.90M,-375.00M,,-375.00M,0.90M,-100.20M,-99.30M,,,-46.80M,-46.80M,-10.20M,-531.30M,93.80M,-5.90M,,87.90M,0.90M,0.00,-375.00M,-100.20M
2016-06,236.80M,-108.90M,-108.90M,25.20M,,25.20M,25.20M,7.40M,75.40M,-45.30M,,,,107.60M,268.10M,-24.40M,-24.40M,,-717.60M,,-742.00M,598.30M,,598.30M,1.00M,-100.10M,-99.10M,,,-44.20M,-44.20M,-8.00M,447.00M,120.70M,-26.90M,,93.80M,1.00M,609.10M,-10.80M,-100.10M
2016-03,210.60M,-66.40M,-66.40M,25.40M,,25.40M,25.40M,6.10M,-27.30M,52.20M,,,,117.60M,293.30M,-17.20M,-17.20M,,-93.30M,,-110.50M,-13.20M,,-13.20M,1.70M,-108.80M,-107.10M,,,-45.20M,-45.20M,-9.50M,-175.00M,112.90M,7.80M,,120.70M,1.70M,,-13.20M,-108.80M
2015-12,226.10M,-52.00M,-52.00M,25.50M,,25.50M,25.50M,6.10M,33.90M,30.80M,,,,87.00M,292.70M,-26.90M,-26.90M,0.00,-231.30M,,-258.20M,107.70M,,107.70M,3.40M,-91.70M,-88.30M,,,-45.00M,-45.00M,-5.30M,-30.90M,109.30M,3.60M,,112.90M,3.40M,271.40M,-163.70M,-91.70M
2015-09,203.80M,82.60M,82.60M,25.40M,,25.40M,25.40M,9.70M,-139.50M,84.40M,,,,-48.50M,273.00M,-20.20M,-20.20M,-54.30M,-27.60M,,-102.10M,-14.20M,,-14.20M,0.80M,-115.00M,-114.20M,,,-45.70M,-45.70M,-10.10M,-184.20M,122.60M,-13.30M,,109.30M,0.80M,,-14.20M,-115.00M
2015-06,224.30M,-105.70M,-105.70M,25.10M,,25.10M,25.10M,14.10M,85.70M,-7.10M,,,,168.50M,326.30M,-21.70M,-21.70M,,-97.40M,,-119.10M,-19.30M,,-19.30M,1.40M,-103.10M,-101.70M,,,-41.20M,-41.20M,-6.50M,-168.70M,84.10M,38.50M,,122.60M,1.40M,0.00,-19.30M,-103.10M
2015-03,212.90M,-75.20M,-75.20M,23.50M,,23.50M,23.50M,9.60M,49.20M,92.40M,,,,229.30M,400.10M,-31.40M,-31.40M,,-202.20M,,-233.60M,-29.10M,,-29.10M,0.80M,-108.10M,-107.30M,,,-42.30M,-42.30M,-6.20M,-184.90M,102.50M,-18.40M,,84.10M,0.80M,,-29.10M,-108.10M
2014-12,-282.20M,-37.50M,-37.50M,21.90M,,21.90M,21.90M,3.50M,17.70M,-146.70M,,,,573.90M,279.60M,-27.70M,-27.70M,0.00,-164.10M,,-191.70M,-6.40M,,-6.40M,8.50M,-1.90M,6.60M,,,-41.70M,-41.70M,-4.50M,-46.00M,60.60M,41.90M,,102.50M,8.50M,0.00,-6.40M,-1.90M
2014-09,219.10M,48.10M,48.10M,23.10M,,23.10M,23.10M,-18.80M,-154.90M,99.00M,,,,-53.30M,218.20M,-28.40M,-28.40M,0.00,-85.40M,,-113.80M,-5.20M,,-5.20M,0.80M,-101.40M,-100.60M,,,-42.00M,-42.00M,-8.00M,-155.80M,112.00M,-51.40M,,60.60M,0.80M,0.00,-5.20M,-101.40M
2014-06,239.40M,-116.10M,-116.10M,22.10M,,22.10M,22.10M,4.70M,101.70M,54.00M,,,,229.00M,379.10M,-30.30M,-30.30M,,4.70M,,-25.60M,-160.00M,,-160.00M,1.40M,-102.20M,-100.80M,,,-37.40M,-37.40M,-19.50M,-317.70M,76.20M,35.80M,,112.00M,1.40M,0.00,-160.00M,-102.20M
2014-03,225.80M,-106.30M,-106.30M,20.80M,,20.80M,20.80M,1.90M,14.00M,80.30M,,,,204.50M,346.70M,-28.10M,-28.10M,,-527.40M,,-555.50M,332.20M,,332.20M,1.60M,-100.50M,-98.90M,,,-38.30M,-38.30M,-4.10M,190.90M,94.10M,-17.90M,,76.20M,1.60M,347.20M,-15.00M,-100.50M
2013-12,210.10M,-92.40M,-92.40M,21.40M,,21.40M,21.40M,2.10M,29.00M,67.10M,,,,180.80M,322.00M,,,,-461.70M,77.20M,-490.00M,-15.00M,315.30M,300.30M,7.10M,-44.80M,-37.70M,,,-37.70M,-37.70M,-25.80M,199.10M,63.00M,31.10M,,94.10M,7.10M,,300.30M,-44.80M
2013-09,205.70M,77.70M,77.70M,20.70M,,20.70M,20.70M,4.50M,-130.70M,1.50M,,,,-47.40M,261.20M,,,,-81.50M,-22.50M,-104.00M,-15.00M,-13.10M,-28.10M,1.00M,-75.00M,-74.00M,,,-38.40M,-38.40M,-1.50M,-142.00M,47.80M,15.20M,,63.00M,1.00M,0.00,-28.10M,-75.00M
2013-06,218.60M,-112.00M,-112.00M,21.50M,,21.50M,21.50M,-0.50M,35.10M,-134.40M,,,,55.60M,183.20M,,,,19.10M,-28.40M,-9.30M,-15.00M,-82.70M,-97.70M,2.60M,-98.40M,-95.80M,,,-34.70M,-34.70M,0.10M,-228.10M,102.00M,-54.20M,,47.80M,2.60M,0.00,-97.70M,-98.40M
2013-03,212.60M,-106.40M,-106.40M,21.20M,,21.20M,21.20M,1.10M,-130.10M,63.50M,,,,136.60M,265.10M,,,,210.20M,-26.10M,184.10M,-71.20M,-219.50M,-290.70M,0.70M,-99.00M,-98.30M,,,-35.70M,-35.70M,0.20M,-424.50M,77.30M,24.70M,,102.00M,0.70M,0.00,-290.70M,-99.00M
2012-12,233.90M,-85.20M,-85.20M,20.80M,,20.80M,20.80M,17.80M,31.40M,59.10M,,,,238.50M,425.80M,,,,-68.40M,73.80M,-100.00M,-24.40M,-146.00M,-170.40M,0.70M,-96.20M,-95.50M,,,-35.70M,-35.70M,-0.50M,-302.10M,53.60M,23.70M,,77.30M,0.70M,0.00,-24.40M,-96.20M
2012-09,230.20M,21.50M,21.50M,22.30M,,22.30M,22.30M,6.30M,-61.60M,57.90M,,,,-5.60M,274.70M,,,,-319.90M,-29.10M,-349.00M,235.00M,-8.80M,226.20M,1.30M,-100.20M,-98.90M,,,-36.50M,-36.50M,-0.90M,89.90M,38.00M,15.60M,,53.60M,1.30M,246.40M,-11.40M,-100.20M
2012-06,216.40M,-100.50M,-100.50M,20.70M,,20.70M,20.70M,-1.10M,69.00M,20.90M,,,,214.30M,349.80M,,,,-318.20M,-20.90M,-339.10M,-16.70M,94.90M,78.20M,2.00M,-125.10M,-123.10M,,,-30.20M,-30.20M,-0.10M,-75.20M,102.50M,-64.50M,,38.00M,2.00M,,-16.70M,-125.10M
2012-03,213.90M,-113.30M,-113.30M,20.50M,,20.50M,20.50M,8.60M,1.60M,48.70M,,,,199.60M,329.30M,,,,-158.10M,-23.70M,-181.80M,-17.50M,59.90M,42.40M,0.90M,-175.20M,-174.30M,,,-31.40M,-31.40M,1.70M,-161.60M,116.60M,-14.10M,,102.50M,0.90M,,-17.50M,-175.20M
2011-12,-369.00M,-248.00M,-248.00M,20.90M,,20.90M,20.90M,398.40M,82.80M,-218.40M,,,-37.90M,602.70M,405.00M,,,,-247.20M,76.10M,-269.30M,-17.50M,-30.10M,-47.60M,7.20M,0.00,7.20M,,,,-30.70M,-0.30M,-71.40M,52.20M,64.30M,0.10M,116.60M,7.20M,0.00,-17.50M,0.00
2011-09,202.00M,239.70M,239.70M,60.20M,,20.50M,20.50M,-207.00M,-134.20M,-59.90M,,,37.90M,-82.20M,173.00M,,,,-68.30M,-26.50M,-94.80M,-17.50M,202.00M,184.50M,0.70M,-250.20M,-249.50M,,,,-32.00M,-0.10M,-97.10M,71.20M,-18.90M,-0.10M,52.20M,0.70M,0.00,67.20M,-250.20M
2011-06,227.60M,-212.20M,-212.20M,,,20.40M,20.40M,-2.20M,54.60M,22.40M,,,,281.10M,314.70M,,,,-209.40M,-24.80M,-234.20M,-25.20M,140.40M,115.20M,1.40M,-154.00M,-152.60M,,,,-28.40M,-0.10M,-65.90M,56.60M,14.60M,,71.20M,1.40M,,115.20M,-154.00M
2011-03,223.60M,-15.20M,-15.20M,,,19.30M,19.30M,6.80M,33.80M,49.90M,,,,66.50M,301.00M,,,,212.60M,-24.60M,188.00M,-24.20M,-225.10M,-249.30M,5.50M,-215.70M,-210.20M,,,,-29.90M,3.40M,-486.00M,53.60M,3.00M,,56.60M,5.50M,,-249.30M,-215.70M
2010-12,218.40M,-303.70M,-303.70M,,,19.30M,19.30M,231.00M,45.80M,100.70M,,,-124.50M,118.00M,283.00M,,,,-221.10M,-9.70M,-230.80M,-15.60M,0.00,-15.60M,0.60M,-32.00M,-31.40M,,,,-29.40M,-0.80M,-77.20M,78.60M,-25.00M,,53.60M,0.60M,0.00,-15.60M,-32.00M
2010-09,220.80M,-1.10M,-1.10M,,,19.10M,19.10M,-244.50M,-87.60M,-102.50M,,,124.50M,251.10M,245.40M,,,,-453.20M,39.40M,-413.80M,391.90M,0.00,391.90M,0.70M,-196.40M,-195.70M,,,,-30.20M,-0.40M,165.60M,81.30M,-2.80M,0.10M,78.60M,0.70M,396.90M,-5.00M,-196.40M
2010-06,209.70M,29.50M,29.50M,,,18.80M,18.80M,1.10M,24.40M,42.60M,,,,127.70M,386.80M,,,,-62.60M,-116.60M,-179.20M,-24.40M,0.00,-24.40M,1.70M,-127.60M,-125.90M,,,,-27.50M,-0.10M,-177.90M,51.70M,29.70M,-0.10M,81.30M,1.70M,,-24.40M,-127.60M
2010-03,229.80M,-25.60M,-25.60M,,,18.20M,18.20M,0.90M,19.10M,24.00M,,,,58.30M,281.60M,,,,-226.70M,-23.20M,-249.90M,-33.30M,0.00,-33.30M,7.00M,0.00,7.00M,,,,-27.70M,2.40M,-51.60M,71.60M,-19.90M,,51.70M,7.00M,,-33.30M,0.00
2009-12,199.40M,25.90M,25.90M,19.50M,,19.50M,19.50M,-25.80M,35.90M,39.30M,,,,164.40M,383.40M,,,,-443.60M,-31.40M,-475.00M,-30.60M,0.00,-30.60M,1.70M,0.00,1.70M,,,,-27.40M,-1.00M,-57.30M,220.60M,-148.90M,-0.10M,71.60M,1.70M,0.00,-30.60M,0.00
2009-09,221.10M,-14.90M,-14.90M,18.90M,,18.90M,18.90M,-76.10M,12.40M,38.70M,,,,96.50M,245.50M,,,,-305.00M,-27.30M,-332.30M,326.40M,-45.00M,281.40M,4.60M,0.00,4.60M,,,,-27.20M,0.00,258.80M,48.70M,172.00M,-0.10M,220.60M,4.60M,346.80M,-65.40M,0.00
2009-06,267.20M,-87.30M,-87.30M,18.50M,,18.50M,18.50M,-41.80M,7.30M,-25.50M,,,,160.60M,317.20M,,,,-106.10M,-23.00M,-129.10M,-4.10M,-161.90M,-166.00M,1.00M,0.00,1.00M,,,,-24.90M,0.00,-189.90M,50.10M,-1.80M,0.40M,48.70M,1.00M,-16.40M,-149.60M,0.00
2009-03,164.90M,64.60M,64.60M,17.60M,,17.60M,17.60M,-63.20M,58.30M,-11.70M,,,,107.00M,290.90M,,,,-252.60M,-24.90M,-277.50M,-4.70M,16.40M,11.70M,0.70M,,0.70M,,,,-25.00M,-0.50M,-13.10M,49.90M,0.30M,-0.10M,50.10M,0.70M,16.40M,-4.70M,
2008-12,41.80M,257.70M,257.70M,18.20M,,18.20M,18.20M,-48.60M,86.00M,-91.50M,,,,35.40M,304.50M,,,0.00,-197.10M,-26.80M,-223.90M,-26.50M,-94.70M,-121.20M,0.80M,0.00,0.80M,,,,-24.80M,10.10M,-135.10M,99.30M,-54.50M,5.10M,49.90M,0.80M,0.00,-121.20M,0.00
2008-09,108.00M,165.80M,165.80M,16.10M,,16.10M,16.10M,-116.00M,-33.70M,-4.80M,,,,146.40M,320.30M,,,0.00,66.80M,-22.20M,44.60M,-12.80M,35.00M,22.20M,1.40M,-350.00M,-348.60M,,,,-26.10M,-0.80M,-353.30M,94.10M,11.60M,-6.40M,99.30M,1.40M,0.00,22.20M,-350.00M
2008-06,240.30M,-26.10M,-26.10M,18.30M,,18.30M,18.30M,-65.10M,28.80M,-14.20M,,,,259.50M,426.90M,,,48.80M,-282.40M,-23.60M,-257.20M,-49.50M,-85.00M,-134.50M,1.30M,0.00,1.30M,,,,-25.90M,-1.50M,-160.60M,84.80M,9.10M,0.20M,94.10M,1.30M,,-134.50M,0.00
2008-03,163.10M,68.50M,68.50M,16.20M,,16.20M,16.20M,-77.20M,-3.90M,-67.30M,,,,103.80M,274.40M,,,,30.30M,-18.50M,11.80M,-17.50M,0.00,-17.50M,0.90M,-350.00M,-349.10M,,,,-26.70M,-7.20M,-400.50M,199.10M,-114.30M,0.00,84.80M,0.90M,0.00,-17.50M,-350.00M
2007-12,160.50M,65.20M,65.20M,17.60M,,17.60M,17.60M,-164.50M,104.50M,148.20M,,,,416.20M,495.00M,,,0.00,-578.80M,-22.60M,-601.40M,195.80M,0.00,195.80M,0.40M,,0.40M,,,,-27.00M,-8.20M,161.00M,144.60M,54.60M,-0.10M,199.10M,0.40M,800.00M,-604.20M,
2007-09,187.00M,6.70M,6.70M,16.20M,,16.20M,16.20M,243.20M,179.60M,-83.70M,,,,185.50M,638.60M,,,0.00,-573.20M,-19.00M,-592.20M,-1.70M,0.00,-1.70M,0.50M,0.00,0.50M,,,,-27.00M,-0.90M,-29.10M,126.80M,17.30M,0.50M,144.60M,0.50M,,-1.70M,0.00
2007-06,153.50M,-6.70M,-6.70M,15.50M,,15.50M,15.50M,-217.30M,-48.00M,-118.70M,,,,391.50M,336.50M,,,0.00,-562.50M,-21.70M,-584.20M,-33.80M,0.00,-33.80M,304.50M,,304.50M,,,,-25.60M,-6.90M,238.20M,135.50M,-9.50M,0.80M,126.80M,304.50M,0.00,-33.80M,
2007-03,178.30M,,,16.90M,,16.90M,16.90M,36.40M,-0.60M,49.20M,,,,48.60M,280.20M,,,98.80M,-152.10M,-23.90M,-77.20M,-164.00M,,-164.00M,2.40M,0.00,2.40M,,,,-25.60M,-1.70M,-188.90M,121.30M,14.10M,0.10M,135.50M,2.40M,,-164.00M,0.00
2006-12,276.10M,,,14.00M,,22.00M,22.00M,-397.50M,62.20M,283.10M,62.20M,283.10M,,680.10M,580.70M,,,0.00,-532.50M,-15.40M,-547.90M,99.20M,,99.20M,0.80M,,0.80M,,,,-25.50M,-10.20M,64.30M,23.10M,97.10M,1.10M,121.30M,0.80M,,-32.90M,
2006-09,-63.70M,,,24.50M,,24.50M,24.50M,-659.80M,42.80M,408.40M,70.30M,408.40M,,890.80M,191.80M,,,0.00,-472.00M,274.80M,-197.20M,-0.50M,,-0.50M,1.60M,,1.60M,,,,-25.60M,-1.90M,-26.40M,55.40M,-31.80M,-0.50M,23.10M,1.60M,,-0.50M,
2006-06,125.20M,,,15.20M,,15.20M,15.20M,-902.40M,-34.50M,615.20M,-67.30M,628.20M,,1.158B,395.70M,,,0.00,-413.90M,-216.60M,-630.50M,-301.40M,,-301.40M,576.00M,,576.00M,,,,-22.30M,-20.90M,231.40M,58.20M,-3.40M,0.60M,55.40M,576.00M,,-301.40M,
2006-03,73.40M,,,18.80M,,18.80M,18.80M,179.90M,-5.30M,13.00M,,,,-8.40M,263.70M,,,0.00,259.60M,-106.00M,153.60M,-404.40M,,-404.40M,1.60M,,1.60M,,,,-22.20M,-1.30M,-426.30M,67.10M,-9.00M,0.10M,58.20M,1.60M,,-404.40M,
2005-12,137.50M,,,-440.10M,466.90M,26.80M,26.80M,-2.453B,-113.10M,1.269B,,,,2.846B,557.10M,,,-3.50M,-1.822B,897.90M,-927.30M,399.20M,0.00,399.20M,10.10M,,10.10M,,,,-22.20M,-10.60M,376.50M,63.70M,6.30M,-0.60M,69.40M,10.10M,400.20M,226.00M,
2005-09,52.60M,,,16.60M,3.90M,20.50M,20.50M,91.90M,160.00M,-8.10M,,,,151.90M,316.90M,,,8.80M,716.60M,-847.40M,-122.00M,-0.20M,-200.00M,-200.20M,2.10M,,2.10M,,,,-22.20M,-5.30M,-225.60M,94.90M,-30.70M,-0.50M,63.70M,2.10M,0.80M,-201.00M,
2005-06,171.30M,,,16.10M,8.00M,24.10M,24.10M,193.60M,-85.20M,38.60M,,,,-46.60M,342.40M,,,,-297.10M,18.30M,-278.80M,-0.40M,-2.00M,-2.40M,5.90M,,5.90M,,,,-22.10M,-9.40M,-28.00M,60.50M,35.60M,-1.20M,94.90M,5.90M,0.70M,-3.10M,
2005-03,152.20M,,,16.40M,,16.40M,16.40M,152.60M,-54.60M,20.60M,,,,-34.00M,287.20M,,,,-306.60M,1.40M,-305.20M,-3.50M,-25.00M,-28.50M,,,,,,,-22.20M,-1.20M,-51.90M,130.70M,-69.90M,-0.30M,60.50M,,0.80M,-29.30M,
2004-12,134.50M,,,,,-314.10M,-314.10M,-1.966B,,,,,,,443.20M,,,-32.40M,-369.60M,-15.60M,-417.60M,-1.00M,0.00,-1.00M,1.10M,,1.10M,,,,-22.10M,-5.10M,-27.10M,130.10M,-1.50M,2.10M,130.70M,1.10M,1.00M,-2.00M,
2004-09,167.60M,,,,,132.00M,132.00M,-448.40M,,,,,,,-148.80M,,,32.40M,162.20M,-4.60M,190.00M,-1.30M,0.00,-1.30M,0.40M,,0.40M,,,,-22.00M,-7.20M,-30.10M,119.20M,10.70M,-0.20M,130.10M,0.40M,0.70M,-2.00M,
2004-06,7.20M,,,,,130.50M,130.50M,37.20M,,,,,,,174.90M,,,-32.40M,-401.50M,-18.40M,-452.30M,298.30M,0.00,298.30M,4.20M,,4.20M,,,,-22.20M,-14.80M,265.50M,131.30M,-11.50M,-0.20M,119.20M,4.20M,300.80M,-2.50M,
2004-03,-562.30M,,,,,132.10M,132.10M,707.90M,,,,,,,277.70M,,,18.80M,-252.50M,-6.10M,-239.80M,-3.60M,0.00,-3.60M,,,,,,,-22.10M,-0.70M,-26.40M,119.20M,11.50M,0.60M,131.30M,,1.20M,-4.80M,
2003-12,-347.20M,,,,,330.70M,330.70M,-907.60M,,749.60M,,749.60M,,1.411B,487.00M,,,-152.50M,1.642B,-1.926B,-436.50M,-2.30M,-20.00M,-22.30M,3.00M,,3.00M,,,,-22.30M,-8.00M,-49.60M,114.20M,0.90M,4.10M,119.20M,3.00M,-0.60M,-21.70M,
2003-09,108.70M,,,,,144.10M,144.10M,-535.30M,,429.50M,,429.50M,,688.40M,405.90M,,,0.00,-371.50M,-10.50M,-382.00M,-4.40M,0.00,-4.40M,0.40M,,0.40M,,,,-22.10M,0.00,-26.10M,117.10M,-2.20M,-0.70M,114.20M,0.40M,1.80M,-6.20M,
2003-06,98.50M,,,,,144.50M,144.50M,-445.30M,,451.40M,,451.40M,,720.30M,518.00M,,,0.00,-1.435B,-7.10M,-1.442B,574.80M,-187.20M,387.60M,548.50M,,548.50M,,,,-18.10M,-17.30M,900.70M,138.40M,-23.30M,2.00M,117.10M,548.50M,577.00M,-189.40M,
2003-03,-246.40M,,,,,142.50M,142.50M,-1.395B,,806.60M,,806.60M,,1.433B,-65.70M,,,-110.00M,45.10M,217.50M,152.60M,-7.60M,-47.80M,-55.40M,,,,,,,-35.60M,0.80M,-90.20M,142.20M,-3.30M,-0.50M,138.40M,,1.80M,-57.20M,
2002-12,102.20M,,,,,117.20M,117.20M,-772.40M,,399.30M,,399.30M,,1.156B,602.80M,,,0.00,-423.80M,-102.50M,-526.30M,0.00,1.30M,1.30M,4.10M,0.00,4.10M,,,,-35.50M,-13.20M,-43.30M,112.80M,33.20M,2.20M,142.20M,4.10M,0.00,,0.00
2002-09,113.40M,,,,,129.30M,129.30M,4.30M,,145.90M,,145.90M,,118.40M,365.40M,,,0.00,-389.90M,76.80M,-313.10M,0.00,-0.10M,-0.10M,0.00,0.00,0.00,,,,-35.70M,0.50M,-35.30M,95.40M,17.00M,0.40M,112.80M,0.00,0.00,,0.00
