,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,308.90M,712.60M,1.022B,6.552B,,6.552B,7.574B,508.40M,348.90M,,348.90M,5.774B,45.21B,,52.49B,63.01B,61.30M,382.20M,443.50M,443.50M,200.00M,,200.00M,200.00M,643.50M,2.722B,2.722B,128.90M,128.90M,,432.80M,,,3.284B,53.51B,30.50M,9.778B,2.302B,2.529B,,,,,-82.40M,9.500B
2017-12,77.40M,1.155B,1.232B,6.545B,,6.545B,7.777B,504.80M,338.60M,27.90M,366.50M,5.784B,46.61B,0.00,53.87B,64.01B,2.90M,396.20M,399.10M,399.10M,199.90M,,199.90M,199.90M,599.00M,2.738B,2.738B,199.00M,199.00M,,373.10M,,,3.310B,54.44B,30.50M,9.542B,2.303B,2.429B,,,,,127.50M,9.575B
2017-09,70.10M,1.046B,1.117B,6.591B,,6.591B,7.708B,489.90M,338.20M,,338.20M,5.713B,46.47B,,53.64B,63.81B,40.70M,398.30M,439.00M,439.00M,199.90M,,199.90M,199.90M,638.90M,2.754B,2.754B,231.80M,231.80M,,430.10M,,,3.416B,54.36B,30.40M,9.327B,2.295B,2.328B,,,,,124.30M,9.449B
2017-06,117.00M,1.121B,1.238B,6.480B,,6.480B,7.718B,497.10M,337.10M,,337.10M,5.491B,46.24B,,53.19B,63.38B,3.50M,404.80M,408.30M,408.30M,,,,,408.30M,2.968B,2.968B,247.30M,247.30M,,456.90M,,,3.673B,54.06B,30.40M,9.127B,2.283B,2.228B,,,,,104.90M,9.317B
2017-03,107.00M,772.40M,879.40M,6.538B,,6.538B,7.418B,501.20M,335.70M,,335.70M,5.516B,45.40B,,52.37B,62.52B,65.30M,397.60M,462.90M,462.90M,,,,,462.90M,2.985B,2.985B,188.50M,188.50M,,419.50M,,,3.593B,53.42B,30.40M,8.927B,2.277B,2.128B,,,,,0.40M,9.107B
2016-12,100.40M,780.00M,880.40M,6.470B,,6.470B,7.350B,500.60M,335.10M,31.90M,367.00M,5.502B,45.00B,,51.95B,61.94B,20.60M,406.00M,426.60M,426.60M,,,,,426.60M,2.999B,2.999B,130.30M,130.30M,,363.70M,,,3.493B,52.97B,30.40M,8.744B,2.273B,2.028B,,,,,-51.00M,8.968B
2016-09,87.90M,755.60M,843.50M,6.472B,,6.472B,7.315B,509.70M,336.80M,,336.80M,5.403B,47.07B,,53.97B,63.91B,,440.10M,440.10M,440.10M,,,,,440.10M,3.020B,3.020B,358.50M,358.50M,,427.80M,,,3.806B,54.54B,30.30M,8.542B,2.263B,1.925B,,,,,450.70M,9.361B
2016-06,93.80M,1.402B,1.496B,6.456B,,6.456B,7.952B,510.90M,226.70M,,226.70M,5.258B,47.26B,,53.88B,63.85B,29.60M,450.20M,479.80M,479.80M,350.70M,,350.70M,350.70M,830.50M,3.043B,3.043B,315.80M,315.80M,,457.50M,,,3.816B,54.70B,30.30M,8.353B,2.259B,1.825B,,,,,339.80M,9.157B
2016-03,120.70M,743.30M,864.00M,6.460B,,6.460B,7.324B,515.20M,229.80M,,229.80M,5.225B,45.44B,,52.05B,61.97B,54.10M,425.90M,480.00M,480.00M,351.40M,,351.40M,351.40M,831.40M,2.442B,2.442B,233.30M,233.30M,,433.80M,,,3.110B,53.05B,30.30M,8.161B,2.254B,1.725B,,,,,200.70M,8.920B
2015-12,112.90M,807.30M,920.20M,6.324B,,6.324B,7.244B,523.90M,230.90M,24.00M,254.90M,5.279B,44.16B,,50.83B,60.56B,6.00M,415.40M,421.40M,421.40M,352.00M,,352.00M,352.00M,773.40M,2.449B,2.449B,91.80M,91.80M,,384.20M,,,2.925B,51.90B,30.30M,7.995B,2.247B,1.625B,,,,,16.10M,8.664B
2015-09,109.30M,598.10M,707.40M,6.392B,,6.392B,7.099B,529.60M,232.10M,,232.10M,5.332B,45.00B,,51.75B,61.50B,5.70M,410.40M,416.10M,416.10M,506.10M,,506.10M,506.10M,922.20M,2.217B,2.217B,73.40M,73.40M,,452.80M,,,2.743B,52.92B,30.20M,7.814B,2.239B,1.524B,,,,,22.00M,8.581B
2015-06,122.60M,762.80M,885.40M,6.430B,,6.436B,7.321B,535.70M,198.80M,,198.80M,5.105B,45.33B,,51.82B,61.71B,,409.90M,409.90M,409.90M,151.90M,,151.90M,151.90M,561.80M,2.581B,2.581B,41.20M,41.20M,,489.60M,,,3.112B,53.19B,30.20M,7.656B,2.236B,1.409B,,,,,3.40M,8.516B
2015-03,84.10M,706.70M,790.80M,6.540B,,6.540B,7.330B,537.50M,198.20M,,198.20M,5.180B,46.56B,,53.13B,63.01B,39.10M,,39.10M,39.10M,151.90M,,151.90M,151.90M,191.00M,2.603B,2.603B,173.30M,173.30M,,439.60M,,,3.216B,54.33B,30.20M,7.473B,2.231B,1.306B,,,,,260.40M,8.688B
2014-12,102.50M,974.30M,1.077B,6.541B,,6.611B,7.687B,531.70M,198.70M,15.20M,213.90M,5.163B,46.04B,,52.59B,62.45B,,73.80M,73.80M,73.80M,151.90M,,151.90M,151.90M,225.70M,2.629B,2.629B,62.00M,62.00M,,396.60M,,,3.087B,53.93B,30.20M,7.302B,2.221B,1.198B,,,,,166.40M,8.522B
2014-09,60.60M,942.40M,1.003B,6.518B,,6.518B,7.521B,531.40M,200.70M,,200.70M,5.163B,45.66B,,52.25B,61.96B,10.20M,,10.20M,10.20M,,,,,10.20M,2.854B,2.854B,432.70M,432.70M,,472.80M,,,3.759B,52.72B,36.10M,8.658B,2.651B,2.650B,,,,,548.60M,9.244B
2014-06,112.00M,1.047B,1.159B,6.496B,,6.496B,7.655B,528.30M,201.30M,,201.30M,5.046B,45.95B,,52.40B,62.22B,14.60M,,14.60M,14.60M,,,,,14.60M,2.849B,2.849B,419.70M,419.70M,,521.50M,,,3.791B,52.97B,36.10M,8.479B,2.646B,2.549B,,,,,631.90M,9.244B
2014-03,76.20M,1.190B,1.266B,6.502B,,6.502B,7.768B,519.40M,201.00M,,201.00M,5.112B,44.86B,,51.35B,61.08B,17.30M,,17.30M,17.30M,,,,,17.30M,3.010B,3.010B,312.60M,312.60M,,472.20M,,,3.795B,52.12B,36.10M,8.274B,2.641B,2.449B,,,,,454.40M,8.956B
2013-12,94.10M,913.40M,1.008B,6.454B,,6.505B,7.512B,511.90M,200.90M,19.00M,219.90M,5.091B,43.26B,,49.71B,59.40B,,,,,0.00,,0.00,0.00,0.00,2.612B,2.612B,144.30M,144.30M,,413.80M,,,3.170B,50.74B,36.10M,8.083B,2.634B,2.349B,,,,,255.00M,8.659B
2013-09,63.00M,941.00M,1.004B,6.522B,,6.553B,7.557B,508.80M,201.70M,,201.70M,5.019B,43.54B,,49.90B,59.59B,0.00,,0.00,0.00,,,,,0.00,2.772B,2.772B,186.30M,186.30M,,483.20M,,,3.441B,50.92B,36.00M,7.900B,2.624B,2.299B,,,,,409.60M,8.670B
2013-06,47.80M,867.80M,915.60M,6.515B,,6.524B,7.439B,504.70M,201.00M,,201.00M,4.848B,43.46B,,49.64B,59.37B,0.00,,0.00,0.00,,,,,0.00,2.798B,2.798B,101.40M,101.40M,,517.30M,,,3.416B,50.99B,36.00M,7.732B,2.620B,2.224B,,,,,216.70M,8.381B
2013-03,102.00M,1.200B,1.302B,6.594B,,6.594B,7.896B,499.00M,200.90M,,200.90M,4.872B,45.64B,,51.83B,61.61B,77.80M,,77.80M,77.80M,,,,,77.80M,2.910B,2.910B,232.50M,232.50M,,477.90M,,,3.621B,53.05B,36.00M,7.548B,2.613B,2.126B,,,,,485.70M,8.558B
2012-12,77.30M,1.460B,1.538B,6.475B,,6.475B,8.013B,501.60M,201.70M,23.50M,225.20M,4.846B,46.43B,,52.61B,62.24B,54.20M,,54.20M,54.20M,,,,,54.20M,3.211B,3.211B,269.40M,269.40M,,426.70M,,,3.907B,53.62B,36.00M,7.372B,2.608B,2.031B,,,,,628.00M,8.613B
2012-09,53.60M,1.590B,1.644B,1.705B,,1.705B,3.349B,497.70M,201.60M,,201.60M,4.782B,46.33B,,52.46B,62.12B,47.50M,,47.50M,47.50M,,458.30M,458.30M,458.30M,505.80M,2.782B,2.782B,347.20M,347.20M,44.54B,497.20M,,,48.16B,53.45B,36.00M,7.173B,2.604B,1.931B,892.20M,-423.60M,-78.60M,400.30M,790.30M,8.673B
2012-06,38.00M,1.442B,1.480B,1.692B,,1.692B,3.172B,492.20M,201.30M,,201.30M,4.701B,44.96B,,50.99B,60.68B,31.40M,,31.40M,31.40M,,467.10M,467.10M,467.10M,498.50M,2.540B,2.540B,256.20M,256.20M,1.461B,535.00M,,,4.792B,52.29B,36.00M,6.980B,2.600B,1.830B,708.50M,,-108.00M,,600.50M,8.386B
2012-03,102.50M,1.441B,1.544B,1.714B,,1.714B,3.258B,497.40M,201.50M,,201.50M,4.665B,43.85B,,49.86B,59.57B,98.40M,,98.40M,98.40M,,372.20M,372.20M,372.20M,470.60M,2.553B,2.553B,88.90M,88.90M,1.470B,490.40M,,,4.603B,51.39B,35.90M,6.794B,2.600B,1.705B,544.80M,,-89.40M,,455.40M,8.180B
2011-12,116.60M,1.424B,1.540B,6.527B,,6.527B,8.067B,493.30M,201.20M,30.30M,231.50M,4.664B,43.91B,,49.91B,59.56B,38.20M,,38.20M,38.20M,,,,,38.20M,2.882B,2.882B,44.70M,44.70M,,433.20M,,,3.360B,51.39B,35.90M,6.611B,2.591B,1.530B,,-444.10M,-117.60M,1.024B,461.80M,8.170B
2011-09,52.20M,1.036B,1.088B,1.680B,,1.680B,2.768B,492.10M,201.20M,,201.20M,4.682B,43.47B,,49.51B,60.04B,82.60M,,82.60M,82.60M,,342.40M,342.40M,342.40M,425.00M,2.586B,2.586B,795.30M,795.30M,41.63B,493.50M,,,45.51B,50.58B,35.80M,7.487B,2.581B,1.530B,885.60M,-303.60M,-116.90M,421.10M,886.20M,9.460B
2011-06,71.20M,928.60M,999.80M,1.690B,,1.690B,2.690B,487.20M,201.60M,,201.60M,4.525B,41.70B,,47.57B,58.02B,124.40M,,124.40M,124.40M,,140.40M,140.40M,140.40M,264.80M,2.589B,2.589B,507.60M,507.60M,1.527B,533.10M,,,5.157B,48.93B,35.80M,7.314B,2.577B,1.280B,518.80M,,-82.80M,,436.00M,9.083B
2011-03,56.60M,600.90M,657.50M,1.674B,,1.674B,2.331B,482.70M,201.50M,,201.50M,4.534B,40.92B,,46.79B,57.12B,181.40M,,181.40M,181.40M,,0.00,0.00,0.00,181.40M,2.605B,2.605B,471.20M,471.20M,1.529B,474.40M,,,5.079B,48.13B,35.80M,7.112B,2.572B,1.134B,481.20M,,-84.10M,,397.10M,8.984B
2010-12,53.60M,1.163B,1.217B,1.666B,,1.666B,2.882B,476.80M,201.20M,,201.20M,4.513B,41.20B,,47.04B,57.31B,135.70M,,135.70M,135.70M,,225.10M,225.10M,225.10M,360.80M,2.631B,2.631B,417.20M,417.20M,1.565B,436.70M,,,5.050B,48.36B,36.50M,7.061B,2.615B,1.110B,452.80M,,-110.90M,,341.90M,8.944B
2010-03,51.70M,662.10M,713.80M,1.727B,,1.727B,2.441B,447.10M,200.90M,,200.90M,4.274B,39.38B,,44.91B,55.00B,229.60M,,229.60M,229.60M,,225.10M,225.10M,225.10M,454.70M,2.291B,2.291B,379.10M,379.10M,1.584B,479.80M,,,4.734B,46.22B,36.50M,6.492B,2.603B,754.20M,543.90M,,-141.00M,,402.90M,8.780B
2009-12,71.60M,865.50M,937.10M,1.732B,,1.732B,2.670B,443.50M,201.60M,,201.60M,4.282B,38.78B,,44.32B,54.48B,114.50M,,114.50M,114.50M,,0.00,0.00,0.00,114.50M,2.550B,2.550B,273.20M,273.20M,1.737B,452.00M,,,5.012B,45.98B,36.40M,6.290B,2.587B,754.20M,419.70M,,-78.70M,,341.00M,8.500B
2009-09,220.60M,1.036B,1.257B,1.758B,,1.758B,3.015B,429.70M,201.50M,,201.50M,4.232B,38.63B,0.00,44.10B,54.48B,143.60M,,143.60M,143.60M,,0.00,0.00,0.00,143.60M,2.580B,2.580B,228.70M,228.70M,1.722B,504.60M,,,5.036B,46.23B,36.30M,6.118B,2.578B,754.20M,-389.40M,,-90.50M,744.80M,264.90M,8.243B
2009-06,48.70M,858.80M,907.50M,1.788B,,1.788B,2.696B,423.90M,201.80M,,201.80M,4.030B,35.76B,77.90M,41.02B,51.34B,131.20M,,131.20M,131.20M,,45.00M,45.00M,45.00M,176.20M,2.251B,2.251B,,,1.724B,555.00M,,,4.530B,43.86B,36.30M,5.924B,2.565B,754.20M,-397.00M,,-60.70M,165.80M,-291.90M,7.478B
2009-03,50.10M,683.70M,733.80M,1.770B,,1.770B,2.504B,417.10M,,200.30M,200.30M,4.039B,33.10B,472.10M,38.36B,49.18B,180.80M,,180.80M,180.80M,,206.90M,206.90M,206.90M,387.70M,2.255B,2.255B,,,1.706B,471.80M,,,4.432B,42.76B,36.30M,5.667B,2.554B,754.20M,-1.332B,,-195.80M,447.80M,-1.08B,6.423B
2008-12,49.90M,1.183B,1.233B,1.785B,,1.785B,3.018B,409.40M,200.50M,,200.50M,4.029B,33.32B,438.80M,38.57B,49.42B,115.50M,,115.50M,115.50M,,190.50M,190.50M,190.50M,306.00M,2.259B,2.259B,,,1.770B,463.90M,,,4.493B,43.02B,36.30M,5.527B,2.547B,754.20M,-780.60M,,-177.60M,,-958.20M,6.398B
2008-09,99.30M,950.10M,1.049B,1.906B,,1.906B,2.956B,405.40M,,202.80M,202.80M,3.965B,34.12B,280.70M,39.28B,49.94B,150.90M,,150.90M,150.90M,,275.00M,275.00M,275.00M,425.90M,2.285B,2.285B,,,1.833B,569.10M,,,4.687B,43.20B,36.30M,5.510B,2.539B,754.20M,-854.50M,,4.40M,254.50M,-595.60M,6.736B
2008-06,94.10M,1.074B,1.168B,1.933B,,1.933B,3.101B,402.70M,204.30M,,204.30M,3.756B,36.48B,,41.44B,51.77B,137.20M,,137.20M,137.20M,,240.00M,240.00M,240.00M,377.20M,2.298B,2.298B,70.40M,70.40M,1.94B,640.10M,,,4.949B,44.10B,36.30M,5.428B,2.531B,404.20M,-227.60M,,122.90M,177.70M,73.00M,7.664B
2008-03,84.80M,1.395B,1.480B,5.144B,1.954B,7.098B,8.578B,396.90M,204.30M,,204.30M,3.71B,36.72B,,41.86B,52.07B,172.80M,,172.80M,172.80M,,175.00M,175.00M,175.00M,347.80M,2.498B,2.498B,169.70M,169.70M,37.73B,543.70M,,,40.94B,44.43B,36.30M,5.214B,2.523B,404.20M,,,122.50M,147.20M,269.70M,7.638B
2007-12,199.10M,1.487B,1.686B,1.915B,,1.915B,3.601B,393.70M,,204.30M,204.30M,3.687B,37.30B,0.00,42.20B,52.70B,148.60M,,148.60M,148.60M,,175.00M,175.00M,175.00M,323.60M,2.515B,2.515B,251.70M,251.70M,1.980B,523.10M,,,5.270B,44.66B,36.30M,5.077B,2.517B,54.20M,157.60M,,123.40M,182.50M,463.50M,8.040B
2007-09,144.60M,1.01B,1.155B,5.234B,1.949B,7.183B,8.337B,386.70M,204.70M,,204.70M,4.618B,36.20B,,42.16B,52.57B,75.00M,,75.00M,75.00M,,175.00M,175.00M,175.00M,250.00M,2.285B,2.285B,247.80M,247.80M,40.13B,598.40M,,,43.26B,44.74B,36.30M,4.944B,2.506B,54.20M,,,156.80M,241.80M,398.60M,7.831B
2007-06,126.80M,757.30M,884.10M,2.110B,5.541B,7.652B,8.536B,383.90M,204.50M,,204.50M,4.51B,35.43B,,41.27B,52.07B,86.00M,,86.00M,86.00M,,175.00M,175.00M,175.00M,261.00M,2.288B,2.288B,47.50M,47.50M,40.09B,635.60M,,,43.07B,44.70B,36.30M,4.784B,2.502B,54.20M,,,136.90M,-33.20M,103.70M,7.372B
2007-03,135.50M,620.70M,756.20M,5.558B,1.992B,7.55B,8.306B,377.90M,204.20M,,204.20M,4.438B,35.87B,,41.63B,52.32B,87.40M,,87.40M,87.40M,,,,,87.40M,2.500B,2.500B,290.50M,290.50M,40.13B,529.70M,,,43.45B,44.95B,34.50M,4.656B,2.197B,54.20M,,,121.70M,422.00M,543.70M,7.377B
2006-12,121.30M,648.40M,769.70M,5.512B,2.057B,7.569B,8.339B,370.10M,204.10M,,204.10M,4.374B,35.65B,,41.47B,52.82B,44.40M,,44.40M,44.40M,,,,,44.40M,2.660B,2.660B,567.30M,567.30M,39.93B,520.10M,,,43.68B,45.10B,34.40M,4.926B,2.20B,54.20M,,,116.00M,496.80M,612.80M,7.719B
2006-09,32.20M,489.30M,521.50M,2.041B,5.573B,7.615B,8.136B,371.00M,274.30M,,274.30M,3.320B,35.21B,,40.86B,52.17B,0.00,,0.00,0.00,,,,,0.00,2.562B,2.562B,730.80M,730.80M,37.30B,560.70M,,,41.16B,44.58B,34.40M,4.675B,2.196B,54.20M,,,47.40M,696.10M,743.50M,7.594B
2006-06,63.20M,450.10M,513.30M,2.060B,5.584B,7.644B,8.157B,373.20M,273.90M,,273.90M,4.174B,33.50B,,39.08B,50.40B,18.50M,,18.50M,18.50M,,,,,18.50M,2.562B,2.562B,400.70M,400.70M,38.46B,599.70M,,,42.02B,43.42B,34.40M,4.764B,2.190B,54.20M,,,37.70M,14.00M,51.70M,6.987B
2006-03,61.00M,134.60M,195.60M,2.003B,5.618B,7.621B,7.816B,375.20M,273.10M,,273.10M,4.005B,33.77B,,39.19B,50.47B,20.20M,,20.20M,20.20M,,,,,20.20M,2.862B,2.862B,543.70M,543.70M,38.62B,506.10M,,,42.53B,43.90B,30.10M,4.662B,1.621B,54.20M,,,22.90M,286.90M,309.80M,6.568B
2005-12,69.40M,417.90M,487.30M,1.979B,5.609B,7.588B,8.076B,379.50M,273.00M,,273.00M,3.941B,35.29B,,40.65B,51.87B,18.30M,,18.30M,18.30M,,0.00,0.00,0.00,18.30M,3.262B,3.262B,989.70M,989.70M,38.34B,481.80M,,,43.07B,44.50B,30.10M,4.610B,1.628B,54.20M,,,22.40M,1.141B,1.164B,7.364B
2005-09,63.70M,311.10M,374.80M,1.994B,5.511B,7.505B,7.880B,,273.30M,,273.30M,3.736B,34.86B,,39.98B,51.15B,2.30M,,2.30M,2.30M,,0.00,0.00,0.00,2.30M,2.862B,2.862B,964.70M,964.70M,38.12B,549.70M,,,42.50B,43.91B,30.00M,4.495B,1.618B,54.20M,,,,,1.167B,7.238B
2005-06,94.90M,232.10M,327.00M,2.118B,7.276B,9.394B,9.721B,,270.50M,,270.50M,3.674B,34.27B,,39.39B,52.43B,0.00,,0.00,0.00,,200.00M,200.00M,200.00M,200.00M,2.862B,2.862B,1.337B,1.337B,38.74B,,,,42.94B,44.58B,30.00M,4.465B,1.615B,54.20M,,,,,1.820B,7.855B
2005-03,60.50M,252.00M,312.50M,2.050B,7.257B,9.307B,9.620B,,271.20M,,271.20M,3.595B,32.88B,,37.93B,50.84B,0.00,,0.00,0.00,,202.00M,202.00M,202.00M,202.00M,2.862B,2.862B,930.20M,930.20M,38.36B,,,,42.15B,43.78B,30.00M,4.316B,1.613B,54.20M,,,,,1.173B,7.052B
2004-12,130.70M,410.20M,540.90M,2.033B,6.969B,9.002B,9.543B,398.50M,271.10M,,271.10M,3.572B,32.91B,,38.20B,50.83B,0.30M,,0.30M,0.30M,,227.00M,227.00M,227.00M,227.30M,2.862B,2.862B,1.061B,1.061B,37.68B,313.50M,,,41.92B,43.61B,29.80M,4.186B,1.588B,54.20M,,,96.30M,1.385B,1.481B,7.224B
2004-09,130.10M,624.80M,754.90M,2.080B,6.834B,8.913B,9.668B,,270.20M,,270.20M,3.307B,31.96B,,37.26B,49.77B,50.90M,,50.90M,50.90M,,227.00M,227.00M,227.00M,277.90M,2.862B,2.862B,931.20M,931.20M,37.39B,,,,41.19B,42.87B,29.80M,4.073B,1.587B,54.20M,,,60.90M,1.212B,1.272B,6.900B
2004-06,119.20M,825.10M,944.30M,2.147B,6.827B,8.974B,9.918B,,269.90M,,269.90M,3.316B,30.68B,,35.99B,48.50B,48.00M,,48.00M,48.00M,,,,,48.00M,3.089B,3.089B,572.20M,572.20M,36.66B,,,,40.32B,42.28B,29.80M,3.928B,1.586B,54.20M,,,63.30M,674.00M,737.30M,6.226B
2004-03,131.30M,370.10M,501.40M,2.116B,6.244B,8.359B,8.861B,,270.00M,,270.00M,3.337B,33.11B,,38.60B,50.48B,35.90M,,35.90M,35.90M,,,,,35.90M,2.789B,2.789B,924.30M,924.30M,36.78B,,,,40.49B,43.34B,29.80M,3.942B,1.611B,54.20M,,,73.30M,1.532B,1.605B,7.134B
2003-12,,,,,,,,,,,,,,,,49.72B,,,,,,,,,,2.789B,2.789B,,,,,,,2.789B,42.45B,,,,,,,,,1.171B,7.271B
2003-09,124.50M,875.10M,999.60M,2.038B,6.094B,8.132B,9.132B,,666.70M,,666.70M,3.240B,31.31B,,37.26B,49.34B,16.60M,,16.60M,16.60M,,20.00M,20.00M,20.00M,36.60M,2.489B,2.489B,1.342B,1.342B,35.89B,,300.00M,300.00M,40.02B,41.19B,29.80M,4.896B,1.607B,54.20M,,,2.50M,1.369B,1.371B,7.850B
2003-06,133.90M,1.112B,1.245B,2.091B,6.056B,8.146B,9.392B,,666.70M,,666.70M,3.255B,31.26B,,37.34B,49.36B,,,,,,20.00M,20.00M,20.00M,20.00M,2.489B,2.489B,1.317B,1.317B,36.06B,,300.00M,300.00M,40.16B,41.34B,29.80M,4.810B,1.607B,54.20M,,,,,1.328B,7.720B
2003-03,139.70M,646.90M,786.60M,2.185B,5.995B,8.180B,8.967B,,666.20M,,666.20M,3.30B,28.30B,,34.35B,46.32B,,,,,,207.20M,207.20M,207.20M,207.20M,1.914B,1.914B,955.40M,955.40M,34.99B,,300.00M,300.00M,38.15B,39.48B,24.40M,4.729B,1.088B,54.20M,,,-46.20M,804.30M,758.10M,6.545B
2002-12,,,,1.699B,,1.699B,1.699B,413.40M,,475.50M,475.50M,3.344B,,,40.12B,45.26B,,,,,,255.00M,255.00M,255.00M,255.00M,1.914B,1.914B,,,,319.20M,300.00M,,2.233B,38.12B,24.40M,5.011B,1.087B,54.20M,,,-61.60M,839.00M,777.40M,6.843B
