,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2016-12,914.30M,914.30M,450.40M,463.90M,50.90M,82.00M,8.50M,-0.60M,,,,141.40M,322.50M,,,-1.40M,,321.10M,63.30M,257.80M,,257.80M,258.28M,386.30M,63.80M,2016-12,1.39,,,1.393,2016-12,1.38,,,1.383,2016-12,184.80M,187.30M,2016-12,AOR,Restated
2016-09,835.40M,835.40M,411.00M,424.40M,53.30M,73.20M,6.40M,0.40M,,,,132.90M,291.50M,,,-0.40M,,291.10M,44.30M,246.80M,,246.80M,246.46M,352.70M,61.20M,2016-09,1.33,,,1.328,2016-09,1.31,,,1.308,2016-09,185.40M,188.80M,2016-09,AOR,Restated
2016-06,751.70M,751.70M,373.40M,378.30M,46.90M,77.90M,10.00M,-4.90M,,,,134.80M,243.50M,,,-7.30M,,236.20M,51.20M,185.00M,,185.00M,188.84M,308.10M,64.60M,2016-06,0.98,,,1.000,2016-06,0.97,,,0.9900,2016-06,188.70M,191.70M,2016-06,AOR,Restated
2016-03,775.10M,775.10M,384.70M,390.40M,44.00M,79.80M,8.60M,-0.30M,,,,132.40M,258.00M,,,-2.90M,,255.10M,47.00M,208.10M,,208.10M,208.34M,320.10M,62.10M,2016-03,1.09,,,1.091,2016-03,1.08,,,1.081,2016-03,190.20M,193.30M,2016-03,AOR,Restated
2015-12,926.80M,926.80M,454.70M,472.10M,51.70M,81.50M,8.40M,88.50M,,,,141.60M,330.50M,,,87.70M,,418.20M,62.90M,355.30M,,355.30M,280.08M,390.40M,59.90M,2015-12,1.87,,,1.475,2015-12,1.82,,,1.434,2015-12,190.40M,194.70M,2015-12,AOR,Restated
2015-09,880.80M,880.80M,444.60M,436.20M,47.40M,82.40M,8.30M,-0.50M,,,,138.10M,298.10M,,,-1.90M,,296.20M,67.00M,229.20M,,229.20M,229.59M,352.30M,54.20M,2015-09,1.21,,,1.212,2015-09,1.18,,,1.182,2015-09,189.50M,194.90M,2015-09,AOR,Restated
2015-06,810.00M,810.00M,416.90M,393.10M,48.60M,76.80M,8.40M,-0.50M,,,,133.80M,259.30M,,,0.10M,,259.40M,52.00M,207.40M,,207.40M,207.80M,309.60M,50.30M,2015-06,1.09,,,1.092,2015-06,1.06,,,1.062,2015-06,190.00M,195.40M,2015-06,AOR,Restated
2015-03,762.10M,762.10M,409.90M,352.20M,47.40M,75.50M,8.30M,-1.10M,,,,131.20M,221.00M,,,-0.50M,,220.50M,54.00M,166.50M,,166.50M,167.33M,268.10M,47.10M,2015-03,0.88,,,0.8844,2015-03,0.85,,,0.8543,2015-03,189.90M,195.20M,2015-03,AOR,Restated
2014-12,805.50M,805.50M,432.50M,373.00M,47.90M,68.50M,8.50M,-1.30M,,,,124.90M,248.10M,,,-0.60M,,247.50M,52.30M,195.20M,,195.20M,196.23M,292.30M,44.20M,2014-12,1.03,,,1.035,2014-12,1.01,,,1.015,2014-12,188.70M,194.20M,2014-12,AOR,Restated
2014-09,718.30M,718.30M,394.20M,324.10M,50.30M,68.00M,7.40M,-0.30M,,,,125.70M,198.40M,,,-0.20M,,198.20M,23.30M,174.90M,,174.90M,175.16M,236.10M,37.70M,2014-09,0.93,,,0.9314,2014-09,0.90,,,0.9014,2014-09,187.80M,193.80M,2014-09,AOR,Restated
2014-06,587.00M,587.00M,322.80M,264.20M,45.80M,64.20M,5.70M,0.00,,,,115.70M,148.50M,,,,,148.50M,37.10M,111.40M,,111.40M,111.40M,178.30M,29.80M,2014-06,0.59,,,0.59,2014-06,0.58,,,0.58,2014-06,187.50M,193.20M,2014-06,AOR,Restated
2014-03,481.00M,481.00M,268.60M,212.40M,41.90M,61.60M,6.30M,0.00,,,,109.80M,102.60M,,,-0.10M,,102.50M,25.60M,76.90M,,76.90M,76.90M,130.50M,27.90M,2014-03,0.41,,,0.41,2014-03,0.40,,,0.40,2014-03,187.40M,192.20M,2014-03,AOR,Restated
2013-12,505.20M,505.20M,283.20M,222.00M,41.10M,58.40M,6.50M,0.00,,,,106.00M,116.00M,,,,,116.00M,21.50M,94.50M,,94.50M,94.50M,143.30M,27.30M,2013-12,0.51,,,0.51,2013-12,0.49,,,0.49,2013-12,186.20M,191.20M,2013-12,AOR,Restated
2013-09,477.00M,477.00M,267.90M,209.10M,41.60M,55.30M,6.70M,0.00,,,,103.60M,105.50M,,,0.30M,,105.80M,21.60M,84.20M,,84.20M,84.20M,131.10M,25.60M,2013-09,0.45,,,0.45,2013-09,0.44,,,0.44,2013-09,185.40M,190.40M,2013-09,AOR,Restated
2013-06,436.10M,436.10M,247.90M,188.20M,40.30M,56.60M,7.00M,0.00,,,,103.90M,84.30M,,,0.20M,,84.50M,18.80M,65.70M,,65.70M,65.70M,109.70M,25.40M,2013-06,0.35,,,0.35,2013-06,0.34,,,0.34,2013-06,186.60M,191.20M,2013-06,AOR,Restated
2013-03,425.20M,425.20M,248.50M,176.70M,39.70M,56.30M,7.20M,-4.80M,,,,103.20M,73.50M,,,-6.20M,,67.30M,5.60M,61.70M,,61.70M,66.10M,99.20M,25.70M,2013-03,0.33,,,0.3533,2013-03,0.32,,,0.3428,2013-03,188.70M,193.10M,2013-03,AOR,Restated
2012-12,453.70M,453.70M,261.10M,192.60M,38.10M,58.10M,8.20M,-1.60M,,,,104.40M,88.20M,,,-1.40M,,86.80M,20.30M,66.50M,,66.50M,67.73M,114.90M,26.70M,2012-12,0.35,,,0.3565,2012-12,0.34,,,0.3463,2012-12,189.40M,194.00M,2012-12,AOR,Restated
2012-09,421.10M,421.10M,243.40M,177.70M,37.80M,56.60M,8.50M,0.00,,,,102.90M,74.80M,,,-0.60M,,74.70M,13.20M,61.50M,,61.50M,61.50M,108.60M,25.90M,2012-09,0.33,,,0.33,2012-09,0.32,,,0.32,2012-09,187.90M,193.90M,2012-09,AOR,Restated
2012-06,389.00M,389.00M,223.70M,165.30M,37.50M,56.10M,8.60M,-1.10M,0.00,0.00,,102.20M,63.10M,0.00,0.00,-1.00M,0.00,62.10M,12.80M,49.30M,,49.30M,50.17M,87.80M,25.70M,2012-06,0.26,,,0.2647,2012-06,0.26,,,0.2645,2012-06,186.30M,192.50M,2012-06,AOR,Restated
2012-03,364.70M,364.70M,212.40M,152.30M,40.20M,53.00M,9.30M,-6.00M,0.10M,-0.10M,,102.50M,49.80M,0.10M,-0.10M,-6.30M,-0.10M,43.40M,9.40M,34.00M,,34.00M,38.99M,70.64M,27.14M,2012-03,0.18,,,0.2069,2012-03,0.18,,,0.2061,2012-03,185.20M,191.00M,2012-03,AOR,Restated
2011-12,393.74M,393.74M,221.89M,171.85M,42.91M,46.94M,6.312M,-0.72M,0.481M,-0.481M,,96.16M,75.69M,0.481M,-0.481M,-0.545M,-0.481M,74.66M,17.54M,57.13M,,57.13M,57.68M,99.10M,23.96M,2011-12,0.31,,,0.3130,2011-12,0.30,,,0.3029,2011-12,183.96M,189.68M,2011-12,AOR,Restated
2011-09,402.29M,402.29M,227.74M,174.56M,39.13M,47.37M,9.454M,-0.74M,0.437M,-0.437M,,95.96M,78.60M,0.437M,-0.437M,-0.24M,-0.437M,77.92M,13.70M,64.22M,,64.22M,64.83M,104.92M,26.57M,2011-09,0.35,0.00,,0.3533,2011-09,0.34,0.00,,0.3432,2011-09,183.67M,190.92M,2011-09,AOR,Restated
2011-06,356.08M,356.08M,199.85M,156.22M,35.45M,43.07M,4.006M,-1.477M,0.465M,-0.465M,,82.52M,73.70M,0.465M,-0.465M,-1.477M,-0.465M,71.76M,20.21M,51.55M,,51.55M,52.61M,91.83M,19.60M,2011-06,0.28,0.00,,0.2858,2011-06,0.27,0.00,,0.2755,2011-06,183.75M,191.38M,2011-06,AOR,Restated
2011-03,325.41M,325.41M,184.43M,140.98M,31.46M,39.62M,1.638M,-0.317M,0.461M,-0.461M,,72.72M,68.26M,0.461M,-0.461M,-0.317M,-0.461M,67.48M,17.52M,49.96M,,49.96M,50.19M,84.58M,16.64M,2011-03,0.27,0.00,,0.2713,2011-03,0.26,0.00,,0.2612,2011-03,183.47M,191.96M,2011-03,AOR,Restated
2010-12,335.12M,335.12M,186.58M,148.54M,30.61M,38.54M,1.602M,-0.445M,0.537M,-0.537M,,70.75M,77.79M,0.537M,-0.537M,-0.445M,-0.537M,76.74M,15.87M,60.87M,,60.87M,61.22M,92.46M,15.19M,2010-12,0.34,0.00,,0.3420,2010-12,0.32,0.00,,0.3219,2010-12,180.71M,188.54M,2010-12,AOR,Restated
2010-09,313.28M,313.28M,177.12M,136.16M,33.69M,35.41M,1.634M,0.30M,0.627M,-0.627M,,70.73M,65.43M,0.627M,-0.627M,-0.045M,-0.627M,64.76M,17.95M,46.80M,,46.80M,46.59M,82.13M,16.74M,2010-09,0.26,,,0.2588,2010-09,0.25,,,0.2488,2010-09,177.42M,184.74M,2010-09,AOR,Restated
2010-06,275.37M,275.37M,157.10M,118.27M,29.45M,34.88M,1.501M,1.104M,0.867M,-0.867M,,65.83M,52.43M,0.867M,-0.867M,1.104M,-0.867M,52.67M,17.93M,34.74M,,34.74M,34.01M,66.94M,13.41M,2010-06,0.20,0.00,,0.1959,2010-06,0.19,0.00,,0.1860,2010-06,175.50M,183.89M,2010-06,AOR,Restated
2010-03,238.06M,238.06M,138.20M,99.85M,27.98M,32.06M,1.50M,-0.281M,1.183M,-1.183M,,61.54M,38.31M,1.183M,-1.183M,-0.281M,-1.183M,36.85M,9.104M,27.74M,,27.74M,27.96M,50.91M,12.88M,2010-03,0.16,0.00,,0.1612,2010-03,0.15,0.00,,0.1512,2010-03,174.45M,182.92M,2010-03,AOR,Restated
2009-12,245.14M,245.14M,142.58M,102.55M,26.73M,31.79M,1.501M,-0.162M,1.569M,-1.569M,,60.02M,42.53M,1.569M,-1.569M,-0.162M,-1.569M,40.80M,12.79M,28.01M,,28.01M,28.12M,54.74M,12.37M,2009-12,0.16,0.00,,0.1606,2009-12,0.16,0.00,,0.1606,2009-12,172.72M,179.40M,2009-12,AOR,Restated
2009-09,228.15M,228.15M,135.62M,92.53M,26.31M,31.09M,2.175M,-1.68M,1.938M,-1.938M,,59.58M,32.95M,1.938M,-1.938M,0.073M,-1.938M,31.09M,-27.25M,58.34M,,58.34M,59.43M,45.62M,12.60M,2009-09,0.35,,,0.3564,2009-09,0.34,,,0.3462,2009-09,170.28M,177.11M,2009-09,AOR,Restated
2009-06,191.21M,191.21M,114.26M,76.95M,24.22M,29.67M,1.548M,-0.032M,1.999M,-1.999M,,55.43M,21.52M,1.999M,-1.999M,-0.032M,-1.999M,19.49M,0.75M,18.74M,,18.74M,18.77M,34.21M,12.72M,2009-06,0.11,0.00,,0.1102,2009-06,0.11,0.00,,0.1102,2009-06,167.06M,169.52M,2009-06,AOR,Restated
2009-03,172.99M,172.99M,108.12M,64.88M,22.79M,28.60M,1.246M,-16.00M,1.897M,-1.897M,,52.64M,12.24M,1.897M,-1.897M,-16.00M,-1.897M,-5.653M,0.025M,-5.678M,,-5.678M,4.719M,9.094M,12.85M,2009-03,-0.03,0.00,,0.0326,2009-03,-0.03,0.00,,0.0326,2009-03,166.00M,166.00M,2009-03,AOR,Restated
2008-12,210.23M,210.23M,126.36M,83.87M,27.10M,34.64M,1.149M,6.315M,2.456M,-2.456M,,62.89M,20.97M,2.456M,-2.456M,6.315M,-2.456M,24.83M,1.247M,23.58M,,23.58M,17.59M,39.65M,12.36M,2008-12,0.14,0.00,,0.1036,2008-12,0.14,0.00,,0.1037,2008-12,164.86M,165.19M,2008-12,,Restated
2008-09,232.57M,232.57M,138.74M,93.82M,25.40M,38.78M,1.101M,-6.417M,,,,65.28M,28.55M,,,-6.417M,,20.44M,-34.35M,54.79M,,54.79M,58.96M,41.66M,13.11M,2008-09,0.34,0.00,,0.3654,2008-09,0.34,0.00,,0.3647,2008-09,164.01M,169.05M,2008-09,,
2008-06,215.21M,215.21M,128.78M,86.43M,25.98M,36.56M,1.101M,1.064M,,,,63.64M,22.80M,,,1.064M,,22.20M,1.737M,20.47M,,20.47M,19.49M,36.09M,13.29M,2008-06,0.13,0.00,,0.1239,2008-06,0.12,0.00,,0.1140,2008-06,162.10M,164.65M,2008-06,,
2008-03,201.71M,201.71M,121.34M,80.37M,23.35M,36.58M,1.871M,1.883M,,,,61.80M,18.57M,,,1.883M,,18.68M,2.01M,16.67M,,16.67M,14.99M,32.24M,13.67M,2008-03,0.10,0.00,,0.0896,2008-03,0.10,0.00,,0.0897,2008-03,161.16M,162.98M,2008-03,,
2007-12,210.53M,210.53M,128.20M,82.34M,25.29M,34.09M,1.932M,2.05M,,,,61.31M,21.02M,,,2.05M,,20.87M,1.789M,19.08M,,19.08M,17.20M,34.35M,13.33M,2007-12,0.12,0.00,,0.1083,2007-12,0.12,0.00,,0.1085,2007-12,160.32M,162.84M,2007-12,,
2007-09,190.45M,190.45M,115.72M,74.74M,22.30M,33.73M,0.536M,3.05M,,,,56.56M,18.17M,,,3.05M,,18.56M,-3.435M,21.99M,,21.99M,20.01M,29.62M,11.46M,2007-09,0.14,0.00,,0.1276,2007-09,0.14,0.00,,0.1276,2007-09,159.50M,160.42M,2007-09,,
2007-06,175.05M,175.05M,106.42M,68.63M,24.87M,30.55M,0.536M,2.509M,,,,55.96M,12.67M,,,2.509M,,12.62M,1.194M,11.42M,,11.42M,9.151M,23.72M,11.04M,2007-06,0.07,0.00,,0.0557,2007-06,0.07,0.00,,0.0558,2007-06,158.61M,160.03M,2007-06,,
2007-03,180.21M,180.21M,111.51M,68.70M,23.75M,31.38M,0.536M,2.903M,,,,55.67M,13.03M,,,2.903M,,11.82M,-0.375M,12.20M,,12.20M,10.31M,23.88M,10.84M,2007-03,0.08,0.00,,0.0683,2007-03,0.08,0.00,,0.0684,2007-03,160.69M,161.97M,2007-03,,
2006-12,196.03M,196.03M,120.71M,75.32M,24.03M,30.41M,0.536M,-3.318M,,,,54.98M,20.34M,,,-3.318M,,13.77M,1.736M,12.04M,,12.04M,14.94M,30.69M,10.35M,2006-12,0.07,0.00,,0.0880,2006-12,0.07,0.00,,0.0878,2006-12,161.18M,162.88M,2006-12,,
2006-09,193.13M,193.13M,147.87M,45.26M,60.50M,40.50M,0.536M,-25.18M,,,,101.54M,-56.28M,,,-25.18M,,-84.77M,11.60M,-96.37M,,-96.37M,-81.26M,-45.36M,10.93M,2006-09,-0.60,0.00,,-0.5058,2006-09,-0.60,0.00,,-0.5058,2006-09,160.28M,160.28M,2006-09,,
2006-06,197.06M,197.06M,123.71M,73.35M,26.33M,40.62M,0.536M,1.822M,,,,67.49M,5.859M,,,1.822M,,4.45M,1.445M,3.005M,,3.005M,1.775M,16.41M,10.56M,2006-06,0.02,0.00,,0.0123,2006-06,0.02,0.00,,0.0124,2006-06,159.70M,160.88M,2006-06,,
2006-03,185.23M,185.23M,115.88M,69.35M,25.71M,40.56M,0.536M,2.43M,,,,66.80M,2.547M,,,2.43M,,0.531M,-0.395M,0.926M,,0.926M,-0.532M,13.34M,10.79M,2006-03,0.01,0.00,,0.0008,2006-03,0.01,0.00,,0.0009,2006-03,159.08M,159.63M,2006-03,,
2005-12,198.32M,198.32M,123.60M,74.72M,23.25M,42.43M,0.536M,2.319M,,,,66.22M,8.504M,,,2.319M,,7.011M,2.724M,4.287M,,4.287M,2.869M,18.58M,10.08M,2005-12,0.03,0.00,,0.0211,2005-12,0.0270,0.00,,0.0181,2005-12,158.57M,158.83M,2005-12,,
2005-09,190.17M,190.17M,120.89M,69.28M,25.04M,36.60M,0.536M,1.729M,,,,62.18M,7.098M,,,1.729M,,5.081M,2.02M,3.061M,,3.061M,2.019M,17.36M,10.26M,2005-09,0.02,0.00,,0.0134,2005-09,0.02,0.00,,0.0135,2005-09,158.33M,159.56M,2005-09,,
2005-06,191.53M,191.53M,113.66M,77.87M,25.74M,39.82M,0.536M,1.536M,,,,66.10M,11.77M,,,1.536M,,9.623M,2.234M,7.389M,,7.389M,6.210M,21.74M,9.975M,2005-06,0.05,0.00,,0.0425,2005-06,0.05,0.00,,0.0426,2005-06,157.81M,158.68M,2005-06,,
2005-03,190.50M,190.50M,117.91M,72.60M,25.06M,38.68M,0.545M,1.067M,,,,64.28M,8.32M,,,1.067M,,5.752M,4.508M,1.244M,,1.244M,0.6038M,18.73M,10.41M,2005-03,0.01,0.00,,0.0059,2005-03,0.01,0.00,,0.0060,2005-03,157.24M,158.44M,2005-03,,
2004-12,220.16M,220.16M,132.14M,88.02M,27.22M,37.11M,0.737M,1.121M,,,,65.07M,22.94M,,,1.121M,,20.53M,6.616M,13.92M,,13.92M,13.16M,33.52M,10.58M,2004-12,0.09,0.00,,0.0851,2004-12,0.0876,0.00,,0.0828,2004-12,156.44M,158.90M,2004-12,,
2004-09,218.07M,218.07M,121.74M,96.32M,32.16M,42.98M,0.737M,-1.067M,,,1.607M,77.49M,18.84M,,,-1.067M,,15.82M,1.186M,14.63M,,14.63M,15.62M,29.92M,11.08M,2004-09,0.10,0.00,,0.1067,2004-09,0.10,0.00,,0.1067,2004-09,146.41M,146.41M,2004-09,,
2004-06,207.38M,207.38M,126.53M,80.85M,25.31M,36.96M,0.768M,0.396M,,,,63.04M,17.81M,,,0.396M,,14.60M,1.567M,13.03M,,13.03M,12.68M,28.09M,10.28M,2004-06,0.09,0.00,,0.0877,2004-06,0.08,0.00,,0.0777,2004-06,153.06M,155.27M,2004-06,,
2004-03,183.47M,183.47M,114.17M,69.30M,21.15M,35.99M,0.769M,-15.46M,,,15.76M,73.67M,-4.37M,,,-15.46M,,-9.47M,-0.049M,-9.421M,,-9.421M,5.955M,5.371M,9.741M,2004-03,-0.06,0.00,,0.0429,2004-03,-0.06,0.00,,0.0429,2004-03,149.40M,149.40M,2004-03,,
2003-12,175.11M,175.11M,105.54M,69.57M,20.36M,38.06M,0.769M,0.453M,,,,59.20M,10.37M,,,0.453M,,5.452M,1.28M,4.172M,,4.172M,3.825M,20.32M,9.947M,2003-12,0.03,0.00,,0.0277,2003-12,0.0276,0.00,,0.0253,2003-12,148.78M,151.00M,2003-12,,
2003-09,150.03M,150.03M,97.42M,52.61M,17.02M,37.92M,1.076M,-34.91M,,,,90.52M,-37.91M,,,-34.91M,,-43.88M,-0.95M,-42.93M,0.00,-42.93M,-8.776M,-26.76M,11.15M,2003-09,-0.31,0.02,0.00,-0.0707,2003-09,-0.31,0.02,0.0231,-0.0707,2003-09,142.74M,142.74M,2003-09,,
2003-06,150.20M,150.20M,94.12M,56.08M,19.71M,36.43M,1.075M,0.282M,,,,57.21M,-1.136M,,,0.282M,,-5.923M,0.263M,-6.186M,,-6.186M,-6.355M,9.746M,10.88M,2003-06,-0.04,0.00,,-0.0412,2003-06,-0.04,0.00,,-0.0412,2003-06,138.73M,138.73M,2003-06,,
2003-03,157.36M,157.36M,93.84M,63.52M,23.24M,40.11M,1.108M,0.626M,,,,64.45M,-0.933M,,,0.626M,,-5.354M,0.601M,-5.955M,,-5.955M,-6.331M,9.976M,10.91M,2003-03,-0.04,0.00,,-0.0427,2003-03,-0.04,0.00,,-0.0427,2003-03,138.14M,138.14M,2003-03,,
2002-12,160.19M,160.19M,95.07M,65.12M,20.25M,37.30M,1.127M,0.823M,,,,58.68M,6.44M,,,0.823M,,1.529M,0.738M,0.791M,-397.14M,-396.35M,0.2972M,16.95M,10.51M,2002-12,0.01,-2.88,-0.0000,0.0064,2002-12,0.01,-2.88,-2.880,0.0064,2002-12,137.90M,137.90M,2002-12,,
2002-09,150.67M,150.67M,89.96M,60.71M,18.08M,37.15M,1.127M,-1.417M,,,1.419M,57.77M,2.941M,,,-1.417M,,-1.284M,0.199M,-1.483M,,-1.483M,-0.6328M,16.61M,13.67M,2002-09,-0.0108,,,-0.0046,2002-09,-0.0108,,,-0.0046,2002-09,137.59M,137.59M,2002-09,,
2002-06,112.98M,112.98M,92.92M,20.06M,10.38M,31.65M,3.579M,-180.45M,,,114.84M,160.45M,-140.39M,,,-180.45M,,-206.00M,-24.06M,-181.94M,,-181.94M,-22.57M,-136.81M,3.579M,2002-06,-1.92,0.00,,-0.2338,2002-06,-1.92,0.00,,-0.2338,2002-06,94.52M,94.52M,2002-06,,
2002-03,28.19M,28.19M,21.89M,6.304M,9.827M,12.31M,,2.335M,,,,22.14M,-15.84M,,,2.335M,,-12.69M,-4.188M,-8.499M,,-8.499M,-10.06M,-10.36M,5.472M,2002-03,-0.20,0.00,,-0.2354,2002-03,-0.20,0.00,,-0.2354,2002-03,44.24M,44.24M,2002-03,,
2001-12,33.09M,33.09M,21.94M,11.16M,5.546M,9.557M,,-2.128M,,,,15.10M,-3.948M,,,-2.128M,,-4.895M,-1.615M,-3.28M,,-3.28M,-1.854M,1.319M,5.267M,2001-12,-0.07,0.00,,-0.0377,2001-12,-0.07,0.00,,-0.0377,2001-12,44.16M,44.16M,2001-12,,
2001-09,33.00M,33.00M,22.36M,10.64M,6.063M,9.906M,,,,,,15.97M,-5.326M,,,,,-3.861M,-1.274M,-2.587M,,-2.587M,-2.587M,-5.326M,-5.535M,2001-09,-0.06,0.00,,-0.06,2001-09,-0.06,0.00,,-0.06,2001-09,44.04M,44.04M,2001-09,,
