,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,276.00M,,,,66.00M,5.60M,71.60M,71.60M,4.20M,,,41.00M,,41.00M,91.60M,-8.20M,,23.20M,-6.50M,-58.70M,,434.20M,,2018-03,-90.30M,,,0.00,,0.00,-90.30M,,2018-03,,,,,-113.50M,-113.50M,-58.40M,-58.40M,27.80M,-144.10M,,2018-03,1.682B,1.881B,,2018-03,,,,-113.50M,,,2018-03,AOR,Restated
2017-12,70.40M,,,,63.60M,5.50M,69.10M,69.10M,21.40M,,,25.80M,,25.80M,-4.10M,34.50M,,-105.40M,-20.60M,269.70M,,360.80M,,2017-12,-34.20M,,,-6.00M,,0.00,-34.20M,,2017-12,,,,,-217.20M,-217.20M,-59.10M,-59.10M,14.40M,-261.90M,,2017-12,1.617B,1.682B,,2017-12,,,,-217.20M,,,2017-12,AOR,Restated
2017-09,281.30M,,,,60.40M,5.00M,65.40M,65.40M,-0.60M,,,24.20M,-5.40M,-29.90M,-57.30M,-10.50M,,79.70M,12.60M,29.20M,,417.60M,,2017-09,-97.40M,,,-12.10M,0.00,0.00,-97.40M,,2017-09,,,,,-103.00M,-103.00M,-58.90M,-58.90M,15.80M,-147.40M,,2017-09,1.444B,1.617B,,2017-09,,,,-103.00M,,,2017-09,AOR,Restated
2017-06,246.20M,,,,55.60M,7.10M,62.70M,62.70M,1.90M,,,20.60M,-7.20M,13.40M,-28.60M,-37.40M,,14.90M,8.80M,32.20M,,314.10M,,2017-06,-113.00M,,,,0.00,0.00,-113.00M,,2017-06,,,,-7.20M,-132.20M,-139.40M,-51.60M,-51.60M,21.10M,-164.00M,,2017-06,1.407B,1.444B,,2017-06,-7.20M,,,-132.20M,,,2017-06,AOR,Restated
2017-03,224.90M,,,,55.90M,7.00M,62.90M,62.90M,-0.30M,,,22.10M,-6.70M,15.40M,-0.50M,-21.90M,,2.30M,-30.40M,-23.70M,,228.70M,,2017-03,-54.90M,,,0.00,0.00,0.00,-54.90M,,2017-03,,,,7.20M,-95.40M,-88.20M,-51.90M,-51.90M,17.20M,-117.40M,,2017-03,1.350B,1.407B,,2017-03,7.20M,,,-95.40M,,,2017-03,AOR,Restated
2016-12,257.80M,,,,55.30M,8.50M,63.80M,63.80M,1.20M,,,21.60M,-21.50M,0.10M,49.30M,0.60M,,50.90M,12.30M,59.90M,,495.90M,,2016-12,-50.10M,,,0.00,-13.70M,3.20M,-60.60M,,2016-12,,,,,-150.90M,-150.90M,-52.20M,-52.20M,14.70M,-168.60M,,2016-12,1.084B,1.350B,,2016-12,,,,-150.90M,,,2016-12,AOR,Restated
2016-09,246.80M,,-11.30M,-11.30M,54.80M,6.40M,61.20M,61.20M,-1.50M,,,19.70M,1.40M,-12.90M,153.40M,13.40M,,-71.30M,-13.20M,38.10M,,437.00M,,2016-09,-21.20M,,,,-0.60M,0.00,-21.80M,,2016-09,,,,,-199.00M,-199.00M,-52.20M,-52.20M,24.00M,-305.10M,,2016-09,973.70M,1.084B,,2016-09,,,,-199.00M,,,2016-09,AOR,Restated
2016-06,185.00M,,0.00,0.00,54.60M,10.00M,64.60M,64.60M,1.70M,,,17.90M,-3.50M,14.40M,-31.50M,-94.30M,,0.30M,-2.90M,3.60M,,140.90M,,2016-06,-57.20M,,,,-55.00M,0.00,-112.20M,,2016-06,,,,,-192.40M,-192.40M,-49.40M,-49.40M,5.80M,-232.50M,,2016-06,1.178B,973.70M,,2016-06,,,,-192.40M,,,2016-06,AOR,Restated
2016-03,208.10M,,8.60M,8.60M,53.50M,8.60M,62.10M,62.10M,-2.20M,,,17.10M,-4.30M,12.80M,-3.60M,-47.40M,,-14.30M,-16.10M,-53.50M,,154.50M,,2016-03,-37.40M,,,,0.00,0.00,-37.40M,,2016-03,,,,,-135.60M,-135.60M,-49.20M,-49.20M,7.70M,-172.80M,,2016-03,1.233B,1.178B,,2016-03,,,,-135.60M,,,2016-03,AOR,Restated
2015-12,355.30M,,2.70M,2.70M,51.50M,8.40M,59.90M,59.90M,2.00M,,,23.30M,-37.30M,-14.00M,3.10M,-19.00M,,-96.20M,11.80M,39.70M,,345.30M,,2015-12,-79.50M,,,,0.00,0.00,-79.50M,,2015-12,,,,,-71.90M,-71.90M,-50.20M,-50.20M,8.60M,-76.20M,,2015-12,1.044B,1.233B,,2015-12,,,,-71.90M,,,2015-12,AOR,Restated
2015-09,229.20M,,7.80M,7.80M,45.90M,8.30M,54.20M,54.20M,0.80M,,,25.40M,-7.10M,-0.30M,-158.10M,4.60M,,63.10M,-21.20M,34.30M,,232.70M,,2015-09,-150.80M,,,,-0.40M,,-151.20M,,2015-09,,,,,-111.80M,-111.80M,-49.30M,-49.30M,10.10M,-143.90M,,2015-09,1.106B,1.044B,,2015-09,,,,-111.80M,,,2015-09,AOR,Restated
2015-06,207.40M,,1.90M,1.90M,41.90M,8.40M,50.30M,50.30M,-1.00M,,,26.00M,-9.50M,0.10M,-104.60M,3.90M,,-3.00M,5.60M,44.80M,,221.90M,,2015-06,-108.10M,,,,-6.10M,,-114.20M,,2015-06,,,,,-50.50M,-50.50M,-24.50M,-24.50M,9.60M,-55.90M,,2015-06,1.054B,1.106B,,2015-06,,,,-50.50M,,,2015-06,AOR,Restated
2015-03,166.50M,,9.40M,9.40M,38.80M,8.30M,47.10M,47.10M,3.50M,,,26.70M,-11.30M,0.50M,-34.80M,-2.20M,,20.00M,-31.60M,-38.80M,,155.00M,,2015-03,-84.00M,,,,-18.10M,,-102.10M,,2015-03,,,,,-48.50M,-48.50M,-24.70M,-24.70M,13.30M,-48.60M,,2015-03,1.050B,1.054B,,2015-03,,,,-48.50M,,,2015-03,AOR,Restated
2014-12,195.20M,,1.80M,1.80M,35.70M,8.50M,44.20M,44.20M,-7.20M,,,21.70M,-29.40M,0.20M,75.30M,-2.70M,,10.40M,8.00M,65.70M,,383.20M,,2014-12,-87.20M,,,,,,-87.20M,,2014-12,,,,,-80.70M,-80.70M,-24.60M,-24.60M,24.00M,-51.90M,,2014-12,805.80M,1.050B,,2014-12,,,,-80.70M,,,2014-12,AOR,Restated
2014-09,174.90M,,6.70M,6.70M,30.30M,7.40M,37.70M,37.70M,2.20M,,,23.60M,-2.50M,0.40M,-53.70M,-36.90M,,36.70M,-1.00M,12.30M,,200.40M,,2014-09,-82.90M,,,,-148.50M,,-231.40M,,2014-09,,,,,-48.20M,-48.20M,-20.50M,-20.50M,9.70M,-56.50M,,2014-09,893.30M,805.80M,,2014-09,,,,-48.20M,,,2014-09,AOR,Restated
2014-06,111.40M,,1.70M,1.70M,24.10M,5.70M,29.80M,29.80M,1.90M,,,22.80M,-14.40M,0.20M,-35.10M,18.20M,,38.20M,-0.20M,24.50M,,199.00M,,2014-06,-67.50M,,,,0.00,,-67.50M,,2014-06,,,,,-42.40M,-42.40M,-20.90M,-20.90M,12.90M,-36.00M,,2014-06,797.80M,893.30M,,2014-06,,,,-42.40M,,,2014-06,AOR,Restated
2014-03,76.90M,,7.40M,7.40M,21.60M,6.30M,27.90M,27.90M,2.70M,,,20.70M,-12.20M,0.00,50.80M,7.70M,,18.50M,8.80M,5.00M,,214.20M,,2014-03,-41.90M,,,,0.00,,-41.90M,,2014-03,,,,,-62.10M,-62.10M,0.00,0.00,26.80M,-23.10M,,2014-03,648.60M,797.80M,,2014-03,,,,-62.10M,,,2014-03,AOR,Restated
2013-12,94.50M,,1.30M,1.30M,20.80M,6.50M,27.30M,27.30M,-3.50M,,,18.90M,-11.70M,0.40M,25.60M,4.90M,,-19.20M,-0.30M,20.60M,,158.80M,,2013-12,-16.30M,,,,,,-16.30M,,2013-12,,,,,-35.10M,-35.10M,0.00,0.00,18.40M,-5.00M,,2013-12,511.10M,648.60M,,2013-12,,,,-35.10M,,,2013-12,AOR,Restated
2013-09,84.20M,,6.60M,6.60M,18.90M,6.70M,25.60M,25.60M,12.80M,,,17.60M,-5.50M,0.10M,-8.80M,2.50M,,11.30M,1.90M,9.20M,,157.50M,,2013-09,-38.40M,,,,,0.00,-38.40M,,2013-09,,,,,-21.70M,-21.70M,0.00,0.00,7.90M,-8.30M,,2013-09,400.30M,511.10M,,2013-09,,,,-21.70M,,,2013-09,AOR,Restated
2013-06,65.70M,,1.80M,1.80M,18.40M,7.00M,25.40M,25.40M,2.20M,,,18.10M,0.20M,-30.30M,-49.30M,-5.10M,,3.60M,0.80M,0.70M,,64.30M,,2013-06,-33.40M,,,,,0.00,-33.40M,,2013-06,,,,,-93.30M,-93.30M,0.00,0.00,5.20M,-89.40M,,2013-06,458.80M,400.30M,,2013-06,,,,-93.30M,,,2013-06,AOR,Restated
2013-03,61.70M,,7.50M,7.50M,18.50M,7.20M,25.70M,25.70M,-2.90M,,,18.30M,-2.40M,15.90M,17.60M,2.50M,,0.20M,-2.90M,5.00M,,130.30M,,2013-03,-25.60M,,,,,0.00,-25.60M,,2013-03,,,,,-31.60M,-31.60M,,,5.00M,-24.20M,,2013-03,377.50M,458.80M,,2013-03,,,,-31.60M,,,2013-03,AOR,Restated
2012-12,66.50M,,1.20M,1.20M,18.50M,8.20M,26.70M,26.70M,1.60M,,,17.70M,-3.10M,14.60M,45.40M,3.50M,,-29.20M,0.00,17.30M,,147.60M,,2012-12,-26.40M,,,,,0.80M,-25.60M,,2012-12,,,,,-56.90M,-56.90M,,,3.00M,-50.80M,,2012-12,306.30M,377.50M,,2012-12,,,,-56.90M,,,2012-12,AOR,Restated
2012-09,61.50M,,6.90M,6.90M,17.40M,8.50M,25.90M,25.90M,10.60M,,,18.50M,2.10M,0.00,-50.70M,-22.90M,,5.00M,-3.30M,-3.30M,,50.30M,,2012-09,-30.70M,,,,0.00,0.00,-30.70M,,2012-09,,48.00M,-0.10M,,-2.10M,-2.10M,,,16.80M,-40.40M,,2012-09,327.90M,307.10M,,2012-09,,,-0.10M,-2.10M,0.00,,2012-09,AOR,Restated
2012-06,49.30M,,1.20M,1.20M,17.10M,8.60M,25.70M,25.70M,0.10M,,,18.60M,-3.50M,-5.30M,-34.70M,-13.10M,,-1.10M,-1.80M,5.30M,,40.70M,,2012-06,-31.20M,,,,0.00,0.00,-31.20M,,2012-06,,0.10M,0.10M,,-1.00M,-1.00M,,,8.40M,11.00M,,2012-06,307.40M,327.90M,,2012-06,,,0.10M,-1.00M,0.00,,2012-06,AOR,Restated
2012-03,34.07M,,6.989M,6.989M,17.73M,9.415M,27.14M,27.14M,1.876M,,,19.35M,-0.074M,-0.435M,-1.749M,-3.578M,,30.56M,0.869M,1.945M,,116.97M,,2012-03,-25.78M,,,,-229.60M,20.90M,-234.48M,,2012-03,,-33.17M,-33.17M,,-0.14M,-0.14M,,,11.65M,-21.44M,,2012-03,445.64M,307.40M,,2012-03,,,-33.17M,-0.14M,0.147M,,2012-03,AOR,Restated
2011-12,57.13M,,1.011M,1.011M,17.27M,6.685M,23.96M,23.96M,0.324M,,,15.75M,-5.326M,0.835M,-22.05M,20.28M,,-19.26M,-5.269M,9.855M,,77.23M,,2011-12,-6.424M,,,,,0.00,-6.424M,,2011-12,,-14.93M,-14.93M,,-27.76M,-27.76M,,,2.251M,-35.26M,,2011-12,410.09M,445.64M,,2011-12,,,-14.93M,-27.76M,0.053M,,2011-12,AOR,Restated
2011-09,64.22M,,,,16.68M,9.888M,26.57M,26.57M,5.446M,,,15.61M,-0.426M,-8.247M,8.142M,-9.14M,,-1.308M,,,-31.99M,122.78M,,2011-09,-15.23M,,,,0.529M,0.00,-14.70M,,2011-09,0.00,-5.416M,-5.416M,,-9.971M,-9.971M,,,1.892M,-13.07M,,2011-09,309.64M,410.80M,,2011-09,,,0.00,-9.971M,0.233M,,2011-09,AOR,Restated
2011-06,51.55M,,,,15.24M,4.367M,19.60M,19.60M,1.749M,,,14.54M,-1.187M,1.781M,12.88M,-15.25M,,-12.97M,,,13.28M,85.97M,,2011-06,-20.09M,,,,-245.37M,0.00,-265.46M,,2011-06,0.00,-0.05M,-0.05M,,-19.78M,-19.78M,,,3.982M,-14.67M,,2011-06,503.80M,309.64M,,2011-06,,,0.00,-19.78M,0.004M,,2011-06,AOR,Restated
2011-03,49.96M,,,,14.29M,2.343M,16.64M,16.64M,-7.585M,-0.35M,,14.86M,-3.852M,5.195M,17.48M,-8.313M,,-8.586M,,,16.70M,92.22M,,2011-03,-32.24M,,,,-0.525M,0.00,-32.77M,,2011-03,-50.00M,50.00M,0.00,,-23.70M,-23.70M,,,14.13M,-5.71M,,2011-03,450.05M,503.80M,,2011-03,,-5.466M,0.00,-23.70M,0.205M,,2011-03,AOR,Restated
2010-12,60.87M,,,,13.59M,1.602M,15.19M,15.19M,12.79M,0.35M,,13.28M,-7.035M,1.471M,-25.60M,-17.00M,,8.568M,,,2.006M,64.82M,,2010-12,-33.04M,,,,-3.931M,,-36.97M,,2010-12,0.00,-44.53M,-44.53M,,-36.65M,-36.65M,,,43.09M,-31.06M,,2010-12,453.26M,450.05M,,2010-12,,5.466M,-50.00M,-36.65M,0.058M,,2010-12,AOR,Restated
2010-09,137.29M,,,11.44M,12.42M,4.327M,16.74M,16.74M,14.71M,-2.348M,,14.50M,-6.287M,-97.03M,-19.90M,-6.921M,,9.379M,,,0.829M,73.28M,,2010-09,-29.32M,,,,-0.40M,,-29.72M,,2010-09,0.00,,0.00,,-4.412M,-4.412M,,,19.67M,25.87M,,2010-09,383.82M,453.26M,,2010-09,,29.60M,-29.60M,-4.412M,-0.174M,,2010-09,AOR,Restated
2010-06,-55.75M,,,0.167M,11.90M,1.501M,13.41M,13.41M,11.40M,0.512M,,9.435M,0.00,91.72M,-47.41M,-13.53M,,25.99M,,,0.263M,36.50M,,2010-06,-25.35M,,,,-5.00M,,-30.35M,,2010-06,-33.08M,0.00,-33.08M,,0.00,0.00,,,6.098M,-27.74M,,2010-06,405.41M,383.82M,,2010-06,,-14.45M,-18.63M,0.00,0.22M,,2010-06,AOR,Restated
2010-03,27.74M,-0.072M,,0.024M,11.38M,1.50M,12.88M,12.88M,4.136M,0.758M,,8.72M,0.00,4.605M,11.43M,-6.403M,,-0.349M,,,-3.642M,60.16M,,2010-03,-19.58M,,,,0.00,,-19.58M,,2010-03,-40.05M,0.00,-40.05M,,3.466M,3.466M,,,8.658M,-31.50M,,2010-03,396.33M,405.41M,,2010-03,,-15.15M,-24.90M,3.466M,0.577M,,2010-03,AOR,Restated
2009-12,28.01M,0.072M,,0.072M,10.87M,1.501M,12.37M,12.37M,8.294M,1.078M,,8.084M,0.00,0.995M,-4.327M,-11.96M,,7.848M,,,2.55M,53.01M,,2009-12,-14.68M,,,,-1.00M,,-15.68M,,2009-12,-7.574M,0.00,-7.574M,,-3.466M,-3.466M,,,6.078M,-5.227M,,2009-12,364.22M,396.33M,,2009-12,,,-7.574M,-3.466M,0.092M,,2009-12,AOR,Restated
2009-09,58.34M,-0.228M,,8.685M,10.42M,2.175M,12.60M,12.60M,-26.06M,-4.169M,3.458M,7.145M,,-4.105M,-3.59M,3.143M,,19.53M,,,5.253M,75.54M,,2009-09,-14.91M,,,,-1.297M,,-16.21M,,2009-09,-32.41M,,-32.41M,,-0.379M,-0.379M,,,25.92M,2.384M,,2009-09,302.50M,364.22M,,2009-09,,,-32.41M,-0.379M,0.812M,,2009-09,AOR,Restated
2009-06,18.74M,0.181M,,0.181M,11.18M,1.548M,12.72M,12.72M,-0.043M,1.317M,0.00,5.468M,,1.222M,-0.459M,4.166M,,0.115M,,,0.16M,43.59M,,2009-06,-5.568M,,,,-7.839M,,-13.41M,,2009-06,0.00,,0.00,,-0.16M,-0.16M,,,10.43M,10.37M,,2009-06,261.95M,302.50M,,2009-06,,,0.00,-0.16M,0.286M,,2009-06,AOR,Restated
2009-03,-5.678M,0.046M,,0.046M,11.60M,1.246M,12.85M,12.85M,1.195M,1.298M,5.616M,4.264M,,8.171M,-3.819M,3.006M,,-4.48M,,,-0.53M,21.94M,,2009-03,-5.714M,,,,0.00,,-5.714M,,2009-03,-0.077M,,-0.077M,,-0.058M,-0.058M,,,2.166M,2.031M,,2009-03,243.70M,261.95M,,2009-03,,,-0.077M,-0.058M,0.80M,,2009-03,AOR,Restated
2008-12,23.58M,0.001M,,0.001M,11.21M,1.149M,12.36M,12.36M,0.044M,1.554M,,6.589M,,1.256M,37.82M,5.363M,,-5.949M,,,-4.883M,77.74M,,2008-12,-12.98M,,,,-1.22M,,-14.20M,,2008-12,-34.05M,,-34.05M,,-1.792M,-1.792M,,,0.149M,-44.94M,,2008-12,225.10M,243.70M,,2008-12,,,-34.05M,-1.792M,0.425M,,2008-12,,Restated
2008-09,54.79M,,,0.032M,11.28M,1.832M,13.11M,13.11M,-36.34M,,,,,12.74M,23.14M,-7.655M,,-10.71M,,,2.492M,51.60M,,2008-09,-12.99M,,-12.99M,,0.00,0.00,-12.99M,,2008-09,,,-62.38M,1.192M,-0.336M,0.856M,,,,-61.53M,,2008-09,248.02M,225.10M,,2008-09,1.192M,,,-0.336M,,,2008-09,,
2008-06,20.47M,,,-4.83M,11.44M,1.85M,13.29M,13.29M,-0.013M,,,,,14.24M,-4.396M,-1.697M,,-7.452M,,,-3.405M,26.20M,,2008-06,-14.43M,,-14.43M,,0.00,0.00,-14.43M,,2008-06,,,0.00,13.85M,-0.108M,13.74M,,,,14.09M,,2008-06,222.16M,248.02M,,2008-06,13.85M,,,-0.108M,,,2008-06,,
2008-03,16.67M,,,5.068M,11.08M,2.591M,13.67M,13.67M,-0.043M,,,,,6.369M,1.744M,-8.31M,,7.464M,,,-2.254M,40.38M,,2008-03,-17.51M,,-17.51M,,-0.01M,0.00,-17.52M,,2008-03,,,0.00,0.877M,-0.29M,0.587M,,,,0.587M,,2008-03,198.71M,222.16M,,2008-03,0.877M,,,-0.29M,,,2008-03,,
2007-12,19.08M,,,0.006M,10.92M,2.413M,13.33M,13.33M,-0.257M,,,,,7.242M,0.73M,1.58M,,12.81M,,,0.976M,55.49M,,2007-12,-19.90M,,-19.90M,,-32.62M,2.50M,-50.02M,,2007-12,,,-49.34M,2.127M,-1.329M,0.798M,,,,-48.34M,,2007-12,241.58M,198.71M,,2007-12,2.127M,,,-1.329M,,,2007-12,,
2007-09,21.99M,,,0.001M,10.41M,1.047M,11.46M,11.46M,-1.417M,,,,,6.29M,-3.453M,1.742M,,-1.258M,,,-5.336M,30.02M,,2007-09,-12.03M,,-12.03M,,,69.20M,57.17M,,2007-09,,,0.00,2.113M,-0.917M,1.196M,,,,1.196M,,2007-09,153.20M,241.58M,,2007-09,2.113M,,,-0.917M,,,2007-09,,
2007-06,11.42M,,,0.017M,9.999M,1.046M,11.04M,11.04M,0.186M,,,,,8.036M,-5.074M,-7.635M,,-3.023M,,,-1.856M,13.12M,,2007-06,-12.99M,,-12.99M,,,-10.85M,-23.84M,,2007-06,,,9.929M,1.835M,-0.097M,1.738M,,,,11.47M,,2007-06,152.45M,153.20M,,2007-06,1.835M,,,-0.097M,,,2007-06,,
2007-03,12.20M,,,0.199M,9.328M,1.515M,10.84M,10.84M,0.146M,,,,,5.974M,2.102M,-4.619M,,4.631M,0.652M,-1.086M,-5.157M,25.88M,,2007-03,-11.29M,,-11.29M,,,-0.95M,-12.24M,,2007-03,,,60.07M,1.158M,-30.16M,-29.01M,,,,24.88M,,2007-03,113.93M,152.45M,,2007-03,1.158M,,,-30.16M,,,2007-03,,
2006-12,12.04M,,,0.01M,9.502M,0.847M,10.35M,10.35M,-0.656M,,,,,4.624M,-4.299M,10.26M,,-17.00M,-0.652M,1.086M,,15.76M,,2006-12,-6.284M,,-6.284M,,,-34.95M,-41.23M,,2006-12,,,,3.16M,-0.503M,2.657M,,,,2.657M,,2006-12,136.75M,113.93M,,2006-12,3.16M,,,-0.503M,,,2006-12,,
2006-09,-96.37M,,,0.662M,10.08M,0.847M,10.93M,10.93M,13.80M,,,,,47.74M,14.76M,20.34M,,-2.732M,,,13.58M,22.72M,,2006-09,-12.66M,,-12.66M,,,27.86M,21.77M,,2006-09,,,0.00,0.146M,-0.085M,0.061M,,,,0.023M,,2006-09,92.24M,136.75M,,2006-09,0.146M,,,-0.085M,,,2006-09,,
2006-06,3.005M,,,-10.61M,9.708M,0.847M,10.56M,10.56M,0.941M,,,,,16.37M,-31.81M,-9.154M,,1.07M,,,1.297M,-18.34M,,2006-06,-10.64M,,-10.64M,,,4.25M,-6.392M,,2006-06,,,0.00,0.561M,-0.088M,0.473M,,,,0.221M,,2006-06,116.75M,92.24M,,2006-06,0.561M,,,-0.088M,,,2006-06,,
2006-03,0.926M,,,5.609M,9.285M,1.507M,10.79M,10.79M,0.974M,,,,,,-1.774M,-13.77M,,2.437M,0.925M,-3.527M,-1.747M,0.849M,,2006-03,-12.43M,,-12.43M,,,54.71M,42.29M,,2006-03,,,-50.66M,0.791M,,0.791M,,,,-49.87M,,2006-03,123.49M,116.75M,,2006-03,0.791M,,,,,,2006-03,,
