,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData
2018-03,678.00M,,,0.00,0.00,129.00M,129.00M,13.00M,28.00M,-25.00M,-211.00M,-33.00M,33.00M,,,4.00M,-207.00M,616.00M,-118.00M,,,-727.00M,-38.00M,2.00M,-881.00M,147.00M,147.00M,,-351.00M,-351.00M,-352.00M,-352.00M,119.00M,,-437.00M,1.535B,-702.00M,18.00M,851.00M,,2.226B,-2.079B,-351.00M,163.00M
2017-12,353.00M,,,0.00,0.00,121.00M,121.00M,385.00M,21.00M,11.00M,35.00M,-24.00M,-135.00M,,,-8.00M,-132.00M,759.00M,-171.00M,,,0.00,196.00M,-8.00M,61.00M,44.00M,44.00M,,-344.00M,-344.00M,-459.00M,-459.00M,76.00M,,-683.00M,1.38B,137.00M,18.00M,1.535B,,1.301B,-1.257B,-344.00M,217.00M
2017-09,650.00M,,,-24.00M,-24.00M,128.00M,128.00M,62.00M,53.00M,2.00M,14.00M,7.00M,100.00M,,,-2.00M,119.00M,990.00M,-153.00M,,,0.00,-65.00M,-2.00M,-220.00M,7.00M,7.00M,,-395.00M,-395.00M,-354.00M,-354.00M,94.00M,,-648.00M,1.241B,122.00M,17.00M,1.38B,,1.717B,-1.71B,-395.00M,181.00M
2017-06,560.00M,,,0.00,0.00,117.00M,117.00M,-13.00M,18.00M,87.00M,-12.00M,0.00,-159.00M,,,16.00M,-155.00M,614.00M,-108.00M,,,,-50.00M,4.00M,-154.00M,-13.00M,-13.00M,,-327.00M,-327.00M,-371.00M,-371.00M,112.00M,,-599.00M,1.347B,-139.00M,33.00M,1.241B,,1.023B,-1.036B,-327.00M,453.00M
2017-03,611.00M,,,-57.00M,-57.00M,109.00M,109.00M,-51.00M,35.00M,-9.00M,-52.00M,9.00M,98.00M,,,-2.00M,53.00M,691.00M,-121.00M,,,,-37.00M,,-158.00M,-67.00M,-67.00M,,-333.00M,-333.00M,-345.00M,-345.00M,225.00M,,-520.00M,1.315B,13.00M,19.00M,1.347B,,738.00M,-805.00M,-333.00M,186.00M
2016-12,628.00M,,0.00,0.00,0.00,114.00M,114.00M,6.00M,21.00M,-8.00M,109.00M,-8.00M,-1.00M,,,-37.00M,63.00M,824.00M,-201.00M,0.00,0.00,,155.00M,-3.00M,-54.00M,163.00M,163.00M,,-422.00M,-422.00M,-455.00M,-455.00M,28.00M,,-686.00M,1.298B,84.00M,-67.00M,1.315B,,1.991B,-1.828B,-422.00M,236.00M
2016-09,746.00M,,-97.00M,-3.00M,-100.00M,114.00M,114.00M,91.00M,54.00M,-9.00M,6.00M,39.00M,32.00M,,,24.00M,101.00M,997.00M,-144.00M,60.00M,60.00M,,-17.00M,-4.00M,-105.00M,-44.00M,-44.00M,,-431.00M,-431.00M,-349.00M,-349.00M,144.00M,,-680.00M,1.085B,212.00M,1.00M,1.298B,,1.324B,-1.368B,-431.00M,189.00M
2016-06,638.00M,,,0.00,0.00,109.00M,109.00M,-5.00M,17.00M,2.00M,-37.00M,-3.00M,-11.00M,,,-4.00M,-55.00M,706.00M,-134.00M,,,,-66.00M,4.00M,-196.00M,63.00M,63.00M,,-253.00M,-253.00M,-364.00M,-364.00M,128.00M,,-426.00M,1.014B,84.00M,-13.00M,1.085B,,1.753B,-1.69B,-253.00M,290.00M
2016-03,574.00M,,,-50.00M,-50.00M,106.00M,106.00M,-36.00M,31.00M,6.00M,-95.00M,-32.00M,80.00M,,,30.00M,-17.00M,614.00M,-114.00M,,,,-30.00M,,-144.00M,-18.00M,-18.00M,,-229.00M,-229.00M,-340.00M,-340.00M,146.00M,,-441.00M,970.00M,29.00M,15.00M,1.014B,,2.37B,-2.388B,-229.00M,217.00M
2015-12,-421.00M,0.00,,,0.00,112.00M,112.00M,-9.00M,21.00M,1.085B,97.00M,-14.00M,-49.00M,,,19.00M,53.00M,841.00M,-232.00M,,,0.00,-42.00M,-76.00M,-341.00M,-181.00M,-181.00M,,-355.00M,-355.00M,-460.00M,-460.00M,46.00M,,-950.00M,1.445B,-450.00M,-25.00M,970.00M,,2.309B,-2.49B,-355.00M,2.226B
2015-09,770.00M,-187.00M,,,-187.00M,112.00M,112.00M,18.00M,53.00M,27.00M,50.00M,-7.00M,59.00M,,,-10.00M,92.00M,885.00M,-179.00M,,,208.00M,69.00M,-4.00M,94.00M,94.00M,94.00M,,-429.00M,-429.00M,-344.00M,-344.00M,109.00M,,-570.00M,1.059B,409.00M,-23.00M,1.445B,,2.607B,-2.513B,-429.00M,-327.00M
2015-06,616.00M,,,0.00,0.00,111.00M,111.00M,-38.00M,19.00M,18.00M,-72.00M,31.00M,-188.00M,,,-1.00M,-230.00M,496.00M,-158.00M,,,,-28.00M,5.00M,-181.00M,574.00M,574.00M,,-393.00M,-393.00M,-360.00M,-360.00M,64.00M,,-115.00M,859.00M,200.00M,0.00,1.059B,,2.581B,-2.007B,-393.00M,-804.00M
2015-03,583.00M,,,0.00,0.00,114.00M,114.00M,-22.00M,32.00M,57.00M,-150.00M,-23.00M,111.00M,,,25.00M,-37.00M,727.00M,-122.00M,,,,-142.00M,7.00M,-257.00M,-66.00M,-66.00M,,-374.00M,-374.00M,-329.00M,-329.00M,128.00M,,-641.00M,1.089B,-171.00M,-59.00M,859.00M,,2.105B,-2.171B,-374.00M,164.00M
2014-12,666.00M,0.00,,0.00,0.00,113.00M,113.00M,53.00M,22.00M,-5.00M,113.00M,-9.00M,-43.00M,,,-4.00M,57.00M,906.00M,-264.00M,,,-62.00M,-102.00M,0.00,-404.00M,58.00M,58.00M,,-411.00M,-411.00M,-456.00M,-456.00M,76.00M,,-733.00M,1.355B,-231.00M,-35.00M,1.089B,,2.363B,-2.305B,-411.00M,228.00M
2014-09,580.00M,0.00,,-2.00M,-2.00M,114.00M,114.00M,2.00M,55.00M,128.00M,-24.00M,39.00M,108.00M,,,3.00M,126.00M,1.003B,-179.00M,,,0.00,33.00M,5.00M,-141.00M,-48.00M,-48.00M,,-373.00M,-373.00M,-328.00M,-328.00M,142.00M,,-607.00M,1.161B,255.00M,-61.00M,1.355B,,1.89B,-1.938B,-373.00M,267.00M
2014-06,661.00M,,,,,107.00M,107.00M,-16.00M,20.00M,23.00M,-121.00M,-23.00M,-108.00M,,,26.00M,-226.00M,569.00M,-146.00M,,,0.00,89.00M,-8.00M,-65.00M,-597.00M,-597.00M,,-293.00M,-293.00M,-346.00M,-346.00M,103.00M,,-1.133B,1.795B,-629.00M,-5.00M,1.161B,,1.747B,-2.344B,-293.00M,343.00M
2014-03,432.00M,,,,,108.00M,108.00M,-21.00M,34.00M,311.00M,-77.00M,-67.00M,100.00M,,,,-44.00M,820.00M,-168.00M,,,-25.00M,-77.00M,21.00M,-249.00M,1.022B,1.022B,,-453.00M,-453.00M,-316.00M,-316.00M,50.00M,,303.00M,962.00M,874.00M,-41.00M,1.795B,,2.96B,-1.938B,-453.00M,171.00M
2013-12,601.00M,,,0.00,0.00,110.00M,110.00M,36.00M,23.00M,100.00M,100.00M,10.00M,-97.00M,,,-44.00M,-31.00M,839.00M,-251.00M,,,-3.00M,-25.00M,2.00M,-262.00M,363.00M,363.00M,,-406.00M,-406.00M,-352.00M,-352.00M,63.00M,,-332.00M,721.00M,245.00M,-4.00M,962.00M,,2.413B,-2.05B,-406.00M,306.00M
2013-09,699.00M,,,-1.00M,-1.00M,108.00M,108.00M,83.00M,53.00M,-23.00M,57.00M,11.00M,32.00M,,,21.00M,121.00M,1.04B,-176.00M,,,0.00,-59.00M,5.00M,-230.00M,-319.00M,-319.00M,,-344.00M,-344.00M,-405.00M,-405.00M,104.00M,,-964.00M,884.00M,-154.00M,-9.00M,721.00M,,1.76B,-2.079B,-344.00M,220.00M
2013-06,604.00M,,,-100.00M,-100.00M,111.00M,111.00M,-31.00M,20.00M,75.00M,-19.00M,-103.00M,-23.00M,,,14.00M,-131.00M,548.00M,-149.00M,,,0.00,-9.00M,-8.00M,-166.00M,261.00M,261.00M,,-386.00M,-386.00M,-335.00M,-335.00M,76.00M,,-384.00M,932.00M,-2.00M,-46.00M,884.00M,,2.25B,-1.989B,-386.00M,379.00M
2013-03,506.00M,,,,,110.00M,110.00M,-17.00M,32.00M,202.00M,-175.00M,-15.00M,112.00M,,,22.00M,-56.00M,777.00M,-94.00M,,,0.00,-145.00M,7.00M,-232.00M,117.00M,117.00M,,-385.00M,-385.00M,-290.00M,-290.00M,96.00M,,-462.00M,884.00M,83.00M,-35.00M,932.00M,,1.553B,-1.436B,-385.00M,182.00M
2012-12,636.00M,,,0.00,0.00,108.00M,108.00M,-8.00M,22.00M,70.00M,185.00M,27.00M,22.00M,,,1.00M,235.00M,1.063B,-248.00M,34.00M,34.00M,0.00,-17.00M,-10.00M,-241.00M,-6.00M,-6.00M,,-599.00M,-599.00M,-326.00M,-326.00M,88.00M,,-843.00M,909.00M,-21.00M,-4.00M,884.00M,,1.321B,-1.327B,-599.00M,331.00M
2012-09,697.00M,,,-1.00M,-1.00M,106.00M,106.00M,57.00M,50.00M,-8.00M,-47.00M,-2.00M,121.00M,,,-33.00M,39.00M,940.00M,-128.00M,38.00M,38.00M,0.00,-233.00M,20.00M,-303.00M,-119.00M,-119.00M,,-450.00M,-450.00M,-358.00M,-358.00M,199.00M,,-728.00M,995.00M,-91.00M,5.00M,909.00M,,1.258B,-1.377B,-450.00M,267.00M
2012-06,665.00M,,,-100.00M,-100.00M,105.00M,105.00M,-8.00M,19.00M,-10.00M,-29.00M,-8.00M,-113.00M,,,10.00M,-140.00M,531.00M,-129.00M,,,-29.00M,-129.00M,7.00M,-280.00M,396.00M,396.00M,,-431.00M,-431.00M,-315.00M,-315.00M,85.00M,,-265.00M,1.044B,-14.00M,-35.00M,995.00M,,1.69B,-1.294B,-431.00M,459.00M
2012-03,633.00M,,,,,106.00M,106.00M,22.00M,29.00M,-17.00M,-90.00M,-38.00M,-35.00M,,,52.00M,-111.00M,662.00M,-60.00M,,,,-19.00M,38.00M,-41.00M,170.00M,170.00M,,-463.00M,-463.00M,-278.00M,-278.00M,106.00M,,-465.00M,878.00M,156.00M,10.00M,1.044B,,1.183B,-1.013B,-463.00M,223.00M
2011-12,625.00M,207.00M,,0.00,0.00,106.00M,106.00M,-46.00M,20.00M,-27.00M,-3.00M,17.00M,137.00M,,,10.00M,161.00M,839.00M,-213.00M,22.00M,22.00M,6.00M,2.00M,-32.00M,-215.00M,60.00M,60.00M,,-420.00M,-420.00M,,-353.00M,37.00M,,-676.00M,945.00M,-52.00M,-15.00M,878.00M,,1.769B,-1.709B,-420.00M,238.00M
2011-09,676.00M,-207.00M,,-78.00M,-285.00M,113.00M,113.00M,88.00M,46.00M,161.00M,26.00M,1.00M,81.00M,,,-4.00M,104.00M,903.00M,-99.00M,241.00M,241.00M,-12.00M,-26.00M,9.00M,113.00M,-210.00M,-210.00M,,-369.00M,-369.00M,,-282.00M,96.00M,,-765.00M,739.00M,251.00M,-45.00M,945.00M,,641.00M,-851.00M,-369.00M,256.00M
2011-06,646.00M,,,-100.00M,-100.00M,103.00M,103.00M,38.00M,18.00M,-18.00M,4.00M,-63.00M,-172.00M,,,18.00M,-213.00M,474.00M,-147.00M,,,-960.00M,104.00M,-37.00M,-1.04B,1.172B,1.172B,,-437.00M,-437.00M,,-307.00M,188.00M,,616.00M,686.00M,50.00M,3.00M,739.00M,,1.798B,-626.00M,-437.00M,369.00M
2011-03,607.00M,,,,,99.00M,99.00M,8.00M,38.00M,-13.00M,-157.00M,-85.00M,153.00M,,,30.00M,-59.00M,680.00M,-78.00M,,,,-13.00M,20.00M,-71.00M,392.00M,392.00M,,-580.00M,-580.00M,,-261.00M,32.00M,,-417.00M,490.00M,192.00M,4.00M,686.00M,,1.635B,-1.243B,-580.00M,144.00M
2010-12,651.00M,,,0.00,-50.00M,98.00M,98.00M,-62.00M,20.00M,86.00M,96.00M,53.00M,30.00M,,,46.00M,225.00M,968.00M,-232.00M,39.00M,39.00M,0.00,-24.00M,-3.00M,-220.00M,56.00M,56.00M,,-635.00M,-635.00M,,-338.00M,38.00M,,-879.00M,654.00M,-131.00M,-33.00M,490.00M,,1.306B,-1.25B,-635.00M,269.00M
2010-09,645.00M,0.00,,-35.00M,-35.00M,93.00M,93.00M,36.00M,41.00M,0.00,-21.00M,22.00M,111.00M,,,49.00M,161.00M,941.00M,-114.00M,3.00M,3.00M,0.00,-104.00M,-8.00M,-223.00M,-3.00M,-3.00M,,-407.00M,-407.00M,,-284.00M,63.00M,,-631.00M,555.00M,87.00M,12.00M,654.00M,,952.00M,-955.00M,-407.00M,233.00M
2010-06,1.017B,,,,,93.00M,93.00M,21.00M,19.00M,-387.00M,64.00M,-29.00M,-233.00M,,,4.00M,-194.00M,569.00M,-123.00M,,,0.00,-6.00M,1.00M,-128.00M,281.00M,281.00M,,-473.00M,-473.00M,,-298.00M,53.00M,,-437.00M,561.00M,4.00M,-10.00M,555.00M,,1.641B,-1.36B,-473.00M,405.00M
2010-03,,,,,,92.00M,92.00M,34.00M,41.00M,658.00M,-99.00M,-56.00M,27.00M,,,36.00M,-92.00M,733.00M,-81.00M,,,,-7.00M,1.00M,-87.00M,-38.00M,-38.00M,,-505.00M,-505.00M,,-222.00M,88.00M,,-677.00M,600.00M,-31.00M,-8.00M,561.00M,,1.116B,-1.154B,-505.00M,216.00M
2009-12,656.00M,,,,9.00M,89.00M,89.00M,-39.00M,20.00M,-115.00M,161.00M,34.00M,-61.00M,,,51.00M,185.00M,902.00M,-228.00M,17.00M,17.00M,,-142.00M,-4.00M,-357.00M,-76.00M,-76.00M,,-399.00M,-399.00M,,-279.00M,104.00M,,-650.00M,847.00M,-105.00M,-142.00M,600.00M,,863.00M,-939.00M,-399.00M,245.00M
2009-09,617.00M,,,,-14.00M,90.00M,90.00M,-18.00M,41.00M,106.00M,-18.00M,8.00M,417.00M,,,32.00M,439.00M,1.164B,-137.00M,-12.00M,-12.00M,,-127.00M,9.00M,-267.00M,-543.00M,-543.00M,,-268.00M,-268.00M,,-248.00M,104.00M,,-955.00M,896.00M,-58.00M,9.00M,847.00M,,953.00M,-1.496B,-268.00M,271.00M
2009-06,588.00M,,,,7.00M,90.00M,90.00M,-20.00M,17.00M,-48.00M,-71.00M,36.00M,-65.00M,,,-52.00M,-152.00M,521.00M,-137.00M,8.00M,8.00M,,-7.00M,1.00M,-135.00M,153.00M,153.00M,,-194.00M,-194.00M,,-251.00M,82.00M,,-210.00M,702.00M,176.00M,18.00M,896.00M,,897.00M,-744.00M,-194.00M,480.00M
2009-03,536.00M,,,,-7.00M,82.00M,82.00M,54.00M,39.00M,39.00M,-15.00M,-34.00M,3.00M,,,32.00M,-14.00M,690.00M,-73.00M,4.00M,4.00M,,-13.00M,,-82.00M,-60.00M,-60.00M,,-202.00M,-202.00M,,-203.00M,10.00M,,-455.00M,555.00M,153.00M,-6.00M,702.00M,,711.00M,-771.00M,-202.00M,102.00M
2008-12,497.00M,,,,-14.00M,87.00M,87.00M,-44.00M,18.00M,18.00M,62.00M,41.00M,-37.00M,,,-85.00M,-19.00M,525.00M,-292.00M,58.00M,58.00M,,9.00M,-47.00M,-272.00M,172.00M,172.00M,,-240.00M,-240.00M,,-262.00M,13.00M,,-317.00M,635.00M,-64.00M,-16.00M,555.00M,,1.068B,-896.00M,-240.00M,200.00M
2008-09,499.70M,,,,11.10M,88.60M,88.60M,-29.00M,39.30M,39.30M,0.50M,-40.80M,102.20M,,,69.00M,130.90M,740.60M,-175.30M,-44.90M,-44.90M,,1.00M,49.20M,-170.00M,-139.10M,-139.10M,,-291.00M,-291.00M,,-217.30M,106.90M,,-540.50M,622.80M,30.10M,-18.20M,635.00M,,-95.90M,-43.20M,-291.00M,263.00M
2008-06,493.80M,,,,-37.50M,83.80M,83.80M,43.00M,15.60M,15.60M,-80.40M,-46.50M,-46.60M,,,41.30M,-132.20M,466.50M,-131.40M,32.10M,32.10M,,-9.00M,1.20M,-107.10M,47.90M,47.90M,,-235.80M,-235.80M,,-224.10M,39.00M,,-373.00M,642.10M,-13.60M,-5.70M,622.80M,,206.30M,-158.40M,-235.80M,289.80M
2008-03,466.50M,,,,-9.60M,88.60M,88.60M,24.00M,27.10M,27.10M,-52.10M,-88.70M,106.40M,,,7.70M,-26.70M,569.90M,-85.30M,12.80M,12.80M,,9.00M,-0.40M,-63.90M,114.20M,114.20M,,-306.20M,-306.20M,,-185.60M,78.10M,,-299.50M,428.70M,206.50M,6.90M,642.10M,,1.337B,-1.222B,-306.20M,109.20M
2007-12,414.90M,,,,24.90M,87.50M,87.50M,-87.20M,,17.20M,100.50M,6.90M,1.40M,,,-1.10M,107.70M,565.00M,-256.00M,3.70M,-252.30M,0.00,,38.60M,-224.70M,,-119.20M,175.60M,-402.80M,-227.20M,,-199.20M,,,-545.60M,628.40M,-205.30M,5.60M,428.70M,175.60M,,,-402.80M,
2007-09,420.10M,,,,4.10M,85.30M,85.30M,19.40M,,40.80M,-61.50M,-16.90M,213.30M,,,35.10M,170.00M,739.70M,-127.50M,39.70M,-87.80M,-26.50M,,-58.10M,-172.40M,,-169.90M,128.50M,-264.40M,-135.90M,,-186.20M,,,-492.00M,546.90M,75.30M,6.20M,628.40M,128.50M,,,-264.40M,
2007-06,415.80M,,,,-7.70M,80.10M,80.10M,14.90M,,9.50M,-50.70M,-20.70M,19.30M,,,-49.40M,-101.50M,411.10M,-106.90M,66.30M,-40.60M,-66.50M,,-4.60M,-111.70M,,125.80M,101.20M,-262.60M,-161.40M,,-197.40M,,,-233.00M,474.40M,66.40M,6.10M,546.90M,101.20M,,,-262.60M,
2007-03,486.60M,,,,-48.60M,81.00M,81.00M,-94.50M,,42.80M,-54.80M,-80.80M,132.20M,,,24.00M,20.60M,487.90M,-92.70M,,-92.70M,66.50M,,6.70M,-19.50M,,-61.40M,84.00M,-339.60M,-255.60M,,-166.80M,,,-483.80M,489.50M,-15.40M,0.30M,474.40M,84.00M,,,-339.60M,
2006-12,401.20M,,,,-88.70M,85.20M,85.20M,24.50M,,25.20M,6.90M,10.40M,27.10M,,,-40.20M,4.20M,451.60M,-224.60M,52.10M,-172.50M,0.00,,21.40M,-150.10M,,33.70M,105.90M,-283.40M,-177.50M,,-180.40M,,,-324.20M,502.90M,-22.70M,9.30M,489.50M,105.90M,,,-283.40M,
2006-09,344.10M,,,,34.20M,81.10M,81.10M,-24.50M,,40.70M,-64.60M,-12.20M,215.70M,,,59.50M,198.40M,674.00M,-115.10M,2.90M,-112.20M,-95.80M,,-10.30M,-218.30M,,-6.60M,58.50M,-265.60M,-207.10M,,-167.50M,,,-381.20M,430.40M,74.50M,-2.00M,502.90M,58.50M,,,-265.60M,
2006-06,283.60M,,,,79.00M,82.20M,82.20M,17.90M,,51.00M,-51.10M,-31.40M,-71.60M,,,-46.20M,-200.30M,313.40M,-85.00M,,-85.00M,-104.20M,,-7.30M,-196.50M,,65.20M,168.10M,-121.10M,47.00M,,-178.30M,,,-66.10M,382.80M,50.80M,-3.20M,430.40M,168.10M,,,-121.10M,
2006-03,324.50M,,,,74.40M,80.20M,80.20M,-17.90M,,,-7.20M,-85.30M,-21.30M,,,35.10M,-78.70M,382.50M,-51.70M,,-51.70M,,,-3.80M,-55.50M,,46.80M,31.90M,-214.60M,-182.70M,,-151.60M,,,-287.50M,340.70M,39.50M,2.60M,382.80M,31.90M,,,-214.60M,
2005-12,361.20M,,,,56.80M,81.90M,81.90M,,,-67.30M,16.70M,27.40M,-5.10M,,,7.40M,46.40M,479.00M,-131.40M,98.60M,-32.80M,0.00,,-2.30M,-43.70M,,-171.70M,14.00M,-146.70M,-132.70M,,-164.10M,,,-468.50M,376.30M,-33.20M,-2.40M,340.70M,14.00M,,,-146.70M,
2005-09,347.20M,,,,-154.90M,82.20M,82.20M,-3.00M,,108.40M,-14.00M,21.50M,178.10M,,,11.50M,197.10M,577.00M,-98.60M,117.00M,18.40M,-38.50M,,7.20M,-12.90M,,-309.00M,13.80M,-136.00M,-122.20M,,-151.90M,,,-583.10M,392.10M,-19.00M,3.20M,376.30M,13.80M,,,-136.00M,
2005-06,342.90M,,,,8.50M,82.00M,82.00M,1.20M,,,-7.00M,-22.80M,-55.90M,,,-45.50M,-131.20M,303.40M,-98.70M,,-98.70M,,,-2.50M,-101.20M,,168.60M,8.50M,-230.80M,-222.30M,,-163.70M,,,-217.40M,413.90M,-15.20M,-6.60M,392.10M,8.50M,,,-230.80M,
2005-03,300.10M,,,,53.30M,83.20M,83.20M,1.80M,,,-19.80M,-72.90M,35.60M,,,43.70M,-13.40M,425.00M,-60.50M,,-60.50M,,,-2.40M,-62.90M,,144.00M,10.80M,-282.70M,-271.90M,,-127.50M,,,-255.40M,319.60M,106.70M,-12.40M,413.90M,10.80M,,,-282.70M,
2004-12,285.70M,,,,53.00M,86.60M,86.60M,1.20M,,,25.10M,51.70M,-51.10M,,,42.30M,68.00M,523.80M,-149.30M,,-112.30M,-35.70M,,-50.80M,-179.20M,,-86.20M,2.80M,-184.70M,-181.90M,,-138.80M,,,-406.90M,370.60M,-62.30M,11.30M,319.60M,2.80M,,,-184.70M,
2004-09,329.00M,,,,-36.60M,81.50M,81.50M,-23.80M,,,1.60M,-11.90M,188.60M,,,58.10M,236.40M,586.50M,-81.20M,,-81.20M,-50.20M,,0.20M,-131.20M,,-289.40M,10.40M,-95.00M,-84.60M,,-128.80M,,,-502.80M,417.30M,-47.50M,0.80M,370.60M,10.40M,,,-95.00M,
