,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,851.00M,,851.00M,1.644B,1.644B,258.00M,49.00M,1.005B,1.312B,485.00M,4.292B,,,,,8.648B,-4.561B,4.087B,2.572B,1.782B,4.354B,187.00M,224.00M,8.852B,13.14B,1.209B,432.00M,1.641B,2.18B,3.821B,,,159.00M,,159.00M,,3.98B,6.55B,,6.55B,249.00M,249.00M,,,350.00M,2.264B,9.063B,13.04B,1.466B,20.58B,2.047B,20.44B,,,,-3.90B,-249.00M
2017-12,1.535B,,1.535B,1.48B,1.48B,267.00M,42.00M,912.00M,1.221B,403.00M,4.639B,0.0,159.00M,1.655B,6.646B,8.46B,-4.388B,4.072B,2.218B,1.341B,3.559B,188.00M,218.00M,8.037B,12.68B,1.212B,477.00M,1.689B,1.607B,3.296B,,11.00M,11.00M,,11.00M,20.00M,3.408B,6.566B,,6.566B,204.00M,204.00M,53.00M,1.724B,303.00M,478.00M,9.025B,12.43B,1.466B,20.53B,1.984B,20.18B,,,,-3.855B,-60.00M
2017-09,1.38B,,1.38B,1.53B,1.53B,249.00M,47.00M,909.00M,1.205B,621.00M,4.736B,,,,,8.419B,-4.42B,3.999B,2.216B,1.343B,3.559B,265.00M,216.00M,8.039B,12.78B,1.164B,391.00M,1.555B,2.292B,3.847B,,,7.00M,,7.00M,,3.854B,6.52B,,6.52B,196.00M,196.00M,,,375.00M,1.938B,8.654B,12.51B,1.466B,20.21B,1.932B,19.88B,,,,-3.834B,-108.00M
2017-06,1.241B,,1.241B,1.526B,1.526B,241.00M,47.00M,911.00M,1.199B,589.00M,4.555B,,,,,8.261B,-4.331B,3.93B,2.191B,1.34B,3.531B,360.00M,204.00M,8.025B,12.58B,1.131B,404.00M,1.535B,2.232B,3.767B,,,13.00M,,13.00M,,3.78B,6.506B,,6.506B,195.00M,195.00M,,,330.00M,2.011B,8.712B,12.49B,1.466B,19.95B,1.854B,19.56B,,,,-3.947B,-242.00M
2017-03,1.347B,,1.347B,1.496B,1.496B,241.00M,44.00M,904.00M,1.189B,564.00M,4.596B,,,,,8.146B,-4.263B,3.883B,2.134B,1.312B,3.446B,321.00M,202.00M,7.852B,12.45B,1.116B,579.00M,1.695B,2.107B,3.802B,,,7.00M,,7.00M,,3.809B,6.466B,,6.466B,198.00M,198.00M,,,308.00M,1.98B,8.644B,12.45B,1.466B,19.78B,1.787B,19.29B,,,,-4.052B,-313.00M
2016-12,1.315B,,1.315B,1.411B,1.411B,266.00M,42.00M,863.00M,1.171B,441.00M,4.338B,0.0,147.00M,1.544B,6.251B,7.942B,-4.102B,3.84B,2.107B,1.313B,3.42B,301.00M,224.00M,7.785B,12.12B,1.124B,553.00M,1.677B,1.531B,3.208B,,13.00M,13.00M,,13.00M,4.00M,3.305B,6.52B,,6.52B,246.00M,246.00M,69.00M,1.794B,260.00M,172.00M,8.801B,12.11B,1.466B,19.92B,1.691B,19.14B,,,,-4.18B,-243.00M
2016-09,1.298B,,1.298B,1.56B,1.56B,259.00M,44.00M,890.00M,1.193B,713.00M,4.764B,,,,,8.309B,-4.472B,3.837B,2.181B,1.346B,3.527B,261.00M,234.00M,7.859B,12.62B,1.076B,350.00M,1.426B,2.322B,3.748B,,,907.00M,,907.00M,,4.655B,5.616B,,5.616B,270.00M,270.00M,,,361.00M,1.854B,7.74B,12.40B,1.466B,19.31B,1.654B,18.73B,,,,-3.829B,-133.00M
2016-06,1.085B,,1.085B,1.575B,1.575B,257.00M,45.00M,930.00M,1.232B,722.00M,4.614B,,,,,8.247B,-4.422B,3.825B,2.17B,1.347B,3.517B,311.00M,248.00M,7.901B,12.52B,1.082B,364.00M,1.446B,2.272B,3.718B,,,953.00M,,953.00M,,4.671B,5.619B,,5.619B,258.00M,258.00M,,,315.00M,1.933B,7.81B,12.48B,1.466B,18.96B,1.542B,18.40B,,,,-3.843B,-281.00M
2016-03,1.014B,,1.014B,1.546B,1.546B,260.00M,61.00M,913.00M,1.234B,696.00M,4.49B,,,,,8.222B,-4.402B,3.82B,2.17B,1.361B,3.531B,349.00M,258.00M,7.958B,12.45B,1.108B,370.00M,1.478B,2.282B,3.76B,,,703.00M,,703.00M,,4.463B,5.877B,,5.877B,249.00M,249.00M,,,297.00M,1.932B,8.058B,12.52B,1.466B,18.70B,1.495B,18.20B,,,,-3.825B,-370.00M
2015-12,970.00M,,970.00M,1.427B,1.427B,261.00M,45.00M,874.00M,1.18B,807.00M,4.384B,0.0,153.00M,1.492B,6.414B,8.059B,-4.263B,3.796B,2.103B,1.346B,3.449B,67.00M,239.00M,7.551B,11.94B,1.11B,398.00M,1.508B,1.645B,3.153B,,302.00M,302.00M,,302.00M,5.00M,3.534B,6.246B,,6.246B,233.00M,233.00M,96.00M,1.65B,255.00M,220.00M,8.445B,11.98B,1.466B,18.86B,1.438B,18.10B,,,,-3.95B,-299.00M
2015-09,1.445B,,1.445B,1.561B,1.561B,311.00M,54.00M,912.00M,1.277B,806.00M,5.089B,,,,,8.312B,-4.353B,3.959B,2.139B,1.367B,3.506B,137.00M,872.00M,8.474B,13.56B,1.109B,340.00M,1.449B,2.252B,3.701B,,,236.00M,,236.00M,,3.937B,6.554B,,6.554B,234.00M,234.00M,,,335.00M,2.248B,9.036B,12.97B,1.466B,19.32B,1.351B,17.79B,,,,-4.085B,255.00M
2015-06,1.059B,,1.059B,1.691B,1.691B,315.00M,58.00M,951.00M,1.324B,914.00M,4.988B,,,,,8.418B,-4.379B,4.039B,2.241B,1.371B,3.612B,144.00M,877.00M,8.672B,13.66B,1.169B,297.00M,1.466B,2.243B,3.709B,,,497.00M,,497.00M,,4.206B,6.186B,,6.186B,261.00M,261.00M,,,303.00M,2.25B,8.697B,12.90B,1.466B,18.94B,1.31B,17.47B,,,,-3.776B,454.00M
2015-03,859.00M,,859.00M,1.611B,1.611B,323.00M,56.00M,971.00M,1.35B,880.00M,4.70B,,,,,8.212B,-4.244B,3.968B,2.186B,1.356B,3.542B,79.00M,867.00M,8.456B,13.16B,1.167B,417.00M,1.584B,2.233B,3.817B,,,506.00M,,506.00M,,4.323B,5.622B,,5.622B,233.00M,233.00M,,,279.00M,2.239B,8.094B,12.42B,1.466B,18.70B,1.272B,17.12B,,,,-3.847B,460.00M
2014-12,1.089B,,1.089B,1.552B,1.552B,349.00M,55.00M,978.00M,1.382B,840.00M,4.863B,0.0,250.00M,1.66B,6.475B,8.385B,-4.305B,4.08B,2.307B,1.413B,3.72B,76.00M,720.00M,8.596B,13.46B,1.231B,416.00M,1.647B,1.701B,3.348B,,504.00M,504.00M,,504.00M,5.00M,3.946B,5.644B,,5.644B,261.00M,261.00M,78.00M,1.886B,240.00M,259.00M,8.128B,12.07B,1.466B,18.83B,1.236B,16.86B,,,,-3.507B,1.145B
2014-09,1.355B,,1.355B,1.747B,1.747B,339.00M,58.00M,1.025B,1.422B,657.00M,5.181B,,,,,8.413B,-4.375B,4.038B,2.355B,1.424B,3.779B,31.00M,656.00M,8.504B,13.68B,1.215B,294.00M,1.509B,2.289B,3.798B,,,614.00M,,614.00M,,4.412B,5.441B,,5.441B,355.00M,355.00M,,,326.00M,1.731B,7.527B,11.94B,1.466B,18.21B,1.126B,16.48B,,,,-2.887B,1.42B
2014-06,1.161B,,1.161B,1.803B,1.803B,328.00M,70.00M,1.11B,1.508B,702.00M,5.174B,,,,,8.476B,-4.399B,4.077B,2.489B,1.486B,3.975B,74.00M,688.00M,8.814B,13.99B,1.251B,244.00M,1.495B,2.246B,3.741B,,,320.00M,,320.00M,,4.061B,5.741B,,5.741B,393.00M,393.00M,,,292.00M,1.722B,7.856B,11.92B,1.466B,17.99B,1.056B,16.21B,,,,-2.504B,1.779B
2014-03,1.795B,,1.795B,1.67B,1.67B,338.00M,63.00M,1.077B,1.478B,734.00M,5.677B,,,,,8.363B,-4.326B,4.037B,2.485B,1.50B,3.985B,75.00M,658.00M,8.755B,14.43B,1.264B,253.00M,1.517B,2.265B,3.782B,,,920.00M,,920.00M,,4.702B,5.739B,,5.739B,393.00M,393.00M,,,270.00M,1.698B,7.83B,12.53B,1.466B,17.70B,1.01B,15.98B,,,,-2.537B,1.63B
2013-12,962.00M,,962.00M,1.636B,1.636B,340.00M,60.00M,1.025B,1.425B,908.00M,4.931B,0.0,254.00M,1.625B,6.451B,8.33B,-4.247B,4.083B,2.474B,1.496B,3.97B,77.00M,924.00M,9.054B,13.98B,1.343B,370.00M,1.713B,1.853B,3.566B,,908.00M,908.00M,,908.00M,11.00M,4.579B,4.749B,,4.749B,444.00M,444.00M,16.00M,1.387B,231.00M,274.00M,6.87B,11.45B,1.466B,17.95B,1.004B,15.63B,,,,-2.451B,2.305B
2013-09,721.00M,,721.00M,1.737B,1.737B,340.00M,58.00M,1.043B,1.441B,701.00M,4.60B,,,,,8.051B,-4.193B,3.858B,2.471B,1.487B,3.958B,91.00M,932.00M,8.839B,13.44B,1.234B,283.00M,1.517B,2.367B,3.884B,,,607.00M,,607.00M,,4.491B,4.677B,,4.677B,312.00M,312.00M,,,223.00M,1.952B,6.941B,11.43B,1.466B,17.39B,912.00M,15.24B,,,,-2.716B,1.784B
2013-06,884.00M,,884.00M,1.778B,1.778B,347.00M,66.00M,1.027B,1.44B,765.00M,4.867B,,,,,7.86B,-4.084B,3.776B,2.419B,1.464B,3.883B,89.00M,872.00M,8.62B,13.49B,1.279B,278.00M,1.557B,2.291B,3.848B,,,596.00M,,596.00M,,4.444B,5.032B,,5.032B,252.00M,252.00M,,,273.00M,1.955B,7.239B,11.68B,1.466B,17.05B,864.00M,14.99B,,,,-2.825B,1.531B
2013-03,932.00M,,932.00M,1.808B,1.808B,346.00M,66.00M,959.00M,1.371B,717.00M,4.828B,,,,,7.877B,-4.057B,3.82B,2.451B,1.465B,3.916B,86.00M,883.00M,8.705B,13.53B,1.237B,324.00M,1.561B,2.268B,3.829B,,,262.00M,,262.00M,,4.091B,5.095B,,5.095B,286.00M,286.00M,,,247.00M,2.042B,7.423B,11.51B,733.00M,16.80B,1.563B,14.64B,,,,-2.658B,1.772B
2012-12,884.00M,,884.00M,1.668B,1.668B,362.00M,81.00M,922.00M,1.365B,639.00M,4.556B,0.0,251.00M,1.439B,6.131B,7.821B,-3.979B,3.842B,2.50B,1.499B,3.999B,92.00M,905.00M,8.838B,13.39B,1.29B,302.00M,1.592B,1.744B,3.336B,,304.00M,304.00M,,304.00M,10.00M,3.736B,4.926B,,4.926B,293.00M,293.00M,0.00,1.786B,201.00M,263.00M,7.268B,11.00B,1.466B,16.95B,818.00M,14.39B,,,,-2.621B,2.189B
2012-09,909.00M,,909.00M,1.857B,1.857B,341.00M,63.00M,980.00M,1.384B,611.00M,4.761B,,,,,7.587B,-3.902B,3.685B,2.634B,1.322B,3.956B,82.00M,940.00M,8.663B,13.42B,1.181B,288.00M,1.469B,1.928B,3.397B,53.00M,250.00M,303.00M,,303.00M,,3.70B,4.943B,,4.943B,327.00M,327.00M,,,190.00M,1.757B,7.027B,10.73B,733.00M,16.65B,1.444B,13.83B,,,,-2.455B,2.507B
2012-06,995.00M,,995.00M,1.785B,1.785B,323.00M,68.00M,977.00M,1.368B,687.00M,4.835B,,,,,7.427B,-3.802B,3.625B,2.611B,1.316B,3.927B,84.00M,682.00M,8.318B,13.15B,1.226B,288.00M,1.514B,1.757B,3.271B,43.00M,252.00M,295.00M,,295.00M,,3.566B,5.068B,,5.068B,272.00M,272.00M,,,204.00M,1.737B,7.077B,10.64B,733.00M,16.29B,1.387B,13.52B,,,,-2.554B,2.306B
2012-03,1.044B,,1.044B,1.827B,1.827B,326.00M,67.00M,1.007B,1.40B,578.00M,4.849B,,,,,7.509B,-3.807B,3.702B,2.721B,1.36B,4.081B,87.00M,535.00M,8.405B,13.25B,1.187B,436.00M,1.623B,2.112B,3.735B,38.00M,334.00M,372.00M,,372.00M,,4.107B,4.595B,,4.595B,248.00M,248.00M,,,206.00M,1.808B,6.651B,10.76B,733.00M,15.67B,1.346B,13.15B,,,,-2.269B,2.29B
2011-12,878.00M,,878.00M,1.675B,1.675B,319.00M,54.00M,954.00M,1.327B,522.00M,4.402B,0.0,240.00M,1.342B,5.742B,7.324B,-3.656B,3.668B,2.494B,1.504B,3.998B,115.00M,541.00M,8.322B,12.72B,1.244B,427.00M,1.671B,1.575B,3.246B,,380.00M,380.00M,,380.00M,6.00M,3.716B,4.43B,,4.43B,252.00M,252.00M,,1.582B,166.00M,203.00M,6.467B,10.18B,733.00M,15.65B,1.336B,12.81B,,,,-2.475B,2.375B
2011-09,945.00M,,945.00M,1.677B,1.677B,324.00M,60.00M,952.00M,1.336B,485.00M,4.443B,,,,,7.229B,-3.614B,3.615B,2.694B,1.424B,4.118B,91.00M,501.00M,8.325B,12.77B,1.15B,379.00M,1.529B,1.80B,3.329B,67.00M,921.00M,988.00M,,988.00M,,4.317B,3.768B,,3.768B,275.00M,275.00M,,,203.00M,1.538B,5.581B,9.898B,733.00M,15.34B,1.268B,12.42B,,,,-2.199B,2.667B
2011-06,739.00M,,739.00M,1.819B,1.819B,333.00M,70.00M,1.014B,1.417B,495.00M,4.47B,,,,,7.575B,-3.744B,3.831B,2.92B,1.457B,4.377B,90.00M,476.00M,8.774B,13.24B,1.236B,373.00M,1.609B,1.649B,3.258B,38.00M,953.00M,991.00M,,991.00M,,4.249B,4.02B,,4.02B,180.00M,180.00M,,,175.00M,1.651B,5.851B,10.10B,733.00M,14.98B,1.218B,12.14B,,,,-1.748B,2.969B
2011-03,686.00M,,686.00M,1.787B,1.787B,315.00M,52.00M,964.00M,1.331B,470.00M,4.274B,,,,,7.353B,-3.619B,3.734B,2.411B,832.00M,3.243B,101.00M,579.00M,7.657B,11.93B,1.181B,402.00M,1.583B,2.061B,3.644B,41.00M,597.00M,638.00M,,638.00M,,4.282B,3.166B,,3.166B,159.00M,1.892B,,,172.00M,,5.058B,9.34B,733.00M,14.36B,1.156B,11.81B,,,,-1.941B,2.419B
2010-12,490.00M,,490.00M,1.61B,1.61B,295.00M,50.00M,877.00M,1.222B,408.00M,3.73B,0.0,187.00M,1.319B,5.654B,7.16B,-3.467B,3.693B,2.362B,831.00M,3.193B,,556.00M,7.442B,11.17B,1.165B,272.00M,1.437B,1.682B,3.119B,48.00M,561.00M,609.00M,,609.00M,,3.728B,2.815B,,2.815B,108.00M,1.812B,,,142.00M,,4.627B,8.355B,733.00M,14.33B,1.132B,11.30B,,,,-2.115B,2.675B
2010-03,561.00M,,561.00M,,1.709B,301.00M,52.00M,906.00M,1.259B,402.00M,3.931B,,,,,6.699B,-3.233B,3.466B,2.257B,808.00M,3.065B,,361.00M,6.892B,10.82B,1.129B,410.00M,1.539B,1.917B,3.456B,42.00M,320.00M,362.00M,,362.00M,,3.818B,2.755B,,2.755B,124.00M,124.00M,,,169.00M,1.362B,4.241B,8.059B,898.00M,13.03B,1.784B,10.88B,165.00M,,,-2.131B,2.595B
2009-12,600.00M,,600.00M,1.626B,1.626B,310.00M,50.00M,849.00M,1.209B,375.00M,3.81B,0.0,156.00M,1.077B,5.467B,6.70B,-3.184B,3.516B,2.302B,821.00M,3.123B,,685.00M,7.324B,11.13B,1.172B,387.00M,1.559B,1.679B,3.238B,35.00M,326.00M,361.00M,,361.00M,,3.599B,2.821B,,2.821B,82.00M,1.457B,,,141.00M,,4.278B,7.877B,902.00M,13.16B,1.764B,10.48B,169.00M,,,-2.096B,3.116B
2009-09,847.00M,,847.00M,,1.78B,308.00M,53.00M,880.00M,1.241B,336.00M,4.204B,,,,,6.466B,-3.115B,3.351B,2.296B,826.00M,3.122B,,390.00M,6.863B,11.07B,1.084B,289.00M,1.373B,1.838B,3.211B,62.00M,318.00M,380.00M,,380.00M,,3.591B,2.883B,,2.883B,125.00M,125.00M,,,159.00M,1.357B,4.365B,7.956B,904.00M,12.76B,1.694B,10.14B,171.00M,,,-2.125B,2.952B
2009-06,896.00M,,896.00M,,1.728B,292.60M,49.00M,882.20M,1.224B,370.20M,4.218B,,,,,6.252B,-3.006B,3.245B,2.209B,818.20M,3.027B,,239.60M,6.512B,10.73B,1.038B,254.50M,1.292B,1.514B,2.806B,86.50M,347.40M,433.90M,,433.90M,,3.240B,3.368B,,3.368B,127.90M,127.90M,,,158.70M,1.295B,4.791B,8.031B,906.80M,12.39B,1.644B,9.964B,173.90M,,,-2.278B,2.540B
2009-03,702.20M,,702.20M,,1.565B,279.90M,46.30M,873.20M,1.199B,349.90M,3.817B,,,,,5.882B,-2.827B,3.055B,2.092B,810.50M,2.903B,,158.70M,6.116B,9.933B,959.00M,365.00M,1.324B,1.566B,2.890B,110.70M,55.80M,166.50M,,166.50M,,3.056B,3.490B,,3.490B,140.90M,140.90M,,,145.50M,1.307B,4.938B,7.994B,908.80M,11.84B,1.606B,9.833B,175.90M,,,-2.566B,1.793B
2008-12,555.00M,,555.00M,,1.592B,297.00M,41.00M,859.00M,1.197B,366.00M,3.71B,0.0,151.00M,1.028B,4.758B,5.937B,-2.818B,3.119B,2.152B,834.00M,2.986B,,164.00M,6.269B,9.979B,1.061B,272.00M,1.333B,1.421B,2.754B,107.00M,91.00M,198.00M,,198.00M,,2.952B,3.585B,,3.585B,82.00M,82.00M,,,121.00M,1.316B,4.983B,7.935B,914.00M,11.76B,1.61B,9.697B,181.00M,,,-2.477B,1.923B
2008-09,634.70M,,634.70M,1.761B,1.761B,303.60M,50.30M,952.10M,1.306B,385.40M,4.087B,,,,,5.996B,-2.949B,3.047B,2.217B,831.40M,3.048B,,372.70M,6.468B,10.56B,1.096B,,1.096B,1.926B,3.022B,93.40M,140.10M,233.50M,,233.50M,,3.256B,3.284B,,3.284B,382.40M,382.40M,,,,1.165B,4.832B,8.087B,915.60M,11.48B,1.560B,9.476B,182.70M,,,-2.013B,2.468B
2008-06,622.80M,,622.80M,1.872B,1.872B,295.00M,51.60M,993.90M,1.340B,421.40M,4.257B,,,,,6.188B,-3.038B,3.149B,2.402B,863.10M,3.265B,,399.20M,6.813B,11.07B,1.168B,,1.168B,1.898B,3.066B,115.70M,138.90M,254.60M,,254.60M,,3.320B,3.476B,,3.476B,347.10M,347.10M,,,,1.260B,5.083B,8.404B,919.70M,11.19B,1.520B,9.286B,186.80M,,,-1.673B,2.667B
2008-03,642.10M,,642.10M,1.785B,1.785B,284.10M,48.10M,954.80M,1.287B,374.30M,4.088B,,,,,6.191B,-3.108B,3.082B,2.378B,874.40M,3.253B,,386.00M,6.721B,10.81B,1.131B,,1.131B,2.181B,3.312B,159.60M,139.40M,299.00M,,299.00M,,3.611B,3.408B,,3.408B,294.60M,294.60M,,,,1.244B,4.946B,8.557B,922.60M,10.70B,1.507B,9.094B,189.70M,,,-1.788B,2.252B
2007-12,428.70M,,428.70M,1.681B,1.681B,258.20M,43.70M,869.10M,1.171B,338.10M,3.618B,0.0,160.20M,1.059B,4.919B,6.138B,-3.123B,3.015B,2.272B,844.80M,3.117B,,361.50M,6.494B,10.11B,1.067B,,1.067B,1.802B,2.869B,155.90M,138.10M,294.00M,,294.00M,,3.163B,3.222B,,3.222B,264.10M,264.10M,,,109.90M,1.067B,4.553B,7.716B,930.40M,10.63B,1.518B,8.904B,197.50M,-1.349B,-537.00M,-1.886B,2.286B
2007-09,628.40M,,628.40M,1.758B,1.758B,269.10M,47.90M,850.00M,1.167B,382.40M,3.936B,,,,,5.970B,-3.139B,2.832B,2.231B,840.80M,3.072B,,244.20M,6.148B,10.08B,1.036B,,1.036B,1.891B,2.927B,221.00M,637.10M,858.10M,,858.10M,,3.785B,2.750B,,2.750B,252.80M,252.80M,,,,1.274B,4.276B,8.062B,934.10M,10.41B,1.325B,8.548B,201.20M,,,-2.101B,2.022B
2007-06,546.90M,,546.90M,1.666B,1.666B,267.90M,51.30M,816.20M,1.135B,355.10M,3.704B,,,,,5.822B,-3.048B,2.775B,2.142B,813.10M,2.955B,,247.20M,5.977B,9.681B,993.40M,,993.40M,1.694B,2.688B,157.90M,609.90M,767.80M,,767.80M,,3.456B,2.973B,,2.973B,238.90M,238.90M,,,,1.242B,4.454B,7.909B,939.50M,10.18B,1.272B,8.430B,206.60M,,,-2.189B,1.771B
