,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,4.002B,4.002B,1.594B,2.408B,1.392B,,,-35.00M,33.00M,1.425B,983.00M,,-35.00M,-24.00M,-35.00M,924.00M,246.00M,678.00M,,,-44.00M,,634.00M,634.00M,1.112B,129.00M,983.00M,0.72,,,0.72,0.72,0.72,,,0.72,0.72,875.40M,879.90M,0.4
2017-12,3.892B,3.892B,1.564B,2.328B,1.345B,,,-28.00M,-15.00M,1.365B,963.00M,,-28.00M,-39.00M,-28.00M,896.00M,543.00M,353.00M,,,-30.00M,,323.00M,323.00M,1.014B,121.00M,893.00M,0.37,,,0.37,0.37,0.37,,,0.37,0.37,878.20M,883.30M,0.4
2017-09,3.974B,3.974B,1.591B,2.383B,1.41B,,,-27.00M,16.00M,1.426B,957.00M,,-27.00M,-30.00M,-27.00M,900.00M,250.00M,650.00M,,,-43.00M,,607.00M,607.00M,1.085B,128.00M,957.00M,0.69,,,0.69,0.69,0.68,,,0.68,0.68,880.70M,886.30M,0.4
2017-06,3.826B,3.826B,1.526B,2.30B,1.309B,,,-24.00M,113.00M,1.422B,878.00M,,-24.00M,-25.00M,-24.00M,829.00M,269.00M,560.00M,,,-36.00M,,524.00M,524.00M,995.00M,117.00M,878.00M,0.59,,,0.59,0.59,0.59,,,0.59,0.59,883.80M,890.80M,0.4
2017-03,3.762B,3.762B,1.493B,2.269B,1.336B,,,-23.00M,21.00M,1.357B,912.00M,,-23.00M,-27.00M,-23.00M,862.00M,251.00M,611.00M,,,-41.00M,,570.00M,570.00M,1.021B,109.00M,912.00M,0.64,,,0.64,0.64,0.64,,,0.64,0.64,884.70M,891.00M,0.39
2016-12,3.721B,3.721B,1.474B,2.247B,1.147B,,,-21.00M,-9.00M,1.171B,1.076B,,-21.00M,,-21.00M,934.00M,306.00M,628.00M,,,-22.00M,,606.00M,606.00M,1.119B,114.00M,1.005B,0.69,,,0.69,0.69,0.68,,,0.68,0.68,887.60M,893.00M,0.39
2016-09,3.867B,3.867B,1.543B,2.324B,1.322B,,,-25.00M,-69.00M,1.253B,1.071B,,-25.00M,,-25.00M,1.046B,300.00M,746.00M,,,-44.00M,,702.00M,702.00M,1.185B,114.00M,1.071B,0.79,,,0.79,0.79,0.78,,,0.78,0.78,891.90M,899.20M,0.39
2016-06,3.845B,3.845B,1.541B,2.304B,1.32B,,,-25.00M,40.00M,1.36B,944.00M,,-25.00M,,-25.00M,919.00M,281.00M,638.00M,,,-38.00M,,600.00M,600.00M,1.053B,109.00M,944.00M,0.67,,,0.67,0.67,0.67,,,0.67,0.67,893.90M,901.10M,0.39
2016-03,3.762B,3.762B,1.514B,2.248B,1.354B,,,-28.00M,27.00M,1.381B,867.00M,,-28.00M,,-28.00M,839.00M,265.00M,574.00M,,,-41.00M,,533.00M,533.00M,973.00M,106.00M,867.00M,0.6,,,0.6,0.6,0.59,,,0.59,0.59,893.70M,900.20M,0.38
2015-12,3.899B,3.899B,1.606B,2.293B,1.286B,,,-7.00M,,1.325B,968.00M,,-7.00M,,-7.00M,-146.00M,275.00M,-421.00M,,,-37.00M,,-458.00M,-458.00M,80.00M,112.00M,-32.00M,-0.51,,,-0.51,-0.51,-0.51,,,-0.51,-0.51,896.50M,903.40M,0.38
2015-09,3.999B,3.999B,1.652B,2.347B,1.347B,,,-5.00M,-136.00M,1.211B,1.136B,,-5.00M,,-5.00M,1.131B,361.00M,770.00M,,,-44.00M,,726.00M,726.00M,1.248B,112.00M,1.136B,0.81,,,0.81,0.81,0.8,,,0.8,0.8,900.10M,906.90M,0.38
2015-06,4.066B,4.066B,1.699B,2.367B,1.381B,,,-6.00M,54.00M,1.435B,932.00M,,-6.00M,,-6.00M,926.00M,310.00M,616.00M,,,-42.00M,,574.00M,574.00M,1.043B,111.00M,932.00M,0.63,,,0.63,0.63,0.63,,,0.63,0.63,904.60M,912.40M,0.38
2015-03,4.07B,4.07B,1.678B,2.392B,1.45B,,,-8.00M,82.00M,1.532B,860.00M,,-8.00M,,-8.00M,852.00M,269.00M,583.00M,,,-41.00M,,542.00M,542.00M,974.00M,114.00M,860.00M,0.6,,,0.6,0.6,0.59,,,0.59,0.59,907.70M,916.30M,0.36
2014-12,4.221B,4.221B,1.746B,2.475B,1.434B,,,-4.00M,-542.00M,924.00M,1.551B,,-4.00M,,-4.00M,991.00M,325.00M,666.00M,,,-38.00M,,628.00M,628.00M,1.214B,113.00M,1.101B,0.69,,,0.69,0.69,0.68,,,0.68,0.68,911.20M,920.10M,0.36
2014-09,4.379B,4.379B,1.821B,2.558B,1.497B,,,-4.00M,113.00M,1.61B,948.00M,,-4.00M,,-4.00M,944.00M,364.00M,580.00M,,,-38.00M,,542.00M,542.00M,1.062B,114.00M,948.00M,0.59,,,0.59,0.59,0.59,,,0.59,0.59,913.80M,922.80M,0.36
2014-06,4.352B,4.352B,1.80B,2.552B,1.507B,,,-9.00M,65.00M,1.572B,980.00M,,-9.00M,,-9.00M,971.00M,310.00M,661.00M,,,-39.00M,,622.00M,622.00M,1.087B,107.00M,980.00M,0.68,,,0.68,0.68,0.67,,,0.67,0.67,916.10M,925.90M,0.36
2014-03,4.325B,4.325B,1.801B,2.524B,1.544B,,,-7.00M,346.00M,1.89B,634.00M,,-7.00M,,-7.00M,627.00M,195.00M,432.00M,,,-44.00M,,388.00M,388.00M,742.00M,108.00M,634.00M,0.42,,,0.42,0.42,0.42,,,0.42,0.42,919.50M,928.60M,0.34
2013-12,4.361B,4.361B,1.794B,2.567B,1.612B,,,1.00M,-364.00M,1.28B,1.287B,,1.00M,,1.00M,893.00M,292.00M,601.00M,,,-37.00M,,564.00M,564.00M,1.127B,110.00M,1.017B,0.61,,,0.61,0.61,0.6,,,0.6,0.6,925.70M,935.40M,0.34
2013-09,4.398B,4.398B,1.813B,2.585B,1.549B,,,0.00,20.00M,1.569B,1.016B,,0.00,,0.00,1.016B,317.00M,699.00M,,,-43.00M,,656.00M,656.00M,1.124B,108.00M,1.016B,0.71,,,0.71,0.71,0.7,,,0.7,0.7,928.10M,936.90M,0.34
2013-06,4.346B,4.346B,1.812B,2.534B,1.526B,,,5.00M,102.00M,1.628B,906.00M,,5.00M,,5.00M,911.00M,307.00M,604.00M,,,-43.00M,,561.00M,561.00M,1.017B,111.00M,906.00M,0.6,,,0.6,0.6,0.6,,,0.6,0.6,933.10M,942.30M,0.34
2013-03,4.315B,4.315B,1.80B,2.515B,1.536B,,,3.00M,237.00M,1.773B,742.00M,,3.00M,,3.00M,745.00M,239.00M,506.00M,,,-46.00M,,460.00M,460.00M,852.00M,110.00M,742.00M,0.49,,,0.49,0.49,0.48,,,0.48,0.48,936.60M,945.00M,0.31
2012-12,4.286B,4.286B,1.781B,2.505B,1.487B,,,5.00M,-31.00M,1.487B,1.018B,,5.00M,,5.00M,947.00M,311.00M,636.00M,,,-38.00M,,598.00M,598.00M,1.115B,108.00M,1.007B,0.64,,,0.64,0.64,0.62,,,0.62,0.62,944.00M,952.10M,0.31
2012-09,4.332B,4.332B,1.803B,2.529B,1.501B,,,-4.00M,1.00M,1.502B,1.027B,,-4.00M,,-4.00M,1.023B,326.00M,697.00M,,,-43.00M,,654.00M,654.00M,1.133B,106.00M,1.027B,0.69,,,0.69,0.69,0.68,,,0.68,0.68,949.80M,958.40M,0.31
2012-06,4.267B,4.267B,1.806B,2.461B,1.464B,,,-6.00M,15.00M,1.479B,982.00M,,-6.00M,,-6.00M,976.00M,311.00M,665.00M,,,-38.00M,,627.00M,627.00M,1.087B,105.00M,982.00M,0.66,,,0.66,0.66,0.65,,,0.65,0.65,954.60M,962.70M,0.31
2012-03,4.20B,4.20B,1.763B,2.437B,1.478B,,,-10.00M,21.00M,1.499B,938.00M,,-10.00M,,-10.00M,928.00M,295.00M,633.00M,,,-40.00M,,593.00M,593.00M,1.044B,106.00M,938.00M,0.62,,,0.62,0.62,0.615,,,0.615,0.615,960.20M,967.80M,0.29
2011-12,4.172B,4.172B,1.779B,2.393B,1.444B,-10.00M,21.00M,-15.00M,,1.466B,927.00M,21.00M,-15.00M,-4.00M,-15.00M,908.00M,283.00M,625.00M,,,-35.00M,,590.00M,596.88M,1.035B,106.00M,929.00M,0.61,,,0.6171,0.61,0.605,,,0.6121,0.605,967.40M,976.00M,0.29
2011-09,4.383B,4.383B,1.921B,2.462B,1.489B,62.00M,10.00M,-10.00M,,1.489B,973.00M,10.00M,-10.00M,62.00M,-10.00M,1.025B,349.00M,676.00M,,,-33.00M,,643.00M,602.11M,1.148B,113.00M,1.035B,0.66,0.0,,0.618,0.66,0.655,0.0,,0.6133,0.655,973.40M,981.00M,0.29
2011-06,4.185B,4.185B,1.781B,2.404B,1.421B,,,-11.00M,15.00M,1.436B,968.00M,,-11.00M,,-11.00M,957.00M,311.00M,646.00M,,,-24.00M,,622.00M,622.00M,1.071B,103.00M,968.00M,0.635,0.0,,0.635,0.635,0.63,0.0,,0.63,0.63,979.00M,986.60M,0.29
2011-03,3.994B,3.994B,1.663B,2.331B,1.404B,,16.00M,-16.00M,12.00M,1.416B,915.00M,16.00M,-16.00M,,-16.00M,899.00M,292.00M,607.00M,,,-31.00M,,576.00M,576.00M,1.014B,99.00M,915.00M,0.585,0.0,,0.585,0.585,0.58,0.0,,0.58,0.58,986.80M,993.20M,0.265
2010-12,3.978B,3.978B,1.628B,2.35B,1.376B,,,-102.00M,-247.00M,1.151B,1.199B,,-102.00M,,-102.00M,889.00M,238.00M,651.00M,,,-27.00M,,624.00M,624.00M,1.009B,98.00M,911.00M,0.64,,,0.64,0.64,0.62,,,0.62,0.62,963.00M,999.00M,0.265
2010-09,3.943B,3.943B,1.599B,2.344B,1.391B,,,13.00M,-5.00M,1.386B,958.00M,,13.00M,,13.00M,945.00M,300.00M,645.00M,,,-26.00M,,619.00M,619.00M,1.051B,93.00M,958.00M,0.63,0.0,,0.63,0.63,0.605,0.0,,0.605,0.605,972.00M,1.019B,0.265
2010-06,3.814B,3.814B,1.572B,2.242B,1.292B,,,-14.00M,2.00M,1.294B,948.00M,,-14.00M,,-14.00M,934.00M,304.00M,630.00M,,,-27.00M,,603.00M,603.00M,1.041B,93.00M,948.00M,0.605,0.0,,0.605,0.605,0.585,0.0,,0.585,0.585,980.20M,1.029B,0.265
2010-03,3.829B,3.829B,1.561B,2.268B,1.355B,,,16.00M,235.00M,1.59B,678.00M,,16.00M,,16.00M,662.00M,275.00M,387.00M,,,-30.00M,,357.00M,357.00M,770.00M,92.00M,678.00M,0.355,0.0,,0.355,0.355,0.345,0.0,,0.345,0.345,987.40M,1.038B,0.22
2009-12,4.081B,4.081B,1.654B,2.427B,1.397B,,,-18.00M,39.00M,1.436B,991.00M,,-18.00M,,-18.00M,973.00M,317.00M,656.00M,,,-25.00M,,631.00M,631.00M,1.091B,89.00M,1.002B,0.63,0.0,,0.63,0.63,0.605,0.0,,0.605,0.605,994.80M,1.047B,0.22
2009-09,3.998B,3.998B,1.631B,2.367B,1.403B,,,-17.00M,38.00M,1.441B,926.00M,,-17.00M,,-17.00M,909.00M,292.00M,617.00M,,,-27.00M,,590.00M,590.00M,1.016B,90.00M,926.00M,0.585,0.0,,0.585,0.585,0.56,0.0,,0.56,0.56,998.20M,1.049B,0.22
2009-06,3.745B,3.745B,1.544B,2.201B,1.296B,,,-21.00M,18.00M,1.314B,887.00M,,-21.00M,,-21.00M,866.00M,278.00M,588.00M,,,-26.00M,,562.00M,562.00M,977.00M,90.00M,887.00M,0.555,0.0,,0.555,0.555,0.535,0.0,,0.535,0.535,1.000B,1.050B,0.22
2009-03,3.503B,3.503B,1.49B,2.013B,1.186B,,,-21.00M,16.00M,1.202B,811.00M,,-21.00M,,-21.00M,790.00M,254.00M,536.00M,,,-28.00M,,508.00M,508.00M,893.00M,82.00M,811.00M,0.5,0.0,,0.5,0.5,0.485,0.0,,0.485,0.485,1.001B,1.052B,0.2
2008-12,3.664B,3.664B,1.614B,2.05B,1.235B,,,-14.00M,38.00M,1.273B,777.00M,,-14.00M,,-14.00M,763.00M,251.00M,512.00M,,,-15.00M,,497.00M,497.00M,874.00M,87.00M,787.00M,0.485,0.0,,0.485,0.485,0.47,0.0,,0.47,0.47,1.007B,1.060B,0.2
2008-09,3.988B,3.988B,1.752B,2.236B,1.415B,,,-23.00M,30.00M,1.445B,791.00M,,-23.00M,,-23.00M,768.00M,246.00M,522.00M,,,-22.00M,,500.00M,500.00M,879.60M,88.60M,791.00M,0.49,0.0,,0.49,0.49,0.47,0.0,,0.47,0.47,1.011B,1.069B,0.2
2008-06,3.965B,3.965B,1.725B,2.240B,1.423B,,,-25.40M,28.70M,1.451B,788.40M,,-25.40M,,-25.40M,763.00M,247.80M,515.20M,,,-21.40M,,493.80M,493.80M,872.20M,83.80M,788.40M,0.48,0.0,,0.48,0.48,0.46,0.0,,0.46,0.46,1.014B,1.073B,0.2
2008-03,3.713B,3.713B,1.613B,2.100B,1.349B,,,-33.70M,5.20M,1.354B,745.70M,,-33.70M,,-33.70M,712.00M,223.50M,488.50M,,,-22.00M,,466.50M,466.50M,834.30M,88.60M,745.70M,0.45,0.0,,0.45,0.45,0.43,0.0,,0.43,0.43,1.018B,1.079B,0.18
2007-12,3.642B,3.642B,1.599B,2.043B,1.301B,15.40M,,,-7.60M,1.312B,731.20M,,,19.10M,,640.60M,225.70M,414.90M,,,,7.20M,414.90M,404.93M,818.70M,87.50M,731.20M,0.4,0.0,,0.3902,0.4,0.385,0.0,,0.3756,0.385,1.019B,1.059B,0.18
2007-09,3.528B,3.528B,1.545B,1.984B,1.278B,-37.10M,,,37.10M,1.315B,668.80M,,,-37.10M,,630.30M,210.20M,420.10M,,,,6.90M,420.10M,444.83M,754.10M,85.30M,668.80M,0.405,0.0,,0.4292,0.405,0.385,0.0,,0.408,0.385,1.020B,1.073B,0.18
2007-06,3.405B,3.405B,1.497B,1.908B,1.224B,-27.10M,,,27.10M,1.251B,657.60M,,,-27.10M,,617.20M,201.40M,415.80M,,,,6.80M,415.80M,434.06M,737.70M,80.10M,657.60M,0.4,0.0,,0.4179,0.4,0.38,0.0,,0.397,0.38,1.022B,1.076B,0.18
2007-03,3.214B,3.214B,1.402B,1.812B,1.170B,9.10M,,,-9.10M,1.161B,651.10M,,,9.10M,,608.40M,121.80M,486.60M,,,,7.10M,486.60M,479.32M,732.10M,81.00M,651.10M,0.47,0.0,,0.4629,0.47,0.445,0.0,,0.4382,0.445,1.020B,1.078B,0.16
2006-12,3.209B,3.209B,1.432B,1.777B,1.145B,71.50M,,,-170.50M,990.80M,785.80M,,,74.90M,,593.80M,192.60M,401.20M,,,,7.30M,401.20M,352.89M,871.00M,85.20M,785.80M,0.38,0.0,,0.3335,0.38,0.365,0.0,,0.3203,0.365,1.038B,1.080B,0.16
2006-09,3.144B,3.144B,1.415B,1.728B,1.140B,-38.70M,,,38.70M,1.179B,549.40M,,,-38.70M,,508.20M,164.10M,344.10M,,,,6.90M,344.10M,370.30M,630.50M,81.10M,549.40M,0.325,0.0,,0.3503,0.325,0.315,0.0,,0.3395,0.315,1.038B,1.070B,0.16
2006-06,3.014B,3.014B,1.381B,1.633B,1.052B,-119.90M,,,119.90M,1.172B,460.90M,,,-119.90M,,419.60M,136.00M,283.60M,,,,7.10M,283.60M,364.64M,543.10M,82.20M,460.90M,0.27,0.0,,0.3491,0.27,0.255,0.0,,0.3297,0.255,1.024B,1.084B,0.16
2006-03,2.871B,2.871B,1.307B,1.564B,1.018B,-28.40M,,,28.40M,1.046B,517.50M,,,-28.40M,,480.20M,155.70M,324.50M,,,,7.40M,324.50M,343.69M,597.70M,80.20M,517.50M,0.31,0.0,,0.3288,0.31,0.295,0.0,,0.3129,0.295,1.023B,1.075B,0.145
2005-12,2.905B,2.905B,1.320B,1.585B,1.010B,71.50M,,,-99.00M,926.90M,657.80M,,,73.50M,,540.30M,179.10M,361.20M,,,,7.40M,361.20M,313.40M,739.70M,81.90M,657.80M,0.34,0.0,,0.2941,0.34,0.325,0.0,,0.2811,0.325,1.040B,1.089B,0.145
2005-09,2.912B,2.912B,1.334B,1.578B,1.007B,33.70M,,,-33.70M,973.30M,604.30M,,,33.70M,,567.50M,220.30M,347.20M,,,,7.10M,347.20M,326.58M,686.50M,82.20M,604.30M,0.33,0.0,,0.31,0.33,0.315,0.0,,0.2959,0.315,1.031B,1.080B,0.145
2005-06,2.838B,2.838B,1.298B,1.539B,959.10M,-38.90M,,,38.90M,998.00M,541.10M,,,-38.90M,,510.20M,167.30M,342.90M,,,,6.70M,342.90M,369.04M,623.10M,82.00M,541.10M,0.32,0.0,,0.3449,0.32,0.31,0.0,,0.3341,0.31,1.051B,1.085B,0.145
2005-03,2.743B,2.743B,1.239B,1.504B,944.40M,-66.60M,,,66.60M,1.011B,492.60M,,,-66.60M,,461.00M,160.90M,300.10M,,,,7.00M,300.10M,343.46M,575.80M,83.20M,492.60M,0.28,0.0,,0.3214,0.28,0.265,0.0,,0.3042,0.265,1.047B,1.106B,0.12
2004-12,2.803B,2.803B,1.266B,1.537B,1.003B,-12.00M,,,-16.70M,1.001B,536.40M,,,-3.50M,,436.30M,150.60M,285.70M,,,,6.50M,285.70M,293.56M,623.00M,86.60M,536.40M,0.265,0.0,,0.2724,0.265,0.25,0.0,,0.257,0.25,1.055B,1.117B,0.12
2004-09,2.696B,2.696B,1.219B,1.477B,929.10M,-9.90M,,,9.90M,939.00M,537.70M,,,-9.90M,,507.60M,178.60M,329.00M,,,,6.30M,329.00M,335.42M,619.20M,81.50M,537.70M,0.305,0.0,,0.3111,0.305,0.29,0.0,,0.2958,0.29,1.058B,1.113B,0.12
2004-06,2.572B,2.572B,1.148B,1.424B,838.80M,,,,,838.80M,584.80M,,,,,555.50M,181.60M,373.90M,,,,6.40M,373.90M,373.90M,664.60M,79.80M,584.80M,0.345,0.0,,0.345,0.345,0.33,0.0,,0.33,0.33,1.065B,1.114B,0.12
2004-03,2.514B,2.514B,1.114B,1.400B,868.30M,,,,,868.30M,531.30M,,,,,503.00M,164.50M,338.50M,,,,6.60M,338.50M,338.50M,611.20M,79.90M,531.30M,0.31,0.0,,0.31,0.31,0.295,0.0,,0.295,0.295,1.071B,1.125B,0.12
2003-12,2.573B,2.573B,1.164B,1.409B,861.30M,,,,,787.00M,622.00M,,,,,534.30M,162.20M,372.10M,,,,6.70M,372.10M,372.10M,706.90M,84.90M,622.00M,0.34,0.0,,0.34,0.34,0.325,0.0,,0.325,0.325,1.075B,1.124B,0.12
2003-09,2.524B,2.524B,1.136B,1.387B,852.00M,,,,,852.00M,535.30M,,,,,504.90M,139.50M,365.40M,,,,6.80M,365.40M,365.40M,612.30M,77.00M,535.30M,0.335,0.0,,0.335,0.335,0.315,0.0,,0.315,0.315,1.070B,1.138B,0.12
2003-06,2.459B,2.459B,1.106B,1.353B,795.30M,,,,,795.30M,557.50M,,,,,526.20M,166.40M,359.80M,,,,5.30M,359.80M,359.80M,635.40M,77.90M,557.50M,0.33,0.0,,0.33,0.33,0.31,0.0,,0.31,0.31,1.074B,1.144B,0.12
2003-03,2.348B,2.348B,1.050B,1.298B,787.70M,,,,,787.70M,510.50M,,,,,476.50M,152.50M,324.00M,,,,6.90M,324.00M,324.00M,586.20M,75.70M,510.50M,0.295,0.0,,0.295,0.295,0.28,0.0,,0.28,0.28,1.075B,1.132B,0.09
2002-12,2.420B,2.420B,1.100B,1.321B,777.20M,,,,,800.20M,520.50M,,,,,488.40M,147.50M,340.90M,,,,5.30M,340.90M,340.90M,598.30M,77.80M,520.50M,0.31,0.0,,0.31,0.31,0.295,0.0,,0.295,0.295,1.082B,1.136B,0.09
2002-09,2.382B,2.382B,1.079B,1.303B,788.50M,,,,,788.50M,514.10M,,,,,475.40M,144.70M,330.70M,,,,5.50M,330.70M,330.70M,587.60M,73.50M,514.10M,0.3,0.0,,0.3,0.3,0.285,0.0,,0.285,0.285,1.084B,1.141B,0.09
2002-06,2.297B,2.297B,1.053B,1.244B,726.20M,,,,,726.20M,517.80M,,,,,480.70M,153.70M,327.00M,,,,5.40M,327.00M,327.00M,591.30M,73.50M,517.80M,0.295,0.0,,0.295,0.295,0.275,0.0,,0.275,0.275,1.090B,1.169B,0.09
2002-03,2.195B,2.195B,992.40M,1.203B,742.10M,,,,,742.10M,460.70M,,,,,425.80M,136.10M,289.70M,,,,5.70M,289.70M,289.70M,532.40M,71.70M,460.70M,0.26,0.0,,0.26,0.26,0.245,0.0,,0.245,0.245,1.092B,1.159B,0.09
2001-12,2.328B,2.328B,1.080B,1.248B,705.60M,,,,,800.10M,448.30M,,,,,412.20M,116.90M,295.30M,,,,5.80M,295.30M,295.30M,534.30M,86.00M,448.30M,0.265,0.0,,0.265,0.265,0.245,0.0,,0.245,0.245,1.096B,1.101B,0.09
2001-09,2.305B,2.305B,1.072B,1.232B,757.00M,,,,,757.00M,475.40M,,,,,431.90M,135.70M,296.20M,,,,5.80M,296.20M,296.20M,558.40M,83.00M,475.40M,0.26,0.0,,0.26,0.26,0.245,0.0,,0.245,0.245,1.109B,1.208B,0.09
2001-06,2.239B,2.239B,1.050B,1.188B,718.60M,,,,,718.60M,469.60M,,,,,426.70M,139.50M,287.20M,,,,5.00M,287.20M,287.20M,553.30M,83.70M,469.60M,0.25,0.0,,0.25,0.25,0.235,0.0,,0.235,0.235,1.121B,1.221B,0.0788
2001-03,2.212B,2.212B,1.032B,1.180B,738.90M,,,,,738.90M,441.50M,,,,,397.90M,130.00M,267.90M,,,,5.10M,267.90M,267.90M,525.00M,83.50M,441.50M,0.235,0.0,,0.235,0.235,0.22,0.0,,0.22,0.22,1.129B,1.231B,0.0788
2000-12,2.059B,2.059B,1.098B,961.80M,453.20M,,,,,505.50M,456.30M,,,,,416.60M,129.90M,286.70M,,,,5.10M,286.70M,286.70M,541.80M,85.50M,456.30M,0.245,0.0,,0.245,0.245,0.23,0.0,,0.23,0.23,1.149B,1.224B,0.0788
2000-09,2.366B,2.366B,1.073B,1.294B,851.90M,,,,,851.90M,441.60M,,,,,393.30M,118.00M,275.30M,,,,5.20M,275.30M,275.30M,441.60M,,441.60M,0.235,0.0,,0.235,0.235,0.22,0.0,,0.22,0.22,1.149B,1.228B,0.0788
2000-06,2.337B,2.337B,1.066B,1.271B,832.80M,,,,,832.80M,438.10M,,,,,393.90M,132.00M,261.90M,,,,5.10M,261.90M,261.90M,438.10M,,438.10M,0.225,0.0,,0.225,0.225,0.21,0.0,,0.21,0.21,1.141B,1.223B,0.0788
