,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,TotalReceivables,RestrictedCash,TotalCurrentAssets,OtherProperties,GrossPP&E,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,UnrealizedGainorLoss-Total,AccruedComprehensiveInc,ShareholdersEquity
2007-09,,834.27M,,834.27M,776.01M,,655.43M,1.445B,386.79M,2.666B,,,,,,1.891B,,1.343B,19.59B,22.25B,580.48M,,,66.75M,647.23M,647.23M,,647.23M,12.58B,,12.58B,266.38M,,1.159B,,1.503B,161.42M,15.40B,16.05B,831.40M,-35.65M,5.344B,825.28M,,62.67M,6.206B
2007-06,,743.51M,,743.51M,736.72M,,658.86M,1.409B,355.07M,2.507B,,,,,,1.922B,,1.605B,19.63B,22.14B,487.19M,,,65.68M,552.87M,552.87M,,552.87M,12.57B,,12.57B,130.98M,,1.055B,,1.538B,167.55M,15.38B,15.93B,831.40M,-22.86M,5.332B,825.28M,,68.00M,6.211B
2007-03,,2.885B,,2.885B,695.78M,,659.61M,1.369B,131.23M,4.384B,,,,,,1.986B,,1.153B,15.87B,20.25B,458.58M,,,63.59M,522.17M,522.17M,,522.17M,11.63B,,11.63B,,,596.46M,,1.106B,182.60M,13.52B,14.04B,831.48M,-45.36M,5.324B,825.37M,,99.72M,6.212B
2006-12,,2.233B,,2.233B,,,,,,2.233B,,,11.47B,,,,,,11.47B,17.95B,,,,,,,,,,,,,,,1.128B,,,,10.68B,834.74M,-69.19M,5.288B,828.66M,,97.29M,6.151B
2006-09,,386.88M,,386.88M,632.22M,,558.40M,1.214B,190.09M,1.791B,,,,,,1.670B,,725.34M,13.08B,14.87B,424.42M,,,60.26M,484.68M,484.68M,,484.68M,7.382B,,7.382B,,,253.70M,,1.250B,161.97M,9.048B,9.532B,834.42M,160.42M,4.274B,828.70M,,64.68M,5.337B
2006-06,,494.39M,,494.39M,603.20M,,603.20M,1.230B,206.55M,1.931B,,,,,,1.712B,,626.85M,12.63B,14.56B,390.42M,,,58.54M,448.96M,448.96M,,448.96M,7.153B,,7.153B,,,190.38M,,1.292B,165.88M,8.801B,9.250B,837.64M,160.32M,4.271B,831.93M,,45.15M,5.306B
2006-03,,579.93M,,579.93M,576.96M,,415.13M,1.016B,203.67M,1.800B,,,,,,1.775B,,604.13M,12.53B,14.33B,426.47M,,,53.49M,479.96M,479.96M,,479.96M,6.929B,,6.929B,,,190.24M,,1.252B,163.18M,8.534B,9.014B,837.86M,124.84M,4.264B,832.16M,,98.59M,5.316B
2005-12,,294.50M,,294.50M,613.90M,,363.56M,1.001B,192.62M,1.488B,,,,,,1.646B,,798.75M,12.15B,13.64B,476.52M,,,52.02M,528.54M,528.54M,,528.54M,6.243B,,6.243B,,,184.21M,,1.256B,148.51M,7.845B,8.374B,840.20M,103.06M,4.233B,834.53M,,83.41M,5.264B
2005-09,,394.46M,,394.46M,576.04M,,344.37M,939.56M,182.70M,1.517B,,,,,,1.786B,,727.19M,11.64B,13.15B,452.74M,,,50.04M,502.78M,502.78M,,502.78M,5.716B,,5.716B,,,159.70M,,1.270B,143.20M,7.289B,7.791B,841.21M,218.80M,4.217B,835.56M,,99.85M,5.363B
2005-06,,842.10M,,842.10M,507.82M,,356.18M,885.15M,193.94M,1.921B,,,,,,1.166B,,735.15M,10.52B,12.44B,402.06M,,,47.72M,449.78M,449.78M,,449.78M,5.635B,,5.635B,,,126.67M,,1.790B,109.88M,7.661B,8.111B,578.69M,291.42M,3.404B,573.43M,,69.51M,4.328B
2005-03,,974.33M,,974.33M,490.06M,,317.48M,828.68M,186.94M,1.990B,,,,,,974.67M,,788.42M,10.07B,12.06B,395.86M,,,41.44M,437.30M,437.30M,,437.30M,5.518B,,5.518B,,,106.80M,,1.798B,111.57M,7.556B,7.993B,470.92M,217.57M,3.358B,465.71M,,41.89M,4.071B
2004-12,,599.28M,,599.28M,489.37M,,440.19M,951.29M,229.19M,1.780B,,,,,,790.69M,,661.46M,9.801B,11.58B,413.96M,,,32.51M,446.47M,446.47M,,446.47M,4.951B,,4.951B,,,103.52M,,1.948B,113.40M,7.121B,7.568B,582.58M,133.90M,3.258B,577.45M,,47.78M,4.013B
2004-09,,212.07M,,212.07M,400.35M,,490.47M,912.56M,206.48M,1.331B,,,,,,919.94M,,386.77M,8.421B,9.752B,241.75M,,,35.25M,277.00M,277.00M,,277.00M,4.229B,,4.229B,,,103.05M,,1.643B,11.48M,5.986B,6.263B,245.16M,-2.502M,3.179B,240.06M,,13.91M,3.489B
2004-06,,225.44M,,225.44M,385.74M,,353.29M,760.76M,269.94M,1.256B,,,,,,850.12M,,377.22M,8.198B,9.454B,225.94M,,,32.54M,258.48M,258.48M,,258.48M,4.102B,,4.102B,,,81.21M,,1.651B,11.64M,5.846B,6.104B,172.62M,-17.31M,3.148B,167.56M,,-7.764M,3.350B
2004-03,,291.02M,,291.02M,373.06M,,247.74M,640.45M,165.78M,1.097B,,,,,,854.20M,,516.57M,8.330B,9.427B,234.55M,,,24.58M,259.12M,259.12M,,259.12M,4.079B,,4.079B,,,81.44M,,1.620B,11.55M,5.912B,6.171B,172.92M,-86.53M,3.121B,167.90M,,-3.634M,3.256B
2003-12,,320.54M,,320.54M,351.18M,,285.96M,656.78M,161.83M,1.139B,,,,,,982.09M,,635.13M,8.380B,9.519B,226.02M,,,23.35M,249.37M,249.37M,,249.37M,4.040B,,4.040B,,,72.73M,,1.921B,18.90M,6.192B,6.441B,255.73M,-57.62M,2.883B,250.99M,,3.524M,3.078B
2003-09,,123.86M,,123.86M,341.48M,,67.79M,429.91M,120.76M,674.53M,,,,,,1.073B,,449.18M,8.403B,9.077B,228.05M,,,19.83M,247.88M,247.88M,,247.88M,3.987B,,3.987B,,,54.07M,,1.982B,2.203M,6.026B,6.274B,249.04M,-157.06M,2.659B,244.48M,,-4.531M,2.803B
2003-06,,173.20M,,173.20M,323.01M,,60.49M,404.31M,139.46M,716.97M,,,,,,1.116B,,452.10M,8.255B,8.972B,190.64M,,,18.35M,208.99M,208.99M,,208.99M,4.005B,,4.005B,,,54.30M,,1.938B,4.73M,6.001B,6.210B,269.28M,-151.16M,2.598B,264.79M,,-9.804M,2.761B
2003-03,,176.89M,,176.89M,330.40M,,63.19M,414.32M,260.56M,851.77M,,,,,,1.079B,,310.86M,8.191B,9.043B,226.34M,,,17.79M,244.13M,244.13M,,244.13M,4.060B,,4.060B,,,57.89M,,1.951B,2.899M,6.072B,6.316B,269.75M,-157.54M,2.573B,265.29M,,-13.47M,2.727B
2002-12,,208.20M,,208.20M,294.30M,,86.58M,401.53M,263.12M,872.85M,,,,,,1.004B,,561.71M,8.145B,9.018B,202.76M,,,17.00M,219.75M,219.75M,,219.75M,3.971B,,3.971B,,,59.36M,,2.037B,3.03M,6.171B,6.391B,269.81M,-169.63M,2.481B,265.49M,,-13.56M,2.627B
2002-09,,314.36M,,314.36M,236.82M,,95.24M,353.79M,240.95M,909.10M,,,,,,1.011B,,342.59M,8.157B,9.066B,204.29M,,,15.68M,219.97M,219.97M,,219.97M,4.075B,,4.075B,,11.40M,11.40M,,2.080B,1.548M,6.167B,6.387B,286.16M,-142.55M,2.486B,281.84M,,24.44M,2.679B
2002-06,,684.18M,,684.18M,227.79M,,94.89M,340.94M,355.20M,1.380B,,,,,,1.026B,,309.63M,7.992B,9.373B,199.96M,,,14.12M,214.08M,214.08M,,214.08M,4.435B,,4.435B,,11.58M,11.58M,,2.084B,1.707M,6.532B,6.746B,298.60M,-128.77M,2.452B,294.32M,,-12.68M,2.627B
