,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,326.00M,,0.00,-5.00M,-5.00M,29.00M,29.00M,7.00M,1.00M,,10.00M,,-26.00M,-12.00M,,-29.00M,,-41.00M,-82.00M,,256.00M,,-21.00M,-21.00M,,1.00M,4.00M,-569.00M,,0.00,10.00M,10.00M,6.00M,-169.00M,-163.00M,,,,-51.00M,,-51.00M,1.00M,-863.00M,,6.836B,-1.176B,5.66B,,6.00M,0.00,0.00,-169.00M,92.00M,59.00M,,AOR,Restated
2018-03,281.00M,,-1.00M,-5.00M,-6.00M,31.00M,31.00M,7.00M,1.00M,,24.00M,,25.00M,-26.00M,,-22.00M,,56.00M,8.00M,,358.00M,,-20.00M,-20.00M,,8.00M,-37.00M,-147.00M,,1.00B,38.00M,1.038B,40.00M,-168.00M,-128.00M,,,,-53.00M,,-53.00M,,780.00M,,5.845B,991.00M,6.836B,,40.00M,1.00B,,-168.00M,2.00M,40.00M,,AOR,Restated
2017-12,112.00M,,0.00,-4.00M,-4.00M,30.00M,30.00M,127.00M,1.00M,,10.00M,,-1.00M,-12.00M,,13.00M,,-58.00M,-57.00M,,235.00M,,-26.00M,-26.00M,,38.00M,36.00M,66.00M,,0.00,-499.00M,-499.00M,12.00M,-148.00M,-136.00M,,,,-52.00M,,-52.00M,-1.00M,-660.00M,,6.204B,-359.00M,5.845B,,12.00M,0.00,0.00,-148.00M,89.00M,33.00M,,AOR,Restated
2017-09,226.00M,,0.00,-5.00M,-5.00M,31.00M,31.00M,-29.00M,2.00M,,5.00M,,-1.00M,-20.00M,,45.00M,,-77.00M,-52.00M,,200.00M,,-16.00M,-16.00M,,29.00M,17.00M,207.00M,,-500.00M,-32.00M,-532.00M,16.00M,-147.00M,-131.00M,,,,-47.00M,,-47.00M,0.00,166.00M,,5.631B,573.00M,6.204B,,16.00M,0.00,-500.00M,-147.00M,117.00M,35.00M,,AOR,Restated
2017-06,203.00M,,0.00,-5.00M,-5.00M,29.00M,29.00M,-18.00M,1.00M,,6.00M,,-21.00M,-4.00M,,-22.00M,,42.00M,16.00M,,246.00M,,-15.00M,-15.00M,,-15.00M,-17.00M,-1.169B,,-16.00M,500.00M,484.00M,13.00M,-139.00M,-126.00M,,,,-41.00M,,-41.00M,-3.00M,-1.765B,,8.319B,-2.688B,5.631B,,13.00M,0.00,-16.00M,-139.00M,129.00M,27.00M,,AOR,Restated
2017-03,202.00M,,,-4.00M,-4.00M,31.00M,31.00M,-1.00M,2.00M,,18.00M,,20.00M,3.00M,,5.00M,,132.00M,140.00M,,404.00M,,-12.00M,-12.00M,,29.00M,7.00M,776.00M,,0.00,16.00M,16.00M,77.00M,-126.00M,-49.00M,,,,-40.00M,,-40.00M,-1.00M,-79.00M,,7.218B,1.101B,8.319B,,77.00M,0.00,,-126.00M,1.00M,27.00M,,AOR,Restated
2016-12,164.00M,,0.00,-5.00M,-5.00M,30.00M,30.00M,23.00M,1.00M,,4.00M,,-1.00M,-12.00M,,-34.00M,,-121.00M,-167.00M,,84.00M,,-24.00M,-24.00M,,-95.00M,18.00M,53.00M,,-650.00M,13.00M,-637.00M,132.00M,-105.00M,27.00M,,,,-40.00M,,-40.00M,3.00M,-959.00M,,8.04B,-822.00M,7.218B,,132.00M,0.00,-650.00M,-105.00M,40.00M,36.00M,,AOR,Restated
2016-09,149.00M,,,4.00M,4.00M,32.00M,32.00M,-22.00M,3.00M,,5.00M,,-1.00M,-1.00M,,31.00M,,-57.00M,-27.00M,,158.00M,,-17.00M,-17.00M,,-18.00M,6.00M,1.073B,,0.00,0.00,0.00,13.00M,-97.00M,-84.00M,,,,-38.00M,,-38.00M,-2.00M,2.699B,,4.11B,3.93B,8.04B,,13.00M,0.00,0.00,-97.00M,51.00M,24.00M,,AOR,Restated
2016-06,104.00M,,-2.00M,4.00M,2.00M,29.00M,29.00M,-13.00M,2.00M,,5.00M,,-1.00M,-3.00M,,30.00M,,-207.00M,-180.00M,,-4.00M,,-27.00M,-27.00M,,35.00M,-90.00M,-1.122B,,2.80B,-502.00M,2.298B,11.00M,-66.00M,-55.00M,,,,-37.00M,,-37.00M,0.00,2.234B,,3.002B,1.108B,4.11B,,11.00M,2.80B,0.00,-66.00M,60.00M,51.00M,,AOR,Restated
2016-03,60.00M,,2.00M,3.00M,5.00M,30.00M,30.00M,-39.00M,2.00M,,20.00M,,-1.00M,-4.00M,,10.00M,,19.00M,25.00M,,248.00M,,-27.00M,-27.00M,,134.00M,-13.00M,-258.00M,,,491.00M,491.00M,1.00M,-52.00M,-51.00M,,,,-37.00M,,-37.00M,-1.00M,-3.135B,,6.147B,-3.145B,3.002B,,1.00M,,,-52.00M,,,,AOR,Restated
2015-12,116.00M,,0.00,14.00M,14.00M,28.00M,28.00M,-19.00M,2.00M,,9.00M,3.00M,0.00,-3.00M,,35.00M,,-42.00M,-10.00M,,202.00M,,-41.00M,-41.00M,,-1.987B,4.00M,-2.232B,,0.00,-86.00M,-86.00M,1.00M,-65.00M,-64.00M,,,,-38.00M,,-38.00M,-3.00M,977.00M,,7.20B,-1.053B,6.147B,,1.00M,0.00,0.00,-65.00M,42.00M,30.00M,,AOR,Restated
2015-09,136.00M,,0.00,11.00M,11.00M,30.00M,30.00M,-27.00M,3.00M,,5.00M,0.00,-1.00M,-5.00M,,13.00M,,80.00M,88.00M,,269.00M,,-24.00M,-24.00M,,-333.00M,6.00M,401.00M,,219.00M,53.00M,272.00M,3.00M,-60.00M,-57.00M,,,,-37.00M,,-37.00M,-3.00M,565.00M,,5.965B,1.235B,7.20B,,3.00M,519.00M,-300.00M,-60.00M,35.00M,19.00M,,AOR,Restated
2015-06,135.00M,,0.00,12.00M,12.00M,30.00M,30.00M,-4.00M,4.00M,,8.00M,-1.00M,-19.00M,2.00M,,-52.00M,,-123.00M,-173.00M,,56.00M,,-29.00M,-29.00M,,-198.00M,5.00M,-923.00M,,191.00M,-24.00M,167.00M,12.00M,-59.00M,-47.00M,,,,-36.00M,,-36.00M,-1.00M,870.00M,,5.962B,3.00M,5.965B,,12.00M,497.00M,-306.00M,-59.00M,11.00M,26.00M,,AOR,Restated
2015-03,134.00M,,2.00M,11.00M,13.00M,30.00M,30.00M,-21.00M,4.00M,0.00,16.00M,-2.00M,18.00M,-6.00M,,-31.00M,,190.00M,153.00M,,338.00M,,-25.00M,-25.00M,,9.00M,2.00M,-501.00M,,,-36.00M,-36.00M,6.00M,-66.00M,-60.00M,,,,-36.00M,,-36.00M,2.00M,54.00M,,6.071B,-109.00M,5.962B,,6.00M,,,-66.00M,,19.00M,,AOR,Restated
2014-12,149.00M,,0.00,11.00M,11.00M,31.00M,31.00M,123.00M,4.00M,3.00M,7.00M,-1.00M,-35.00M,-2.00M,,30.00M,,-270.00M,-242.00M,,74.00M,,-32.00M,-32.00M,,-506.00M,12.00M,-1.416B,,0.00,-86.00M,-86.00M,4.00M,-60.00M,-56.00M,,,,-36.00M,,-36.00M,-4.00M,-374.00M,,7.787B,-1.716B,6.071B,,4.00M,0.00,0.00,-60.00M,64.00M,27.00M,,AOR,Restated
2014-09,154.00M,,1.00M,10.00M,-21.00M,31.00M,31.00M,20.00M,4.00M,-1.00M,9.00M,0.00,12.00M,-1.00M,,16.00M,,6.00M,21.00M,,219.00M,,-7.00M,-7.00M,,30.00M,-1.00M,190.00M,,97.00M,26.00M,123.00M,9.00M,-59.00M,-50.00M,,,,-36.00M,,-36.00M,5.00M,3.484B,,3.894B,3.893B,7.787B,,9.00M,247.00M,-150.00M,-59.00M,44.00M,24.00M,,AOR,Restated
2014-06,151.00M,,0.00,10.00M,10.00M,32.00M,32.00M,-8.00M,3.00M,-1.00M,8.00M,-1.00M,9.00M,-1.00M,,1.00M,,-63.00M,-63.00M,,132.00M,,-15.00M,-15.00M,,-27.00M,49.00M,-1.389B,,-907.00M,16.00M,-891.00M,10.00M,-61.00M,-51.00M,,,,-34.00M,,-34.00M,-1.00M,-469.00M,,5.62B,-1.726B,3.894B,,10.00M,349.00M,-1.256B,-61.00M,110.00M,25.00M,,AOR,Restated
2014-03,139.00M,,-1.00M,9.00M,8.00M,29.00M,29.00M,-5.00M,2.00M,-1.00M,14.00M,-5.00M,10.00M,0.00,,-61.00M,,97.00M,36.00M,,214.00M,,-16.00M,-16.00M,,-88.00M,2.00M,-1.128B,,,-93.00M,-93.00M,26.00M,-80.00M,-54.00M,,,,-31.00M,,-31.00M,6.00M,83.00M,,6.451B,-831.00M,5.62B,,26.00M,,,-80.00M,,25.00M,,AOR,Restated
2013-12,117.00M,,0.00,23.00M,23.00M,30.00M,30.00M,-14.00M,2.00M,8.00M,8.00M,0.00,18.00M,-2.00M,,51.00M,,217.00M,266.00M,,426.00M,,-32.00M,-32.00M,,105.00M,12.00M,-1.23B,,0.00,27.00M,27.00M,11.00M,-73.00M,-62.00M,,,,-31.00M,,-31.00M,3.00M,167.00M,,7.088B,-637.00M,6.451B,,11.00M,0.00,0.00,-73.00M,11.00M,26.00M,,AOR,Restated
2013-09,147.00M,,-1.00M,21.00M,19.00M,30.00M,30.00M,-32.00M,3.00M,-9.00M,9.00M,-1.00M,2.00M,14.00M,,22.00M,,-48.00M,-12.00M,,154.00M,,-28.00M,-28.00M,,113.00M,16.00M,1.402B,,-25.00M,95.00M,70.00M,10.00M,-72.00M,-62.00M,,,,-31.00M,,-31.00M,-5.00M,1.607B,,3.925B,3.163B,7.088B,,10.00M,0.00,-25.00M,-72.00M,82.00M,27.00M,,AOR,Restated
2013-06,143.00M,,2.00M,23.00M,25.00M,32.00M,32.00M,-3.00M,8.00M,6.00M,8.00M,-1.00M,21.00M,5.00M,,37.00M,,-269.00M,-227.00M,,-3.00M,,-23.00M,-23.00M,,423.00M,52.00M,44.00M,,-1.055B,73.00M,-982.00M,7.00M,-72.00M,-65.00M,,,,-32.00M,,-32.00M,2.00M,-1.713B,,5.597B,-1.672B,3.925B,,7.00M,0.00,-1.055B,-72.00M,21.00M,32.00M,,AOR,Restated
2013-03,134.00M,,0.00,21.00M,21.00M,30.00M,30.00M,29.00M,10.00M,-1.00M,10.00M,-1.00M,18.00M,-10.00M,,-72.00M,,104.00M,22.00M,,259.00M,,-19.00M,-19.00M,,-17.00M,23.00M,958.00M,,,-52.00M,-52.00M,5.00M,-74.00M,-69.00M,,,,-29.00M,,-29.00M,-4.00M,-154.00M,,4.534B,1.063B,5.597B,,5.00M,,,-74.00M,1.00M,29.00M,,AOR,Restated
2012-12,130.00M,,-1.00M,21.00M,20.00M,33.00M,33.00M,89.00M,13.00M,,8.00M,0.00,21.00M,2.00M,,56.00M,,-407.00M,-349.00M,,-53.00M,,,,,184.00M,116.00M,-1.653B,,0.00,47.00M,47.00M,,-93.00M,-90.00M,,,,-28.00M,,-28.00M,-6.00M,2.302B,,3.938B,596.00M,4.534B,,,,0.00,-93.00M,8.00M,34.00M,,AOR,Restated
2012-09,117.00M,,0.00,19.00M,19.00M,33.00M,33.00M,5.00M,12.00M,,8.00M,0.00,20.00M,2.00M,,26.00M,,70.00M,98.00M,,299.00M,,,,,-581.00M,4.00M,-818.00M,,0.00,-20.00M,-20.00M,,-90.00M,-90.00M,,,,-29.00M,,-29.00M,4.00M,317.00M,,4.14B,-202.00M,3.938B,,,,0.00,-90.00M,-26.00M,32.00M,,AOR,Restated
2012-06,144.00M,,-6.00M,22.00M,16.00M,34.00M,34.00M,42.00M,13.00M,,8.00M,0.00,21.00M,2.00M,,38.00M,,-9.00M,31.00M,,289.00M,,,,,136.00M,-16.00M,-902.00M,,-189.00M,1.00M,-188.00M,,-89.00M,-89.00M,,,,-20.00M,,-20.00M,2.00M,794.00M,,3.959B,181.00M,4.14B,,,,-189.00M,-89.00M,59.00M,37.00M,,AOR,Restated
2012-03,130.00M,,-5.00M,19.00M,14.00M,33.00M,33.00M,22.00M,10.00M,,13.00M,-1.00M,22.00M,-1.00M,,-85.00M,,25.00M,-61.00M,,157.00M,,,,,68.00M,-14.00M,-303.00M,,-4.00M,12.00M,8.00M,,-36.00M,-36.00M,,,,-20.00M,,-20.00M,-3.00M,549.00M,,3.556B,403.00M,3.959B,,,,-4.00M,-36.00M,5.00M,32.00M,,AOR,Restated
2011-12,96.00M,,4.00M,,57.00M,32.00M,32.00M,27.00M,39.00M,,8.00M,0.00,60.00M,-10.00M,,58.00M,,-245.00M,-197.00M,,40.00M,,,,0.00,-446.00M,194.00M,-1.887B,,-53.00M,-94.00M,-147.00M,,-41.00M,-37.00M,,,,-20.00M,,-20.00M,11.00M,205.00M,,5.198B,-1.642B,3.556B,,,,-53.00M,-41.00M,25.00M,38.00M,,AOR,Restated
2011-09,98.00M,,-12.00M,,-12.00M,31.00M,31.00M,29.00M,-12.00M,,8.00M,0.00,-4.00M,-3.00M,0.00,41.00M,-14.00M,93.00M,117.00M,,294.00M,,,,721.00M,-485.00M,-36.00M,197.00M,,-524.00M,75.00M,-449.00M,,-54.00M,-54.00M,,,,-18.00M,,-18.00M,-2.00M,1.241B,,3.466B,1.732B,5.198B,,,,-524.00M,-54.00M,1.00M,37.00M,,AOR,Restated
2011-06,96.00M,,-4.00M,,-4.00M,30.00M,30.00M,10.00M,12.00M,,8.00M,0.00,20.00M,7.00M,,19.00M,14.00M,85.00M,125.00M,,312.00M,,,,,-103.00M,-18.00M,-245.00M,,-940.00M,6.00M,-934.00M,,0.00,0.00,,,,-17.00M,,-17.00M,-3.00M,-1.046B,,4.445B,-979.00M,3.466B,,,,-940.00M,0.00,33.00M,42.00M,,AOR,Restated
2011-03,103.00M,,-2.00M,,-2.00M,29.00M,29.00M,13.00M,,,13.00M,-1.00M,12.00M,-2.00M,0.00,-59.00M,,,-61.00M,,150.00M,,,,,144.00M,-4.00M,1.086B,,0.00,-69.00M,-69.00M,,-21.00M,-21.00M,,,,-18.00M,,-18.00M,8.00M,1.126B,,2.083B,2.362B,4.445B,,,,,-21.00M,14.00M,34.00M,,AOR,Restated
2010-12,96.00M,,0.00,,37.00M,30.00M,30.00M,-198.00M,,,8.00M,0.00,-158.00M,3.00M,,41.00M,,432.00M,467.00M,0.00,291.00M,,65.00M,65.00M,0.00,-878.00M,-67.00M,-971.00M,,-1.024B,-49.00M,-1.073B,-4.00M,0.00,-4.00M,,0.00,0.00,-9.00M,0.00,-9.00M,1.00M,-1.231B,,3.994B,-1.911B,2.083B,,-4.00M,0.00,-1.024B,0.00,60.00M,47.00M,,AOR,Restated
2010-09,59.00M,,0.00,,0.00,32.00M,32.00M,-5.00M,,,13.00M,0.00,-13.00M,3.00M,0.00,25.00M,,9.00M,47.00M,0.00,255.00M,,-29.00M,-29.00M,0.00,402.00M,93.00M,616.00M,,-1.865B,-21.00M,-1.886B,0.00,0.00,0.00,,0.00,0.00,-9.00M,0.00,-9.00M,2.00M,-1.102B,,4.225B,-231.00M,3.994B,,0.00,285.00M,-1.888B,0.00,29.00M,55.00M,,AOR,Restated
2010-06,70.00M,,-1.00M,,-1.00M,30.00M,30.00M,127.00M,,,7.00M,-1.00M,27.00M,4.00M,,7.00M,,31.00M,42.00M,0.00,431.00M,,-19.00M,-19.00M,,295.00M,38.00M,379.00M,,-938.00M,-289.00M,-1.227B,3.00M,-2.00M,1.00M,,0.00,0.00,-8.00M,0.00,-8.00M,-9.00M,-1.173B,,4.588B,-363.00M,4.225B,,3.00M,13.00M,-1.213B,-2.00M,-50.00M,62.00M,,AOR,Restated
2010-03,35.00M,,-2.00M,,-2.00M,32.00M,32.00M,-126.00M,,,4.00M,0.00,201.00M,5.00M,0.00,-16.00M,,-26.00M,-38.00M,17.00M,309.00M,,-17.00M,-17.00M,,74.00M,-10.00M,1.182B,,-1.165B,27.00M,-1.138B,850.00M,-2.00M,848.00M,,-2.25B,-2.25B,-8.00M,-38.00M,-46.00M,10.00M,-2.52B,,5.617B,-1.029B,4.588B,,850.00M,,-1.165B,-2.252B,69.00M,63.00M,,AOR,Restated
2009-12,-29.00M,7.00M,-10.00M,0.00,-3.00M,31.00M,31.00M,14.00M,5.00M,,7.00M,0.00,-216.00M,2.00M,,-94.00M,,4.00M,-88.00M,0.00,-25.00M,,-20.00M,-20.00M,0.00,1.437B,1.00M,2.571B,,-136.00M,37.00M,-99.00M,,0.00,0.00,,,0.00,-7.00M,-28.00M,-35.00M,2.00M,53.00M,,3.018B,2.599B,5.617B,,,,-99.00M,0.00,19.00M,149.00M,,AOR,Restated
2009-09,19.00M,-6.00M,-107.00M,0.00,-113.00M,30.00M,30.00M,-12.00M,0.00,,7.00M,0.00,-239.00M,104.00M,,-95.00M,,157.00M,173.00M,0.00,173.00M,,-17.00M,-17.00M,0.00,-1.068B,84.00M,1.712B,,-2.34B,-65.00M,-2.405B,,0.00,0.00,,,0.00,-8.00M,-28.00M,-36.00M,-2.00M,-4.007B,,5.14B,-2.122B,3.018B,,,,-2.405B,0.00,15.00M,132.00M,,AOR,Restated
2009-06,18.00M,-6.00M,-113.00M,0.00,-103.00M,31.00M,31.00M,-123.00M,-2.00M,,7.00M,0.00,-13.00M,-73.00M,,-69.00M,87.00M,111.00M,56.00M,0.00,192.00M,,-18.00M,-18.00M,7.00M,3.145B,-4.00M,4.994B,,-1.007B,-1.717B,-2.724B,,-1.00M,-1.00M,,,0.00,-7.00M,-29.00M,-36.00M,4.00M,-3.556B,,3.51B,1.63B,5.14B,,,-458.00M,-2.266B,-1.00M,2.00M,167.00M,,AOR,Restated
2009-03,8.00M,,-13.00M,-100.00M,-137.00M,30.00M,30.00M,9.00M,-3.00M,,11.00M,,8.00M,29.00M,,-53.00M,-87.00M,-256.00M,-370.00M,1.00M,-249.00M,,-19.00M,-19.00M,,-1.487B,4.00M,192.00M,,-400.00M,458.00M,58.00M,,,0.00,,,0.00,-50.00M,-28.00M,-78.00M,-4.00M,144.00M,,3.423B,87.00M,3.51B,,,458.00M,-400.00M,,215.00M,171.00M,,AOR,Restated
2008-12,19.00M,0.00,-4.00M,-175.00M,-179.00M,29.00M,29.00M,-27.00M,9.00M,,10.00M,,129.00M,24.00M,,-254.00M,,85.00M,-105.00M,1.00M,65.00M,,-40.00M,-40.00M,0.00,-650.00M,,-160.00M,,-557.00M,-1.876B,-2.433B,0.00,0.00,0.00,,,,-100.00M,0.00,-100.00M,,2.086B,,1.432B,1.991B,3.423B,,2.25B,-318.00M,-2.115B,0.00,86.00M,266.00M,,AOR,Restated
2008-09,27.00M,0.00,-27.00M,0.00,-27.00M,30.00M,30.00M,-25.00M,-2.00M,,10.00M,,110.00M,-5.00M,,57.00M,,-67.00M,11.00M,1.00M,333.00M,,-39.00M,-39.00M,0.00,-142.00M,,78.00M,,2.506B,-450.00M,2.056B,1.00M,-1.00M,0.00,,,,-99.00M,0.00,-99.00M,,-784.00M,,1.805B,-373.00M,1.432B,,1.00M,2.55B,-494.00M,-1.00M,55.00M,288.00M,,,Restated
2008-06,56.00M,0.00,-14.00M,0.00,-14.00M,29.00M,29.00M,-19.00M,-3.00M,,11.00M,,8.00M,27.00M,,-135.00M,11.00M,61.00M,-5.00M,0.00,232.00M,,-45.00M,-45.00M,0.00,156.00M,,581.00M,,2.137B,1.641B,3.778B,,,0.00,,,,-100.00M,0.00,-100.00M,,-994.00M,,1.986B,-181.00M,1.805B,,,3.768B,10.00M,,97.00M,327.00M,,,Restated
2008-03,110.00M,,-22.00M,0.00,-22.00M,26.00M,26.00M,-28.00M,-4.00M,,20.00M,,16.00M,36.00M,,26.00M,-11.00M,-85.00M,-32.00M,-1.00M,232.00M,,-42.00M,-42.00M,,-2.037B,,-3.916B,,1.88B,-373.00M,1.507B,,,,,,,-96.00M,0.00,-96.00M,,4.156B,,1.514B,472.00M,1.986B,,,2.00B,-493.00M,,3.00M,385.00M,,,Restated
2007-12,115.00M,,-3.00M,,-3.00M,29.00M,29.00M,,,,,,-92.00M,,,,,,39.00M,,298.00M,,-63.00M,-63.00M,0.00,-3.86B,2.243B,-5.241B,,-158.00M,-6.00M,-164.00M,,,-47.00M,,,,,,-97.00M,17.00M,2.554B,,1.271B,-2.389B,1.514B,,,2.672B,-658.00M,,,,,,Restated
2007-09,181.00M,,-4.00M,,-4.00M,23.00M,23.00M,,,,,,59.00M,,,,,,-31.00M,,228.00M,,-39.00M,-39.00M,0.00,595.00M,-875.00M,-319.00M,,100.00M,2.516B,2.616B,,,-107.00M,,,,,,-99.00M,0.00,-10.00M,,1.372B,-101.00M,1.271B,,,250.00M,-150.00M,,,,,,
