,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-06,713.00M,713.00M,6.00M,374.00M,380.00M,-53.00M,327.00M,6.00M,445.00M,146.00M,42.00M,104.00M,,,104.00M,141.75M,29.00M,174.00M,,0.60,,0.8182,0.60,,0.58,,0.7933,0.58,,173.00M,177.00M,0.22,,AOR,Restated
2016-03,691.00M,691.00M,4.00M,366.00M,370.00M,0.00,370.00M,1.00M,447.00M,85.00M,25.00M,60.00M,,,60.00M,60.00M,30.00M,110.00M,,0.34,,0.34,0.34,,0.34,,0.34,0.34,,173.00M,176.00M,0.21,,AOR,Restated
2015-12,702.00M,702.00M,7.00M,377.00M,384.00M,0.00,384.00M,5.00M,433.00M,157.00M,41.00M,116.00M,,,116.00M,116.00M,28.00M,181.00M,,0.65,,0.65,0.65,,0.64,,0.64,0.64,,176.00M,178.00M,0.21,,AOR,Restated
2015-09,682.00M,682.00M,6.00M,361.00M,367.00M,3.00M,370.00M,10.00M,422.00M,199.00M,63.00M,136.00M,,,136.00M,133.95M,30.00M,225.00M,,0.76,,0.7484,0.76,,0.74,,0.7287,0.74,,176.00M,181.00M,0.21,,AOR,Restated
2015-06,678.00M,678.00M,5.00M,367.00M,372.00M,30.00M,402.00M,6.00M,421.00M,199.00M,64.00M,135.00M,,,135.00M,114.65M,30.00M,222.00M,,0.76,,0.6444,0.76,,0.73,,0.6182,0.73,,176.00M,182.00M,0.21,,AOR,Restated
2015-03,665.00M,665.00M,6.00M,359.00M,365.00M,-1.00M,364.00M,-2.00M,413.00M,195.00M,61.00M,134.00M,,,134.00M,134.69M,30.00M,217.00M,,0.75,,0.7539,0.75,,0.73,,0.7338,0.73,,176.00M,182.00M,0.20,,AOR,Restated
2014-12,627.00M,627.00M,7.00M,298.00M,305.00M,0.00,305.00M,11.00M,415.00M,219.00M,70.00M,149.00M,,,149.00M,149.00M,31.00M,242.00M,,0.83,,0.83,0.83,,0.80,,0.80,0.80,,179.00M,182.00M,0.20,,AOR,Restated
2014-09,627.00M,627.00M,5.00M,313.00M,318.00M,34.00M,352.00M,6.00M,414.00M,227.00M,73.00M,154.00M,,,154.00M,130.93M,31.00M,249.00M,,0.85,,0.7211,0.85,,0.82,,0.6953,0.82,,179.00M,185.00M,0.20,,AOR,Restated
2014-06,634.00M,634.00M,5.00M,303.00M,308.00M,-3.00M,305.00M,8.00M,416.00M,221.00M,70.00M,151.00M,,,151.00M,153.05M,32.00M,246.00M,,0.83,,0.8415,0.83,,0.80,,0.8110,0.80,,179.00M,186.00M,0.20,,AOR,Restated
2014-03,615.00M,615.00M,6.00M,305.00M,311.00M,-3.00M,308.00M,7.00M,410.00M,203.00M,,203.00M,-64.00M,,139.00M,204.95M,29.00M,228.00M,,1.117,-0.3556,1.128,0.76,,1.075,-0.3556,1.085,0.73,,180.00M,187.00M,0.19,,AOR,Restated
2013-12,639.00M,639.00M,3.00M,319.00M,322.00M,-52.00M,270.00M,8.00M,430.00M,167.00M,50.00M,117.00M,,,117.00M,153.43M,30.00M,193.00M,,0.64,,0.8424,0.64,,0.62,,0.8148,0.62,,180.00M,187.00M,0.17,,AOR,Restated
2013-09,640.00M,640.00M,6.00M,317.00M,323.00M,4.00M,327.00M,17.00M,412.00M,215.00M,68.00M,147.00M,,,147.00M,144.27M,30.00M,242.00M,,0.80,,0.7850,0.80,,0.78,,0.7654,0.78,,182.00M,187.00M,0.17,,AOR,Restated
2013-06,636.00M,636.00M,6.00M,305.00M,311.00M,-1.00M,310.00M,8.00M,414.00M,207.00M,64.00M,143.00M,,,143.00M,143.69M,32.00M,236.00M,,0.77,,0.7738,0.77,,0.76,,0.7637,0.76,,183.00M,187.00M,0.17,,AOR,Restated
2013-03,629.00M,629.00M,6.00M,310.00M,316.00M,-3.00M,313.00M,0.00,416.00M,197.00M,63.00M,134.00M,,,134.00M,136.04M,30.00M,227.00M,,0.71,,0.7210,0.71,,0.70,,0.7109,0.70,,185.00M,187.00M,0.17,,AOR,Restated
2012-12,680.00M,680.00M,6.00M,315.00M,321.00M,-25.00M,296.00M,34.00M,424.00M,237.00M,107.00M,130.00M,,,130.00M,146.25M,33.00M,269.00M,,0.68,,0.7678,0.68,,0.68,,0.7674,0.68,,185.00M,186.00M,0.15,,AOR,Restated
2012-09,624.00M,624.00M,7.00M,312.00M,319.00M,-25.00M,294.00M,0.00,427.00M,153.00M,36.00M,117.00M,,,117.00M,136.12M,33.00M,186.00M,,0.61,,0.7106,0.61,,0.61,,0.7101,0.61,,190.00M,191.00M,0.15,,AOR,Restated
2012-06,646.00M,646.00M,7.00M,307.00M,314.00M,-8.00M,306.00M,6.00M,435.00M,193.00M,50.00M,143.00M,,,143.00M,148.93M,34.00M,228.00M,,0.73,,0.7606,0.73,,0.73,,0.7606,0.73,,194.00M,194.00M,0.15,,AOR,Restated
2012-03,648.00M,648.00M,7.00M,319.00M,326.00M,,326.00M,5.00M,442.00M,178.00M,48.00M,130.00M,,,130.00M,130.00M,33.00M,213.00M,,0.66,,0.66,0.66,,0.66,,0.66,0.66,,195.00M,196.00M,0.10,,AOR,Restated
2011-12,626.00M,626.00M,7.00M,315.00M,322.00M,104.00M,426.00M,27.00M,444.00M,129.00M,33.00M,96.00M,,,96.00M,18.60M,32.00M,166.00M,,0.48,,0.0871,0.48,,0.48,,0.0871,0.48,,197.00M,197.00M,0.10,,AOR,Restated
2011-09,624.00M,624.00M,7.00M,300.00M,307.00M,-90.00M,217.00M,12.00M,423.00M,126.00M,28.00M,98.00M,,,98.00M,168.00M,31.00M,166.00M,,0.51,0.00,0.8746,0.51,,0.51,0.00,0.8746,0.51,,192.00M,192.00M,0.10,,AOR,Restated
2011-06,593.00M,593.00M,7.00M,292.00M,299.00M,-51.00M,248.00M,4.00M,391.00M,137.00M,41.00M,96.00M,,,96.00M,131.74M,30.00M,177.00M,,0.54,0.00,0.7442,0.54,,0.53,0.00,0.7308,0.53,,175.00M,178.00M,0.10,,AOR,Restated
2011-03,602.00M,602.00M,7.00M,300.00M,307.00M,-45.00M,262.00M,2.00M,395.00M,138.00M,35.00M,103.00M,,,103.00M,136.59M,29.00M,177.00M,,0.58,0.00,0.7719,0.58,,0.57,0.00,0.7587,0.57,,175.00M,178.00M,0.10,,AOR,Restated
2010-12,620.00M,620.00M,7.00M,282.00M,289.00M,105.00M,394.00M,11.00M,405.00M,126.00M,30.00M,96.00M,0.00,0.00,96.00M,16.00M,30.00M,166.00M,,0.55,0.01,0.0955,0.56,,0.54,0.00,0.0931,0.54,,176.00M,179.00M,0.10,,AOR,Restated
2010-09,590.00M,590.00M,7.00M,304.00M,311.00M,-29.00M,282.00M,0.00,404.00M,66.00M,7.00M,59.00M,0.00,,59.00M,84.92M,32.00M,118.00M,,0.34,0.00,0.4881,0.34,,0.33,0.00,0.4756,0.33,,175.00M,178.00M,0.05,,AOR,Restated
2010-06,616.00M,616.00M,7.00M,296.00M,303.00M,-35.00M,268.00M,1.00M,422.00M,93.00M,23.00M,70.00M,0.00,,70.00M,96.34M,30.00M,147.00M,,0.40,0.00,0.5505,0.40,,0.39,0.00,0.538,0.39,,175.00M,178.00M,0.05,,AOR,Restated
2010-03,609.00M,609.00M,8.00M,284.00M,292.00M,-42.00M,250.00M,2.00M,415.00M,30.00M,-5.00M,35.00M,17.00M,123.00M,52.00M,62.30M,32.00M,91.00M,,-0.46,0.00,-0.2839,-0.46,,-0.46,0.00,-0.2839,-0.46,,155.00M,155.00M,0.05,,AOR,Restated
2009-12,610.00M,610.00M,,301.00M,330.00M,-137.00M,193.00M,10.00M,396.00M,-71.00M,-42.00M,-29.00M,0.00,33.00M,-29.00M,60.05M,31.00M,12.00M,,-0.41,-0.01,0.1877,-0.42,,-0.41,-0.01,0.1877,-0.42,,149.00M,149.00M,0.05,,AOR,Restated
2009-09,700.00M,700.00M,,293.00M,293.00M,-2.00M,291.00M,107.00M,385.00M,-10.00M,-29.00M,19.00M,0.00,34.00M,19.00M,20.30M,30.00M,116.00M,,-0.10,0.00,-0.0913,-0.10,,-0.10,0.00,-0.0913,-0.10,,149.00M,149.00M,0.05,,AOR,Restated
2009-06,700.00M,700.00M,,301.00M,301.00M,4.00M,305.00M,113.00M,402.00M,-41.00M,-59.00M,18.00M,0.00,34.00M,18.00M,15.40M,31.00M,109.00M,,-0.11,0.00,-0.1274,-0.11,,-0.11,0.00,-0.1274,-0.11,,149.00M,149.00M,0.05,,AOR,Restated
2009-03,607.00M,607.00M,,295.00M,295.00M,1.00M,296.00M,13.00M,384.00M,7.00M,-1.00M,8.00M,1.00M,33.00M,9.00M,7.35M,30.00M,186.00M,,-0.17,0.01,-0.1744,-0.16,,-0.17,0.01,-0.1744,-0.16,,149.00M,149.00M,0.05,,AOR,Restated
2008-12,605.00M,605.00M,,314.00M,344.00M,-170.00M,174.00M,4.00M,431.00M,2.00M,-17.00M,19.00M,1.00M,,20.00M,129.50M,29.00M,287.00M,,0.01,0.00,0.7827,0.01,,0.00,0.00,0.7727,0.00,,143.00M,143.00M,0.33,,AOR,Restated
2008-09,706.00M,706.00M,,394.00M,394.00M,-9.00M,385.00M,27.00M,466.00M,27.00M,0.00,27.00M,1.00M,,28.00M,36.00M,30.00M,296.00M,,0.18,0.01,0.2396,0.19,,0.18,0.01,0.2396,0.19,,151.00M,151.00M,0.66,,,Restated
2008-06,684.00M,684.00M,,306.00M,306.00M,-7.00M,299.00M,14.00M,442.00M,91.00M,35.00M,56.00M,0.00,,56.00M,60.31M,29.00M,386.00M,,0.37,0.00,0.3985,0.37,,0.37,0.00,0.3985,0.37,,151.00M,151.00M,0.66,,,Restated
2008-03,713.00M,713.00M,,305.00M,305.00M,4.00M,309.00M,22.00M,476.00M,151.00M,41.00M,110.00M,-1.00M,,109.00M,107.09M,26.00M,538.00M,,0.73,0.00,0.7107,0.73,,0.73,0.00,0.7107,0.73,,151.00M,151.00M,0.66,,,Restated
2007-12,716.00M,716.00M,,388.00M,388.00M,,388.00M,3.00M,489.00M,161.00M,44.00M,117.00M,2.00M,,119.00M,117.00M,29.00M,616.00M,,0.80,0.00,0.80,0.80,,0.79,0.00,0.79,0.80,,151.02M,151.40M,0.64,,,Restated
2007-09,733.00M,733.00M,,256.00M,256.00M,-6.00M,250.00M,4.00M,503.00M,265.00M,85.00M,180.00M,1.00M,,181.00M,184.08M,23.00M,714.00M,,1.18,0.02,1.207,1.20,,1.17,0.01,1.197,1.18,,150.83M,153.39M,0.64,,,
2007-06,734.00M,734.00M,,265.00M,265.00M,9.00M,274.00M,,509.00M,287.00M,91.00M,196.00M,,,196.00M,188.49M,22.00M,711.00M,,1.28,0.00,1.231,1.28,,1.25,0.00,1.202,1.25,,153.12M,156.80M,0.64,,,
2007-03,705.00M,705.00M,,252.00M,252.00M,,252.00M,,502.00M,275.00M,86.00M,189.00M,1.00M,,190.00M,188.31M,22.00M,674.00M,,1.21,0.00,1.206,1.21,,1.19,0.00,1.186,1.19,,157.02M,159.66M,0.64,,,
2006-12,764.00M,764.00M,,273.00M,273.00M,,273.00M,,502.00M,285.00M,100.00M,185.00M,114.00M,,299.00M,185.00M,22.00M,695.00M,,1.18,0.70,1.18,1.88,,1.16,0.69,1.16,1.85,,158.37M,161.08M,0.59,,,
2006-09,697.00M,697.00M,,250.00M,250.00M,,250.00M,,502.00M,283.00M,88.00M,195.00M,5.00M,,200.00M,199.82M,18.00M,674.00M,,1.22,0.03,1.250,1.25,,1.20,0.03,1.230,1.23,,160.00M,162.60M,0.59,,,
2006-06,705.00M,705.00M,,241.00M,241.00M,-3.00M,238.00M,1.00M,502.00M,287.00M,92.00M,195.00M,5.00M,,200.00M,197.04M,23.00M,632.00M,,1.21,0.03,1.223,1.24,,1.19,0.03,1.202,1.22,,161.29M,163.93M,0.59,,,
2006-03,674.00M,674.00M,,243.00M,243.00M,,243.00M,-2.00M,479.00M,272.00M,65.00M,207.00M,-13.00M,,194.00M,210.81M,19.00M,565.00M,,1.28,-0.08,1.304,1.20,,1.26,-0.08,1.283,1.18,,161.67M,164.41M,0.59,,,
2005-12,704.00M,704.00M,,257.00M,257.00M,,257.00M,,501.00M,258.00M,87.00M,171.00M,36.00M,,207.00M,171.00M,-14.00M,501.00M,,1.05,0.22,1.05,1.27,,1.04,0.22,1.04,1.26,,163.07M,164.36M,0.55,,,
2005-09,727.00M,727.00M,,255.00M,255.00M,,255.00M,,512.00M,346.00M,113.00M,233.00M,5.00M,,238.00M,233.00M,31.00M,553.00M,,1.40,0.03,1.40,1.43,,1.38,0.03,1.38,1.41,,166.43M,168.79M,0.55,,,
2005-06,702.00M,702.00M,,241.00M,241.00M,,241.00M,,483.00M,317.00M,100.00M,217.00M,,,217.00M,217.00M,34.00M,489.00M,,1.29,0.00,1.29,1.29,,1.28,0.00,1.28,1.28,,168.22M,169.53M,0.55,,,
2005-03,670.00M,670.00M,,236.00M,236.00M,,236.00M,,460.00M,295.00M,96.00M,199.00M,,,199.00M,199.00M,29.00M,442.00M,,1.18,0.00,1.18,1.18,,1.16,0.00,1.16,1.16,,168.64M,171.55M,0.55,,,
2004-12,669.00M,669.00M,,233.00M,233.00M,,233.00M,,466.00M,310.00M,103.00M,207.00M,,,207.00M,207.00M,32.00M,436.00M,,1.22,0.00,1.22,1.22,,1.21,0.00,1.21,1.21,,169.38M,170.69M,0.52,,,
2004-09,657.00M,657.00M,,225.00M,225.00M,,225.00M,-6.00M,451.00M,285.00M,89.00M,196.00M,,,196.00M,196.00M,26.00M,392.00M,,1.15,0.00,1.15,1.15,,1.13,0.00,1.13,1.13,,170.43M,173.45M,0.52,,,
2004-06,676.00M,676.00M,,235.00M,235.00M,,235.00M,1.00M,448.00M,284.00M,92.00M,192.00M,,,192.00M,187.27M,41.00M,381.00M,,1.11,0.00,1.083,1.11,,1.10,0.00,1.073,1.10,,172.97M,174.55M,0.52,,,
2004-03,665.00M,665.00M,,226.00M,226.00M,,226.00M,5.00M,445.00M,231.00M,69.00M,162.00M,,,162.00M,162.00M,30.00M,329.00M,,0.93,0.00,0.93,0.93,,0.92,0.00,0.92,0.92,,174.19M,176.09M,0.52,,,
2003-12,677.00M,677.00M,,227.00M,227.00M,,227.00M,4.00M,457.00M,221.00M,63.00M,158.00M,,,158.00M,158.00M,46.00M,324.00M,,0.90,0.00,0.90,0.90,,0.89,0.00,0.89,0.89,,175.51M,177.44M,0.50,,,
2003-09,686.00M,686.00M,,229.00M,229.00M,,229.00M,4.00M,465.00M,226.00M,69.00M,157.00M,,,157.00M,157.00M,18.00M,340.00M,,0.90,0.00,0.90,0.90,,0.89,0.00,0.89,0.89,,174.44M,176.40M,0.50,,,
2003-06,719.00M,719.00M,,219.00M,219.00M,,219.00M,29.00M,493.00M,248.00M,78.00M,170.00M,,,170.00M,170.00M,20.00M,382.00M,,0.98,0.00,0.98,0.98,,0.97,0.00,0.97,0.97,,173.47M,175.26M,0.50,,,
2003-03,731.00M,731.00M,,222.00M,222.00M,,222.00M,13.00M,511.00M,258.00M,82.00M,176.00M,,,176.00M,176.00M,15.00M,393.00M,,1.01,0.00,1.01,1.01,,1.00,0.00,1.00,1.00,,174.26M,176.00M,0.50,,,
2002-12,787.00M,787.00M,,214.00M,214.00M,,214.00M,57.00M,533.00M,299.00M,93.00M,206.00M,,83.00M,206.00M,206.00M,5.00M,452.00M,,1.18,0.00,1.18,1.18,,1.18,0.00,1.18,1.18,,173.64M,179.32M,0.48,,,
2002-09,744.00M,744.00M,,214.00M,214.00M,,214.00M,-6.00M,528.00M,26.00M,2.00M,24.00M,,84.00M,24.00M,12.92M,25.00M,192.00M,,0.14,0.00,0.0763,0.14,,0.14,0.00,0.0771,0.14,,174.00M,176.00M,0.48,,,
2002-06,753.00M,753.00M,,208.00M,208.00M,,208.00M,-9.00M,531.00M,272.00M,88.00M,184.00M,,84.00M,184.00M,184.00M,16.00M,446.00M,,1.05,0.00,1.05,1.05,,1.03,0.00,1.03,1.03,,175.41M,178.33M,0.48,,,
2002-03,737.00M,737.00M,,197.00M,197.00M,,197.00M,-1.00M,540.00M,326.00M,112.00M,214.00M,,84.00M,214.00M,214.00M,15.00M,498.00M,,1.22,0.00,1.22,1.22,,1.20,0.00,1.20,1.20,,175.41M,178.33M,0.48,,,
2001-12,785.00M,785.00M,,233.00M,233.00M,,233.00M,-3.00M,536.00M,311.00M,112.00M,199.00M,,304.00M,199.00M,192.60M,44.00M,530.00M,,1.12,0.00,1.094,1.12,,1.11,0.00,1.085,1.11,,244.40M,254.72M,0.44,,,
2001-09,742.00M,742.00M,,198.00M,198.00M,,198.00M,,527.00M,319.00M,110.00M,209.00M,,4.00M,209.00M,195.24M,24.00M,616.00M,,1.16,0.00,1.083,1.16,,1.14,0.00,1.063,1.14,,177.98M,177.98M,0.44,,,
2001-06,729.00M,729.00M,,203.00M,203.00M,,203.00M,-1.00M,527.00M,320.00M,112.00M,208.00M,,4.00M,208.00M,208.00M,32.76M,668.00M,,1.15,0.00,1.15,1.15,,1.13,0.00,1.13,1.13,,177.98M,177.98M,0.44,,,
2001-03,682.27M,682.27M,,206.78M,206.78M,,206.78M,23.74M,512.29M,160.30M,66.70M,93.59M,,4.275M,93.59M,93.59M,17.24M,588.46M,,0.50,0.00,0.50,0.50,,0.50,0.00,0.50,0.50,,178.63M,178.63M,0.44,,,
2000-12,735.21M,735.21M,,215.33M,215.33M,,215.33M,2.285M,519.20M,271.12M,98.52M,172.60M,,4.275M,172.60M,164.20M,-8.024M,737.15M,,0.96,0.00,0.9123,0.96,,0.94,0.00,0.8934,0.94,,176.02M,179.93M,0.40,,,
2000-09,747.68M,747.68M,,215.15M,215.15M,,215.15M,1.316M,503.68M,328.98M,113.92M,215.06M,,4.275M,215.06M,212.44M,26.79M,774.27M,,1.19,0.00,1.175,1.19,,1.17,0.00,1.155,1.17,,176.69M,179.48M,0.40,,,
2000-06,739.54M,739.54M,,209.15M,209.15M,,209.15M,7.257M,497.69M,316.70M,110.65M,206.05M,,4.30M,206.05M,206.05M,41.50M,729.74M,,1.16,0.00,1.16,1.16,,1.15,0.00,1.15,1.15,,156.47M,156.47M,0.40,,,
2000-03,738.42M,738.42M,,211.83M,211.83M,,211.83M,5.437M,483.60M,304.73M,107.70M,197.03M,,4.275M,197.03M,177.32M,10.72M,692.55M,,1.09,0.00,0.9786,1.09,,1.08,0.00,0.9700,1.08,,176.88M,179.23M,0.40,,,
1999-12,1.023B,1.023B,,302.54M,302.54M,,302.54M,6.775M,677.98M,416.06M,153.55M,262.52M,,4.30M,262.52M,262.52M,40.69M,892.46M,,1.10,0.00,1.10,1.10,,1.08,0.00,1.08,1.08,,238.48M,242.60M,0.36,,,
1999-09,560.90M,560.90M,,159.90M,159.90M,,159.90M,,390.40M,263.00M,92.60M,170.40M,,4.30M,170.40M,170.40M,22.70M,544.50M,,1.06,0.00,1.06,1.06,,1.05,0.00,1.05,1.05,,156.70M,158.19M,0.36,,,
1999-06,574.30M,574.30M,,162.60M,162.60M,,162.60M,0.70M,379.60M,257.40M,90.00M,167.40M,,4.30M,167.40M,167.40M,22.63M,519.30M,,1.04,0.00,1.04,1.04,,1.03,0.00,1.03,1.03,,156.83M,158.35M,0.36,,,
1999-03,525.73M,525.73M,,152.48M,152.48M,,152.48M,1.202M,368.83M,242.31M,83.20M,159.11M,,4.275M,159.11M,159.11M,22.67M,502.92M,,0.99,0.00,0.99,0.99,,0.98,0.00,0.98,0.98,,155.86M,158.43M,0.36,,,
1998-12,538.20M,538.20M,,150.30M,150.30M,,150.30M,,370.80M,239.10M,81.30M,157.80M,,4.30M,157.80M,157.80M,23.10M,520.40M,,0.99,0.00,0.99,0.99,,0.97,0.00,0.97,0.97,,155.01M,158.23M,0.32,,,
1998-09,512.50M,512.50M,,142.30M,142.30M,,142.30M,0.20M,360.40M,237.70M,83.20M,154.50M,,4.30M,154.50M,154.50M,36.60M,516.90M,,0.97,0.00,0.97,0.97,,0.95,0.00,0.95,0.95,,154.85M,158.11M,0.32,,,
1998-06,513.30M,513.30M,,138.00M,138.00M,,138.00M,,364.50M,232.00M,81.60M,150.40M,,4.30M,150.40M,150.40M,7.50M,518.80M,,0.94,0.00,0.94,0.94,,0.92,0.00,0.92,0.92,,155.43M,158.80M,0.32,,,
1998-03,500.50M,500.50M,,134.80M,134.80M,,134.80M,-0.20M,365.60M,222.60M,78.20M,144.40M,,4.30M,144.40M,144.40M,20.80M,530.90M,,0.89,0.00,0.89,0.89,,0.88,0.00,0.88,0.88,,157.42M,159.20M,0.32,,,
1997-12,506.70M,506.70M,,135.20M,135.20M,,135.20M,5.30M,365.90M,212.40M,72.40M,140.00M,,4.30M,140.00M,140.00M,21.40M,528.70M,,0.86,0.00,0.86,0.86,,0.84,0.00,0.84,0.84,,157.73M,161.59M,0.2867,,,
1997-09,497.90M,497.90M,,135.30M,135.30M,,135.30M,1.10M,361.60M,211.30M,74.20M,137.10M,,4.30M,137.10M,137.10M,21.60M,524.40M,,0.84,0.00,0.84,0.84,,0.83,0.00,0.83,0.83,,158.10M,160.00M,0.2867,,,
1997-06,484.90M,484.90M,,135.40M,135.40M,,135.40M,-1.40M,363.50M,201.70M,72.00M,129.70M,,4.30M,129.70M,129.70M,21.40M,501.50M,,0.79,0.00,0.79,0.79,,0.78,0.00,0.78,0.78,,158.73M,160.77M,0.2867,,,
