,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,153.00M,,,,254.00M,,254.00M,254.00M,26.00M,,,,6.00M,2.00M,-26.00M,68.00M,-200.00M,1.00M,-57.00M,31.00M,-183.00M,,258.00M,-591.00M,,-12.00M,,,-4.00M,-2.00M,-597.00M,0.00,475.00M,475.00M,17.00M,,17.00M,,,-111.00M,-111.00M,,-21.00M,360.00M,68.00M,21.00M,89.00M,17.00M,0.00,0.00,,,
2017-12,-59.00M,,,,228.00M,,228.00M,228.00M,173.00M,,,,5.00M,-5.00M,6.00M,37.00M,132.00M,16.00M,-19.00M,-43.00M,129.00M,,471.00M,-620.00M,,-11.00M,,,-4.00M,4.00M,-620.00M,240.00M,38.00M,278.00M,0.00,,0.00,,,-111.00M,-111.00M,0.00,-7.00M,160.00M,57.00M,11.00M,68.00M,0.00,496.00M,-256.00M,,,
2017-09,290.00M,,,,243.00M,,243.00M,243.00M,191.00M,,,,4.00M,-3.00M,-5.00M,-34.00M,55.00M,-4.00M,-9.00M,56.00M,59.00M,,784.00M,-527.00M,,-2.00M,,,-3.00M,5.00M,-525.00M,300.00M,-446.00M,-146.00M,0.00,,0.00,,,-106.00M,-106.00M,0.00,-3.00M,-255.00M,53.00M,4.00M,57.00M,0.00,300.00M,0.00,,,
2017-06,194.00M,,,,240.00M,,240.00M,240.00M,124.00M,,,,4.00M,0.00,-98.00M,-46.00M,95.00M,15.00M,18.00M,-14.00M,-30.00M,,532.00M,-517.00M,,-23.00M,,,-3.00M,0.00,-520.00M,124.00M,-22.00M,102.00M,,,,,,-107.00M,-107.00M,0.00,-5.00M,-10.00M,51.00M,2.00M,53.00M,,549.00M,-425.00M,,,
2017-03,104.00M,,,,241.00M,,241.00M,241.00M,51.00M,,,,4.00M,-4.00M,44.00M,60.00M,-195.00M,7.00M,3.00M,16.00M,-65.00M,,331.00M,-531.00M,,-27.00M,,,-6.00M,-2.00M,-539.00M,,356.00M,356.00M,0.00,,0.00,,,-107.00M,-107.00M,-24.00M,-18.00M,207.00M,52.00M,-1.00M,51.00M,0.00,,,,,
2016-12,33.00M,,,,235.00M,,235.00M,235.00M,22.00M,,,,0.00,11.00M,63.00M,24.00M,109.00M,-30.00M,12.00M,79.00M,257.00M,,558.00M,-594.00M,,-14.00M,,,-5.00M,-8.00M,-607.00M,241.00M,-50.00M,191.00M,,,,,,-107.00M,-107.00M,,-9.00M,24.00M,18.00M,-25.00M,52.00M,,247.00M,-6.00M,,,
2016-09,371.00M,,,,231.00M,,231.00M,231.00M,230.00M,,,,5.00M,-3.00M,-23.00M,-36.00M,43.00M,-15.00M,-15.00M,8.00M,-38.00M,,796.00M,-513.00M,,-17.00M,,,-4.00M,1.00M,-516.00M,0.00,-170.00M,-170.00M,,,,,,-103.00M,-103.00M,,-2.00M,-275.00M,13.00M,5.00M,18.00M,,0.00,0.00,,,
2016-06,148.00M,,,,223.00M,,223.00M,223.00M,92.00M,,,,6.00M,-4.00M,-166.00M,-32.00M,96.00M,17.00M,12.00M,22.00M,-51.00M,,414.00M,-507.00M,,-3.00M,,,-4.00M,-14.00M,-525.00M,20.00M,197.00M,217.00M,,,,,,-103.00M,-103.00M,,-3.00M,111.00M,13.00M,0.00,13.00M,,149.00M,-129.00M,,,
2016-03,107.00M,,,,234.00M,,234.00M,234.00M,42.00M,,,,6.00M,-5.00M,55.00M,55.00M,-216.00M,7.00M,-26.00M,90.00M,-35.00M,,349.00M,-517.00M,,-21.00M,,,-5.00M,12.00M,-510.00M,-260.00M,280.00M,20.00M,,,,,,-103.00M,-103.00M,,-35.00M,-118.00M,292.00M,-279.00M,13.00M,,,-260.00M,,,
2015-12,31.00M,,,,221.00M,,221.00M,221.00M,51.00M,,,,4.00M,-7.00M,154.00M,9.00M,32.00M,29.00M,-18.00M,-18.00M,188.00M,1.00M,489.00M,-607.00M,,-22.00M,,,-3.00M,21.00M,-614.00M,942.00M,-482.00M,460.00M,,,,,,-104.00M,-104.00M,,-11.00M,345.00M,72.00M,220.00M,292.00M,,948.00M,-6.00M,,,
2015-09,345.00M,,,,219.00M,,219.00M,219.00M,202.00M,,,,6.00M,2.00M,9.00M,-48.00M,41.00M,-10.00M,-11.00M,10.00M,-9.00M,-4.00M,761.00M,-488.00M,,-2.00M,,,-4.00M,5.00M,-487.00M,0.00,-103.00M,-103.00M,,,,,,-99.00M,-99.00M,,-2.00M,-204.00M,2.00M,70.00M,72.00M,,0.00,0.00,,,
2015-06,99.00M,,,,216.00M,,216.00M,216.00M,57.00M,,,,6.00M,-2.00M,-32.00M,-50.00M,83.00M,13.00M,6.00M,6.00M,26.00M,-2.00M,469.00M,-440.00M,,-11.00M,,,-2.00M,6.00M,-436.00M,135.00M,-69.00M,66.00M,,,,,,-100.00M,-100.00M,,-3.00M,-37.00M,6.00M,-4.00M,2.00M,,249.00M,-114.00M,,,
2015-03,110.00M,,,,218.00M,,218.00M,218.00M,59.00M,,,,8.00M,-11.00M,-48.00M,75.00M,-180.00M,14.00M,-21.00M,87.00M,-73.00M,1.00M,312.00M,-434.00M,,-17.00M,,,-5.00M,,-439.00M,0.00,241.00M,241.00M,,,,,,-99.00M,-99.00M,,-14.00M,128.00M,5.00M,1.00M,6.00M,,,0.00,,,
2014-12,47.00M,,,,195.00M,,195.00M,195.00M,81.00M,,,,5.00M,-17.00M,15.00M,37.00M,53.00M,-14.00M,7.00M,-46.00M,52.00M,-1.00M,362.00M,-521.00M,,-46.00M,,,-3.00M,19.00M,-505.00M,295.00M,-39.00M,256.00M,,,,,,-99.00M,-99.00M,,-22.00M,135.00M,13.00M,-8.00M,5.00M,,300.00M,-5.00M,,,
2014-09,296.00M,,,,200.00M,,200.00M,200.00M,192.00M,,,,5.00M,-6.00M,78.00M,-69.00M,25.00M,-10.00M,0.00,-161.00M,-137.00M,-1.00M,549.00M,-429.00M,,-2.00M,,,-4.00M,4.00M,-442.00M,0.00,-40.00M,-40.00M,,,,,,-97.00M,-97.00M,,-3.00M,-140.00M,46.00M,-33.00M,13.00M,,0.00,0.00,,,
2014-06,151.00M,,,,196.00M,,196.00M,196.00M,94.00M,,,,6.00M,-10.00M,24.00M,-67.00M,53.00M,44.00M,-10.00M,-62.00M,-18.00M,-4.00M,415.00M,-457.00M,,-16.00M,,,-3.00M,3.00M,-457.00M,69.00M,93.00M,162.00M,,,,,,-97.00M,-97.00M,,-3.00M,62.00M,26.00M,20.00M,46.00M,,598.00M,-529.00M,,,
2014-03,99.00M,,,,200.00M,,200.00M,200.00M,84.00M,,,,9.00M,-3.00M,-86.00M,102.00M,-165.00M,10.00M,-11.00M,,-150.00M,0.00,239.00M,-452.00M,,-10.00M,,,-4.00M,-9.00M,-313.00M,-163.00M,332.00M,169.00M,,,,,,-97.00M,-97.00M,,-2.00M,70.00M,30.00M,-4.00M,26.00M,,,-163.00M,,,
2013-12,49.00M,,,,191.00M,,191.00M,191.00M,152.00M,,,,8.00M,4.00M,28.00M,53.00M,-116.00M,0.00,10.00M,42.00M,17.00M,-42.00M,379.00M,-447.00M,,-11.00M,,,-5.00M,3.00M,-690.00M,-121.00M,368.00M,247.00M,,,,,,-97.00M,-97.00M,,-3.00M,147.00M,194.00M,-164.00M,30.00M,,278.00M,-399.00M,,,
2013-09,307.00M,,,,183.00M,,183.00M,183.00M,188.00M,,,,5.00M,-8.00M,4.00M,-70.00M,10.00M,-29.00M,-33.00M,-71.00M,-189.00M,60.00M,546.00M,-377.00M,,-9.00M,,,-5.00M,-3.00M,-396.00M,0.00,-25.00M,-25.00M,,,,,,-97.00M,-97.00M,,-9.00M,-131.00M,175.00M,19.00M,194.00M,,0.00,0.00,,,
2013-06,106.00M,,,,177.00M,,177.00M,177.00M,30.00M,,,,5.00M,19.00M,3.00M,-50.00M,78.00M,-3.00M,-20.00M,42.00M,50.00M,2.00M,389.00M,-314.00M,,-14.00M,,,-5.00M,4.00M,-334.00M,0.00,25.00M,25.00M,,,,,,-97.00M,-97.00M,,6.00M,-66.00M,186.00M,-11.00M,175.00M,,0.00,0.00,,,
2013-03,56.00M,,,,186.00M,,186.00M,186.00M,40.00M,,,,9.00M,-5.00M,-95.00M,127.00M,-86.00M,52.00M,29.00M,29.00M,56.00M,37.00M,379.00M,-286.00M,,-11.00M,,,-3.00M,-2.00M,-303.00M,0.00,0.00,0.00,,,,,,-97.00M,-97.00M,,-2.00M,-99.00M,209.00M,-23.00M,186.00M,,,0.00,,,
2012-12,10.00M,,,,187.00M,,187.00M,187.00M,8.00M,,,,6.00M,-4.00M,51.00M,29.00M,24.00M,64.00M,-56.00M,-5.00M,107.00M,64.00M,378.00M,-336.00M,,-35.00M,,,-4.00M,26.00M,-348.00M,-6.00M,-5.00M,-11.00M,,,,,,-98.00M,-98.00M,,-10.00M,-119.00M,298.00M,-89.00M,209.00M,,0.00,-6.00M,,,
2012-09,311.00M,,,,174.00M,,174.00M,174.00M,139.00M,,,,11.00M,-142.00M,-5.00M,-76.00M,10.00M,-36.00M,25.00M,15.00M,-67.00M,125.00M,551.00M,-281.00M,,-4.00M,,,-4.00M,-5.00M,-349.00M,128.00M,-25.00M,103.00M,,,,,,-97.00M,-97.00M,,-8.00M,-2.00M,91.00M,200.00M,298.00M,,882.00M,-754.00M,,,
2012-06,162.00M,,,,178.00M,,178.00M,178.00M,80.00M,,,,4.00M,-5.00M,-109.00M,-60.00M,114.00M,-7.00M,13.00M,-10.00M,-59.00M,18.00M,378.00M,-254.00M,,-14.00M,,,-4.00M,1.00M,-302.00M,,-96.00M,-96.00M,,,,,,-97.00M,-97.00M,,1.00M,-192.00M,207.00M,-116.00M,91.00M,,,,,,
2012-03,39.00M,,,,177.00M,,177.00M,177.00M,30.00M,,,,8.00M,-10.00M,93.00M,79.00M,-186.00M,19.00M,23.00M,32.00M,60.00M,79.00M,383.00M,-283.00M,,-38.00M,,,-7.00M,-2.00M,-311.00M,,-22.00M,-22.00M,,,,,,-90.00M,-90.00M,,-1.00M,-113.00M,248.00M,-41.00M,207.00M,,,,,,
2011-12,-63.00M,12.00M,,12.00M,,,105.00M,105.00M,-40.00M,-68.00M,-126.00M,-15.00M,,95.00M,70.00M,5.00M,65.00M,,,-97.00M,17.00M,,313.00M,-140.00M,-50.00M,-67.00M,,,-5.00M,-3.00M,-297.00M,-5.00M,-102.00M,-107.00M,16.00M,,16.00M,,,-96.00M,-96.00M,,4.00M,-283.00M,522.00M,-267.00M,255.00M,16.00M,0.00,-5.00M,,,
2011-09,287.00M,-1.00M,,4.00M,,,185.00M,185.00M,159.00M,22.00M,124.00M,15.00M,,-8.00M,107.00M,-89.00M,-40.00M,,,-100.00M,-122.00M,,666.00M,-263.00M,1.00M,-11.00M,,,-4.00M,9.00M,-257.00M,0.00,-187.00M,-187.00M,17.00M,,17.00M,,,-93.00M,-93.00M,,-2.00M,-265.00M,378.00M,144.00M,522.00M,17.00M,0.00,0.00,,,
2011-06,139.00M,-11.00M,,-16.00M,,,186.00M,186.00M,159.00M,24.00M,2.00M,16.00M,,-9.00M,-71.00M,-80.00M,84.00M,,,-95.00M,-162.00M,,339.00M,-287.00M,49.00M,38.00M,,,-8.00M,8.00M,-238.00M,-150.00M,-67.00M,-217.00M,15.00M,,15.00M,,,-93.00M,-93.00M,,-1.00M,-296.00M,573.00M,-195.00M,378.00M,15.00M,,-150.00M,,,
2011-03,74.00M,,,,,,187.00M,187.00M,-16.00M,22.00M,0.00,-16.00M,,-6.00M,94.00M,135.00M,-142.00M,,,228.00M,315.00M,,560.00M,-253.00M,0.00,-22.00M,,,-4.00M,1.00M,-256.00M,,-125.00M,-125.00M,17.00M,,17.00M,,,-93.00M,-93.00M,,-75.00M,-276.00M,545.00M,28.00M,573.00M,17.00M,,,,,
2010-12,54.00M,-5.00M,,7.00M,,,212.00M,212.00M,1.00M,-55.00M,0.00,,,19.00M,-43.00M,34.00M,101.00M,,,-27.00M,89.00M,,327.00M,-329.00M,7.00M,-37.00M,,,-3.00M,5.00M,-320.00M,-186.00M,204.00M,18.00M,20.00M,15.00M,35.00M,0.00,0.00,-92.00M,-92.00M,,-31.00M,-70.00M,608.00M,-63.00M,545.00M,20.00M,,-307.00M,15.00M,,
2010-09,-164.00M,0.00,,-27.00M,,,201.00M,201.00M,234.00M,24.00M,589.00M,,,-6.00M,-118.00M,-69.00M,-21.00M,,,82.00M,-126.00M,,725.00M,-212.00M,0.00,-2.00M,,,-4.00M,0.00,-216.00M,-124.00M,-165.00M,-289.00M,17.00M,-15.00M,2.00M,-52.00M,-52.00M,-93.00M,-93.00M,,25.00M,-407.00M,506.00M,102.00M,608.00M,17.00M,,-124.00M,-67.00M,,
2010-06,155.00M,-5.00M,,-5.00M,,,197.00M,197.00M,105.00M,9.00M,,31.00M,,-13.00M,-76.00M,-40.00M,91.00M,,,-63.00M,-88.00M,,391.00M,-257.00M,20.00M,21.00M,,,-4.00M,-2.00M,-243.00M,0.00,60.00M,60.00M,23.00M,,23.00M,,,-92.00M,-92.00M,,7.00M,-2.00M,360.00M,146.00M,506.00M,23.00M,,0.00,,,
2010-03,106.00M,,,,,,190.00M,190.00M,70.00M,22.00M,,-31.00M,,-8.00M,40.00M,148.00M,-141.00M,,,-16.00M,31.00M,,380.00M,-312.00M,,-23.00M,,,-4.00M,-1.00M,-317.00M,,-220.00M,-220.00M,20.00M,,20.00M,,,-91.00M,-91.00M,,-34.00M,-325.00M,622.00M,-262.00M,360.00M,20.00M,,,,,
2009-12,82.00M,,26.00M,26.00M,-557.00M,-40.00M,151.00M,151.00M,101.00M,62.00M,7.00M,,,-24.00M,-263.00M,78.00M,118.00M,,,-34.00M,-101.00M,,281.00M,-442.00M,,-33.00M,,,1.00M,-3.00M,-444.00M,-132.00M,415.00M,283.00M,17.00M,,17.00M,0.00,0.00,-72.00M,-72.00M,,-6.00M,222.00M,563.00M,59.00M,622.00M,17.00M,249.00M,34.00M,0.00,,
2009-09,229.00M,,30.00M,30.00M,168.00M,40.00M,208.00M,208.00M,224.00M,9.00M,0.00,,,-6.00M,168.00M,-120.00M,-33.00M,,,116.00M,131.00M,,825.00M,-457.00M,0.00,-12.00M,4.00M,,-7.00M,1.00M,-463.00M,0.00,-739.00M,-530.00M,570.00M,,570.00M,0.00,0.00,-102.00M,-102.00M,,12.00M,-50.00M,251.00M,312.00M,563.00M,570.00M,0.00,-739.00M,0.00,,
2009-06,168.00M,,-5.00M,-5.00M,201.00M,,201.00M,201.00M,45.00M,3.00M,,,,12.00M,-14.00M,-76.00M,89.00M,,,-68.00M,-69.00M,,355.00M,-458.00M,0.00,-32.00M,-4.00M,,8.00M,,-450.00M,173.00M,177.00M,141.00M,19.00M,3.00M,22.00M,,,-74.00M,-74.00M,,-47.00M,42.00M,304.00M,-53.00M,251.00M,19.00M,423.00M,-73.00M,3.00M,,
2009-03,145.00M,,-51.00M,-51.00M,188.00M,,188.00M,188.00M,32.00M,4.00M,,,,-1.00M,130.00M,185.00M,-216.00M,,,100.00M,199.00M,,516.00M,-427.00M,,-3.00M,,,-5.00M,,-432.00M,349.00M,-177.00M,172.00M,28.00M,-3.00M,25.00M,,,-90.00M,-90.00M,,21.00M,128.00M,92.00M,212.00M,304.00M,28.00M,349.00M,-177.00M,-3.00M,,
2008-12,63.00M,,42.00M,44.00M,-528.00M,-31.00M,146.00M,146.00M,37.00M,43.00M,,,,-12.00M,-132.00M,116.00M,57.00M,,,-102.00M,-61.00M,,271.00M,-592.00M,,-12.00M,,,3.00M,-7.00M,-596.00M,525.00M,-233.00M,292.00M,47.00M,,47.00M,0.00,0.00,-104.00M,-104.00M,,-24.00M,211.00M,206.00M,-114.00M,92.00M,47.00M,544.00M,-252.00M,0.00,,
2008-09,215.00M,,52.00M,52.00M,178.00M,11.00M,189.00M,189.00M,23.00M,6.00M,,,,54.00M,129.00M,-232.00M,66.00M,,,250.00M,213.00M,,752.00M,-556.00M,,-38.00M,,,-10.00M,0.00,-566.00M,-15.00M,-34.00M,-49.00M,32.00M,,32.00M,-16.00M,-16.00M,-143.00M,-143.00M,,-9.00M,-185.00M,205.00M,1.00M,206.00M,32.00M,0.00,-49.00M,-16.00M,,
2008-06,217.00M,,-78.00M,-78.00M,170.00M,9.00M,179.00M,179.00M,84.00M,3.00M,,,,-55.00M,67.00M,-163.00M,-20.00M,,,-62.00M,-178.00M,,172.00M,-399.00M,,-21.00M,,,-11.00M,2.00M,-408.00M,546.00M,-176.00M,370.00M,29.00M,,29.00M,,,-144.00M,-144.00M,,,255.00M,186.00M,19.00M,205.00M,29.00M,1.19B,-820.00M,,,
2008-03,149.00M,,-16.00M,-18.00M,180.00M,11.00M,191.00M,191.00M,23.00M,5.00M,,,,-1.00M,-52.00M,179.00M,-76.00M,,,-71.00M,-20.00M,,329.00M,-522.00M,,-102.00M,,,-5.00M,,-527.00M,-19.00M,145.00M,126.00M,46.00M,,46.00M,,,-143.00M,-143.00M,,,29.00M,355.00M,-169.00M,186.00M,46.00M,145.00M,-19.00M,,,
2007-12,108.00M,,,5.00M,,,,234.00M,-46.00M,,,,,-33.00M,-100.00M,22.00M,133.00M,,,-141.00M,-86.00M,,182.00M,-402.00M,8.00M,-394.00M,,,12.00M,7.00M,-375.00M,,,496.00M,20.00M,0.00,20.00M,,,,-153.00M,,15.00M,378.00M,170.00M,185.00M,355.00M,20.00M,,,0.00,,
2007-09,244.00M,,,5.00M,,,,175.00M,26.00M,,,,,33.00M,-25.00M,-145.00M,-51.00M,,,115.00M,-106.00M,,377.00M,-299.00M,2.00M,-297.00M,,,-12.00M,-30.00M,-339.00M,,,-439.00M,23.00M,-1.00M,22.00M,,,,-132.00M,,-6.00M,-555.00M,687.00M,-517.00M,170.00M,23.00M,,,-1.00M,,
2007-06,143.00M,,,5.00M,,,,186.00M,4.00M,,,,,,-2.00M,-123.00M,19.00M,-19.00M,-37.00M,9.00M,-153.00M,,185.00M,-368.00M,3.00M,-365.00M,,,4.00M,-7.00M,-368.00M,,,822.00M,27.00M,,27.00M,,,,-132.00M,,-8.00M,709.00M,161.00M,526.00M,687.00M,27.00M,,,,,
2007-03,123.00M,,,13.00M,,,,196.00M,-12.00M,,,,,,-193.00M,158.00M,-81.00M,19.00M,37.00M,98.00M,38.00M,,358.00M,-380.00M,,-380.00M,,,-4.00M,-2.00M,-386.00M,,,167.00M,21.00M,,21.00M,,,,-131.00M,,-5.00M,52.00M,137.00M,24.00M,161.00M,21.00M,,,,,
2006-12,61.00M,,,-76.00M,,,,111.00M,84.00M,,,,,-38.00M,-66.00M,61.00M,175.00M,,,-102.00M,68.00M,,210.00M,-301.00M,45.00M,-256.00M,,0.00,,51.00M,-222.00M,,,235.00M,18.00M,0.00,18.00M,,,,-131.00M,,-7.00M,115.00M,34.00M,103.00M,137.00M,18.00M,,,0.00,,
2006-09,293.00M,,,2.00M,,,,182.00M,26.00M,,,,,89.00M,-11.00M,-161.00M,-46.00M,,,76.00M,-142.00M,,450.00M,-218.00M,-4.00M,-222.00M,,0.00,,-27.00M,-249.00M,,,-98.00M,21.00M,-1.00M,20.00M,,,,-131.00M,,-9.00M,-218.00M,51.00M,-17.00M,34.00M,21.00M,,,-1.00M,,
2006-06,123.00M,,,7.00M,,,,194.00M,-27.00M,,,,,-13.00M,64.00M,-126.00M,68.00M,,,-44.00M,-38.00M,,246.00M,-230.00M,11.00M,-219.00M,,0.00,,-3.00M,-222.00M,,,107.00M,30.00M,,30.00M,,,,-130.00M,,-9.00M,-2.00M,29.00M,22.00M,51.00M,30.00M,,,,,
2006-03,70.00M,,,10.00M,,,,169.00M,8.00M,,,,,13.00M,104.00M,151.00M,-282.00M,,,130.00M,103.00M,,373.00M,-282.00M,4.00M,-278.00M,,-292.00M,,-3.00M,-573.00M,,,243.00M,27.00M,,27.00M,,,,-130.00M,,-7.00M,133.00M,96.00M,-67.00M,29.00M,27.00M,,,,,
2005-12,20.00M,,,-26.00M,,,,216.00M,-24.00M,,,,,,-159.00M,59.00M,201.00M,,,-125.00M,-24.00M,,162.00M,-292.00M,,-238.00M,,,,-87.00M,-313.00M,,,75.00M,24.00M,0.00,24.00M,,,,-128.00M,,-2.00M,-31.00M,278.00M,-182.00M,96.00M,24.00M,,,0.00,187.00M,307.00M
2005-09,280.00M,,,3.00M,,,,160.00M,17.00M,,,,,,7.00M,-180.00M,91.00M,,,-38.00M,-120.00M,,340.00M,-205.00M,,-205.00M,,,,88.00M,-117.00M,,,134.00M,28.00M,-1.00M,27.00M,,,,-130.00M,,-3.00M,28.00M,27.00M,251.00M,278.00M,28.00M,,,-1.00M,,
2005-06,185.00M,,,-5.00M,,,,188.00M,65.00M,,,,,,-28.00M,-14.00M,5.00M,,,-4.00M,-41.00M,,392.00M,-245.00M,,-245.00M,,,,-84.00M,-329.00M,,,-308.00M,372.00M,,372.00M,,,,-129.00M,,-1.00M,-66.00M,30.00M,-3.00M,27.00M,372.00M,,,,-4.00M,-41.00M
