,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-12,1.308B,1.308B,862.00M,446.00M,6.00M,104.00M,91.00M,9.00M,-82.00M,0.00,306.00M,140.00M,9.00M,91.00M,-82.00M,,-82.00M,61.00M,30.00M,31.00M,-1.00M,,-1.00M,29.00M,26.40M,373.00M,221.00M,152.00M,0.12,0.0,,0.1052,0.12,0.12,0.0,,0.1052,0.12,242.60M,243.00M,0.425
2015-09,1.833B,1.833B,878.00M,955.00M,8.00M,128.00M,87.00M,11.00M,-76.00M,,329.00M,626.00M,11.00M,87.00M,-76.00M,3.00M,-76.00M,553.00M,208.00M,345.00M,0.00,,-2.00M,343.00M,338.04M,859.00M,219.00M,640.00M,1.42,0.0,,1.4,1.42,1.41,0.0,,1.39,1.41,242.60M,243.90M,0.41
2015-06,1.401B,1.401B,779.00M,622.00M,4.00M,116.00M,89.00M,10.00M,-79.00M,69.00M,385.00M,237.00M,10.00M,89.00M,-79.00M,,-79.00M,158.00M,59.00M,99.00M,52.00M,,-1.00M,150.00M,95.48M,463.00M,216.00M,247.00M,0.4,0.21,,0.3896,0.61,0.4,0.21,,0.3896,0.61,242.60M,242.60M,0.41
2015-03,1.556B,1.556B,982.00M,574.00M,-3.00M,125.00M,88.00M,11.00M,-77.00M,,318.00M,256.00M,11.00M,88.00M,-77.00M,-3.00M,-77.00M,176.00M,66.00M,110.00M,,,-2.00M,108.00M,109.86M,482.00M,218.00M,264.00M,0.45,0.0,,0.4577,0.45,0.45,0.0,,0.4577,0.45,242.60M,242.60M,0.41
2014-12,1.37B,1.37B,945.00M,425.00M,7.00M,106.00M,75.00M,9.00M,-66.00M,,300.00M,125.00M,9.00M,75.00M,-66.00M,8.00M,-66.00M,67.00M,20.00M,47.00M,2.00M,,-1.00M,48.00M,41.09M,337.00M,195.00M,142.00M,0.19,0.01,,0.1698,0.2,0.19,0.01,,0.1699,0.2,242.60M,244.70M,0.41
2014-09,1.67B,1.67B,801.00M,869.00M,7.00M,121.00M,85.00M,9.00M,-76.00M,,308.00M,561.00M,9.00M,85.00M,-76.00M,5.00M,-76.00M,490.00M,194.00M,296.00M,-1.00M,,-2.00M,293.00M,289.80M,775.00M,200.00M,575.00M,1.21,0.0,,1.193,1.21,1.2,0.0,,1.183,1.2,242.60M,244.30M,0.4
2014-06,1.419B,1.419B,800.00M,619.00M,8.00M,114.00M,89.00M,9.00M,-80.00M,,297.00M,322.00M,9.00M,89.00M,-80.00M,8.00M,-80.00M,250.00M,99.00M,151.00M,-1.00M,,-1.00M,149.00M,145.20M,535.00M,196.00M,339.00M,0.62,-0.01,,0.6002,0.61,0.62,-0.01,,0.6002,0.61,242.60M,242.60M,0.4
2014-03,1.594B,1.594B,1.04B,554.00M,2.00M,127.00M,92.00M,9.00M,-83.00M,,308.00M,246.00M,9.00M,92.00M,-83.00M,,-83.00M,163.00M,64.00M,99.00M,-1.00M,,-2.00M,96.00M,95.78M,455.00M,200.00M,255.00M,0.4,0.0,,0.395,0.4,0.4,0.0,,0.395,0.4,242.60M,242.60M,0.4
2013-12,1.322B,1.322B,869.00M,453.00M,6.00M,104.00M,109.00M,6.00M,-103.00M,,282.00M,171.00M,6.00M,109.00M,-103.00M,4.00M,-103.00M,72.00M,23.00M,49.00M,-11.00M,,-1.00M,37.00M,43.92M,372.00M,191.00M,181.00M,0.19,-0.04,,0.1732,0.15,0.19,-0.04,,0.1733,0.15,242.60M,244.80M,0.4
2013-09,1.638B,1.638B,775.00M,863.00M,8.00M,121.00M,88.00M,9.00M,-79.00M,,296.00M,567.00M,9.00M,88.00M,-79.00M,6.00M,-79.00M,494.00M,187.00M,307.00M,-3.00M,,-2.00M,302.00M,300.04M,765.00M,183.00M,582.00M,1.26,-0.01,,1.24,1.25,1.25,-0.01,,1.23,1.24,242.60M,245.10M,0.4
2013-06,1.403B,1.403B,853.00M,550.00M,7.00M,111.00M,100.00M,8.00M,-92.00M,,289.00M,261.00M,8.00M,100.00M,-92.00M,3.00M,-92.00M,172.00M,66.00M,106.00M,-10.00M,,-1.00M,95.00M,100.66M,450.00M,177.00M,272.00M,0.44,-0.05,,0.4221,0.39,0.44,-0.05,,0.4221,0.39,242.60M,242.60M,0.4
2013-03,1.475B,1.475B,993.00M,482.00M,4.00M,122.00M,101.00M,7.00M,-94.00M,,297.00M,185.00M,7.00M,101.00M,-94.00M,,-94.00M,91.00M,35.00M,56.00M,-199.00M,,-2.00M,-145.00M,51.52M,378.00M,186.00M,192.00M,0.22,-0.82,,0.2098,-0.6,0.22,-0.82,,0.2098,-0.6,242.60M,242.60M,0.4
2012-12,1.258B,1.258B,867.00M,391.00M,4.00M,106.00M,97.00M,7.00M,-90.00M,,283.00M,108.00M,7.00M,97.00M,-90.00M,,-90.00M,19.00M,9.00M,10.00M,-1.165B,,-1.00M,-1.156B,6.40M,303.00M,187.00M,116.00M,-4.76,-4.8,,-4.771,-4.76,-4.76,-4.8,,-4.771,-4.76,242.60M,243.30M,0.4
2012-09,1.709B,1.709B,856.00M,853.00M,6.00M,114.00M,99.00M,7.00M,-92.00M,,275.00M,578.00M,7.00M,99.00M,-92.00M,4.00M,-92.00M,490.00M,179.00M,311.00M,63.00M,,0.00,374.00M,307.22M,763.00M,174.00M,589.00M,1.28,0.26,,1.264,1.54,1.28,0.26,,1.264,1.54,242.60M,242.90M,0.4
2012-06,1.402B,1.402B,780.00M,622.00M,5.00M,110.00M,98.00M,11.00M,-87.00M,,278.00M,344.00M,11.00M,98.00M,-87.00M,1.00M,-87.00M,258.00M,96.00M,162.00M,48.00M,,1.00M,211.00M,159.85M,534.00M,178.00M,356.00M,0.66,0.21,,0.647,0.87,0.66,0.21,,0.647,0.87,242.60M,242.60M,0.4
2012-03,1.412B,1.412B,974.00M,438.00M,-3.00M,113.00M,98.00M,7.00M,-91.00M,,280.00M,158.00M,7.00M,98.00M,-91.00M,-5.00M,-91.00M,62.00M,23.00M,39.00M,-442.00M,,0.00,-403.00M,40.89M,337.00M,177.00M,160.00M,0.15,-1.81,,0.1578,-1.66,0.15,-1.81,,0.1578,-1.66,242.60M,242.60M,0.4
2011-12,195.00M,195.00M,1.524B,-1.329B,27.00M,78.00M,51.00M,,-20.00M,,-1.232B,-97.00M,,51.00M,-20.00M,15.00M,-20.00M,-102.00M,-39.00M,-63.00M,,,-1.00M,25.00M,-80.68M,54.00M,105.00M,-51.00M,-0.26,0.36,,-0.3288,0.1,-0.26,0.36,,-0.3281,0.1,242.40M,244.80M,0.4
2011-09,2.268B,2.268B,845.00M,1.423B,-111.00M,121.00M,113.00M,,-113.00M,,749.00M,674.00M,,113.00M,-113.00M,-111.00M,-113.00M,450.00M,163.00M,287.00M,,,-2.00M,285.00M,355.79M,759.00M,185.00M,563.00M,1.18,0.0,,1.473,1.18,1.18,0.0,,1.473,1.18,241.70M,241.70M,0.385
2011-06,1.781B,1.781B,687.00M,1.094B,10.00M,109.00M,104.00M,,-104.00M,,776.00M,318.00M,,104.00M,-104.00M,10.00M,-104.00M,224.00M,85.00M,139.00M,,,-1.00M,138.00M,131.79M,522.00M,186.00M,328.00M,0.57,0.0,,0.5443,0.57,0.57,0.0,,0.5443,0.57,241.20M,241.20M,0.385
2011-03,1.904B,1.904B,894.00M,1.01B,11.00M,125.00M,119.00M,,-119.00M,,783.00M,227.00M,,119.00M,-119.00M,11.00M,-119.00M,119.00M,45.00M,74.00M,,,-3.00M,71.00M,64.16M,433.00M,187.00M,238.00M,0.29,0.0,,0.2616,0.29,0.29,0.0,,0.2616,0.29,240.60M,240.60M,0.385
2010-12,1.706B,1.706B,2.564B,-858.00M,-18.00M,107.00M,120.00M,,-87.00M,,-1.056B,198.00M,,120.00M,-87.00M,-27.00M,-87.00M,84.00M,30.00M,54.00M,,,-2.00M,52.00M,63.57M,416.00M,212.00M,204.00M,0.21,,,0.2582,0.21,0.21,,,0.2582,0.21,240.00M,240.00M,0.385
2010-09,2.267B,2.267B,821.00M,1.446B,-575.00M,119.00M,130.00M,,-130.00M,,768.00M,678.00M,,130.00M,-130.00M,-575.00M,-130.00M,-27.00M,137.00M,-164.00M,,,-3.00M,-167.00M,206.75M,304.00M,201.00M,103.00M,-0.7,0.0,,0.8618,-0.7,-0.7,0.0,,0.8618,-0.7,239.30M,239.30M,0.385
2010-06,1.725B,1.725B,637.00M,1.088B,22.00M,102.00M,115.00M,,-115.00M,,757.00M,331.00M,,115.00M,-115.00M,22.00M,-115.00M,238.00M,83.00M,155.00M,,,-3.00M,152.00M,137.67M,550.00M,197.00M,353.00M,0.64,0.0,,0.5799,0.64,0.64,0.0,,0.5799,0.64,238.40M,238.40M,0.385
2010-03,1.94B,1.94B,897.00M,1.043B,15.00M,121.00M,132.00M,,-132.00M,,745.00M,298.00M,,132.00M,-132.00M,15.00M,-132.00M,181.00M,75.00M,106.00M,,,-4.00M,102.00M,92.25M,503.00M,190.00M,313.00M,0.43,0.0,,0.389,0.43,0.43,0.0,,0.389,0.43,237.60M,237.60M,0.385
2009-12,1.72B,1.72B,701.00M,1.019B,6.00M,109.00M,132.00M,,-132.00M,,767.00M,252.00M,,132.00M,-132.00M,6.00M,-132.00M,126.00M,44.00M,82.00M,,,-3.00M,79.00M,75.10M,442.00M,151.00M,258.00M,0.3,0.0,,0.2835,0.3,0.3,0.0,,0.2839,0.3,236.90M,242.30M,0.385
2009-09,1.815B,1.815B,619.00M,1.196B,13.00M,104.00M,134.00M,,-134.00M,422.00M,711.00M,485.00M,,134.00M,-134.00M,13.00M,-134.00M,364.00M,135.00M,229.00M,,,-2.00M,227.00M,218.82M,706.00M,208.00M,498.00M,1.04,0.0,,1.003,1.04,1.04,0.0,,1.003,1.04,218.20M,218.20M,0.385
2009-06,1.684B,1.684B,589.00M,1.095B,10.00M,97.00M,124.00M,,-124.00M,451.00M,730.00M,365.00M,,124.00M,-124.00M,10.00M,-124.00M,251.00M,83.00M,168.00M,,,-3.00M,165.00M,158.31M,576.00M,201.00M,375.00M,0.77,0.0,,0.7387,0.77,0.77,0.0,,0.7387,0.77,213.60M,213.60M,0.385
2009-03,1.916B,1.916B,890.00M,1.026B,4.00M,110.00M,118.00M,8.00M,-110.00M,421.00M,705.00M,321.00M,8.00M,118.00M,-110.00M,4.00M,-110.00M,215.00M,70.00M,145.00M,,,-4.00M,141.00M,138.30M,521.00M,188.00M,333.00M,0.66,0.0,,0.6473,0.66,0.66,0.0,,0.6473,0.66,212.70M,212.70M,0.385
2008-12,1.938B,1.938B,978.00M,960.00M,-3.00M,104.00M,109.00M,,-109.00M,,777.00M,183.00M,,109.00M,-109.00M,-3.00M,-109.00M,71.00M,8.00M,63.00M,,,-6.00M,57.00M,59.66M,352.00M,146.00M,180.00M,0.27,0.0,,0.2826,0.27,0.27,0.0,,0.2826,0.27,211.90M,211.90M,0.635
2008-09,2.06B,2.06B,905.00M,1.155B,13.00M,98.00M,113.00M,,-113.00M,456.00M,727.00M,428.00M,,113.00M,-113.00M,13.00M,-113.00M,328.00M,113.00M,215.00M,,,-11.00M,204.00M,195.48M,630.00M,189.00M,441.00M,0.97,0.0,,0.9295,0.97,0.97,0.0,,0.9295,0.97,210.30M,210.30M,0.635
2008-06,1.79B,1.79B,611.00M,1.179B,11.00M,89.00M,118.00M,,-118.00M,476.00M,736.00M,443.00M,,118.00M,-118.00M,11.00M,-118.00M,336.00M,119.00M,217.00M,,,-11.00M,206.00M,198.90M,633.00M,179.00M,454.00M,0.98,0.0,,0.9461,0.98,0.98,0.0,,0.9461,0.98,209.50M,209.50M,0.635
2008-03,2.081B,2.081B,1.048B,1.033B,15.00M,113.00M,100.00M,,-100.00M,430.00M,712.00M,321.00M,,100.00M,-100.00M,15.00M,-100.00M,236.00M,87.00M,149.00M,,,-11.00M,138.00M,128.53M,527.00M,191.00M,336.00M,0.66,0.0,,0.6146,0.66,0.66,0.0,,0.6146,0.66,208.70M,208.70M,0.635
2007-12,1.796B,1.796B,862.00M,934.00M,76.00M,86.00M,,,,458.00M,691.00M,243.00M,,,,76.00M,,159.00M,51.00M,108.00M,,,-10.00M,108.00M,56.38M,477.00M,234.00M,243.00M,0.52,0.0,,0.2722,0.52,0.52,0.0,,0.2722,0.52,208.30M,208.30M,0.635
2007-09,1.997B,1.997B,825.00M,1.172B,-7.00M,97.00M,,,,417.00M,690.00M,482.00M,,,,-7.00M,,374.00M,130.00M,244.00M,,,-9.00M,244.00M,248.57M,658.00M,175.00M,482.00M,1.18,0.0,,1.202,1.18,1.18,0.0,,1.202,1.18,207.60M,207.60M,0.635
2007-06,1.728B,1.728B,710.00M,1.018B,12.00M,96.00M,,,,420.00M,692.00M,326.00M,,,,12.00M,,221.00M,78.00M,143.00M,,,-9.00M,143.00M,135.24M,512.00M,186.00M,326.00M,0.69,0.0,,0.6525,0.69,0.69,0.0,,0.6525,0.69,207.10M,207.10M,0.635
2007-03,2.024B,2.024B,636.00M,1.388B,-3.00M,102.00M,,,,810.00M,1.095B,293.00M,,,,-3.00M,,194.00M,71.00M,123.00M,,,-10.00M,123.00M,124.90M,489.00M,196.00M,293.00M,0.59,0.0,,0.5992,0.59,0.59,0.0,,0.5992,0.59,206.60M,206.60M,0.635
2006-12,1.62B,1.62B,786.00M,834.00M,37.00M,89.00M,,,,419.00M,680.00M,154.00M,,,,37.00M,,72.00M,11.00M,61.00M,,,-7.00M,61.00M,29.65M,326.00M,111.00M,154.00M,0.29,0.0,,0.138,0.29,0.29,,,0.1383,0.29,206.20M,206.60M,0.635
2006-09,1.91B,1.91B,707.00M,1.203B,2.00M,99.00M,,,,395.00M,656.00M,547.00M,,,,2.00M,,454.00M,161.00M,293.00M,,,-13.00M,293.00M,291.71M,729.00M,182.00M,547.00M,1.42,0.0,,1.4140000000000001,1.42,1.42,0.0,,1.4140000000000001,1.42,205.90M,205.90M,0.635
2006-06,1.55B,1.55B,628.00M,922.00M,2.00M,90.00M,,,,394.00M,646.00M,276.00M,,,,2.00M,,191.00M,68.00M,123.00M,,,-8.00M,123.00M,121.71M,470.00M,194.00M,276.00M,0.6,0.0,,0.5937,0.6,0.6,0.0,,0.5937,0.6,205.40M,205.40M,0.635
2006-03,1.80B,1.80B,978.00M,822.00M,4.00M,113.00M,,,,348.00M,626.00M,196.00M,,,,4.00M,,114.00M,44.00M,70.00M,,,-10.00M,70.00M,67.54M,365.00M,169.00M,196.00M,0.34,0.0,,0.328,0.34,0.34,0.0,,0.328,0.34,204.80M,204.80M,0.635
2005-12,1.701B,1.701B,938.00M,763.00M,23.00M,81.00M,,,,378.00M,619.00M,144.00M,,,,23.00M,,68.00M,26.00M,42.00M,,,-4.00M,20.00M,27.79M,360.00M,216.00M,144.00M,0.19,-0.11,,0.1205,0.08,0.0977,,,0.0283,0.08,204.40M,204.70M,0.635
2005-09,1.868B,1.868B,711.00M,1.157B,-2.00M,98.00M,,,,391.00M,647.00M,510.00M,,,,-2.00M,,439.00M,159.00M,280.00M,,,-5.00M,280.00M,281.28M,670.00M,160.00M,510.00M,1.37,0.0,,1.376,1.37,1.37,0.0,,1.376,1.37,203.80M,203.80M,0.635
2005-06,1.584B,1.584B,591.00M,993.00M,-4.00M,95.00M,,,,375.00M,627.00M,366.00M,,,,-4.00M,,285.00M,100.00M,185.00M,,,-4.00M,185.00M,187.60M,554.00M,188.00M,366.00M,0.93,0.0,,0.943,0.93,0.93,0.0,,0.943,0.93,199.70M,199.70M,0.635
2005-03,1.625B,1.625B,770.00M,855.00M,1.00M,91.00M,,,,345.00M,593.00M,262.00M,,,,1.00M,,192.00M,71.00M,121.00M,,,-3.00M,121.00M,120.37M,419.00M,135.00M,262.00M,0.62,0.0,,0.6168,0.62,0.62,0.0,,0.6168,0.62,195.30M,195.30M,0.635
2004-12,1.477B,1.477B,653.00M,824.00M,25.00M,81.00M,,,,381.00M,621.00M,203.00M,,,,25.00M,,123.00M,40.00M,83.00M,,,-3.00M,83.00M,66.13M,377.00M,174.00M,203.00M,0.4,0.0,,0.3139,0.4,0.4,,,0.3139,0.4,195.98M,195.98M,0.635
2004-09,1.307B,1.307B,367.00M,940.00M,-7.00M,77.00M,,,,314.00M,527.00M,413.00M,,,,-7.00M,,355.00M,123.00M,232.00M,,,-4.00M,232.00M,236.57M,560.00M,147.00M,413.00M,1.2,0.0,,1.224,1.2,1.2,0.0,,1.224,1.2,193.50M,193.50M,0.635
2004-06,1.149B,1.149B,354.00M,795.00M,-2.00M,74.00M,,,,343.00M,549.00M,246.00M,,,,-2.00M,,178.00M,60.00M,118.00M,,,-2.00M,118.00M,119.33M,385.00M,139.00M,246.00M,0.65,0.0,,0.6573,0.65,0.65,0.0,,0.6573,0.65,182.70M,182.70M,0.635
2004-03,1.218B,1.218B,486.00M,732.00M,2.00M,80.00M,,,,306.00M,516.00M,216.00M,,,,2.00M,,156.00M,59.00M,97.00M,,,-3.00M,97.00M,95.76M,357.00M,141.00M,216.00M,0.55,0.0,,0.5429,0.55,0.55,0.0,,0.5429,0.55,174.30M,174.30M,0.635
2003-12,1.017B,1.017B,363.00M,654.00M,8.00M,61.00M,,,,323.00M,515.00M,139.00M,,,,8.00M,,66.00M,28.00M,38.00M,,0.00,,38.00M,33.20M,280.00M,141.00M,139.00M,0.34,-0.11,0.0,0.3105,0.23,0.2333,,-0.0004,0.2038,0.23,162.82M,162.90M,0.635
2003-09,1.353B,1.353B,387.00M,966.00M,-1.00M,83.00M,,,,251.00M,466.00M,500.00M,,,,-1.00M,,429.00M,154.00M,275.00M,,,-2.00M,275.00M,275.64M,644.00M,144.00M,500.00M,1.7,0.0,,1.704,1.7,1.7,0.0,,1.704,1.7,161.80M,161.80M,0.635
2003-06,1.088B,1.088B,322.00M,766.00M,1.00M,77.00M,,,,307.00M,516.00M,250.00M,,,,1.00M,,177.00M,67.00M,110.00M,,,-4.00M,110.00M,109.38M,403.00M,153.00M,250.00M,0.68,0.0,,0.6761,0.68,0.68,0.0,,0.6761,0.68,161.20M,161.20M,0.635
2003-03,1.108B,1.108B,232.00M,876.00M,3.00M,78.00M,,,,473.00M,675.00M,201.00M,,,,3.00M,,135.00M,52.00M,83.00M,,18.00M,,101.00M,81.16M,325.00M,124.00M,201.00M,0.52,0.11,0.0,0.5084,0.63,0.52,0.11,0.1133,0.5084,0.63,158.90M,158.90M,0.635
2002-12,823.00M,823.00M,41.00M,782.00M,1.00M,51.00M,,,,615.00M,776.00M,6.00M,,,,1.00M,,-51.00M,-19.00M,-32.00M,,,,-32.00M,-32.63M,123.00M,117.00M,6.00M,-0.27,0.0,,-0.2741,-0.27,-0.27,0.0,,-0.2741,-0.27,154.64M,154.64M,0.635
2002-09,1.166B,1.166B,265.00M,901.00M,3.00M,74.00M,,,,278.00M,460.00M,441.00M,,,,3.00M,,385.00M,145.00M,240.00M,,,,240.00M,238.13M,560.00M,119.00M,441.00M,1.64,0.0,,1.6269999999999998,1.64,1.63,0.0,,1.617,1.63,146.70M,146.70M,0.635
