,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,30.00M,,30.00M,514.00M,,98.00M,870.00M,,453.00M,,214.00M,1.567B,,,,,21.67B,411.00M,,411.00M,698.00M,532.00M,24.51B,26.08B,497.00M,91.00M,588.00M,97.00M,685.00M,960.00M,1.17B,2.13B,2.13B,115.00M,115.00M,,415.00M,3.345B,636.00M,6.766B,6.766B,2.611B,3.056B,541.00M,142.00M,,,15.36B,18.71B,2.00M,1.699B,5.546B,,-17.00M,7.23B
2017-12,10.00M,,10.00M,445.00M,,70.00M,838.00M,,522.00M,,242.00M,1.612B,1.921B,1.072B,33.10B,-11.63B,21.47B,411.00M,,411.00M,704.00M,522.00M,24.33B,25.94B,902.00M,52.00M,954.00M,99.00M,1.053B,484.00M,841.00M,1.325B,1.325B,108.00M,108.00M,,454.00M,2.94B,638.00M,7.094B,7.094B,2.555B,3.015B,545.00M,142.00M,,,15.68B,18.62B,2.00M,1.66B,5.54B,,-18.00M,7.184B
2017-09,9.00M,,9.00M,507.00M,,85.00M,854.00M,,547.00M,,171.00M,1.581B,,,,,20.91B,411.00M,,411.00M,672.00M,538.00M,24.04B,25.62B,548.00M,159.00M,707.00M,106.00M,813.00M,446.00M,777.00M,1.223B,1.223B,108.00M,108.00M,,437.00M,2.581B,631.00M,6.922B,6.922B,4.771B,5.24B,711.00M,142.00M,,,15.55B,18.13B,2.00M,1.83B,5.534B,,-21.00M,7.345B
2017-06,10.00M,,10.00M,446.00M,,77.00M,857.00M,,512.00M,,192.00M,1.571B,,,,,20.59B,411.00M,,411.00M,651.00M,526.00M,23.68B,25.25B,522.00M,122.00M,644.00M,104.00M,748.00M,892.00M,578.00M,1.47B,1.47B,108.00M,108.00M,,439.00M,2.765B,634.00M,6.821B,6.821B,4.496B,4.973B,758.00M,142.00M,,,15.19B,17.95B,2.00M,1.649B,5.528B,,-21.00M,7.158B
2017-03,8.00M,,8.00M,457.00M,,67.00M,752.00M,,467.00M,,223.00M,1.45B,,,,,20.30B,411.00M,,411.00M,635.00M,532.00M,23.36B,24.81B,460.00M,77.00M,537.00M,100.00M,637.00M,914.00M,681.00M,1.595B,1.595B,106.00M,106.00M,,424.00M,2.762B,641.00M,6.597B,6.597B,4.374B,4.855B,768.00M,142.00M,,,14.84B,17.60B,2.00M,1.563B,5.522B,,-23.00M,7.064B
2016-12,9.00M,,9.00M,437.00M,,63.00M,795.00M,,527.00M,,262.00M,1.593B,1.837B,956.00M,31.07B,-10.96B,20.11B,411.00M,,411.00M,607.00M,538.00M,23.11B,24.70B,805.00M,46.00M,851.00M,93.00M,944.00M,558.00M,681.00M,1.239B,1.239B,107.00M,107.00M,,384.00M,2.674B,635.00M,6.595B,6.595B,4.319B,4.796B,769.00M,142.00M,,,14.78B,17.45B,2.00M,1.568B,5.556B,,-23.00M,7.103B
2016-09,18.00M,,18.00M,543.00M,,49.00M,832.00M,,551.00M,,183.00M,1.599B,,,,,19.65B,411.00M,,411.00M,599.00M,566.00M,22.54B,24.13B,513.00M,159.00M,672.00M,110.00M,782.00M,608.00M,431.00M,1.039B,1.039B,104.00M,104.00M,,366.00M,2.291B,636.00M,6.607B,6.607B,4.311B,4.792B,499.00M,142.00M,,,14.51B,16.80B,2.00M,1.643B,5.55B,,-2.00M,7.193B
2016-06,13.00M,,13.00M,445.00M,,65.00M,838.00M,,515.00M,,214.00M,1.594B,,,,,19.32B,411.00M,,411.00M,582.00M,552.00M,22.20B,23.79B,499.00M,124.00M,623.00M,102.00M,725.00M,778.00M,431.00M,1.209B,1.209B,100.00M,100.00M,,396.00M,2.43B,629.00M,6.605B,6.605B,4.085B,4.575B,537.00M,142.00M,,,14.30B,16.73B,2.00M,1.376B,5.545B,,-1.00M,6.922B
2016-03,13.00M,,13.00M,428.00M,,56.00M,670.00M,,483.00M,,278.00M,1.458B,,,,,19.00B,411.00M,,411.00M,567.00M,573.00M,21.93B,23.38B,429.00M,77.00M,506.00M,99.00M,605.00M,581.00M,135.00M,716.00M,716.00M,98.00M,98.00M,,420.00M,1.839B,625.00M,6.881B,6.881B,3.987B,4.517B,581.00M,142.00M,,,14.54B,16.37B,2.00M,1.333B,5.539B,,-5.00M,6.869B
2015-12,292.00M,,292.00M,388.00M,,98.00M,725.00M,268.00M,538.00M,,348.00M,1.917B,1.701B,1.543B,29.15B,-10.35B,18.80B,411.00M,,411.00M,556.00M,575.00M,21.72B,23.64B,777.00M,43.00M,820.00M,89.00M,909.00M,301.00M,395.00M,696.00M,696.00M,100.00M,100.00M,,388.00M,2.093B,618.00M,6.88B,6.88B,3.945B,4.476B,580.00M,142.00M,,,14.46B,16.55B,2.00M,1.331B,5.616B,,-3.00M,6.946B
2015-09,72.00M,,72.00M,508.00M,,113.00M,855.00M,,548.00M,225.00M,266.00M,1.983B,,,,,18.31B,411.00M,,411.00M,534.00M,646.00M,21.48B,23.46B,525.00M,160.00M,685.00M,103.00M,788.00M,783.00M,395.00M,1.178B,1.178B,,,,523.00M,2.489B,597.00M,5.981B,5.981B,4.146B,4.676B,666.00M,142.00M,,,13.81B,16.30B,2.00M,1.405B,5.612B,,-5.00M,7.014B
2015-06,2.00M,,2.00M,456.00M,,112.00M,870.00M,,500.00M,286.00M,318.00M,1.991B,,,,,17.99B,411.00M,,411.00M,555.00M,649.00M,21.16B,23.15B,486.00M,126.00M,612.00M,98.00M,710.00M,886.00M,395.00M,1.281B,1.281B,,,,565.00M,2.556B,589.00M,5.981B,5.981B,3.995B,4.519B,689.00M,142.00M,,,13.69B,16.25B,2.00M,1.161B,5.606B,,-5.00M,6.764B
2015-03,6.00M,,6.00M,524.00M,,100.00M,836.00M,,449.00M,331.00M,356.00M,1.993B,,,,,17.70B,411.00M,,411.00M,558.00M,645.00M,20.89B,22.88B,434.00M,79.00M,513.00M,94.00M,607.00M,955.00M,380.00M,1.335B,1.335B,,,,578.00M,2.52B,500.00M,5.86B,5.86B,4.029B,4.553B,708.00M,142.00M,,,13.52B,16.04B,2.00M,1.111B,5.60B,,-9.00M,6.704B
2014-12,5.00M,,5.00M,423.00M,,81.00M,769.00M,,524.00M,,381.00M,1.694B,,985.00M,27.18B,-9.759B,17.42B,411.00M,,411.00M,549.00M,629.00M,20.60B,22.29B,711.00M,46.00M,757.00M,85.00M,842.00M,714.00M,120.00M,834.00M,834.00M,,,,573.00M,2.249B,396.00M,6.085B,6.085B,3.635B,4.149B,705.00M,142.00M,,,13.18B,15.43B,2.00M,1.103B,5.617B,,-9.00M,6.713B
2014-09,13.00M,,13.00M,467.00M,,117.00M,787.00M,,561.00M,301.00M,265.00M,1.942B,,,,,16.99B,411.00M,20.00M,431.00M,529.00M,724.00M,19.93B,21.88B,466.00M,161.00M,627.00M,105.00M,732.00M,753.00M,119.00M,872.00M,872.00M,,,,515.00M,2.119B,385.00M,5.825B,5.825B,3.904B,4.426B,400.00M,142.00M,,,12.84B,14.96B,2.00M,1.154B,5.612B,,6.00M,6.774B
2014-06,46.00M,,46.00M,454.00M,,213.00M,966.00M,,491.00M,177.00M,270.00M,1.965B,,,,,16.73B,411.00M,19.00M,430.00M,523.00M,731.00M,19.62B,21.59B,575.00M,132.00M,707.00M,92.00M,799.00M,793.00M,119.00M,912.00M,912.00M,,,,601.00M,2.312B,380.00M,5.825B,5.825B,3.586B,4.11B,463.00M,142.00M,,,12.56B,14.87B,2.00M,957.00M,5.607B,,6.00M,6.572B
2014-03,26.00M,,26.00M,553.00M,,201.00M,990.00M,,424.00M,95.00M,290.00M,1.84B,,,,,16.42B,411.00M,17.00M,428.00M,503.00M,719.00M,19.33B,21.17B,559.00M,89.00M,648.00M,104.00M,752.00M,700.00M,648.00M,1.348B,1.348B,,,,625.00M,2.725B,373.00M,5.226B,5.226B,3.402B,3.956B,480.00M,142.00M,,,11.79B,14.51B,2.00M,906.00M,5.602B,,3.00M,6.513B
2013-12,30.00M,,30.00M,404.00M,,196.00M,904.00M,,526.00M,106.00M,241.00M,1.972B,,1.148B,24.85B,-8.644B,16.20B,411.00M,,411.00M,494.00M,720.00M,19.07B,21.04B,806.00M,55.00M,861.00M,86.00M,947.00M,368.00M,534.00M,902.00M,902.00M,,,,612.00M,2.461B,369.00M,5.504B,5.504B,3.313B,3.851B,466.00M,142.00M,,,11.90B,14.36B,2.00M,907.00M,5.632B,,3.00M,6.544B
2013-09,169.00M,,169.00M,469.00M,,109.00M,804.00M,,581.00M,43.00M,281.00M,3.273B,,,,,15.83B,411.00M,19.00M,430.00M,459.00M,660.00M,19.11B,22.38B,414.00M,159.00M,573.00M,120.00M,693.00M,,884.00M,884.00M,884.00M,106.00M,106.00M,,1.545B,3.228B,392.00M,5.274B,5.274B,3.487B,4.021B,1.042B,151.00M,,,12.43B,15.66B,2.00M,967.00M,5.624B,,-19.00M,6.574B
2013-06,150.00M,,150.00M,425.00M,,75.00M,808.00M,,511.00M,157.00M,296.00M,3.408B,,,,,15.60B,411.00M,18.00M,429.00M,442.00M,654.00M,18.87B,22.28B,428.00M,123.00M,551.00M,100.00M,651.00M,25.00M,884.00M,909.00M,909.00M,110.00M,110.00M,,1.616B,3.286B,385.00M,5.274B,5.274B,3.415B,4.00B,1.14B,151.00M,,,12.46B,15.75B,2.00M,762.00M,5.619B,,-9.00M,6.374B
2013-03,161.00M,,161.00M,479.00M,,70.00M,811.00M,,461.00M,80.00M,256.00M,3.296B,,,,,15.41B,411.00M,16.00M,427.00M,437.00M,665.00M,18.66B,21.95B,341.00M,91.00M,432.00M,111.00M,543.00M,,355.00M,355.00M,355.00M,110.00M,110.00M,,1.569B,2.577B,380.00M,5.803B,5.803B,3.303B,3.896B,1.113B,151.00M,,,12.86B,15.44B,2.00M,764.00M,5.614B,,-15.00M,6.365B
2012-12,184.00M,,184.00M,354.00M,,71.00M,716.00M,,570.00M,170.00M,345.00M,3.596B,,898.00M,23.69B,-8.346B,15.35B,411.00M,14.00M,425.00M,408.00M,667.00M,18.63B,22.23B,533.00M,49.00M,582.00M,89.00M,671.00M,0.00,355.00M,355.00M,355.00M,107.00M,107.00M,,1.553B,2.686B,349.00M,5.802B,5.802B,3.256B,3.899B,1.138B,151.00M,,,12.78B,15.46B,2.00M,1.006B,5.616B,,-8.00M,6.616B
2012-09,298.00M,0.00,298.00M,523.00M,,82.00M,870.00M,,756.00M,,348.00M,2.406B,,,,,17.83B,411.00M,14.00M,425.00M,407.00M,772.00M,21.09B,23.50B,458.00M,163.00M,621.00M,145.00M,766.00M,,211.00M,211.00M,211.00M,96.00M,96.00M,,473.00M,1.546B,429.00M,6.781B,6.781B,3.459B,4.022B,1.152B,152.00M,,,13.93B,15.47B,2.00M,2.259B,5.611B,,2.00M,7.874B
2012-06,117.00M,0.00,117.00M,417.00M,,69.00M,860.00M,,686.00M,,335.00M,2.154B,,,,,17.69B,411.00M,12.00M,423.00M,386.00M,776.00M,20.83B,22.98B,479.00M,141.00M,620.00M,113.00M,733.00M,,209.00M,209.00M,209.00M,97.00M,97.00M,,564.00M,1.603B,440.00M,6.678B,6.678B,3.274B,3.838B,1.251B,145.00M,,,13.68B,15.28B,2.00M,1.983B,5.60B,,-30.00M,7.555B
2012-03,208.00M,0.00,208.00M,446.00M,,65.00M,743.00M,,625.00M,,381.00M,2.124B,,,,,17.54B,411.00M,9.00M,420.00M,390.00M,773.00M,20.78B,22.90B,366.00M,101.00M,467.00M,149.00M,616.00M,,305.00M,305.00M,305.00M,98.00M,98.00M,,595.00M,1.614B,434.00M,6.677B,6.677B,3.188B,3.755B,1.357B,147.00M,,,13.71B,15.32B,2.00M,1.869B,5.596B,,-35.00M,7.432B
2011-12,255.00M,,255.00M,473.00M,,69.00M,866.00M,,712.00M,20.00M,327.00M,2.295B,,1.088B,27.56B,-9.429B,18.13B,411.00M,7.00M,418.00M,357.00M,845.00M,21.35B,23.64B,693.00M,65.00M,758.00M,101.00M,859.00M,148.00M,179.00M,327.00M,327.00M,98.00M,98.00M,,501.00M,1.785B,428.00M,6.677B,6.677B,3.394B,3.841B,1.344B,149.00M,,,13.79B,15.58B,2.00M,2.369B,5.598B,,-50.00M,7.919B
2011-09,522.00M,0.00,522.00M,575.00M,,147.00M,1.014B,,734.00M,,316.00M,2.68B,,,,,17.87B,411.00M,6.00M,417.00M,330.00M,843.00M,20.68B,23.36B,410.00M,161.00M,571.00M,159.00M,730.00M,,528.00M,528.00M,528.00M,98.00M,98.00M,,492.00M,1.848B,439.00M,6.682B,6.682B,3.38B,3.849B,922.00M,155.00M,,,13.36B,15.20B,2.00M,2.44B,5.58B,,-25.00M,7.997B
2011-06,378.00M,0.00,378.00M,507.00M,,249.00M,1.124B,,654.00M,,288.00M,2.603B,,,,,17.94B,411.00M,4.00M,415.00M,356.00M,848.00M,20.79B,23.39B,482.00M,139.00M,621.00M,107.00M,728.00M,,342.00M,342.00M,342.00M,100.00M,100.00M,,557.00M,1.727B,487.00M,7.054B,7.054B,3.208B,3.689B,1.067B,155.00M,,,13.72B,15.45B,2.00M,2.248B,5.559B,,-21.00M,7.788B
2011-03,573.00M,0.00,573.00M,517.00M,,291.00M,1.118B,,572.00M,,315.00M,2.715B,,,,,17.89B,411.00M,7.00M,418.00M,353.00M,738.00M,20.61B,23.33B,401.00M,134.00M,535.00M,153.00M,688.00M,,489.00M,489.00M,489.00M,100.00M,100.00M,,560.00M,1.837B,482.00M,7.123B,7.123B,3.026B,3.579B,1.057B,155.00M,,,13.61B,15.45B,2.00M,2.203B,5.54B,,-20.00M,7.725B
2010-12,545.00M,0.00,545.00M,517.00M,,210.00M,1.133B,,707.00M,,376.00M,2.89B,26.15B,893.00M,27.05B,-9.194B,17.85B,411.00M,7.00M,418.00M,337.00M,750.00M,20.62B,23.51B,651.00M,63.00M,714.00M,107.00M,821.00M,,424.00M,424.00M,424.00M,100.00M,100.00M,,543.00M,1.888B,475.00M,7.313B,7.313B,2.972B,3.587B,1.045B,154.00M,,,13.74B,15.63B,2.00M,2.225B,5.52B,,-17.00M,7.73B
2010-06,506.00M,166.00M,672.00M,466.00M,,208.00M,1.088B,,676.00M,,394.00M,2.83B,,,,,17.75B,831.00M,113.00M,944.00M,289.00M,2.105B,21.08B,23.92B,465.00M,129.00M,594.00M,123.00M,717.00M,,,354.00M,354.00M,,,,689.00M,1.76B,,7.653B,7.653B,2.815B,3.359B,1.132B,209.00M,,1.811B,13.96B,15.72B,2.00M,2.526B,5.476B,,-13.00M,7.991B
2010-03,360.00M,233.00M,593.00M,500.00M,,319.00M,1.072B,,635.00M,,358.00M,2.658B,,,,,17.67B,831.00M,124.00M,955.00M,307.00M,2.097B,21.03B,23.69B,427.00M,94.00M,521.00M,165.00M,686.00M,,,204.00M,204.00M,,93.00M,93.00M,657.00M,1.64B,,7.743B,7.743B,2.696B,3.239B,1.181B,209.00M,,1.775B,13.94B,15.58B,2.00M,2.466B,5.437B,,-4.00M,7.901B
2009-12,622.00M,0.00,622.00M,424.00M,,318.00M,1.109B,,782.00M,,208.00M,2.842B,22.89B,1.922B,26.40B,-8.787B,17.61B,831.00M,129.00M,960.00M,293.00M,655.00M,20.86B,23.70B,694.00M,54.00M,748.00M,110.00M,858.00M,,224.00M,224.00M,224.00M,101.00M,101.00M,,528.00M,1.711B,429.00M,7.941B,7.941B,2.648B,3.139B,1.165B,204.00M,,,13.93B,15.64B,2.00M,2.455B,5.412B,,-13.00M,7.856B
2009-09,563.00M,239.00M,802.00M,416.00M,,182.00M,848.00M,,857.00M,,273.00M,2.78B,,,,,17.27B,831.00M,138.00M,969.00M,280.00M,2.293B,20.81B,23.59B,443.00M,135.00M,578.00M,183.00M,761.00M,,,563.00M,563.00M,,,,602.00M,1.926B,,7.321B,7.321B,2.524B,3.079B,1.477B,206.00M,,1.745B,13.62B,15.55B,2.00M,2.467B,5.392B,,-21.00M,7.84B
2009-06,251.00M,277.00M,528.00M,450.00M,,337.00M,1.152B,,733.00M,,251.00M,2.664B,,,,,17.01B,831.00M,150.00M,981.00M,249.00M,2.29B,20.53B,23.19B,523.00M,131.00M,654.00M,126.00M,780.00M,,,1.094B,1.094B,,,,671.00M,2.545B,,7.321B,7.321B,2.289B,2.759B,1.486B,207.00M,,1.725B,13.29B,15.84B,2.00M,2.323B,4.835B,,-13.00M,7.147B
2009-03,304.00M,324.00M,628.00M,554.00M,,318.00M,1.119B,,657.00M,,353.00M,2.757B,,,,,16.78B,831.00M,160.00M,991.00M,223.00M,2.319B,20.31B,23.07B,519.00M,83.00M,602.00M,167.00M,769.00M,,,1.377B,1.377B,,,,735.00M,2.881B,,6.90B,6.90B,2.256B,2.795B,1.514B,212.00M,,1.708B,12.92B,15.80B,2.00M,2.241B,4.812B,,6.00M,7.061B
2008-12,92.00M,0.00,92.00M,516.00M,315.00M,,1.258B,,842.00M,,209.00M,2.608B,23.13B,1.936B,25.07B,-8.499B,16.57B,831.00M,167.00M,998.00M,239.00M,2.259B,20.06B,22.67B,813.00M,54.00M,867.00M,107.00M,974.00M,,1.554B,1.554B,1.554B,,,,549.00M,3.077B,406.00M,6.554B,6.554B,2.231B,2.669B,1.495B,216.00M,,1.291B,12.42B,15.49B,2.00M,2.181B,4.78B,,0.00,6.963B
2008-09,206.00M,,206.00M,506.00M,,,768.00M,,956.00M,,617.00M,2.547B,,,24.39B,-8.415B,15.98B,,,998.00M,,1.957B,18.93B,21.48B,509.00M,,509.00M,733.00M,1.242B,,,1.676B,1.676B,,,,,2.918B,,6.143B,6.143B,2.174B,102.00M,,24.00M,195.00M,,6.44B,14.41B,2.00M,2.259B,4.731B,,51.00M,7.043B
2008-06,205.00M,,205.00M,529.00M,,,918.00M,,719.00M,,924.00M,2.766B,,,23.98B,-8.415B,15.57B,,,1.008B,,2.305B,18.88B,21.64B,527.00M,,527.00M,816.00M,1.343B,,,1.735B,1.735B,,,,,3.078B,,6.146B,6.146B,2.208B,104.00M,,24.00M,211.00M,,6.461B,14.80B,2.00M,2.188B,4.693B,,-66.00M,6.817B
2008-03,186.00M,,186.00M,656.00M,,,974.00M,,556.00M,,587.00M,2.303B,,,23.71B,-8.415B,15.29B,,,1.02B,,2.141B,18.46B,20.76B,443.00M,,443.00M,627.00M,1.07B,,,2.44B,2.44B,,,,,3.51B,,5.066B,5.066B,2.095B,106.00M,,23.00M,211.00M,,5.383B,13.98B,2.00M,2.115B,4.656B,,-19.00M,6.754B
2007-12,355.00M,,355.00M,570.00M,,,929.00M,,735.00M,,461.00M,2.48B,22.32B,1.165B,23.48B,-8.415B,15.07B,,,1.029B,,2.15B,18.25B,20.73B,687.00M,,687.00M,522.00M,1.209B,,,1.693B,1.693B,,,,,2.902B,,5.691B,5.691B,2.155B,109.00M,,22.00M,211.00M,,6.011B,13.95B,2.00M,2.11B,4.604B,,36.00M,6.752B
2007-09,170.00M,,170.00M,949.00M,,,1.212B,,757.00M,,202.00M,2.341B,,,22.46B,-7.727B,14.73B,,,1.028B,,2.307B,18.06B,20.40B,415.00M,,415.00M,684.00M,1.099B,,,1.405B,1.405B,,,,,2.504B,,5.486B,5.486B,2.166B,111.00M,,20.00M,211.00M,,5.808B,13.63B,2.00M,2.134B,4.579B,,41.00M,6.756B
2007-06,687.00M,,687.00M,784.00M,,,1.088B,,612.00M,,178.00M,2.565B,,,22.26B,-7.727B,14.54B,,,1.037B,,2.391B,17.97B,20.53B,455.00M,,455.00M,543.00M,998.00M,,,1.822B,1.822B,,,,,2.82B,,5.511B,5.511B,2.152B,113.00M,,19.00M,213.00M,,5.837B,13.89B,2.00M,2.023B,4.551B,,42.00M,6.618B
2007-03,161.00M,,161.00M,864.00M,,,1.08B,,489.00M,,130.00M,1.86B,,,22.08B,-7.727B,14.35B,,,1.041B,,2.372B,17.77B,19.63B,454.00M,,454.00M,539.00M,993.00M,,,1.256B,1.256B,,,,,2.249B,,5.26B,5.26B,2.116B,116.00M,,18.00M,213.00M,,5.589B,13.05B,2.00M,2.011B,4.521B,,23.00M,6.557B
2006-12,137.00M,,137.00M,578.00M,,,887.00M,,647.00M,,203.00M,1.874B,21.44B,572.00M,22.01B,-7.727B,14.29B,,,1.047B,,2.371B,17.70B,19.58B,671.00M,,671.00M,463.00M,1.134B,,,1.068B,1.068B,,,,,2.202B,,5.285B,5.285B,2.262B,118.00M,,16.00M,213.00M,,5.616B,12.98B,2.00M,2.024B,4.495B,,62.00M,6.583B
2006-09,34.00M,,34.00M,463.00M,,,730.00M,,710.00M,,263.00M,1.737B,,,21.26B,-7.228B,14.03B,,,1.204B,,1.861B,17.09B,18.83B,382.00M,,382.00M,682.00M,1.064B,,,776.00M,776.00M,,,,,1.84B,,5.349B,5.349B,2.134B,121.00M,,19.00M,213.00M,,5.683B,12.26B,2.00M,2.094B,4.478B,,-26.00M,6.548B
