,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.567B,1.567B,430.00M,1.137B,381.00M,21.00M,24.00M,,34.00M,-34.00M,,426.00M,711.00M,34.00M,-34.00M,4.00M,-34.00M,681.00M,147.00M,534.00M,,,-43.00M,491.00M,494.14M,715.00M,,2018-03,1.94,,1.952,1.94,,2018-03,1.93,,1.942,1.93,252.40M,254.40M,0.50,,2018-03,AOR,Restated
2017-12,1.588B,1.588B,432.00M,1.156B,483.00M,21.00M,25.00M,,39.00M,-39.00M,,529.00M,627.00M,39.00M,-39.00M,1.00M,-39.00M,589.00M,290.00M,299.00M,,,-37.00M,262.00M,262.00M,628.00M,,2017-12,1.03,,1.03,1.03,,2017-12,1.02,,1.02,1.02,254.20M,257.10M,0.41,,2017-12,AOR,Restated
2017-09,1.513B,1.513B,419.00M,1.094B,399.00M,22.00M,24.00M,,37.00M,-37.00M,,445.00M,649.00M,37.00M,-37.00M,9.00M,-37.00M,621.00M,169.00M,452.00M,,,-38.00M,414.00M,414.00M,658.00M,,2017-09,1.62,,1.62,1.62,,2017-09,1.61,,1.61,1.61,255.50M,257.90M,0.41,,2017-09,AOR,Restated
2017-06,1.509B,1.509B,432.00M,1.077B,364.00M,20.00M,25.00M,,37.00M,-37.00M,,409.00M,668.00M,37.00M,-37.00M,9.00M,-37.00M,640.00M,183.00M,457.00M,,,-36.00M,421.00M,421.00M,677.00M,,2017-06,1.63,,1.63,1.63,,2017-06,1.62,,1.62,1.62,257.30M,259.90M,0.41,,2017-06,AOR,Restated
2017-03,1.453B,1.453B,411.00M,1.042B,360.00M,19.00M,24.00M,,37.00M,-37.00M,,403.00M,639.00M,37.00M,-37.00M,9.00M,-37.00M,611.00M,181.00M,430.00M,,,-31.00M,399.00M,399.00M,648.00M,,2017-03,1.54,,1.54,1.54,,2017-03,1.53,,1.53,1.53,258.20M,260.80M,0.41,,2017-03,AOR,Restated
2016-12,1.399B,1.399B,421.00M,978.00M,481.00M,22.00M,25.00M,379.00M,59.00M,-59.00M,,528.00M,450.00M,59.00M,-59.00M,407.00M,-59.00M,798.00M,229.00M,569.00M,,,-32.00M,537.00M,266.76M,857.00M,,2016-12,2.07,,1.026,2.07,,2016-12,2.05,,1.017,2.05,258.90M,261.60M,0.36,,2016-12,AOR,Restated
2016-09,1.439B,1.439B,431.00M,1.008B,337.00M,22.00M,23.00M,722.00M,39.00M,-39.00M,,382.00M,626.00M,39.00M,-39.00M,722.00M,-39.00M,1.309B,386.00M,923.00M,,,-31.00M,892.00M,382.99M,1.348B,,2016-09,3.39,,1.454,3.39,,2016-09,3.36,,1.441,3.36,262.90M,265.30M,0.36,,2016-09,AOR,Restated
2016-06,1.482B,1.482B,469.00M,1.013B,317.00M,22.00M,23.00M,,42.00M,-42.00M,,362.00M,651.00M,42.00M,-42.00M,,-42.00M,609.00M,197.00M,412.00M,,,-29.00M,383.00M,383.00M,651.00M,,2016-06,1.45,,1.45,1.45,,2016-06,1.44,,1.44,1.44,264.50M,266.70M,0.36,,2016-06,AOR,Restated
2016-03,1.341B,1.341B,453.00M,888.00M,334.00M,18.00M,24.00M,,40.00M,-40.00M,,376.00M,512.00M,40.00M,-40.00M,,-40.00M,472.00M,149.00M,323.00M,,,-29.00M,294.00M,294.00M,512.00M,,2016-03,1.11,,1.11,1.11,,2016-03,1.10,,1.10,1.10,265.00M,267.20M,0.36,,2016-03,AOR,Restated
2015-12,1.375B,1.375B,477.00M,898.00M,421.00M,26.00M,27.00M,0.00,40.00M,-40.00M,,474.00M,424.00M,40.00M,-40.00M,0.00,-40.00M,384.00M,108.00M,276.00M,,,-29.00M,247.00M,247.00M,424.00M,,2015-12,0.92,0.00,0.92,0.92,,2015-12,0.91,,0.91,0.91,268.60M,272.20M,0.33,,2015-12,AOR,Restated
2015-09,1.324B,1.324B,419.00M,905.00M,458.00M,20.00M,17.00M,0.00,30.00M,-30.00M,,495.00M,410.00M,30.00M,-30.00M,0.00,-30.00M,380.00M,99.00M,281.00M,,,-29.00M,252.00M,252.00M,410.00M,,2015-09,0.93,,0.93,0.93,,2015-09,0.92,,0.92,0.92,271.30M,274.40M,0.33,,2015-09,AOR,Restated
2015-06,1.342B,1.342B,412.00M,930.00M,326.00M,22.00M,11.00M,,16.00M,-16.00M,-11.00M,348.00M,582.00M,16.00M,-16.00M,,-16.00M,566.00M,185.00M,381.00M,,,-28.00M,353.00M,353.00M,582.00M,,2015-06,1.29,,1.29,1.29,,2015-06,1.28,,1.28,1.28,273.10M,275.70M,0.33,,2015-06,AOR,Restated
2015-03,1.273B,1.273B,410.00M,863.00M,329.00M,22.00M,11.00M,,16.00M,-16.00M,,362.00M,501.00M,16.00M,-16.00M,,-16.00M,485.00M,156.00M,329.00M,,,-26.00M,303.00M,303.00M,501.00M,,2015-03,1.11,,1.11,1.11,,2015-03,1.10,,1.10,1.10,273.50M,276.30M,0.33,,2015-03,AOR,Restated
2014-12,1.29B,1.29B,446.00M,844.00M,1.958B,22.00M,12.00M,,19.00M,-19.00M,,1.983B,-1.139B,19.00M,-19.00M,,-19.00M,-1.167B,-183.00M,-984.00M,163.00M,,-25.00M,-846.00M,-1.009B,-1.148B,,2014-12,-3.71,0.60,-3.71,-3.11,,2014-12,-3.71,,-3.71,-3.11,271.80M,271.80M,0.30,,2014-12,AOR,Restated
2014-09,1.263B,1.263B,402.00M,861.00M,462.00M,21.00M,12.00M,,12.00M,-12.00M,,495.00M,366.00M,12.00M,-12.00M,,-12.00M,354.00M,139.00M,215.00M,2.00M,,-27.00M,190.00M,188.00M,366.00M,,2014-09,0.69,0.01,0.69,0.70,,2014-09,0.68,,0.68,0.69,270.90M,275.40M,0.30,,2014-09,AOR,Restated
2014-06,1.302B,1.302B,407.00M,895.00M,376.00M,22.00M,12.00M,,14.00M,-14.00M,9.00M,419.00M,476.00M,14.00M,-14.00M,,-14.00M,462.00M,152.00M,310.00M,6.00M,,-24.00M,292.00M,286.00M,476.00M,,2014-06,1.05,0.02,1.05,1.08,,2014-06,1.04,,1.04,1.06,271.50M,276.10M,0.30,,2014-06,AOR,Restated
2014-03,1.196B,1.196B,396.00M,800.00M,347.00M,21.00M,12.00M,,14.00M,-14.00M,,380.00M,420.00M,14.00M,-14.00M,,-14.00M,406.00M,138.00M,268.00M,7.00M,,-27.00M,248.00M,241.00M,420.00M,,2014-03,0.89,0.02,0.89,0.91,,2014-03,0.87,,0.87,0.89,271.80M,277.20M,0.30,,2014-03,AOR,Restated
2013-12,1.206B,1.206B,450.00M,756.00M,415.00M,21.00M,13.00M,,14.00M,-14.00M,36.00M,485.00M,271.00M,14.00M,-14.00M,,-14.00M,257.00M,74.00M,183.00M,6.00M,,-17.00M,172.00M,166.00M,271.00M,,2013-12,0.64,-0.01,0.64,0.63,,2013-12,0.62,,0.62,0.62,270.60M,278.00M,0.28,,2013-12,AOR,Restated
2013-09,1.152B,1.152B,371.00M,781.00M,377.00M,20.00M,13.00M,,14.00M,-14.00M,-24.00M,386.00M,395.00M,14.00M,-14.00M,,-14.00M,381.00M,123.00M,258.00M,-13.00M,,-30.00M,215.00M,228.00M,395.00M,,2013-09,0.83,-0.05,0.83,0.79,,2013-09,0.82,,0.82,0.77,272.80M,278.80M,0.28,,2013-09,AOR,Restated
2013-06,1.25B,1.25B,395.00M,855.00M,384.00M,22.00M,13.00M,,16.00M,-16.00M,,419.00M,436.00M,16.00M,-16.00M,,-16.00M,420.00M,147.00M,273.00M,4.00M,,-23.00M,254.00M,250.00M,436.00M,,2013-06,0.91,0.01,0.91,0.93,,2013-06,0.90,,0.90,0.91,274.30M,278.30M,0.28,,2013-06,AOR,Restated
2013-03,1.181B,1.181B,374.00M,807.00M,494.00M,23.00M,12.00M,,15.00M,-15.00M,,529.00M,278.00M,15.00M,-15.00M,,-15.00M,263.00M,89.00M,174.00M,581.00M,,-20.00M,735.00M,154.00M,278.00M,,2013-03,0.55,2.07,0.55,2.62,,2013-03,0.54,,0.54,2.59,280.50M,284.30M,0.28,,2013-03,AOR,Restated
2012-12,1.046B,1.046B,353.00M,693.00M,403.00M,24.00M,13.00M,,18.00M,-18.00M,,388.00M,305.00M,18.00M,-18.00M,,-18.00M,287.00M,101.00M,186.00M,-378.00M,,-24.00M,-216.00M,162.00M,305.00M,,2012-12,0.68,-1.46,0.68,-0.78,,2012-12,0.67,,0.67,-0.78,278.00M,284.60M,0.255,,2012-12,AOR,Restated
2012-09,1.116B,1.116B,367.00M,749.00M,435.00M,24.00M,15.00M,,21.00M,-21.00M,,474.00M,275.00M,21.00M,-21.00M,,-21.00M,254.00M,82.00M,172.00M,165.00M,,-23.00M,314.00M,149.00M,275.00M,,2012-09,0.54,0.58,0.54,1.13,,2012-09,0.53,,0.53,1.10,278.70M,284.60M,0.255,,2012-09,AOR,Restated
2012-06,1.072B,1.072B,351.00M,721.00M,379.00M,23.00M,11.00M,,21.00M,-21.00M,,413.00M,308.00M,21.00M,-21.00M,,-21.00M,287.00M,107.00M,180.00M,40.00M,,-4.00M,216.00M,176.00M,308.00M,,2012-06,0.63,0.14,0.63,0.77,,2012-06,0.62,,0.62,0.76,279.70M,285.30M,0.255,,2012-06,AOR,Restated
2012-03,1.035B,1.035B,361.00M,674.00M,361.00M,22.00M,9.00M,,21.00M,-21.00M,,392.00M,282.00M,21.00M,-21.00M,,-21.00M,261.00M,98.00M,163.00M,-36.00M,,-4.00M,123.00M,159.00M,282.00M,,2012-03,0.57,-0.13,0.57,0.44,,2012-03,0.56,,0.56,0.43,278.00M,283.80M,0.255,,2012-03,AOR,Restated
2011-12,-772.00M,-772.00M,-420.00M,-352.00M,-258.00M,19.00M,-10.00M,,20.00M,-20.00M,0.00,-249.00M,-103.00M,20.00M,-20.00M,,-20.00M,-123.00M,-34.00M,-89.00M,310.00M,,-6.00M,215.00M,-95.00M,-103.00M,,2011-12,-0.2797,1.027,-0.2797,0.74,,2011-12,-0.2797,,-0.2797,0.73,285.80M,292.20M,0.25,,2011-12,AOR,Restated
2011-09,1.908B,1.908B,711.00M,1.197B,552.00M,23.00M,15.00M,,18.00M,-18.00M,,590.00M,607.00M,18.00M,-18.00M,,-18.00M,589.00M,214.00M,375.00M,-1.00M,,-8.00M,366.00M,367.00M,607.00M,,2011-09,1.232,-0.0034,1.232,1.23,,2011-09,1.209,,1.209,1.21,297.80M,303.60M,0.25,,2011-09,AOR,Restated
2011-06,1.557B,1.557B,593.00M,964.00M,580.00M,25.00M,14.00M,,,-20.00M,,619.00M,345.00M,,-20.00M,,-20.00M,338.00M,122.00M,216.00M,0.00,,-5.00M,211.00M,211.00M,345.00M,,2011-06,0.70,0.00,0.70,0.70,,2011-06,0.68,,0.68,0.68,303.60M,309.20M,0.25,,2011-06,AOR,Restated
2011-03,1.261B,1.261B,503.00M,758.00M,503.00M,25.00M,14.00M,,,-19.00M,,542.00M,216.00M,,-19.00M,,-19.00M,197.00M,72.00M,125.00M,-1.00M,,-4.00M,120.00M,121.00M,216.00M,,2011-03,0.40,-0.01,0.40,0.39,,2011-03,0.39,,0.39,0.39,305.20M,309.60M,0.25,,2011-03,AOR,Restated
2010-12,-937.60M,-937.60M,-514.30M,-423.30M,-301.50M,2.80M,-9.30M,,,-20.80M,,-315.00M,-108.30M,,-20.80M,,-20.80M,-140.20M,-49.20M,-91.00M,251.10M,,-6.30M,153.80M,-97.30M,-108.30M,,2010-12,-0.29,0.80,-0.29,0.51,,2010-12,-0.29,,-0.29,0.50,305.80M,310.10M,0.235,,2010-12,AOR,Restated
2010-09,1.956B,1.956B,708.00M,1.248B,597.60M,23.30M,8.40M,,,-19.30M,,629.30M,618.90M,,-19.30M,,-19.30M,610.70M,221.70M,389.00M,0.70M,,-9.80M,379.90M,379.20M,618.90M,,2010-09,1.23,0.01,1.23,1.24,,2010-09,1.23,,1.23,1.23,307.20M,309.30M,0.235,,2010-09,AOR,
2010-06,1.474B,1.474B,560.90M,913.20M,547.70M,26.20M,13.00M,,,-20.90M,,586.90M,326.30M,,-20.90M,,-20.90M,305.40M,111.20M,194.20M,,,-3.10M,191.10M,191.10M,326.30M,,2010-06,0.61,0.00,0.61,0.61,,2010-06,0.61,,0.61,0.61,311.20M,313.20M,0.235,,2010-06,AOR,Restated
2010-03,1.190B,1.190B,476.20M,714.20M,488.00M,25.90M,10.00M,,22.10M,-22.10M,,523.90M,190.30M,22.10M,-22.10M,,-22.10M,168.20M,61.20M,107.00M,,,-3.70M,103.30M,103.30M,190.30M,,2010-03,0.33,0.00,0.33,0.33,,2010-03,0.33,,0.33,0.33,313.40M,316.30M,0.235,,2010-03,AOR,Restated
2009-12,1.462B,1.462B,578.68M,883.81M,556.85M,28.54M,16.01M,,19.95M,-19.95M,,604.71M,279.10M,19.95M,-19.95M,,-19.95M,273.00M,99.37M,173.63M,,,-6.335M,167.29M,167.29M,292.95M,,2009-12,0.54,0.00,0.54,0.54,,2009-12,0.53,,0.53,0.53,312.69M,314.48M,0.225,,2009-12,AOR,Restated
2009-09,1.876B,1.876B,735.88M,1.140B,546.96M,26.03M,11.07M,0.00,17.83M,-17.83M,,584.06M,555.96M,17.83M,-17.83M,0.00,-17.83M,538.14M,195.88M,342.26M,,,-6.145M,336.11M,336.11M,555.96M,,2009-09,1.08,0.00,1.08,1.08,,2009-09,1.07,,1.07,1.07,312.47M,313.64M,0.225,,2009-09,AOR,Restated
2009-06,1.465B,1.465B,582.50M,882.68M,546.13M,28.78M,11.44M,-13.85M,18.50M,-18.50M,,586.35M,296.33M,18.50M,-18.50M,-13.85M,-18.50M,263.98M,96.09M,167.89M,,,-3.798M,164.09M,172.90M,282.48M,,2009-06,0.53,0.00,0.5582,0.53,,2009-06,0.52,,0.5481,0.52,312.23M,313.03M,0.225,,2009-06,AOR,Restated
2009-03,1.148B,1.148B,488.94M,659.27M,491.31M,29.41M,14.20M,,20.59M,-20.59M,,534.93M,124.34M,20.59M,-20.59M,,-20.59M,103.75M,37.76M,65.98M,,,-2.981M,63.00M,63.00M,124.34M,,2009-03,0.20,0.00,0.20,0.20,,2009-03,0.20,,0.20,0.20,312.02M,312.02M,0.225,,2009-03,AOR,Restated
2008-12,1.415B,1.415B,624.57M,790.85M,540.46M,31.96M,17.52M,,,,,589.94M,200.91M,,,,,185.47M,69.55M,115.92M,,,,115.92M,115.92M,200.91M,,2008-12,0.37,0.00,0.37,0.37,,2008-12,0.37,,0.37,0.37,311.33M,312.95M,0.22,,2008-12,AOR,
2008-09,2.049B,2.049B,747.79M,1.301B,610.90M,29.95M,13.64M,,,,,654.49M,646.27M,,,,,624.26M,234.10M,390.17M,,,,390.17M,390.17M,646.27M,,2008-09,1.25,0.00,1.25,1.25,,2008-09,1.23,,1.23,1.23,313.10M,317.20M,0.22,,2008-09,,
2008-06,1.673B,1.673B,639.27M,1.034B,630.38M,30.41M,13.14M,,,,,673.93M,360.02M,,,,,339.67M,127.38M,212.29M,,,,212.29M,212.29M,360.02M,,2008-06,0.67,0.00,0.67,0.67,,2008-06,0.66,,0.66,0.66,317.75M,321.09M,0.22,,2008-06,,
2008-03,1.218B,1.218B,508.31M,709.56M,516.77M,27.53M,14.20M,,17.83M,-17.83M,,558.50M,151.06M,17.83M,-17.83M,,-17.83M,133.23M,48.67M,84.56M,,,-3.453M,81.11M,81.11M,151.06M,,2008-03,0.25,0.00,0.25,0.25,,2008-03,0.25,,0.25,0.25,319.94M,323.40M,0.22,,2008-03,,Restated
2007-12,1.570B,1.570B,621.53M,948.16M,669.01M,28.68M,13.61M,0.00,,,0.00,711.31M,236.86M,,,0.00,,225.00M,84.38M,140.62M,,,,140.62M,140.62M,236.86M,,2007-12,0.44,0.00,0.44,0.44,,2007-12,0.44,,0.44,0.44,323.96M,330.37M,0.205,,2007-12,,
2007-09,2.188B,2.188B,766.89M,1.421B,644.54M,26.20M,11.71M,,,,,682.45M,738.65M,,,,,723.23M,271.21M,452.02M,,,,452.02M,452.02M,738.65M,,2007-09,1.37,0.00,1.37,1.37,,2007-09,1.34,,1.34,1.34,330.25M,337.73M,0.205,,2007-09,,
2007-06,1.718B,1.718B,634.80M,1.083B,587.69M,28.80M,11.47M,,,,,627.95M,455.42M,,,,,443.33M,166.25M,277.08M,,,,277.08M,277.08M,455.42M,,2007-06,0.81,0.00,0.81,0.81,,2007-06,0.79,,0.79,0.79,340.18M,350.30M,0.205,,2007-06,,
2007-03,1.296B,1.296B,504.38M,792.04M,536.64M,28.90M,11.61M,17.30M,,,-17.30M,559.86M,232.18M,,,17.30M,,230.98M,87.14M,143.84M,,,,143.84M,133.06M,232.18M,,2007-03,0.41,0.00,0.3793,0.41,,2007-03,0.40,,0.3702,0.40,351.22M,361.50M,0.205,,2007-03,,
2006-12,1.594B,1.594B,607.03M,987.32M,618.50M,30.45M,12.22M,,,,,661.17M,326.15M,,,,,326.08M,121.30M,204.78M,,,,204.78M,204.78M,326.15M,,2006-12,0.58,0.00,0.58,0.58,,2006-12,0.56,,0.56,0.56,352.76M,363.95M,0.1815,,2006-12,,
2006-09,1.993B,1.993B,712.26M,1.280B,625.08M,26.87M,12.14M,,,,,664.08M,616.23M,,,,,608.71M,226.44M,382.27M,,,,382.27M,382.27M,616.23M,,2006-09,1.09,0.00,1.09,1.09,,2006-09,1.06,,1.06,1.06,351.14M,360.94M,0.1815,,2006-09,,
2006-06,1.528B,1.528B,586.48M,941.07M,540.24M,28.32M,12.11M,,,,,580.66M,360.40M,,,,,351.85M,130.89M,220.96M,,,,220.96M,220.96M,360.40M,,2006-06,0.62,0.00,0.62,0.62,,2006-06,0.60,,0.60,0.60,355.78M,365.51M,0.1815,,2006-06,,
2006-03,1.141B,1.141B,481.48M,659.19M,504.03M,27.56M,11.93M,,,,,543.52M,115.67M,,,,,118.18M,43.96M,74.22M,,,,74.22M,74.22M,115.67M,,2006-03,0.20,0.00,0.20,0.20,,2006-03,0.20,,0.20,0.20,367.46M,377.33M,0.1815,,2006-03,,
2005-12,1.541B,1.541B,588.74M,952.57M,590.52M,29.61M,11.36M,-5.522M,,,5.522M,637.01M,315.56M,,,-5.522M,,317.38M,128.07M,189.31M,,,,189.31M,192.63M,315.56M,,2005-12,0.50,0.00,0.5088,0.50,,2005-12,0.50,,0.5087,0.50,375.03M,380.31M,0.165,,2005-12,,
2005-09,1.977B,1.977B,721.97M,1.255B,613.14M,26.30M,12.44M,6.758M,,,-6.758M,645.12M,609.96M,,,6.758M,,607.15M,225.86M,381.29M,,,,381.29M,377.04M,609.96M,,2005-09,1.02,0.00,1.009,1.02,,2005-09,1.00,,0.9889,1.00,373.55M,381.16M,0.165,,2005-09,,
2005-06,1.456B,1.456B,574.44M,881.84M,529.72M,26.13M,12.01M,,,,,567.86M,313.97M,,,,,310.46M,115.49M,194.97M,,,,194.97M,194.97M,313.97M,,2005-06,0.52,0.00,0.52,0.52,,2005-06,0.51,,0.51,0.51,373.53M,380.05M,0.165,,2005-06,,
2005-03,1.029B,1.029B,430.73M,598.28M,439.47M,24.70M,8.429M,,,,,472.60M,125.67M,,,,,124.98M,46.24M,78.74M,,,,78.74M,78.74M,125.67M,,2005-03,0.21,0.00,0.21,0.21,,2005-03,0.205,,0.205,0.205,378.83M,386.60M,0.165,,2005-03,,
2004-12,1.362B,1.362B,516.68M,845.15M,509.02M,24.80M,9.658M,,,,,543.48M,301.67M,,,,,301.65M,111.61M,190.04M,0.00,,,190.04M,190.04M,301.67M,,2004-12,0.50,0.00,0.50,0.50,,2004-12,0.49,,0.49,0.49,379.88M,385.93M,0.15,,2004-12,,
2004-09,1.723B,1.723B,649.16M,1.074B,525.44M,22.19M,9.173M,,,,,556.80M,516.92M,,,,,515.05M,190.57M,324.48M,,,,324.48M,324.48M,516.92M,,2004-09,0.86,0.00,0.86,0.86,,2004-09,0.85,,0.85,0.85,378.76M,384.11M,0.15,,2004-09,,
2004-06,1.246B,1.246B,494.44M,751.52M,456.70M,22.99M,6.774M,,,,,486.46M,265.06M,,,,,262.90M,97.27M,165.63M,,,,165.63M,165.63M,265.06M,,2004-06,0.44,0.00,0.44,0.44,,2004-06,0.43,,0.43,0.43,379.18M,385.21M,0.15,,2004-06,,
2004-03,919.87M,919.87M,386.36M,533.51M,413.40M,22.20M,6.865M,,,,,442.46M,91.05M,,,,,89.31M,13.04M,76.27M,-0.587M,,,75.68M,76.27M,91.05M,,2004-03,0.20,0.00,0.20,0.20,,2004-03,0.195,,0.195,0.195,381.16M,386.98M,0.15,,2004-03,,
2003-12,1.285B,1.285B,555.89M,728.93M,454.02M,22.05M,7.619M,135.63M,,,-135.63M,348.07M,380.86M,,,135.63M,,381.14M,165.29M,215.85M,-55.93M,,,159.92M,134.48M,380.86M,,2003-12,0.57,-0.145,0.3541,0.425,,2003-12,0.56,,0.3491,0.415,376.99M,385.92M,0.135,,2003-12,,
2003-09,1.603B,1.603B,630.79M,971.88M,486.80M,19.50M,8.434M,4.085M,,,-4.085M,510.64M,461.23M,,,4.085M,,459.21M,169.91M,289.30M,0.997M,,,290.30M,286.73M,461.23M,,2003-09,0.76,0.00,0.7532,0.76,,2003-09,0.755,,0.7483,0.755,381.05M,384.11M,0.135,,2003-09,,
2003-06,1.172B,1.172B,477.18M,694.84M,440.52M,20.62M,8.459M,4.085M,,,-2.879M,466.71M,228.12M,,,4.085M,,229.33M,83.86M,142.80M,-0.76M,,,142.04M,140.20M,228.12M,,2003-06,0.375,0.00,0.3682,0.375,,2003-06,0.375,,0.3682,0.37,379.66M,382.55M,0.135,,2003-06,,
2003-03,830.81M,830.81M,354.59M,476.22M,385.21M,20.66M,8.459M,4.054M,,,-4.054M,410.27M,65.95M,,,4.054M,,63.27M,23.41M,39.86M,55.53M,,,95.40M,37.31M,65.95M,,2003-03,0.105,0.145,0.0983,0.25,,2003-03,0.105,,0.0983,0.25,381.87M,383.96M,0.135,,2003-03,,
