,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,3.37B,3.37B,683.00M,2.687B,2.092B,-97.00M,33.00M,16.00M,-17.00M,,2.092B,595.00M,16.00M,33.00M,-17.00M,-98.00M,-17.00M,480.00M,106.00M,374.00M,,,-2.00M,,372.00M,133.00M,513.00M,,2018-03,1.01,1.215,1.01,,2018-03,0.99,1.191,0.99,,375.70M,0.38,,2018-03,AOR,Restated
2017-12,3.744B,3.744B,753.00M,2.991B,2.214B,-67.00M,32.00M,12.00M,-20.00M,,2.214B,777.00M,12.00M,32.00M,-20.00M,-67.00M,-20.00M,690.00M,565.00M,125.00M,,,-2.00M,,123.00M,129.00M,722.00M,,2017-12,0.33,0.4390,0.33,,2017-12,0.33,0.4369,0.33,,376.10M,0.38,,2017-12,AOR,Restated
2017-09,3.274B,3.274B,711.00M,2.563B,1.96B,-34.00M,31.00M,12.00M,-19.00M,,1.96B,603.00M,12.00M,31.00M,-19.00M,-35.00M,-19.00M,549.00M,119.00M,430.00M,,,-3.00M,,427.00M,127.00M,580.00M,,2017-09,1.16,1.232,1.16,,2017-09,1.14,1.211,1.14,,375.40M,0.34,,2017-09,AOR,Restated
2017-06,2.894B,2.894B,610.00M,2.284B,1.938B,-104.00M,32.00M,9.00M,-23.00M,,1.938B,346.00M,9.00M,32.00M,-23.00M,-116.00M,-23.00M,207.00M,-23.00M,230.00M,,,-1.00M,,229.00M,127.00M,239.00M,,2017-06,0.62,0.7896,0.62,,2017-06,0.61,0.7769,0.61,,373.90M,0.34,,2017-06,AOR,Restated
2017-03,2.857B,2.857B,591.00M,2.266B,1.78B,-59.00M,28.00M,8.00M,-20.00M,,1.78B,486.00M,8.00M,28.00M,-20.00M,-59.00M,-20.00M,407.00M,107.00M,300.00M,,,-2.00M,,298.00M,119.00M,435.00M,,2017-03,0.81,0.9285,0.81,,2017-03,0.80,0.9168,0.80,,372.30M,0.34,,2017-03,AOR,Restated
2016-12,3.208B,3.208B,637.00M,2.571B,1.917B,-37.00M,22.00M,5.00M,-17.00M,,1.917B,654.00M,5.00M,22.00M,-17.00M,-37.00M,-17.00M,600.00M,170.00M,430.00M,,,-2.00M,,428.00M,112.00M,622.00M,,2016-12,1.17,1.242,1.17,,2016-12,1.15,1.221,1.15,,372.60M,0.34,,2016-12,AOR,Restated
2016-09,2.865B,2.865B,596.00M,2.269B,1.825B,-26.00M,21.00M,6.00M,-15.00M,,1.825B,444.00M,6.00M,21.00M,-15.00M,-26.00M,-15.00M,403.00M,107.00M,296.00M,,,-2.00M,,294.00M,106.00M,424.00M,,2016-09,0.80,0.8521,0.80,,2016-09,0.79,0.8411,0.79,,373.30M,0.30,,2016-09,AOR,Restated
2016-06,2.646B,2.646B,511.00M,2.135B,1.893B,-99.00M,19.00M,6.00M,-13.00M,,1.893B,242.00M,6.00M,19.00M,-13.00M,-99.00M,-13.00M,130.00M,35.00M,95.00M,,,-1.00M,,94.00M,110.00M,149.00M,,2016-06,0.25,0.4462,0.25,,2016-06,0.25,0.4426,0.25,,375.70M,0.30,,2016-06,AOR,Restated
2016-03,2.657B,2.657B,504.00M,2.153B,1.754B,-15.00M,18.00M,4.00M,-14.00M,,1.754B,399.00M,4.00M,18.00M,-14.00M,-15.00M,-14.00M,370.00M,104.00M,266.00M,,,-1.00M,,265.00M,103.00M,388.00M,,2016-03,0.72,0.7493,0.72,,2016-03,0.71,0.7388,0.71,,375.60M,0.30,,2016-03,AOR,Restated
2015-12,3.124B,3.124B,589.00M,2.535B,1.886B,-19.00M,17.00M,3.00M,-14.00M,,1.886B,649.00M,3.00M,17.00M,-14.00M,-19.00M,-14.00M,616.00M,167.00M,449.00M,,,-2.00M,,447.00M,104.00M,633.00M,,2015-12,1.21,1.247,1.21,,2015-12,1.19,1.227,1.19,,376.00M,0.30,,2015-12,AOR,Restated
2015-09,2.835B,2.835B,577.00M,2.258B,1.805B,0.00,17.00M,3.00M,-14.00M,,1.805B,453.00M,3.00M,17.00M,-14.00M,,-14.00M,439.00M,128.00M,311.00M,,,-2.00M,,309.00M,98.00M,456.00M,,2015-09,0.83,0.83,0.83,,2015-09,0.82,0.82,0.82,,379.00M,0.24,,2015-09,AOR,Restated
2015-06,2.524B,2.524B,487.40M,2.037B,1.809B,0.00,15.00M,6.50M,-8.50M,,1.809B,228.00M,6.50M,15.00M,-8.50M,,-8.50M,219.50M,65.10M,154.40M,,,-1.30M,,153.10M,110.40M,234.50M,,2015-06,0.41,0.41,0.41,,2015-06,0.40,0.40,0.40,,383.90M,0.24,,2015-06,AOR,Restated
2015-03,2.580B,2.580B,502.90M,2.078B,1.680B,0.00,15.20M,3.10M,-12.10M,,1.680B,397.20M,3.10M,15.20M,-12.10M,,-12.10M,385.10M,112.40M,272.70M,,,-0.60M,,272.10M,100.00M,400.30M,,2015-03,0.72,0.72,0.72,,2015-03,0.71,0.71,0.71,,384.70M,0.24,,2015-03,AOR,Restated
2014-12,3.044B,3.044B,573.10M,2.471B,1.839B,0.00,15.00M,3.80M,-11.20M,,1.839B,632.80M,3.80M,15.00M,-11.20M,,-11.20M,621.60M,183.90M,437.70M,,,-2.00M,,435.70M,98.00M,636.60M,,2014-12,1.15,1.15,1.15,,2014-12,1.13,1.13,1.13,,386.10M,0.24,,2014-12,AOR,Restated
2014-09,2.631B,2.631B,536.60M,2.094B,1.746B,,14.80M,1.60M,-13.20M,,1.746B,348.00M,1.60M,14.80M,-13.20M,,-13.20M,334.80M,105.60M,229.20M,,,-1.10M,,228.10M,100.60M,349.60M,,2014-09,0.60,0.60,0.60,,2014-09,0.59,0.59,0.59,,388.20M,0.20,,2014-09,AOR,Restated
2014-06,2.725B,2.725B,533.80M,2.192B,1.812B,0.70M,15.20M,2.60M,-12.60M,,1.812B,379.50M,2.60M,15.20M,-12.60M,0.70M,-12.60M,367.60M,109.20M,258.40M,,,-0.70M,,257.70M,104.60M,382.80M,,2014-06,0.67,0.6687,0.67,,2014-06,0.66,0.6587,0.66,,390.10M,0.20,,2014-06,AOR,Restated
2014-03,2.550B,2.550B,498.70M,2.051B,1.710B,0.00,15.00M,2.70M,-12.30M,,1.710B,341.60M,2.70M,15.00M,-12.30M,,-12.30M,329.30M,115.60M,213.70M,,,-0.50M,,213.20M,95.60M,344.30M,,2014-03,0.55,0.55,0.55,,2014-03,0.54,0.54,0.54,,392.10M,0.20,,2014-03,AOR,Restated
2013-12,3.019B,3.019B,581.60M,2.437B,1.784B,3.40M,14.60M,2.20M,-12.40M,,1.784B,652.90M,2.20M,14.60M,-12.40M,3.40M,-12.40M,643.90M,208.70M,435.20M,,,-2.70M,,432.50M,95.50M,658.50M,,2013-12,1.11,1.104,1.11,,2013-12,1.09,1.084,1.09,,395.40M,0.20,,2013-12,AOR,Restated
2013-09,2.675B,2.675B,544.10M,2.131B,1.680B,-1.20M,13.50M,,-13.50M,,1.680B,450.70M,,13.50M,-13.50M,-1.20M,-13.50M,436.00M,134.20M,301.80M,,,-1.10M,,300.70M,88.90M,449.50M,,2013-09,0.78,0.7821,0.78,,2013-09,0.76,0.7621,0.76,,394.90M,0.18,,2013-09,AOR,Restated
2013-06,2.407B,2.407B,475.60M,1.932B,1.765B,-20.80M,21.30M,,-13.00M,,1.765B,166.60M,,21.30M,-13.00M,-20.80M,-13.00M,132.80M,36.90M,95.90M,,,-1.90M,,94.00M,89.70M,154.10M,,2013-06,0.24,0.2787,0.24,,2013-06,0.24,0.2780,0.24,,395.50M,0.18,,2013-06,AOR,Restated
2013-03,2.292B,2.292B,443.10M,1.849B,1.605B,1.70M,12.60M,,-12.60M,,1.605B,243.40M,,12.60M,-12.60M,1.70M,-12.60M,232.50M,53.60M,178.90M,,,-0.10M,,178.80M,90.40M,245.10M,,2013-03,0.46,0.4566,0.46,,2013-03,0.45,0.4467,0.45,,394.00M,0.18,,2013-03,AOR,Restated
2012-12,2.933B,2.933B,568.00M,2.365B,1.699B,-13.30M,13.40M,,-13.40M,,1.699B,666.40M,,13.40M,-13.40M,8.00M,-13.40M,661.00M,211.60M,449.40M,,,-1.90M,,447.50M,79.30M,674.40M,,2012-12,1.16,1.183,1.16,,2012-12,1.13,1.153,1.13,,394.70M,0.72,,2012-12,AOR,Restated
2012-09,2.550B,2.550B,539.20M,2.010B,1.528B,-19.50M,15.80M,,-15.80M,,1.528B,482.40M,,15.80M,-15.80M,-17.70M,-15.80M,448.90M,149.30M,299.60M,,,-0.10M,,299.50M,77.50M,464.70M,,2012-09,0.77,0.8035,0.77,,2012-09,0.76,0.7929,0.76,,395.50M,0.00,,2012-09,AOR,Restated
2012-06,2.251B,2.251B,441.20M,1.81B,1.701B,-35.40M,14.00M,,-14.00M,,1.701B,108.60M,,14.00M,-14.00M,-35.40M,-14.00M,59.20M,7.00M,52.20M,,,-1.00M,,51.20M,80.40M,73.20M,,2012-06,0.13,0.2102,0.13,,2012-06,0.13,0.2086,0.13,,397.00M,0.00,,2012-06,AOR,Restated
2012-03,2.248B,2.248B,469.30M,1.779B,1.539B,-28.40M,14.50M,,-14.50M,,1.539B,239.90M,,14.50M,-14.50M,-28.40M,-14.50M,197.00M,65.70M,131.30M,,,-0.90M,,130.40M,74.40M,211.50M,,2012-03,0.34,0.3887,0.34,,2012-03,0.33,0.3777,0.33,,396.30M,0.00,,2012-03,AOR,Restated
2011-12,2.738B,2.738B,551.00M,2.186B,1.577B,-12.80M,16.60M,,-16.60M,,1.577B,609.80M,,16.60M,-16.60M,-2.30M,-16.60M,590.90M,192.50M,398.40M,,,-1.70M,,396.70M,71.40M,607.50M,,2011-12,1.03,1.052,1.03,,2011-12,1.00,1.022,1.00,,395.20M,0.525,,2011-12,AOR,Restated
2011-09,2.477B,2.477B,534.30M,1.942B,1.508B,-4.70M,16.00M,,-16.00M,,1.508B,434.70M,,16.00M,-16.00M,-4.70M,-16.00M,414.00M,135.40M,278.60M,,,0.00,,278.60M,69.60M,430.00M,,2011-09,0.71,0.7181,0.71,,2011-09,0.70,0.7079,0.70,,399.30M,0.00,,2011-09,AOR,Restated
2011-06,2.061B,2.061B,425.10M,1.636B,1.560B,-11.10M,15.90M,,-15.90M,,1.560B,75.70M,,15.90M,-15.90M,-11.10M,-15.90M,48.70M,5.50M,43.20M,,,-2.10M,,41.10M,81.80M,64.60M,,2011-06,0.11,0.1350,0.11,,2011-06,0.10,0.1244,0.10,,403.00M,0.00,,2011-06,AOR,Restated
2011-03,2.166B,2.166B,482.60M,1.683B,1.416B,-58.10M,15.80M,,-15.80M,,1.416B,267.20M,,15.80M,-15.80M,-58.10M,-15.80M,193.30M,68.20M,125.10M,,,-0.40M,,124.70M,77.30M,209.10M,,2011-03,0.32,0.4151,0.32,,2011-03,0.31,0.4030,0.31,,404.10M,0.00,,2011-03,AOR,Restated
2010-12,2.492B,2.492B,541.10M,1.951B,1.419B,-14.00M,,,-16.10M,,1.419B,531.70M,,,-16.10M,-14.00M,-16.10M,501.60M,155.70M,345.90M,,,-2.00M,,343.90M,66.50M,531.70M,,2010-12,0.87,0.8945,0.87,,2010-12,0.86,0.8840,0.86,,401.80M,0.375,,2010-12,AOR,Restated
2010-09,2.092B,2.092B,488.10M,1.604B,1.302B,-3.80M,,,16.10M,,1.302B,301.80M,,,16.10M,-3.80M,16.10M,281.90M,92.30M,189.60M,,,1.50M,,191.10M,68.80M,301.80M,,2010-09,0.485,0.4915,0.485,,2010-09,0.475,0.4814,0.475,,400.80M,0.00,,2010-09,AOR,Restated
2010-06,1.840B,1.840B,414.30M,1.426B,1.358B,-52.90M,,,-159.30M,-29.00M,1.329B,96.50M,,,-159.30M,-52.90M,-159.30M,-0.30M,-25.30M,25.00M,,,-1.10M,,23.90M,66.90M,3.60M,,2010-06,0.06,0.1466,0.06,,2010-06,0.055,0.1399,0.055,,405.00M,0.00,,2010-06,AOR,Restated
2010-03,1.86B,1.86B,444.60M,1.415B,1.277B,-12.50M,,,18.20M,,1.277B,138.80M,,,18.20M,-12.50M,18.20M,108.10M,50.20M,57.90M,,,-0.40M,,57.50M,69.10M,138.80M,,2010-03,0.145,0.1655,0.145,,2010-03,0.14,0.1601,0.14,,403.60M,0.00,,2010-03,AOR,Restated
2009-12,2.262B,2.262B,525.40M,1.737B,1.282B,-54.90M,,,-19.90M,,1.282B,454.50M,,,-19.90M,-54.90M,-19.90M,379.70M,118.00M,261.70M,,,-5.50M,,256.20M,62.40M,454.50M,,2009-12,0.65,0.7459,0.65,,2009-12,0.64,0.7344,0.64,,400.80M,0.275,,2009-12,AOR,Restated
2009-09,1.833B,1.833B,445.10M,1.388B,1.150B,-18.20M,,,19.60M,,1.150B,238.60M,,,19.60M,-18.20M,19.60M,200.80M,63.00M,137.80M,,,2.90M,,140.70M,65.30M,238.60M,,2009-09,0.36,0.3917,0.36,,2009-09,0.355,0.3865,0.355,,396.40M,0.00,,2009-09,AOR,Restated
2009-06,1.683B,1.683B,427.10M,1.256B,1.152B,-118.70M,,,-20.20M,,1.152B,104.00M,,,-20.20M,-118.70M,-20.20M,-34.90M,-22.50M,-12.40M,,,-5.50M,,-17.90M,62.20M,104.00M,,2009-06,-0.045,0.1512,-0.045,,2009-06,-0.045,0.1504,-0.045,,394.80M,0.00,,2009-06,AOR,Restated
2009-03,1.696B,1.696B,446.40M,1.250B,1.159B,-20.80M,,,-20.60M,,1.159B,91.10M,,,-20.60M,-20.80M,-20.60M,49.70M,21.40M,28.30M,,,-1.10M,,27.20M,65.90M,91.10M,,2009-03,0.07,0.1044,0.07,,2009-03,0.07,0.1043,0.07,,394.40M,0.00,,2009-03,AOR,Restated
2008-12,2.041B,2.041B,508.00M,1.533B,1.262B,-0.30M,,,-19.60M,,1.262B,270.60M,,,-19.60M,-0.30M,-19.60M,250.70M,89.40M,161.30M,,,-3.30M,,158.00M,63.30M,270.60M,,2008-12,0.40,0.4005,0.40,,2008-12,0.40,0.4005,0.40,,395.00M,0.275,,2008-12,,Restated
2008-09,1.904B,1.904B,500.10M,1.403B,1.311B,-0.10M,15.30M,,-15.30M,,1.311B,92.60M,,15.30M,-15.30M,-0.10M,-15.30M,77.20M,27.60M,49.60M,,,1.50M,,51.10M,62.60M,92.50M,,2008-09,0.13,0.1302,0.13,,2008-09,0.13,0.1302,0.13,,397.60M,0.00,,2008-09,,Restated
2008-06,2.012B,2.012B,490.60M,1.522B,1.306B,-14.90M,14.00M,,-14.00M,,1.306B,216.00M,,14.00M,-14.00M,-14.90M,-14.00M,187.10M,62.20M,124.90M,,,-4.70M,,120.20M,66.20M,201.10M,,2008-06,0.305,0.3306,0.305,,2008-06,0.30,0.3251,0.30,,396.00M,0.00,,2008-06,,Restated
2008-03,1.880B,1.880B,471.90M,1.408B,1.247B,0.70M,16.10M,,-16.10M,,1.247B,160.50M,,16.10M,-16.10M,0.70M,-16.10M,145.10M,53.70M,91.40M,,,-1.30M,,90.10M,62.60M,161.20M,,2008-03,0.235,0.2339,0.235,,2008-03,0.23,0.2289,0.23,,393.20M,0.00,,2008-03,,Restated
2007-12,2.309B,2.309B,578.50M,1.730B,1.360B,0.10M,,,,-0.10M,1.360B,370.50M,,,,0.10M,,352.20M,122.90M,224.40M,,,-4.90M,,224.40M,62.90M,370.50M,,2007-12,0.58,0.5798,0.58,,2007-12,0.57,0.5698,0.57,,393.00M,0.275,,2007-12,,
2007-09,1.710B,1.710B,455.80M,1.254B,1.176B,-0.30M,,,,0.30M,1.176B,77.90M,,,,-0.30M,,59.50M,21.10M,39.10M,,,0.70M,,39.10M,59.00M,77.90M,,2007-09,0.10,0.1005,0.10,,2007-09,0.10,0.1005,0.10,,394.40M,0.00,,2007-09,,
2007-06,1.762B,1.762B,421.70M,1.341B,1.179B,-0.70M,,,,0.70M,1.180B,160.90M,,,,-0.70M,,145.20M,56.10M,88.40M,0.20M,,-0.70M,,88.60M,54.40M,160.90M,,2007-06,0.23,0.2311,0.23,,2007-06,0.225,0.2261,0.225,,396.40M,0.00,,2007-06,,
2007-03,1.690B,1.690B,426.00M,1.264B,1.108B,0.10M,,,,-0.10M,1.108B,156.70M,,,,0.10M,,147.90M,52.40M,93.80M,0.10M,,-1.70M,,93.90M,49.00M,156.70M,,2007-03,0.23,0.2298,0.23,,2007-03,0.225,0.2248,0.225,,416.00M,0.00,,2007-03,,
2006-12,1.991B,1.991B,499.00M,1.492B,1.160B,,,,,,1.160B,332.40M,,,,,,324.70M,113.30M,208.50M,-0.10M,,-2.90M,,208.40M,52.90M,332.40M,,2006-12,0.50,0.50,0.50,,2006-12,0.495,0.495,0.495,,422.80M,0.25,,2006-12,,
2006-09,1.594B,1.594B,428.10M,1.165B,1.065B,-0.50M,,,,0.50M,1.066B,99.90M,,,,-0.50M,,93.20M,33.40M,58.00M,0.30M,,-1.80M,,58.30M,50.90M,99.90M,,2006-09,0.14,0.1408,0.14,,2006-09,0.135,0.1358,0.135,,427.20M,0.00,,2006-09,,
2006-06,1.605B,1.605B,397.10M,1.208B,1.021B,-38.90M,,,,38.90M,1.06B,147.50M,,,,-38.90M,,142.80M,90.30M,49.10M,-4.60M,,-3.40M,,44.50M,51.40M,147.50M,,2006-06,0.12,0.1750,0.11,,2006-06,0.115,0.1694,0.105,,428.80M,0.00,,2006-06,,
2006-03,1.578B,1.578B,411.50M,1.167B,998.80M,-51.60M,,,,51.60M,1.050B,116.30M,,,,-51.60M,,109.70M,43.40M,63.20M,-3.70M,,-3.10M,,59.50M,49.90M,116.30M,,2006-03,0.15,0.2234,0.14,,2006-03,0.145,0.2176,0.14,,429.80M,0.00,,2006-03,,
2005-12,1.784B,1.784B,458.50M,1.325B,1.075B,,,,,,1.075B,250.70M,,,,,,243.80M,90.20M,150.40M,-68.70M,,-3.20M,,81.70M,49.90M,250.70M,,2005-12,0.35,0.35,0.19,,2005-12,0.35,0.35,0.19,,433.20M,0.20,,2005-12,,
2005-09,1.497B,1.497B,419.50M,1.078B,972.50M,,,,,,972.50M,105.10M,,,,,,99.50M,35.80M,61.80M,-3.30M,,-1.90M,,58.50M,47.20M,105.10M,,2005-09,0.14,0.14,0.13,,2005-09,0.14,0.14,0.13,,447.20M,0.00,,2005-09,,
2005-06,1.528B,1.528B,367.50M,1.161B,1.002B,,,,,,1.002B,159.00M,,,,,,155.80M,85.40M,66.90M,-0.30M,,-3.50M,,66.60M,52.70M,159.00M,,2005-06,0.15,0.15,0.15,,2005-06,0.15,0.15,0.15,,450.60M,0.00,,2005-06,,
2005-03,1.525B,1.525B,383.70M,1.142B,962.80M,,,,,,962.80M,178.80M,,,,,,175.50M,65.70M,107.60M,-1.40M,,-2.20M,,106.20M,49.50M,178.80M,,2005-03,0.24,0.24,0.235,,2005-03,0.235,0.235,0.23,,457.40M,0.00,,2005-03,,
2004-12,1.736B,1.736B,443.90M,1.292B,1.060B,,,,,,1.060B,232.70M,,,,,,229.40M,86.30M,139.70M,-1.40M,,-3.40M,,138.30M,47.60M,232.70M,,2004-12,0.31,0.31,0.305,,2004-12,0.305,0.305,0.30,,458.40M,0.20,,2004-12,,
2004-09,1.490B,1.490B,407.70M,1.083B,926.30M,,,,,,926.30M,156.30M,,,,,,152.20M,56.30M,95.70M,-0.70M,,-0.20M,,95.00M,46.90M,156.30M,,2004-09,0.21,0.21,0.21,,2004-09,0.205,0.205,0.205,,462.40M,0.00,,2004-09,,
2004-06,1.354B,1.354B,328.90M,1.025B,875.90M,,,,,,894.70M,130.60M,,,,,,125.30M,48.70M,74.40M,-3.30M,,-2.20M,,71.10M,52.50M,130.60M,,2004-06,0.085,0.085,0.155,,2004-06,0.085,0.085,0.155,,464.40M,0.00,,2004-06,,
2004-03,1.422B,1.422B,358.60M,1.063B,893.40M,,,,,,893.40M,169.60M,,,,,,162.70M,60.90M,100.10M,-1.80M,,-1.70M,,98.30M,47.40M,169.60M,,2004-03,0.22,0.22,0.215,,2004-03,0.215,0.215,0.21,,463.80M,0.00,,2004-03,,
2003-12,1.619B,1.619B,412.70M,1.206B,987.40M,,,,,,987.40M,219.00M,,,,,,211.80M,80.70M,126.30M,-30.60M,,-4.80M,,95.70M,46.70M,219.00M,,2003-12,0.275,0.275,0.21,,2003-12,0.27,0.27,0.205,,463.20M,0.15,,2003-12,,
2003-09,1.347B,1.347B,364.10M,982.50M,848.50M,-4.30M,,,,4.30M,852.80M,129.70M,,,,-4.30M,,122.00M,44.10M,77.70M,-0.70M,,-0.20M,,77.00M,45.10M,129.70M,,2003-09,0.17,0.1760,0.17,,2003-09,0.17,0.1760,0.165,,461.20M,0.00,,2003-09,,
2003-06,1.219B,1.219B,287.30M,932.00M,802.10M,,,,,,844.40M,87.60M,,,,,,90.40M,27.30M,56.40M,-3.40M,,-2.80M,5.80M,53.00M,47.00M,87.60M,,2003-06,0.095,0.095,0.10,,2003-06,0.095,0.095,0.10,,464.60M,0.00,,2003-06,,
2003-03,1.234B,1.234B,313.80M,919.70M,790.40M,,,,,,790.40M,129.30M,,,,,,126.30M,41.30M,85.00M,-1.20M,,-1.10M,5.90M,83.80M,42.70M,129.30M,,2003-03,0.17,0.17,0.17,,2003-03,0.17,0.17,0.165,,468.00M,0.00,,2003-03,,
2002-12,1.407B,1.407B,368.90M,1.038B,867.30M,,,,,,867.30M,171.20M,,,,,,169.00M,56.70M,110.20M,-0.60M,,-2.10M,5.80M,109.60M,43.40M,171.20M,,2002-12,0.225,0.225,0.225,,2002-12,0.22,0.22,0.22,,470.00M,0.10,,2002-12,,
2002-09,1.242B,1.242B,357.10M,885.40M,771.00M,,,,,,771.00M,114.40M,,,,,,111.50M,37.40M,73.40M,,,-0.70M,5.90M,73.40M,41.70M,114.40M,,2002-09,0.145,0.145,0.145,,2002-09,0.14,0.14,0.14,,474.80M,0.00,,2002-09,,
2002-06,1.097B,1.097B,253.60M,843.20M,752.50M,,,,,,769.00M,74.20M,,,,,,-33.00M,-12.70M,-25.00M,,0.00,-0.80M,5.80M,-46.00M,44.40M,74.20M,,2002-06,-0.06,-0.06,-0.065,,2002-06,-0.06,-0.06,-0.065,,482.20M,0.025,,2002-06,,
