,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2013-12,520.60M,520.60M,385.10M,135.50M,86.00M,,,6.20M,0.50M,-5.70M,,86.00M,49.50M,0.50M,6.20M,-5.70M,-1.10M,-5.70M,42.70M,15.10M,27.60M,,27.60M,27.99M,72.30M,23.40M,48.90M,,0.23,,0.2333,0.23,,0.22,,0.2231,0.22,,119.20M,124.10M,0.21,,AOR,Restated
2013-09,545.20M,545.20M,397.50M,147.70M,73.50M,,,4.60M,0.20M,-4.40M,,73.50M,74.20M,0.20M,4.60M,-4.40M,-0.50M,-4.40M,69.30M,24.90M,44.40M,,44.40M,43.63M,96.90M,23.00M,73.90M,,0.37,,0.3635,0.37,,0.36,,0.3538,0.36,,119.10M,123.10M,0.21,,AOR,Restated
2013-06,865.10M,865.10M,564.00M,301.10M,94.50M,,,3.30M,0.20M,-3.10M,,94.50M,206.60M,0.20M,3.30M,-3.10M,-1.30M,-3.10M,202.20M,67.60M,134.60M,,134.60M,134.40M,228.00M,22.50M,205.50M,,1.12,0.00,1.118,1.12,,1.09,0.00,1.088,1.09,,120.40M,123.90M,0.18,,AOR,Restated
2013-03,576.70M,576.70M,426.20M,150.50M,79.00M,,,3.50M,0.40M,-3.10M,,79.00M,71.50M,0.40M,3.50M,-3.10M,-0.70M,-3.10M,67.70M,24.30M,43.40M,,43.40M,43.59M,93.80M,22.60M,71.20M,,0.36,,0.3616,0.36,,0.35,,0.3515,0.35,,121.20M,125.00M,0.18,,AOR,Restated
2012-12,493.20M,493.20M,387.60M,105.60M,77.20M,,,3.40M,0.40M,-3.00M,,77.20M,28.40M,0.40M,3.40M,-3.00M,-0.70M,-3.00M,24.70M,8.90M,15.80M,,15.80M,15.80M,51.90M,23.80M,28.10M,,0.13,,0.13,0.13,,0.13,,0.13,0.13,,122.00M,125.50M,0.18,,AOR,Restated
2012-09,495.80M,495.80M,390.00M,105.80M,72.90M,,,3.50M,0.50M,-3.00M,,72.90M,32.90M,0.50M,3.50M,-3.00M,-1.30M,-3.00M,28.60M,10.30M,18.30M,,18.30M,18.81M,56.60M,24.50M,32.10M,,0.15,,0.1541,0.15,,0.14,,0.1440,0.14,,124.00M,127.10M,0.18,,AOR,Restated
2012-06,800.30M,800.30M,528.90M,271.40M,91.10M,42.00M,-42.00M,3.40M,0.20M,-3.20M,,91.10M,180.30M,0.20M,3.40M,-3.20M,-41.80M,-3.20M,135.30M,51.90M,83.40M,0.00,83.40M,108.98M,162.20M,23.50M,138.70M,,0.67,0.00,0.8746,0.67,,0.65,0.00,0.8502,0.65,,125.00M,127.80M,0.16,,AOR,Restated
2012-03,547.00M,547.00M,420.80M,126.20M,70.60M,22.50M,-22.50M,3.60M,0.60M,-3.00M,,70.60M,55.60M,0.60M,3.60M,-3.00M,-23.80M,-3.00M,28.80M,10.70M,18.10M,-1.40M,16.70M,32.73M,57.50M,25.10M,32.40M,,0.15,-0.01,0.2680,0.14,,0.14,-0.01,0.2540,0.13,,124.00M,128.40M,0.16,,AOR,Restated
2011-12,479.80M,479.80M,382.60M,97.20M,73.50M,9.70M,-9.70M,3.90M,0.50M,-3.40M,,73.50M,23.70M,0.50M,3.90M,-3.40M,-9.70M,-3.40M,10.60M,3.80M,6.80M,0.00,6.80M,12.71M,41.50M,27.00M,14.50M,,0.05,0.00,0.0977,0.05,,0.05,0.00,0.0964,0.05,,123.70M,127.20M,0.16,,AOR,Restated
2011-09,476.40M,476.40M,382.80M,93.60M,64.70M,,-0.10M,2.60M,0.50M,-2.10M,,64.70M,28.90M,0.50M,2.60M,-2.10M,-0.60M,-2.10M,26.20M,9.50M,16.70M,0.00,16.70M,17.08M,45.20M,16.40M,28.80M,,0.14,0.00,0.1431,0.14,,0.13,0.00,0.1330,0.13,,123.70M,126.70M,0.16,,AOR,Restated
2011-06,776.10M,776.10M,517.30M,258.80M,74.70M,,0.50M,2.60M,0.70M,-1.90M,,74.70M,184.10M,0.70M,2.60M,-1.90M,-1.00M,-1.90M,181.20M,65.90M,115.30M,0.90M,116.20M,115.49M,206.30M,22.50M,183.80M,,0.93,0.01,0.9315,0.94,,0.91,0.01,0.9115,0.92,,123.30M,126.80M,0.15,,AOR,Restated
2011-03,527.10M,527.10M,406.60M,120.50M,66.90M,,-0.20M,2.50M,0.60M,-1.90M,,66.90M,53.60M,0.60M,2.50M,-1.90M,-0.60M,-1.90M,51.10M,18.50M,32.60M,-2.90M,29.70M,32.98M,74.90M,21.30M,53.60M,,0.26,-0.02,0.2631,0.24,,0.25,-0.02,0.2530,0.23,,124.20M,128.20M,0.15,,AOR,Restated
2010-12,442.30M,442.30M,356.60M,85.70M,66.90M,,-0.30M,2.30M,0.50M,-1.80M,,66.90M,18.80M,0.50M,2.30M,-1.80M,-0.50M,-1.80M,16.50M,5.90M,10.60M,-0.20M,10.40M,10.92M,35.30M,16.50M,18.80M,,0.08,0.00,0.0826,0.08,,0.08,0.00,0.0825,0.08,,125.00M,128.50M,0.15,,AOR,Restated
2010-09,421.40M,421.40M,336.60M,84.80M,61.50M,,-0.10M,2.40M,0.40M,-2.00M,,61.50M,23.30M,0.40M,2.40M,-2.00M,-0.40M,-2.00M,20.90M,7.60M,13.30M,0.00,13.30M,13.55M,35.30M,12.00M,23.30M,,0.11,0.00,0.1120,0.11,,0.10,0.00,0.1020,0.10,,126.50M,129.60M,0.15,,AOR,Restated
2010-06,750.50M,750.50M,497.30M,253.20M,69.80M,,,6.60M,,-6.70M,,69.80M,183.40M,,6.60M,-6.70M,,-6.70M,182.70M,66.50M,116.20M,-11.10M,105.10M,116.20M,189.30M,-1.20M,189.30M,,0.86,-0.08,0.86,0.78,,0.84,-0.08,0.84,0.76,,135.00M,137.60M,0.14,,AOR,Restated
2010-03,490.80M,490.80M,380.90M,109.90M,60.00M,,-0.70M,7.50M,0.20M,-7.30M,,60.00M,49.90M,0.20M,7.50M,-7.30M,-1.10M,-7.30M,48.40M,17.60M,30.80M,-5.90M,24.90M,31.50M,70.20M,14.30M,55.90M,,0.23,-0.05,0.2352,0.18,,0.22,-0.05,0.2250,0.18,,134.80M,138.80M,0.14,,AOR,Restated
2009-12,529.70M,529.70M,399.70M,130.00M,58.40M,,-0.80M,2.40M,0.10M,-2.30M,,58.40M,71.60M,0.10M,2.40M,-2.30M,-0.80M,-2.30M,68.50M,17.00M,51.50M,-17.90M,33.60M,52.10M,85.40M,14.50M,70.90M,,0.38,-0.13,0.3844,0.25,,0.37,-0.13,0.3743,0.24,,135.70M,139.50M,0.14,,AOR,Restated
2009-09,438.20M,438.20M,338.50M,99.70M,53.40M,,-1.20M,2.60M,0.00,-2.60M,,53.40M,46.30M,0.00,2.60M,-2.60M,-1.20M,-2.60M,42.50M,15.90M,26.60M,-0.20M,26.40M,27.35M,58.80M,13.70M,45.10M,,0.19,0.00,0.1954,0.19,,0.19,0.00,0.1953,0.19,,138.10M,140.40M,0.14,,AOR,Restated
2009-06,716.30M,716.30M,476.40M,239.90M,48.50M,,1.30M,2.20M,0.10M,-2.10M,,48.50M,191.40M,0.10M,2.20M,-2.10M,1.30M,-2.10M,183.70M,67.90M,115.80M,1.10M,116.90M,114.98M,199.50M,13.60M,185.90M,,0.83,0.01,0.8241,0.84,,0.82,0.01,0.8142,0.83,,140.00M,141.60M,0.07,,AOR,Restated
2009-03,463.70M,463.70M,357.30M,106.40M,48.70M,,-0.10M,3.50M,0.20M,-3.30M,,48.70M,57.70M,0.20M,3.50M,-3.30M,-0.10M,-3.30M,54.50M,13.30M,41.20M,-0.30M,40.90M,41.28M,71.20M,13.20M,58.00M,,0.30,-0.01,0.3005,0.29,,0.29,-0.01,0.2905,0.29,,139.50M,141.20M,0.07,,AOR,Restated
2008-12,437.50M,437.50M,328.20M,109.30M,62.00M,,4.60M,3.20M,0.00,-3.20M,,62.00M,47.30M,0.00,3.20M,-3.20M,4.60M,-3.20M,48.70M,18.70M,30.00M,-0.10M,29.90M,27.17M,64.60M,12.70M,51.90M,,0.21,0.00,0.1898,0.21,,0.21,0.00,0.1899,0.21,,140.20M,141.30M,0.07,,AOR,Restated
2008-09,460.50M,472.40M,363.00M,109.40M,56.70M,,10.40M,7.50M,0.50M,-7.00M,,56.70M,52.70M,0.50M,7.50M,-7.00M,10.40M,-7.00M,58.20M,22.60M,35.60M,,35.60M,29.24M,79.90M,14.20M,65.70M,,0.25,0.00,0.2047,0.25,,0.25,0.00,0.2053,0.25,,140.40M,142.20M,0.07,,AOR,Restated
2008-06,736.50M,792.40M,543.40M,249.00M,72.70M,,-24.10M,33.60M,,-31.60M,,72.70M,176.30M,,33.60M,-31.60M,-24.10M,-31.60M,171.10M,73.30M,97.80M,,97.80M,113.46M,218.60M,13.90M,204.70M,,0.70,0.00,0.8125,0.70,,0.69,0.00,0.8009,0.69,,139.30M,141.30M,0.06,,AOR,Restated
2008-03,498.80M,498.80M,383.10M,115.70M,60.00M,,7.30M,6.20M,,-6.20M,,60.00M,55.70M,,6.20M,-6.20M,7.30M,-6.20M,48.40M,18.90M,29.50M,,29.50M,25.05M,67.40M,12.80M,54.60M,,0.21,0.00,0.1782,0.21,,0.21,0.00,0.1785,0.21,,139.90M,141.30M,0.06,,AOR,Restated
2007-12,465.10M,465.10M,345.70M,119.40M,62.50M,,,9.30M,,-9.30M,9.60M,72.10M,47.30M,,9.30M,-9.30M,,-9.30M,47.30M,18.40M,28.90M,,28.90M,28.90M,69.00M,12.40M,56.60M,,0.21,0.00,0.21,0.21,,0.21,0.00,0.21,0.21,,139.30M,140.90M,0.06,,AOR,Restated
2007-09,451.20M,451.20M,334.20M,117.00M,49.10M,,0.00,9.10M,0.30M,-8.80M,,49.10M,67.90M,0.30M,9.10M,-8.80M,,-8.80M,59.10M,23.10M,36.00M,,36.00M,36.00M,80.60M,12.40M,68.20M,,0.26,0.00,0.26,0.26,,0.26,0.00,0.26,0.26,,139.10M,139.80M,0.06,,AOR,Restated
2007-06,714.50M,773.70M,537.20M,236.50M,67.50M,,,,,,,65.70M,170.80M,,,,,,158.50M,59.80M,98.70M,,98.70M,98.70M,214.20M,18.40M,195.80M,,0.71,0.00,0.71,0.71,,0.71,0.00,0.71,0.71,,138.80M,139.60M,0.06,,AOR,Restated
2007-03,492.80M,492.80M,375.10M,117.70M,47.60M,,,,,,0.20M,47.80M,69.90M,,,,,,69.90M,28.00M,41.90M,,41.90M,41.90M,94.20M,24.30M,69.90M,,0.30,0.00,0.30,0.30,,0.30,0.00,0.30,0.30,,138.80M,138.80M,,,AOR,Restated
2006-12,431.30M,431.30M,333.20M,98.10M,51.10M,,,,,,1.00M,52.10M,46.00M,,,,,,46.00M,18.00M,28.00M,,28.00M,28.00M,56.00M,10.00M,46.00M,,0.20,0.00,0.20,0.20,,0.20,0.00,0.20,0.20,,138.80M,138.80M,,,AOR,
2006-09,440.10M,440.10M,342.60M,97.50M,50.50M,,-0.60M,,,,,50.50M,47.00M,,,,-0.60M,,46.40M,17.90M,28.50M,,28.50M,28.87M,56.80M,9.80M,47.00M,,0.21,0.00,0.2127,0.21,,0.21,0.00,0.2127,0.21,,138.80M,138.80M,,,AOR,
2006-06,718.10M,718.10M,497.70M,220.40M,51.80M,,,,,,,53.50M,166.90M,,,,,,168.80M,68.20M,100.60M,0.10M,100.70M,100.60M,222.10M,39.00M,183.10M,,0.72,0.00,0.72,0.72,,0.72,0.00,0.72,0.72,,138.80M,138.80M,,,,Restated
2006-03,450.50M,450.50M,348.40M,102.10M,45.00M,,-1.30M,,,,,45.00M,57.10M,,,,-1.30M,,55.80M,22.50M,33.30M,0.30M,33.60M,34.08M,57.10M,,57.10M,,0.24,0.00,0.2456,0.24,,0.24,0.00,0.2456,0.24,,138.80M,138.80M,,,AOR,
