,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,263.80M,263.80M,,263.80M,615.00M,,615.00M,112.30M,991.10M,2.60M,,593.60M,,,596.20M,-392.20M,204.00M,1.255B,494.10M,1.749B,80.30M,,16.50M,204.50M,59.20M,2.314B,3.305B,,156.20M,42.50M,20.30M,55.30M,274.30M,85.20M,359.50M,,,,,145.50M,145.50M,39.10M,777.30M,1.053B,,1.053B,57.90M,75.20M,133.10M,,246.50M,1.433B,2.210B,,1.60M,1.727B,1.048B,1.631B,,,,-51.90M,1.094B,,AOR,Restated
2018-03,352.10M,352.10M,,352.10M,714.10M,,714.10M,136.80M,1.203B,,,,197.90M,,197.90M,,197.90M,1.231B,490.20M,1.722B,78.70M,,,218.40M,65.30M,2.282B,3.485B,,147.40M,42.80M,22.20M,,212.40M,68.00M,280.40M,,,,,237.60M,237.60M,55.40M,767.30M,1.203B,,1.203B,42.80M,77.50M,120.30M,,232.10M,1.556B,2.323B,,1.60M,1.563B,1.039B,1.407B,,,,-34.60M,1.162B,,AOR,Restated
2017-12,,366.50M,,366.50M,575.10M,,575.10M,109.60M,1.051B,,,,202.50M,,202.50M,,202.50M,1.193B,464.10M,1.657B,76.00M,,,212.30M,50.70M,2.199B,3.250B,,134.30M,42.60M,39.50M,,216.40M,50.70M,267.10M,,,,,124.30M,124.30M,42.30M,585.90M,1.223B,,1.223B,52.50M,83.40M,135.90M,,231.30M,1.590B,2.176B,,1.60M,1.496B,1.013B,1.398B,,,,-38.40M,1.074B,,AOR,Restated
2017-09,,288.80M,,288.80M,624.40M,,624.40M,121.10M,1.034B,,,,207.60M,,207.60M,,207.60M,1.177B,469.90M,1.647B,73.20M,,,207.70M,54.50M,2.190B,3.224B,,157.30M,42.50M,31.40M,,231.20M,53.30M,284.50M,,,,,156.20M,156.20M,27.80M,609.40M,1.292B,,1.292B,58.20M,75.40M,133.60M,,151.20M,1.577B,2.187B,,1.60M,1.477B,995.70M,1.399B,,,,-37.10M,1.038B,,AOR,Restated
2017-06,271.10M,271.10M,,271.10M,589.50M,,589.50M,129.00M,989.60M,2.60M,,564.50M,,,567.10M,-369.00M,198.10M,1.159B,486.20M,1.646B,63.40M,,,202.50M,50.60M,2.160B,3.150B,,167.20M,37.90M,80.20M,,285.30M,79.50M,364.80M,,,,,121.90M,121.90M,37.10M,745.00M,1.102B,,1.102B,82.00M,74.30M,156.30M,,142.50M,1.401B,2.146B,,1.60M,1.469B,987.60M,1.399B,,,,-55.80M,1.004B,,AOR,Restated
2017-03,,269.50M,,269.50M,661.20M,,661.20M,187.50M,1.118B,,,,169.50M,,169.50M,,169.50M,1.162B,483.90M,1.645B,60.50M,,,196.40M,52.10M,2.124B,3.242B,,191.90M,38.10M,27.90M,,257.90M,54.20M,312.10M,125.00M,125.00M,,125.00M,243.80M,243.80M,26.40M,886.00M,1.142B,,1.142B,70.70M,75.00M,145.70M,,126.30M,1.414B,2.300B,,1.60M,1.321B,972.30M,1.292B,,,,-60.50M,942.40M,,AOR,Restated
2016-12,,235.70M,,235.70M,515.50M,,515.50M,148.20M,899.40M,,,,145.50M,,145.50M,,145.50M,1.140B,485.90M,1.626B,56.70M,,,190.40M,49.80M,2.068B,2.967B,,140.60M,39.00M,16.90M,,196.50M,31.40M,227.90M,124.90M,124.90M,,124.90M,115.60M,115.60M,27.20M,638.20M,1.081B,,1.081B,72.80M,71.60M,144.40M,,117.70M,1.343B,1.981B,,1.60M,1.284B,951.60M,1.190B,,,,-60.90M,985.90M,,AOR,Restated
2016-09,,227.40M,,227.40M,499.40M,,499.40M,159.00M,885.80M,,,,130.70M,,130.70M,,130.70M,1.240B,389.00M,1.628B,57.90M,,,185.60M,53.80M,2.056B,2.942B,,134.10M,38.50M,14.90M,,187.50M,52.20M,239.70M,124.90M,124.90M,,124.90M,113.10M,113.10M,28.80M,641.70M,1.001B,,1.001B,61.40M,69.60M,131.00M,,117.20M,1.249B,1.891B,,1.60M,1.292B,936.50M,1.130B,,,,-48.90M,1.051B,,AOR,Restated
2016-06,,727.70M,,727.70M,453.40M,,453.40M,108.00M,1.289B,2.50M,,518.20M,,,520.70M,-408.40M,112.30M,999.30M,210.20M,1.210B,48.50M,,,182.50M,30.80M,1.584B,2.873B,,133.20M,34.90M,49.90M,,218.00M,65.40M,283.40M,124.80M,124.80M,,124.80M,82.70M,82.70M,20.70M,692.80M,890.70M,,890.70M,61.60M,70.30M,131.90M,,111.80M,1.134B,1.827B,,1.60M,1.298B,901.20M,1.117B,,,,-38.20M,1.046B,,AOR,Restated
2016-03,,354.40M,,354.40M,503.80M,,503.80M,145.60M,1.004B,,,,108.20M,,108.20M,,108.20M,973.30M,181.60M,1.155B,45.10M,,,176.50M,35.40M,1.520B,2.524B,,123.80M,34.70M,28.60M,,187.10M,50.60M,237.70M,,,,,166.00M,166.00M,35.90M,581.30M,819.50M,,819.50M,41.40M,76.30M,117.70M,,102.90M,1.040B,1.621B,,1.60M,1.163B,901.30M,1.116B,,,,-47.70M,902.60M,,AOR,Restated
2015-12,,305.10M,,305.10M,409.80M,,409.80M,113.30M,828.20M,,,,106.00M,,106.00M,,106.00M,975.40M,191.20M,1.167B,38.50M,,,182.80M,31.40M,1.525B,2.354B,,113.00M,35.00M,20.80M,,168.80M,36.90M,205.70M,,,,,67.50M,67.50M,39.90M,428.60M,754.50M,,754.50M,47.60M,80.40M,128.00M,,100.90M,983.40M,1.412B,,1.60M,1.135B,884.00M,1.041B,,,,-38.00M,941.60M,,AOR,Restated
2015-09,,286.30M,,286.30M,410.80M,,410.80M,98.40M,795.50M,,,,100.40M,,100.40M,,100.40M,969.60M,188.50M,1.158B,37.90M,,,180.40M,27.30M,1.504B,2.300B,,111.70M,34.90M,28.70M,,175.30M,35.60M,210.90M,,,,,77.50M,77.50M,28.70M,413.00M,734.40M,,734.40M,52.70M,76.10M,128.80M,,99.00M,962.20M,1.375B,,1.60M,1.130B,866.00M,1.040B,,,,-32.90M,924.30M,,AOR,Restated
2015-06,,324.10M,,324.10M,444.50M,,444.50M,92.80M,861.40M,4.90M,,488.30M,,,493.20M,-395.90M,97.30M,970.50M,195.70M,1.166B,33.30M,,,180.60M,29.30M,1.507B,2.368B,,115.90M,31.40M,28.50M,,175.80M,63.40M,239.20M,,,,,72.60M,72.60M,33.90M,508.90M,689.40M,,689.40M,61.70M,75.20M,136.90M,,105.10M,931.40M,1.440B,,1.60M,1.132B,855.50M,1.040B,,,,-20.90M,927.80M,,AOR,Restated
2015-03,,310.10M,,310.10M,486.40M,,486.40M,135.50M,932.00M,,,,81.40M,,81.40M,,81.40M,891.10M,135.00M,1.026B,29.80M,,,179.80M,32.10M,1.349B,2.281B,,117.90M,31.60M,24.70M,,174.20M,49.80M,224.00M,,,,,161.90M,161.90M,12.20M,530.70M,629.30M,,629.30M,44.10M,73.30M,117.40M,,105.10M,851.80M,1.382B,,1.60M,998.00M,851.90M,930.60M,,,,-22.20M,898.70M,,AOR,Restated
2014-12,,314.10M,,314.10M,366.60M,,366.60M,99.70M,780.40M,,,,82.20M,,82.20M,,82.20M,874.00M,125.00M,999.00M,28.70M,,,180.90M,28.60M,1.319B,2.100B,,93.50M,32.00M,13.10M,,138.60M,34.60M,173.20M,,,,,59.30M,59.30M,16.90M,359.70M,524.30M,,524.30M,51.00M,76.20M,127.20M,,105.90M,757.40M,1.117B,,1.60M,976.20M,835.70M,825.30M,,,,-5.50M,982.70M,,AOR,Restated
2014-09,,331.30M,,331.30M,361.10M,,361.10M,83.20M,775.60M,,,,84.50M,,84.50M,,84.50M,854.10M,122.70M,976.80M,28.50M,,,180.30M,32.90M,1.303B,2.079B,,108.90M,31.80M,18.30M,,159.00M,36.50M,195.50M,,,,,65.10M,65.10M,12.50M,364.00M,524.20M,,524.20M,55.90M,60.20M,116.10M,,103.30M,743.60M,1.108B,,1.60M,974.00M,821.10M,831.40M,,,,5.70M,971.00M,,AOR,Restated
2014-06,,347.60M,,347.60M,424.80M,,424.80M,108.20M,880.60M,4.90M,,447.60M,,,452.50M,-364.20M,88.30M,856.10M,130.00M,986.10M,25.30M,,,180.40M,31.40M,1.312B,2.192B,,116.30M,24.70M,35.00M,,176.00M,62.00M,238.00M,,,,,61.50M,61.50M,20.50M,484.40M,524.10M,,524.10M,62.40M,59.00M,121.40M,,100.50M,746.00M,1.230B,,1.60M,973.90M,810.70M,834.80M,,,,10.30M,961.70M,,AOR,Restated
2014-03,,244.40M,,244.40M,426.30M,,426.30M,143.50M,814.20M,,,,87.20M,,87.20M,,87.20M,854.70M,137.00M,991.70M,23.80M,,,179.80M,33.20M,1.316B,2.130B,,124.80M,24.70M,28.60M,,178.10M,33.30M,211.40M,,,,,148.30M,148.30M,9.10M,493.70M,524.10M,,524.10M,58.20M,57.30M,115.50M,,97.70M,737.30M,1.231B,,1.60M,858.90M,812.10M,781.50M,,,,7.80M,898.90M,,AOR,Restated
2013-12,,240.30M,,240.30M,336.00M,,336.00M,110.90M,687.20M,,,,87.00M,,87.00M,,87.00M,812.90M,120.90M,933.80M,23.40M,,,181.70M,25.90M,1.252B,1.939B,,96.60M,24.60M,13.00M,,134.20M,25.80M,160.00M,,,,,55.10M,55.10M,19.90M,343.90M,524.10M,,524.10M,64.40M,53.00M,117.40M,,96.10M,737.60M,1.082B,,1.60M,833.20M,798.80M,784.20M,,,,8.10M,857.50M,,AOR,Restated
2013-09,,183.10M,,183.10M,372.20M,,372.20M,101.30M,656.60M,,,,82.10M,,82.10M,,82.10M,809.30M,125.30M,934.60M,22.30M,,,182.60M,29.00M,1.251B,1.907B,,110.50M,24.10M,27.70M,,162.30M,24.30M,186.60M,,,,,55.80M,55.80M,12.80M,338.10M,524.00M,,524.00M,69.30M,43.60M,112.90M,,94.20M,731.10M,1.069B,,1.60M,831.10M,788.40M,785.60M,,,,2.50M,838.00M,,AOR,Restated
2013-06,,266.00M,,266.00M,442.40M,,442.40M,98.60M,807.00M,4.50M,,420.00M,,,424.50M,-343.60M,80.90M,778.40M,120.60M,899.00M,20.90M,,,182.10M,28.30M,1.211B,2.018B,,143.10M,21.00M,51.80M,,215.90M,49.20M,265.10M,,,,,49.20M,49.20M,12.10M,469.50M,524.50M,,524.50M,71.20M,40.20M,111.40M,,96.80M,732.70M,1.202B,,1.60M,811.30M,783.00M,784.10M,,,,4.20M,816.00M,,AOR,Restated
2013-03,,182.20M,,182.20M,412.20M,,412.20M,116.90M,711.30M,,,,80.90M,,80.90M,,80.90M,777.80M,121.90M,899.70M,18.10M,,,181.80M,30.10M,1.211B,1.922B,,130.20M,21.20M,12.80M,,164.20M,27.60M,191.80M,,,,,127.70M,127.70M,14.00M,449.20M,524.50M,,524.50M,53.50M,42.80M,96.30M,,80.90M,701.70M,1.151B,,1.50M,698.10M,787.30M,718.70M,,,,2.80M,771.00M,,AOR,Restated
2012-12,,259.10M,,259.10M,305.20M,,305.20M,89.30M,653.60M,,,,76.50M,,76.50M,,76.50M,782.60M,126.80M,909.40M,17.70M,,,174.60M,24.40M,1.203B,1.856B,,97.70M,21.50M,15.40M,,134.60M,20.80M,155.40M,,,,,48.40M,48.40M,18.90M,344.40M,524.40M,,524.40M,56.30M,41.70M,98.00M,,106.00M,728.40M,1.073B,,1.50M,676.30M,769.10M,672.70M,,,,9.20M,783.40M,,AOR,Restated
2012-09,211.80M,211.80M,,211.80M,321.40M,,321.40M,87.70M,620.90M,,,,,,,,76.30M,781.80M,135.20M,917.00M,,,,,216.30M,1.210B,1.830B,,88.90M,21.50M,18.90M,,129.30M,41.10M,170.40M,,,,,50.60M,50.60M,,313.60M,524.40M,,524.40M,61.10M,36.90M,98.00M,,105.00M,727.40M,1.041B,,1.50M,682.50M,753.30M,656.10M,,,,8.30M,789.50M,,AOR,Restated
2012-06,,320.50M,,320.50M,370.70M,,370.70M,86.20M,777.40M,4.50M,,414.40M,,,418.90M,-339.90M,79.00M,780.00M,143.30M,923.30M,12.60M,,,168.10M,27.20M,1.210B,1.988B,,102.20M,19.90M,42.90M,,165.00M,38.60M,203.60M,,,,,47.50M,47.50M,19.60M,410.30M,524.40M,,524.40M,63.20M,38.30M,101.50M,,100.90M,726.80M,1.137B,,1.50M,686.10M,739.40M,580.00M,,,,3.50M,850.50M,,AOR,Restated
2012-03,218.80M,218.80M,,218.80M,388.50M,,388.50M,142.30M,749.60M,,,,,,,,78.50M,790.50M,152.80M,943.30M,,,,,242.90M,1.265B,2.014B,,107.10M,19.80M,1.00M,,127.90M,28.30M,156.20M,,,,,136.70M,136.70M,44.00M,438.30M,564.30M,,564.30M,65.20M,38.20M,103.40M,,107.50M,775.20M,1.214B,,1.50M,622.70M,729.30M,564.30M,,,,11.60M,800.80M,,AOR,Restated
2011-12,238.20M,238.20M,,238.20M,296.60M,,296.60M,100.10M,634.90M,,,,,,,,78.50M,789.30M,160.90M,950.20M,13.30M,20.60M,,149.10M,50.30M,1.262B,1.897B,,92.60M,0.00,0.30M,,92.90M,20.00M,112.90M,,,,,38.10M,38.10M,42.70M,300.80M,594.30M,,594.30M,63.40M,52.80M,116.20M,,101.80M,812.30M,1.113B,,1.50M,625.80M,699.40M,549.20M,,,,6.30M,783.80M,,AOR,Restated
2011-09,252.80M,252.80M,,252.80M,328.50M,,328.50M,104.00M,685.30M,,,,,,,,78.90M,793.10M,165.20M,958.30M,,,,,204.70M,1.242B,1.927B,,93.50M,19.50M,3.90M,,116.90M,147.60M,264.50M,,,,,29.10M,29.10M,,293.60M,614.30M,,614.30M,68.00M,60.10M,128.10M,,98.70M,841.10M,1.135B,,1.50M,639.10M,678.50M,538.30M,,,,11.70M,792.50M,,AOR,Restated
2011-06,241.50M,241.50M,,241.50M,406.60M,,406.60M,103.30M,751.40M,0.00,4.40M,400.20M,,,404.60M,-321.50M,83.10M,735.60M,147.20M,882.80M,,,,,186.70M,1.153B,1.904B,,119.00M,,23.70M,,142.70M,104.50M,247.20M,,400.00M,,400.00M,33.40M,33.40M,,782.70M,124.30M,,124.30M,71.30M,47.30M,118.60M,,81.10M,324.00M,1.107B,,1.50M,642.20M,667.40M,529.90M,,,,16.10M,797.30M,,AOR,Restated
2011-03,151.30M,151.30M,,151.30M,395.30M,,395.30M,128.10M,705.60M,,,,,,,,84.60M,733.40M,146.00M,879.40M,18.30M,20.60M,,120.60M,24.30M,1.148B,1.853B,,109.80M,18.10M,63.30M,,191.20M,33.10M,224.30M,,440.00M,,440.00M,99.50M,99.50M,12.60M,855.10M,124.20M,,124.20M,59.00M,51.50M,110.50M,,71.30M,306.00M,1.161B,,1.50M,544.60M,637.90M,510.60M,,,,18.90M,692.30M,,AOR,Restated
2010-12,,187.80M,,187.80M,291.30M,,291.30M,128.90M,608.00M,,,,,,,,84.60M,578.80M,74.00M,652.80M,,,,,169.60M,907.00M,1.515B,,76.50M,,,,76.50M,170.40M,246.90M,,,,,24.40M,24.40M,16.30M,287.60M,324.20M,,324.20M,44.60M,54.60M,99.20M,,75.30M,498.70M,786.30M,,1.50M,533.20M,611.00M,427.20M,,,,10.20M,728.70M,,AOR,Restated
2010-09,,180.70M,,180.70M,293.70M,,293.70M,165.90M,640.30M,,,,,,,,86.50M,560.80M,69.30M,630.10M,,,,,162.40M,879.00M,1.519B,,70.50M,,,,70.50M,160.30M,230.80M,,,,,26.00M,26.00M,35.50M,292.30M,324.20M,,324.20M,46.10M,56.40M,102.50M,,75.70M,502.40M,794.70M,,1.50M,541.40M,598.20M,421.80M,,,,5.30M,724.60M,,AOR,Restated
2010-06,412.60M,412.60M,,412.60M,354.30M,,354.30M,101.70M,992.40M,0.00,4.30M,379.10M,,,383.40M,-296.00M,87.40M,509.50M,46.10M,555.60M,,,,,159.00M,802.00M,1.794B,,91.30M,,24.30M,,115.60M,135.00M,250.60M,,,,,34.80M,34.80M,99.10M,486.40M,324.10M,,324.10M,56.20M,47.80M,104.00M,,72.80M,500.90M,987.30M,,1.50M,546.90M,587.80M,327.70M,,,,-1.40M,807.10M,,AOR,Restated
2010-03,,177.90M,,177.90M,354.50M,,354.50M,1.606B,2.138B,,,,,,,,75.50M,491.60M,34.30M,525.90M,,,,,124.30M,725.70M,2.864B,,94.40M,,,,94.40M,202.40M,296.80M,,,,,96.80M,96.80M,1.186B,1.580B,324.10M,,324.10M,,48.40M,48.40M,,54.90M,427.40M,2.007B,,1.40M,460.40M,568.20M,180.00M,,,,7.00M,857.00M,,AOR,Restated
2009-12,,147.10M,,147.10M,314.60M,,314.60M,1.518B,1.98B,,,,,,,,75.60M,486.40M,27.70M,514.10M,,,,,126.00M,715.70M,2.696B,,70.20M,,,,70.20M,181.80M,252.00M,,,,,24.00M,24.00M,1.144B,1.420B,324.10M,,324.10M,,50.50M,50.50M,,54.00M,428.60M,1.849B,,1.40M,454.40M,546.60M,169.40M,,,,13.70M,846.70M,,AOR,Restated
2009-09,,231.50M,191.00M,422.50M,307.90M,1.283B,1.591B,110.30M,2.124B,,,,,,,,71.30M,513.30M,39.10M,552.40M,,,,,138.90M,762.60M,2.886B,,77.00M,,,1.271B,1.348B,177.10M,1.525B,,,,,46.70M,46.70M,,1.572B,324.10M,,324.10M,,51.10M,51.10M,,71.30M,446.50M,2.018B,,1.40M,439.70M,525.20M,109.30M,,,,10.70M,867.70M,,AOR,Restated
2009-06,,173.40M,,173.40M,381.00M,,381.00M,1.497B,2.052B,0.00,4.20M,203.20M,,158.70M,366.10M,-290.70M,75.40M,481.80M,29.40M,511.20M,,,,,136.30M,722.90M,2.775B,,72.00M,,,,72.00M,216.70M,288.70M,,,,,34.60M,34.60M,1.107B,1.430B,324.10M,,324.10M,23.20M,50.90M,74.10M,,37.60M,435.80M,1.866B,,1.40M,432.30M,505.90M,37.50M,,,,6.90M,909.00M,,AOR,Restated
2009-03,,310.30M,149.70M,460.00M,342.50M,802.40M,1.145B,125.20M,1.730B,,,,,,,,68.90M,470.60M,28.90M,499.50M,,,,,145.70M,714.10M,2.444B,,73.80M,,,882.10M,955.90M,178.10M,1.134B,,0.80M,,0.80M,83.00M,83.00M,,1.218B,324.00M,,324.00M,,53.60M,53.60M,,56.50M,434.10M,1.652B,,1.40M,325.10M,494.80M,19.90M,,,,-9.10M,792.30M,,AOR,Restated
2008-12,,299.10M,83.60M,382.70M,280.60M,932.50M,1.213B,85.70M,1.682B,,,,,,,,70.90M,473.60M,29.60M,503.20M,,,,,147.00M,721.10M,2.403B,,81.50M,,,950.90M,1.032B,157.50M,1.190B,,,,,15.70M,15.70M,,1.206B,324.00M,,324.00M,,52.60M,52.60M,,56.00M,432.60M,1.638B,,1.40M,294.00M,487.80M,13.70M,,,,-5.10M,764.40M,,AOR,Restated
2008-09,,68.00M,425.00M,493.00M,321.50M,2.067B,2.388B,60.30M,2.942B,,,,,,,,75.90M,488.20M,31.70M,519.90M,,,,,153.10M,748.90M,3.690B,,75.10M,,,1.974B,2.049B,175.40M,2.225B,,238.00M,,238.00M,16.00M,16.00M,,2.479B,324.00M,,324.00M,,57.50M,57.50M,,61.00M,442.50M,2.921B,,1.40M,274.00M,477.60M,2.50M,,,,18.70M,769.20M,,AOR,Restated
2008-06,,198.30M,33.70M,232.00M,415.40M,1.370B,1.785B,61.90M,2.079B,0.00,3.50M,186.90M,,162.30M,352.70M,-270.10M,82.60M,484.30M,30.10M,514.40M,,,,,157.40M,754.40M,2.834B,,89.90M,,,1.157B,1.247B,252.60M,1.500B,,,,,25.50M,25.50M,,1.525B,447.90M,,447.90M,,60.90M,60.90M,,53.60M,562.40M,2.088B,,1.40M,248.20M,469.50M,2.00M,,,,28.70M,745.80M,,AOR,Restated
