,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-09,33.50M,,,12.40M,14.60M,27.00M,27.00M,-8.80M,,,9.00M,-1.40M,-1.10M,36.70M,-99.50M,-5.90M,,-14.10M,-82.80M,,-24.60M,,-17.80M,-2.90M,-0.30M,,,-18.10M,,45.00M,,45.00M,,-3.00M,-3.00M,-32.00M,-32.00M,3.10M,0.60M,13.70M,,324.10M,-29.00M,-8.80M,286.30M,,,65.00M,-20.00M,-3.00M,30.00M,8.50M,,AOR,Restated
2015-06,165.90M,,,12.80M,14.10M,26.90M,26.90M,29.30M,,,8.70M,-19.10M,0.00,53.40M,74.70M,32.00M,,-97.00M,63.10M,,274.80M,,-35.40M,-8.00M,-140.00M,,,-175.40M,,60.00M,,60.00M,,-145.70M,-145.70M,-32.20M,-32.20M,11.80M,19.10M,-87.00M,,310.10M,12.40M,1.60M,324.10M,,,200.00M,-140.00M,-145.70M,40.00M,4.40M,,AOR,Restated
2015-03,54.00M,,,12.50M,14.10M,26.60M,26.60M,-17.30M,,,10.30M,-10.80M,4.00M,-117.70M,76.20M,-25.70M,,86.20M,19.00M,,85.80M,,-14.80M,-5.80M,-35.30M,,,-50.10M,,105.00M,,105.00M,,-130.90M,-130.90M,-32.50M,-32.50M,20.70M,10.80M,-26.90M,,314.10M,8.80M,-12.80M,310.10M,,,120.00M,-15.00M,-130.90M,3.40M,8.00M,,AOR,Restated
2014-12,34.70M,,,12.00M,13.50M,25.50M,25.50M,-6.20M,,,11.20M,-5.40M,4.00M,-5.00M,7.00M,-15.60M,,3.50M,-10.10M,,53.70M,,-8.40M,-0.50M,-33.30M,,,-41.70M,,0.00,,0.00,,-10.00M,-10.00M,-32.40M,-32.40M,14.20M,5.40M,-22.80M,,331.30M,-10.80M,-6.40M,314.10M,,,0.00,0.00,-10.00M,35.90M,3.80M,,AOR,Restated
2014-09,32.50M,,,12.00M,13.30M,25.30M,25.30M,-5.20M,,,8.40M,-5.20M,0.80M,65.10M,-125.40M,23.30M,,-2.50M,-39.50M,,17.10M,,-7.40M,-1.40M,-1.80M,,,-9.20M,,-1.90M,,-1.90M,,-15.10M,-15.10M,-25.20M,-25.20M,15.40M,5.20M,-21.60M,,347.60M,-13.70M,-2.60M,331.30M,,,0.00,-1.90M,-15.10M,6.10M,7.90M,,AOR,Restated
2014-06,140.20M,,,12.10M,13.50M,25.60M,25.60M,3.70M,,,9.60M,-15.10M,-3.90M,0.30M,95.70M,27.70M,,-83.50M,40.20M,,200.30M,,-9.70M,-2.20M,0.20M,,,-9.50M,,0.00,,0.00,,-95.70M,-95.70M,-25.20M,-25.20M,16.30M,15.10M,-89.50M,,244.40M,101.30M,1.90M,347.60M,,,0.00,0.00,-95.70M,48.80M,3.80M,,AOR,Restated
2014-03,50.80M,,,12.50M,12.90M,25.40M,25.40M,-12.10M,,,10.30M,-5.00M,5.10M,-90.70M,56.60M,-21.30M,,77.40M,22.00M,,96.50M,,-12.90M,-3.80M,-59.40M,,,-72.30M,,0.00,,0.00,,-20.60M,-20.60M,-25.00M,-25.00M,21.50M,5.00M,-19.10M,,240.30M,5.10M,-1.00M,244.40M,,,0.00,0.00,-20.60M,9.10M,8.40M,,AOR,Restated
2013-12,27.60M,,,11.30M,12.10M,23.40M,23.40M,-3.60M,,,9.90M,-1.70M,3.80M,34.80M,5.20M,-9.60M,,6.50M,36.90M,,96.30M,,-17.50M,-4.30M,0.00,,,-17.50M,,0.00,,0.00,,-5.50M,-5.50M,-25.00M,-25.00M,5.80M,1.70M,-23.00M,,183.10M,55.80M,1.40M,240.30M,,,0.00,0.00,-5.50M,41.20M,3.80M,,AOR,Restated
2013-09,44.40M,,,10.90M,12.10M,23.00M,23.00M,0.40M,,,4.80M,-1.00M,-2.30M,74.70M,-147.70M,0.90M,,-2.60M,-74.70M,,-5.40M,,-13.30M,-2.80M,-37.70M,,,-51.00M,,-0.50M,,-0.50M,,-7.90M,-7.90M,-21.50M,-21.50M,5.90M,-3.30M,-27.30M,,266.00M,-83.70M,0.80M,183.10M,,,399.50M,-400.00M,-7.90M,51.20M,1.10M,,AOR,Restated
2013-06,134.60M,,,10.70M,11.80M,22.50M,22.50M,15.40M,,,6.00M,-2.50M,5.00M,-32.60M,99.70M,21.90M,,-71.40M,17.60M,,198.60M,,-15.30M,-6.80M,0.00,,,-16.40M,,0.00,,0.00,,-99.80M,-99.80M,-21.60M,-21.60M,18.90M,5.00M,-97.50M,,182.20M,84.70M,-0.90M,266.00M,,,0.00,0.00,-99.80M,20.70M,5.20M,,AOR,Restated
2013-03,43.40M,,,10.90M,11.70M,22.60M,22.60M,7.20M,,,8.20M,-0.80M,2.00M,-107.40M,25.80M,-37.60M,,35.40M,-83.80M,,-1.20M,,-16.60M,-3.40M,0.00,,,-16.60M,,0.00,,0.00,,-46.00M,-46.00M,-21.90M,-21.90M,9.80M,0.60M,-57.50M,,259.10M,-75.30M,-1.60M,182.20M,,,0.00,0.00,-46.00M,41.60M,1.50M,,AOR,Restated
2012-12,15.80M,,,12.50M,11.30M,23.80M,23.80M,-3.50M,,,8.40M,-0.50M,-0.70M,15.40M,32.80M,-0.40M,,-2.00M,45.80M,,89.10M,,-10.90M,-0.80M,0.00,,,-10.90M,,0.00,,0.00,,-16.60M,-16.60M,-22.00M,-22.00M,7.80M,-0.50M,-31.30M,,211.80M,46.90M,0.40M,259.10M,,,0.00,0.00,-16.60M,16.70M,5.30M,,AOR,Restated
2012-09,18.30M,,,13.50M,11.00M,24.50M,24.50M,-5.00M,,,4.50M,-0.80M,5.10M,51.40M,-101.20M,0.50M,,-12.90M,-62.20M,,-15.60M,,-8.10M,-1.70M,0.00,,,-8.10M,,0.00,,0.00,,-76.10M,-76.10M,-20.30M,-20.30M,9.80M,-0.30M,-86.90M,,320.50M,-110.60M,1.90M,211.80M,,,0.00,0.00,-76.10M,39.60M,1.50M,,AOR,Restated
2012-06,83.40M,-0.20M,-0.20M,13.70M,9.80M,23.50M,23.50M,8.60M,,36.90M,6.70M,-2.00M,5.90M,12.70M,73.10M,48.10M,,-110.00M,23.90M,-5.10M,181.60M,,-14.30M,-3.30M,0.00,0.00,,-7.80M,,-40.00M,0.00,-40.00M,,-15.80M,-15.80M,-19.90M,-19.90M,6.50M,1.00M,-68.20M,,218.80M,105.60M,-3.90M,320.50M,,,0.00,-40.00M,-15.80M,9.30M,5.50M,,AOR,Restated
2012-03,18.10M,0.20M,0.20M,13.60M,11.50M,25.10M,25.10M,-2.10M,,22.50M,7.80M,-1.80M,-1.30M,-92.10M,22.30M,-37.80M,,54.90M,-52.70M,-1.30M,14.50M,,-10.80M,-1.60M,-0.10M,2.10M,,-8.80M,,-30.00M,0.00,-30.00M,,-15.10M,-15.10M,-0.10M,-0.10M,17.60M,0.60M,-27.00M,,238.20M,-21.30M,1.90M,218.80M,,,0.00,-30.00M,-15.10M,7.10M,1.50M,,AOR,Restated
2011-12,6.80M,,,12.50M,14.50M,27.00M,27.00M,-10.50M,-4.30M,9.70M,8.30M,0.00,-0.50M,31.20M,18.70M,5.70M,11.00M,-38.30M,28.30M,0.00,64.80M,,-15.00M,-5.50M,0.40M,,,-14.60M,,-20.00M,0.00,-20.00M,,-10.90M,-10.90M,-58.10M,-39.60M,12.20M,-2.10M,-60.40M,,252.80M,-10.20M,-4.40M,238.20M,,,0.00,-20.00M,-10.90M,21.70M,6.10M,,AOR,Restated
2011-09,16.70M,,,11.20M,5.20M,16.40M,16.40M,-4.40M,4.30M,,5.50M,-0.10M,-1.10M,82.90M,-91.30M,7.30M,-11.00M,-1.90M,-14.00M,0.00,23.30M,,-6.60M,-2.50M,-72.70M,,,-79.30M,,490.00M,-400.00M,90.00M,,-9.80M,-9.80M,,-18.50M,7.30M,-2.10M,66.90M,,241.50M,10.90M,0.40M,252.80M,,,490.00M,-400.00M,-9.80M,33.00M,0.70M,,AOR,Restated
2011-06,115.30M,,,2.60M,19.90M,22.50M,22.50M,20.50M,-1.50M,0.00,6.80M,-1.60M,-7.80M,-12.00M,55.00M,38.50M,,-83.70M,-2.20M,8.30M,160.30M,,-17.30M,-8.70M,-0.20M,0.00,,-17.50M,,0.00,-40.00M,-40.00M,,-19.30M,-19.30M,,-18.40M,21.30M,2.30M,-54.10M,,151.30M,88.70M,1.50M,241.50M,,,0.00,-40.00M,-19.30M,27.00M,4.50M,,AOR,Restated
2011-03,32.60M,,,15.60M,5.70M,21.30M,21.30M,-5.80M,-2.10M,0.00,8.30M,-0.30M,0.80M,-94.80M,31.70M,-40.00M,,60.30M,-42.80M,2.50M,14.50M,,-13.70M,-6.70M,-197.60M,0.00,,-211.30M,,0.00,240.00M,240.00M,,-82.00M,-82.00M,,-18.70M,18.20M,0.90M,158.40M,,187.80M,-38.40M,1.90M,151.30M,,,240.00M,0.00,-82.00M,13.30M,0.50M,,AOR,Restated
2010-12,10.60M,,,14.80M,1.70M,16.50M,16.50M,-0.80M,0.00,0.00,8.70M,-0.20M,0.00,2.50M,11.30M,18.80M,,-16.00M,16.60M,1.10M,52.50M,,-9.20M,-1.90M,-18.30M,,,-27.50M,,0.00,0.00,0.00,,-5.50M,-5.50M,,-18.90M,4.30M,0.70M,-19.40M,,180.70M,5.60M,1.50M,187.80M,,,0.00,0.00,-5.50M,3.80M,4.20M,,AOR,Restated
2010-09,13.30M,,,10.10M,1.90M,12.00M,12.00M,-1.10M,3.60M,,6.20M,0.00,1.60M,64.50M,-105.50M,-9.30M,,-9.80M,-60.10M,11.50M,-13.00M,,-7.10M,-0.80M,-77.40M,,,-84.50M,,0.00,0.00,0.00,,-115.30M,-115.30M,,-18.80M,4.00M,-0.10M,-137.40M,,412.60M,-234.90M,3.00M,180.70M,,,0.00,0.00,-115.30M,14.30M,0.50M,,AOR,Restated
2010-06,-73.80M,,,-30.30M,-12.20M,-1.20M,-1.20M,20.90M,,,6.30M,2.70M,186.30M,2.80M,29.60M,58.00M,,-68.00M,22.40M,112.70M,292.00M,,-24.10M,-3.90M,-23.90M,,,-48.00M,,,0.00,0.00,,-126.40M,-126.40M,,-19.00M,17.20M,-2.70M,-135.40M,,305.80M,108.60M,-1.80M,412.60M,,,0.00,,-126.40M,25.40M,5.80M,,AOR,Restated
2010-03,30.80M,,,30.30M,12.20M,14.30M,14.30M,3.30M,,,7.70M,-2.20M,2.00M,-40.90M,40.10M,-63.40M,,70.30M,6.10M,-251.50M,-189.50M,,-14.80M,-5.30M,-5.50M,,,-20.30M,,,-0.60M,-0.60M,,-10.60M,-10.60M,,-18.80M,12.10M,2.20M,-5.90M,,522.60M,-215.70M,-1.10M,305.80M,,,-0.60M,,-10.60M,10.90M,0.40M,,AOR,Restated
2009-12,51.50M,,,,,14.50M,14.50M,-18.00M,,,7.50M,-0.60M,2.10M,-6.80M,24.00M,33.20M,,-18.50M,31.90M,304.20M,393.10M,,-10.50M,-1.10M,-5.80M,,,-16.30M,,,0.60M,0.60M,,-60.00M,-60.00M,,-19.00M,13.80M,0.60M,-87.10M,,231.50M,289.70M,1.40M,522.60M,,,0.60M,,-60.00M,38.80M,4.30M,,AOR,Restated
2009-09,26.60M,,,,,13.70M,13.70M,-2.80M,,,5.80M,-0.10M,0.70M,72.70M,-76.00M,-23.60M,,12.90M,-14.00M,-31.90M,-2.00M,,-3.70M,-0.10M,0.00,,,-3.70M,,,,,,-71.90M,-71.90M,,-9.80M,14.10M,0.10M,-45.30M,,280.90M,-51.00M,1.60M,231.50M,,,,,-71.90M,32.80M,0.60M,,AOR,Restated
2009-06,115.80M,,0.00,,,13.60M,13.60M,7.30M,,,7.00M,-0.30M,4.20M,-35.80M,43.80M,40.70M,-48.90M,-1.00M,-1.20M,-98.80M,47.60M,,-14.50M,-1.10M,-45.90M,,,-60.40M,,0.00,,0.00,,-17.60M,-17.60M,,-9.80M,3.50M,0.30M,-23.60M,,310.30M,-36.40M,7.00M,280.90M,,,,0.00,-17.60M,21.60M,14.50M,,AOR,Restated
2009-03,41.20M,,0.00,,,13.20M,13.20M,1.80M,,,6.30M,0.00,-0.30M,-61.60M,14.10M,-41.50M,58.00M,6.90M,-24.10M,-3.80M,34.30M,,-7.50M,-1.30M,-0.20M,,,-7.70M,,0.00,,0.00,,-6.20M,-6.20M,,-9.80M,1.20M,0.00,-14.30M,,299.10M,12.30M,-1.10M,310.30M,,,,0.00,-6.20M,107.60M,,,AOR,Restated
2008-12,30.50M,,0.00,,,12.70M,12.70M,-4.60M,,,9.60M,0.00,-2.80M,734.90M,-801.50M,365.60M,9.20M,-14.60M,293.60M,184.20M,523.20M,,-5.20M,-0.60M,0.00,,,-5.20M,,0.00,-253.30M,-253.30M,,-11.20M,-11.20M,,-9.90M,0.00,0.00,-283.10M,,68.00M,234.90M,-3.80M,299.10M,,,-253.30M,0.00,-11.20M,-45.70M,-5.80M,,AOR,Restated
2008-09,35.60M,,-8.40M,,,14.20M,14.20M,0.80M,,,5.70M,-0.10M,-1.90M,-605.80M,709.40M,-387.80M,-9.20M,1.20M,-292.20M,,-246.30M,,-2.70M,-0.10M,-14.70M,,,-17.40M,,-114.40M,253.30M,138.90M,,-0.50M,-0.50M,,-8.40M,2.30M,0.10M,132.40M,,198.30M,-131.30M,1.00M,68.00M,,,253.30M,-114.40M,-0.50M,45.70M,5.80M,,AOR,Restated
2008-06,97.80M,,,,,13.90M,13.90M,0.40M,,,10.60M,-1.70M,2.10M,290.70M,-334.90M,38.10M,-83.70M,-10.80M,-100.60M,,22.50M,,-14.70M,-1.50M,0.00,,,-14.70M,,-35.00M,-42.40M,-77.40M,,0.00,0.00,,-8.40M,6.20M,1.40M,-78.20M,,269.80M,-70.40M,-1.10M,198.30M,,,0.00,-77.40M,0.00,17.80M,28.70M,,AOR,Restated
2008-03,29.50M,,,,,12.80M,12.80M,0.30M,,,9.10M,0.00,2.00M,-79.10M,612.30M,-74.20M,84.30M,15.20M,558.50M,,612.20M,,-13.40M,-1.80M,0.00,,,-13.40M,,-40.00M,-389.20M,-429.20M,,-1.50M,-1.50M,,-8.40M,4.50M,0.30M,-434.30M,,104.20M,164.50M,1.10M,269.80M,,,-295.00M,-134.20M,-1.50M,26.50M,-5.80M,,AOR,Restated
2007-12,28.90M,,,,,12.40M,12.40M,-7.70M,,,9.40M,0.00,3.20M,-332.90M,-14.50M,36.20M,,-7.50M,-318.70M,,-272.50M,,-12.40M,-0.70M,0.00,,,-12.40M,,-10.00M,312.00M,302.00M,,0.10M,0.10M,,-8.40M,8.80M,,302.50M,,86.40M,17.60M,0.20M,104.20M,,,295.00M,7.00M,0.10M,53.30M,22.50M,,AOR,Restated
2007-09,36.00M,,,,,12.40M,12.40M,-8.00M,,,5.60M,0.00,-0.30M,79.60M,-31.30M,36.20M,,-10.40M,74.10M,,119.80M,,-6.00M,-1.10M,-6.10M,,,-12.10M,,-85.00M,-17.00M,-102.00M,,-0.50M,-0.50M,,-8.40M,0.50M,,-110.40M,,88.60M,-2.70M,0.50M,86.40M,,,,-102.00M,-0.50M,61.50M,13.80M,,AOR,Restated
2007-06,98.70M,,,-29.30M,-14.80M,18.40M,18.40M,4.70M,,,,,77.40M,-431.00M,274.30M,63.10M,,-60.10M,-138.60M,,84.90M,,-13.90M,-1.60M,0.00,,,-13.90M,,58.40M,-200.90M,-142.50M,,0.00,0.00,,0.00,,112.40M,-25.80M,,43.20M,45.20M,0.20M,88.60M,,,817.80M,-189.30M,0.00,,,,AOR,Restated
