,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2017-03,238.10M,238.10M,914.40M,119.20M,1.034B,232.70M,71.10M,242.20M,546.00M,138.20M,,7.40M,2.841B,0.00,68.70M,342.00M,958.30M,,75.70M,1.445B,-892.80M,551.90M,4.295B,1.622B,5.918B,,,102.50M,2.405B,8.977B,2017-03,387.30M,62.90M,98.30M,548.50M,132.60M,681.10M,0.70M,,0.70M,35.90M,35.90M,531.90M,1.398B,4.529B,,4.529B,602.20M,,647.60M,258.60M,,6.046B,7.443B,,2017-03,1.90M,,,,,-659.00M,4.375B,,2017-03,AOR,Restated
2016-12,238.50M,238.50M,764.00M,107.70M,871.70M,223.50M,67.30M,233.40M,524.20M,135.90M,,9.80M,2.672B,0.00,66.20M,335.00M,932.50M,,68.60M,1.402B,-863.70M,538.60M,4.217B,1.632B,5.849B,,,86.90M,2.388B,8.863B,2016-12,436.60M,61.80M,87.30M,585.70M,142.50M,728.20M,0.80M,,0.80M,22.50M,22.50M,553.60M,1.471B,4.278B,,4.278B,609.50M,,657.40M,253.40M,5.40M,5.809B,7.280B,,2016-12,1.80M,,,,,-736.30M,4.254B,,2016-12,AOR,Restated
2016-09,170.90M,170.90M,689.50M,134.60M,824.10M,235.70M,72.90M,247.60M,556.20M,92.20M,44.30M,16.60M,2.747B,0.00,67.30M,338.30M,929.90M,,79.70M,1.415B,-867.90M,547.30M,4.252B,1.683B,5.935B,,,50.00M,2.40B,8.932B,2016-09,348.20M,0.00,,348.20M,112.30M,460.50M,,,,24.80M,24.80M,643.50M,1.288B,4.411B,,4.411B,636.40M,,684.30M,248.50M,,6.036B,7.324B,,2016-09,1.80M,,,,,-616.50M,4.355B,,2016-09,AOR,Restated
2016-06,173.30M,173.30M,1.086B,135.90M,1.222B,427.00M,236.70M,469.50M,1.133B,130.20M,118.10M,15.90M,2.793B,0.00,157.90M,520.50M,1.237B,,80.20M,1.995B,-1.058B,937.60M,5.232B,2.420B,7.651B,109.00M,,61.90M,191.40M,8.951B,2016-06,531.70M,61.60M,,593.30M,59.70M,653.00M,,,,100.90M,100.90M,445.70M,1.416B,4.552B,,4.552B,815.20M,,815.20M,282.00M,,6.162B,7.578B,,2016-06,1.80M,,,,,-646.60M,4.166B,,2016-06,AOR,Restated
2016-03,158.10M,158.10M,1.269B,122.20M,1.391B,461.90M,244.50M,491.30M,1.198B,128.10M,114.60M,16.50M,3.006B,0.00,160.70M,511.30M,1.235B,,88.60M,1.996B,-1.044B,951.80M,5.25B,2.461B,7.711B,110.30M,,63.80M,187.40M,9.024B,2016-03,579.00M,59.60M,,638.60M,59.50M,698.10M,0.70M,,0.70M,121.30M,121.30M,424.90M,1.468B,4.837B,,4.837B,828.70M,,828.70M,285.90M,,6.478B,7.946B,,2016-03,1.80M,,,,,-631.70M,4.084B,,2016-03,AOR,Restated
2015-12,126.30M,126.30M,773.20M,114.40M,887.60M,243.90M,74.40M,246.40M,564.70M,59.90M,,45.70M,2.778B,0.00,86.60M,338.90M,960.20M,,68.30M,1.454B,-914.20M,539.80M,4.259B,1.747B,6.006B,,,53.00M,2.457B,9.056B,2015-12,403.80M,59.60M,58.90M,522.30M,97.70M,620.00M,,,,32.00M,32.00M,671.90M,1.486B,4.686B,,4.686B,670.20M,,721.00M,244.60M,,6.338B,7.825B,,2015-12,1.80M,,,,,-645.00M,4.009B,,2015-12,AOR,Restated
2015-09,144.90M,144.90M,1.136B,125.60M,1.262B,445.90M,277.30M,573.00M,1.296B,111.20M,126.30M,22.60M,2.964B,0.00,145.10M,507.10M,1.283B,,75.00M,2.010B,-1.088B,921.40M,5.827B,2.516B,8.343B,111.30M,,92.10M,238.90M,9.707B,2015-09,531.00M,57.70M,,588.70M,61.10M,649.80M,3.20M,,3.20M,137.70M,137.70M,440.90M,1.496B,4.983B,,4.983B,827.90M,,827.90M,301.60M,,6.639B,8.135B,,2015-09,1.80M,0.00,,,,-620.30M,4.536B,,2015-09,AOR,Restated
2015-06,147.30M,147.30M,1.171B,116.40M,1.287B,458.00M,255.80M,486.60M,1.200B,100.00M,134.50M,33.00M,2.903B,0.00,147.60M,483.20M,1.198B,,63.80M,1.893B,-984.10M,908.50M,4.732B,1.587B,6.320B,112.40M,,86.00M,235.40M,7.662B,2015-06,525.90M,57.60M,,583.50M,65.90M,649.40M,5.30M,,5.30M,153.90M,153.90M,401.40M,1.46B,3.261B,,3.261B,465.10M,,465.10M,305.10M,,4.553B,6.013B,,2015-06,2.00M,1.218B,,,,-533.80M,4.552B,,2015-06,AOR,Restated
2015-03,131.10M,131.10M,1.248B,108.90M,1.356B,447.60M,244.50M,484.90M,1.177B,149.60M,132.30M,21.70M,2.977B,0.00,157.30M,476.10M,1.164B,,69.40M,1.867B,-951.40M,915.40M,4.672B,1.559B,6.231B,112.90M,,87.30M,246.00M,7.592B,2015-03,504.90M,57.50M,,562.40M,65.20M,627.60M,5.60M,,5.60M,161.80M,161.80M,381.20M,1.431B,3.403B,,3.403B,516.30M,,516.30M,300.90M,,4.715B,6.146B,,2015-03,2.00M,1.231B,,,,-554.60M,4.423B,,2015-03,AOR,Restated
2014-12,110.40M,110.40M,1.206B,103.50M,1.309B,460.10M,229.00M,441.30M,1.130B,109.60M,139.40M,14.30M,2.894B,0.00,165.10M,493.50M,1.169B,,71.00M,1.899B,-948.70M,950.00M,4.742B,1.608B,6.35B,115.80M,,87.90M,257.40M,7.761B,2014-12,583.10M,116.80M,,699.90M,66.40M,766.30M,6.70M,,6.70M,154.10M,154.10M,406.90M,1.640B,2.997B,,2.997B,528.30M,,528.30M,322.00M,,4.352B,5.991B,,2014-12,2.00M,1.252B,,,,-380.30M,4.664B,,2014-12,AOR,Restated
2014-09,156.60M,156.60M,1.181B,108.30M,1.289B,464.50M,249.80M,485.10M,1.199B,114.70M,145.60M,17.70M,3.052B,0.00,175.50M,506.00M,1.177B,,78.00M,1.937B,-946.10M,990.80M,4.793B,1.649B,6.441B,116.10M,,93.10M,233.30M,7.874B,2014-09,527.20M,168.10M,,695.30M,54.30M,749.60M,2.50M,,2.50M,148.60M,148.60M,480.60M,1.669B,2.961B,,2.961B,558.40M,,558.40M,279.10M,,4.291B,5.960B,,2014-09,2.10M,1.268B,,,,-232.70M,4.967B,,2014-09,AOR,Restated
2014-06,174.40M,174.40M,1.302B,115.90M,1.418B,571.70M,163.80M,528.80M,1.264B,132.50M,157.50M,19.10M,3.166B,0.00,244.00M,524.70M,1.253B,,83.10M,2.105B,-953.30M,1.152B,5.097B,1.718B,6.815B,118.60M,,117.70M,247.60M,8.451B,2014-06,587.00M,231.10M,,818.10M,56.40M,874.50M,6.10M,,6.10M,156.80M,156.80M,441.20M,1.777B,2.739B,,2.739B,608.60M,,608.60M,291.40M,,4.121B,5.898B,,2014-06,2.10M,1.275B,,,,-54.70M,5.719B,,2014-06,AOR,Restated
2014-03,211.10M,211.10M,1.411B,108.70M,1.519B,564.20M,164.80M,542.60M,1.272B,123.80M,160.90M,18.50M,3.305B,0.00,242.50M,523.00M,1.238B,,76.50M,2.08B,-918.00M,1.162B,5.099B,1.748B,6.847B,119.30M,,136.30M,197.00M,8.461B,2014-03,575.40M,48.70M,,624.10M,56.00M,680.10M,2.80M,,2.80M,147.40M,147.40M,403.20M,1.528B,2.934B,,2.934B,599.50M,,599.50M,318.60M,,4.302B,5.830B,,2014-03,113.50M,1.105B,,,,-71.30M,5.936B,,2014-03,AOR,Restated
2013-12,256.00M,256.00M,1.285B,91.60M,1.377B,549.80M,164.40M,480.90M,1.195B,97.60M,149.70M,22.70M,3.232B,0.00,186.40M,502.60M,1.155B,,70.90M,1.915B,-870.70M,1.044B,4.861B,1.750B,6.611B,119.60M,,92.40M,644.30M,8.511B,2013-12,576.90M,98.70M,,675.60M,56.00M,731.60M,2.50M,,2.50M,126.20M,126.20M,437.50M,1.610B,2.548B,,2.548B,557.00M,,557.00M,320.20M,,3.915B,5.526B,,2013-12,113.50M,875.10M,,,,-43.60M,6.095B,,2013-12,AOR,Restated
2013-09,237.70M,237.70M,1.299B,142.70M,1.442B,581.60M,193.80M,520.70M,1.296B,108.90M,106.30M,20.40M,3.211B,0.00,248.50M,508.40M,1.156B,,121.00M,2.034B,-862.40M,1.172B,5.122B,1.817B,6.939B,,,,481.80M,8.593B,2013-09,579.40M,149.50M,,728.90M,56.00M,784.90M,3.00M,,3.00M,204.40M,204.40M,368.60M,1.678B,2.571B,,2.571B,497.80M,,497.80M,388.20M,,3.924B,5.602B,,2013-09,113.50M,727.20M,,,,-41.70M,6.082B,,2013-09,AOR,Restated
2013-06,253.10M,253.10M,1.306B,134.40M,1.440B,610.10M,196.70M,511.50M,1.318B,102.70M,81.20M,21.30M,3.216B,0.00,238.30M,481.80M,1.125B,,130.30M,1.976B,-789.50M,1.186B,4.965B,1.837B,6.801B,156.50M,,102.10M,204.20M,8.450B,2013-06,593.90M,199.20M,,793.10M,55.60M,848.70M,2.90M,,2.90M,203.90M,203.90M,338.70M,1.687B,2.737B,,2.737B,498.00M,,498.00M,374.50M,,4.037B,5.724B,,2013-06,113.50M,721.10M,,,,-129.00M,5.826B,,2013-06,AOR,Restated
2013-03,215.00M,215.00M,1.404B,138.00M,1.542B,616.00M,190.00M,521.00M,1.327B,100.00M,79.00M,27.00M,3.29B,0.00,247.00M,474.00M,1.087B,,131.00M,1.939B,-717.00M,1.222B,4.867B,1.859B,6.726B,157.00M,,100.00M,226.00M,8.431B,2013-03,580.00M,47.00M,,627.00M,53.00M,680.00M,6.00M,,6.00M,199.00M,199.00M,334.00M,1.483B,2.592B,,2.592B,481.00M,,481.00M,370.00M,,3.895B,5.378B,,2013-03,113.00M,406.00M,,,,-87.00M,6.228B,,2013-03,AOR,Restated
2012-12,261.30M,261.30M,1.275B,124.40M,1.399B,615.10M,207.60M,511.20M,1.334B,89.00M,82.60M,38.50M,3.204B,0.00,248.60M,474.40M,1.073B,,102.90M,1.899B,-710.70M,1.188B,5.111B,1.927B,7.038B,131.00M,,68.70M,252.60M,8.678B,2012-12,567.00M,95.00M,,662.00M,54.30M,716.30M,3.10M,,3.10M,188.30M,188.30M,440.70M,1.645B,2.454B,,2.454B,421.90M,,421.90M,378.80M,,3.750B,5.395B,,2012-12,113.50M,315.50M,,,,-11.60M,6.371B,,2012-12,AOR,Restated
2012-09,642.57M,642.57M,1.353B,,1.320B,599.26M,221.15M,559.56M,1.380B,266.81M,131.53M,,3.740B,0.00,159.12M,549.39M,994.35M,,133.05M,1.836B,-679.57M,1.156B,4.767B,1.955B,6.721B,,,,354.53M,8.232B,2012-09,602.71M,143.00M,0.00,745.71M,218.14M,963.85M,501.39M,,501.39M,,,347.89M,2.132B,1.495B,,1.495B,539.45M,,539.45M,411.14M,,2.774B,4.906B,,2012-09,113.45M,119.40M,,,,5.178B,6.848B,,2012-09,AOR,Restated
2012-06,60.60M,60.60M,605.10M,,572.14M,227.78M,50.86M,181.40M,460.04M,124.34M,58.90M,,1.276B,0.00,40.52M,251.98M,713.82M,,34.70M,1.041B,-659.95M,381.06M,2.255B,570.50M,2.826B,,,,103.54M,3.310B,2012-06,288.26M,,32.23M,320.49M,90.80M,411.30M,1.415M,,1.415M,,,150.44M,661.72M,1.234B,,1.234B,190.17M,,190.17M,277.24M,,1.807B,2.468B,,2012-06,16.53M,,,,,-192.10M,2.002B,,2012-06,AOR,Restated
2012-03,55.44M,55.44M,,,680.26M,223.71M,50.89M,200.80M,475.40M,115.70M,62.40M,,1.389B,,,,,,,,,393.34M,2.297B,594.93M,2.892B,,,,103.56M,3.389B,2012-03,293.40M,,25.15M,318.55M,74.41M,392.96M,20.40M,,20.40M,,,150.14M,659.32M,1.395B,,1.395B,194.47M,,194.47M,282.47M,,1.975B,2.635B,,2012-03,16.51M,,,,,-110.06M,2.027B,,2012-03,AOR,Restated
2011-12,50.08M,50.08M,569.20M,54.70M,623.90M,219.49M,47.71M,182.67M,449.86M,42.83M,60.90M,10.26M,1.238B,0.00,41.11M,244.25M,692.93M,,40.25M,1.019B,-631.01M,387.52M,2.274B,592.28M,2.866B,,,0.00,94.75M,3.348B,2011-12,294.86M,0.00,,294.86M,29.36M,324.21M,4.862M,,4.862M,27.88M,27.88M,166.47M,641.84M,1.304B,,1.304B,188.96M,0.00,188.96M,280.39M,,1.897B,2.539B,,2011-12,47.53M,0.00,,,,-37.73M,1.933B,,2011-12,AOR,Restated
2011-09,52.66M,52.66M,,,556.69M,236.16M,49.39M,174.36M,459.92M,147.57M,61.41M,,1.278B,,,,,,,,,394.92M,2.517B,619.26M,3.136B,,,,73.32M,3.604B,2011-09,281.45M,,26.28M,307.73M,89.15M,396.88M,30.90M,,30.90M,,,163.55M,717.60M,1.317B,,1.317B,228.74M,,228.74M,217.15M,,1.867B,2.584B,,2011-09,16.43M,,,,,-48.04M,2.183B,,2011-09,AOR,Restated
2011-06,68.97M,68.97M,595.41M,,595.41M,246.41M,49.52M,188.87M,484.80M,124.63M,60.83M,,1.335B,,,,,,,,,410.55M,2.573B,654.91M,3.228B,,,,78.79M,3.718B,2011-06,315.40M,,21.50M,336.90M,98.56M,435.46M,22.74M,,22.74M,,,144.37M,711.40M,1.384B,,1.384B,235.42M,,235.42M,244.98M,,1.974B,2.685B,,2011-06,16.46M,,,,,41.90M,2.249B,,2011-06,AOR,Restated
2011-03,57.13M,57.13M,,,625.86M,217.86M,45.55M,148.36M,411.77M,57.95M,56.37M,,1.209B,,,,,,,,,338.61M,2.097B,461.24M,2.559B,,,,56.33M,2.954B,2011-03,256.49M,,20.49M,276.98M,81.70M,358.68M,6.106M,,6.106M,,,97.53M,546.36M,802.32M,,802.32M,175.88M,,175.88M,246.05M,,1.334B,1.880B,,2011-03,16.40M,,,,,18.52M,2.167B,,2011-03,AOR,Restated
2010-12,46.06M,46.06M,553.25M,,516.90M,223.48M,37.75M,144.13M,405.36M,44.63M,56.35M,,1.069B,0.00,36.48M,212.17M,598.55M,,33.84M,881.05M,-551.61M,329.44M,2.066B,453.57M,2.520B,,,,55.19M,2.904B,2010-12,262.36M,,5.964M,268.32M,75.85M,344.18M,4.951M,,4.951M,,,80.94M,546.80M,702.52M,,702.52M,169.20M,,169.20M,240.18M,,1.222B,1.769B,,2010-12,16.40M,,,,,-22.34M,2.093B,,2010-12,AOR,Restated
2010-09,57.00M,57.00M,490.22M,,490.22M,222.96M,42.78M,144.33M,410.07M,48.56M,50.99M,,1.057B,,,,,,,,,327.60M,2.071B,461.38M,2.532B,,,,56.03M,2.916B,2010-09,266.42M,,22.20M,288.62M,79.85M,368.47M,4.217M,,4.217M,,,90.29M,572.54M,673.26M,,673.26M,147.77M,,147.77M,247.97M,,1.187B,1.759B,,2010-09,16.49M,,,,,-4.955M,2.098B,,2010-09,AOR,Restated
2010-06,38.58M,38.58M,,,475.68M,211.25M,39.53M,138.64M,389.43M,42.88M,49.06M,,995.62M,,,,,,,,,318.12M,2.033B,451.81M,2.485B,,,,54.08M,2.857B,2010-06,248.68M,,23.25M,271.93M,172.82M,444.75M,2.483M,,2.483M,,,78.50M,525.73M,734.47M,,734.47M,164.80M,,164.80M,242.96M,,1.235B,1.761B,,2010-06,16.45M,,,,,-77.01M,1.981B,,2010-06,AOR,Restated
2010-03,46.78M,46.78M,,,550.83M,198.74M,39.98M,124.94M,363.67M,43.58M,49.66M,,1.055B,,,,,,,,,330.20M,2.068B,472.40M,2.540B,,,,56.22M,2.927B,2010-03,229.50M,,8.571M,238.07M,148.90M,386.97M,3.782M,,3.782M,,,86.76M,477.52M,862.35M,,862.35M,171.50M,,171.50M,262.36M,,1.392B,1.869B,,2010-03,16.44M,,,,,-11.80M,1.999B,,2010-03,AOR,Restated
2009-12,33.40M,33.40M,482.17M,,455.09M,200.93M,38.34M,121.36M,360.63M,47.58M,49.61M,,946.30M,0.00,36.64M,213.45M,586.76M,,28.41M,865.26M,-531.57M,333.69M,2.089B,486.41M,2.575B,,,,56.14M,2.965B,2009-12,207.66M,,5.659M,213.32M,61.84M,275.16M,2.286M,,2.286M,,,85.63M,446.28M,803.35M,,803.35M,146.63M,,146.63M,266.74M,,1.339B,1.785B,,2009-12,16.44M,,,,,20.60M,2.012B,,2009-12,AOR,Restated
2009-09,50.21M,50.21M,,,423.12M,188.74M,42.38M,135.30M,366.42M,48.45M,53.00M,,941.20M,,,,,,,,,339.41M,2.127B,506.84M,2.634B,,,,67.72M,3.041B,2009-09,199.00M,,24.30M,223.30M,148.28M,371.59M,0.114M,,0.114M,,,95.37M,467.07M,814.86M,,814.86M,181.78M,,181.78M,296.49M,,1.396B,1.863B,,2009-09,16.39M,,,,,31.70M,2.001B,,2009-09,AOR,Restated
