,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2015-09,21.00M,,-0.20M,,0.40M,-7.00M,-11.80M,-18.80M,-18.80M,-5.80M,,8.10M,-1.40M,-4.00M,44.40M,64.90M,,-2.20M,-0.70M,-4.50M,43.20M,51.00M,210.40M,,2015-09,0.50M,-19.50M,-19.50M,-1.814B,,-1.846B,,2015-09,1.728B,-1.70M,1.726B,,0.00,0.00,-57.70M,-57.70M,4.60M,1.647B,,2015-09,147.30M,-13.80M,144.90M,,2015-09,,1.728B,-2.00M,,2015-09,AOR,Restated
2015-06,153.90M,,-0.60M,,-7.70M,34.40M,28.00M,62.40M,62.40M,-0.80M,,9.70M,-1.80M,7.90M,88.50M,-9.40M,,16.80M,35.40M,-8.50M,-17.20M,-2.60M,318.70M,,2015-06,-32.00M,20.80M,20.80M,-96.00M,,-103.60M,,2015-06,-146.50M,-0.30M,-146.80M,,0.00,0.00,-58.10M,-58.10M,8.60M,-194.50M,,2015-06,131.10M,-4.40M,147.30M,,2015-06,,-142.60M,-4.20M,,2015-06,AOR,Restated
2015-03,118.20M,,-0.50M,,-1.70M,32.40M,27.60M,60.00M,60.00M,5.70M,,9.70M,-2.80M,6.90M,-85.80M,-88.20M,,-60.20M,-71.00M,38.80M,-48.90M,-7.00M,-133.20M,,2015-03,-34.80M,2.30M,2.30M,-3.00M,,19.40M,,2015-03,405.60M,,405.60M,,-200.00M,-200.00M,-57.50M,-57.50M,8.70M,159.60M,,2015-03,110.40M,-25.10M,131.10M,,2015-03,,406.00M,-0.40M,,2015-03,AOR,Restated
2014-12,-120.60M,0.20M,-0.30M,,56.20M,-24.20M,-25.30M,-49.50M,-49.50M,-29.70M,,8.80M,-2.60M,-27.40M,-56.20M,69.30M,,39.70M,11.00M,-35.00M,109.00M,337.20M,325.00M,,2014-12,8.80M,-2.20M,-2.20M,-12.30M,,-40.80M,,2014-12,41.00M,0.20M,41.20M,,-300.00M,-300.00M,-55.20M,-55.20M,6.70M,-307.80M,,2014-12,156.60M,-22.60M,110.40M,,2014-12,,44.80M,-3.60M,,2014-12,AOR,Restated
2014-09,192.50M,-0.20M,-0.30M,,0.50M,34.60M,28.40M,63.00M,63.00M,-3.00M,,8.30M,-2.20M,6.10M,31.20M,-12.00M,,-25.10M,12.10M,2.70M,3.00M,-2.10M,268.90M,,2014-09,-32.90M,1.40M,1.40M,0.00,,-30.90M,,2014-09,227.10M,-3.60M,223.50M,,-399.30M,-399.30M,-57.10M,-57.10M,-1.20M,-231.90M,,2014-09,164.50M,-14.00M,156.60M,,2014-09,,223.80M,-0.30M,,2014-09,AOR,Restated
2014-06,159.20M,0.20M,-0.30M,,0.10M,34.50M,29.00M,63.50M,63.50M,11.10M,,9.10M,-1.70M,7.40M,117.20M,8.00M,,26.40M,-16.70M,59.30M,-5.30M,-17.90M,412.00M,,2014-06,-32.40M,2.30M,2.30M,0.00,,-29.30M,,2014-06,-195.40M,3.90M,-191.50M,,-198.50M,-198.50M,-49.90M,-49.90M,7.50M,-430.70M,,2014-06,203.90M,8.60M,164.50M,,2014-06,,-179.50M,-12.00M,,2014-06,AOR,Restated
2014-03,125.50M,,-0.30M,,-0.30M,34.80M,28.50M,63.30M,63.30M,-1.40M,,7.40M,-6.10M,1.30M,-76.90M,-34.50M,,-35.70M,-32.20M,33.40M,-55.50M,15.20M,2.50M,,2014-03,-27.20M,0.40M,0.40M,0.00,,-27.30M,,2014-03,381.30M,,381.30M,,-252.20M,-252.20M,-49.20M,-49.20M,24.00M,-24.70M,,2014-03,256.00M,-2.60M,203.90M,,2014-03,,382.20M,-0.90M,,2014-03,AOR,Restated
2013-12,164.40M,-4.00M,-0.30M,,-39.50M,32.40M,27.40M,59.80M,59.80M,31.20M,,5.80M,-9.40M,-51.90M,-66.20M,48.10M,,24.40M,4.50M,29.40M,90.40M,-26.00M,293.90M,,2013-12,-43.70M,2.30M,2.30M,4.60M,,-34.30M,,2013-12,-18.80M,,-18.80M,,-175.50M,-175.50M,-50.30M,-50.30M,9.20M,-226.00M,,2013-12,219.20M,3.20M,256.00M,,2013-12,,-17.60M,-1.20M,,2013-12,AOR,Restated
2013-09,144.40M,-0.10M,-0.60M,,2.00M,35.20M,26.00M,61.20M,61.20M,5.50M,,7.20M,-1.20M,6.00M,14.90M,-12.40M,,-18.40M,-8.90M,9.00M,22.00M,22.60M,247.90M,,2013-09,-38.30M,0.10M,0.10M,0.90M,,-37.50M,,2013-09,-167.50M,,-167.50M,,-56.70M,-56.70M,-49.90M,-49.90M,30.70M,-242.20M,,2013-09,253.10M,21.80M,219.20M,,2013-09,,-167.10M,-0.40M,,2013-09,AOR,Restated
2013-06,155.40M,0.00,-0.90M,,0.30M,35.60M,38.90M,74.50M,74.50M,15.30M,,7.70M,-6.20M,1.50M,74.40M,-6.70M,,14.20M,20.40M,-6.10M,23.00M,,366.20M,,2013-06,-38.30M,2.70M,2.70M,-84.40M,,-120.90M,,2013-06,143.00M,,143.00M,,-343.30M,-343.30M,-46.80M,-46.80M,28.30M,-212.70M,,2013-06,214.50M,6.00M,253.10M,,2013-06,,147.10M,-4.10M,,2013-06,AOR,Restated
2013-03,53.30M,-16.70M,-0.20M,,-16.90M,38.10M,41.80M,79.90M,79.90M,2.00M,,10.40M,0.00,10.40M,-129.40M,29.10M,,20.90M,-21.70M,8.90M,-16.60M,,19.90M,,2013-03,-49.70M,0.90M,0.90M,30.00M,,-18.50M,,2013-03,140.80M,,140.80M,,-140.30M,-140.30M,-47.20M,-47.20M,11.80M,-38.20M,,2013-03,261.30M,-10.00M,214.50M,,2013-03,,142.50M,-1.70M,,2013-03,AOR,Restated
2012-12,-249.00M,0.00,0.00,,243.80M,36.60M,45.50M,82.10M,82.10M,-142.90M,,7.30M,-2.90M,-264.40M,3.90M,108.90M,,-23.10M,4.30M,30.50M,-67.10M,,-203.70M,,2012-12,-44.60M,0.40M,0.40M,-201.30M,,-248.30M,,2012-12,456.60M,0.00,456.60M,,-334.20M,-334.20M,-46.30M,-46.30M,46.20M,39.10M,,2012-12,642.60M,7.70M,237.40M,,2012-12,,758.00M,-301.40M,,2012-12,AOR,Restated
2012-09,32.60M,0.00,-0.60M,,-0.80M,15.90M,9.70M,25.60M,25.60M,0.30M,,18.40M,-0.40M,18.00M,32.80M,11.70M,,-26.40M,-3.50M,7.10M,-16.80M,,80.60M,,2012-09,-18.60M,0.20M,0.20M,691.70M,,673.30M,,2012-09,-157.40M,-0.20M,-157.60M,,0.00,0.00,-21.80M,-21.80M,5.70M,-173.30M,,2012-09,60.60M,1.40M,642.60M,,2012-09,,13.70M,-171.30M,,2012-09,AOR,Restated
2012-06,74.50M,0.00,0.30M,,-1.80M,16.70M,9.70M,26.40M,26.40M,3.70M,,5.10M,-0.70M,4.40M,94.50M,7.70M,,-0.30M,-4.00M,16.60M,13.10M,,234.80M,,2012-06,-15.30M,2.90M,2.90M,-19.90M,,-32.40M,,2012-06,-172.30M,-3.50M,-175.80M,,0.00,0.00,-22.30M,-22.30M,9.30M,-188.10M,,2012-06,55.00M,-8.80M,60.60M,,2012-06,,-40.60M,-135.20M,,2012-06,AOR,Restated
2012-03,63.00M,0.00,-2.00M,,-3.00M,16.00M,10.00M,26.00M,26.00M,0.00,,5.00M,-1.00M,4.00M,-100.00M,-20.00M,,-4.00M,3.00M,15.00M,-52.00M,,-68.00M,,2012-03,-16.00M,2.00M,2.00M,0.00,,-17.00M,,2012-03,104.00M,,104.00M,,0.00,0.00,-22.00M,-22.00M,7.00M,90.00M,,2012-03,50.00M,0.00,55.00M,,2012-03,,117.00M,-13.00M,,2012-03,AOR,Restated
2011-12,-175.42M,,-0.419M,,84.08M,17.12M,12.09M,29.21M,29.21M,-10.04M,,4.805M,-0.163M,-51.86M,-21.36M,2.667M,26.38M,3.299M,,-54.92M,20.91M,,79.64M,,2011-12,-20.24M,1.161M,1.161M,0.005M,,-21.63M,,2011-12,-9.13M,-25.97M,-35.10M,-11.79M,-0.015M,-11.80M,,-19.83M,,-53.30M,,2011-12,52.66M,-7.32M,50.10M,,2011-12,-11.79M,-780.62M,770.29M,,2011-12,AOR,Restated
2011-09,52.05M,,-0.574M,,-0.101M,16.39M,12.63M,29.02M,29.02M,1.433M,,4.168M,-1.672M,2.496M,23.77M,13.21M,-23.68M,-20.40M,,21.44M,-11.29M,,87.95M,,2011-09,-17.84M,0.05M,0.05M,0.00,,-18.35M,,2011-09,-60.90M,8.254M,-52.65M,2.237M,-12.50M,-10.26M,,-19.93M,,-81.42M,,2011-09,68.97M,-4.481M,52.66M,,2011-09,2.237M,49.47M,-110.37M,,2011-09,AOR,Restated
2011-06,68.14M,,-0.672M,,-0.45M,17.46M,10.78M,28.24M,28.24M,-0.833M,,4.802M,-0.908M,3.894M,100.39M,3.133M,6.25M,-10.59M,,17.23M,-14.61M,,200.79M,,2011-06,-21.95M,0.047M,0.047M,-718.25M,,-740.09M,,2011-06,560.17M,15.36M,575.53M,9.551M,0.037M,9.588M,,-19.90M,,557.41M,,2011-06,57.13M,-6.266M,68.97M,,2011-06,9.551M,1.072B,-511.42M,,2011-06,AOR,Restated
2011-03,52.03M,,-0.235M,,-0.228M,15.22M,6.401M,21.62M,21.62M,3.845M,,5.725M,-0.557M,5.168M,-101.50M,-0.708M,-8.946M,3.397M,,8.248M,-31.11M,,-48.18M,,2011-03,-13.27M,0.042M,0.042M,-14.86M,,-28.02M,,2011-03,99.37M,1.16M,100.53M,,-0.324M,-0.324M,,-19.84M,,80.92M,,2011-03,46.06M,6.367M,57.13M,,2011-03,,249.37M,-150.00M,,2011-03,AOR,Restated
2010-12,35.00M,1.666M,-0.302M,,35.76M,14.85M,6.442M,21.30M,21.30M,24.59M,,4.87M,-0.493M,-67.40M,-26.13M,5.327M,1.476M,-29.41M,,-16.29M,15.35M,,21.13M,,2010-12,-16.54M,0.018M,0.018M,,,-16.44M,,2010-12,29.11M,0.753M,29.87M,-7.861M,-21.93M,-29.79M,,-18.88M,,-13.01M,,2010-12,57.00M,-2.618M,46.06M,,2010-12,-7.861M,212.55M,-180.71M,,2010-12,AOR,Restated
2010-09,56.28M,-0.549M,-0.347M,,-0.673M,14.26M,6.385M,20.65M,20.65M,2.47M,,4.233M,-0.871M,3.362M,-2.778M,-11.17M,-3.353M,9.725M,,14.45M,3.869M,,92.83M,,2010-09,-14.04M,0.097M,0.097M,0.00,,-13.89M,,2010-09,-61.46M,1.86M,-59.60M,7.861M,-1.969M,5.892M,,-18.88M,,-71.73M,,2010-09,38.58M,11.20M,57.00M,,2010-09,7.861M,158.80M,-220.26M,,2010-09,AOR,Restated
2010-06,62.20M,-1.117M,-1.375M,,-1.878M,14.31M,6.611M,20.92M,20.92M,1.759M,,5.563M,-1.322M,4.241M,65.62M,-33.13M,-0.949M,45.43M,,2.627M,-0.125M,,166.73M,,2010-06,-16.88M,0.116M,0.116M,0.00,,-18.34M,,2010-06,-127.70M,-1.411M,-129.11M,1.938M,-0.817M,1.121M,,-18.86M,,-146.56M,,2010-06,46.78M,-10.03M,38.58M,,2010-06,1.938M,135.02M,-262.72M,,2010-06,AOR,Restated
2010-03,36.55M,,-0.084M,,-0.755M,14.56M,6.746M,21.31M,21.31M,0.637M,,6.802M,,6.802M,-99.05M,-5.525M,2.826M,29.57M,,-1.584M,-1.095M,,-10.31M,,2010-03,-12.06M,0.127M,0.127M,0.00,,-11.64M,,2010-03,58.98M,1.526M,60.50M,-1.938M,0.00,-1.938M,,-18.84M,,40.71M,,2010-03,33.40M,-5.366M,46.78M,,2010-03,-1.938M,200.00M,-141.02M,,2010-03,AOR,Restated
2009-12,27.53M,0.019M,0.688M,,1.716M,20.64M,18.60M,39.24M,39.24M,30.45M,,4.232M,-0.992M,3.24M,-35.41M,10.22M,0.141M,-11.23M,,6.501M,-52.68M,0.00,19.72M,,2009-12,-14.83M,0.391M,0.391M,0.061M,,-14.33M,,2009-12,-11.53M,2.221M,-9.307M,8.247M,0.00,8.247M,,-17.76M,-1.729M,-19.56M,,2009-12,50.21M,-2.644M,33.40M,,2009-12,8.247M,90.02M,-101.53M,,2009-12,AOR,Restated
2009-09,38.59M,-0.068M,0.135M,,0.329M,14.55M,7.453M,22.00M,22.00M,-0.294M,,4.005M,-0.172M,3.833M,45.16M,0.756M,2.529M,-8.896M,,-4.348M,13.96M,-0.123M,113.50M,,2009-09,-10.46M,0.254M,0.254M,1.506M,,-12.88M,,2009-09,-68.59M,-6.04M,-74.63M,-0.996M,0.00,-0.996M,,-17.73M,1.729M,-91.45M,,2009-09,38.12M,2.927M,50.21M,,2009-09,-0.996M,83.96M,-158.59M,,2009-09,AOR,Restated
