,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2012-03,858.00M,858.00M,577.00M,281.00M,174.00M,21.00M,0.00,15.00M,-15.00M,,195.00M,86.00M,15.00M,-15.00M,2.00M,-15.00M,73.00M,10.00M,63.00M,,,-1.00M,,62.00M,62.00M,88.00M,,2012-03,0.63,,0.63,,2012-03,0.62,,0.62,,2012-03,0.22,,2012-03,AOR,Restated
2011-12,865.71M,865.71M,600.86M,264.84M,232.54M,20.10M,,,-17.59M,,252.64M,12.20M,,-17.59M,-200.08M,-17.59M,-205.47M,-30.05M,-175.42M,,,-0.42M,,-175.84M,-175.84M,-185.00M,,2011-12,-1.783,,-1.783,,2011-12,-1.783,,-1.783,,2011-12,0.20,,2011-12,AOR,Restated
2011-09,890.55M,890.55M,618.48M,272.06M,159.07M,20.09M,,,-17.37M,,179.16M,92.90M,,-17.37M,0.574M,-17.37M,76.10M,24.05M,52.05M,,,-0.962M,,51.09M,51.09M,92.90M,,2011-09,0.5173,,0.5173,,2011-09,0.5173,,0.5173,,2011-09,0.20,,2011-09,AOR,Restated
2011-06,910.18M,910.18M,622.44M,287.74M,158.43M,19.88M,,,-14.61M,,178.31M,109.42M,,-14.61M,0.672M,-14.61M,95.48M,27.34M,68.14M,,,-1.425M,,66.71M,66.71M,109.42M,,2011-06,0.6778,,0.6778,,2011-06,0.6778,,0.6778,,2011-06,0.20,,2011-06,AOR,Restated
2011-03,790.27M,790.27M,541.21M,249.06M,144.76M,18.12M,,9.325M,-9.325M,,162.88M,86.18M,9.325M,-9.325M,0.235M,-9.325M,77.09M,25.05M,52.03M,,,-1.493M,,50.54M,50.54M,86.41M,,2011-03,0.5135,,0.5135,,2011-03,0.5135,,0.5135,,2011-03,0.20,,2011-03,AOR,Restated
2010-12,753.86M,753.86M,521.63M,232.23M,157.71M,16.08M,,,-9.067M,,173.80M,58.43M,,-9.067M,0.302M,-9.067M,49.67M,13.01M,36.66M,-2.292M,,-0.909M,,33.46M,35.75M,61.80M,,2010-12,0.3633,-0.0233,0.3400,,2010-12,0.3633,-0.0233,0.3400,,2010-12,0.19,,2010-12,AOR,Restated
2010-09,773.74M,773.74M,537.19M,236.54M,128.85M,16.86M,,,-8.953M,,145.72M,90.82M,,-8.953M,0.347M,-8.953M,82.22M,26.49M,55.73M,0.549M,,-1.228M,,55.05M,54.50M,90.82M,,2010-09,0.5522,0.0056,0.5578,,2010-09,0.5522,0.0056,0.5578,,2010-09,0.19,,2010-09,AOR,Restated
2010-06,796.17M,796.17M,548.00M,248.17M,131.04M,17.00M,,,8.569M,,148.04M,100.13M,,8.569M,-1.375M,8.569M,92.93M,31.32M,61.61M,0.593M,,-1.124M,,61.08M,60.49M,100.13M,,2010-06,0.61,0.01,0.62,,2010-06,0.61,0.00,0.61,,2010-06,0.19,,2010-06,AOR,Restated
2010-03,707.01M,707.01M,493.31M,213.70M,132.89M,17.21M,,,9.527M,,150.10M,63.60M,,9.527M,-0.084M,9.527M,54.16M,18.13M,36.03M,0.524M,,-1.232M,,35.32M,34.80M,63.60M,,2010-03,0.35,0.01,0.36,,2010-03,0.35,0.01,0.36,,2010-03,0.19,,2010-03,AOR,Restated
2009-12,702.25M,702.25M,489.79M,212.46M,145.35M,14.62M,0.00,,-9.79M,,159.96M,52.49M,,-9.79M,-0.688M,-9.79M,42.01M,14.62M,27.39M,0.134M,,1.824M,,29.35M,29.22M,47.31M,,2009-12,0.30,0.00,0.30,,2009-12,0.29,0.00,0.29,,2009-12,0.18,,2009-12,AOR,Restated
2009-09,662.66M,662.66M,455.70M,206.97M,125.58M,14.71M,,,-9.711M,,140.28M,66.68M,,-9.711M,-0.135M,-9.711M,56.84M,18.16M,38.68M,-0.085M,,-1.644M,,36.95M,37.03M,66.68M,,2009-09,0.38,0.00,0.38,,2009-09,0.38,0.00,0.38,,2009-09,0.18,,2009-09,AOR,Restated
2009-06,693.71M,693.71M,497.23M,196.48M,119.10M,13.82M,4.804M,,9.833M,,132.92M,63.56M,,9.833M,5.083M,9.833M,48.64M,16.22M,32.43M,-0.078M,,-0.421M,,31.93M,28.80M,63.56M,,2009-06,0.33,0.00,0.33,,2009-06,0.33,0.00,0.33,,2009-06,0.18,,2009-06,AOR,Restated
2009-03,633.84M,633.84M,464.61M,169.23M,117.28M,14.74M,,,11.78M,,132.02M,37.21M,,11.78M,0.277M,11.78M,25.15M,7.432M,17.72M,0.01M,,-0.466M,,17.26M,17.26M,37.21M,,2009-03,0.18,0.00,0.18,,2009-03,0.18,0.00,0.18,,2009-03,0.18,,2009-03,AOR,Restated
2008-12,767.64M,767.64M,538.14M,229.49M,169.15M,15.15M,209.97M,,-105.13M,,184.30M,45.20M,,-105.13M,204.49M,-105.13M,30.74M,9.245M,21.49M,-16.57M,,-0.333M,,4.589M,-125.66M,149.12M,,2008-12,0.22,-0.17,0.05,,2008-12,0.22,-0.17,0.05,,2008-12,0.17,,2008-12,,Restated
2008-09,855.82M,855.82M,599.86M,255.95M,154.12M,16.22M,4.611M,,13.74M,,170.34M,85.61M,,13.74M,5.28M,13.74M,66.59M,21.59M,45.00M,-1.782M,,-2.10M,,41.12M,39.79M,85.61M,,2008-09,0.44,-0.02,0.42,,2008-09,0.43,-0.02,0.41,,2008-09,0.17,,2008-09,,Restated
2008-06,898.38M,898.38M,619.97M,278.41M,166.04M,15.82M,109.65M,,-15.86M,,181.86M,96.55M,,-15.86M,108.80M,-15.86M,189.49M,49.65M,139.84M,-1.102M,,0.00,,138.74M,58.92M,96.55M,,2008-06,1.43,-0.01,1.42,,2008-06,1.41,-0.01,1.40,,2008-06,0.17,,2008-06,,Restated
2008-03,830.15M,830.15M,579.45M,250.69M,138.10M,15.26M,,,-16.09M,,153.37M,97.33M,,-16.09M,-0.917M,-16.09M,80.32M,27.86M,52.46M,-8.173M,,0.00,,44.29M,52.46M,97.33M,,2008-03,0.53,-0.08,0.45,,2008-03,0.53,-0.08,0.45,,2008-03,0.17,,2008-03,,Restated
2007-12,712.43M,712.43M,466.75M,245.68M,139.99M,12.62M,,,,,152.61M,93.08M,,,,,73.43M,23.48M,49.94M,-1.398M,,,,48.54M,49.94M,93.08M,,2007-12,0.51,-0.01,0.50,,2007-12,0.50,-0.01,0.49,,2007-12,0.15,,2007-12,,
2007-09,837.83M,837.83M,591.67M,246.17M,140.74M,14.45M,,,,,155.19M,90.98M,,,,,72.14M,14.10M,58.04M,,,,,58.04M,58.04M,90.98M,,2007-09,0.59,0.00,0.59,,2007-09,0.58,0.00,0.58,,2007-09,0.15,,2007-09,,
2007-06,922.64M,922.64M,639.20M,283.44M,153.79M,14.81M,,,,,168.60M,114.84M,,,,,95.96M,33.96M,62.00M,0.064M,,,,62.06M,62.00M,114.84M,,2007-06,0.63,0.00,0.63,,2007-06,0.62,0.00,0.62,,2007-06,0.15,,2007-06,,
2007-03,792.84M,792.84M,556.91M,235.93M,139.48M,14.95M,,,,,154.43M,81.50M,,,-0.957M,,65.83M,23.20M,42.63M,-0.356M,,,,42.27M,42.63M,81.50M,,2007-03,0.43,0.00,0.43,,2007-03,0.42,0.00,0.42,,2007-03,0.15,,2007-03,,
2006-12,611.17M,611.17M,412.80M,198.37M,119.72M,12.53M,0.197M,,,,132.25M,66.12M,,,-3.135M,,51.54M,10.44M,41.11M,-2.469M,,,,38.64M,40.95M,66.12M,,2006-12,0.39,0.00,0.39,,2006-12,0.39,0.00,0.39,,2006-12,0.14,,2006-12,,
2006-09,778.02M,778.02M,565.53M,212.49M,137.92M,14.27M,0.167M,,,,152.19M,60.29M,,,0.167M,,47.44M,14.00M,33.44M,1.40M,,,,34.84M,33.32M,60.29M,,2006-09,0.34,0.01,0.35,,2006-09,0.33,0.01,0.34,,2006-09,0.14,,2006-09,,
2006-06,862.02M,862.02M,599.33M,262.69M,139.83M,14.88M,,,,,154.71M,107.98M,,,,,95.42M,26.79M,68.63M,,,,,68.63M,68.63M,107.98M,,2006-06,0.68,0.00,0.68,,2006-06,0.67,0.00,0.67,,2006-06,0.14,,2006-06,,
2006-03,771.39M,771.39M,548.88M,222.51M,129.09M,14.86M,,,,,143.95M,78.56M,,,,,65.27M,22.20M,43.07M,-1.451M,,,,41.62M,43.07M,78.56M,,2006-03,0.43,-0.01,0.42,,2006-03,0.42,-0.01,0.41,,2006-03,0.14,,2006-03,,
2005-12,732.11M,732.11M,524.30M,207.81M,128.00M,12.94M,0.236M,,,,140.94M,66.87M,,,0.236M,,55.84M,16.89M,38.96M,,,,,38.96M,38.79M,66.87M,,2005-12,0.39,0.00,0.39,,2005-12,0.38,0.00,0.38,,2005-12,0.13,,2005-12,,
2005-09,716.31M,716.31M,515.47M,200.84M,112.81M,11.15M,,,,,123.96M,76.88M,,,,,66.13M,21.60M,44.53M,,,,,44.53M,44.53M,76.88M,,2005-09,0.44,0.00,0.44,,2005-09,0.43,0.00,0.43,,2005-09,0.13,,2005-09,,
2005-06,788.52M,788.52M,553.29M,235.23M,117.47M,10.53M,5.199M,,,,128.00M,107.23M,,,5.199M,,100.74M,39.36M,61.38M,,,,,61.38M,58.21M,107.23M,,2005-06,0.61,0.00,0.61,,2005-06,0.60,0.00,0.60,,2005-06,0.13,,2005-06,,
2005-03,709.64M,709.64M,505.50M,204.14M,120.62M,11.43M,,,,,132.05M,72.09M,,,,,60.81M,20.63M,40.18M,,,,,40.18M,40.18M,72.09M,,2005-03,0.40,0.00,0.40,,2005-03,0.39,0.00,0.39,,2005-03,0.13,,2005-03,,
2004-12,651.48M,651.48M,468.27M,183.20M,111.22M,9.932M,,,,,121.15M,62.05M,,,,,51.16M,17.46M,33.70M,-6.046M,,,,27.65M,33.70M,62.05M,,2004-12,0.34,-0.07,0.27,,2004-12,0.33,-0.07,0.26,,2004-12,0.11,,2004-12,,
2004-09,607.77M,607.77M,437.98M,169.78M,96.88M,8.803M,,,,,105.68M,64.10M,,,,,52.93M,19.84M,33.09M,14.81M,,,,47.90M,33.09M,64.10M,,2004-09,0.33,0.15,0.48,,2004-09,0.32,0.15,0.47,,2004-09,0.11,,2004-09,,
2004-06,530.43M,530.43M,368.78M,161.65M,84.26M,6.407M,,,,,90.67M,70.98M,,,,,63.48M,21.49M,41.99M,13.47M,,,,55.46M,41.99M,70.98M,,2004-06,0.42,0.14,0.56,,2004-06,0.42,0.13,0.55,,2004-06,0.21,,2004-06,,
2004-03,488.45M,488.45M,348.38M,140.07M,83.65M,6.311M,,,,,89.96M,50.11M,,,,,42.46M,14.22M,28.24M,11.97M,,,,40.21M,28.24M,50.11M,,2004-03,0.29,0.12,0.41,,2004-03,0.28,0.12,0.40,,2004-03,0.21,,2004-03,,
2003-12,-398.53M,-398.53M,-338.98M,-59.56M,-24.09M,-9.408M,,,,,-33.50M,-26.06M,,,,,-23.02M,-11.06M,-11.96M,,,,,31.24M,-11.96M,-26.06M,,2003-12,0.6327,,0.6327,,2003-12,0.6327,,0.6327,,2003-12,0.21,,2003-12,,
2003-09,685.01M,685.01M,518.01M,167.01M,88.27M,11.00M,,,,,99.26M,67.74M,,,,,58.14M,19.77M,38.38M,,,,,38.38M,38.38M,67.74M,,2003-09,0.78,0.00,0.78,,2003-09,0.77,0.00,0.77,,2003-09,0.21,,2003-09,,
2003-06,718.99M,718.99M,535.50M,183.49M,95.93M,11.22M,,,,,107.16M,76.33M,,,,,66.50M,22.61M,43.89M,,,,,43.89M,43.89M,76.33M,,2003-06,0.89,0.00,0.89,,2003-06,0.88,0.00,0.88,,2003-06,0.21,,2003-06,,
2003-03,637.52M,637.52M,482.22M,155.29M,92.98M,10.12M,,,,,103.10M,52.19M,,,,,42.20M,14.35M,27.85M,,,,,27.85M,27.85M,52.19M,,2003-03,0.28,0.00,0.28,,2003-03,0.28,0.00,0.28,,2003-03,0.19,,2003-03,,
2002-12,-452.03M,-452.03M,-371.31M,-80.72M,-22.54M,-7.337M,,,,,-29.87M,-50.85M,,,,,-46.85M,-20.03M,-26.82M,,,,,28.08M,-26.82M,-50.85M,,2002-12,-1.31,0.56,-0.75,,2002-12,-1.31,0.56,-0.75,,2002-12,0.19,,2002-12,,
2002-09,629.30M,629.30M,480.33M,148.97M,78.24M,8.904M,,,,,87.15M,61.82M,,,,,53.62M,16.21M,37.40M,,,,,37.40M,37.40M,61.82M,,2002-09,0.76,0.00,0.76,,2002-09,0.75,0.00,0.75,,2002-09,0.19,,2002-09,,
2002-06,708.12M,708.12M,532.14M,175.98M,92.37M,9.021M,,,,,101.39M,74.59M,,,,,64.12M,21.14M,42.98M,,,,,42.98M,42.98M,74.59M,,2002-06,0.87,0.00,0.87,,2002-06,0.86,0.00,0.86,,2002-06,0.18,,2002-06,,
2002-03,603.06M,603.06M,466.05M,137.01M,82.92M,8.364M,,,,,91.28M,45.73M,,,,,32.00M,10.56M,21.44M,,,,,21.44M,21.44M,45.73M,,2002-03,0.22,0.00,0.22,,2002-03,0.215,0.00,0.215,,2002-03,0.18,,2002-03,,
2001-12,584.31M,584.31M,442.22M,142.09M,100.23M,8.377M,-40.59M,,,,108.61M,33.48M,,,-40.59M,,-20.24M,-3.961M,-16.27M,,,,,-40.92M,16.37M,33.48M,,2001-12,-0.8341,,-0.8341,,2001-12,-0.8341,,-0.8341,,2001-12,0.18,,2001-12,,
2001-09,636.17M,636.17M,487.03M,149.14M,90.15M,7.805M,,,,,97.96M,51.18M,,,,,36.78M,12.10M,24.67M,,,,,24.67M,24.67M,51.18M,,2001-09,0.25,0.00,0.25,,2001-09,0.25,0.00,0.25,,2001-09,0.00,,2001-09,,
