,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,2.213B,2.213B,1.444B,769.41M,452.35M,,4.978M,-4.978M,495.96M,273.46M,4.978M,-4.978M,,-4.978M,268.48M,61.19M,207.29M,,207.29M,207.29M,317.07M,43.61M,273.46M,,1.70,,,1.70,1.70,,1.69,,,1.69,1.69,,122.10M,122.78M,0.31,,AOR,Restated
2018-03,1.683B,1.683B,1.119B,563.65M,426.11M,,4.468M,-4.468M,468.90M,94.75M,4.468M,-4.468M,,-4.468M,90.28M,18.85M,71.43M,,71.43M,71.43M,137.54M,42.79M,94.75M,,0.57,,,0.57,0.57,,0.57,,,0.57,0.57,,124.48M,125.17M,0.27,,AOR,Restated
2017-12,1.953B,1.953B,1.284B,668.60M,441.62M,,4.238M,-4.238M,484.76M,183.84M,4.238M,-4.238M,,-4.238M,179.60M,69.86M,109.74M,,109.74M,109.74M,226.98M,43.13M,183.84M,,0.87,,,0.87,0.87,,0.87,,,0.87,0.87,,125.47M,126.09M,0.27,,AOR,Restated
2017-09,1.722B,1.722B,1.121B,600.46M,410.28M,,3.752M,-3.752M,452.20M,148.25M,3.752M,-3.752M,,-3.752M,144.50M,52.60M,91.90M,,91.90M,91.90M,190.18M,41.93M,148.25M,,0.73,,,0.73,0.73,,0.72,,,0.72,0.72,,126.42M,126.92M,0.27,,AOR,Restated
2017-06,2.018B,2.018B,1.313B,704.71M,405.74M,,3.092M,-3.092M,446.78M,257.92M,3.092M,-3.092M,,-3.092M,254.83M,94.18M,160.65M,,160.65M,160.65M,298.97M,41.05M,257.92M,,1.25,,,1.25,1.25,,1.25,,,1.25,1.25,,128.19M,128.72M,0.27,,AOR,Restated
2017-03,1.564B,1.564B,1.046B,518.20M,382.11M,,2.777M,-2.777M,421.84M,96.36M,2.777M,-2.777M,,-2.777M,93.58M,33.27M,60.31M,,60.31M,60.31M,136.09M,39.73M,96.36M,,0.46,,,0.46,0.46,,0.46,,,0.46,0.46,,130.28M,131.09M,0.24,,AOR,Restated
2016-12,1.917B,1.917B,1.270B,646.26M,411.98M,,1.665M,-1.665M,451.65M,194.62M,1.665M,-1.665M,,-1.665M,192.95M,69.37M,123.58M,,123.58M,123.58M,234.28M,39.66M,194.62M,,0.94,,,0.94,0.94,,0.94,,,0.94,0.94,,131.03M,131.72M,0.24,,AOR,Restated
2016-09,1.543B,1.543B,1.007B,535.27M,357.59M,,1.11M,-1.11M,393.25M,142.02M,1.11M,-1.11M,,-1.11M,140.91M,51.47M,89.44M,,89.44M,89.44M,177.68M,35.66M,142.02M,,0.67,,,0.67,0.67,,0.67,,,0.67,0.67,,133.39M,134.26M,0.24,,AOR,Restated
2016-06,1.853B,1.853B,1.203B,649.22M,365.92M,,1.91M,-1.91M,399.97M,249.25M,1.91M,-1.91M,,-1.91M,247.34M,90.91M,156.42M,,156.42M,156.42M,283.31M,34.06M,249.25M,,1.17,,,1.17,1.17,,1.16,,,1.16,1.16,,133.56M,134.56M,0.24,,AOR,Restated
2016-03,1.468B,1.468B,973.35M,494.44M,352.67M,,1.125M,-1.125M,386.25M,108.20M,1.125M,-1.125M,,-1.125M,107.07M,39.40M,67.67M,,67.67M,67.67M,141.77M,33.58M,108.20M,,0.51,,,0.51,0.51,,0.50,,,0.50,0.50,,133.63M,134.71M,0.20,,AOR,Restated
2015-12,1.647B,1.647B,1.086B,561.00M,354.89M,,0.411M,-0.411M,387.71M,173.29M,0.411M,-0.411M,,-0.411M,172.88M,61.16M,111.71M,,111.71M,111.71M,206.11M,32.82M,173.29M,,0.83,,,0.83,0.83,,0.82,,,0.82,0.82,,134.34M,135.50M,0.20,,AOR,Restated
2015-09,1.476B,1.476B,963.40M,512.25M,342.89M,,0.782M,-0.782M,373.04M,139.21M,0.782M,-0.782M,,-0.782M,138.43M,51.11M,87.31M,,87.31M,87.31M,169.36M,30.15M,139.21M,,0.64,,,0.64,0.64,,0.64,,,0.64,0.64,,135.52M,136.74M,0.20,,AOR,Restated
2015-06,1.773B,1.773B,1.148B,625.32M,349.84M,,0.832M,-0.832M,380.16M,245.16M,0.832M,-0.832M,,-0.832M,244.33M,91.00M,153.33M,,153.33M,153.33M,275.48M,30.31M,245.16M,,1.13,,,1.13,1.13,,1.12,,,1.12,1.12,,136.12M,137.40M,0.20,,AOR,Restated
2015-03,1.331B,1.331B,886.75M,444.60M,321.48M,,0.866M,-0.866M,351.76M,92.85M,0.866M,-0.866M,,-0.866M,91.98M,33.94M,58.04M,,58.04M,58.04M,123.13M,30.28M,92.85M,,0.43,,,0.43,0.43,,0.42,,,0.42,0.42,,136.35M,137.74M,0.16,,AOR,Restated
2014-12,1.584B,1.584B,1.045B,539.60M,331.78M,,0.618M,-0.618M,361.89M,177.70M,0.618M,-0.618M,,-0.618M,177.08M,65.02M,112.06M,,112.06M,112.06M,207.82M,30.11M,177.70M,,0.82,,,0.82,0.82,,0.81,,,0.81,0.81,,136.20M,137.73M,0.16,,AOR,Restated
2014-09,1.360B,1.360B,895.88M,464.07M,312.67M,,0.505M,-0.505M,342.06M,122.01M,0.505M,-0.505M,,-0.505M,121.51M,44.90M,76.60M,,76.60M,76.60M,151.40M,29.39M,122.01M,,0.56,,,0.56,0.56,,0.55,,,0.55,0.55,,137.37M,138.86M,0.16,,AOR,Restated
2014-06,1.584B,1.584B,1.033B,550.53M,311.59M,,0.308M,-0.308M,339.50M,211.03M,0.308M,-0.308M,,-0.308M,210.72M,77.31M,133.41M,,133.41M,133.41M,238.94M,27.91M,211.03M,,0.96,,,0.96,0.96,,0.95,,,0.95,0.95,,138.39M,140.11M,0.16,,AOR,Restated
2014-03,1.184B,1.184B,787.46M,396.22M,290.27M,,0.454M,-0.454M,317.49M,78.73M,0.454M,-0.454M,,-0.454M,78.28M,29.47M,48.81M,,48.81M,48.81M,105.95M,27.22M,78.73M,,0.35,,,0.35,0.35,,0.35,,,0.35,0.35,,139.12M,141.03M,0.13,,AOR,Restated
2013-12,1.415B,1.415B,935.38M,479.71M,305.66M,,-0.528M,0.528M,332.63M,147.08M,-0.528M,0.528M,,0.528M,147.61M,51.72M,95.88M,,95.88M,95.88M,174.05M,26.97M,147.08M,,0.69,,,0.69,0.69,,0.68,,,0.68,0.68,,139.75M,141.82M,0.13,,AOR,Restated
2013-09,1.208B,1.208B,792.42M,415.67M,287.86M,,0.35M,-0.35M,314.00M,101.67M,0.35M,-0.35M,,-0.35M,101.32M,36.55M,64.77M,,64.77M,64.77M,127.81M,26.14M,101.67M,,0.46,,,0.46,0.46,,0.46,,,0.46,0.46,,139.52M,141.73M,0.13,,AOR,Restated
2013-06,1.456B,1.456B,949.63M,506.14M,283.94M,,0.556M,-0.556M,308.16M,197.98M,0.556M,-0.556M,,-0.556M,197.42M,73.84M,123.58M,,123.58M,123.58M,222.20M,24.22M,197.98M,,0.89,,,0.89,0.89,,0.87,,,0.87,0.87,,139.34M,141.58M,0.13,,AOR,Restated
2013-03,1.086B,1.086B,733.75M,352.09M,261.47M,,0.179M,-0.179M,284.17M,67.92M,0.179M,-0.179M,,-0.179M,67.74M,23.74M,44.01M,,44.01M,44.01M,90.62M,22.70M,67.92M,,0.32,,,0.32,0.32,,0.31,,,0.31,0.31,,138.90M,141.61M,0.10,,AOR,Restated
2012-12,1.286B,1.286B,861.54M,424.62M,277.25M,,0.20M,-0.20M,299.85M,124.78M,0.20M,-0.20M,,-0.20M,124.58M,45.09M,79.49M,,79.49M,79.49M,147.37M,22.60M,124.78M,,0.565,,,0.565,0.565,,0.555,,,0.555,0.555,,140.44M,143.47M,0.10,,AOR,Restated
2012-09,1.066B,1.066B,708.47M,357.17M,257.18M,,0.241M,-0.241M,279.39M,77.78M,0.241M,-0.241M,,-0.241M,77.54M,27.52M,50.02M,,50.02M,50.02M,99.99M,22.21M,77.78M,,0.35,,,0.35,0.35,,0.35,,,0.35,0.35,,141.48M,144.63M,0.10,,AOR,Restated
2012-06,1.292B,1.292B,840.44M,451.46M,259.18M,,0.031M,-0.031M,281.62M,169.84M,0.031M,-0.031M,,-0.031M,169.81M,63.19M,106.62M,,106.62M,106.62M,192.28M,22.43M,169.84M,,0.74,,,0.74,0.74,,0.725,,,0.725,0.725,,143.63M,146.98M,0.10,,AOR,Restated
2012-03,1.020B,1.020B,687.62M,332.80M,246.67M,,0.583M,-0.583M,268.41M,64.39M,0.583M,-0.583M,,-0.583M,63.81M,23.48M,40.33M,,40.33M,40.33M,86.13M,21.74M,64.39M,,0.28,,,0.28,0.28,,0.275,,,0.275,0.275,,143.19M,146.99M,0.06,,AOR,Restated
2011-12,1.240B,1.240B,836.86M,403.17M,267.96M,,1.036M,-1.036M,291.62M,111.54M,1.036M,-1.036M,,-1.036M,110.51M,40.00M,70.51M,,70.51M,70.51M,135.21M,23.66M,111.54M,,0.495,0.00,,0.495,0.495,,0.48,0.00,,0.48,0.48,,142.29M,146.42M,0.06,,AOR,Restated
2011-09,977.78M,977.78M,650.17M,327.60M,239.88M,,0.591M,-0.591M,259.47M,68.13M,0.591M,-0.591M,,-0.591M,67.54M,24.80M,42.73M,,42.73M,42.73M,87.72M,19.59M,68.13M,,0.30,0.00,,0.30,0.30,,0.29,0.00,,0.29,0.29,,142.45M,146.69M,0.06,,AOR,Restated
2011-06,1.178B,1.178B,775.87M,402.50M,239.40M,,0.217M,-0.217M,258.23M,144.26M,0.217M,-0.217M,,-0.217M,144.05M,52.89M,91.16M,,91.16M,91.16M,163.09M,18.83M,144.26M,,0.635,0.00,,0.635,0.635,,0.615,0.00,,0.615,0.615,,144.01M,148.36M,0.06,,AOR,Restated
2011-03,836.58M,836.58M,562.97M,273.61M,226.58M,,0.243M,-0.243M,244.84M,28.77M,0.243M,-0.243M,,-0.243M,28.52M,10.19M,18.34M,,18.34M,18.34M,47.03M,18.26M,28.77M,,0.125,0.00,,0.125,0.125,,0.12,0.00,,0.12,0.12,,145.41M,149.85M,0.035,,AOR,Restated
2010-12,1.033B,1.033B,695.73M,336.92M,239.73M,,0.687M,-0.687M,258.22M,78.70M,0.687M,-0.687M,,-0.687M,78.02M,27.81M,50.21M,,50.21M,50.21M,97.19M,18.48M,78.70M,,0.345,,,0.345,0.345,,0.335,,,0.335,0.335,,145.63M,150.27M,0.035,,AOR,Restated
2010-09,829.11M,829.11M,553.43M,275.69M,210.78M,,0.038M,-0.038M,228.28M,47.41M,0.038M,-0.038M,,-0.038M,47.37M,17.51M,29.86M,,29.86M,29.86M,64.91M,17.50M,47.41M,,0.205,0.00,,0.205,0.205,,0.20,0.00,,0.20,0.20,,145.20M,149.86M,0.035,,AOR,Restated
2010-06,1.066B,1.066B,705.53M,360.13M,219.32M,,0.241M,-0.241M,236.48M,123.65M,0.241M,-0.241M,,-0.241M,123.41M,46.09M,77.32M,,77.32M,77.32M,140.80M,17.16M,123.65M,,0.53,0.00,,0.53,0.53,,0.52,0.00,,0.52,0.52,,145.33M,149.36M,0.035,,AOR,Restated
2010-03,710.92M,710.92M,479.99M,230.93M,197.81M,,0.318M,-0.318M,214.46M,16.47M,0.318M,-0.318M,,-0.318M,16.15M,5.567M,10.58M,,10.58M,10.58M,33.12M,16.65M,16.47M,,0.075,0.00,,0.075,0.075,,0.07,0.00,,0.07,0.07,,144.62M,148.00M,0.035,,AOR,Restated
2009-12,862.53M,862.53M,569.92M,292.62M,208.83M,,0.505M,-0.505M,226.33M,66.29M,0.505M,-0.505M,,-0.505M,65.78M,23.25M,42.53M,,42.53M,42.53M,83.79M,17.50M,66.29M,,0.295,0.00,,0.295,0.295,,0.285,0.00,,0.285,0.285,,144.39M,147.29M,,,AOR,Restated
2009-09,747.73M,747.73M,501.69M,246.04M,193.82M,,0.461M,-0.461M,210.24M,35.80M,0.461M,-0.461M,,-0.461M,35.34M,13.36M,21.98M,,21.98M,21.98M,52.22M,16.42M,35.80M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,144.14M,146.84M,,,AOR,Restated
2009-06,946.50M,946.50M,644.31M,302.20M,197.77M,,0.264M,-0.264M,213.90M,88.29M,0.264M,-0.264M,,-0.264M,88.03M,33.27M,54.76M,,54.76M,54.76M,104.43M,16.14M,88.29M,,0.3825,0.00,,0.3825,0.3825,,0.375,0.00,,0.375,0.375,,143.54M,146.06M,,,AOR,Restated
2009-03,650.17M,650.17M,449.14M,201.04M,183.65M,,0.414M,-0.414M,199.85M,1.185M,0.414M,-0.414M,,-0.414M,0.771M,0.301M,0.47M,,0.47M,0.47M,17.39M,16.20M,1.185M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,143.80M,146.21M,,,AOR,Restated
2008-12,799.50M,799.50M,568.22M,231.27M,188.66M,,,,204.66M,26.61M,,,,,26.20M,9.90M,16.30M,,16.30M,16.30M,42.62M,16.01M,26.61M,,0.1125,0.00,,0.1125,0.1125,,0.1125,0.00,,0.1125,0.1125,,144.35M,146.82M,,,AOR,Restated
2008-09,733.92M,733.92M,509.31M,224.61M,176.77M,,,,192.12M,32.49M,,,,,32.56M,12.80M,19.76M,,19.76M,19.76M,47.83M,15.34M,32.49M,,0.135,0.00,,0.135,0.135,,0.1325,0.00,,0.1325,0.1325,,146.38M,149.14M,,,,
2008-06,898.33M,898.33M,618.85M,279.48M,187.34M,,,,202.35M,77.13M,,,,,76.55M,29.54M,47.02M,,47.02M,47.02M,92.13M,15.01M,77.13M,,0.315,0.00,,0.315,0.315,,0.31,0.00,,0.31,0.31,,149.26M,151.67M,,,,
2008-03,576.21M,576.21M,399.30M,176.90M,163.18M,,,,177.56M,-0.653M,,,,,-1.876M,-0.724M,-1.152M,,-1.152M,-1.152M,13.72M,14.37M,-0.653M,,-0.0075,0.00,,-0.0075,-0.0075,,-0.0075,0.00,,-0.0075,-0.0075,,150.06M,150.06M,,,,
2007-12,723.25M,723.25M,487.80M,235.46M,171.38M,,,,185.17M,50.28M,,,,,48.29M,18.28M,30.02M,,30.02M,30.02M,64.08M,13.79M,50.28M,,0.195,0.00,,0.195,0.195,,0.1925,0.00,,0.1925,0.1925,,151.66M,154.06M,,,,Restated
2007-09,629.20M,629.20M,430.55M,198.65M,156.08M,,,,168.98M,29.67M,,,,,28.15M,10.68M,17.47M,,17.47M,17.47M,42.57M,12.90M,29.67M,,0.1125,0.00,,0.1125,0.1125,,0.11,0.00,,0.11,0.11,,155.27M,158.80M,,,,
2007-06,790.93M,790.93M,540.50M,250.42M,166.96M,,,,179.32M,71.11M,,,,,70.50M,26.75M,43.76M,,43.76M,43.76M,83.46M,12.36M,71.11M,,0.275,0.00,,0.275,0.275,,0.27,0.00,,0.27,0.27,,159.12M,162.06M,,,,
2007-03,559.83M,559.83M,391.65M,168.18M,147.19M,,,,159.20M,8.98M,,,,,8.055M,3.056M,4.999M,,4.999M,4.999M,20.99M,12.01M,8.98M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,166.63M,166.63M,,,,
2006-12,629.90M,629.90M,424.63M,205.27M,145.65M,,,,157.02M,48.24M,,,,,47.50M,18.00M,29.50M,,29.50M,29.50M,59.62M,11.37M,48.24M,,0.1825,0.00,,0.1825,0.1825,,0.18,0.00,,0.18,0.18,,162.16M,163.83M,,,,
2006-09,559.22M,559.22M,382.88M,176.34M,136.52M,,,,147.24M,29.10M,,,,,28.72M,10.66M,18.06M,,18.06M,18.06M,39.82M,10.72M,29.10M,,0.1125,0.00,,0.1125,0.1125,,0.11,0.00,,0.11,0.11,,160.52M,164.17M,,,,
2006-06,714.94M,714.94M,487.56M,227.38M,147.87M,,,,158.45M,68.93M,,,,,68.28M,25.36M,42.93M,,42.93M,42.93M,79.51M,10.58M,68.93M,,0.2675,0.00,,0.2675,0.2675,,0.2625,0.00,,0.2625,0.2625,,160.47M,163.53M,,,,
2006-03,465.55M,465.55M,323.26M,142.28M,130.92M,,,,140.54M,1.741M,,,,,0.834M,0.309M,0.525M,,0.525M,0.525M,11.36M,9.623M,1.741M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,158.79M,164.06M,,,,
2005-12,597.93M,597.93M,407.12M,190.82M,131.96M,,,,141.37M,49.45M,,,,,48.90M,18.00M,30.90M,,30.90M,30.90M,58.86M,9.416M,49.45M,,0.195,0.00,,0.195,0.195,,0.1875,0.00,,0.1875,0.1875,,158.89M,165.23M,,,,
2005-09,479.61M,479.61M,332.70M,146.90M,109.07M,,,,117.97M,28.94M,,,,,28.75M,10.42M,18.33M,,18.33M,18.33M,37.83M,8.893M,28.94M,,0.1175,0.00,,0.1175,0.1175,,0.1125,0.00,,0.1125,0.1125,,155.99M,162.92M,,,,
2005-06,613.24M,613.24M,423.48M,189.76M,125.38M,,,,133.45M,56.31M,,,,,56.08M,20.33M,35.75M,,35.75M,35.75M,64.37M,8.065M,56.31M,,0.23,0.00,,0.23,0.23,,0.2175,0.00,,0.2175,0.2175,,155.45M,164.39M,,,,
2005-03,377.20M,377.20M,265.13M,112.07M,102.68M,,,,110.32M,1.75M,,,,,1.073M,0.389M,0.684M,,0.684M,0.684M,9.396M,7.646M,1.75M,,0.005,0.00,,0.005,0.005,,0.005,0.00,,0.005,0.005,,154.33M,163.07M,,,,
2004-12,455.99M,455.99M,310.59M,145.40M,103.81M,,,,111.11M,34.29M,,,,,33.59M,11.58M,22.01M,,22.01M,22.01M,41.58M,7.295M,34.29M,,0.145,0.00,,0.145,0.145,,0.135,0.00,,0.135,0.135,,151.52M,160.99M,,,,
2004-09,426.38M,426.38M,306.81M,119.58M,100.56M,,,,107.45M,12.13M,,,,,11.96M,4.345M,7.612M,,7.612M,7.612M,20.10M,7.974M,12.13M,,0.05,0.00,,0.05,0.05,,0.0475,0.00,,0.0475,0.0475,,152.24M,160.25M,,,,
2004-06,525.92M,525.92M,365.38M,160.54M,104.61M,,,,110.72M,49.82M,,,,,49.63M,18.26M,31.38M,,31.38M,31.38M,55.94M,5.591M,49.82M,,0.205,0.00,,0.205,0.205,,0.1875,0.00,,0.1875,0.1875,,153.05M,167.34M,,,,
2004-03,330.55M,330.55M,231.38M,99.17M,86.96M,,,,93.28M,5.887M,,,,,5.506M,2.061M,3.445M,,3.445M,3.445M,12.21M,6.326M,5.887M,,0.0225,0.00,,0.0225,0.0225,,0.02,0.00,,0.02,0.02,,151.32M,162.89M,,,,
2003-12,388.53M,388.53M,265.95M,122.58M,88.06M,,,,94.04M,28.54M,,,,,26.60M,10.55M,16.05M,0.00,16.05M,16.05M,35.77M,7.228M,28.54M,,0.1075,0.00,0.00,0.1075,0.1075,,0.10,0.00,0.0000,0.10,0.0975,,149.50M,165.23M,,,,
2003-09,361.20M,361.20M,251.97M,109.23M,84.08M,,,,89.24M,19.99M,,,,,19.19M,7.059M,12.13M,,12.13M,12.13M,25.16M,5.165M,19.99M,,0.0825,0.00,,0.0825,0.0825,,0.075,0.00,,0.075,0.075,,147.02M,161.72M,,,,
2003-06,449.39M,449.39M,313.10M,136.29M,87.36M,,,,92.11M,44.19M,,,,,43.24M,15.86M,27.39M,,27.39M,27.39M,48.94M,4.75M,44.19M,,0.185,0.00,,0.185,0.185,,0.1712,0.00,,0.1712,0.1712,,148.04M,159.92M,,,,
2003-03,273.76M,273.76M,192.96M,80.80M,72.14M,,,,76.59M,4.205M,,,,,3.195M,1.182M,2.013M,-1.888M,0.125M,2.013M,8.659M,4.454M,4.205M,,0.0069,-0.0062,0.00,0.0069,0.0006,,0.0062,-0.0062,-0.0064,0.0062,0.0006,,292.93M,317.73M,,,,
2002-12,327.92M,327.92M,230.12M,97.80M,64.49M,,,,69.39M,28.40M,,,,,26.21M,9.185M,17.03M,,17.03M,17.03M,34.27M,5.863M,28.40M,,-0.0138,0.00,,-0.0138,-0.0138,,-0.0138,0.00,,-0.0138,-0.0138,,144.53M,156.57M,,,,
2002-09,296.22M,296.22M,212.20M,84.02M,66.15M,,,,70.71M,13.31M,,,,,12.06M,4.254M,7.801M,,7.801M,7.801M,17.87M,4.557M,13.31M,,0.0538,0.00,,0.0538,0.0538,,0.0488,0.00,,0.0488,0.0488,,145.13M,160.02M,,,,
2002-06,392.05M,392.05M,283.66M,108.39M,74.81M,,,,79.27M,29.12M,,,,,27.98M,10.63M,17.35M,,17.35M,17.35M,33.58M,4.457M,29.12M,,0.12,0.00,,0.12,0.12,,0.11,0.00,,0.11,0.11,,144.55M,157.69M,,,,
2002-03,193.81M,193.81M,141.83M,51.98M,54.29M,,,,57.38M,-5.401M,,,,,-6.468M,-2.458M,-4.01M,,-4.01M,-4.01M,-2.308M,3.093M,-5.401M,,-0.0070,0.00,,-0.0070,-0.0070,,-0.0070,0.00,,-0.0070,-0.0070,,572.54M,572.54M,,,,
2001-12,220.36M,220.36M,159.87M,60.48M,45.56M,0.00,,,48.46M,12.02M,,,0.00,,11.13M,1.579M,9.554M,,9.554M,9.554M,14.92M,2.90M,12.02M,,0.0675,0.00,,0.0675,0.0675,,0.0644,0.00,,0.0644,0.0644,,141.78M,151.00M,,,,
2001-09,199.44M,199.44M,145.46M,53.97M,46.22M,,,,49.04M,4.933M,,,,,3.912M,1.487M,2.425M,,2.425M,2.425M,7.749M,2.816M,4.933M,,0.0175,0.00,,0.0175,0.0175,,0.0169,0.00,,0.0169,0.0169,,138.57M,143.70M,,,,
2001-06,267.49M,267.49M,195.70M,71.79M,45.51M,2.173M,,,48.34M,23.46M,,,2.173M,,24.56M,8.919M,15.64M,,15.64M,14.26M,26.29M,2.831M,23.46M,,0.1112,0.00,,0.1014,0.1112,,0.11,0.00,,0.1003,0.11,,140.62M,142.22M,,,,
2001-03,162.52M,162.52M,120.42M,42.10M,40.95M,,,,43.66M,-1.565M,,,,,-3.082M,-1.233M,-1.849M,,-1.849M,-1.849M,1.142M,2.707M,-1.565M,,-0.0131,0.00,,-0.0131,-0.0131,,-0.0131,0.00,,-0.0131,-0.0131,,140.88M,140.88M,,,,
2000-12,203.74M,203.74M,147.64M,56.10M,41.79M,,,,44.46M,11.64M,,,,,9.59M,3.894M,5.696M,,5.696M,5.696M,14.31M,2.672M,11.64M,,0.0406,0.00,,0.0406,0.0406,,0.0406,0.00,,0.0406,0.0406,,140.19M,140.19M,,,,
2000-09,175.48M,175.48M,130.36M,45.12M,38.91M,,,,41.50M,3.619M,,,,,1.894M,0.771M,1.123M,,1.123M,1.123M,6.209M,2.59M,3.619M,,0.0081,0.00,,0.0081,0.0081,,0.0081,0.00,,0.0081,0.0081,,138.22M,138.22M,,,,
2000-06,232.34M,232.34M,170.76M,61.58M,40.08M,,,,42.52M,19.06M,,,,,17.75M,7.207M,10.55M,,10.55M,10.55M,21.51M,2.445M,19.06M,,0.075,0.00,,0.075,0.075,,0.075,0.00,,0.075,0.075,,140.61M,140.61M,,,,
